actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
90,PT03M58.00S,2021-12-08T03:22:07.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,19,22,2021-12-08T03:22:07Z,900000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M58.00S,2021-12-08T03:25:03.1Z,1,REGULAR,substitution,out,[],202340,,,1610612738,19,22,2021-12-08T03:25:14Z,910000,,,0,,SUB out: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M58.00S,2021-12-08T03:25:03.1Z,1,REGULAR,substitution,in,[],201961,,,1610612738,19,22,2021-12-08T03:25:14Z,920000,,,0,,SUB in: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M41.00S,2021-12-08T03:25:32.4Z,1,REGULAR,3pt,Jump Shot,[],1629684,73.76806833114324,81.37254901960785,1610612738,19,22,2021-12-08T03:25:40Z,940000,157.0,194.0,1,right,MISS G. Williams 24' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,,
95,PT03M35.00S,2021-12-08T03:25:39.4Z,1,REGULAR,rebound,defensive,[],201961,,,1610612747,19,22,2021-12-08T03:25:39Z,950000,,,0,,W. Ellington REBOUND (Off:0 Def:1),[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,94.0,,1.0,1.0,0.0,,,,,,,,,,,,,,
97,PT03M35.00S,2021-12-08T03:25:49.8Z,1,REGULAR,foul,personal,['2freethrow'],1626196,,,1610612747,19,22,2021-12-08T03:25:55Z,970000,,,0,,J. Richardson shooting personal FOUL (1 PF) (James 2 FT),"[1626196, 2544]",1610612738.0,BOS,shooting,,,Richardson,J. Richardson,,,,,,,,200832.0,,,,,,,,,,,1.0,0.0,James,2544.0,,,
99,PT03M35.00S,2021-12-08T03:26:04.2Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,20,22,2021-12-08T03:26:04Z,990000,,,0,,L. James Free Throw 1 of 2 (10 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,,,,,,,,,10.0,,,,,,,,,,
100,PT03M35.00S,2021-12-08T03:26:19.1Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,21,22,2021-12-08T03:26:19Z,1000000,,,0,,L. James Free Throw 2 of 2 (11 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,,,,,,,,,11.0,,,,,,,,,,
101,PT03M25.00S,2021-12-08T03:26:29.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.29632063074901,50.49019607843137,1610612738,21,24,2021-12-08T03:26:33Z,1010000,2.0,20.0,1,right,R. Williams III alley-oop DUNK (8 PTS) (M. Smart 3 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,2.01,Made,,,,,,,,,8.0,M. Smart,203935.0,3.0,,,,,,,
103,PT03M05.00S,2021-12-08T03:26:49.1Z,1,REGULAR,2pt,Jump Shot,[],2544,22.651116951379763,53.18627450980392,1610612747,23,24,2021-12-08T03:26:54Z,1030000,-16.0,160.0,1,left,L. James 16' fadeaway Jump Shot (13 PTS),[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,16.12,Made,,,,,,,,,13.0,,,,,,,,,,
104,PT02M45.00S,2021-12-08T03:27:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,91.50788436268068,51.71568627450981,1610612738,23,24,2021-12-08T03:27:12Z,1040000,9.0,27.0,1,right,MISS G. Williams Layup,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,2.86,Missed,,,,,,,,,,,,,,,,,,,
105,PT02M43.00S,2021-12-08T03:27:11.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,23,24,2021-12-08T03:27:11Z,1050000,,,0,,L. James REBOUND (Off:2 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,104.0,,3.0,1.0,2.0,,,,,,,,,,,,,,
106,PT02M37.00S,2021-12-08T03:27:17.9Z,1,REGULAR,3pt,Jump Shot,[],2544,32.637976346911955,59.80392156862745,1610612747,26,24,2021-12-08T03:27:22Z,1060000,-49.0,254.0,1,left,L. James 25' 3PT  (16 PTS) (M. Monk 1 AST),"[2544, 1628370]",1610612747.0,LAL,,,,James,L. James,,,,,25.9,Made,,,,,,,,,16.0,M. Monk,1628370.0,1.0,,,,,,,
108,PT02M17.00S,2021-12-08T03:27:40.2Z,1,REGULAR,turnover,traveling,[],1629684,,,1610612738,26,24,2021-12-08T03:27:44Z,1080000,,,0,,G. Williams traveling TURNOVER (1 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,1162.0,,,,1.0,,,,,,,,,,,,,
110,PT02M17.00S,2021-12-08T03:27:44.8Z,1,REGULAR,substitution,out,[],1629057,,,1610612747,26,24,2021-12-08T03:27:58Z,1100000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M17.00S,2021-12-08T03:27:44.8Z,1,REGULAR,substitution,in,[],2546,,,1610612747,26,24,2021-12-08T03:27:58Z,1110000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M17.00S,2021-12-08T03:27:44.8Z,1,REGULAR,substitution,in,[],201143,,,1610612747,26,24,2021-12-08T03:27:58Z,1120000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M17.00S,2021-12-08T03:27:44.8Z,1,REGULAR,substitution,out,[],1629659,,,1610612747,26,24,2021-12-08T03:28:12Z,1130000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M17.00S,2021-12-08T03:27:44.8Z,1,REGULAR,substitution,out,[],2544,,,1610612747,26,24,2021-12-08T03:28:12Z,1140000,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M17.00S,2021-12-08T03:27:44.8Z,1,REGULAR,substitution,in,[],201566,,,1610612747,26,24,2021-12-08T03:28:12Z,1150000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M08.00S,2021-12-08T03:28:18.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201566,8.590670170827863,52.94117647058824,1610612747,26,24,2021-12-08T03:28:25Z,1170000,-15.0,28.0,1,left,MISS R. Westbrook driving reverse Layup - blocked,"[201566, 1628369]",1610612747.0,LAL,driving reverse,,,Westbrook,R. Westbrook,,,,,3.19,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0,
118,PT02M08.00S,2021-12-08T03:28:18.5Z,1,REGULAR,block,,[],1628369,,,1610612747,26,24,2021-12-08T03:28:22Z,1180000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M04.00S,2021-12-08T03:28:22.5Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,26,24,2021-12-08T03:28:25Z,1190000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,117.0,,1.0,1.0,0.0,,,,,,,,,,,,,,
120,PT01M55.00S,2021-12-08T03:28:32.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,81.52102496714849,41.666666666666664,1610612738,26,26,2021-12-08T03:28:36Z,1200000,-42.0,121.0,1,right,J. Richardson 12' pullup Jump Shot (4 PTS),[1626196],1610612738.0,BOS,pullup,,,Richardson,J. Richardson,,,,,12.82,Made,,,,,,,,,4.0,,,,,,,,,,
121,PT01M44.00S,2021-12-08T03:28:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,9.247700394218143,55.3921568627451,1610612747,26,26,2021-12-08T03:28:54Z,1210000,-27.0,34.0,1,left,MISS M. Monk floating Shot,[1628370],1610612747.0,LAL,floating,,,Monk,M. Monk,,,,,4.37,Missed,,,,,,,,,,,,,,,,,,,
122,PT01M44.00S,2021-12-08T03:28:52.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,26,26,2021-12-08T03:28:52Z,1220000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,,
123,PT01M44.00S,2021-12-08T03:28:53.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612747,26,26,2021-12-08T03:29:12Z,1230000,,,0,,J. Tatum loose ball personal FOUL (1 PF),"[1628369, 203076]",1610612738.0,BOS,loose ball,,,Tatum,J. Tatum,,,,,,,,200832.0,,,,,,,,,,,1.0,0.0,Davis,203076.0,,,
125,PT01M44.00S,2021-12-08T03:29:00.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612747,26,26,2021-12-08T03:29:06Z,1250000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M44.00S,2021-12-08T03:29:00.2Z,1,REGULAR,substitution,out,[],203935,,,1610612747,26,26,2021-12-08T03:29:06Z,1260000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M44.00S,2021-12-08T03:29:00.2Z,1,REGULAR,substitution,in,[],203471,,,1610612747,26,26,2021-12-08T03:29:06Z,1270000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M44.00S,2021-12-08T03:29:00.2Z,1,REGULAR,substitution,in,[],1629641,,,1610612747,26,26,2021-12-08T03:29:06Z,1280000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M37.00S,2021-12-08T03:29:19.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203076,7.408015768725363,53.92156862745098,1610612747,26,26,2021-12-08T03:29:58Z,1290000,-20.0,17.0,1,left,MISS A. Davis DUNK - blocked,"[203076, 1629684]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,2.6,Missed,,,,,,,,,,,,,,,,,Williams,1629684.0,
130,PT01M37.00S,2021-12-08T03:29:19.7Z,1,REGULAR,block,,[],1629684,,,1610612747,26,26,2021-12-08T03:29:22Z,1300000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M31.00S,2021-12-08T03:29:25.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,26,26,2021-12-08T03:29:58Z,1310000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,
131,PT01M31.00S,2021-12-08T03:29:54.3Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,26,26,2021-12-08T03:29:54Z,1320000,,,0,,Jump Ball A. Davis vs. G. Williams: Tip to R. Westbrook,"[201566, 203076, 1629684]",1610612747.0,LAL,heldball,R. Westbrook,201566.0,Westbrook,R. Westbrook,Davis,203076.0,Williams,1629684.0,,,,,,,,,,,,,,,,,,,,,
135,PT01M29.00S,2021-12-08T03:29:57.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201566,8.853482260183966,53.67647058823529,1610612747,28,26,2021-12-08T03:30:01Z,1350000,-18.0,31.0,1,left,R. Westbrook Layup (2 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,3.58,Made,,,,,,,,,2.0,,,,,,,,,,
136,PT01M22.00S,2021-12-08T03:30:07.1Z,1,REGULAR,foul,personal,[],201961,,,1610612738,28,26,2021-12-08T03:30:15Z,1360000,,,0,,W. Ellington personal FOUL (1 PF),"[201961, 203471]",1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,200832.0,,,,,,,,,,,1.0,0.0,Schroder,203471.0,,,
138,PT01M13.00S,2021-12-08T03:30:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,91.24507227332458,46.07843137254902,1610612738,28,26,2021-12-08T03:30:40Z,1380000,-20.0,30.0,1,right,MISS R. Langford pullup Shot,[1629641],1610612738.0,BOS,pullup,,,Langford,R. Langford,,,,,3.57,Missed,,,,,,,,,,,,,,,,,,,
139,PT01M10.00S,2021-12-08T03:30:39.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,28,26,2021-12-08T03:30:39Z,1390000,,,0,,A. Davis REBOUND (Off:1 Def:4),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,138.0,,5.0,4.0,1.0,,,,,,,,,,,,,,
140,PT01M08.00S,2021-12-08T03:30:43.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629641,,,1610612747,28,26,2021-12-08T03:31:14Z,1400000,,,0,,R. Langford shooting personal FOUL (1 PF) (Davis 2 FT),"[1629641, 203076]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,202037.0,,,,,,,,,,,1.0,0.0,Davis,203076.0,,,
142,PT01M08.00S,2021-12-08T03:31:14.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203076,,,1610612747,28,26,2021-12-08T03:31:14Z,1420000,,,0,,MISS A. Davis Free Throw 1 of 2,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
143,PT01M08.00S,2021-12-08T03:31:14.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,28,26,2021-12-08T03:31:14Z,1430000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,,,
144,PT01M08.00S,2021-12-08T03:31:26.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203076,,,1610612747,29,26,2021-12-08T03:31:26Z,1440000,,,0,,A. Davis Free Throw 2 of 2 (3 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Made,,,,,,,,,3.0,,,,,,,,,,
145,PT00M50.80S,2021-12-08T03:31:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,87.0400788436268,54.90196078431372,1610612738,29,28,2021-12-08T03:31:55Z,1450000,25.0,69.0,1,right,R. Langford 7' floating Jump Shot (2 PTS) (D. Schroder 4 AST),"[1629641, 203471]",1610612738.0,BOS,floating,,,Langford,R. Langford,,,,,7.35,Made,,,,,,,,,2.0,D. Schroder,203471.0,4.0,,,,,,,
147,PT00M40.60S,2021-12-08T03:31:58.9Z,1,REGULAR,turnover,lost ball,[],203076,,,1610612747,29,28,2021-12-08T03:32:04Z,1470000,,,0,,A. Davis lost ball TURNOVER (3 TO),"[203076, 201143]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,3.0,Horford,201143.0,,,,,,,,,,,
148,PT00M40.60S,2021-12-08T03:31:58.9Z,1,REGULAR,steal,,[],201143,,,1610612738,29,28,2021-12-08T03:32:01Z,1480000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M34.50S,2021-12-08T03:32:07.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628370,,,1610612738,29,28,2021-12-08T03:32:16Z,1490000,,,0,,M. Monk shooting personal FOUL (1 PF) (Richardson 2 FT),"[1628370, 1626196]",1610612747.0,LAL,shooting,,,Monk,M. Monk,,,,,,,,202037.0,,,,,,,,,,,1.0,0.0,Richardson,1626196.0,,,
151,PT00M34.50S,2021-12-08T03:32:35.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1626196,,,1610612738,29,29,2021-12-08T03:32:35Z,1510000,,,0,,J. Richardson Free Throw 1 of 2 (5 PTS),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,Made,,,,,,,,,5.0,,,,,,,,,,
152,PT00M34.50S,2021-12-08T03:32:55.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1626196,,,1610612738,29,30,2021-12-08T03:32:55Z,1520000,,,0,,J. Richardson Free Throw 2 of 2 (6 PTS),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,Made,,,,,,,,,6.0,,,,,,,,,,
153,PT00M20.80S,2021-12-08T03:33:13.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2546,17.526281208935615,61.029411764705884,1610612747,31,30,2021-12-08T03:33:17Z,1530000,-55.0,112.0,1,left,C. Anthony 12' turnaround Jump Shot (2 PTS),[2546],1610612747.0,LAL,turnaround,,,Anthony,C. Anthony,,,,,12.5,Made,,,,,,,,,2.0,,,,,,,,,,
154,PT00M01.90S,2021-12-08T03:33:38.6Z,1,REGULAR,3pt,Jump Shot,[],1626196,69.95729303547964,23.284313725490193,1610612738,31,33,2021-12-08T03:33:42Z,1540000,-134.0,230.0,1,right,J. Richardson 26' 3PT  (9 PTS) (D. Schroder 5 AST),"[1626196, 203471]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,26.59,Made,,,,,,,,,9.0,D. Schroder,203471.0,5.0,,,,,,,
158,PT00M00.00S,2021-12-08T03:34:09.7Z,1,REGULAR,instantreplay,request,[],0,,,1610612747,31,33,2021-12-08T03:34:21Z,1580000,,,0,,,[],,,stands,,,,,,,,,,,,1162.0,,,,,,,,,,,,,,,,,End Period - No Basket
159,PT00M00.00S,2021-12-08T03:34:24.7Z,1,REGULAR,period,end,[],0,,,1610612747,31,33,2021-12-08T03:34:24Z,1590000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-12-08T03:37:03.4Z,2,REGULAR,substitution,out,['startperiod'],203076,,,1610612747,31,33,2021-12-08T03:37:23Z,1600000,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-12-08T03:37:03.4Z,2,REGULAR,substitution,out,['startperiod'],1628370,,,1610612747,31,33,2021-12-08T03:37:23Z,1610000,,,0,,SUB out: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-12-08T03:37:03.4Z,2,REGULAR,substitution,out,['startperiod'],201143,,,1610612747,31,33,2021-12-08T03:37:23Z,1620000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-12-08T03:37:03.4Z,2,REGULAR,substitution,in,['startperiod'],2730,,,1610612747,31,33,2021-12-08T03:37:23Z,1630000,,,0,,SUB in: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-12-08T03:37:03.4Z,2,REGULAR,substitution,in,['startperiod'],2544,,,1610612747,31,33,2021-12-08T03:37:23Z,1640000,,,0,,SUB in: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-12-08T03:37:03.4Z,2,REGULAR,substitution,in,['startperiod'],202683,,,1610612747,31,33,2021-12-08T03:37:23Z,1650000,,,0,,SUB in: E. Freedom,[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-12-08T03:37:35.4Z,2,REGULAR,period,start,[],0,,,1610612738,31,33,2021-12-08T03:37:35Z,1660000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M50.00S,2021-12-08T03:37:44.6Z,2,REGULAR,2pt,Jump Shot,[],1626196,90.71944809461235,25.490196078431367,1610612738,31,33,2021-12-08T03:38:24Z,1670000,-123.0,35.0,1,right,MISS J. Richardson 12' pullup Shot,[1626196],1610612738.0,BOS,pullup,,,Richardson,J. Richardson,,,,,12.73,Missed,,,,,,,,,,,,,,,,,,,
168,PT11M47.00S,2021-12-08T03:37:47.6Z,2,REGULAR,rebound,defensive,[],2730,,,1610612747,31,33,2021-12-08T03:37:49Z,1680000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,167.0,,1.0,1.0,0.0,,,,,,,,,,,,,,
169,PT11M39.00S,2021-12-08T03:37:54.8Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2546,7.539421813403408,51.22549019607843,1610612747,33,33,2021-12-08T03:38:12Z,1690000,-6.0,18.0,1,left,C. Anthony running Layup (4 PTS) (R. Westbrook 3 AST),"[2546, 201566]",1610612747.0,LAL,running,,,Anthony,C. Anthony,,,,,1.94,Made,,,,,,,,,4.0,R. Westbrook,201566.0,3.0,,,,,,,
171,PT11M22.00S,2021-12-08T03:38:12.0Z,2,REGULAR,3pt,Jump Shot,[],1626196,76.39618922470433,13.235294117647058,1610612738,33,33,2021-12-08T03:38:15Z,1710000,-184.0,169.0,1,right,MISS J. Richardson 25' 3PT,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,25.0,Missed,,,,,,,,,,,,,,,,,,,
172,PT11M20.00S,2021-12-08T03:38:14.0Z,2,REGULAR,rebound,defensive,[],2546,,,1610612747,33,33,2021-12-08T03:38:15Z,1720000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,171.0,,1.0,1.0,0.0,,,,,,,,,,,,,,
173,PT11M14.00S,2021-12-08T03:38:19.8Z,2,REGULAR,3pt,Jump Shot,[],2544,28.827201051248352,81.37254901960785,1610612747,33,33,2021-12-08T03:38:24Z,1730000,-157.0,218.0,1,left,MISS L. James 26' step back 3PT,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,26.9,Missed,,,,,,,,,,,,,,,,,,,
174,PT11M12.00S,2021-12-08T03:38:21.8Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,33,33,2021-12-08T03:38:24Z,1740000,,,0,,E. Freedom REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,173.0,,1.0,1.0,0.0,,,,,,,,,,,,,,
175,PT11M00.00S,2021-12-08T03:38:33.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203471,95.05584756898817,46.568627450980394,1610612738,33,33,2021-12-08T03:39:54Z,1750000,-17.0,-6.0,1,right,MISS D. Schroder driving Layup,[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,1.82,Missed,,,,,,,,,,,,,,,,,,,
176,PT11M00.00S,2021-12-08T03:38:33.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612747,33,33,2021-12-08T03:38:40Z,1760000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,
177,PT11M00.00S,2021-12-08T03:38:41.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,33,33,2021-12-08T03:38:41Z,1770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT10M39.00S,2021-12-08T03:39:01.7Z,2,REGULAR,3pt,Jump Shot,[],201961,27.250328515111704,17.892156862745097,1610612747,36,33,2021-12-08T03:39:07Z,1780000,161.0,204.0,1,left,W. Ellington 25' 3PT pullup (3 PTS) (L. James 2 AST),"[201961, 2544]",1610612747.0,LAL,pullup,,,Ellington,W. Ellington,,,,,25.93,Made,,,,,,,,,3.0,L. James,2544.0,2.0,,,,,,,
181,PT10M20.00S,2021-12-08T03:39:19.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,92.55913272010513,51.96078431372549,1610612738,36,35,2021-12-08T03:39:25Z,1810000,10.0,17.0,1,right,J. Richardson floating Jump Shot (11 PTS) (R. Langford 1 AST),"[1626196, 1629641]",1610612738.0,BOS,floating,,,Richardson,J. Richardson,,,,,2.0,Made,,,,,,,,,11.0,R. Langford,1629641.0,1.0,,,,,,,
183,PT10M01.00S,2021-12-08T03:39:39.4Z,2,REGULAR,2pt,Jump Shot,[],201566,14.766754270696453,75.73529411764706,1610612747,38,35,2021-12-08T03:39:45Z,1830000,-129.0,86.0,1,left,R. Westbrook 15' pullup bank Jump Shot (4 PTS),[201566],1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,15.5,Made,,,,,,,,,4.0,,,,,,,,,,
184,PT09M45.00S,2021-12-08T03:39:56.1Z,2,REGULAR,2pt,Jump Shot,[],1626196,80.6011826544021,33.57843137254902,1610612738,38,35,2021-12-08T03:40:00Z,1840000,-82.0,130.0,1,right,MISS J. Richardson 15' pullup Shot,[1626196],1610612738.0,BOS,pullup,,,Richardson,J. Richardson,,,,,15.36,Missed,,,,,,,,,,,,,,,,,,,
185,PT09M42.00S,2021-12-08T03:39:59.1Z,2,REGULAR,rebound,defensive,[],2546,,,1610612747,38,35,2021-12-08T03:40:00Z,1850000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,184.0,,2.0,2.0,0.0,,,,,,,,,,,,,,
186,PT09M37.00S,2021-12-08T03:40:03.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],2546,34.08344283837057,71.81372549019608,1610612747,38,35,2021-12-08T03:40:13Z,1860000,-109.0,268.0,1,left,MISS C. Anthony 28' running pullup 3PT,[2546],1610612747.0,LAL,running pullup,,,Anthony,C. Anthony,,,,,28.93,Missed,,,,,,,,,,,,,,,,,,,
187,PT09M34.00S,2021-12-08T03:40:06.4Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,38,35,2021-12-08T03:40:13Z,1870000,,,0,,E. Freedom REBOUND (Off:0 Def:2),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,186.0,,2.0,2.0,0.0,,,,,,,,,,,,,,
