actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
92,PT04M43.00S,2021-12-24T03:56:44.4Z,1,REGULAR,rebound,defensive,[],200765,,,1610612747,17,17,2021-12-24T03:56:45Z,920000,,,0,,R. Rondo REBOUND (Off:0 Def:1),[200765],1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,91.0,1.0,1.0,0.0,,,,,,,,,,,,,,
93,PT04M38.00S,2021-12-24T03:56:48.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,88.87976346911958,45.58823529411765,1610612747,17,17,2021-12-24T03:56:57Z,930000,-22.0,52.0,1,right,MISS L. James running Layup - blocked,"[2544, 1627749]",1610612747.0,LAL,running,,,James,L. James,,,,,5.65,Missed,,,,,,,,,,,,Murray,1627749.0,,,,,
94,PT04M38.00S,2021-12-24T03:56:48.8Z,1,REGULAR,block,,[],1627749,,,1610612747,17,17,2021-12-24T03:56:51Z,940000,,,0,,D. Murray BLOCK (1 BLK),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M36.00S,2021-12-24T03:56:50.8Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,17,17,2021-12-24T03:56:53Z,950000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,93.0,1.0,1.0,0.0,,,,,,,,,,,,,,
96,PT04M33.00S,2021-12-24T03:56:55.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629640,8.196452036793687,55.63725490196079,1610612759,17,19,2021-12-24T03:57:03Z,960000,-28.0,25.0,1,left,K. Johnson running Layup (2 PTS),[1629640],1610612759.0,SAS,running,,,Johnson,K. Johnson,,,,,3.74,Made,,,,,,,,2.0,,,,,,,,,,
97,PT04M13.00S,2021-12-24T03:57:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201961,83.36070959264126,54.90196078431372,1610612747,19,19,2021-12-24T03:59:01Z,970000,25.0,104.0,1,right,W. Ellington 10' driving floating Jump Shot (4 PTS) (L. James 2 AST),"[201961, 2544]",1610612747.0,LAL,driving floating,,,Ellington,W. Ellington,,,,,10.67,Made,,,,,,,,4.0,L. James,2544.0,2.0,,,,,,,
99,PT03M55.00S,2021-12-24T03:57:34.7Z,1,REGULAR,foul,personal,['2freethrow'],2730,,,1610612759,19,19,2021-12-24T03:57:41Z,990000,,,0,,D. Howard shooting personal FOUL (1 PF) (Johnson 2 FT),"[2730, 1629640]",1610612747.0,LAL,shooting,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,202035.0,1.0,0.0,Johnson,1629640.0
101,PT03M55.00S,2021-12-24T03:58:13.1Z,1,REGULAR,freethrow,1 of 2,[],1629640,,,1610612759,19,20,2021-12-24T03:58:13Z,1010000,,,0,,K. Johnson Free Throw 1 of 2 (3 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
102,PT03M55.00S,2021-12-24T03:58:13.6Z,1,REGULAR,substitution,out,[],1629659,,,1610612759,19,20,2021-12-24T03:58:37Z,1020000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M55.00S,2021-12-24T03:58:13.6Z,1,REGULAR,substitution,out,[],2730,,,1610612759,19,20,2021-12-24T03:58:37Z,1030000,,,0,,SUB out: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M55.00S,2021-12-24T03:58:13.6Z,1,REGULAR,substitution,out,[],1627751,,,1610612759,19,20,2021-12-24T03:58:37Z,1040000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M55.00S,2021-12-24T03:58:13.6Z,1,REGULAR,substitution,in,[],2546,,,1610612759,19,20,2021-12-24T03:58:37Z,1050000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M55.00S,2021-12-24T03:58:13.6Z,1,REGULAR,substitution,in,[],202738,,,1610612759,19,20,2021-12-24T03:58:37Z,1060000,,,0,,SUB in: I. Thomas,[202738],1610612747.0,LAL,,,,Thomas,I. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M55.00S,2021-12-24T03:58:13.6Z,1,REGULAR,substitution,in,[],1629111,,,1610612759,19,20,2021-12-24T03:58:37Z,1070000,,,0,,SUB in: J. Landale,[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M55.00S,2021-12-24T03:58:44.1Z,1,REGULAR,freethrow,2 of 2,[],1629640,,,1610612759,19,21,2021-12-24T03:58:44Z,1080000,,,0,,K. Johnson Free Throw 2 of 2 (4 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
109,PT03M38.00S,2021-12-24T03:59:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.82194480946123,54.65686274509804,1610612747,21,21,2021-12-24T03:59:08Z,1090000,23.0,15.0,1,right,L. James driving Layup (9 PTS) (W. Ellington 1 AST),"[2544, 201961]",1610612747.0,LAL,driving,,,James,L. James,,,,,2.77,Made,,,,,,,,9.0,W. Ellington,201961.0,1.0,,,,,,,
111,PT03M27.00S,2021-12-24T03:59:12.0Z,1,REGULAR,3pt,Jump Shot,[],1627749,31.718134034165573,68.13725490196079,1610612759,21,24,2021-12-24T03:59:16Z,1110000,-91.0,246.0,1,left,D. Murray 26' 3PT  (5 PTS) (J. Landale 1 AST),"[1627749, 1629111]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,26.19,Made,,,,,,,,5.0,J. Landale,1629111.0,1.0,,,,,,,
113,PT03M06.00S,2021-12-24T03:59:33.0Z,1,REGULAR,3pt,Jump Shot,[],202738,94.66162943495401,95.58823529411765,1610612747,21,24,2021-12-24T03:59:38Z,1130000,228.0,-2.0,1,right,MISS I. Thomas 3PT,[202738],1610612747.0,LAL,,,,Thomas,I. Thomas,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,
114,PT03M03.00S,2021-12-24T03:59:36.0Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,21,24,2021-12-24T03:59:38Z,1140000,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,113.0,2.0,2.0,0.0,,,,,,,,,,,,,,
115,PT02M51.00S,2021-12-24T03:59:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,10.167542706964511,57.84313725490196,1610612759,21,24,2021-12-24T03:59:52Z,1150000,-39.0,43.0,1,left,MISS D. Murray driving floating bank Shot,[1627749],1610612759.0,SAS,driving floating bank,,,Murray,D. Murray,,,,,5.83,Missed,,,,,,,,,,,,,,,,,,
116,PT02M49.00S,2021-12-24T03:59:50.1Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612759,21,24,2021-12-24T03:59:50Z,1160000,,,0,,J. Landale REBOUND (Off:1 Def:0),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,115.0,1.0,0.0,1.0,,,,,,,,,,,,,,
117,PT02M48.00S,2021-12-24T03:59:51.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629022,19.365965834428394,10.049019607843135,1610612759,21,24,2021-12-24T03:59:56Z,1170000,200.0,130.0,1,left,MISS L. Walker IV 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,23.81,Missed,,,,,,,,,,,,,,,,,,
118,PT02M45.00S,2021-12-24T03:59:54.5Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,21,24,2021-12-24T03:59:56Z,1180000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,,
119,PT02M41.00S,2021-12-24T03:59:58.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201961,88.35413929040736,5.14705882352942,1610612747,21,24,2021-12-24T04:00:44Z,1190000,-224.0,57.0,1,right,MISS W. Ellington running pullup 3PT,[201961],1610612747.0,LAL,running pullup,,,Ellington,W. Ellington,,,,,23.14,Missed,,,,,,,,,,,,,,,,,,
120,PT02M38.00S,2021-12-24T04:00:01.8Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,21,24,2021-12-24T04:00:06Z,1200000,,,0,,K. Johnson REBOUND (Off:0 Def:3),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,119.0,3.0,3.0,0.0,,,,,,,,,,,,,,
121,PT02M27.00S,2021-12-24T04:00:14.7Z,1,REGULAR,foul,personal,['2freethrow'],2546,,,1610612759,21,24,2021-12-24T04:00:19Z,1210000,,,0,,C. Anthony shooting personal FOUL (1 PF) (Landale 2 FT),"[2546, 1629111]",1610612747.0,LAL,shooting,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Landale,1629111.0
123,PT02M27.00S,2021-12-24T04:00:24.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,21,24,2021-12-24T04:00:24Z,1230000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M27.00S,2021-12-24T04:02:58.6Z,1,REGULAR,substitution,out,[],201961,,,1610612759,21,24,2021-12-24T04:03:35Z,1240000,,,0,,SUB out: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M27.00S,2021-12-24T04:02:58.6Z,1,REGULAR,substitution,out,[],2544,,,1610612759,21,24,2021-12-24T04:03:35Z,1250000,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M27.00S,2021-12-24T04:02:58.6Z,1,REGULAR,substitution,out,[],1627749,,,1610612759,21,24,2021-12-24T04:03:35Z,1260000,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M27.00S,2021-12-24T04:02:58.6Z,1,REGULAR,substitution,in,[],201566,,,1610612759,21,24,2021-12-24T04:03:35Z,1270000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M27.00S,2021-12-24T04:02:58.6Z,1,REGULAR,substitution,in,[],1629203,,,1610612759,21,24,2021-12-24T04:03:35Z,1280000,,,0,,SUB in: J. Jones,[1629203],1610612747.0,LAL,,,,Jones,J. Jones,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M27.00S,2021-12-24T04:02:58.6Z,1,REGULAR,substitution,in,[],1630200,,,1610612759,21,24,2021-12-24T04:03:35Z,1290000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M27.00S,2021-12-24T04:03:39.9Z,1,REGULAR,freethrow,1 of 2,[],1629111,,,1610612759,21,25,2021-12-24T04:03:39Z,1300000,,,0,,J. Landale Free Throw 1 of 2 (1 PTS),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
131,PT02M27.00S,2021-12-24T04:03:54.0Z,1,REGULAR,freethrow,2 of 2,[],1629111,,,1610612759,21,26,2021-12-24T04:03:54Z,1310000,,,0,,J. Landale Free Throw 2 of 2 (2 PTS),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
132,PT02M06.00S,2021-12-24T04:04:16.7Z,1,REGULAR,turnover,bad pass,[],2546,,,1610612747,21,26,2021-12-24T04:04:21Z,1320000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[2546, 1629111]",1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,1.0,Landale,1629111.0,,,,,,,,,,,
133,PT02M06.00S,2021-12-24T04:04:16.7Z,1,REGULAR,steal,,[],1629111,,,1610612759,21,26,2021-12-24T04:04:18Z,1330000,,,0,,J. Landale STEAL (1 STL),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M57.00S,2021-12-24T04:04:25.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629640,16.737844940867276,55.63725490196079,1610612759,21,26,2021-12-24T04:04:30Z,1340000,-28.0,105.0,1,left,MISS K. Johnson 10' driving floating Shot,[1629640],1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,10.85,Missed,,,,,,,,,,,,,,,,,,
135,PT01M54.00S,2021-12-24T04:04:28.5Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612759,21,26,2021-12-24T04:04:30Z,1350000,,,0,,J. Landale REBOUND (Off:2 Def:0),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,134.0,2.0,0.0,2.0,,,,,,,,,,,,,,
136,PT01M54.00S,2021-12-24T04:04:29.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629111,5.590000152587891,50.0,1610612759,21,26,2021-12-24T04:04:29Z,1360000,0.0,0.0,1,left,MISS J. Landale tip Layup,[1629111],1610612759.0,SAS,tip,,,Landale,J. Landale,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
137,PT01M53.00S,2021-12-24T04:04:30.1Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612759,21,26,2021-12-24T04:04:30Z,1370000,,,0,,J. Landale REBOUND (Off:3 Def:0),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,136.0,3.0,0.0,3.0,,,,,,,,,,,,,,
138,PT01M52.00S,2021-12-24T04:04:31.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629022,27.644546649145866,24.509803921568633,1610612759,21,29,2021-12-24T04:04:40Z,1380000,127.0,207.0,1,left,L. Walker IV 24' 3PT  (6 PTS) (J. Landale 2 AST),"[1629022, 1629111]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,24.35,Made,,,,,,,,6.0,J. Landale,1629111.0,2.0,,,,,,,
140,PT01M38.00S,2021-12-24T04:04:54.8Z,1,REGULAR,foul,personal,['2freethrow'],1630200,,,1610612747,21,29,2021-12-24T04:05:04Z,1400000,,,0,,T. Jones shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1630200, 201566]",1610612759.0,SAS,shooting,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,202035.0,1.0,0.0,Westbrook,201566.0
142,PT01M38.00S,2021-12-24T04:05:25.8Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612747,21,29,2021-12-24T04:05:25Z,1420000,,,0,,MISS R. Westbrook Free Throw 1 of 2,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,Missed,,,,,,,,,,,,,,,,,,
143,PT01M38.00S,2021-12-24T04:05:25.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,21,29,2021-12-24T04:05:25Z,1430000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,,
144,PT01M38.00S,2021-12-24T04:05:26.4Z,1,REGULAR,substitution,out,[],1629640,,,1610612747,21,29,2021-12-24T04:05:30Z,1440000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M38.00S,2021-12-24T04:05:26.4Z,1,REGULAR,substitution,in,[],1628966,,,1610612747,21,29,2021-12-24T04:05:30Z,1450000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M38.00S,2021-12-24T04:05:54.5Z,1,REGULAR,freethrow,2 of 2,[],201566,,,1610612747,22,29,2021-12-24T04:05:54Z,1460000,,,0,,R. Westbrook Free Throw 2 of 2 (5 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
147,PT01M18.00S,2021-12-24T04:06:16.0Z,1,REGULAR,3pt,Jump Shot,[],1630170,32.37516425755584,71.07843137254902,1610612759,22,29,2021-12-24T04:06:49Z,1470000,-105.0,252.0,1,left,MISS D. Vassell 27' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,27.3,Missed,,,,,,,,,,,,,,,,,,
148,PT01M13.00S,2021-12-24T04:06:21.0Z,1,REGULAR,rebound,defensive,[],200765,,,1610612747,22,29,2021-12-24T04:06:24Z,1480000,,,0,,R. Rondo REBOUND (Off:0 Def:2),[200765],1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,147.0,2.0,2.0,0.0,,,,,,,,,,,,,,
149,PT01M10.00S,2021-12-24T04:06:25.3Z,1,REGULAR,foul,offensive,[],2546,,,1610612747,22,29,2021-12-24T04:06:33Z,1490000,,,0,,C. Anthony offensive FOUL (2 PF),"[2546, 1629111]",1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,203593.0,2.0,0.0,Landale,1629111.0
151,PT01M10.00S,2021-12-24T04:06:25.3Z,1,REGULAR,turnover,offensive foul,[],2546,,,1610612747,22,29,2021-12-24T04:06:25Z,1510000,,,0,,C. Anthony offensive foul TURNOVER (2 TO),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,2.0,,,,,,,,,203593.0,,,,
152,PT00M54.00S,2021-12-24T04:06:57.2Z,1,REGULAR,foul,personal,[],1629203,,,1610612759,22,29,2021-12-24T04:07:04Z,1520000,,,0,,J. Jones personal FOUL (1 PF),"[1629203, 1628966]",1610612747.0,LAL,,,,Jones,J. Jones,,,,,,,,,,,,,,,,,,,,202035.0,1.0,0.0,Bates-Diop,1628966.0
154,PT00M54.00S,2021-12-24T04:07:10.2Z,1,REGULAR,substitution,out,[],2546,,,1610612759,22,29,2021-12-24T04:07:13Z,1540000,,,0,,SUB out: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M54.00S,2021-12-24T04:07:10.2Z,1,REGULAR,substitution,in,[],2730,,,1610612759,22,29,2021-12-24T04:07:13Z,1550000,,,0,,SUB in: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M46.80S,2021-12-24T04:07:26.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629022,26.72470433639947,17.64705882352942,1610612759,22,29,2021-12-24T04:07:31Z,1560000,162.0,199.0,1,left,MISS L. Walker IV 25' 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,
157,PT00M44.00S,2021-12-24T04:07:29.5Z,1,REGULAR,rebound,defensive,[],202738,,,1610612747,22,29,2021-12-24T04:07:31Z,1570000,,,0,,I. Thomas REBOUND (Off:0 Def:1),[202738],1610612747.0,LAL,,,,Thomas,I. Thomas,,,,,,,156.0,1.0,1.0,0.0,,,,,,,,,,,,,,
158,PT00M38.30S,2021-12-24T04:07:35.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201566,89.93101182654402,47.549019607843135,1610612747,22,29,2021-12-24T04:07:56Z,1580000,-12.0,42.0,1,right,MISS R. Westbrook running finger roll Layup,[201566],1610612747.0,LAL,running finger roll,,,Westbrook,R. Westbrook,,,,,4.39,Missed,,,,,,,,,,,,,,,,,,
159,PT00M37.60S,2021-12-24T04:07:35.8Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,22,29,2021-12-24T04:07:41Z,1590000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,158.0,1.0,1.0,0.0,,,,,,,,,,,,,,
160,PT00M37.60S,2021-12-24T04:07:40.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201566,,,1610612759,22,29,2021-12-24T04:07:45Z,1600000,,,0,,R. Westbrook personal FOUL (2 PF) (Bates-Diop 2 FT),"[201566, 1628966]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,202035.0,2.0,0.0,Bates-Diop,1628966.0
162,PT00M37.60S,2021-12-24T04:08:13.6Z,1,REGULAR,freethrow,1 of 2,[],1628966,,,1610612759,22,29,2021-12-24T04:08:13Z,1620000,,,0,,MISS K. Bates-Diop Free Throw 1 of 2,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,Missed,,,,,,,,,,,,,,,,,,
163,PT00M37.60S,2021-12-24T04:08:13.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,22,29,2021-12-24T04:08:13Z,1630000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,
164,PT00M37.60S,2021-12-24T04:08:14.3Z,1,REGULAR,substitution,out,[],201566,,,1610612759,22,29,2021-12-24T04:08:19Z,1640000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M37.60S,2021-12-24T04:08:14.3Z,1,REGULAR,substitution,in,[],1629659,,,1610612759,22,29,2021-12-24T04:08:19Z,1650000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M37.60S,2021-12-24T04:08:32.0Z,1,REGULAR,freethrow,2 of 2,[],1628966,,,1610612759,22,30,2021-12-24T04:08:32Z,1660000,,,0,,K. Bates-Diop Free Throw 2 of 2 (1 PTS),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
167,PT00M27.30S,2021-12-24T04:08:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202738,81.91524310118265,62.5,1610612747,24,30,2021-12-24T04:08:52Z,1670000,62.0,117.0,1,right,I. Thomas 13' pullup Jump Shot (2 PTS) (R. Rondo 2 AST),"[202738, 200765]",1610612747.0,LAL,pullup,,,Thomas,I. Thomas,,,,,13.31,Made,,,,,,,,2.0,R. Rondo,200765.0,2.0,,,,,,,
169,PT00M07.90S,2021-12-24T04:09:15.5Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",2730,,,1610612759,24,30,2021-12-24T04:09:26Z,1690000,,,0,,D. Howard defensive-3-second technical FOUL (1 Tech),[2730],1610612747.0,LAL,defensive-3-second,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,203593.0,1.0,1.0,,
170,PT00M07.90S,2021-12-24T04:09:31.2Z,1,REGULAR,freethrow,1 of 1,[],1629022,,,1610612759,24,31,2021-12-24T04:09:31Z,1700000,,,0,,L. Walker IV technical Free Throw 1 of 1 (7 PTS),[1629022],1610612759.0,SAS,technical,,,Walker IV,L. Walker IV,,,,,,Made,,,,,,,,7.0,,,,,,,,,,
171,PT00M07.90S,2021-12-24T04:09:33.0Z,1,REGULAR,substitution,out,[],1628966,,,1610612759,24,31,2021-12-24T04:09:39Z,1710000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M07.90S,2021-12-24T04:09:33.0Z,1,REGULAR,substitution,in,[],203926,,,1610612759,24,31,2021-12-24T04:09:39Z,1720000,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,
173,PT00M03.70S,2021-12-24T04:09:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,11.48160315374507,37.745098039215684,1610612759,24,31,2021-12-24T04:10:55Z,1730000,61.0,55.0,1,left,MISS T. Jones 8' driving Layup - blocked,"[1630200, 2730]",1610612759.0,SAS,driving,,,Jones,T. Jones,,,,,8.26,Missed,,,,,,,,,,,,Howard,2730.0,,,,,
174,PT00M03.70S,2021-12-24T04:09:52.3Z,1,REGULAR,block,,[],2730,,,1610612759,24,31,2021-12-24T04:09:54Z,1740000,,,0,,D. Howard BLOCK (2 BLK),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
175,PT00M02.50S,2021-12-24T04:09:53.5Z,1,REGULAR,rebound,offensive,[],1630200,,,1610612759,24,31,2021-12-24T04:10:55Z,1750000,,,0,,T. Jones REBOUND (Off:1 Def:0),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,173.0,1.0,0.0,1.0,,,,,,,,,,,,,,
176,PT00M02.00S,2021-12-24T04:09:56.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630200,11.613009198423129,41.91176470588235,1610612759,24,31,2021-12-24T04:11:08Z,1760000,40.0,57.0,1,left,MISS T. Jones 6' fadeaway Shot,[1630200],1610612759.0,SAS,fadeaway,,,Jones,T. Jones,,,,,6.96,Missed,,,,,,,,,,,,,,,,,,
177,PT00M00.60S,2021-12-24T04:09:58.0Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612759,24,31,2021-12-24T04:11:08Z,1770000,,,0,,J. Landale REBOUND (Off:4 Def:0),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,176.0,4.0,0.0,4.0,,,,,,,,,,,,,,
178,PT00M00.60S,2021-12-24T04:10:00.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629111,5.590000152587891,50.0,1610612759,24,33,2021-12-24T04:11:13Z,1780000,0.0,0.0,1,left,J. Landale tip Layup (4 PTS),[1629111],1610612759.0,SAS,tip,,,Landale,J. Landale,,,,,0.0,Made,,,,,,,,4.0,,,,,,,,,,
179,PT00M00.00S,2021-12-24T04:10:02.6Z,1,REGULAR,instantreplay,request,[],0,,,1610612747,24,33,2021-12-24T04:10:52Z,1790000,,,0,,,[],,,stands,,,,,,,,,,,,,,,,,,,,,,,,202027.0,,,,
180,PT00M00.00S,2021-12-24T04:10:53.7Z,1,REGULAR,period,end,[],0,,,1610612747,24,33,2021-12-24T04:10:53Z,1800000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
