actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
52,PT07M18.00S,2022-03-15T02:48:33.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,17,2022-03-15T02:48:32Z,520000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
53,PT07M11.00S,2022-03-15T02:48:39.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,7.670827858081481,48.774509803921575,1610612761,2,17,2022-03-15T02:48:44Z,530000,6.0,20.0,1,left,MISS P. Achiuwa driving Layup,[1630173],1610612761.0,TOR,driving,,,Achiuwa,P. Achiuwa,,,,,2.05,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M09.00S,2022-03-15T02:48:41.7Z,1,REGULAR,rebound,defensive,[],1626169,,,1610612747,2,17,2022-03-15T02:48:44Z,540000,,,0,,S. Johnson REBOUND (Off:0 Def:1),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
55,PT07M01.00S,2022-03-15T02:48:49.3Z,1,REGULAR,3pt,Jump Shot,[],1628370,72.7168199737188,22.303921568627445,1610612747,2,17,2022-03-15T02:48:53Z,550000,-138.0,204.0,1,right,MISS M. Monk 24' step back 3PT,[1628370],1610612747.0,LAL,step back,,,Monk,M. Monk,,,,,24.66,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M59.00S,2022-03-15T02:48:51.3Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,2,17,2022-03-15T02:48:53Z,560000,,,0,,P. Achiuwa REBOUND (Off:1 Def:3),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,55.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
57,PT06M53.00S,2022-03-15T02:48:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,7.802233902759525,50.49019607843137,1610612761,2,19,2022-03-15T02:49:02Z,570000,-2.0,21.0,1,left,S. Barnes Layup (10 PTS) (P. Siakam 2 AST),"[1630567, 1627783]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,2.09,Made,,,,,10.0,P. Siakam,1627783.0,2.0,,,,,,,,,,,
59,PT06M53.00S,2022-03-15T02:49:06.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,2,19,2022-03-15T02:49:06Z,590000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M53.00S,2022-03-15T02:51:21.0Z,1,REGULAR,substitution,out,[],1630559,,,1610612747,2,19,2022-03-15T02:51:49Z,600000,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M53.00S,2022-03-15T02:51:21.0Z,1,REGULAR,substitution,out,[],1626169,,,1610612747,2,19,2022-03-15T02:51:49Z,610000,,,0,,SUB out: S. Johnson,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M53.00S,2022-03-15T02:51:21.0Z,1,REGULAR,substitution,out,[],1628370,,,1610612747,2,19,2022-03-15T02:51:49Z,620000,,,0,,SUB out: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
