actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
181,PT00M00.00S,2024-10-27T00:40:42.3Z,1,REGULAR,period,end,[],0,,,1610612760,21,26,2024-10-27T00:40:42Z,1780000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2024-10-27T00:42:54.5Z,2,REGULAR,substitution,out,['startperiod'],1641763,,,1610612760,21,26,2024-10-27T00:43:07Z,1790000,False,,,0,,SUB out: J. Phillips,[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2024-10-27T00:42:54.5Z,2,REGULAR,substitution,out,['startperiod'],1631172,,,1610612760,21,26,2024-10-27T00:43:07Z,1800000,False,,,0,,SUB out: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2024-10-27T00:42:54.5Z,2,REGULAR,substitution,out,['startperiod'],1630598,,,1610612760,21,26,2024-10-27T00:43:07Z,1810000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2024-10-27T00:42:54.5Z,2,REGULAR,substitution,in,['startperiod'],1630172,,,1610612760,21,26,2024-10-27T00:43:07Z,1820000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2024-10-27T00:42:54.5Z,2,REGULAR,substitution,in,['startperiod'],1631096,,,1610612760,21,26,2024-10-27T00:43:07Z,1830000,False,,,0,,SUB in: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2024-10-27T00:42:54.5Z,2,REGULAR,substitution,in,['startperiod'],1627936,,,1610612760,21,26,2024-10-27T00:43:07Z,1840000,False,,,0,,SUB in: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2024-10-27T00:43:23.9Z,2,REGULAR,period,start,[],0,,,1610612741,21,26,2024-10-27T00:43:23Z,1850000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT11M51.00S,2024-10-27T00:43:32.7Z,2,REGULAR,3pt,Jump Shot,[],1630188,4.5499342969776615,2.941176470588235,1610612741,21,26,2024-10-27T00:43:42Z,1860000,False,235.0,-10.0,1,left,MISS J. Smith 3PT,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Right Corner 3,24+ Right,23.55,Missed,,,,,,,,,,,,,,,,,,
190,PT11M48.00S,2024-10-27T00:43:35.7Z,2,REGULAR,rebound,offensive,[],1630581,,,1610612741,21,26,2024-10-27T00:43:35Z,1870000,False,,,0,,J. Giddey REBOUND (Off:2 Def:3),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,,,,,,,,189.0,5.0,3.0,2.0,,,,,,,
191,PT11M44.00S,2024-10-27T00:43:39.4Z,2,REGULAR,turnover,bad pass,[],1630581,,,1610612741,21,26,2024-10-27T00:43:45Z,1880000,False,,,0,,J. Giddey bad pass TURNOVER (2 TO),"[1630581, 1642349]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,2.0,Mitchell,1642349.0,,,,
192,PT11M44.00S,2024-10-27T00:43:39.4Z,2,REGULAR,steal,,[],1642349,,,1610612760,21,26,2024-10-27T00:43:41Z,1890000,False,,,0,,A. Mitchell STEAL (1 STL),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
193,PT11M39.00S,2024-10-27T00:43:44.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627936,93.24901445466492,51.71568627450981,1610612760,21,26,2024-10-27T00:43:53Z,1900000,False,9.0,11.0,1,right,MISS A. Caruso running Layup,[1627936],1610612760.0,OKC,running,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,1.4,Missed,,,,,,,,,,,,,,,,,,
194,PT11M37.00S,2024-10-27T00:43:45.9Z,2,REGULAR,rebound,defensive,[],1630188,,,1610612741,21,26,2024-10-27T00:43:45Z,1910000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,193.0,1.0,1.0,0.0,,,,,,,
195,PT11M35.00S,2024-10-27T00:43:50.0Z,2,REGULAR,foul,personal,[],1642349,,,1610612741,21,26,2024-10-27T00:44:34Z,1920000,False,,,0,,A. Mitchell personal FOUL (1 PF),"[1642349, 1629632]",1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,201639.0,1.0,0.0,,,,,,,,White,1629632.0,,
197,PT11M23.00S,2024-10-27T00:44:28.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,10.988830486202366,53.431372549019606,1610612741,21,26,2024-10-27T00:44:38Z,1940000,False,-17.0,51.0,1,left,MISS P. Williams driving floating Shot,[1630172],1610612741.0,CHI,driving floating,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.36,Missed,,,,,,,,,,,,,,,,,,
198,PT11M20.00S,2024-10-27T00:44:31.3Z,2,REGULAR,rebound,defensive,[],1631096,,,1610612760,21,26,2024-10-27T00:44:31Z,1950000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:4),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,197.0,4.0,4.0,0.0,,,,,,,
199,PT11M03.00S,2024-10-27T00:44:47.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642349,92.85479632063075,49.50980392156863,1610612760,21,26,2024-10-27T00:44:52Z,1960000,False,-2.0,15.0,1,right,MISS A. Mitchell driving reverse Layup,[1642349],1610612760.0,OKC,driving reverse,,,Mitchell,A. Mitchell,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
200,PT11M01.00S,2024-10-27T00:44:49.8Z,2,REGULAR,rebound,defensive,[],1630188,,,1610612741,21,26,2024-10-27T00:44:52Z,1970000,False,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,199.0,2.0,2.0,0.0,,,,,,,
201,PT11M01.00S,2024-10-27T00:44:53.1Z,2,REGULAR,turnover,out-of-bounds,[],1630172,,,1610612741,21,26,2024-10-27T00:45:00Z,1980000,False,,,0,,P. Williams step out-of-bounds TURNOVER (1 TO),[1630172],1610612741.0,CHI,step,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,1627534.0,,,,,,,1.0,,,,,,
202,PT10M46.00S,2024-10-27T00:45:28.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642349,94.03745072273325,53.18627450980392,1610612760,21,26,2024-10-27T00:45:34Z,1990000,False,16.0,4.0,1,right,MISS A. Mitchell driving reverse Layup,[1642349],1610612760.0,OKC,driving reverse,,,Mitchell,A. Mitchell,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,,
203,PT10M44.00S,2024-10-27T00:45:30.8Z,2,REGULAR,rebound,defensive,[],1630188,,,1610612741,21,26,2024-10-27T00:45:34Z,2000000,False,,,0,,J. Smith REBOUND (Off:0 Def:3),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,202.0,3.0,3.0,0.0,,,,,,,
204,PT10M40.00S,2024-10-27T00:45:34.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630188,29.911300919842315,32.84313725490196,1610612741,24,26,2024-10-27T00:46:03Z,2010000,False,86.0,229.0,1,left,J. Smith 24' 3PT  (4 PTS) (J. Giddey 2 AST),"[1630188, 1630581]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,24.43,Made,4.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,,
206,PT10M24.00S,2024-10-27T00:45:50.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,86.15308804204993,48.03921568627451,1610612760,24,28,2024-10-27T00:47:13Z,2030000,False,-10.0,78.0,1,right,J. Williams 7' turnaround fadeaway Jump Shot (4 PTS),[1631114],1610612760.0,OKC,turnaround fadeaway,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,7.83,Made,4.0,,,,,,,,,,,,,,,,,
207,PT10M10.00S,2024-10-27T00:46:04.6Z,2,REGULAR,3pt,Jump Shot,[],1630245,28.728646517739815,24.264705882352942,1610612741,24,28,2024-10-27T00:49:50Z,2040000,False,129.0,218.0,1,left,MISS A. Dosunmu 25' 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,25.27,Missed,,,,,,,,,,,,,,,,,,
208,PT10M10.00S,2024-10-27T00:46:04.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612741,24,28,2024-10-27T00:49:50Z,2050000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,207.0,,,,,,,,,,
211,PT10M10.00S,2024-10-27T00:46:17.7Z,2,REGULAR,substitution,out,[],1630245,,,1610612741,24,28,2024-10-27T00:46:21Z,2072500,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT10M10.00S,2024-10-27T00:46:17.7Z,2,REGULAR,substitution,in,[],1641824,,,1610612741,24,28,2024-10-27T00:46:21Z,2083750,False,,,0,,SUB in: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT10M10.00S,2024-10-27T00:46:18.0Z,2,REGULAR,foul,personal,[],1627936,,,1610612741,24,28,2024-10-27T00:50:30Z,2095000,False,,,0,,A. Caruso loose ball personal FOUL (2 PF),"[1627936, 1630188]",1610612760.0,OKC,loose ball,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,1630886.0,2.0,0.0,,,,,,,,Smith,1630188.0,,
213,PT10M02.00S,2024-10-27T00:46:34.4Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1629632,5.863994743758213,73.77450980392157,1610612741,26,28,2024-10-27T00:46:42Z,2100000,False,-119.0,3.0,1,left,C. White 11' step back Jump Shot (3 PTS),[1629632],1610612741.0,CHI,step back,,,White,C. White,,,,,Mid-Range,8-16 Left,11.89,Made,3.0,,,,,,,,,,,,,,,,,
214,PT09M57.00S,2024-10-27T00:46:44.0Z,2,REGULAR,foul,personal,['2freethrow'],1630188,,,1610612760,26,28,2024-10-27T00:47:14Z,2110000,False,,,0,,J. Smith shooting personal FOUL (1 PF) (Williams 2 FT),"[1630188, 1631114]",1610612741.0,CHI,shooting,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201639.0,1.0,0.0,,,,,,,,Williams,1631114.0,,
216,PT09M57.00S,2024-10-27T00:47:15.4Z,2,REGULAR,freethrow,1 of 2,[],1631114,,,1610612760,26,29,2024-10-27T00:47:15Z,2130000,False,,,0,,J. Williams Free Throw 1 of 2 (5 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
217,PT09M57.00S,2024-10-27T00:47:16.9Z,2,REGULAR,substitution,out,[],1629632,,,1610612760,26,29,2024-10-27T00:47:26Z,2140000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT09M57.00S,2024-10-27T00:47:16.9Z,2,REGULAR,substitution,out,[],1630581,,,1610612760,26,29,2024-10-27T00:47:26Z,2150000,False,,,0,,SUB out: J. Giddey,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT09M57.00S,2024-10-27T00:47:16.9Z,2,REGULAR,substitution,in,[],203897,,,1610612760,26,29,2024-10-27T00:47:26Z,2160000,False,,,0,,SUB in: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT09M57.00S,2024-10-27T00:47:16.9Z,2,REGULAR,substitution,in,[],1628366,,,1610612760,26,29,2024-10-27T00:47:26Z,2170000,False,,,0,,SUB in: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT09M57.00S,2024-10-27T00:47:33.9Z,2,REGULAR,freethrow,2 of 2,[],1631114,,,1610612760,26,30,2024-10-27T00:47:33Z,2180000,False,,,0,,J. Williams Free Throw 2 of 2 (6 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
222,PT09M36.00S,2024-10-27T00:47:57.7Z,2,REGULAR,turnover,bad pass,[],1628366,,,1610612741,26,30,2024-10-27T00:48:02Z,2190000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1628366, 1642349]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1.0,Mitchell,1642349.0,,,,
223,PT09M36.00S,2024-10-27T00:47:57.7Z,2,REGULAR,steal,,[],1642349,,,1610612760,26,30,2024-10-27T00:47:59Z,2200000,False,,,0,,A. Mitchell STEAL (2 STL),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
224,PT09M31.00S,2024-10-27T00:48:02.4Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631096,94.1688567674113,49.26470588235294,1610612760,26,32,2024-10-27T00:48:26Z,2210000,False,-4.0,2.0,1,right,C. Holmgren cutting DUNK (5 PTS) (A. Caruso 1 AST),"[1631096, 1627936]",1610612760.0,OKC,cutting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,0.44,Made,5.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,,,
226,PT09M14.00S,2024-10-27T00:48:19.4Z,2,REGULAR,3pt,Jump Shot,[],203897,31.882391590013142,52.450980392156865,1610612741,26,32,2024-10-27T00:51:50Z,2230000,False,-12.0,247.0,1,left,MISS Z. LaVine 24' step back 3PT,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,24.75,Missed,,,,,,,,,,,,,,,,,,
227,PT09M14.00S,2024-10-27T00:48:19.4Z,2,REGULAR,rebound,defensive,[],1631114,,,1610612760,26,32,2024-10-27T00:48:29Z,2240000,False,,,0,,J. Williams REBOUND (Off:1 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,226.0,2.0,1.0,1.0,,,,,,,
228,PT09M07.00S,2024-10-27T00:48:25.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630198,71.43561103810775,19.607843137254903,1610612760,26,32,2024-10-27T00:52:11Z,2250000,False,-152.0,216.0,1,right,MISS I. Joe 26' 3PT,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,26.41,Missed,,,,,,,,,,,,,,,,,,
229,PT09M07.00S,2024-10-27T00:48:25.9Z,2,REGULAR,rebound,defensive,[],1630172,,,1610612741,26,32,2024-10-27T00:48:36Z,2260000,False,,,0,,P. Williams REBOUND (Off:1 Def:2),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,228.0,3.0,2.0,1.0,,,,,,,
230,PT08M56.00S,2024-10-27T00:48:40.1Z,2,REGULAR,foul,personal,['2freethrow'],1642349,,,1610612741,26,32,2024-10-27T00:49:12Z,2270000,False,,,0,,A. Mitchell shooting personal FOUL (2 PF) (LaVine 2 FT),"[1642349, 203897]",1610612760.0,OKC,shooting,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201639.0,2.0,0.0,,,,,,,,LaVine,203897.0,,
232,PT08M56.00S,2024-10-27T00:49:16.7Z,2,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,27,32,2024-10-27T00:49:16Z,2290000,False,,,0,,Z. LaVine Free Throw 1 of 2 (4 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
233,PT08M56.00S,2024-10-27T00:49:18.8Z,2,REGULAR,substitution,out,[],1630188,,,1610612741,27,32,2024-10-27T00:49:22Z,2300000,False,,,0,,SUB out: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT08M56.00S,2024-10-27T00:49:18.8Z,2,REGULAR,substitution,in,[],202696,,,1610612741,27,32,2024-10-27T00:49:22Z,2310000,False,,,0,,SUB in: N. Vučević,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT08M56.00S,2024-10-27T00:49:35.6Z,2,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,28,32,2024-10-27T00:49:35Z,2320000,False,,,0,,Z. LaVine Free Throw 2 of 2 (5 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
236,PT08M51.00S,2024-10-27T00:49:45.8Z,2,REGULAR,foul,personal,[],1630172,,,1610612760,28,32,2024-10-27T00:49:52Z,2330000,False,,,0,,P. Williams personal FOUL (1 PF),"[1630172, 1631114]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,201639.0,1.0,0.0,,,,,,,,Williams,1631114.0,,
238,PT08M44.00S,2024-10-27T00:50:12.7Z,2,REGULAR,turnover,lost ball,[],1631114,,,1610612760,28,32,2024-10-27T00:50:20Z,2350000,False,,,0,,J. Williams lost ball TURNOVER (1 TO),"[1631114, 1630172]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Williams,1630172.0,,,,
239,PT08M44.00S,2024-10-27T00:50:12.7Z,2,REGULAR,steal,,[],1630172,,,1610612741,28,32,2024-10-27T00:50:14Z,2360000,False,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
240,PT08M40.00S,2024-10-27T00:50:19.1Z,2,REGULAR,turnover,out-of-bounds,[],1641824,,,1610612741,28,32,2024-10-27T00:50:27Z,2370000,False,,,0,,M. Buzelis bad pass out-of-bounds TURNOVER (1 TO),[1641824],1610612741.0,CHI,bad pass,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201639.0,,,,,,,1.0,,,,,,
241,PT08M27.00S,2024-10-27T00:50:39.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631114,92.19776609724047,51.9607843137255,1610612760,28,32,2024-10-27T00:50:44Z,2380000,False,10.0,21.0,1,right,MISS J. Williams driving finger roll Layup,[1631114],1610612760.0,OKC,driving finger roll,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,2.3,Missed,,,,,,,,,,,,,,,,,,
242,PT08M25.00S,2024-10-27T00:50:41.0Z,2,REGULAR,rebound,defensive,[],1628366,,,1610612741,28,32,2024-10-27T00:50:44Z,2390000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,,,,,241.0,2.0,2.0,0.0,,,,,,,
243,PT08M18.00S,2024-10-27T00:50:47.4Z,2,REGULAR,3pt,Jump Shot,[],1630172,27.414586070959263,17.15686274509804,1610612741,31,32,2024-10-27T00:50:54Z,2400000,False,164.0,205.0,1,left,P. Williams 26' 3PT  (3 PTS) (N. Vučević 1 AST),"[1630172, 202696]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,26.28,Made,3.0,N. Vučević,202696.0,1.0,,,,,,,,,,,,,,
245,PT08M10.00S,2024-10-27T00:50:58.5Z,2,REGULAR,foul,personal,[],1628366,,,1610612760,31,32,2024-10-27T00:51:07Z,2420000,False,,,0,,L. Ball personal FOUL (2 PF),"[1628366, 1631114]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,,,1630886.0,2.0,0.0,,,,,,,,Williams,1631114.0,,
247,PT08M02.00S,2024-10-27T00:51:23.4Z,2,REGULAR,3pt,Jump Shot,[],1631096,66.44218134034165,47.30392156862745,1610612760,31,32,2024-10-27T00:51:31Z,2440000,False,-13.0,263.0,1,right,MISS C. Holmgren 26' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Center,26.32,Missed,,,,,,,,,,,,,,,,,,
248,PT07M57.00S,2024-10-27T00:51:28.0Z,2,REGULAR,rebound,offensive,[],1631114,,,1610612760,31,32,2024-10-27T00:51:28Z,2450000,False,,,0,,J. Williams REBOUND (Off:2 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,247.0,3.0,1.0,2.0,,,,,,,
249,PT07M56.00S,2024-10-27T00:51:28.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627936,70.51576872536137,22.54901960784314,1610612760,31,35,2024-10-27T00:51:34Z,2460000,False,-137.0,225.0,1,right,A. Caruso 26' 3PT  (3 PTS) (J. Williams 5 AST),"[1627936, 1631114]",1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,26.33,Made,3.0,J. Williams,1631114.0,5.0,,,,,,,,,,,,,,
251,PT07M42.00S,2024-10-27T00:51:45.8Z,2,REGULAR,turnover,out-of-bounds,[],1628366,,,1610612741,31,35,2024-10-27T00:55:05Z,2480000,False,,,0,,L. Ball bad pass out-of-bounds TURNOVER (2 TO),[1628366],1610612741.0,CHI,bad pass,,,Ball,L. Ball,,,,,Right Corner 3,24+ Right,,,,,,,1630886.0,,,,,,,2.0,,,,,,
252,PT07M42.00S,2024-10-27T00:51:50.3Z,2,REGULAR,substitution,out,[],1630172,,,1610612760,31,35,2024-10-27T00:51:54Z,2490000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M42.00S,2024-10-27T00:51:50.3Z,2,REGULAR,substitution,in,[],1641763,,,1610612760,31,35,2024-10-27T00:51:54Z,2500000,False,,,0,,SUB in: J. Phillips,[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT07M31.00S,2024-10-27T00:52:09.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630198,71.17279894875165,20.34313725490196,1610612760,31,35,2024-10-27T00:52:18Z,2510000,False,-148.0,218.0,1,right,MISS I. Joe 26' 3PT,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,26.41,Missed,,,,,,,,,,,,,,,,,,
255,PT07M29.00S,2024-10-27T00:52:11.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612741,31,35,2024-10-27T00:52:18Z,2520000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,254.0,,,,,,,,,,
256,PT07M29.00S,2024-10-27T00:52:16.0Z,2,REGULAR,substitution,out,[],1641824,,,1610612741,31,35,2024-10-27T00:52:20Z,2530000,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT07M29.00S,2024-10-27T00:52:16.0Z,2,REGULAR,substitution,in,[],1630245,,,1610612741,31,35,2024-10-27T00:52:20Z,2540000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT07M16.00S,2024-10-27T00:52:37.4Z,2,REGULAR,3pt,Jump Shot,[],1630245,27.94021024967148,15.196078431372548,1610612741,31,35,2024-10-27T00:52:42Z,2550000,False,174.0,210.0,1,left,MISS A. Dosunmu 27' 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,27.28,Missed,,,,,,,,,,,,,,,,,,
259,PT07M12.00S,2024-10-27T00:52:41.4Z,2,REGULAR,rebound,defensive,[],1631096,,,1610612760,31,35,2024-10-27T00:52:42Z,2560000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:5),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,258.0,5.0,5.0,0.0,,,,,,,
260,PT06M55.00S,2024-10-27T00:52:56.3Z,2,REGULAR,turnover,lost ball,[],1631096,,,1610612760,31,35,2024-10-27T00:58:11Z,2570000,False,,,0,,C. Holmgren lost ball TURNOVER (1 TO),"[1631096, 1641763]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Phillips,1641763.0,,,,
261,PT06M55.00S,2024-10-27T00:52:56.3Z,2,REGULAR,steal,,[],1641763,,,1610612741,31,35,2024-10-27T00:52:58Z,2580000,False,,,0,,J. Phillips STEAL (1 STL),[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
262,PT06M55.00S,2024-10-27T00:53:19.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,31,35,2024-10-27T00:53:19Z,2590000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
