actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
90,PT04M42.00S,2022-02-27T22:24:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630188,14.14257555847569,40.19607843137255,1610612754,24,22,2022-02-27T22:24:17Z,900000,49.0,80.0,1,left,MISS J. Smith 9' pullup Shot,[1630188],1610612754.0,IND,pullup,,,Smith,J. Smith,,,,,9.42,Missed,,,,,,,,,,,,,,,,,,
91,PT04M40.00S,2022-02-27T22:24:10.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,24,22,2022-02-27T22:24:17Z,910000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,
92,PT04M40.00S,2022-02-27T22:24:19.0Z,1,REGULAR,foul,personal,[],1629048,,,1610612738,24,22,2022-02-27T22:24:25Z,920000,,,0,,G. Bitadze loose ball personal FOUL (2 PF),"[1629048, 1629684]",1610612754.0,IND,loose ball,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,1155.0,2.0,0.0,Williams,1629684.0,,,,,
94,PT04M40.00S,2022-02-27T22:24:24.5Z,1,REGULAR,substitution,out,[],1629048,,,1610612738,24,22,2022-02-27T22:24:27Z,940000,,,0,,SUB out: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M40.00S,2022-02-27T22:24:24.5Z,1,REGULAR,substitution,in,[],1630543,,,1610612738,24,22,2022-02-27T22:24:27Z,950000,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M26.00S,2022-02-27T22:24:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,86.94152431011827,41.911764705882355,1610612738,24,22,2022-02-27T22:24:52Z,960000,-40.0,70.0,1,right,MISS D. White 8' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,8.1,Missed,,,,,,,,,,,,,,,,,,
97,PT04M22.00S,2022-02-27T22:24:50.4Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,24,22,2022-02-27T22:24:53Z,970000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,
98,PT04M00.00S,2022-02-27T22:25:11.1Z,1,REGULAR,3pt,Jump Shot,[],1630537,19.530223390275953,91.91176470588235,1610612754,24,22,2022-02-27T22:25:14Z,980000,-210.0,131.0,1,left,MISS C. Duarte 24' 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,24.72,Missed,,,,,,,,,,,,,,,,,,
99,PT03M58.00S,2022-02-27T22:25:13.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,24,22,2022-02-27T22:25:13Z,990000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,98.0,1.0,1.0,0.0,,,,,,,,,,,,,,
100,PT03M49.00S,2022-02-27T22:25:22.1Z,1,REGULAR,2pt,Jump Shot,[],1628464,94.56307490144546,27.205882352941174,1610612738,24,22,2022-02-27T22:25:26Z,1000000,-114.0,-1.0,1,right,MISS D. Theis 11' Jump Shot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,11.4,Missed,,,,,,,,,,,,,,,,,,
101,PT03M46.00S,2022-02-27T22:25:25.1Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,24,22,2022-02-27T22:25:26Z,1010000,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,100.0,2.0,2.0,0.0,,,,,,,,,,,,,,
102,PT03M40.00S,2022-02-27T22:25:33.5Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612754,24,22,2022-02-27T22:25:39Z,1020000,,,0,,D. White shooting personal FOUL (1 PF) (Jackson 2 FT),"[1628401, 1630543]",1610612738.0,BOS,shooting,,,White,D. White,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Jackson,1630543.0,,,,,
104,PT03M40.00S,2022-02-27T22:25:58.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630543,,,1610612754,25,22,2022-02-27T22:26:24Z,1040000,,,0,,I. Jackson Free Throw 1 of 2 (3 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
105,PT03M40.00S,2022-02-27T22:25:58.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630543,,,1610612754,25,22,2022-02-27T22:26:24Z,1050000,,,0,,MISS I. Jackson Free Throw 2 of 2,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Missed,,,,,,,,,,,,,,,,,,
106,PT03M39.00S,2022-02-27T22:25:59.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,25,22,2022-02-27T22:26:24Z,1060000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,105.0,2.0,2.0,0.0,,,,,,,,,,,,,,
107,PT03M26.00S,2022-02-27T22:26:35.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,92.9862023653088,47.30392156862745,1610612738,25,24,2022-02-27T22:26:40Z,1070000,-13.0,13.0,1,right,D. Theis alley-oop DUNK (2 PTS) (J. Brown 3 AST),"[1628464, 1627759]",1610612738.0,BOS,alley-oop,,,Theis,D. Theis,,,,,1.9,Made,,,,,2.0,J. Brown,1627759.0,3.0,,,,,,,,,,
109,PT03M24.00S,2022-02-27T22:26:45.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,25,24,2022-02-27T22:26:45Z,1090000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M03.00S,2022-02-27T22:30:01.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612754,25,24,2022-02-27T22:30:09Z,1100000,,,0,,G. Williams shooting personal FOUL (1 PF) (Haliburton 2 FT),"[1629684, 1630169]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Haliburton,1630169.0,,,,,
113,PT03M03.00S,2022-02-27T22:30:25.9Z,1,REGULAR,freethrow,1 of 2,[],1630169,,,1610612754,26,24,2022-02-27T22:30:25Z,1120000,,,0,,T. Haliburton Free Throw 1 of 2 (7 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
114,PT03M03.00S,2022-02-27T22:30:50.8Z,1,REGULAR,freethrow,2 of 2,[],1630169,,,1610612754,27,24,2022-02-27T22:30:50Z,1130000,,,0,,T. Haliburton Free Throw 2 of 2 (8 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
132,PT02M45.00S,2022-02-27T22:31:19.8Z,1,REGULAR,turnover,bad pass,[],1629684,,,1610612738,27,24,2022-02-27T22:34:07Z,1155000,,,0,,G. Williams bad pass TURNOVER (1 TO),"[1629684, 1630537]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,1.0,,,Duarte,1630537.0
133,PT02M45.00S,2022-02-27T22:31:19.8Z,1,REGULAR,steal,,[],1630537,,,1610612754,27,24,2022-02-27T22:34:07Z,1157500,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M28.00S,2022-02-27T22:31:28.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627741,17.821944809461236,4.6568627450980395,1610612754,27,24,2022-02-27T22:34:07Z,1160000,227.0,115.0,1,left,MISS B. Hield 25' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,
118,PT02M25.00S,2022-02-27T22:31:31.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,27,24,2022-02-27T22:31:33Z,1170000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,117.0,2.0,2.0,0.0,,,,,,,,,,,,,,
119,PT02M19.00S,2022-02-27T22:31:38.6Z,1,REGULAR,foul,personal,[],1627741,,,1610612738,27,24,2022-02-27T22:31:51Z,1180000,,,0,,B. Hield personal FOUL (1 PF),"[1627741, 203935]",1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Smart,203935.0,,,,,
121,PT02M19.00S,2022-02-27T22:31:49.3Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,27,24,2022-02-27T22:31:56Z,1200000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M19.00S,2022-02-27T22:31:49.3Z,1,REGULAR,substitution,out,[],203935,,,1610612738,27,24,2022-02-27T22:31:56Z,1210000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M19.00S,2022-02-27T22:31:49.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,27,24,2022-02-27T22:31:56Z,1220000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M19.00S,2022-02-27T22:31:49.3Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,27,24,2022-02-27T22:31:56Z,1230000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M06.00S,2022-02-27T22:32:18.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,72.48685939553219,12.5,1610612738,27,27,2022-02-27T22:32:23Z,1240000,-188.0,206.0,1,right,P. Pritchard 27' 3PT pullup (3 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,27.86,Made,,,,,3.0,,,,,,,,,,,,,
126,PT01M55.00S,2022-02-27T22:32:29.2Z,1,REGULAR,3pt,Jump Shot,[],1630188,10.33180026281209,94.11764705882352,1610612754,27,27,2022-02-27T22:32:35Z,1250000,-221.0,45.0,1,left,MISS J. Smith 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,22.51,Missed,,,,,,,,,,,,,,,,,,
127,PT01M51.00S,2022-02-27T22:32:32.9Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,27,27,2022-02-27T22:32:32Z,1260000,,,0,,I. Jackson REBOUND (Off:1 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,126.0,1.0,0.0,1.0,,,,,,,,,,,,,,
128,PT01M46.00S,2022-02-27T22:32:38.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630537,8.754927726675426,72.05882352941177,1610612754,27,27,2022-02-27T22:32:43Z,1270000,-110.0,30.0,1,left,MISS C. Duarte 11' turnaround fadeaway Shot,[1630537],1610612754.0,IND,turnaround fadeaway,,,Duarte,C. Duarte,,,,,11.43,Missed,,,,,,,,,,,,,,,,,,
129,PT01M42.00S,2022-02-27T22:32:42.0Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,27,27,2022-02-27T22:32:43Z,1280000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,128.0,1.0,1.0,0.0,,,,,,,,,,,,,,
130,PT01M21.00S,2022-02-27T22:33:02.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,73.66951379763469,17.647058823529413,1610612738,27,30,2022-02-27T22:33:08Z,1290000,-162.0,195.0,1,right,P. Pritchard 25' 3PT pullup (6 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,25.34,Made,,,,,6.0,,,,,,,,,,,,,
131,PT01M20.00S,2022-02-27T22:33:08.6Z,1,REGULAR,timeout,full,['team'],0,,,1610612754,27,30,2022-02-27T22:33:08Z,1300000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M20.00S,2022-02-27T22:34:00.7Z,1,REGULAR,substitution,out,[],1627741,,,1610612754,27,30,2022-02-27T22:34:31Z,1310000,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M20.00S,2022-02-27T22:34:00.7Z,1,REGULAR,substitution,in,[],1627763,,,1610612754,27,30,2022-02-27T22:34:31Z,1320000,,,0,,SUB in: M. Brogdon,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M09.00S,2022-02-27T22:35:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630543,19.004599211563733,55.88235294117647,1610612754,27,30,2022-02-27T22:35:05Z,1330000,-29.0,126.0,1,left,MISS I. Jackson 12' pullup Shot,[1630543],1610612754.0,IND,pullup,,,Jackson,I. Jackson,,,,,12.95,Missed,,,,,,,,,,,,,,,,,,
137,PT01M06.00S,2022-02-27T22:35:04.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,27,30,2022-02-27T22:35:05Z,1340000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,136.0,3.0,3.0,0.0,,,,,,,,,,,,,,
138,PT00M47.70S,2022-02-27T22:35:23.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,89.96386333771353,2.2058823529411766,1610612738,27,30,2022-02-27T22:35:27Z,1350000,-239.0,42.0,1,right,MISS D. White 24' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,24.26,Missed,,,,,,,,,,,,,,,,,,
139,PT00M44.40S,2022-02-27T22:35:26.5Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,27,30,2022-02-27T22:35:27Z,1360000,,,0,,J. Smith REBOUND (Off:0 Def:3),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,138.0,3.0,3.0,0.0,,,,,,,,,,,,,,
140,PT00M33.40S,2022-02-27T22:35:37.7Z,1,REGULAR,2pt,Jump Shot,[],1627763,19.92444152431012,69.11764705882352,1610612754,27,30,2022-02-27T22:35:43Z,1370000,-96.0,135.0,1,left,MISS M. Brogdon 16' driving floating Shot,[1627763],1610612754.0,IND,driving floating,,,Brogdon,M. Brogdon,,,,,16.53,Missed,,,,,,,,,,,,,,,,,,
141,PT00M31.20S,2022-02-27T22:35:39.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,27,30,2022-02-27T22:35:43Z,1380000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,140.0,3.0,2.0,1.0,,,,,,,,,,,,,,
142,PT00M13.70S,2022-02-27T22:35:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,87.99277266754271,54.166666666666664,1610612738,27,30,2022-02-27T22:36:02Z,1390000,21.0,60.0,1,right,MISS D. White 6' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,6.39,Missed,,,,,,,,,,,,,,,,,,
143,PT00M10.70S,2022-02-27T22:36:00.3Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,27,30,2022-02-27T22:36:00Z,1400000,,,0,,I. Jackson REBOUND (Off:1 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,142.0,2.0,1.0,1.0,,,,,,,,,,,,,,
144,PT00M01.40S,2022-02-27T22:36:10.6Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612754,27,30,2022-02-27T22:36:15Z,1410000,,,0,,T. Haliburton bad pass out-of-bounds TURNOVER (1 TO),[1630169],1610612754.0,IND,bad pass,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,1626300.0,,,,,1.0,,,,
145,PT00M00.00S,2022-02-27T22:36:21.7Z,1,REGULAR,period,end,[],0,,,1610612738,27,30,2022-02-27T22:36:21Z,1420000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2022-02-27T22:38:34.2Z,2,REGULAR,substitution,out,['startperiod'],1630537,,,1610612738,27,30,2022-02-27T22:38:53Z,1430000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-02-27T22:38:34.2Z,2,REGULAR,substitution,out,['startperiod'],1630543,,,1610612738,27,30,2022-02-27T22:38:53Z,1440000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2022-02-27T22:38:34.2Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612738,27,30,2022-02-27T22:38:53Z,1450000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-02-27T22:38:34.2Z,2,REGULAR,substitution,in,['startperiod'],1630613,,,1610612738,27,30,2022-02-27T22:38:53Z,1460000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-02-27T22:38:34.2Z,2,REGULAR,substitution,in,['startperiod'],1629052,,,1610612738,27,30,2022-02-27T22:38:53Z,1470000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-02-27T22:38:34.2Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,27,30,2022-02-27T22:38:53Z,1480000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-02-27T22:39:10.8Z,2,REGULAR,period,start,[],0,,,1610612754,27,30,2022-02-27T22:39:10Z,1490000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT11M48.00S,2022-02-27T22:39:22.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,6.783837056504599,48.03921568627451,1610612754,27,30,2022-02-27T22:39:30Z,1500000,10.0,11.0,1,left,MISS M. Brogdon driving finger roll Layup - blocked,"[1627763, 1628464]",1610612754.0,IND,driving finger roll,,,Brogdon,M. Brogdon,,,,,1.5,Missed,,,,,,,,,,,,,,,Theis,1628464.0,,
154,PT11M48.00S,2022-02-27T22:39:22.0Z,2,REGULAR,block,,[],1628464,,,1610612754,27,30,2022-02-27T22:39:24Z,1510000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M45.00S,2022-02-27T22:39:25.0Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,27,30,2022-02-27T22:39:30Z,1520000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,153.0,4.0,3.0,1.0,,,,,,,,,,,,,,
156,PT11M33.00S,2022-02-27T22:39:37.6Z,2,REGULAR,2pt,Jump Shot,[],1628369,90.22667542706965,71.07843137254902,1610612738,27,30,2022-02-27T22:39:43Z,1530000,105.0,39.0,1,right,MISS J. Tatum 11' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,11.25,Missed,,,,,,,,,,,,,,,,,,
157,PT11M29.00S,2022-02-27T22:39:41.6Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,27,30,2022-02-27T22:39:43Z,1540000,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,156.0,5.0,3.0,2.0,,,,,,,,,,,,,,
158,PT11M29.00S,2022-02-27T22:39:41.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,94.40999984741211,50.0,1610612738,27,32,2022-02-27T22:39:41Z,1550000,0.0,0.0,1,right,R. Williams III tip Layup (4 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Made,,,,,4.0,,,,,,,,,,,,,
160,PT11M20.00S,2022-02-27T22:39:50.2Z,2,REGULAR,3pt,Jump Shot,[],1630169,33.327858081471746,35.049019607843135,1610612754,30,32,2022-02-27T22:39:55Z,1570000,75.0,261.0,1,left,T. Haliburton 27' 3PT pullup (11 PTS) (M. Brogdon 2 AST),"[1630169, 1627763]",1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,27.13,Made,,,,,11.0,M. Brogdon,1627763.0,2.0,,,,,,,,,,
162,PT10M54.00S,2022-02-27T22:40:15.5Z,2,REGULAR,3pt,Jump Shot,[],1630202,67.62483574244416,22.54901960784314,1610612738,30,32,2022-02-27T22:40:19Z,1590000,-137.0,252.0,1,right,MISS P. Pritchard 28' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,28.68,Missed,,,,,,,,,,,,,,,,,,
163,PT10M52.00S,2022-02-27T22:40:17.5Z,2,REGULAR,rebound,defensive,[],1627763,,,1610612754,30,32,2022-02-27T22:40:19Z,1600000,,,0,,M. Brogdon REBOUND (Off:0 Def:2),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,162.0,2.0,2.0,0.0,,,,,,,,,,,,,,
164,PT10M43.00S,2022-02-27T22:40:26.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,7.046649145860711,53.18627450980392,1610612754,30,32,2022-02-27T22:40:31Z,1610000,-16.0,14.0,1,left,MISS M. Brogdon finger roll Layup - blocked,"[1627763, 1629057]",1610612754.0,IND,finger roll,,,Brogdon,M. Brogdon,,,,,2.1,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,,
427,PT10M43.00S,2022-02-27T22:40:26.8Z,2,REGULAR,block,,[],1629057,,,1610612754,30,32,2022-02-27T23:39:27Z,1620000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
166,PT10M41.00S,2022-02-27T22:40:28.8Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,30,32,2022-02-27T22:40:31Z,1630000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,164.0,1.0,1.0,0.0,,,,,,,,,,,,,,
167,PT10M37.00S,2022-02-27T22:40:33.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,73.01248357424441,79.65686274509804,1610612738,30,32,2022-02-27T22:40:39Z,1640000,148.0,201.0,1,right,MISS J. Tatum 24' running pullup 3PT,[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,24.99,Missed,,,,,,,,,,,,,,,,,,
168,PT10M34.00S,2022-02-27T22:40:36.3Z,2,REGULAR,rebound,defensive,[],1630613,,,1610612754,30,32,2022-02-27T22:40:39Z,1650000,,,0,,D. Washington Jr. REBOUND (Off:0 Def:1),[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,,,
169,PT10M24.00S,2022-02-27T22:40:48.2Z,2,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612754,30,32,2022-02-27T22:40:53Z,1660000,,,0,,D. Theis shooting personal FOUL (1 PF) (Brissett 2 FT),"[1628464, 1629052]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Brissett,1629052.0,,,,,
171,PT10M24.00S,2022-02-27T22:41:14.9Z,2,REGULAR,freethrow,1 of 2,[],1629052,,,1610612754,30,32,2022-02-27T22:41:14Z,1680000,,,0,,MISS O. Brissett Free Throw 1 of 2,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,Missed,,,,,,,,,,,,,,,,,,
172,PT10M24.00S,2022-02-27T22:41:14.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,30,32,2022-02-27T22:41:14Z,1690000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,
173,PT10M24.00S,2022-02-27T22:41:33.8Z,2,REGULAR,freethrow,2 of 2,[],1629052,,,1610612754,31,32,2022-02-27T22:41:33Z,1700000,,,0,,O. Brissett Free Throw 2 of 2 (1 PTS),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
174,PT10M10.00S,2022-02-27T22:41:53.3Z,2,REGULAR,foul,personal,[],1630188,,,1610612738,31,32,2022-02-27T22:42:09Z,1710000,,,0,,J. Smith personal FOUL (1 PF),"[1630188, 1628401]",1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,1155.0,1.0,0.0,White,1628401.0,,,,,
176,PT10M02.00S,2022-02-27T22:42:18.1Z,2,REGULAR,3pt,Jump Shot,[],1628401,82.47371879106439,95.09803921568627,1610612738,31,32,2022-02-27T22:42:23Z,1730000,225.0,112.0,1,right,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,
177,PT09M59.00S,2022-02-27T22:42:21.1Z,2,REGULAR,rebound,defensive,[],1630188,,,1610612754,31,32,2022-02-27T22:42:23Z,1740000,,,0,,J. Smith REBOUND (Off:0 Def:4),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,176.0,4.0,4.0,0.0,,,,,,,,,,,,,,
178,PT09M51.00S,2022-02-27T22:42:28.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630613,6.389618922470433,45.09803921568628,1610612754,31,32,2022-02-27T22:42:34Z,1750000,25.0,8.0,1,left,MISS D. Washington Jr. driving finger roll Layup - blocked,"[1630613, 1629057]",1610612754.0,IND,driving finger roll,,,Washington Jr.,D. Washington Jr.,,,,,2.57,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,,
