actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
94,PT05M11.00S,2022-01-06T00:54:55.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202362,67.7562417871222,33.82352941176471,1610612754,20,15,2022-01-06T00:55:02Z,930000,-81.0,251.0,1,right,L. Stephenson 26' 3PT running (3 PTS),[202362],1610612754.0,IND,running,,,Stephenson,L. Stephenson,,,,,26.33,Made,,3.0,,,,,,,,,,,,,,,,,
95,PT05M04.00S,2022-01-06T00:55:39.8Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612751,20,15,2022-01-06T00:55:39Z,940000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M51.00S,2022-01-06T00:56:39.1Z,1,REGULAR,violation,kicked ball,[],1626167,,,1610612751,20,15,2022-01-06T00:59:55Z,950000,,,0,,M. Turner kicked ball VIOLATION,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,204059.0,,,,,,,
97,PT04M51.00S,2022-01-06T00:56:45.3Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,20,15,2022-01-06T00:56:48Z,960000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M51.00S,2022-01-06T00:56:45.3Z,1,REGULAR,substitution,in,[],200746,,,1610612751,20,15,2022-01-06T00:56:48Z,970000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M40.00S,2022-01-06T00:57:07.4Z,1,REGULAR,3pt,Jump Shot,[],201949,18.74178712220762,5.88235294117647,1610612751,20,18,2022-01-06T00:57:13Z,990000,221.0,124.0,1,left,J. Johnson 25' 3PT  (3 PTS) (P. Mills 1 AST),"[201949, 201988]",1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,25.29,Made,,3.0,P. Mills,201988.0,1.0,,,,,,,,,,,,,,
102,PT04M27.00S,2022-01-06T00:57:20.0Z,1,REGULAR,2pt,Jump Shot,[],202362,89.17542706964521,80.3921568627451,1610612754,22,18,2022-01-06T00:57:24Z,1010000,152.0,49.0,1,right,L. Stephenson 15' pullup Jump Shot (5 PTS),[202362],1610612754.0,IND,pullup,,,Stephenson,L. Stephenson,,,,,15.98,Made,,5.0,,,,,,,,,,,,,,,,,
103,PT04M22.00S,2022-01-06T00:57:29.4Z,1,REGULAR,2pt,Jump Shot,[],200746,16.113666228646515,82.59803921568627,1610612751,22,18,2022-01-06T00:57:36Z,1020000,-163.0,99.0,1,left,MISS L. Aldridge 19' Jump Shot,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,19.07,Missed,,,,,,,,,,,,,,,,,,,
104,PT04M19.00S,2022-01-06T00:57:32.4Z,1,REGULAR,rebound,offensive,[],201949,,,1610612751,22,18,2022-01-06T00:57:40Z,1030000,,,0,,J. Johnson REBOUND (Off:2 Def:0),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,103.0,,,,,,,,2.0,0.0,2.0,,,,,,,,
105,PT04M19.00S,2022-01-06T00:57:35.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,22,18,2022-01-06T00:57:35Z,1040000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M19.00S,2022-01-06T00:57:52.9Z,1,REGULAR,substitution,out,[],1627734,,,1610612751,22,18,2022-01-06T00:57:59Z,1050000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M19.00S,2022-01-06T00:57:52.9Z,1,REGULAR,substitution,in,[],1629052,,,1610612751,22,18,2022-01-06T00:57:59Z,1060000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M12.00S,2022-01-06T00:58:21.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],200746,21.369908015768726,68.62745098039215,1610612751,22,20,2022-01-06T01:00:02Z,1070000,-93.0,148.0,1,left,L. Aldridge 17' pullup Jump Shot (2 PTS) (K. Durant 2 AST),"[200746, 201142]",1610612751.0,BKN,pullup,,,Aldridge,L. Aldridge,,,,,17.52,Made,,2.0,K. Durant,201142.0,2.0,,,,,,,,,,,,,,
110,PT04M02.00S,2022-01-06T00:58:31.1Z,1,REGULAR,2pt,Jump Shot,[],202362,75.24638633377135,28.921568627450984,1610612754,24,20,2022-01-06T00:58:37Z,1090000,-105.0,180.0,1,right,L. Stephenson 20' pullup Jump Shot (7 PTS),[202362],1610612754.0,IND,pullup,,,Stephenson,L. Stephenson,,,,,20.88,Made,,7.0,,,,,,,,,,,,,,,,,
111,PT03M53.00S,2022-01-06T00:58:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,9.280551905387648,48.529411764705884,1610612751,24,20,2022-01-06T00:58:52Z,1100000,7.0,35.0,1,left,MISS J. Harden driving finger roll Layup - blocked,"[201935, 1626167]",1610612751.0,BKN,driving finger roll,,,Harden,J. Harden,,,,,3.55,Missed,,,,,,,,,,,,,,,,,Turner,1626167.0,
112,PT03M53.00S,2022-01-06T00:58:44.3Z,1,REGULAR,block,,[],1626167,,,1610612751,24,20,2022-01-06T00:58:46Z,1110000,,,0,,M. Turner BLOCK (3 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M50.00S,2022-01-06T00:58:47.3Z,1,REGULAR,rebound,offensive,[],201142,,,1610612751,24,20,2022-01-06T00:58:52Z,1120000,,,0,,K. Durant REBOUND (Off:1 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,111.0,,,,,,,,2.0,1.0,1.0,,,,,,,,
114,PT03M47.00S,2022-01-06T00:58:49.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,15.719448094612352,12.745098039215685,1610612751,24,22,2022-01-06T00:58:56Z,1130000,186.0,95.0,1,left,K. Durant 20' fadeaway Jump Shot (11 PTS),[201142],1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,20.93,Made,,11.0,,,,,,,,,,,,,,,,,
115,PT03M36.00S,2022-01-06T00:59:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202362,92.72339027595268,46.07843137254902,1610612754,26,22,2022-01-06T00:59:06Z,1140000,-20.0,16.0,1,right,L. Stephenson driving finger roll Layup (9 PTS),[202362],1610612754.0,IND,driving finger roll,,,Stephenson,L. Stephenson,,,,,2.52,Made,,9.0,,,,,,,,,,,,,,,,,
116,PT03M24.00S,2022-01-06T00:59:17.8Z,1,REGULAR,3pt,Jump Shot,[],201988,18.610381077529567,6.127450980392156,1610612751,26,22,2022-01-06T00:59:50Z,1150000,219.0,122.0,1,left,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.12,Missed,,,,,,,,,,,,,,,,,,,
117,PT03M23.00S,2022-01-06T00:59:18.8Z,1,REGULAR,rebound,offensive,[],200746,,,1610612751,26,22,2022-01-06T00:59:50Z,1160000,,,0,,L. Aldridge REBOUND (Off:1 Def:0),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,116.0,,,,,,,,1.0,0.0,1.0,,,,,,,,
118,PT03M19.00S,2022-01-06T00:59:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",200746,7.703679369250986,53.92156862745098,1610612751,26,24,2022-01-06T00:59:26Z,1170000,-20.0,20.0,1,left,L. Aldridge Layup (4 PTS),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,2.79,Made,,4.0,,,,,,,,,,,,,,,,,
119,PT03M19.00S,2022-01-06T00:59:26.2Z,1,REGULAR,foul,personal,['1freethrow'],1629052,,,1610612751,26,24,2022-01-06T00:59:30Z,1180000,,,0,,O. Brissett shooting personal FOUL (1 PF) (Aldridge 1 FT),"[1629052, 200746]",1610612754.0,IND,shooting,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,203800.0,1.0,0.0,Aldridge,200746.0,,,
121,PT03M19.00S,2022-01-06T00:59:31.3Z,1,REGULAR,substitution,out,[],201935,,,1610612751,26,24,2022-01-06T00:59:50Z,1200000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M19.00S,2022-01-06T00:59:31.3Z,1,REGULAR,substitution,in,[],202681,,,1610612751,26,24,2022-01-06T00:59:50Z,1210000,,,0,,SUB in: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M19.00S,2022-01-06T00:59:56.3Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],200746,,,1610612751,26,25,2022-01-06T00:59:56Z,1220000,,,0,,L. Aldridge Free Throw 1 of 1 (5 PTS),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,Made,,5.0,,,,,,,,,,,,,,,,,
124,PT03M01.00S,2022-01-06T01:00:15.2Z,1,REGULAR,3pt,Jump Shot,[],202362,66.96780551905388,58.82352941176471,1610612754,26,25,2022-01-06T01:00:22Z,1230000,44.0,258.0,1,right,MISS L. Stephenson 26' step back 3PT,[202362],1610612754.0,IND,step back,,,Stephenson,L. Stephenson,,,,,26.17,Missed,,,,,,,,,,,,,,,,,,,
125,PT02M57.00S,2022-01-06T01:00:19.2Z,1,REGULAR,rebound,defensive,[],201949,,,1610612751,26,25,2022-01-06T01:00:22Z,1240000,,,0,,J. Johnson REBOUND (Off:2 Def:1),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,124.0,,,,,,,,3.0,1.0,2.0,,,,,,,,
126,PT02M53.00S,2022-01-06T01:00:22.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,28.728646517739815,15.441176470588236,1610612751,26,25,2022-01-06T01:00:27Z,1250000,173.0,218.0,1,left,MISS K. Durant 27' running 3PT,[201142],1610612751.0,BKN,running,,,Durant,K. Durant,,,,,27.78,Missed,,,,,,,,,,,,,,,,,,,
127,PT02M50.00S,2022-01-06T01:00:25.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,26,25,2022-01-06T01:00:27Z,1260000,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,126.0,,,,,,,,3.0,3.0,0.0,,,,,,,,
128,PT02M44.00S,2022-01-06T01:00:31.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626208,91.93495400788436,46.81372549019608,1610612754,26,25,2022-01-06T01:00:37Z,1270000,-16.0,23.0,1,right,MISS K. Sykes running reverse Layup,[1626208],1610612754.0,IND,running reverse,,,Sykes,K. Sykes,,,,,2.82,Missed,,,,,,,,,,,,,,,,,,,
129,PT02M41.00S,2022-01-06T01:00:34.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,26,25,2022-01-06T01:00:37Z,1280000,,,0,,K. Durant REBOUND (Off:1 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,128.0,,,,,,,,3.0,2.0,1.0,,,,,,,,
130,PT02M39.00S,2022-01-06T01:00:38.7Z,1,REGULAR,foul,personal,[],1626208,,,1610612751,26,25,2022-01-06T01:00:50Z,1290000,,,0,,K. Sykes take personal FOUL (2 PF),"[1626208, 201949]",1610612754.0,IND,take,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,204059.0,2.0,0.0,Johnson,201949.0,,,
132,PT02M39.00S,2022-01-06T01:00:51.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,26,25,2022-01-06T01:00:51Z,1310000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M39.00S,2022-01-06T01:02:48.7Z,1,REGULAR,substitution,out,[],1630613,,,1610612751,26,25,2022-01-06T01:03:18Z,1320000,,,0,,SUB out: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M39.00S,2022-01-06T01:02:48.7Z,1,REGULAR,substitution,out,[],1626208,,,1610612751,26,25,2022-01-06T01:03:18Z,1330000,,,0,,SUB out: K. Sykes,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M39.00S,2022-01-06T01:02:48.7Z,1,REGULAR,substitution,in,[],203200,,,1610612751,26,25,2022-01-06T01:03:18Z,1340000,,,0,,SUB in: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M39.00S,2022-01-06T01:02:48.7Z,1,REGULAR,substitution,in,[],1626147,,,1610612751,26,25,2022-01-06T01:03:18Z,1350000,,,0,,SUB in: J. Anderson,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M33.00S,2022-01-06T01:03:43.1Z,1,REGULAR,3pt,Jump Shot,[],201988,28.991458607095925,25.0,1610612751,26,25,2022-01-06T01:03:48Z,1360000,125.0,220.0,1,left,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,,
138,PT02M29.00S,2022-01-06T01:03:47.1Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,26,25,2022-01-06T01:03:48Z,1370000,,,0,,O. Brissett REBOUND (Off:0 Def:1),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,137.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
139,PT02M16.00S,2022-01-06T01:04:00.4Z,1,REGULAR,3pt,Jump Shot,[],202362,66.44218134034165,43.38235294117647,1610612754,29,25,2022-01-06T01:04:05Z,1380000,-33.0,263.0,1,right,L. Stephenson 26' 3PT pullup (12 PTS),[202362],1610612754.0,IND,pullup,,,Stephenson,L. Stephenson,,,,,26.5,Made,,12.0,,,,,,,,,,,,,,,,,
140,PT02M02.00S,2022-01-06T01:04:16.8Z,1,REGULAR,foul,personal,[],1626147,,,1610612751,29,25,2022-01-06T01:04:22Z,1390000,,,0,,J. Anderson personal FOUL (1 PF),"[1626147, 201988]",1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Mills,201988.0,,,
142,PT01M51.00S,2022-01-06T01:04:49.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,29,25,2022-01-06T01:04:49Z,1410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M50.00S,2022-01-06T01:05:04.2Z,1,REGULAR,2pt,Jump Shot,[],201142,5.338370565045992,74.75490196078431,1610612751,29,27,2022-01-06T01:05:12Z,1420000,-124.0,-2.0,1,left,K. Durant 12' turnaround Jump Shot (13 PTS) (P. Mills 2 AST),"[201142, 201988]",1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,12.38,Made,,13.0,P. Mills,201988.0,2.0,,,,,,,,,,,,,,
145,PT01M50.00S,2022-01-06T01:05:10.9Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1626147,,,1610612751,29,27,2022-01-06T01:05:15Z,1440000,,,0,,J. Anderson shooting personal FOUL (2 PF) (Durant 1 FT),"[1626147, 201142]",1610612754.0,IND,shooting,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,204059.0,2.0,0.0,Durant,201142.0,,,
147,PT01M50.00S,2022-01-06T01:05:21.1Z,1,REGULAR,substitution,out,[],1626167,,,1610612751,29,27,2022-01-06T01:06:02Z,1460000,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M50.00S,2022-01-06T01:05:21.1Z,1,REGULAR,substitution,in,[],1627734,,,1610612751,29,27,2022-01-06T01:06:02Z,1470000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M50.00S,2022-01-06T01:05:44.2Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612751,29,28,2022-01-06T01:05:44Z,1480000,,,0,,K. Durant Free Throw 1 of 1 (14 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,14.0,,,,,,,,,,,,,,,,,
150,PT01M35.00S,2022-01-06T01:06:00.1Z,1,REGULAR,turnover,bad pass,[],202362,,,1610612754,29,28,2022-01-06T01:06:03Z,1490000,,,0,,L. Stephenson bad pass TURNOVER (1 TO),"[202362, 202681]",1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,1.0,Irving,202681.0,,,,,,,,,,,
151,PT01M35.00S,2022-01-06T01:06:00.1Z,1,REGULAR,steal,,[],202681,,,1610612751,29,28,2022-01-06T01:06:02Z,1500000,,,0,,K. Irving STEAL (1 STL),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M28.00S,2022-01-06T01:06:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201949,7.30946123521682,46.568627450980394,1610612751,29,30,2022-01-06T01:06:12Z,1510000,17.0,16.0,1,left,J. Johnson driving Layup (5 PTS) (P. Mills 3 AST),"[201949, 201988]",1610612751.0,BKN,driving,,,Johnson,J. Johnson,,,,,2.36,Made,,5.0,P. Mills,201988.0,3.0,,,,,,,,,,,,,,
154,PT01M16.00S,2022-01-06T01:06:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202362,92.9862023653088,54.90196078431373,1610612754,31,30,2022-01-06T01:06:22Z,1530000,25.0,13.0,1,right,L. Stephenson driving Layup (14 PTS),[202362],1610612754.0,IND,driving,,,Stephenson,L. Stephenson,,,,,2.79,Made,,14.0,,,,,,,,,,,,,,,,,
155,PT01M14.00S,2022-01-06T01:06:28.4Z,1,REGULAR,turnover,inbound,[],200746,,,1610612751,31,30,2022-01-06T01:06:54Z,1540000,,,0,,L. Aldridge inbound TURNOVER (1 TO),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,1.0,,,,,,204059.0,,,,,,,
156,PT01M09.00S,2022-01-06T01:06:57.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202362,92.32917214191852,94.85294117647058,1610612754,34,30,2022-01-06T01:07:44Z,1550000,224.0,20.0,1,right,L. Stephenson 3PT step back (17 PTS),[202362],1610612754.0,IND,step back,,,Stephenson,L. Stephenson,,,,,22.52,Made,,17.0,,,,,,,,,,,,,,,,,
157,PT00M49.50S,2022-01-06T01:07:17.6Z,1,REGULAR,2pt,Jump Shot,[],202681,22.552562417871222,50.245098039215684,1610612751,34,30,2022-01-06T01:07:22Z,1560000,-1.0,159.0,1,left,MISS K. Irving 15' fadeaway Shot,[202681],1610612751.0,BKN,fadeaway,,,Irving,K. Irving,,,,,15.95,Missed,,,,,,,,,,,,,,,,,,,
158,PT00M46.00S,2022-01-06T01:07:21.1Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,34,30,2022-01-06T01:07:22Z,1570000,,,0,,O. Brissett REBOUND (Off:0 Def:2),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,157.0,,,,,,,,2.0,2.0,0.0,,,,,,,,
159,PT00M34.10S,2022-01-06T01:07:33.0Z,1,REGULAR,3pt,Jump Shot,[],1626147,82.07950065703022,5.392156862745098,1610612754,34,30,2022-01-06T01:07:37Z,1580000,-223.0,116.0,1,right,MISS J. Anderson 25' 3PT,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,25.14,Missed,,,,,,,,,,,,,,,,,,,
160,PT00M30.00S,2022-01-06T01:07:37.1Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,34,30,2022-01-06T01:12:18Z,1590000,,,0,,L. Aldridge REBOUND (Off:1 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,159.0,,,,,,,,2.0,1.0,1.0,,,,,,,,
163,PT00M17.80S,2022-01-06T01:07:49.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201142,5.995400788436268,49.50980392156863,1610612751,34,32,2022-01-06T01:07:53Z,1620000,2.0,4.0,1,left,K. Durant driving DUNK (16 PTS),[201142],1610612751.0,BKN,driving,,,Durant,K. Durant,,,,,0.46,Made,,16.0,,,,,,,,,,,,,,,,,
164,PT00M00.00S,2022-01-06T01:08:09.7Z,1,REGULAR,3pt,Jump Shot,[],202362,80.76544021024968,92.15686274509804,1610612754,37,32,2022-01-06T01:08:48Z,1630000,211.0,128.0,1,right,L. Stephenson 24' 3PT pullup (20 PTS),[202362],1610612754.0,IND,pullup,,,Stephenson,L. Stephenson,,,,,24.68,Made,,20.0,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2022-01-06T01:08:17.3Z,1,REGULAR,instantreplay,request,[],0,,,1610612751,37,32,2022-01-06T01:09:03Z,1640000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,202058.0,,,,,,,End Period - Good Basket
166,PT00M00.00S,2022-01-06T01:09:07.2Z,1,REGULAR,period,end,[],0,,,1610612751,37,32,2022-01-06T01:09:07Z,1650000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2022-01-06T01:11:02.7Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612751,37,32,2022-01-06T01:11:26Z,1660000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-01-06T01:11:02.7Z,2,REGULAR,substitution,out,['startperiod'],200746,,,1610612751,37,32,2022-01-06T01:11:26Z,1670000,,,0,,SUB out: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-01-06T01:11:02.7Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612751,37,32,2022-01-06T01:11:26Z,1680000,,,0,,SUB in: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-01-06T01:11:02.7Z,2,REGULAR,substitution,in,['startperiod'],1629651,,,1610612751,37,32,2022-01-06T01:11:26Z,1690000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2022-01-06T01:11:37.4Z,2,REGULAR,period,start,[],0,,,1610612754,37,32,2022-01-06T01:11:37Z,1700000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT11M40.00S,2022-01-06T01:11:57.1Z,2,REGULAR,3pt,Jump Shot,[],1626147,67.49342969776609,23.774509803921568,1610612754,37,32,2022-01-06T01:12:02Z,1710000,-131.0,253.0,1,right,MISS J. Anderson 28' 3PT,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,28.5,Missed,,,,,,,,,,,,,,,,,,,
173,PT11M36.00S,2022-01-06T01:12:01.1Z,2,REGULAR,rebound,offensive,[],1627734,,,1610612754,37,32,2022-01-06T01:12:02Z,1720000,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,172.0,,,,,,,,2.0,1.0,1.0,,,,,,,,
174,PT11M31.00S,2022-01-06T01:12:04.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203200,93.38042049934296,53.67647058823529,1610612754,39,32,2022-01-06T01:12:08Z,1730000,18.0,10.0,1,right,J. Holiday cutting Layup (5 PTS) (D. Sabonis 4 AST),"[203200, 1627734]",1610612754.0,IND,cutting,,,Holiday,J. Holiday,,,,,2.08,Made,,5.0,D. Sabonis,1627734.0,4.0,,,,,,,,,,,,,,
176,PT11M09.00S,2022-01-06T01:12:27.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,18.74178712220762,46.32352941176471,1610612751,39,34,2022-01-06T01:12:32Z,1750000,18.0,124.0,1,left,K. Irving 12' pullup Jump Shot (2 PTS) (N. Claxton 2 AST),"[202681, 1629651]",1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,12.51,Made,,2.0,N. Claxton,1629651.0,2.0,,,,,,,,,,,,,,
178,PT10M47.00S,2022-01-06T01:12:48.7Z,2,REGULAR,2pt,Hook,[],1627734,90.75229960578186,30.637254901960787,1610612754,41,34,2022-01-06T01:12:58Z,1770000,-97.0,34.0,1,right,D. Sabonis 10' turnaround Hook (9 PTS) (L. Stephenson 1 AST),"[1627734, 202362]",1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,10.27,Made,,9.0,L. Stephenson,202362.0,1.0,,,,,,,,,,,,,,
180,PT10M35.00S,2022-01-06T01:13:04.9Z,2,REGULAR,violation,kicked ball,[],1626147,,,1610612751,41,34,2022-01-06T01:13:08Z,1790000,,,0,,J. Anderson kicked ball VIOLATION,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,202058.0,,,,,,,
181,PT10M29.00S,2022-01-06T01:13:24.9Z,2,REGULAR,2pt,Jump Shot,[],202681,16.113666228646515,21.07843137254902,1610612751,41,36,2022-01-06T01:13:30Z,1800000,145.0,99.0,1,left,K. Irving 17' pullup Jump Shot (4 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,17.52,Made,,4.0,,,,,,,,,,,,,,,,,
182,PT10M14.00S,2022-01-06T01:13:38.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202362,94.1688567674113,50.73529411764706,1610612754,43,36,2022-01-06T01:13:43Z,1810000,4.0,2.0,1,right,L. Stephenson driving Layup (22 PTS),[202362],1610612754.0,IND,driving,,,Stephenson,L. Stephenson,,,,,0.44,Made,,22.0,,,,,,,,,,,,,,,,,
183,PT10M03.00S,2022-01-06T01:13:49.6Z,2,REGULAR,3pt,Jump Shot,[],201935,32.40801576872536,43.627450980392155,1610612751,43,36,2022-01-06T01:13:54Z,1820000,32.0,252.0,1,left,MISS J. Harden 25' pullup 3PT,[201935],1610612751.0,BKN,pullup,,,Harden,J. Harden,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,,
