actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
95,PT04M27.00S,2022-04-05T23:26:10.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,20,22,2022-04-05T23:26:12Z,950000,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,94.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
96,PT04M10.00S,2022-04-05T23:26:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,18.873193166885677,37.5,1610612755,20,24,2022-04-05T23:27:24Z,960000,62.0,125.0,1,left,J. Embiid 13' pullup Jump Shot (6 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,13.97,Made,,,,,,,,,,,,6.0,,,,,,,
98,PT03M54.00S,2022-04-05T23:26:43.3Z,1,REGULAR,2pt,Jump Shot,[],1629052,81.94809461235218,25.245098039215684,1610612754,22,24,2022-04-05T23:26:47Z,980000,-124.0,117.0,1,right,O. Brissett 17' Jump Shot (2 PTS) (J. Anderson 1 AST),"[1629052, 1626147]",1610612754.0,IND,,,,Brissett,O. Brissett,,,,,17.05,Made,,,,,,,,,,,,2.0,J. Anderson,1626147.0,1.0,,,,
100,PT03M33.00S,2022-04-05T23:27:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.521024967148489,46.568627450980394,1610612755,22,24,2022-04-05T23:31:42Z,1000000,17.0,9.0,1,left,MISS J. Embiid driving Layup - blocked,"[203954, 1626147]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,1.93,Missed,,,,,,,,,,Anderson,1626147.0,,,,,,,,
101,PT03M33.00S,2022-04-05T23:27:05.6Z,1,REGULAR,block,,[],1626147,,,1610612755,22,24,2022-04-05T23:27:07Z,1010000,,,0,,J. Anderson BLOCK (1 BLK),[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M30.00S,2022-04-05T23:27:08.6Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,22,24,2022-04-05T23:27:09Z,1020000,,,0,,O. Brissett REBOUND (Off:0 Def:3),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,100.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
103,PT03M27.00S,2022-04-05T23:27:11.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,75.3777923784494,12.009803921568627,1610612754,22,24,2022-04-05T23:27:17Z,1030000,-190.0,179.0,1,right,MISS B. Hield 26' running 3PT,[1627741],1610612754.0,IND,running,,,Hield,B. Hield,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,,
104,PT03M25.00S,2022-04-05T23:27:13.0Z,1,REGULAR,rebound,offensive,[],204456,,,1610612754,22,24,2022-04-05T23:27:13Z,1040000,,,0,,T. McConnell REBOUND (Off:1 Def:0),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,103.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
105,PT03M20.00S,2022-04-05T23:27:18.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,65.78515111695138,53.18627450980392,1610612754,25,24,2022-04-05T23:27:39Z,1050000,16.0,269.0,1,right,B. Hield 26' 3PT pullup (8 PTS) (J. Anderson 2 AST),"[1627741, 1626147]",1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,26.96,Made,,,,,,,,,,,,8.0,J. Anderson,1626147.0,2.0,,,,
107,PT03M11.00S,2022-04-05T23:27:35.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,25,24,2022-04-05T23:27:35Z,1070000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M11.00S,2022-04-05T23:29:30.9Z,1,REGULAR,substitution,out,[],1626147,,,1610612755,25,24,2022-04-05T23:30:22Z,1080000,,,0,,SUB out: J. Anderson,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M11.00S,2022-04-05T23:29:30.9Z,1,REGULAR,substitution,out,[],201935,,,1610612755,25,24,2022-04-05T23:30:22Z,1090000,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M11.00S,2022-04-05T23:29:30.9Z,1,REGULAR,substitution,out,[],202699,,,1610612755,25,24,2022-04-05T23:30:22Z,1100000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M11.00S,2022-04-05T23:29:30.9Z,1,REGULAR,substitution,in,[],1630613,,,1610612755,25,24,2022-04-05T23:30:22Z,1110000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M11.00S,2022-04-05T23:29:30.9Z,1,REGULAR,substitution,in,[],1629003,,,1610612755,25,24,2022-04-05T23:30:22Z,1120000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M11.00S,2022-04-05T23:29:30.9Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,25,24,2022-04-05T23:30:22Z,1130000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M03.00S,2022-04-05T23:30:36.5Z,1,REGULAR,3pt,Jump Shot,[],1629003,7.835085413929041,2.941176470588235,1610612755,25,24,2022-04-05T23:30:47Z,1140000,235.0,21.0,1,left,MISS S. Milton 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,23.62,Missed,,,,,,,,,,,,,,,,,,,
115,PT03M01.00S,2022-04-05T23:30:38.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,25,24,2022-04-05T23:30:47Z,1150000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,
116,PT03M01.00S,2022-04-05T23:30:42.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,25,24,2022-04-05T23:30:42Z,1160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M48.00S,2022-04-05T23:31:10.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201980,22.683968462549277,92.40196078431373,1610612755,25,24,2022-04-05T23:31:16Z,1170000,-212.0,161.0,1,left,MISS D. Green 26' 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,26.6,Missed,,,,,,,,,,,,,,,,,,,
118,PT02M45.00S,2022-04-05T23:31:13.1Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,25,24,2022-04-05T23:31:16Z,1180000,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,117.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
119,PT02M40.00S,2022-04-05T23:31:18.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",204456,86.41590013140605,56.127450980392155,1610612754,25,24,2022-04-05T23:31:26Z,1190000,31.0,75.0,1,right,MISS T. McConnell 8' running pullup Shot,[204456],1610612754.0,IND,running pullup,,,McConnell,T. McConnell,,,,,8.12,Missed,,,,,,,,,,,,,,,,,,,
120,PT02M36.00S,2022-04-05T23:31:22.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,25,24,2022-04-05T23:31:26Z,1200000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,119.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
121,PT02M32.00S,2022-04-05T23:31:26.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627777,25.18068331143233,87.00980392156863,1610612755,25,24,2022-04-05T23:31:33Z,1210000,-185.0,184.0,1,left,MISS G. Niang 26' running 3PT,[1627777],1610612755.0,PHI,running,,,Niang,G. Niang,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,,
122,PT02M28.00S,2022-04-05T23:31:30.5Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,25,24,2022-04-05T23:31:33Z,1220000,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,121.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
123,PT02M20.00S,2022-04-05T23:31:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630613,93.38042049934296,55.88235294117647,1610612754,25,24,2022-04-05T23:31:43Z,1230000,29.0,10.0,1,right,MISS D. Washington Jr. driving Layup,[1630613],1610612754.0,IND,driving,,,Washington Jr.,D. Washington Jr.,,,,,3.1,Missed,,,,,,,,,,,,,,,,,,,
124,PT02M17.00S,2022-04-05T23:31:41.5Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612754,25,24,2022-04-05T23:31:43Z,1240000,,,0,,J. Smith REBOUND (Off:1 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,123.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
125,PT02M17.00S,2022-04-05T23:31:41.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630188,94.40999984741211,50.0,1610612754,27,24,2022-04-05T23:31:41Z,1250000,0.0,0.0,1,right,J. Smith tip Layup (9 PTS),[1630188],1610612754.0,IND,tip,,,Smith,J. Smith,,,,,0.0,Made,,,,,,,,,,,,9.0,,,,,,,
126,PT02M08.00S,2022-04-05T23:31:49.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,31.35676741130092,21.568627450980394,1610612755,27,27,2022-04-05T23:31:55Z,1260000,142.0,242.0,1,left,T. Maxey 28' 3PT  (9 PTS) (D. Green 1 AST),"[1630178, 201980]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,28.09,Made,,,,,,,,,,,,9.0,D. Green,201980.0,1.0,,,,
128,PT01M52.00S,2022-04-05T23:32:06.4Z,1,REGULAR,3pt,Jump Shot,[],1629052,92.72339027595268,95.58823529411765,1610612754,27,27,2022-04-05T23:32:10Z,1280000,228.0,16.0,1,right,MISS O. Brissett 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,22.85,Missed,,,,,,,,,,,,,,,,,,,
129,PT01M48.00S,2022-04-05T23:32:10.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,27,27,2022-04-05T23:32:10Z,1290000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,128.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
130,PT01M44.00S,2022-04-05T23:32:14.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203954,12.828515111695138,46.81372549019608,1610612755,27,27,2022-04-05T23:32:20Z,1300000,16.0,68.0,1,left,MISS J. Embiid 6' running Layup,[203954],1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,6.99,Missed,,,,,,,,,,,,,,,,,,,
131,PT01M41.00S,2022-04-05T23:32:17.4Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,27,27,2022-04-05T23:32:20Z,1310000,,,0,,J. Smith REBOUND (Off:1 Def:3),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,130.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
132,PT01M28.00S,2022-04-05T23:32:30.1Z,1,REGULAR,3pt,Jump Shot,[],204456,71.30420499342969,78.43137254901961,1610612754,27,27,2022-04-05T23:32:34Z,1320000,142.0,217.0,1,right,MISS T. McConnell 25' pullup 3PT,[204456],1610612754.0,IND,pullup,,,McConnell,T. McConnell,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,,
133,PT01M26.00S,2022-04-05T23:32:32.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,27,27,2022-04-05T23:32:34Z,1330000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,132.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
134,PT01M21.00S,2022-04-05T23:32:38.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,28.33442838370565,22.058823529411764,1610612755,27,27,2022-04-05T23:32:46Z,1340000,140.0,214.0,1,left,MISS T. Maxey 25' running pullup 3PT,[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,,
135,PT01M17.00S,2022-04-05T23:32:42.0Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,27,27,2022-04-05T23:32:46Z,1350000,,,0,,J. Smith REBOUND (Off:1 Def:4),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,134.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
136,PT01M12.00S,2022-04-05T23:32:47.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630188,67.88764783180025,34.31372549019608,1610612754,27,27,2022-04-05T23:32:52Z,1360000,-78.0,249.0,1,right,MISS J. Smith 26' running 3PT,[1630188],1610612754.0,IND,running,,,Smith,J. Smith,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
137,PT01M08.00S,2022-04-05T23:32:50.7Z,1,REGULAR,rebound,offensive,[],1629052,,,1610612754,27,27,2022-04-05T23:32:50Z,1370000,,,0,,O. Brissett REBOUND (Off:1 Def:3),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,136.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
138,PT01M07.00S,2022-04-05T23:32:52.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630188,91.80354796320631,49.754901960784316,1610612754,29,27,2022-04-05T23:32:56Z,1380000,-1.0,25.0,1,right,J. Smith cutting DUNK (11 PTS) (O. Brissett 1 AST),"[1630188, 1629052]",1610612754.0,IND,cutting,,,Smith,J. Smith,,,,,2.45,Made,,,,,,,,,,,,11.0,O. Brissett,1629052.0,1.0,,,,
140,PT00M50.50S,2022-04-05T23:33:08.9Z,1,REGULAR,3pt,Jump Shot,[],1627777,8.623521681997373,97.30392156862744,1610612755,29,30,2022-04-05T23:33:13Z,1400000,-237.0,29.0,1,left,G. Niang 3PT  (3 PTS) (T. Maxey 3 AST),"[1627777, 1630178]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,23.82,Made,,,,,,,,,,,,3.0,T. Maxey,1630178.0,3.0,,,,
142,PT00M32.90S,2022-04-05T23:33:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,92.59198423127464,54.166666666666664,1610612754,29,30,2022-04-05T23:36:24Z,1420000,21.0,17.0,1,right,MISS J. Smith cutting Layup,[1630188],1610612754.0,IND,cutting,,,Smith,J. Smith,,,,,2.69,Missed,,,,,,,,,,,,,,,,,,,
143,PT00M31.00S,2022-04-05T23:33:31.8Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612754,29,30,2022-04-05T23:33:31Z,1430000,,,0,,J. Smith REBOUND (Off:2 Def:4),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,142.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
144,PT00M29.20S,2022-04-05T23:33:33.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,93.77463863337714,3.9215686274509802,1610612754,29,30,2022-04-05T23:33:36Z,1440000,-230.0,6.0,1,right,MISS B. Hield 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,23.05,Missed,,,,,,,,,,,,,,,,,,,
145,PT00M26.50S,2022-04-05T23:33:36.3Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,29,30,2022-04-05T23:33:36Z,1450000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
146,PT00M10.70S,2022-04-05T23:33:53.8Z,1,REGULAR,foul,personal,[],204456,,,1610612755,29,30,2022-04-05T23:37:28Z,1460000,,,0,,T. McConnell take personal FOUL (1 PF),"[204456, 1630178]",1610612754.0,IND,take,,,McConnell,T. McConnell,,,,,,,,,,,204059.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,,
148,PT00M10.70S,2022-04-05T23:33:58.8Z,1,REGULAR,substitution,out,[],1627741,,,1610612755,29,30,2022-04-05T23:34:04Z,1480000,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M10.70S,2022-04-05T23:33:58.8Z,1,REGULAR,substitution,in,[],1630169,,,1610612755,29,30,2022-04-05T23:34:04Z,1490000,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M10.70S,2022-04-05T23:34:29.7Z,1,REGULAR,substitution,out,[],1630613,,,1610612755,29,30,2022-04-05T23:34:37Z,1500000,,,0,,SUB out: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M10.70S,2022-04-05T23:34:29.7Z,1,REGULAR,substitution,out,[],1630188,,,1610612755,29,30,2022-04-05T23:34:37Z,1510000,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M10.70S,2022-04-05T23:34:29.7Z,1,REGULAR,substitution,in,[],1626147,,,1610612755,29,30,2022-04-05T23:34:37Z,1520000,,,0,,SUB in: J. Anderson,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M10.70S,2022-04-05T23:34:29.7Z,1,REGULAR,substitution,in,[],1630678,,,1610612755,29,30,2022-04-05T23:34:37Z,1530000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M09.90S,2022-04-05T23:34:48.2Z,1,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,29,30,2022-04-05T23:34:55Z,1540000,,,0,,T. Maxey step out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,step,,,Maxey,T. Maxey,,,,,,,,,,,204059.0,,,,,,,,,,,1.0,,,
155,PT00M09.90S,2022-04-05T23:34:56.3Z,1,REGULAR,substitution,out,[],1626147,,,1610612754,29,30,2022-04-05T23:35:12Z,1550000,,,0,,SUB out: J. Anderson,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M09.90S,2022-04-05T23:34:56.3Z,1,REGULAR,substitution,out,[],1630678,,,1610612754,29,30,2022-04-05T23:35:12Z,1560000,,,0,,SUB out: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M09.90S,2022-04-05T23:34:56.3Z,1,REGULAR,substitution,in,[],1630613,,,1610612754,29,30,2022-04-05T23:35:12Z,1570000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M09.90S,2022-04-05T23:34:56.3Z,1,REGULAR,substitution,in,[],1627741,,,1610612754,29,30,2022-04-05T23:35:12Z,1580000,,,0,,SUB in: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M05.20S,2022-04-05T23:35:16.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630169,92.46057818659659,45.09803921568628,1610612754,31,30,2022-04-05T23:40:05Z,1590000,-25.0,18.0,1,right,T. Haliburton running Layup (4 PTS),[1630169],1610612754.0,IND,running,,,Haliburton,T. Haliburton,,,,,3.06,Made,,,,,,,,,,,,4.0,,,,,,,
160,PT00M00.80S,2022-04-05T23:35:23.8Z,1,REGULAR,3pt,Jump Shot,[],203954,31.61957950065703,89.95098039215686,1610612755,31,33,2022-04-05T23:41:00Z,1600000,-200.0,245.0,1,left,J. Embiid 31' 3PT turnaround bank (9 PTS),[203954],1610612755.0,PHI,turnaround bank,,,Embiid,J. Embiid,,,,,31.59,Made,,,,,,,,,,,,9.0,,,,,,,
161,PT00M00.00S,2022-04-05T23:35:31.1Z,1,REGULAR,instantreplay,request,[],0,,,1610612754,31,33,2022-04-05T23:36:03Z,1610000,,,0,,,[],,,support,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,,End Period - Good Basket
162,PT00M00.00S,2022-04-05T23:36:08.3Z,1,REGULAR,period,end,[],0,,,1610612754,31,33,2022-04-05T23:36:08Z,1620000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,out,['startperiod'],204456,,,1610612754,31,33,2022-04-05T23:38:23Z,1630000,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,out,['startperiod'],1629052,,,1610612754,31,33,2022-04-05T23:38:23Z,1640000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,out,['startperiod'],1627741,,,1610612754,31,33,2022-04-05T23:38:23Z,1650000,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,out,['startperiod'],1630178,,,1610612754,31,33,2022-04-05T23:38:23Z,1660000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,out,['startperiod'],201980,,,1610612754,31,33,2022-04-05T23:38:23Z,1670000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,out,['startperiod'],203954,,,1610612754,31,33,2022-04-05T23:38:23Z,1680000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,in,['startperiod'],202362,,,1610612754,31,33,2022-04-05T23:38:23Z,1690000,,,0,,SUB in: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,in,['startperiod'],1626147,,,1610612754,31,33,2022-04-05T23:38:23Z,1700000,,,0,,SUB in: J. Anderson,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,in,['startperiod'],1630543,,,1610612754,31,33,2022-04-05T23:38:23Z,1710000,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,in,['startperiod'],202699,,,1610612754,31,33,2022-04-05T23:38:23Z,1720000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,in,['startperiod'],201599,,,1610612754,31,33,2022-04-05T23:38:23Z,1730000,,,0,,SUB in: D. Jordan,[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-04-05T23:38:00.0Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612754,31,33,2022-04-05T23:38:23Z,1740000,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2022-04-05T23:38:38.3Z,2,REGULAR,period,start,[],0,,,1610612755,31,33,2022-04-05T23:38:38Z,1750000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT11M48.00S,2022-04-05T23:38:53.1Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,31,33,2022-04-05T23:38:53Z,1760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT11M37.00S,2022-04-05T23:39:18.6Z,2,REGULAR,2pt,Jump Shot,[],202699,10.988830486202366,28.186274509803923,1610612755,31,33,2022-04-05T23:39:25Z,1770000,109.0,51.0,1,left,MISS T. Harris 12' fadeaway Shot,[202699],1610612755.0,PHI,fadeaway,,,Harris,T. Harris,,,,,12.03,Missed,,,,,,,,,,,,,,,,,,,
178,PT11M33.00S,2022-04-05T23:39:22.6Z,2,REGULAR,rebound,defensive,[],202362,,,1610612754,31,33,2022-04-05T23:39:25Z,1780000,,,0,,L. Stephenson REBOUND (Off:0 Def:1),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,177.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
179,PT11M26.00S,2022-04-05T23:39:28.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630169,92.85479632063075,50.98039215686274,1610612754,33,33,2022-04-05T23:39:33Z,1790000,5.0,15.0,1,right,T. Haliburton driving DUNK (6 PTS) (L. Stephenson 1 AST),"[1630169, 202362]",1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,1.55,Made,,,,,,,,,,,,6.0,L. Stephenson,202362.0,1.0,,,,
180,PT11M10.00S,2022-04-05T23:39:45.1Z,2,REGULAR,3pt,Jump Shot,[],1627777,30.56833114323259,30.88235294117647,1610612755,33,36,2022-04-05T23:39:48Z,1800000,96.0,235.0,1,left,G. Niang 25' 3PT  (6 PTS) (J. Harden 5 AST),"[1627777, 201935]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,25.35,Made,,,,,,,,,,,,6.0,J. Harden,201935.0,5.0,,,,
