actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
91,PT05M06.00S,2021-12-22T01:25:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,83.52496714848883,47.794117647058826,1610612740,10,8,2021-12-22T01:25:22Z,910000,-11.0,102.0,1,right,MISS B. Ingram 10' fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,,,,,,Missed,,,,,,10.3,,,,,,,,,
92,PT05M03.00S,2021-12-22T01:25:18.0Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,10,8,2021-12-22T01:25:22Z,920000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,91.0,1.0,1.0,0.0,,,,,,,,,,
93,PT04M55.00S,2021-12-22T01:25:31.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626195,,,1610612757,10,8,2021-12-22T01:25:40Z,930000,,,0,,W. Hernangomez shooting personal FOUL (2 PF) (Powell 2 FT),"[1626195, 1626181]",1610612740.0,NOP,shooting,,,Hernangomez,W. Hernangomez,,,,,1627519.0,2.0,0.0,Powell,1626181.0,,,,,,,,,,,,,,,,
95,PT04M55.00S,2021-12-22T01:25:56.4Z,1,REGULAR,freethrow,1 of 2,[],1626181,,,1610612757,10,9,2021-12-22T01:25:56Z,950000,,,0,,N. Powell Free Throw 1 of 2 (1 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
96,PT04M55.00S,2021-12-22T01:26:12.0Z,1,REGULAR,freethrow,2 of 2,[],1626181,,,1610612757,10,10,2021-12-22T01:26:12Z,960000,,,0,,N. Powell Free Throw 2 of 2 (2 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
97,PT04M35.00S,2021-12-22T01:26:32.0Z,1,REGULAR,3pt,Jump Shot,[],1629638,94.56307490144546,96.07843137254902,1610612740,13,10,2021-12-22T01:26:37Z,970000,230.0,-1.0,1,right,N. Alexander-Walker 3PT  (3 PTS) (B. Ingram 1 AST),"[1629638, 1627742]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,Made,3.0,,,,,23.04,,,,,,B. Ingram,1627742.0,1.0,
99,PT04M20.00S,2021-12-22T01:26:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,5.206964520367937,47.05882352941176,1610612757,13,12,2021-12-22T01:26:54Z,990000,15.0,-4.0,1,left,D. Lillard cutting Layup (5 PTS) (J. Nurkic 1 AST),"[203081, 203994]",1610612757.0,POR,cutting,,,Lillard,D. Lillard,,,,,,,,,,Made,5.0,,,,,1.51,,,,,,J. Nurkic,203994.0,1.0,
101,PT04M05.00S,2021-12-22T01:27:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,91.27792378449409,49.50980392156863,1610612740,15,12,2021-12-22T01:27:10Z,1010000,-2.0,29.0,1,right,B. Ingram driving finger roll Layup (2 PTS) (N. Alexander-Walker 1 AST),"[1627742, 1629638]",1610612740.0,NOP,driving finger roll,,,Ingram,B. Ingram,,,,,,,,,,Made,2.0,,,,,2.96,,,,,,N. Alexander-Walker,1629638.0,1.0,
103,PT03M50.00S,2021-12-22T01:27:17.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,5.469776609724048,46.568627450980394,1610612757,15,14,2021-12-22T01:27:24Z,1030000,17.0,-1.0,1,left,N. Powell cutting Layup (4 PTS) (J. Nurkic 2 AST),"[1626181, 203994]",1610612757.0,POR,cutting,,,Powell,N. Powell,,,,,,,,,,Made,4.0,,,,,1.72,,,,,,J. Nurkic,203994.0,2.0,
105,PT03M34.00S,2021-12-22T01:27:33.8Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612740,15,14,2021-12-22T01:27:37Z,1050000,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 203081]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,1.0,Lillard,203081.0,,,,,,
106,PT03M34.00S,2021-12-22T01:27:33.8Z,1,REGULAR,steal,,[],203081,,,1610612757,15,14,2021-12-22T01:27:35Z,1060000,,,0,,D. Lillard STEAL (1 STL),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M30.00S,2021-12-22T01:27:40.8Z,1,REGULAR,turnover,traveling,[],1629014,,,1610612757,15,14,2021-12-22T01:27:46Z,1070000,,,0,,A. Simons traveling TURNOVER (1 TO),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,201246.0,,,,,,,,,,,,1.0,,,,,,,,
108,PT03M30.00S,2021-12-22T01:27:45.0Z,1,REGULAR,substitution,out,[],1628404,,,1610612740,15,14,2021-12-22T01:27:51Z,1080000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M30.00S,2021-12-22T01:27:45.0Z,1,REGULAR,substitution,in,[],1630530,,,1610612740,15,14,2021-12-22T01:27:51Z,1090000,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M21.00S,2021-12-22T01:28:07.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,78.13731931668858,75.98039215686273,1610612740,17,14,2021-12-22T01:28:12Z,1100000,130.0,153.0,1,right,B. Ingram 20' Jump Shot (4 PTS) (T. Satoransky 1 AST),"[1627742, 203107]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,Made,4.0,,,,,20.07,,,,,,T. Satoransky,203107.0,1.0,
112,PT02M59.00S,2021-12-22T01:28:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,5.863994743758213,52.450980392156865,1610612757,17,16,2021-12-22T01:28:33Z,1120000,-12.0,3.0,1,left,D. Lillard driving Layup (7 PTS),[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,,,,,,Made,7.0,,,,,1.26,,,,,,,,,
113,PT02M48.00S,2021-12-22T01:28:40.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,66.70499342969777,52.20588235294118,1610612740,17,16,2021-12-22T01:28:45Z,1130000,11.0,260.0,1,right,MISS N. Alexander-Walker 26' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,Missed,,,,,,26.07,,,,,,,,,
114,PT02M44.00S,2021-12-22T01:28:44.9Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,17,16,2021-12-22T01:28:45Z,1140000,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,113.0,2.0,2.0,0.0,,,,,,,,,,
115,PT02M30.00S,2021-12-22T01:28:58.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,8.229303547963205,49.26470588235294,1610612757,17,18,2021-12-22T01:29:07Z,1150000,4.0,25.0,1,left,J. Nurkic Hook (7 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Made,7.0,,,,,2.52,,,,,,,,,
116,PT02M13.00S,2021-12-22T01:29:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203107,94.30026281208936,54.166666666666664,1610612740,17,18,2021-12-22T01:29:23Z,1160000,21.0,1.0,1,right,MISS T. Satoransky driving Layup - blocked,"[203107, 203994]",1610612740.0,NOP,driving,,,Satoransky,T. Satoransky,,,,,,,,,,Missed,,,,,,2.08,,,,Nurkic,203994.0,,,,
117,PT02M13.00S,2021-12-22T01:29:17.1Z,1,REGULAR,block,,[],203994,,,1610612740,17,18,2021-12-22T01:29:19Z,1170000,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M13.00S,2021-12-22T01:29:17.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,17,18,2021-12-22T01:29:23Z,1180000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,
119,PT02M13.00S,2021-12-22T01:29:22.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,17,18,2021-12-22T01:29:22Z,1190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M13.00S,2021-12-22T01:29:24.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,17,18,2021-12-22T01:29:24Z,1200000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M13.00S,2021-12-22T01:31:31.3Z,1,REGULAR,substitution,out,[],203107,,,1610612740,17,18,2021-12-22T01:32:10Z,1210000,,,0,,SUB out: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M13.00S,2021-12-22T01:31:31.3Z,1,REGULAR,substitution,out,[],203081,,,1610612740,17,18,2021-12-22T01:32:10Z,1220000,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M13.00S,2021-12-22T01:31:31.3Z,1,REGULAR,substitution,out,[],203994,,,1610612740,17,18,2021-12-22T01:32:10Z,1230000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M13.00S,2021-12-22T01:31:31.3Z,1,REGULAR,substitution,in,[],1628984,,,1610612740,17,18,2021-12-22T01:32:10Z,1240000,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M13.00S,2021-12-22T01:31:31.3Z,1,REGULAR,substitution,in,[],1626204,,,1610612740,17,18,2021-12-22T01:32:10Z,1250000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M13.00S,2021-12-22T01:31:31.3Z,1,REGULAR,substitution,in,[],203463,,,1610612740,17,18,2021-12-22T01:32:10Z,1260000,,,0,,SUB in: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M08.00S,2021-12-22T01:32:27.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629638,93.51182654402102,51.225490196078425,1610612740,19,18,2021-12-22T01:32:31Z,1270000,6.0,8.0,1,right,N. Alexander-Walker Layup (5 PTS) (B. Ingram 2 AST),"[1629638, 1627742]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,Made,5.0,,,,,1.05,,,,,,B. Ingram,1627742.0,2.0,
129,PT01M49.00S,2021-12-22T01:32:47.4Z,1,REGULAR,2pt,Jump Shot,[],1629014,17.95335085413929,19.362745098039216,1610612757,19,18,2021-12-22T01:32:53Z,1290000,153.0,116.0,1,left,MISS A. Simons 19' pullup Shot,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,,,,,,Missed,,,,,,19.23,,,,,,,,,
130,PT01M44.00S,2021-12-22T01:32:52.4Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,19,18,2021-12-22T01:32:53Z,1300000,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,129.0,1.0,1.0,0.0,,,,,,,,,,
131,PT01M34.00S,2021-12-22T01:33:01.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626195,94.30026281208936,42.15686274509804,1610612740,21,18,2021-12-22T01:33:05Z,1310000,-39.0,1.0,1,right,W. Hernangomez turnaround Hook (4 PTS) (B. Ingram 3 AST),"[1626195, 1627742]",1610612740.0,NOP,turnaround,,,Hernangomez,W. Hernangomez,,,,,,,,,,Made,4.0,,,,,3.92,,,,,,B. Ingram,1627742.0,3.0,
133,PT01M15.00S,2021-12-22T01:33:20.6Z,1,REGULAR,2pt,Jump Shot,[],1626181,18.74178712220762,70.09803921568627,1610612757,21,18,2021-12-22T01:34:12Z,1330000,-100.0,124.0,1,left,MISS N. Powell 15' step back Shot,[1626181],1610612757.0,POR,step back,,,Powell,N. Powell,,,,,,,,,,Missed,,,,,,15.94,,,,,,,,,
134,PT01M09.00S,2021-12-22T01:33:26.6Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,21,18,2021-12-22T01:33:31Z,1340000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,133.0,1.0,1.0,0.0,,,,,,,,,,
135,PT01M08.00S,2021-12-22T01:33:28.2Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612740,21,18,2021-12-22T01:33:50Z,1350000,,,0,,N. Alexander-Walker bad pass TURNOVER (2 TO),"[1629638, 1626204]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,2.0,Nance Jr.,1626204.0,,,,,,
136,PT01M08.00S,2021-12-22T01:33:28.2Z,1,REGULAR,steal,,[],1626204,,,1610612757,21,18,2021-12-22T01:33:30Z,1360000,,,0,,L. Nance Jr. STEAL (2 STL),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M04.00S,2021-12-22T01:33:31.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203496,30.962549277266753,34.55882352941176,1610612757,21,18,2021-12-22T01:33:40Z,1370000,77.0,239.0,1,left,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,Missed,,,,,,25.07,,,,,,,,,
138,PT01M01.00S,2021-12-22T01:33:34.1Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,21,18,2021-12-22T01:33:34Z,1380000,,,0,,B. Ingram REBOUND (Off:0 Def:3),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,137.0,3.0,3.0,0.0,,,,,,,,,,
139,PT01M00.00S,2021-12-22T01:33:36.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627742,66.70499342969777,53.67647058823529,1610612740,21,18,2021-12-22T01:35:16Z,1390000,18.0,260.0,1,right,MISS B. Ingram 26' pullup 3PT,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,,,,Missed,,,,,,26.11,,,,,,,,,
140,PT00M57.60S,2021-12-22T01:33:38.4Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,21,18,2021-12-22T01:33:45Z,1400000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,,,
141,PT00M49.40S,2021-12-22T01:33:47.4Z,1,REGULAR,3pt,Jump Shot,[],203463,13.61695137976347,95.58823529411765,1610612757,21,18,2021-12-22T01:33:52Z,1410000,-228.0,75.0,1,left,MISS B. McLemore 24' 3PT,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,Missed,,,,,,24.01,,,,,,,,,
142,PT00M46.40S,2021-12-22T01:33:50.4Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,21,18,2021-12-22T01:33:52Z,1420000,,,0,,W. Hernangomez REBOUND (Off:0 Def:3),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,141.0,3.0,3.0,0.0,,,,,,,,,,
143,PT00M35.40S,2021-12-22T01:34:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,93.77463863337714,46.81372549019608,1610612740,23,18,2021-12-22T01:34:08Z,1430000,-16.0,6.0,1,right,W. Hernangomez cutting Layup (6 PTS) (N. Alexander-Walker 2 AST),"[1626195, 1629638]",1610612740.0,NOP,cutting,,,Hernangomez,W. Hernangomez,,,,,,,,,,Made,6.0,,,,,1.7,,,,,,N. Alexander-Walker,1629638.0,2.0,
145,PT00M35.40S,2021-12-22T01:34:06.1Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1626204,,,1610612740,23,18,2021-12-22T01:34:39Z,1450000,,,0,,L. Nance Jr. shooting personal FOUL (2 PF) (Hernangomez 1 FT),"[1626204, 1626195]",1610612757.0,POR,shooting,,,Nance Jr.,L. Nance Jr.,,,,,1179.0,2.0,0.0,Hernangomez,1626195.0,,,,,,,,,,,,,,,,
147,PT00M35.40S,2021-12-22T01:34:21.9Z,1,REGULAR,substitution,out,[],1627742,,,1610612740,23,18,2021-12-22T01:34:32Z,1470000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M35.40S,2021-12-22T01:34:21.9Z,1,REGULAR,substitution,out,[],1626204,,,1610612740,23,18,2021-12-22T01:34:32Z,1480000,,,0,,SUB out: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M35.40S,2021-12-22T01:34:21.9Z,1,REGULAR,substitution,in,[],202066,,,1610612740,23,18,2021-12-22T01:34:32Z,1490000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M35.40S,2021-12-22T01:34:21.9Z,1,REGULAR,substitution,in,[],1630570,,,1610612740,23,18,2021-12-22T01:34:32Z,1500000,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M35.40S,2021-12-22T01:34:51.2Z,1,REGULAR,freethrow,1 of 1,[],1626195,,,1610612740,24,18,2021-12-22T01:34:51Z,1510000,,,0,,W. Hernangomez Free Throw 1 of 1 (7 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
152,PT00M26.70S,2021-12-22T01:35:06.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,24,18,2021-12-22T01:35:06Z,1520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M15.50S,2021-12-22T01:35:25.8Z,1,REGULAR,3pt,Jump Shot,[],203463,3.942181340341656,3.699448529411765,1610612757,24,21,2021-12-22T01:39:52Z,1530000,232.0,-15.0,1,left,B. McLemore 3PT step back (3 PTS),[203463],1610612757.0,POR,step back,,,McLemore,B. McLemore,,,,,,,,,,Made,3.0,,,,,23.2,,,,,,,,,
170,PT00M15.50S,2021-12-22T01:35:34.5Z,1,REGULAR,instantreplay,request,[],0,,,1610612740,24,21,2021-12-22T01:41:25Z,1535000,,,0,,,[],,,overturned,,,,,,,,,1179.0,,,,,,,,,,,,,,,,,,,,Changed to 3-pt FG
154,PT00M02.40S,2021-12-22T01:35:43.3Z,1,REGULAR,3pt,Jump Shot,[],1626195,73.40670170827858,12.5,1610612740,24,21,2021-12-22T01:35:48Z,1540000,-188.0,197.0,1,right,MISS W. Hernangomez 27' 3PT,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,Missed,,,,,,27.23,,,,,,,,,
155,PT00M02.40S,2021-12-22T01:35:43.3Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612757,24,21,2021-12-22T01:35:48Z,1550000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,154.0,1.0,1.0,0.0,,,,,,,,,,
156,PT00M00.00S,2021-12-22T01:35:59.4Z,1,REGULAR,period,end,[],0,,,1610612757,24,21,2021-12-22T01:35:59Z,1560000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-12-22T01:38:00.4Z,2,REGULAR,substitution,out,['startperiod'],1626195,,,1610612757,24,21,2021-12-22T01:38:21Z,1570000,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-12-22T01:38:00.4Z,2,REGULAR,substitution,out,['startperiod'],1630530,,,1610612757,24,21,2021-12-22T01:38:21Z,1580000,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2021-12-22T01:38:00.4Z,2,REGULAR,substitution,out,['startperiod'],1626181,,,1610612757,24,21,2021-12-22T01:38:21Z,1590000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-12-22T01:38:00.4Z,2,REGULAR,substitution,in,['startperiod'],1628404,,,1610612757,24,21,2021-12-22T01:38:21Z,1600000,,,0,,SUB in: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-12-22T01:38:00.4Z,2,REGULAR,substitution,in,['startperiod'],202685,,,1610612757,24,21,2021-12-22T01:38:21Z,1610000,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-12-22T01:38:00.4Z,2,REGULAR,substitution,in,['startperiod'],203503,,,1610612757,24,21,2021-12-22T01:38:21Z,1620000,,,0,,SUB in: T. Snell,[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-12-22T01:38:41.5Z,2,REGULAR,period,start,[],0,,,1610612740,24,21,2021-12-22T01:38:41Z,1630000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT11M45.00S,2021-12-22T01:38:58.8Z,2,REGULAR,foul,personal,['2freethrow'],203496,,,1610612740,24,21,2021-12-22T01:39:05Z,1640000,,,0,,R. Covington shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[203496, 202685]",1610612757.0,POR,shooting,,,Covington,R. Covington,,,,,201246.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,
166,PT11M45.00S,2021-12-22T01:39:23.7Z,2,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,25,21,2021-12-22T01:39:23Z,1660000,,,0,,J. Valanciunas Free Throw 1 of 2 (1 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
167,PT11M45.00S,2021-12-22T01:39:39.1Z,2,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,26,21,2021-12-22T01:39:39Z,1670000,,,0,,J. Valanciunas Free Throw 2 of 2 (2 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
168,PT11M28.00S,2021-12-22T01:40:00.2Z,2,REGULAR,violation,kicked ball,[],1629638,,,1610612757,26,21,2021-12-22T01:40:35Z,1680000,,,0,,N. Alexander-Walker kicked ball VIOLATION,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,1179.0,,,,,,,,,,,,,,,,,,,,
169,PT11M20.00S,2021-12-22T01:40:26.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,7.966491458607096,36.27450980392157,1610612757,26,21,2021-12-22T01:42:57Z,1690000,69.0,22.0,1,left,MISS A. Simons 7' driving floating Shot,[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,,,,,,Missed,,,,,,7.22,,,,,,,,,
171,PT11M15.00S,2021-12-22T01:40:31.1Z,2,REGULAR,rebound,offensive,[],1630570,,,1610612757,26,21,2021-12-22T01:40:31Z,1700000,,,0,,T. Watford REBOUND (Off:1 Def:0),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,169.0,1.0,0.0,1.0,,,,,,,,,,
172,PT11M15.00S,2021-12-22T01:40:31.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630570,5.590000152587891,50.0,1610612757,26,21,2021-12-22T01:40:31Z,1710000,0.0,0.0,1,left,MISS T. Watford tip Layup,[1630570],1610612757.0,POR,tip,,,Watford,T. Watford,,,,,,,,,,Missed,,,,,,0.0,,,,,,,,,
173,PT11M14.00S,2021-12-22T01:40:32.3Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,26,21,2021-12-22T01:40:32Z,1720000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,172.0,2.0,2.0,0.0,,,,,,,,,,
174,PT11M04.00S,2021-12-22T01:40:43.1Z,2,REGULAR,turnover,lost ball,[],202685,,,1610612740,26,21,2021-12-22T01:40:47Z,1730000,,,0,,J. Valanciunas lost ball TURNOVER (1 TO),"[202685, 203503]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,1.0,Snell,203503.0,,,,,,
175,PT11M04.00S,2021-12-22T01:40:43.1Z,2,REGULAR,steal,,[],203503,,,1610612757,26,21,2021-12-22T01:47:00Z,1740000,,,0,,T. Snell STEAL (1 STL),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT10M58.00S,2021-12-22T01:40:48.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629014,10.068988173455978,94.85294117647058,1610612757,26,21,2021-12-22T01:40:58Z,1750000,-224.0,42.0,1,left,MISS A. Simons 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,Missed,,,,,,22.82,,,,,,,,,
177,PT10M50.00S,2021-12-22T01:40:56.8Z,2,REGULAR,rebound,offensive,[],203496,,,1610612757,26,21,2021-12-22T01:40:58Z,1760000,,,0,,R. Covington REBOUND (Off:1 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,176.0,2.0,1.0,1.0,,,,,,,,,,
