actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
179,PT10M02.00S,2021-11-20T01:42:10.7Z,2,REGULAR,foul,personal,[],1628392,,,1610612740,18,36,2021-11-20T01:44:34Z,1770000,,,0,,I. Hartenstein take personal FOUL (1 PF),"[1628392, 202066]",1610612746.0,LAC,take,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Temple,202066.0,,
181,PT09M49.00S,2021-11-20T01:42:32.7Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,4.812746386333772,69.36274509803921,1610612740,20,36,2021-11-20T01:42:42Z,1790000,-97.0,-7.0,1,left,B. Ingram 9' step back Jump Shot (2 PTS) (J. Hart 1 AST),"[1627742, 1628404]",1610612740.0,NOP,step back,,,Ingram,B. Ingram,,,,,9.71,Made,2.0,,,,,,,,J. Hart,1628404.0,1.0,,,,,,,
183,PT09M27.00S,2021-11-20T01:42:55.1Z,2,REGULAR,2pt,Jump Shot,[],1628379,76.2976346911958,26.47058823529412,1610612746,20,36,2021-11-20T01:43:01Z,1810000,-118.0,170.0,1,right,MISS L. Kennard 20' fadeaway Shot,[1628379],1610612746.0,LAC,fadeaway,,,Kennard,L. Kennard,,,,,20.7,Missed,,,,,,,,,,,,,,,,,,
184,PT09M23.00S,2021-11-20T01:42:59.1Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,20,36,2021-11-20T01:43:01Z,1820000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,183.0,2.0,2.0,0.0,,,,,,,,,,,,,
185,PT09M14.00S,2021-11-20T01:43:08.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202685,11.383048620236531,49.754901960784316,1610612740,20,36,2021-11-20T01:43:16Z,1830000,1.0,55.0,1,left,MISS J. Valanciunas Hook,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,5.45,Missed,,,,,,,,,,,,,,,,,,
186,PT09M12.00S,2021-11-20T01:43:10.3Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612746,20,36,2021-11-20T01:43:16Z,1840000,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,185.0,1.0,1.0,0.0,,,,,,,,,,,,,
187,PT09M02.00S,2021-11-20T01:43:19.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,93.64323258869908,47.05882352941176,1610612746,20,38,2021-11-20T01:44:07Z,1850000,-15.0,7.0,1,right,I. Hartenstein Layup (9 PTS) (A. Coffey 2 AST),"[1628392, 1629599]",1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,1.64,Made,9.0,,,,,,,,A. Coffey,1629599.0,2.0,,,,,,,
189,PT08M49.00S,2021-11-20T01:43:33.0Z,2,REGULAR,2pt,Jump Shot,[],1627742,20.71287779237845,28.186274509803923,1610612740,20,38,2021-11-20T01:46:07Z,1870000,109.0,142.0,1,left,MISS B. Ingram 17' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,17.92,Missed,,,,,,,,,,,,,,,,,,
190,PT08M49.00S,2021-11-20T01:43:33.0Z,2,REGULAR,rebound,offensive,[],203107,,,1610612740,20,38,2021-11-20T01:43:50Z,1880000,,,0,,T. Satoransky REBOUND (Off:1 Def:1),[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,189.0,2.0,1.0,1.0,,,,,,,,,,,,,
191,PT08M43.00S,2021-11-20T01:43:38.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203107,5.590000152587891,50.0,1610612740,22,38,2021-11-20T01:43:38Z,1890000,0.0,0.0,1,left,T. Satoransky tip Layup (2 PTS),[203107],1610612740.0,NOP,tip,,,Satoransky,T. Satoransky,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
192,PT08M23.00S,2021-11-20T01:43:59.4Z,2,REGULAR,3pt,Jump Shot,[],1629599,95.0886990801577,4.411764705882353,1610612746,22,38,2021-11-20T01:44:04Z,1900000,-228.0,-6.0,1,right,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,
193,PT08M20.00S,2021-11-20T01:44:02.4Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,22,38,2021-11-20T01:44:04Z,1910000,,,0,,J. Valanciunas REBOUND (Off:2 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,192.0,4.0,2.0,2.0,,,,,,,,,,,,,
194,PT08M16.00S,2021-11-20T01:44:06.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202066,6.1268068331143235,96.81372549019608,1610612740,22,38,2021-11-20T01:44:14Z,1920000,-234.0,5.0,1,left,MISS G. Temple 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,
195,PT08M11.00S,2021-11-20T01:44:11.2Z,2,REGULAR,rebound,defensive,[],1628392,,,1610612746,22,38,2021-11-20T01:44:14Z,1930000,,,0,,I. Hartenstein REBOUND (Off:0 Def:3),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,194.0,3.0,3.0,0.0,,,,,,,,,,,,,
196,PT08M02.00S,2021-11-20T01:44:20.0Z,2,REGULAR,2pt,Jump Shot,[],202704,78.53153745072274,71.81372549019608,1610612746,22,38,2021-11-20T01:44:27Z,1940000,109.0,149.0,1,right,MISS R. Jackson 18' step back Shot,[202704],1610612746.0,LAC,step back,,,Jackson,R. Jackson,,,,,18.49,Missed,,,,,,,,,,,,,,,,,,
197,PT07M58.00S,2021-11-20T01:44:24.0Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,22,38,2021-11-20T01:44:27Z,1950000,,,0,,J. Valanciunas REBOUND (Off:2 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,196.0,5.0,3.0,2.0,,,,,,,,,,,,,
198,PT07M47.00S,2021-11-20T01:44:35.2Z,2,REGULAR,3pt,Jump Shot,[],1627742,17.821944809461236,94.11764705882352,1610612740,22,38,2021-11-20T01:44:41Z,1960000,-221.0,115.0,1,left,MISS B. Ingram 24' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,
199,PT07M41.00S,2021-11-20T01:44:41.2Z,2,REGULAR,rebound,defensive,[],1629611,,,1610612746,22,38,2021-11-20T01:44:41Z,1970000,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,198.0,2.0,2.0,0.0,,,,,,,,,,,,,
200,PT07M40.00S,2021-11-20T01:44:50.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,22,38,2021-11-20T01:44:50Z,1980000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT07M40.00S,2021-11-20T01:46:56.1Z,2,REGULAR,substitution,out,[],202704,,,1610612746,22,38,2021-11-20T01:47:35Z,1990000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
202,PT07M40.00S,2021-11-20T01:46:56.1Z,2,REGULAR,substitution,out,[],1629599,,,1610612746,22,38,2021-11-20T01:47:35Z,2000000,,,0,,SUB out: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,
203,PT07M40.00S,2021-11-20T01:46:56.1Z,2,REGULAR,substitution,out,[],1629611,,,1610612746,22,38,2021-11-20T01:47:35Z,2010000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
204,PT07M40.00S,2021-11-20T01:46:56.1Z,2,REGULAR,substitution,out,[],1628392,,,1610612746,22,38,2021-11-20T01:47:35Z,2020000,,,0,,SUB out: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
205,PT07M40.00S,2021-11-20T01:46:56.1Z,2,REGULAR,substitution,in,[],201587,,,1610612746,22,38,2021-11-20T01:47:35Z,2030000,,,0,,SUB in: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M40.00S,2021-11-20T01:46:56.1Z,2,REGULAR,substitution,in,[],1627826,,,1610612746,22,38,2021-11-20T01:47:35Z,2040000,,,0,,SUB in: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M40.00S,2021-11-20T01:46:56.1Z,2,REGULAR,substitution,in,[],202339,,,1610612746,22,38,2021-11-20T01:47:35Z,2050000,,,0,,SUB in: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M40.00S,2021-11-20T01:46:56.1Z,2,REGULAR,substitution,in,[],202331,,,1610612746,22,38,2021-11-20T01:47:35Z,2060000,,,0,,SUB in: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M26.00S,2021-11-20T01:47:47.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,93.64323258869908,53.67647058823529,1610612746,22,40,2021-11-20T01:47:51Z,2070000,18.0,7.0,1,right,I. Zubac Layup (4 PTS) (L. Kennard 2 AST),"[1627826, 1628379]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1.98,Made,4.0,,,,,,,,L. Kennard,1628379.0,2.0,,,,,,,
211,PT07M09.00S,2021-11-20T01:48:04.3Z,2,REGULAR,2pt,Jump Shot,[],1627742,22.026938239159,49.26470588235294,1610612740,24,40,2021-11-20T01:48:12Z,2090000,4.0,155.0,1,left,B. Ingram 15' pullup Jump Shot (4 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,15.46,Made,4.0,,,,,,,,,,,,,,,,,
212,PT06M44.00S,2021-11-20T01:48:32.9Z,2,REGULAR,foul,personal,[],1628404,,,1610612746,24,40,2021-11-20T01:48:40Z,2100000,,,0,,J. Hart personal FOUL (2 PF),"[1628404, 1627826]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,1198.0,2.0,0.0,Zubac,1627826.0,,
214,PT06M44.00S,2021-11-20T01:48:39.6Z,2,REGULAR,substitution,out,[],203107,,,1610612746,24,40,2021-11-20T01:48:48Z,2120000,,,0,,SUB out: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
215,PT06M44.00S,2021-11-20T01:48:39.6Z,2,REGULAR,substitution,out,[],202066,,,1610612746,24,40,2021-11-20T01:48:48Z,2130000,,,0,,SUB out: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
216,PT06M44.00S,2021-11-20T01:48:39.6Z,2,REGULAR,substitution,in,[],1630184,,,1610612746,24,40,2021-11-20T01:48:48Z,2140000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,
217,PT06M44.00S,2021-11-20T01:48:39.6Z,2,REGULAR,substitution,in,[],1629638,,,1610612746,24,40,2021-11-20T01:48:48Z,2150000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M35.00S,2021-11-20T01:49:03.3Z,2,REGULAR,3pt,Jump Shot,[],1628379,96.27135348226018,4.411764705882353,1610612746,24,40,2021-11-20T01:49:10Z,2160000,-228.0,-17.0,1,right,MISS L. Kennard 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,
219,PT06M31.00S,2021-11-20T01:49:06.3Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,24,40,2021-11-20T01:49:06Z,2170000,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,218.0,3.0,3.0,0.0,,,,,,,,,,,,,
220,PT06M27.00S,2021-11-20T01:49:10.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,5.601182654402102,45.09803921568628,1610612740,26,40,2021-11-20T01:49:15Z,2180000,25.0,0.0,1,left,J. Hart driving Layup (4 PTS),[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,2.45,Made,4.0,,,,,,,,,,,,,,,,,
221,PT06M14.00S,2021-11-20T01:49:23.8Z,2,REGULAR,3pt,Jump Shot,[],1628379,91.80354796320631,5.637254901960785,1610612746,26,43,2021-11-20T01:49:30Z,2190000,-222.0,25.0,1,right,L. Kennard 3PT  (6 PTS) (I. Zubac 1 AST),"[1628379, 1627826]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,22.31,Made,6.0,,,,,,,,I. Zubac,1627826.0,1.0,,,,,,,
223,PT06M03.00S,2021-11-20T01:49:38.3Z,2,REGULAR,turnover,traveling,[],202685,,,1610612740,26,43,2021-11-20T01:49:51Z,2210000,,,0,,J. Valanciunas traveling TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,1.0,,,,,,1148.0,,,,,,
224,PT06M03.00S,2021-11-20T01:49:44.1Z,2,REGULAR,substitution,out,[],1628404,,,1610612746,26,43,2021-11-20T01:49:48Z,2220000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M03.00S,2021-11-20T01:49:44.1Z,2,REGULAR,substitution,in,[],1630529,,,1610612746,26,43,2021-11-20T01:49:48Z,2230000,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
226,PT05M48.00S,2021-11-20T01:50:08.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202331,66.70499342969777,48.03921568627451,1610612746,26,43,2021-11-20T01:50:15Z,2240000,-10.0,260.0,1,right,MISS P. George 26' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,
227,PT05M45.00S,2021-11-20T01:50:11.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612740,26,43,2021-11-20T01:50:15Z,2250000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,226.0,,,,,,,,,,,,,,,,
228,PT05M45.00S,2021-11-20T01:50:14.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,26,43,2021-11-20T01:50:14Z,2260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT05M36.00S,2021-11-20T01:50:26.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630184,6.1268068331143235,52.94117647058824,1610612740,28,43,2021-11-20T01:50:32Z,2270000,-15.0,5.0,1,left,K. Lewis Jr. driving reverse Layup (2 PTS) (H. Jones 1 AST),"[1630184, 1630529]",1610612740.0,NOP,driving reverse,,,Lewis Jr.,K. Lewis Jr.,,,,,1.56,Made,2.0,,,,,,,,H. Jones,1630529.0,1.0,,,,,,,
230,PT05M26.00S,2021-11-20T01:50:36.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201587,93.24901445466492,50.49019607843137,1610612746,28,45,2021-11-20T01:50:42Z,2280000,2.0,11.0,1,right,N. Batum DUNK (6 PTS) (I. Zubac 2 AST),"[201587, 1627826]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,1.13,Made,6.0,,,,,,,,I. Zubac,1627826.0,2.0,,,,,,,
232,PT05M12.00S,2021-11-20T01:50:50.5Z,2,REGULAR,2pt,Jump Shot,[],1630184,8.623521681997373,25.49019607843137,1610612740,30,45,2021-11-20T01:50:58Z,2300000,123.0,29.0,1,left,K. Lewis Jr. 12' pullup Jump Shot (4 PTS),[1630184],1610612740.0,NOP,pullup,,,Lewis Jr.,K. Lewis Jr.,,,,,12.58,Made,4.0,,,,,,,,,,,,,,,,,
233,PT04M52.00S,2021-11-20T01:51:11.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202331,94.03745072273325,52.94117647058824,1610612746,30,45,2021-11-20T01:51:16Z,2310000,15.0,4.0,1,right,MISS P. George Layup,[202331],1610612746.0,LAC,,,,George,P. George,,,,,1.51,Missed,,,,,,,,,,,,,,,,,,
234,PT04M50.00S,2021-11-20T01:51:13.2Z,2,REGULAR,rebound,defensive,[],1630184,,,1610612740,30,45,2021-11-20T01:51:16Z,2320000,,,0,,K. Lewis Jr. REBOUND (Off:1 Def:2),[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,233.0,3.0,2.0,1.0,,,,,,,,,,,,,
235,PT04M43.00S,2021-11-20T01:51:20.9Z,2,REGULAR,2pt,Jump Shot,[],1627742,21.369908015768726,37.745098039215684,1610612740,30,45,2021-11-20T01:51:30Z,2330000,61.0,148.0,1,left,MISS B. Ingram 16' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,16.06,Missed,,,,,,,,,,,,,,,,,,
236,PT04M40.00S,2021-11-20T01:51:23.9Z,2,REGULAR,rebound,defensive,[],1627826,,,1610612746,30,45,2021-11-20T01:51:30Z,2340000,,,0,,I. Zubac REBOUND (Off:0 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,235.0,4.0,4.0,0.0,,,,,,,,,,,,,
237,PT04M34.00S,2021-11-20T01:51:29.3Z,2,REGULAR,3pt,Jump Shot,[],202331,69.07030223390277,65.68627450980392,1610612746,30,45,2021-11-20T01:51:34Z,2350000,78.0,238.0,1,right,MISS P. George 25' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,
238,PT04M31.00S,2021-11-20T01:51:32.3Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612740,30,45,2021-11-20T01:51:34Z,2360000,,,0,,B. Ingram REBOUND (Off:0 Def:5),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,237.0,5.0,5.0,0.0,,,,,,,,,,,,,
239,PT04M24.00S,2021-11-20T01:51:39.1Z,2,REGULAR,3pt,Jump Shot,[],202685,31.35676741130092,50.245098039215684,1610612740,33,45,2021-11-20T01:51:44Z,2370000,-1.0,242.0,1,left,J. Valanciunas 24' 3PT  (11 PTS) (B. Ingram 3 AST),"[202685, 1627742]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,24.23,Made,11.0,,,,,,,,B. Ingram,1627742.0,3.0,,,,,,,
241,PT04M03.00S,2021-11-20T01:51:59.8Z,2,REGULAR,turnover,lost ball,[],202339,,,1610612746,33,45,2021-11-20T01:52:04Z,2390000,,,0,,E. Bledsoe lost ball TURNOVER (1 TO),"[202339, 202685]",1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,1.0,Valanciunas,202685.0,,,,,,,,,,
242,PT04M03.00S,2021-11-20T01:51:59.8Z,2,REGULAR,steal,,[],202685,,,1610612740,33,45,2021-11-20T01:52:02Z,2400000,,,0,,J. Valanciunas STEAL (1 STL),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
243,PT03M51.00S,2021-11-20T01:52:12.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202685,5.732588699080158,44.6078431372549,1610612740,33,45,2021-11-20T01:52:16Z,2410000,27.0,1.0,1,left,MISS J. Valanciunas driving Layup,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,2.7,Missed,,,,,,,,,,,,,,,,,,
244,PT03M49.00S,2021-11-20T01:52:14.0Z,2,REGULAR,rebound,defensive,[],202331,,,1610612746,33,45,2021-11-20T01:52:16Z,2420000,,,0,,P. George REBOUND (Off:0 Def:5),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,243.0,5.0,5.0,0.0,,,,,,,,,,,,,
245,PT03M29.00S,2021-11-20T01:52:33.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,88.25558475689881,49.26470588235294,1610612746,33,45,2021-11-20T01:52:40Z,2430000,-4.0,58.0,1,right,MISS L. Kennard Jump Shot,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,5.8,Missed,,,,,,,,,,,,,,,,,,
246,PT03M25.00S,2021-11-20T01:52:37.7Z,2,REGULAR,rebound,offensive,[],1627826,,,1610612746,33,45,2021-11-20T01:52:40Z,2440000,,,0,,I. Zubac REBOUND (Off:1 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,245.0,5.0,4.0,1.0,,,,,,,,,,,,,
247,PT03M25.00S,2021-11-20T01:52:38.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,94.40999984741211,50.0,1610612746,33,45,2021-11-20T01:52:38Z,2450000,0.0,0.0,1,right,MISS I. Zubac tip Layup,[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
248,PT03M23.00S,2021-11-20T01:52:39.3Z,2,REGULAR,rebound,defensive,[],1630529,,,1610612740,33,45,2021-11-20T01:52:39Z,2460000,,,0,,H. Jones REBOUND (Off:1 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,247.0,2.0,1.0,1.0,,,,,,,,,,,,,
249,PT03M21.00S,2021-11-20T01:52:42.1Z,2,REGULAR,3pt,Jump Shot,[],1630184,32.14520367936925,39.21568627450981,1610612740,36,45,2021-11-20T01:52:49Z,2470000,54.0,250.0,1,left,K. Lewis Jr. 25' 3PT pullup (7 PTS),[1630184],1610612740.0,NOP,pullup,,,Lewis Jr.,K. Lewis Jr.,,,,,25.55,Made,7.0,,,,,,,,,,,,,,,,,
250,PT03M02.00S,2021-11-20T01:53:01.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202339,93.9060446780552,53.431372549019606,1610612746,36,45,2021-11-20T01:53:06Z,2480000,17.0,5.0,1,right,MISS E. Bledsoe driving Layup,[202339],1610612746.0,LAC,driving,,,Bledsoe,E. Bledsoe,,,,,1.79,Missed,,,,,,,,,,,,,,,,,,
251,PT03M00.00S,2021-11-20T01:53:03.1Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,36,45,2021-11-20T01:53:06Z,2490000,,,0,,J. Valanciunas REBOUND (Off:2 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,250.0,6.0,4.0,2.0,,,,,,,,,,,,,
252,PT02M56.00S,2021-11-20T01:53:10.0Z,2,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612740,36,45,2021-11-20T01:53:20Z,2500000,,,0,,I. Zubac shooting personal FOUL (1 PF) (Ingram 2 FT),"[1627826, 1627742]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Ingram,1627742.0,,
254,PT02M56.00S,2021-11-20T01:53:38.5Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1627742,,,1610612740,36,45,2021-11-20T01:53:38Z,2520000,,,0,,MISS B. Ingram Free Throw 1 of 2,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Missed,,,,,,,,,,,,,,,,,,
255,PT02M56.00S,2021-11-20T01:53:38.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,36,45,2021-11-20T01:53:38Z,2530000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,254.0,,,,,,,,,,,,,,,,
256,PT02M56.00S,2021-11-20T01:53:39.9Z,2,REGULAR,substitution,out,[],202685,,,1610612740,36,45,2021-11-20T01:53:46Z,2540000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
257,PT02M56.00S,2021-11-20T01:53:39.9Z,2,REGULAR,substitution,out,[],1628379,,,1610612740,36,45,2021-11-20T01:53:46Z,2550000,,,0,,SUB out: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,
258,PT02M56.00S,2021-11-20T01:53:39.9Z,2,REGULAR,substitution,in,[],1629637,,,1610612740,36,45,2021-11-20T01:53:46Z,2560000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
259,PT02M56.00S,2021-11-20T01:53:39.9Z,2,REGULAR,substitution,in,[],202704,,,1610612740,36,45,2021-11-20T01:53:46Z,2570000,,,0,,SUB in: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
260,PT02M56.00S,2021-11-20T01:53:58.3Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1627742,,,1610612740,37,45,2021-11-20T01:53:58Z,2580000,,,0,,B. Ingram Free Throw 2 of 2 (5 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
261,PT02M44.00S,2021-11-20T01:54:12.7Z,2,REGULAR,3pt,Jump Shot,[],202331,67.62483574244416,50.245098039215684,1610612746,37,48,2021-11-20T01:54:22Z,2590000,1.0,252.0,1,right,P. George 25' 3PT  (9 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,25.18,Made,9.0,,,,,,,,,,,,,,,,,
262,PT02M21.00S,2021-11-20T01:54:36.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630184,13.61695137976347,50.49019607843137,1610612740,39,48,2021-11-20T01:54:53Z,2600000,-2.0,75.0,1,left,K. Lewis Jr. 7' driving floating bank Jump Shot (9 PTS),[1630184],1610612740.0,NOP,driving floating bank,,,Lewis Jr.,K. Lewis Jr.,,,,,7.55,Made,9.0,,,,,,,,,,,,,,,,,
