actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
86,PT04M56.00S,2022-02-18T01:23:08.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,16,24,2022-02-18T01:23:10Z,850000,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,85.0,3.0,3.0,0.0,,,,,,,,,
87,PT04M48.00S,2022-02-18T01:23:34.3Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612742,16,24,2022-02-18T01:23:42Z,860000,,,0,,J. Valanciunas shooting personal FOUL (2 PF) (Powell 2 FT),"[202685, 203939]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,1627534.0,2.0,0.0,Powell,203939.0,,,,,,,,,,,,,,,,
89,PT04M48.00S,2022-02-18T01:23:56.9Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,16,24,2022-02-18T01:23:56Z,880000,,,0,,MISS D. Powell Free Throw 1 of 2,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,Missed,,,,,,,,,,,,,
90,PT04M48.00S,2022-02-18T01:23:56.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,16,24,2022-02-18T01:23:56Z,890000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,
91,PT04M48.00S,2022-02-18T01:23:58.2Z,1,REGULAR,substitution,out,[],203468,,,1610612742,16,24,2022-02-18T01:24:09Z,900000,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M48.00S,2022-02-18T01:23:58.2Z,1,REGULAR,substitution,out,[],202685,,,1610612742,16,24,2022-02-18T01:24:09Z,910000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M48.00S,2022-02-18T01:23:58.2Z,1,REGULAR,substitution,in,[],1628984,,,1610612742,16,24,2022-02-18T01:24:09Z,920000,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M48.00S,2022-02-18T01:23:58.2Z,1,REGULAR,substitution,in,[],1629637,,,1610612742,16,24,2022-02-18T01:24:09Z,930000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M48.00S,2022-02-18T01:24:22.1Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,16,25,2022-02-18T01:24:22Z,940000,,,0,,D. Powell Free Throw 2 of 2 (4 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,Made,,,,,4.0,,,,,,,,
96,PT04M34.00S,2022-02-18T01:24:41.5Z,1,REGULAR,foul,personal,[],1628973,,,1610612740,16,25,2022-02-18T01:24:47Z,950000,,,0,,J. Brunson personal FOUL (1 PF),"[1628973, 1629637]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,1193.0,1.0,0.0,Hayes,1629637.0,,,,,,,,,,,,,,,,
98,PT04M34.00S,2022-02-18T01:24:47.6Z,1,REGULAR,substitution,out,[],203939,,,1610612740,16,25,2022-02-18T01:24:51Z,970000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M34.00S,2022-02-18T01:24:47.6Z,1,REGULAR,substitution,in,[],1628467,,,1610612740,16,25,2022-02-18T01:24:51Z,980000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M21.00S,2022-02-18T01:25:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,93.77463863337714,52.69607843137255,1610612740,18,25,2022-02-18T01:25:35Z,990000,13.0,6.0,1,right,J. Hayes Layup (4 PTS) (B. Ingram 2 AST),"[1629637, 1627742]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,1.48,Made,,,,,4.0,,,,,B. Ingram,1627742.0,2.0,
102,PT04M21.00S,2022-02-18T01:25:13.3Z,1,REGULAR,foul,personal,['1freethrow'],1627827,,,1610612740,18,25,2022-02-18T01:25:21Z,1010000,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Hayes 1 FT),"[1627827, 1629637]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,2003.0,1.0,0.0,Hayes,1629637.0,,,,,,,,,,,,,,,,
104,PT04M21.00S,2022-02-18T01:25:31.3Z,1,REGULAR,freethrow,1 of 1,[],1629637,,,1610612740,19,25,2022-02-18T01:25:31Z,1030000,,,0,,J. Hayes Free Throw 1 of 1 (5 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,Made,,,,,5.0,,,,,,,,
105,PT04M10.00S,2022-02-18T01:25:49.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,19,25,2022-02-18T01:25:49Z,1040000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT04M10.00S,2022-02-18T01:26:03.7Z,1,REGULAR,substitution,out,[],1628973,,,1610612742,19,25,2022-02-18T01:30:08Z,1045000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT04M10.00S,2022-02-18T01:26:03.7Z,1,REGULAR,substitution,in,[],202722,,,1610612742,19,25,2022-02-18T01:30:08Z,1047500,,,0,,SUB in: D. Bertans,[202722],1610612742.0,DAL,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M59.00S,2022-02-18T01:26:17.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,17.16491458607096,4.411764705882353,1610612742,19,25,2022-02-18T01:27:06Z,1050000,228.0,109.0,1,left,MISS L. Doncic 25' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,25.26,Missed,,,,,,,,,,,,,
107,PT03M56.00S,2022-02-18T01:26:21.5Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,19,25,2022-02-18T01:26:21Z,1060000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,106.0,1.0,1.0,0.0,,,,,,,,,
108,PT03M56.00S,2022-02-18T01:26:24.3Z,1,REGULAR,turnover,out-of-bounds,[],202066,,,1610612740,19,25,2022-02-18T01:27:19Z,1070000,,,0,,G. Temple lost ball out-of-bounds TURNOVER (1 TO),[202066],1610612740.0,NOP,lost ball,,,Temple,G. Temple,,,,,2003.0,,,,,1.0,,,,,,,,,,,,,,,
109,PT03M41.00S,2022-02-18T01:26:49.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,19.136005256241788,93.87254901960785,1610612742,19,28,2022-02-18T01:28:33Z,1080000,-219.0,127.0,1,left,L. Doncic 25' 3PT step back (11 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,,,,,,25.37,Made,,,,,11.0,,,,,,,,
110,PT03M24.00S,2022-02-18T01:27:05.9Z,1,REGULAR,2pt,Jump Shot,[],1627742,77.7431011826544,47.794117647058826,1610612740,19,28,2022-02-18T01:28:51Z,1090000,-11.0,157.0,1,right,MISS B. Ingram 15' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,,,,,15.71,Missed,,,,,,,,,,,,,
111,PT03M24.00S,2022-02-18T01:27:05.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,19,28,2022-02-18T01:27:25Z,1100000,,,0,,L. Doncic REBOUND (Off:0 Def:4),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,110.0,4.0,4.0,0.0,,,,,,,,,
112,PT03M11.00S,2022-02-18T01:27:18.2Z,1,REGULAR,3pt,Jump Shot,[],202722,20.97568988173456,8.088235294117647,1610612742,19,28,2022-02-18T01:28:18Z,1110000,210.0,145.0,1,left,MISS D. Bertans 25' 3PT,[202722],1610612742.0,DAL,,,,Bertans,D. Bertans,,,,,,,,,,,25.47,Missed,,,,,,,,,,,,,
113,PT03M02.00S,2022-02-18T01:27:27.2Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,19,28,2022-02-18T01:27:30Z,1120000,,,0,,J. Hayes REBOUND (Off:2 Def:2),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,112.0,4.0,2.0,2.0,,,,,,,,,
114,PT02M55.00S,2022-02-18T01:27:35.5Z,1,REGULAR,2pt,Jump Shot,[],1627742,81.15965834428384,73.2843137254902,1610612740,19,28,2022-02-18T01:30:59Z,1130000,116.0,125.0,1,right,MISS B. Ingram 17' step back Shot,[1627742],1610612740.0,NOP,step back,,,Ingram,B. Ingram,,,,,,,,,,,17.05,Missed,,,,,,,,,,,,,
115,PT02M46.00S,2022-02-18T01:27:44.5Z,1,REGULAR,rebound,defensive,[],202722,,,1610612742,19,28,2022-02-18T02:39:05Z,1140000,,,0,,D. Bertans REBOUND (Off:0 Def:1),[202722],1610612742.0,DAL,,,,Bertans,D. Bertans,,,,,,,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,,
118,PT02M39.00S,2022-02-18T01:27:57.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629637,,,1610612742,19,28,2022-02-18T01:31:10Z,1170000,,,0,,J. Hayes shooting personal FOUL (2 PF) (Doncic 2 FT),"[1629637, 1629029]",1610612740.0,NOP,shooting,,,Hayes,J. Hayes,,,,,1627534.0,2.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,,
120,PT02M39.00S,2022-02-18T01:28:06.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,19,28,2022-02-18T01:28:06Z,1190000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M39.00S,2022-02-18T01:30:26.6Z,1,REGULAR,substitution,out,[],1630529,,,1610612742,19,28,2022-02-18T01:30:45Z,1200000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M39.00S,2022-02-18T01:30:26.6Z,1,REGULAR,substitution,in,[],203503,,,1610612742,19,28,2022-02-18T01:30:45Z,1210000,,,0,,SUB in: T. Snell,[203503],1610612740.0,NOP,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M39.00S,2022-02-18T01:31:10.7Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,19,29,2022-02-18T01:31:10Z,1220000,,,0,,L. Doncic Free Throw 1 of 2 (12 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,Made,,,,,12.0,,,,,,,,
126,PT02M39.00S,2022-02-18T01:31:26.6Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,19,30,2022-02-18T01:31:26Z,1230000,,,0,,L. Doncic Free Throw 2 of 2 (13 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,Made,,,,,13.0,,,,,,,,
127,PT02M34.00S,2022-02-18T01:31:38.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629637,93.77463863337714,50.73529411764706,1610612740,21,30,2022-02-18T01:33:46Z,1240000,4.0,6.0,1,right,J. Hayes cutting Layup (7 PTS) (B. Ingram 3 AST),"[1629637, 1627742]",1610612740.0,NOP,cutting,,,Hayes,J. Hayes,,,,,,,,,,,0.7,Made,,,,,7.0,,,,,B. Ingram,1627742.0,3.0,
129,PT02M34.00S,2022-02-18T01:31:43.8Z,1,REGULAR,foul,personal,['1freethrow'],1627827,,,1610612740,21,30,2022-02-18T01:32:19Z,1260000,,,0,,D. Finney-Smith shooting personal FOUL (2 PF) (Hayes 1 FT),"[1627827, 1629637]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,2003.0,2.0,0.0,Hayes,1629637.0,,,,,,,,,,,,,,,,
131,PT02M34.00S,2022-02-18T01:31:52.0Z,1,REGULAR,substitution,out,[],1627742,,,1610612740,21,30,2022-02-18T01:32:09Z,1280000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M34.00S,2022-02-18T01:31:52.0Z,1,REGULAR,substitution,in,[],203468,,,1610612740,21,30,2022-02-18T01:32:09Z,1290000,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M34.00S,2022-02-18T01:32:20.4Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1629637,,,1610612740,22,30,2022-02-18T01:32:20Z,1300000,,,0,,J. Hayes Free Throw 1 of 1 (8 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,Made,,,,,8.0,,,,,,,,
134,PT02M14.00S,2022-02-18T01:32:40.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,20.844283837056505,90.44117647058823,1610612742,22,33,2022-02-18T01:32:55Z,1310000,-202.0,143.0,1,left,L. Doncic 24' 3PT step back (16 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,,,,,,24.79,Made,,,,,16.0,,,,,,,,
135,PT01M57.00S,2022-02-18T01:32:57.8Z,1,REGULAR,turnover,bad pass,[],203503,,,1610612740,22,33,2022-02-18T01:33:02Z,1320000,,,0,,T. Snell bad pass TURNOVER (1 TO),"[203503, 203915]",1610612740.0,NOP,,,,Snell,T. Snell,,,,,,,,,,1.0,,,,,,,,,,Dinwiddie,203915.0,,,,
136,PT01M57.00S,2022-02-18T01:32:57.8Z,1,REGULAR,steal,,[],203915,,,1610612742,22,33,2022-02-18T01:33:00Z,1330000,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M46.00S,2022-02-18T01:33:08.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628467,25.18068331143233,84.55882352941177,1610612742,22,36,2022-02-18T01:33:13Z,1340000,-173.0,184.0,1,left,M. Kleber 25' 3PT  (3 PTS) (L. Doncic 2 AST),"[1628467, 1629029]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,25.26,Made,,,,,3.0,,,,,L. Doncic,1629029.0,2.0,
139,PT01M31.00S,2022-02-18T01:33:22.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,94.1688567674113,47.05882352941176,1610612740,24,36,2022-02-18T01:33:56Z,1360000,-15.0,2.0,1,right,C. McCollum driving Layup (2 PTS),[203468],1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,,,,,,,1.49,Made,,,,,2.0,,,,,,,,
140,PT01M17.00S,2022-02-18T01:33:37.0Z,1,REGULAR,3pt,Jump Shot,[],1627827,6.258212877792378,4.166666666666666,1610612742,24,39,2022-02-18T01:33:41Z,1370000,229.0,6.0,1,left,D. Finney-Smith 3PT  (6 PTS) (L. Doncic 3 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,22.93,Made,,,,,6.0,,,,,L. Doncic,1629029.0,3.0,
142,PT01M06.00S,2022-02-18T01:33:48.3Z,1,REGULAR,3pt,Jump Shot,[],203468,90.62089356110381,4.166666666666666,1610612740,27,39,2022-02-18T01:34:21Z,1390000,-229.0,36.0,1,right,C. McCollum 3PT step back (5 PTS),[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,,,,,,,23.2,Made,,,,,5.0,,,,,,,,
143,PT00M54.10S,2022-02-18T01:34:02.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628467,5.732588699080158,49.50980392156863,1610612742,27,41,2022-02-18T01:34:07Z,1400000,2.0,1.0,1,left,M. Kleber alley-oop DUNK (5 PTS) (L. Doncic 4 AST),"[1628467, 1629029]",1610612742.0,DAL,alley-oop,,,Kleber,M. Kleber,,,,,,,,,,,0.29,Made,,,,,5.0,,,,,L. Doncic,1629029.0,4.0,
145,PT00M43.00S,2022-02-18T01:34:15.6Z,1,REGULAR,3pt,Jump Shot,[],203503,94.03745072273325,4.166666666666666,1610612740,27,41,2022-02-18T01:34:20Z,1420000,-229.0,4.0,1,right,MISS T. Snell 3PT,[203503],1610612740.0,NOP,,,,Snell,T. Snell,,,,,,,,,,,22.92,Missed,,,,,,,,,,,,,
146,PT00M39.10S,2022-02-18T01:34:19.5Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,27,41,2022-02-18T01:34:20Z,1430000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,145.0,1.0,1.0,0.0,,,,,,,,,
147,PT00M32.60S,2022-02-18T01:34:33.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629637,,,1610612742,27,41,2022-02-18T01:34:40Z,1440000,,,0,,J. Hayes shooting personal FOUL (3 PF) (Dinwiddie 2 FT),"[1629637, 203915]",1610612740.0,NOP,shooting,,,Hayes,J. Hayes,,,,,1193.0,3.0,0.0,Dinwiddie,203915.0,,,,,,,,,,,,,,,,
149,PT00M32.60S,2022-02-18T01:34:59.5Z,1,REGULAR,freethrow,1 of 2,[],203915,,,1610612742,27,41,2022-02-18T01:34:59Z,1460000,,,0,,MISS S. Dinwiddie Free Throw 1 of 2,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,Missed,,,,,,,,,,,,,
150,PT00M32.60S,2022-02-18T01:34:59.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,27,41,2022-02-18T01:34:59Z,1470000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,149.0,,,,,,,,,,,,
151,PT00M32.60S,2022-02-18T01:35:00.4Z,1,REGULAR,substitution,out,[],1629637,,,1610612742,27,41,2022-02-18T01:35:04Z,1480000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M32.60S,2022-02-18T01:35:00.4Z,1,REGULAR,substitution,out,[],1627827,,,1610612742,27,41,2022-02-18T01:35:04Z,1490000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M32.60S,2022-02-18T01:35:00.4Z,1,REGULAR,substitution,in,[],1629109,,,1610612742,27,41,2022-02-18T01:35:04Z,1500000,,,0,,SUB in: G. Clark,[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M32.60S,2022-02-18T01:35:00.4Z,1,REGULAR,substitution,in,[],1628425,,,1610612742,27,41,2022-02-18T01:35:04Z,1510000,,,0,,SUB in: S. Brown,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M32.60S,2022-02-18T01:35:25.3Z,1,REGULAR,freethrow,2 of 2,[],203915,,,1610612742,27,42,2022-02-18T01:35:25Z,1520000,,,0,,S. Dinwiddie Free Throw 2 of 2 (1 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,
156,PT00M14.00S,2022-02-18T01:35:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,79.84559789750328,44.6078431372549,1610612740,27,42,2022-02-18T01:35:51Z,1530000,-27.0,137.0,1,right,MISS C. McCollum 13' pullup Shot,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,,,,,,,13.96,Missed,,,,,,,,,,,,,
157,PT00M10.80S,2022-02-18T01:35:48.2Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,27,42,2022-02-18T01:35:48Z,1540000,,,0,,L. Doncic REBOUND (Off:0 Def:5),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,156.0,5.0,5.0,0.0,,,,,,,,,
158,PT00M00.80S,2022-02-18T01:35:58.2Z,1,REGULAR,3pt,Jump Shot,[],1629029,32.53942181340342,72.79411764705883,1610612742,27,45,2022-02-18T01:36:20Z,1550000,-114.0,253.0,1,left,L. Doncic 27' 3PT step back (19 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,,,,,,27.79,Made,,,,,19.0,,,,,,,,
159,PT00M00.00S,2022-02-18T01:36:22.3Z,1,REGULAR,instantreplay,request,[],0,,,1610612740,27,45,2022-02-18T01:36:44Z,1560000,,,0,,,[],,,stands,,,,,,,,,2003.0,,,,,,,,,,,,,,,,,,,,End Period - Good Basket
160,PT00M00.00S,2022-02-18T01:36:48.8Z,1,REGULAR,period,end,[],0,,,1610612740,27,45,2022-02-18T01:36:48Z,1570000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-02-18T01:38:26.4Z,2,REGULAR,substitution,out,['startperiod'],1629109,,,1610612740,27,45,2022-02-18T01:38:44Z,1580000,,,0,,SUB out: G. Clark,[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-02-18T01:38:26.4Z,2,REGULAR,substitution,out,['startperiod'],1629029,,,1610612740,27,45,2022-02-18T01:38:44Z,1590000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-02-18T01:38:26.4Z,2,REGULAR,substitution,in,['startperiod'],202685,,,1610612740,27,45,2022-02-18T01:38:44Z,1600000,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-02-18T01:38:26.4Z,2,REGULAR,substitution,in,['startperiod'],1628973,,,1610612740,27,45,2022-02-18T01:38:44Z,1610000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-02-18T01:38:48.4Z,2,REGULAR,period,start,[],0,,,1610612742,27,45,2022-02-18T01:38:48Z,1620000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M47.00S,2022-02-18T01:39:00.6Z,2,REGULAR,3pt,Jump Shot,[],202722,31.61957950065703,20.34313725490196,1610612742,27,48,2022-02-18T01:39:06Z,1630000,148.0,245.0,1,left,D. Bertans 28' 3PT  (3 PTS) (J. Brunson 2 AST),"[202722, 1628973]",1610612742.0,DAL,,,,Bertans,D. Bertans,,,,,,,,,,,28.61,Made,,,,,3.0,,,,,J. Brunson,1628973.0,2.0,
168,PT11M20.00S,2022-02-18T01:39:27.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.59198423127464,56.127450980392155,1610612740,27,48,2022-02-18T01:39:33Z,1650000,31.0,17.0,1,right,MISS J. Valanciunas Layup - blocked,"[202685, 1628467]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,3.51,Missed,,,,,,Kleber,1628467.0,,,,,,
169,PT11M20.00S,2022-02-18T01:39:27.2Z,2,REGULAR,block,,[],1628467,,,1610612740,27,48,2022-02-18T01:39:30Z,1660000,,,0,,M. Kleber BLOCK (1 BLK),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M16.00S,2022-02-18T01:39:31.2Z,2,REGULAR,rebound,defensive,[],1628425,,,1610612742,27,48,2022-02-18T01:39:33Z,1670000,,,0,,S. Brown REBOUND (Off:0 Def:1),[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,168.0,1.0,1.0,0.0,,,,,,,,,
171,PT11M14.00S,2022-02-18T01:39:33.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202722,25.969119579500656,82.59803921568627,1610612742,27,48,2022-02-18T01:39:40Z,1680000,-163.0,192.0,1,left,MISS D. Bertans 25' 3PT,[202722],1610612742.0,DAL,,,,Bertans,D. Bertans,,,,,,,,,,,25.16,Missed,,,,,,,,,,,,,
172,PT11M10.00S,2022-02-18T01:39:37.6Z,2,REGULAR,rebound,defensive,[],203503,,,1610612740,27,48,2022-02-18T01:39:40Z,1690000,,,0,,T. Snell REBOUND (Off:0 Def:1),[203503],1610612740.0,NOP,,,,Snell,T. Snell,,,,,,,,,,,,,171.0,1.0,1.0,0.0,,,,,,,,,
173,PT11M06.00S,2022-02-18T01:39:41.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202066,95.0886990801577,96.32352941176471,1610612740,27,48,2022-02-18T01:39:46Z,1700000,232.0,-6.0,1,right,MISS G. Temple 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,23.17,Missed,,,,,,,,,,,,,
174,PT11M02.00S,2022-02-18T01:39:45.1Z,2,REGULAR,rebound,defensive,[],1628467,,,1610612742,27,48,2022-02-18T01:39:46Z,1710000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,173.0,1.0,1.0,0.0,,,,,,,,,
175,PT10M47.00S,2022-02-18T01:40:00.1Z,2,REGULAR,3pt,Jump Shot,[],1628467,25.443495400788436,83.57843137254902,1610612742,27,48,2022-02-18T01:40:04Z,1720000,-168.0,187.0,1,left,MISS M. Kleber 25' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,25.11,Missed,,,,,,,,,,,,,
176,PT10M44.00S,2022-02-18T01:40:03.1Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,27,48,2022-02-18T01:40:04Z,1730000,,,0,,J. Valanciunas REBOUND (Off:2 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,175.0,5.0,3.0,2.0,,,,,,,,,
