actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
88,PT04M17.00S,2022-02-15T01:23:14.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,22,11,2022-02-15T01:23:14Z,880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M09.00S,2022-02-15T01:23:28.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,15.982260183968464,47.549019607843135,1610612761,22,13,2022-02-15T01:42:49Z,890000,12.0,98.0,1,left,F. VanVleet 9' pullup Jump Shot (5 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,9.85,Made,,,,,5.0,,,,,,,,,,,,,
90,PT03M53.00S,2022-02-15T01:23:47.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,22,13,2022-02-15T01:23:47Z,900000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M53.00S,2022-02-15T01:23:49.5Z,1,REGULAR,substitution,out,[],203468,,,1610612740,22,13,2022-02-15T01:23:56Z,910000,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M53.00S,2022-02-15T01:23:49.5Z,1,REGULAR,substitution,out,[],202685,,,1610612740,22,13,2022-02-15T01:23:56Z,920000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M53.00S,2022-02-15T01:23:49.5Z,1,REGULAR,substitution,in,[],1628984,,,1610612740,22,13,2022-02-15T01:23:56Z,930000,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M53.00S,2022-02-15T01:23:49.5Z,1,REGULAR,substitution,in,[],1629109,,,1610612740,22,13,2022-02-15T01:23:56Z,940000,,,0,,SUB in: G. Clark,[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M43.00S,2022-02-15T01:24:18.8Z,1,REGULAR,3pt,Jump Shot,[],1628984,65.52233902759527,44.11764705882353,1610612740,22,13,2022-02-15T01:24:27Z,950000,-29.0,272.0,1,right,MISS D. Graham 27' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,27.32,Missed,,,,,,,,,,,,,,,,,,
96,PT03M39.00S,2022-02-15T01:24:22.8Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,22,13,2022-02-15T01:24:27Z,960000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,
97,PT03M21.00S,2022-02-15T01:24:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,13.354139290407357,39.705882352941174,1610612761,22,13,2022-02-15T01:24:45Z,970000,51.0,73.0,1,left,MISS P. Siakam 8' floating Shot - blocked,"[1627783, 1629637]",1610612761.0,TOR,floating,,,Siakam,P. Siakam,,,,,8.93,Missed,,,,,,Hayes,1629637.0,,,,,,,,,,,
98,PT03M21.00S,2022-02-15T01:24:40.1Z,1,REGULAR,block,,[],1629637,,,1610612761,22,13,2022-02-15T01:24:42Z,980000,,,0,,J. Hayes BLOCK (1 BLK),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M18.00S,2022-02-15T01:24:43.1Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,22,13,2022-02-15T01:24:45Z,990000,,,0,,K. Birch REBOUND (Off:2 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,97.0,2.0,0.0,2.0,,,,,,,,,,,,,,
100,PT03M17.00S,2022-02-15T01:24:44.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203920,7.703679369250986,45.83333333333333,1610612761,22,15,2022-02-15T01:24:49Z,1000000,21.0,20.0,1,left,K. Birch turnaround Jump Shot (4 PTS),[203920],1610612761.0,TOR,turnaround,,,Birch,K. Birch,,,,,2.88,Made,,,,,4.0,,,,,,,,,,,,,
102,PT02M52.00S,2022-02-15T01:25:09.5Z,1,REGULAR,2pt,Jump Shot,[],1629109,91.93495400788436,77.94117647058823,1610612740,22,15,2022-02-15T01:45:04Z,1010000,140.0,23.0,1,right,MISS G. Clark 14' fadeaway Shot,[1629109],1610612740.0,NOP,fadeaway,,,Clark,G. Clark,,,,,14.16,Missed,,,,,,,,,,,,,,,,,,
103,PT02M49.00S,2022-02-15T01:25:12.5Z,1,REGULAR,rebound,defensive,[],203920,,,1610612761,22,15,2022-02-15T01:45:04Z,1020000,,,0,,K. Birch REBOUND (Off:2 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,102.0,3.0,1.0,2.0,,,,,,,,,,,,,,
104,PT02M44.00S,2022-02-15T01:25:17.5Z,1,REGULAR,2pt,Jump Shot,[],1627832,20.844283837056505,74.75490196078431,1610612761,22,17,2022-02-15T01:25:25Z,1030000,-124.0,143.0,1,left,F. VanVleet 18' pullup Jump Shot (7 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,18.94,Made,,,,,7.0,,,,,,,,,,,,,
105,PT02M35.00S,2022-02-15T01:25:32.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,22,17,2022-02-15T01:25:32Z,1040000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M35.00S,2022-02-15T01:26:27.2Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,22,17,2022-02-15T01:28:06Z,1050000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M35.00S,2022-02-15T01:26:27.2Z,1,REGULAR,substitution,out,[],1627742,,,1610612740,22,17,2022-02-15T01:28:06Z,1060000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M35.00S,2022-02-15T01:26:27.2Z,1,REGULAR,substitution,out,[],1627783,,,1610612740,22,17,2022-02-15T01:28:06Z,1070000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M35.00S,2022-02-15T01:26:27.2Z,1,REGULAR,substitution,in,[],203503,,,1610612740,22,17,2022-02-15T01:28:06Z,1080000,,,0,,SUB in: T. Snell,[203503],1610612740.0,NOP,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M35.00S,2022-02-15T01:26:27.2Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,22,17,2022-02-15T01:28:06Z,1090000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M35.00S,2022-02-15T01:26:27.2Z,1,REGULAR,substitution,in,[],1630173,,,1610612740,22,17,2022-02-15T01:28:06Z,1100000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M27.00S,2022-02-15T01:28:28.4Z,1,REGULAR,3pt,Jump Shot,[],1629109,91.14651773981603,96.81372549019608,1610612740,22,17,2022-02-15T01:28:35Z,1110000,234.0,31.0,1,right,MISS G. Clark 3PT,[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,23.61,Missed,,,,,,,,,,,,,,,,,,
113,PT02M24.00S,2022-02-15T01:28:31.4Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,22,17,2022-02-15T01:28:35Z,1120000,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,112.0,1.0,0.0,1.0,,,,,,,,,,,,,,
114,PT02M20.00S,2022-02-15T01:28:38.6Z,1,REGULAR,foul,offensive,[],203503,,,1610612740,22,17,2022-02-15T01:28:53Z,1130000,,,0,,T. Snell charge offensive FOUL (1 PF),"[203503, 1630173]",1610612740.0,NOP,charge,,,Snell,T. Snell,,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Achiuwa,1630173.0,,,
116,PT02M20.00S,2022-02-15T01:28:38.6Z,1,REGULAR,turnover,offensive foul,[],203503,,,1610612740,22,17,2022-02-15T01:28:38Z,1150000,,,0,,T. Snell offensive foul TURNOVER (1 TO),[203503],1610612740.0,NOP,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,2002.0,,,,,1.0,,
117,PT02M10.00S,2022-02-15T01:29:02.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629018,22.946780551905388,70.58823529411765,1610612761,22,17,2022-02-15T01:46:47Z,1160000,-103.0,163.0,1,left,MISS G. Trent Jr. 19' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,19.29,Missed,,,,,,,,,,,,,,,,,,
118,PT02M06.00S,2022-02-15T01:29:06.9Z,1,REGULAR,rebound,defensive,[],1629109,,,1610612740,22,17,2022-02-15T01:29:11Z,1170000,,,0,,G. Clark REBOUND (Off:0 Def:1),[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,,
119,PT01M45.00S,2022-02-15T01:29:30.1Z,1,REGULAR,foul,personal,['2freethrow'],1629018,,,1610612740,22,17,2022-02-15T01:29:41Z,1180000,,,0,,G. Trent Jr. shooting personal FOUL (1 PF) (Alvarado 2 FT),"[1629018, 1630631]",1610612761.0,TOR,shooting,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Alvarado,1630631.0,,,
121,PT01M45.00S,2022-02-15T01:29:56.9Z,1,REGULAR,freethrow,1 of 2,[],1630631,,,1610612740,23,17,2022-02-15T01:29:56Z,1200000,,,0,,J. Alvarado Free Throw 1 of 2 (1 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
122,PT01M45.00S,2022-02-15T01:30:10.0Z,1,REGULAR,freethrow,2 of 2,[],1630631,,,1610612740,24,17,2022-02-15T01:30:10Z,1210000,,,0,,J. Alvarado Free Throw 2 of 2 (2 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
123,PT01M34.00S,2022-02-15T01:30:25.2Z,1,REGULAR,3pt,Jump Shot,[],1627832,18.478975032851512,94.6078431372549,1610612761,24,17,2022-02-15T01:30:32Z,1220000,-223.0,121.0,1,left,MISS F. VanVleet 25' 3PT - blocked,"[1627832, 1630631]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,25.38,Missed,,,,,,Alvarado,1630631.0,,,,,,,,,,,
124,PT01M34.00S,2022-02-15T01:30:25.2Z,1,REGULAR,block,,[],1630631,,,1610612761,24,17,2022-02-15T01:30:29Z,1230000,,,0,,J. Alvarado BLOCK (1 BLK),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M29.00S,2022-02-15T01:30:30.2Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,24,17,2022-02-15T01:30:32Z,1240000,,,0,,J. Hayes REBOUND (Off:1 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,123.0,2.0,1.0,1.0,,,,,,,,,,,,,,
126,PT01M25.00S,2022-02-15T01:30:33.2Z,1,REGULAR,3pt,Jump Shot,[],203503,92.06636005256242,3.6764705882352944,1610612740,27,17,2022-02-15T01:30:54Z,1250000,-232.0,22.0,1,right,T. Snell 3PT  (3 PTS) (D. Graham 3 AST),"[203503, 1628984]",1610612740.0,NOP,,,,Snell,T. Snell,,,,,23.27,Made,,,,,3.0,,,D. Graham,1628984.0,3.0,,,,,,,,
128,PT01M09.00S,2022-02-15T01:30:52.2Z,1,REGULAR,foul,offensive,[],1630173,,,1610612761,27,17,2022-02-15T01:31:23Z,1270000,,,0,,P. Achiuwa offensive FOUL (1 PF),"[1630173, 1629637]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Hayes,1629637.0,,,
130,PT01M09.00S,2022-02-15T01:30:52.2Z,1,REGULAR,turnover,offensive foul,[],1630173,,,1610612761,27,17,2022-02-15T01:30:52Z,1290000,,,0,,P. Achiuwa offensive foul TURNOVER (1 TO),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,1628951.0,,,,,1.0,,
131,PT00M54.20S,2022-02-15T01:31:20.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628449,,,1610612740,27,17,2022-02-15T01:31:33Z,1300000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Alvarado 2 FT),"[1628449, 1630631]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Alvarado,1630631.0,,,
133,PT00M54.20S,2022-02-15T01:31:45.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630631,,,1610612740,28,17,2022-02-15T01:31:45Z,1320000,,,0,,J. Alvarado Free Throw 1 of 2 (3 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
134,PT00M54.20S,2022-02-15T01:31:59.1Z,1,REGULAR,substitution,out,[],1629637,,,1610612740,28,17,2022-02-15T01:32:04Z,1330000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M54.20S,2022-02-15T01:31:59.1Z,1,REGULAR,substitution,in,[],1626195,,,1610612740,28,17,2022-02-15T01:32:04Z,1340000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M54.20S,2022-02-15T01:32:12.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630631,,,1610612740,29,17,2022-02-15T01:32:12Z,1350000,,,0,,J. Alvarado Free Throw 2 of 2 (4 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
139,PT00M35.90S,2022-02-15T01:32:32.4Z,1,REGULAR,2pt,Jump Shot,[],1627832,18.347568988173457,23.284313725490197,1610612761,29,17,2022-02-15T01:32:40Z,1360000,134.0,120.0,1,left,MISS F. VanVleet 17' Jump Shot,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,17.96,Missed,,,,,,,,,,,,,,,,,,
140,PT00M32.20S,2022-02-15T01:32:36.1Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,29,17,2022-02-15T01:32:40Z,1370000,,,0,,F. VanVleet REBOUND (Off:2 Def:0),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,139.0,2.0,0.0,2.0,,,,,,,,,,,,,,
141,PT00M26.40S,2022-02-15T01:32:41.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,9.149145860709593,95.09803921568627,1610612761,29,17,2022-02-15T01:32:47Z,1380000,-225.0,34.0,1,left,MISS G. Trent Jr. 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,
142,PT00M22.30S,2022-02-15T01:32:46.0Z,1,REGULAR,rebound,defensive,[],203503,,,1610612740,29,17,2022-02-15T01:32:47Z,1390000,,,0,,T. Snell REBOUND (Off:0 Def:1),[203503],1610612740.0,NOP,,,,Snell,T. Snell,,,,,,,141.0,1.0,1.0,0.0,,,,,,,,,,,,,,
145,PT00M00.30S,2022-02-15T01:34:00.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,29,17,2022-02-15T01:34:17Z,1420000,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,1628951.0,,,,,,,
146,PT00M00.00S,2022-02-15T01:34:42.6Z,1,REGULAR,period,end,[],0,,,1610612761,29,17,2022-02-15T01:34:42Z,1430000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,out,['startperiod'],1628984,,,1610612761,29,17,2022-02-15T01:36:51Z,1440000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,out,['startperiod'],1629109,,,1610612761,29,17,2022-02-15T01:36:51Z,1450000,,,0,,SUB out: G. Clark,[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,out,['startperiod'],1626195,,,1610612761,29,17,2022-02-15T01:36:51Z,1460000,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,out,['startperiod'],1627832,,,1610612761,29,17,2022-02-15T01:36:51Z,1470000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,out,['startperiod'],203920,,,1610612761,29,17,2022-02-15T01:36:51Z,1480000,,,0,,SUB out: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,out,['startperiod'],1628449,,,1610612761,29,17,2022-02-15T01:36:51Z,1490000,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,out,['startperiod'],1629018,,,1610612761,29,17,2022-02-15T01:36:51Z,1500000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,in,['startperiod'],203468,,,1610612761,29,17,2022-02-15T01:36:51Z,1510000,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,in,['startperiod'],202066,,,1610612761,29,17,2022-02-15T01:36:51Z,1520000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,in,['startperiod'],202685,,,1610612761,29,17,2022-02-15T01:36:51Z,1530000,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,in,['startperiod'],1627783,,,1610612761,29,17,2022-02-15T01:36:51Z,1540000,,,0,,SUB in: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,in,['startperiod'],201152,,,1610612761,29,17,2022-02-15T01:36:51Z,1550000,,,0,,SUB in: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,in,['startperiod'],1630567,,,1610612761,29,17,2022-02-15T01:36:51Z,1560000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-02-15T01:34:50.5Z,2,REGULAR,substitution,in,['startperiod'],1628384,,,1610612761,29,17,2022-02-15T01:36:51Z,1570000,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-02-15T01:37:03.1Z,2,REGULAR,period,start,[],0,,,1610612740,29,17,2022-02-15T01:37:03Z,1580000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT11M35.00S,2022-02-15T01:37:27.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,81.02825229960578,54.41176470588235,1610612740,31,17,2022-02-15T01:37:35Z,1590000,22.0,126.0,1,right,C. McCollum 12' pullup Jump Shot (7 PTS) (J. Valanciunas 2 AST),"[203468, 202685]",1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,12.77,Made,,,,,7.0,,,J. Valanciunas,202685.0,2.0,,,,,,,,
164,PT11M16.00S,2022-02-15T01:37:45.8Z,2,REGULAR,3pt,Jump Shot,[],1630567,11.12023653088042,2.696078431372549,1610612761,31,17,2022-02-15T01:37:53Z,1610000,237.0,52.0,1,left,MISS S. Barnes 24' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,24.21,Missed,,,,,,,,,,,,,,,,,,
165,PT11M12.00S,2022-02-15T01:37:49.8Z,2,REGULAR,rebound,defensive,[],203503,,,1610612740,31,17,2022-02-15T01:37:53Z,1620000,,,0,,T. Snell REBOUND (Off:0 Def:2),[203503],1610612740.0,NOP,,,,Snell,T. Snell,,,,,,,164.0,2.0,2.0,0.0,,,,,,,,,,,,,,
166,PT10M53.00S,2022-02-15T01:38:09.0Z,2,REGULAR,3pt,Jump Shot,[],202066,93.64323258869908,2.941176470588235,1610612740,34,17,2022-02-15T01:38:16Z,1630000,-235.0,7.0,1,right,G. Temple 3PT  (3 PTS) (J. Alvarado 1 AST),"[202066, 1630631]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,23.54,Made,,,,,3.0,,,J. Alvarado,1630631.0,1.0,,,,,,,,
168,PT10M39.00S,2022-02-15T01:38:26.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,10.726018396846255,57.107843137254896,1610612761,34,19,2022-02-15T01:38:38Z,1650000,-36.0,48.0,1,left,P. Siakam driving Layup (6 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,5.99,Made,,,,,6.0,,,,,,,,,,,,,
169,PT10M39.00S,2022-02-15T01:38:34.4Z,2,REGULAR,foul,personal,['1freethrow'],202685,,,1610612761,34,19,2022-02-15T01:38:44Z,1660000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Siakam 1 FT),"[202685, 1627783]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Siakam,1627783.0,,,
171,PT10M39.00S,2022-02-15T01:38:56.6Z,2,REGULAR,freethrow,1 of 1,[],1627783,,,1610612761,34,19,2022-02-15T01:38:56Z,1680000,,,0,,MISS P. Siakam Free Throw 1 of 1,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Missed,,,,,,,,,,,,,,,,,,
172,PT10M37.00S,2022-02-15T01:38:58.6Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,34,19,2022-02-15T01:39:00Z,1690000,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,171.0,5.0,4.0,1.0,,,,,,,,,,,,,,
173,PT10M25.00S,2022-02-15T01:39:10.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,90.48948751642575,46.07843137254902,1610612740,36,19,2022-02-15T01:39:16Z,1700000,-20.0,37.0,1,right,J. Alvarado driving finger roll Layup (6 PTS) (C. McCollum 2 AST),"[1630631, 203468]",1610612740.0,NOP,driving finger roll,,,Alvarado,J. Alvarado,,,,,4.18,Made,,,,,6.0,,,C. McCollum,203468.0,2.0,,,,,,,,
174,PT10M07.00S,2022-02-15T01:39:27.0Z,2,REGULAR,3pt,Jump Shot,[],1630173,8.886333771353483,3.1862745098039214,1610612761,36,22,2022-02-15T01:39:34Z,1710000,234.0,31.0,1,left,P. Achiuwa 3PT  (3 PTS) (O. Anunoby 1 AST),"[1630173, 1628384]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,23.61,Made,,,,,3.0,,,O. Anunoby,1628384.0,1.0,,,,,,,,
176,PT09M49.00S,2022-02-15T01:39:48.8Z,2,REGULAR,foul,personal,['2freethrow'],1630173,,,1610612740,36,22,2022-02-15T01:40:01Z,1730000,,,0,,P. Achiuwa shooting personal FOUL (2 PF) (Valanciunas 2 FT),"[1630173, 202685]",1610612761.0,TOR,shooting,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,201639.0,2.0,0.0,Valanciunas,202685.0,,,
178,PT09M49.00S,2022-02-15T01:40:22.3Z,2,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,37,22,2022-02-15T01:40:22Z,1750000,,,0,,J. Valanciunas Free Throw 1 of 2 (7 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
179,PT09M49.00S,2022-02-15T01:40:40.5Z,2,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,38,22,2022-02-15T01:40:40Z,1760000,,,0,,J. Valanciunas Free Throw 2 of 2 (8 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
180,PT09M35.00S,2022-02-15T01:40:57.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201152,11.514454664914586,50.0,1610612761,38,22,2022-02-15T01:41:11Z,1770000,0.0,56.0,1,left,MISS T. Young floating Shot,[201152],1610612761.0,TOR,floating,,,Young,T. Young,,,,,5.57,Missed,,,,,,,,,,,,,,,,,,
