actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
96,PT03M15.00S,2021-12-09T01:24:02.7Z,1,REGULAR,substitution,in,[],1630192,,,1610612743,22,31,2021-12-09T01:24:19Z,950000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M15.00S,2021-12-09T01:24:02.7Z,1,REGULAR,substitution,out,[],1628404,,,1610612743,22,31,2021-12-09T01:24:48Z,955000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M15.00S,2021-12-09T01:24:02.7Z,1,REGULAR,substitution,in,[],1629638,,,1610612743,22,31,2021-12-09T01:24:48Z,957500,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT02M56.00S,2021-12-09T01:24:32.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203999,8.886333771353483,35.78431372549019,1610612743,22,33,2021-12-09T01:27:38Z,960000,71.0,31.0,1,left,N. Jokic 7' turnaround Hook (13 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,7.76,Made,,,,,,13.0,,,,,,,,,,,,,
100,PT02M46.00S,2021-12-09T01:24:47.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,91.93495400788436,49.26470588235294,1610612740,24,33,2021-12-09T01:24:52Z,970000,-4.0,23.0,1,right,B. Ingram Layup (2 PTS) (K. Lewis Jr. 1 AST),"[1627742, 1630184]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,2.36,Made,,,,,,2.0,K. Lewis Jr.,1630184.0,1.0,,,,,,,,,,
102,PT02M46.00S,2021-12-09T01:24:53.9Z,1,REGULAR,foul,personal,['1freethrow'],1630192,,,1610612740,24,33,2021-12-09T01:25:09Z,990000,,,0,,Z. Nnaji shooting personal FOUL (1 PF) (Ingram 1 FT),"[1630192, 1627742]",1610612743.0,DEN,shooting,,,Nnaji,Z. Nnaji,,,,,,,,,,,203177.0,,,,,,,,1.0,0.0,Ingram,1627742.0,,,
104,PT02M46.00S,2021-12-09T01:25:12.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,24,33,2021-12-09T01:25:12Z,1010000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M46.00S,2021-12-09T01:27:26.0Z,1,REGULAR,substitution,out,[],203115,,,1610612740,24,33,2021-12-09T01:27:41Z,1020000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M46.00S,2021-12-09T01:27:26.0Z,1,REGULAR,substitution,in,[],1630538,,,1610612740,24,33,2021-12-09T01:27:41Z,1030000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M46.00S,2021-12-09T01:27:58.9Z,1,REGULAR,freethrow,1 of 1,[],1627742,,,1610612740,25,33,2021-12-09T01:27:58Z,1040000,,,0,,B. Ingram Free Throw 1 of 1 (3 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,,,,,,3.0,,,,,,,,,,,,,
108,PT02M35.00S,2021-12-09T01:28:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630538,5.601182654402102,48.529411764705884,1610612743,25,35,2021-12-09T01:28:17Z,1050000,7.0,0.0,1,left,B. Hyland reverse Layup (2 PTS) (N. Jokic 5 AST),"[1630538, 203999]",1610612743.0,DEN,reverse,,,Hyland,B. Hyland,,,,,0.74,Made,,,,,,2.0,N. Jokic,203999.0,5.0,,,,,,,,,,
110,PT02M15.00S,2021-12-09T01:28:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,92.85479632063075,45.83333333333333,1610612740,27,35,2021-12-09T01:28:36Z,1070000,-21.0,15.0,1,right,W. Hernangomez Layup (2 PTS) (K. Lewis Jr. 2 AST),"[1626195, 1630184]",1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,2.55,Made,,,,,,2.0,K. Lewis Jr.,1630184.0,2.0,,,,,,,,,,
112,PT02M03.00S,2021-12-09T01:28:45.4Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,27,35,2021-12-09T01:29:03Z,1090000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,,,,,,,203177.0,,,,,1.0,,,,,,,,,
113,PT02M03.00S,2021-12-09T01:28:52.5Z,1,REGULAR,substitution,out,[],203999,,,1610612740,27,35,2021-12-09T01:28:57Z,1100000,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M03.00S,2021-12-09T01:28:52.5Z,1,REGULAR,substitution,in,[],203210,,,1610612740,27,35,2021-12-09T01:28:57Z,1110000,,,0,,SUB in: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT01M43.00S,2021-12-09T01:29:27.5Z,1,REGULAR,foul,personal,[],203210,,,1610612740,27,35,2021-12-09T01:29:35Z,1120000,,,0,,J. Green personal FOUL (1 PF),"[203210, 1627742]",1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,203177.0,,,,,,,,1.0,0.0,Ingram,1627742.0,,,
117,PT01M43.00S,2021-12-09T01:29:33.8Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,27,35,2021-12-09T01:29:39Z,1140000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M43.00S,2021-12-09T01:29:33.8Z,1,REGULAR,substitution,in,[],202066,,,1610612740,27,35,2021-12-09T01:29:39Z,1150000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M39.00S,2021-12-09T01:29:49.9Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,27,35,2021-12-09T01:29:54Z,1160000,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1630538]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,1.0,Hyland,1630538.0,,,,,,,
120,PT01M39.00S,2021-12-09T01:29:49.9Z,1,REGULAR,steal,,[],1630538,,,1610612743,27,35,2021-12-09T01:29:52Z,1170000,,,0,,B. Hyland STEAL (1 STL),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M30.00S,2021-12-09T01:29:58.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203210,26.888961892247043,23.284313725490197,1610612743,27,35,2021-12-09T01:30:02Z,1180000,134.0,200.0,1,left,MISS J. Green 24' 3PT,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,24.08,Missed,,,,,,,,,,,,,,,,,,,
122,PT01M26.00S,2021-12-09T01:30:02.0Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,27,35,2021-12-09T01:30:02Z,1190000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,121.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
123,PT01M20.00S,2021-12-09T01:30:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630184,93.77463863337714,52.20588235294118,1610612740,29,35,2021-12-09T01:30:13Z,1200000,11.0,6.0,1,right,K. Lewis Jr. driving Layup (2 PTS) (G. Temple 1 AST),"[1630184, 202066]",1610612740.0,NOP,driving,,,Lewis Jr.,K. Lewis Jr.,,,,,1.25,Made,,,,,,2.0,G. Temple,202066.0,1.0,,,,,,,,,,
125,PT01M06.00S,2021-12-09T01:30:21.6Z,1,REGULAR,2pt,Jump Shot,[],1630538,21.23850197109067,59.31372549019608,1610612743,29,35,2021-12-09T01:30:25Z,1220000,-47.0,147.0,1,left,MISS B. Hyland 15' pullup Shot,[1630538],1610612743.0,DEN,pullup,,,Hyland,B. Hyland,,,,,15.43,Missed,,,,,,,,,,,,,,,,,,,
126,PT01M04.00S,2021-12-09T01:30:23.6Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,29,35,2021-12-09T01:30:25Z,1230000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,125.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
127,PT00M49.70S,2021-12-09T01:30:41.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630192,,,1610612740,29,35,2021-12-09T01:30:48Z,1240000,,,0,,Z. Nnaji shooting personal FOUL (2 PF) (Alexander-Walker 2 FT),"[1630192, 1629638]",1610612743.0,DEN,shooting,,,Nnaji,Z. Nnaji,,,,,,,,,,,101283.0,,,,,,,,2.0,0.0,Alexander-Walker,1629638.0,,,
129,PT00M49.70S,2021-12-09T01:31:07.6Z,1,REGULAR,freethrow,1 of 2,[],1629638,,,1610612740,29,35,2021-12-09T01:31:07Z,1260000,,,0,,MISS N. Alexander-Walker Free Throw 1 of 2,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,Missed,,,,,,,,,,,,,,,,,,,
130,PT00M49.70S,2021-12-09T01:31:07.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,29,35,2021-12-09T01:31:07Z,1270000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,
131,PT00M49.70S,2021-12-09T01:31:21.3Z,1,REGULAR,freethrow,2 of 2,[],1629638,,,1610612740,30,35,2021-12-09T01:31:21Z,1280000,,,0,,N. Alexander-Walker Free Throw 2 of 2 (1 PTS),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,Made,,,,,,1.0,,,,,,,,,,,,,
132,PT00M31.50S,2021-12-09T01:31:41.0Z,1,REGULAR,turnover,lost ball,[],1630538,,,1610612743,30,35,2021-12-09T01:31:46Z,1290000,,,0,,B. Hyland lost ball TURNOVER (1 TO),"[1630538, 1630184]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,1.0,Lewis Jr.,1630184.0,,,,,,,
133,PT00M31.50S,2021-12-09T01:31:41.0Z,1,REGULAR,steal,,[],1630184,,,1610612740,30,35,2021-12-09T01:31:44Z,1300000,,,0,,K. Lewis Jr. STEAL (1 STL),[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M28.90S,2021-12-09T01:31:46.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630184,94.1688567674113,53.67647058823529,1610612740,32,35,2021-12-09T01:33:24Z,1310000,18.0,2.0,1,right,K. Lewis Jr. running Layup (4 PTS),[1630184],1610612740.0,NOP,running,,,Lewis Jr.,K. Lewis Jr.,,,,,1.85,Made,,,,,,4.0,,,,,,,,,,,,,
135,PT00M28.90S,2021-12-09T01:31:49.9Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630267,,,1610612740,32,35,2021-12-09T01:32:06Z,1320000,,,0,,F. Campazzo shooting personal FOUL (1 PF) (Lewis Jr. 1 FT),"[1630267, 1630184]",1610612743.0,DEN,shooting,,,Campazzo,F. Campazzo,,,,,,,,,,,203177.0,,,,,,,,1.0,0.0,Lewis Jr.,1630184.0,,,
137,PT00M28.90S,2021-12-09T01:32:15.8Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630184,,,1610612740,33,35,2021-12-09T01:32:15Z,1340000,,,0,,K. Lewis Jr. Free Throw 1 of 1 (5 PTS),[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,Made,,,,,,5.0,,,,,,,,,,,,,
138,PT00M11.90S,2021-12-09T01:32:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203210,18.74178712220762,44.6078431372549,1610612743,33,35,2021-12-09T01:33:49Z,1350000,27.0,124.0,1,left,MISS J. Green 12' Jump Shot,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,12.66,Missed,,,,,,,,,,,,,,,,,,,
139,PT00M08.40S,2021-12-09T01:32:37.1Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,33,35,2021-12-09T01:32:37Z,1360000,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,138.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
140,PT00M00.60S,2021-12-09T01:32:44.9Z,1,REGULAR,3pt,Jump Shot,[],202066,90.62089356110381,3.6764705882352944,1610612740,33,35,2021-12-09T01:32:50Z,1370000,-232.0,36.0,1,right,MISS G. Temple 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,23.43,Missed,,,,,,,,,,,,,,,,,,,
141,PT00M00.60S,2021-12-09T01:32:44.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,33,35,2021-12-09T01:32:50Z,1380000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,
142,PT00M00.00S,2021-12-09T01:32:53.9Z,1,REGULAR,period,end,[],0,,,1610612740,33,35,2021-12-09T01:32:53Z,1390000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2021-12-09T01:34:57.9Z,2,REGULAR,substitution,out,['startperiod'],1627742,,,1610612740,33,35,2021-12-09T01:35:29Z,1400000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2021-12-09T01:34:57.9Z,2,REGULAR,substitution,out,['startperiod'],1630192,,,1610612740,33,35,2021-12-09T01:35:29Z,1410000,,,0,,SUB out: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2021-12-09T01:34:57.9Z,2,REGULAR,substitution,out,['startperiod'],203932,,,1610612740,33,35,2021-12-09T01:35:29Z,1420000,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2021-12-09T01:34:57.9Z,2,REGULAR,substitution,in,['startperiod'],1628404,,,1610612740,33,35,2021-12-09T01:35:29Z,1430000,,,0,,SUB in: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2021-12-09T01:34:57.9Z,2,REGULAR,substitution,in,['startperiod'],1628432,,,1610612740,33,35,2021-12-09T01:35:29Z,1440000,,,0,,SUB in: D. Reed,[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-12-09T01:34:57.9Z,2,REGULAR,substitution,in,['startperiod'],203115,,,1610612740,33,35,2021-12-09T01:35:29Z,1450000,,,0,,SUB in: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-12-09T01:35:34.4Z,2,REGULAR,period,start,[],0,,,1610612743,33,35,2021-12-09T01:35:34Z,1460000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT11M43.00S,2021-12-09T01:35:51.1Z,2,REGULAR,3pt,Jump Shot,[],1630267,26.62614980289093,80.14705882352942,1610612743,33,35,2021-12-09T01:35:58Z,1470000,-151.0,198.0,1,left,MISS F. Campazzo 24' 3PT,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,24.87,Missed,,,,,,,,,,,,,,,,,,,
151,PT11M39.00S,2021-12-09T01:35:55.1Z,2,REGULAR,rebound,offensive,[],203210,,,1610612743,33,35,2021-12-09T01:35:58Z,1480000,,,0,,J. Green REBOUND (Off:1 Def:0),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,150.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
152,PT11M37.00S,2021-12-09T01:35:56.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203210,6.389618922470433,52.450980392156865,1610612743,33,37,2021-12-09T01:36:05Z,1490000,-12.0,8.0,1,left,J. Green putback Layup (2 PTS),[203210],1610612743.0,DEN,putback,,,Green,J. Green,,,,,1.45,Made,,,,,,2.0,,,,,,,,,,,,,
153,PT11M27.00S,2021-12-09T01:36:08.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630184,93.9060446780552,52.20588235294118,1610612740,33,37,2021-12-09T01:36:33Z,1500000,11.0,5.0,1,right,MISS K. Lewis Jr. driving Layup - blocked,"[1630184, 203115]",1610612740.0,NOP,driving,,,Lewis Jr.,K. Lewis Jr.,,,,,1.2,Missed,,,,,,,,,,,,,,,,,Barton,203115.0,
154,PT11M27.00S,2021-12-09T01:36:08.7Z,2,REGULAR,block,,[],203115,,,1610612740,33,37,2021-12-09T01:36:13Z,1510000,,,0,,W. Barton BLOCK (1 BLK),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M27.00S,2021-12-09T01:36:08.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612740,33,37,2021-12-09T01:36:33Z,1520000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,,,
156,PT11M27.00S,2021-12-09T01:36:16.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,33,37,2021-12-09T01:36:16Z,1530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M16.00S,2021-12-09T01:36:33.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629638,93.9060446780552,51.9607843137255,1610612740,35,37,2021-12-09T01:37:57Z,1540000,10.0,5.0,1,right,N. Alexander-Walker driving Layup (3 PTS),[1629638],1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,1.09,Made,,,,,,3.0,,,,,,,,,,,,,
158,PT10M51.00S,2021-12-09T01:36:58.9Z,2,REGULAR,2pt,Jump Shot,[],203115,6.783837056504599,15.441176470588236,1610612743,35,37,2021-12-09T01:37:05Z,1550000,173.0,11.0,1,left,MISS W. Barton 17' turnaround Shot,[203115],1610612743.0,DEN,turnaround,,,Barton,W. Barton,,,,,17.32,Missed,,,,,,,,,,,,,,,,,,,
159,PT10M49.00S,2021-12-09T01:37:00.9Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,35,37,2021-12-09T01:37:05Z,1560000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,158.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
160,PT10M41.00S,2021-12-09T01:37:08.4Z,2,REGULAR,turnover,bad pass,[],1628404,,,1610612740,35,37,2021-12-09T01:37:13Z,1570000,,,0,,J. Hart bad pass TURNOVER (3 TO),"[1628404, 203115]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,3.0,Barton,203115.0,,,,,,,
161,PT10M41.00S,2021-12-09T01:37:08.4Z,2,REGULAR,steal,,[],203115,,,1610612743,35,37,2021-12-09T01:37:11Z,1580000,,,0,,W. Barton STEAL (1 STL),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT10M35.00S,2021-12-09T01:37:14.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630267,5.995400788436268,52.69607843137255,1610612743,35,39,2021-12-09T01:37:23Z,1590000,-13.0,4.0,1,left,F. Campazzo driving Layup (2 PTS),[1630267],1610612743.0,DEN,driving,,,Campazzo,F. Campazzo,,,,,1.41,Made,,,,,,2.0,,,,,,,,,,,,,
163,PT10M30.00S,2021-12-09T01:37:19.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629638,74.06373193166885,83.33333333333334,1610612740,38,39,2021-12-09T01:37:29Z,1600000,167.0,191.0,1,right,N. Alexander-Walker 25' 3PT  (6 PTS) (K. Lewis Jr. 3 AST),"[1629638, 1630184]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,25.37,Made,,,,,,6.0,K. Lewis Jr.,1630184.0,3.0,,,,,,,,,,
165,PT10M26.00S,2021-12-09T01:37:33.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,38,39,2021-12-09T01:37:33Z,1620000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT10M09.00S,2021-12-09T01:40:43.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203210,5.601182654402102,52.69607843137255,1610612743,38,41,2021-12-09T01:40:49Z,1630000,-13.0,0.0,1,left,J. Green Layup (4 PTS) (F. Campazzo 1 AST),"[203210, 1630267]",1610612743.0,DEN,,,,Green,J. Green,,,,,1.35,Made,,,,,,4.0,F. Campazzo,1630267.0,1.0,,,,,,,,,,
168,PT09M51.00S,2021-12-09T01:41:02.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,92.59198423127464,51.71568627450981,1610612740,38,41,2021-12-09T01:41:35Z,1650000,9.0,17.0,1,right,MISS N. Alexander-Walker driving Layup,[1629638],1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,1.91,Missed,,,,,,,,,,,,,,,,,,,
169,PT09M49.00S,2021-12-09T01:41:04.3Z,2,REGULAR,rebound,defensive,[],203210,,,1610612743,38,41,2021-12-09T01:41:08Z,1660000,,,0,,J. Green REBOUND (Off:1 Def:1),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,168.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
170,PT09M44.00S,2021-12-09T01:41:12.2Z,2,REGULAR,foul,personal,['3freethrow'],1629638,,,1610612743,38,41,2021-12-09T01:41:27Z,1670000,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Hyland 3 FT),"[1629638, 1630538]",1610612740.0,NOP,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,203177.0,,,,,,,,1.0,0.0,Hyland,1630538.0,,,
172,PT09M44.00S,2021-12-09T01:41:37.3Z,2,REGULAR,freethrow,1 of 3,[],1630538,,,1610612743,38,42,2021-12-09T01:41:37Z,1690000,,,0,,B. Hyland Free Throw 1 of 3 (3 PTS),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,Made,,,,,,3.0,,,,,,,,,,,,,
173,PT09M44.00S,2021-12-09T01:41:49.9Z,2,REGULAR,freethrow,2 of 3,[],1630538,,,1610612743,38,43,2021-12-09T01:41:49Z,1700000,,,0,,B. Hyland Free Throw 2 of 3 (4 PTS),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,Made,,,,,,4.0,,,,,,,,,,,,,
174,PT09M44.00S,2021-12-09T01:42:08.1Z,2,REGULAR,freethrow,3 of 3,[],1630538,,,1610612743,38,44,2021-12-09T01:42:08Z,1710000,,,0,,B. Hyland Free Throw 3 of 3 (5 PTS),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,Made,,,,,,5.0,,,,,,,,,,,,,
175,PT09M33.00S,2021-12-09T01:42:23.2Z,2,REGULAR,violation,kicked ball,[],203210,,,1610612740,38,44,2021-12-09T01:42:31Z,1720000,,,0,,J. Green kicked ball VIOLATION,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,2534.0,,,,,,,,,,,,,,
176,PT09M30.00S,2021-12-09T01:42:42.8Z,2,REGULAR,foul,personal,[],1628432,,,1610612740,38,44,2021-12-09T01:42:53Z,1730000,,,0,,D. Reed personal FOUL (1 PF),"[1628432, 1629638]",1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,2534.0,,,,,,,,1.0,0.0,Alexander-Walker,1629638.0,,,
178,PT09M25.00S,2021-12-09T01:42:54.6Z,2,REGULAR,3pt,Jump Shot,[],1630184,69.33311432325887,21.568627450980394,1610612740,38,44,2021-12-09T01:44:32Z,1750000,-142.0,236.0,1,right,MISS K. Lewis Jr. 27' pullup 3PT,[1630184],1610612740.0,NOP,pullup,,,Lewis Jr.,K. Lewis Jr.,,,,,27.54,Missed,,,,,,,,,,,,,,,,,,,
179,PT09M20.00S,2021-12-09T01:42:59.6Z,2,REGULAR,rebound,defensive,[],203210,,,1610612743,38,44,2021-12-09T01:43:00Z,1760000,,,0,,J. Green REBOUND (Off:1 Def:2),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,178.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
180,PT09M08.00S,2021-12-09T01:43:11.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203115,13.091327201051248,43.38235294117647,1610612743,38,44,2021-12-09T01:43:14Z,1770000,33.0,71.0,1,left,MISS W. Barton 7' Layup,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,7.8,Missed,,,,,,,,,,,,,,,,,,,
181,PT09M06.00S,2021-12-09T01:43:13.1Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,38,44,2021-12-09T01:43:14Z,1780000,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,180.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
182,PT08M48.00S,2021-12-09T01:43:31.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,88.64980289093299,49.26470588235294,1610612740,38,44,2021-12-09T01:45:41Z,1790000,-4.0,54.0,1,right,MISS J. Hart driving Layup,[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,5.43,Missed,,,,,,,,,,,,,,,,,,,
183,PT08M45.00S,2021-12-09T01:43:34.8Z,2,REGULAR,rebound,offensive,[],1628404,,,1610612740,38,44,2021-12-09T01:43:34Z,1800000,,,0,,J. Hart REBOUND (Off:1 Def:3),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,182.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
