actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
83,PT06M19.00S,2023-10-27T23:21:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,8.623521681997373,61.76470588235294,1610612763,4,9,2023-10-27T23:21:48Z,830000,False,-59.0,29.0,1,left,MISS M. Smart 6' fadeaway Shot,[203935],1610612763.0,MEM,fadeaway,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,6.54,Missed,,,,,,,,,,,,,,,,,,
84,PT06M16.00S,2023-10-27T23:21:44.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,9,2023-10-27T23:21:48Z,840000,False,,,0,,N. Jokic REBOUND (Off:2 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,83.0,4.0,2.0,2.0,,,,,,,,,,,,,,
85,PT06M09.00S,2023-10-27T23:21:50.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,83.65637319316689,57.84313725490197,1610612743,4,11,2023-10-27T23:21:56Z,850000,False,39.0,101.0,1,right,J. Murray 10' driving floating Jump Shot (5 PTS),[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.84,Made,,,,,,,,5.0,,,,,,,,,,
86,PT05M55.00S,2023-10-27T23:22:06.1Z,1,REGULAR,turnover,lost ball,[],1630217,,,1610612763,4,11,2023-10-27T23:22:11Z,860000,False,,,0,,D. Bane lost ball TURNOVER (2 TO),"[1630217, 203484]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,2.0,Caldwell-Pope,203484.0
87,PT05M55.00S,2023-10-27T23:22:06.1Z,1,REGULAR,steal,,[],203484,,,1610612743,4,11,2023-10-27T23:26:51Z,870000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
88,PT05M47.00S,2023-10-27T23:22:19.5Z,1,REGULAR,foul,personal,[],1630217,,,1610612743,4,11,2023-10-27T23:22:30Z,880000,False,,,0,,D. Bane personal FOUL (2 PF),"[1630217, 203999]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Center,,,,,,,,,202027.0,,,,,2.0,0.0,Jokic,203999.0,,,
90,PT05M47.00S,2023-10-27T23:22:30.5Z,1,REGULAR,substitution,out,[],1630217,,,1610612743,4,11,2023-10-27T23:22:34Z,900000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M47.00S,2023-10-27T23:22:30.5Z,1,REGULAR,substitution,in,[],201565,,,1610612743,4,11,2023-10-27T23:22:34Z,910000,False,,,0,,SUB in: D. Rose,[201565],1610612763.0,MEM,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M33.00S,2023-10-27T23:22:57.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627750,74.45795006570303,13.480392156862745,1610612743,4,11,2023-10-27T23:23:03Z,920000,False,-183.0,188.0,1,right,MISS J. Murray 26' step back 3PT,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,26.18,Missed,,,,,,,,,,,,,,,,,,
93,PT05M28.00S,2023-10-27T23:23:02.3Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,4,11,2023-10-27T23:23:03Z,930000,False,,,0,,X. Tillman REBOUND (Off:0 Def:3),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Left Center,,,92.0,3.0,3.0,0.0,,,,,,,,,,,,,,
94,PT05M23.00S,2023-10-27T23:23:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201565,7.178055190538765,44.6078431372549,1610612763,6,11,2023-10-27T23:23:13Z,940000,False,27.0,15.0,1,left,D. Rose driving finger roll Layup (2 PTS),[201565],1610612763.0,MEM,driving finger roll,,,Rose,D. Rose,,,,,Restricted Area,0-8 Center,3.09,Made,,,,,,,,2.0,,,,,,,,,,
95,PT05M03.00S,2023-10-27T23:23:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,89.96386333771353,40.19607843137255,1610612743,6,11,2023-10-27T23:23:32Z,950000,False,-49.0,42.0,1,right,MISS J. Murray 6' pullup Shot - blocked,"[1627750, 1630214]",1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.44,Missed,,,,,Tillman,1630214.0,,,,,,,,,,,,
96,PT05M03.00S,2023-10-27T23:23:27.7Z,1,REGULAR,block,,[],1630214,,,1610612743,6,11,2023-10-27T23:23:29Z,960000,False,,,0,,X. Tillman BLOCK (2 BLK),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
97,PT04M59.00S,2023-10-27T23:23:31.7Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,6,11,2023-10-27T23:23:32Z,970000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),0-8 Center,,,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,
99,PT04M59.00S,2023-10-27T23:23:34.2Z,1,REGULAR,substitution,out,[],1629008,,,1610612763,6,11,2023-10-27T23:23:59Z,990000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M59.00S,2023-10-27T23:23:34.2Z,1,REGULAR,substitution,out,[],1627750,,,1610612763,6,11,2023-10-27T23:23:59Z,1000000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M59.00S,2023-10-27T23:23:34.2Z,1,REGULAR,substitution,in,[],1631128,,,1610612763,6,11,2023-10-27T23:23:59Z,1010000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M59.00S,2023-10-27T23:23:34.2Z,1,REGULAR,substitution,in,[],202704,,,1610612763,6,11,2023-10-27T23:23:59Z,1020000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M59.00S,2023-10-27T23:24:01.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612763,6,11,2023-10-27T23:24:05Z,1030000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,1629178.0,,,,,,,,,,,
104,PT04M53.00S,2023-10-27T23:24:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630214,9.543363994743759,40.19607843137255,1610612763,6,11,2023-10-27T23:24:22Z,1040000,False,49.0,37.0,1,left,MISS X. Tillman 6' cutting finger roll Layup - blocked,"[1630214, 203932]",1610612763.0,MEM,cutting finger roll,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),0-8 Center,6.15,Missed,,,,,Gordon,203932.0,,,,,,,,,,,,
105,PT04M53.00S,2023-10-27T23:24:18.4Z,1,REGULAR,block,,[],203932,,,1610612763,6,11,2023-10-27T23:24:21Z,1050000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
106,PT04M50.00S,2023-10-27T23:24:21.4Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,6,11,2023-10-27T23:24:22Z,1060000,False,,,0,,X. Tillman REBOUND (Off:1 Def:3),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),0-8 Center,,,104.0,4.0,3.0,1.0,,,,,,,,,,,,,,
107,PT04M48.00S,2023-10-27T23:24:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631223,8.09789750328515,53.67647058823529,1610612763,6,11,2023-10-27T23:24:27Z,1070000,False,-18.0,24.0,1,left,MISS D. Roddy cutting Layup,[1631223],1610612763.0,MEM,cutting,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,,,,,,,,
108,PT04M46.00S,2023-10-27T23:24:25.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,6,11,2023-10-27T23:24:27Z,1080000,False,,,0,,N. Jokic REBOUND (Off:2 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,107.0,5.0,3.0,2.0,,,,,,,,,,,,,,
109,PT04M31.00S,2023-10-27T23:24:39.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,91.14651773981603,54.41176470588235,1610612743,6,13,2023-10-27T23:24:46Z,1090000,False,22.0,31.0,1,right,R. Jackson driving reverse Layup (2 PTS) (N. Jokic 2 AST),"[202704, 203999]",1610612743.0,DEN,driving reverse,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,3.78,Made,,,,,,,,2.0,N. Jokic,203999.0,2.0,,,,,,,
110,PT04M23.00S,2023-10-27T23:24:47.9Z,1,REGULAR,turnover,lost ball,[],1631223,,,1610612763,6,13,2023-10-27T23:24:52Z,1100000,False,,,0,,D. Roddy lost ball TURNOVER (1 TO),"[1631223, 203932]",1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Gordon,203932.0
111,PT04M23.00S,2023-10-27T23:24:47.9Z,1,REGULAR,steal,,[],203932,,,1610612743,6,13,2023-10-27T23:24:50Z,1110000,False,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
112,PT04M17.00S,2023-10-27T23:24:54.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203932,92.32917214191852,43.627450980392155,1610612743,6,13,2023-10-27T23:25:00Z,1120000,False,-32.0,20.0,1,right,MISS A. Gordon running reverse Layup,[203932],1610612743.0,DEN,running reverse,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
113,PT04M14.00S,2023-10-27T23:24:57.0Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,6,13,2023-10-27T23:25:00Z,1130000,False,,,0,,D. Roddy REBOUND (Off:0 Def:1),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,,
114,PT04M08.00S,2023-10-27T23:25:03.7Z,1,REGULAR,3pt,Jump Shot,[],203935,29.122864651773984,29.901960784313726,1610612763,9,13,2023-10-27T23:25:10Z,1140000,False,100.0,221.0,1,left,M. Smart 24' 3PT step back (3 PTS),[203935],1610612763.0,MEM,step back,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,24.31,Made,,,,,,,,3.0,,,,,,,,,,
115,PT03M47.00S,2023-10-27T23:25:23.7Z,1,REGULAR,3pt,Jump Shot,[],1631128,78.26872536136662,10.294117647058822,1610612743,9,16,2023-10-27T23:25:29Z,1150000,False,-199.0,152.0,1,right,C. Braun 24' 3PT  (3 PTS) (R. Jackson 1 AST),"[1631128, 202704]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,24.99,Made,,,,,,,,3.0,R. Jackson,202704.0,1.0,,,,,,,
117,PT03M25.00S,2023-10-27T23:25:45.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630214,8.754927726675426,35.049019607843135,1610612763,9,16,2023-10-27T23:26:05Z,1170000,False,75.0,30.0,1,left,MISS X. Tillman 8' turnaround Hook,[1630214],1610612763.0,MEM,turnaround,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),0-8 Center,8.05,Missed,,,,,,,,,,,,,,,,,,
118,PT03M21.00S,2023-10-27T23:25:49.8Z,1,REGULAR,rebound,defensive,[],202704,,,1610612743,9,16,2023-10-27T23:25:52Z,1180000,False,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,,
119,PT03M16.00S,2023-10-27T23:25:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,92.19776609724047,53.92156862745098,1610612743,9,18,2023-10-27T23:26:01Z,1190000,False,20.0,21.0,1,right,C. Braun cutting Layup (5 PTS) (R. Jackson 2 AST),"[1631128, 202704]",1610612743.0,DEN,cutting,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,2.86,Made,,,,,,,,5.0,R. Jackson,202704.0,2.0,,,,,,,
121,PT02M56.00S,2023-10-27T23:26:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201565,5.995400788436268,53.431372549019606,1610612763,11,18,2023-10-27T23:26:26Z,1210000,False,-17.0,4.0,1,left,D. Rose cutting finger roll Layup (4 PTS) (X. Tillman 1 AST),"[201565, 1630214]",1610612763.0,MEM,cutting finger roll,,,Rose,D. Rose,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,,,,4.0,X. Tillman,1630214.0,1.0,,,,,,,
123,PT02M56.00S,2023-10-27T23:26:19.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,11,18,2023-10-27T23:26:19Z,1230000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M56.00S,2023-10-27T23:28:48.7Z,1,REGULAR,substitution,out,[],1630214,,,1610612743,11,18,2023-10-27T23:29:09Z,1240000,False,,,0,,SUB out: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M56.00S,2023-10-27T23:28:48.7Z,1,REGULAR,substitution,out,[],203935,,,1610612743,11,18,2023-10-27T23:29:09Z,1250000,False,,,0,,SUB out: M. Smart,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M56.00S,2023-10-27T23:28:48.7Z,1,REGULAR,substitution,out,[],203932,,,1610612743,11,18,2023-10-27T23:29:09Z,1260000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M56.00S,2023-10-27T23:28:48.7Z,1,REGULAR,substitution,in,[],1631222,,,1610612743,11,18,2023-10-27T23:29:09Z,1270000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M56.00S,2023-10-27T23:28:48.7Z,1,REGULAR,substitution,in,[],1628991,,,1610612743,11,18,2023-10-27T23:29:09Z,1280000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M56.00S,2023-10-27T23:28:48.7Z,1,REGULAR,substitution,in,[],1631212,,,1610612743,11,18,2023-10-27T23:29:09Z,1290000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M45.00S,2023-10-27T23:29:29.1Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,11,18,2023-10-27T23:29:33Z,1300000,False,,,0,,N. Jokic lost ball TURNOVER (2 TO),"[203999, 1631223]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,2.0,Roddy,1631223.0
132,PT02M45.00S,2023-10-27T23:29:29.1Z,1,REGULAR,steal,,[],1631223,,,1610612763,11,18,2023-10-27T23:29:30Z,1310000,False,,,0,,D. Roddy STEAL (1 STL),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
133,PT02M42.00S,2023-10-27T23:29:37.5Z,1,REGULAR,turnover,out-of-bounds,[],1631222,,,1610612763,11,18,2023-10-27T23:29:43Z,1320000,False,,,0,,J. LaRavia bad pass out-of-bounds TURNOVER (1 TO),[1631222],1610612763.0,MEM,bad pass,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Center,,,,,,,,,202027.0,,,,,,,,,1.0,,
135,PT02M28.00S,2023-10-27T23:30:19.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203484,87.86136662286465,37.5,1610612743,11,18,2023-10-27T23:30:25Z,1340000,False,-62.0,62.0,1,right,MISS K. Caldwell-Pope 8' driving floating bank Shot,[203484],1610612743.0,DEN,driving floating bank,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Left,8.78,Missed,,,,,,,,,,,,,,,,,,
136,PT02M23.00S,2023-10-27T23:30:24.8Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,11,18,2023-10-27T23:30:25Z,1350000,False,,,0,,D. Roddy REBOUND (Off:0 Def:2),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),8-16 Left,,,135.0,2.0,2.0,0.0,,,,,,,,,,,,,,
137,PT02M17.00S,2023-10-27T23:30:30.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,5.732588699080158,54.65686274509803,1610612763,13,18,2023-10-27T23:30:35Z,1360000,False,-23.0,1.0,1,left,J. Jackson Jr. driving finger roll Layup (4 PTS) (D. Roddy 1 AST),"[1628991, 1631223]",1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,,,,4.0,D. Roddy,1631223.0,1.0,,,,,,,
139,PT02M03.00S,2023-10-27T23:30:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,92.9862023653088,44.36274509803921,1610612743,13,18,2023-10-27T23:30:51Z,1380000,False,-28.0,13.0,1,right,MISS R. Jackson reverse Layup,[202704],1610612743.0,DEN,reverse,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,,,,,,,,,,,,,,
140,PT02M00.00S,2023-10-27T23:30:47.6Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,13,18,2023-10-27T23:30:51Z,1390000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
141,PT01M55.00S,2023-10-27T23:30:52.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631222,9.806176084099869,95.83333333333334,1610612763,16,18,2023-10-27T23:30:58Z,1400000,False,-229.0,40.0,1,left,J. LaRavia 3PT running (3 PTS) (J. Konchar 1 AST),"[1631222, 1629723]",1610612763.0,MEM,running,,,LaRavia,J. LaRavia,,,,,Left Corner 3,24+ Left,23.26,Made,,,,,,,,3.0,J. Konchar,1629723.0,1.0,,,,,,,
143,PT01M34.00S,2023-10-27T23:31:13.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,90.22667542706965,43.627450980392155,1610612743,16,20,2023-10-27T23:31:18Z,1420000,False,-32.0,39.0,1,right,R. Jackson driving finger roll Layup (4 PTS),[202704],1610612743.0,DEN,driving finger roll,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,5.07,Made,,,,,,,,4.0,,,,,,,,,,
144,PT01M28.00S,2023-10-27T23:31:22.0Z,1,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612763,16,20,2023-10-27T23:31:35Z,1430000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Rose 2 FT),"[1631212, 201565]",1610612743.0,DEN,shooting,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,,,,202027.0,,,,,1.0,0.0,Rose,201565.0,,,
146,PT01M28.00S,2023-10-27T23:31:59.8Z,1,REGULAR,freethrow,1 of 2,[],201565,,,1610612763,17,20,2023-10-27T23:31:59Z,1450000,False,,,0,,D. Rose Free Throw 1 of 2 (5 PTS),[201565],1610612763.0,MEM,,,,Rose,D. Rose,,,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
147,PT01M28.00S,2023-10-27T23:32:00.7Z,1,REGULAR,substitution,out,[],203484,,,1610612763,17,20,2023-10-27T23:32:05Z,1460000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M28.00S,2023-10-27T23:32:00.7Z,1,REGULAR,substitution,out,[],203999,,,1610612763,17,20,2023-10-27T23:32:05Z,1470000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M28.00S,2023-10-27T23:32:00.7Z,1,REGULAR,substitution,in,[],1630192,,,1610612763,17,20,2023-10-27T23:32:05Z,1480000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M28.00S,2023-10-27T23:32:00.7Z,1,REGULAR,substitution,in,[],1627750,,,1610612763,17,20,2023-10-27T23:32:05Z,1490000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M28.00S,2023-10-27T23:32:00.7Z,1,REGULAR,substitution,out,[],1629723,,,1610612763,17,20,2023-10-27T23:32:15Z,1500000,False,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M28.00S,2023-10-27T23:32:00.7Z,1,REGULAR,substitution,in,[],1630533,,,1610612763,17,20,2023-10-27T23:32:15Z,1510000,False,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT01M28.00S,2023-10-27T23:32:27.3Z,1,REGULAR,freethrow,2 of 2,[],201565,,,1610612763,18,20,2023-10-27T23:32:27Z,1520000,False,,,0,,D. Rose Free Throw 2 of 2 (6 PTS),[201565],1610612763.0,MEM,,,,Rose,D. Rose,,,,,,,,Made,,,,,,,,6.0,,,,,,,,,,
154,PT01M12.00S,2023-10-27T23:32:46.7Z,1,REGULAR,3pt,Jump Shot,[],1631212,94.1688567674113,3.1862745098039214,1610612743,18,23,2023-10-27T23:32:51Z,1530000,False,-234.0,2.0,1,right,P. Watson 3PT  (3 PTS) (R. Jackson 3 AST),"[1631212, 202704]",1610612743.0,DEN,,,,Watson,P. Watson,,,,,Left Corner 3,24+ Left,23.41,Made,,,,,,,,3.0,R. Jackson,202704.0,3.0,,,,,,,
156,PT00M54.60S,2023-10-27T23:33:04.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,6.915243101182654,55.392156862745104,1610612763,18,23,2023-10-27T23:33:11Z,1550000,False,-27.0,13.0,1,left,MISS J. Jackson Jr. turnaround Hook - blocked,"[1628991, 1630192]",1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.98,Missed,,,,,Nnaji,1630192.0,,,,,,,,,,,,
157,PT00M54.60S,2023-10-27T23:33:04.6Z,1,REGULAR,block,,[],1630192,,,1610612763,18,23,2023-10-27T23:33:08Z,1560000,False,,,0,,Z. Nnaji BLOCK (1 BLK),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
158,PT00M48.70S,2023-10-27T23:33:10.5Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,18,23,2023-10-27T23:33:11Z,1570000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,156.0,1.0,1.0,0.0,,,,,,,,,,,,,,
159,PT00M43.90S,2023-10-27T23:33:17.0Z,1,REGULAR,foul,personal,['2freethrow'],1631223,,,1610612743,18,23,2023-10-27T23:33:29Z,1580000,False,,,0,,D. Roddy shooting personal FOUL (1 PF) (Braun 2 FT),"[1631223, 1631128]",1610612763.0,MEM,shooting,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,202027.0,,,,,1.0,0.0,Braun,1631128.0,,,
161,PT00M43.90S,2023-10-27T23:33:41.4Z,1,REGULAR,freethrow,1 of 2,[],1631128,,,1610612743,18,23,2023-10-27T23:33:57Z,1600000,False,,,0,,MISS C. Braun Free Throw 1 of 2,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
162,PT00M43.90S,2023-10-27T23:33:41.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612743,18,23,2023-10-27T23:33:57Z,1610000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,
163,PT00M43.90S,2023-10-27T23:33:41.4Z,1,REGULAR,freethrow,2 of 2,[],1631128,,,1610612743,18,23,2023-10-27T23:33:57Z,1620000,False,,,0,,MISS C. Braun Free Throw 2 of 2,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
164,PT00M42.20S,2023-10-27T23:33:43.1Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,18,23,2023-10-27T23:33:57Z,1630000,False,,,0,,Z. Williams REBOUND (Off:2 Def:4),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,163.0,6.0,4.0,2.0,,,,,,,,,,,,,,
165,PT00M33.00S,2023-10-27T23:34:07.3Z,1,REGULAR,turnover,out-of-bounds,[],1630533,,,1610612763,18,23,2023-10-27T23:34:20Z,1640000,False,,,0,,Z. Williams bad pass out-of-bounds TURNOVER (2 TO),[1630533],1610612763.0,MEM,bad pass,,,Williams,Z. Williams,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,2.0,,
