actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
87,PT05M22.00S,2024-03-28T00:23:27.4Z,1,REGULAR,substitution,out,[],1626156,,,1610612747,16,21,2024-03-28T00:24:17Z,870000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M22.00S,2024-03-28T00:23:27.4Z,1,REGULAR,substitution,out,[],1629060,,,1610612747,16,21,2024-03-28T00:24:17Z,880000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M22.00S,2024-03-28T00:23:27.4Z,1,REGULAR,substitution,in,[],1629634,,,1610612747,16,21,2024-03-28T00:24:17Z,890000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M22.00S,2024-03-28T00:23:27.4Z,1,REGULAR,substitution,in,[],203915,,,1610612747,16,21,2024-03-28T00:24:17Z,900000,False,,,0,,SUB in: S. Dinwiddie,[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M22.00S,2024-03-28T00:23:27.4Z,1,REGULAR,substitution,in,[],1627752,,,1610612747,16,21,2024-03-28T00:24:17Z,910000,False,,,0,,SUB in: T. Prince,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M22.00S,2024-03-28T00:23:59.0Z,1,REGULAR,freethrow,1 of 1,[],1630559,,,1610612747,16,22,2024-03-28T00:23:59Z,920000,False,,,0,,A. Reaves Free Throw 1 of 1 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
93,PT05M11.00S,2024-03-28T00:24:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630590,6.652431011826544,46.07843137254902,1610612763,16,22,2024-03-28T00:24:17Z,930000,False,20.0,10.0,1,left,MISS S. Pippen Jr. driving Layup - blocked,"[1630590, 203915]",1610612763.0,MEM,driving,,,Pippen Jr.,S. Pippen Jr.,,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,Dinwiddie,203915.0,,,,,,,,,,,
94,PT05M11.00S,2024-03-28T00:24:14.9Z,1,REGULAR,block,,[],203915,,,1610612763,16,22,2024-03-28T00:24:17Z,940000,False,,,0,,S. Dinwiddie BLOCK (1 BLK),[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
95,PT05M09.00S,2024-03-28T00:24:16.9Z,1,REGULAR,rebound,defensive,[],203915,,,1610612747,16,22,2024-03-28T00:24:17Z,950000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Restricted Area,0-8 Center,,,93.0,1.0,1.0,0.0,,,,,,,,,,,,,
97,PT04M58.00S,2024-03-28T00:24:29.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629634,,,1610612747,16,22,2024-03-28T00:24:39Z,960000,False,,,0,,B. Clarke shooting personal FOUL (1 PF) (Prince 2 FT),"[1629634, 1627752]",1610612763.0,MEM,shooting,,,Clarke,B. Clarke,,,,,1162.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Prince,1627752.0
99,PT04M58.00S,2024-03-28T00:24:59.4Z,1,REGULAR,freethrow,1 of 2,[],1627752,,,1610612747,16,23,2024-03-28T00:25:26Z,980000,False,,,0,,T. Prince Free Throw 1 of 2 (1 PTS),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
100,PT04M58.00S,2024-03-28T00:24:59.4Z,1,REGULAR,freethrow,2 of 2,[],1627752,,,1610612747,16,23,2024-03-28T00:25:26Z,990000,False,,,0,,MISS T. Prince Free Throw 2 of 2,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
101,PT04M57.00S,2024-03-28T00:25:00.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,16,23,2024-03-28T00:25:26Z,1000000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,
102,PT04M57.00S,2024-03-28T00:25:21.7Z,1,REGULAR,foul,personal,[],1627752,,,1610612763,16,23,2024-03-28T00:25:30Z,1010000,False,,,0,,T. Prince loose ball personal FOUL (1 PF),"[1627752, 1630590]",1610612747.0,LAL,loose ball,,,Prince,T. Prince,,,,,1193.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Pippen Jr.,1630590.0
104,PT04M46.00S,2024-03-28T00:25:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631222,9.149145860709593,56.86274509803921,1610612763,16,23,2024-03-28T00:25:48Z,1030000,False,-34.0,34.0,1,left,MISS J. LaRavia driving floating Shot,[1631222],1610612763.0,MEM,driving floating,,,LaRavia,J. LaRavia,,,,,,In The Paint (Non-RA),0-8 Center,4.79,Missed,,,,,,,,,,,,,,,,,
105,PT04M43.00S,2024-03-28T00:25:46.7Z,1,REGULAR,rebound,defensive,[],203915,,,1610612747,16,23,2024-03-28T00:44:05Z,1040000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:2),[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,In The Paint (Non-RA),0-8 Center,,,104.0,2.0,2.0,0.0,,,,,,,,,,,,,
106,PT04M36.00S,2024-03-28T00:25:54.8Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,16,23,2024-03-28T00:25:59Z,1050000,False,,,0,,L. James bad pass out-of-bounds TURNOVER (3 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,1628951.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,,3.0,,,,,,
107,PT04M24.00S,2024-03-28T00:26:12.1Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,16,23,2024-03-28T00:26:15Z,1060000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 1629637]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1.0,Hayes,1629637.0,,,,
108,PT04M24.00S,2024-03-28T00:26:12.1Z,1,REGULAR,steal,,[],1629637,,,1610612747,16,23,2024-03-28T00:26:14Z,1070000,False,,,0,,J. Hayes STEAL (1 STL),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,
109,PT04M20.00S,2024-03-28T00:26:16.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",2544,94.43166885676742,50.98039215686274,1610612747,16,25,2024-03-28T00:26:21Z,1080000,False,5.0,0.0,1,right,L. James running alley-oop DUNK (6 PTS) (A. Reaves 3 AST),"[2544, 1630559]",1610612747.0,LAL,running alley-oop,,,James,L. James,,,,,,Restricted Area,0-8 Center,0.49,Made,,,,,,,6.0,A. Reaves,1630559.0,3.0,,,,,,,
111,PT04M12.00S,2024-03-28T00:26:26.2Z,1,REGULAR,foul,personal,['2freethrow'],1630559,,,1610612763,16,25,2024-03-28T00:26:34Z,1100000,False,,,0,,A. Reaves shooting personal FOUL (1 PF) (Bane 2 FT),"[1630559, 1630217]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,1628951.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Bane,1630217.0
113,PT04M12.00S,2024-03-28T00:26:53.1Z,1,REGULAR,freethrow,1 of 2,[],1630217,,,1610612763,17,25,2024-03-28T00:26:53Z,1120000,False,,,0,,D. Bane Free Throw 1 of 2 (4 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,
114,PT04M12.00S,2024-03-28T00:26:53.9Z,1,REGULAR,substitution,out,[],1630590,,,1610612763,17,25,2024-03-28T00:27:08Z,1130000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M12.00S,2024-03-28T00:26:53.9Z,1,REGULAR,substitution,out,[],2544,,,1610612763,17,25,2024-03-28T00:27:08Z,1140000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M12.00S,2024-03-28T00:26:53.9Z,1,REGULAR,substitution,in,[],1630610,,,1610612763,17,25,2024-03-28T00:27:08Z,1150000,False,,,0,,SUB in: D. Jarreau,[1630610],1610612763.0,MEM,,,,Jarreau,D. Jarreau,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT04M12.00S,2024-03-28T00:26:53.9Z,1,REGULAR,substitution,in,[],1629629,,,1610612763,17,25,2024-03-28T00:27:08Z,1160000,False,,,0,,SUB in: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT04M12.00S,2024-03-28T00:27:12.7Z,1,REGULAR,freethrow,2 of 2,[],1630217,,,1610612763,18,25,2024-03-28T00:27:12Z,1170000,False,,,0,,D. Bane Free Throw 2 of 2 (5 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,
119,PT04M02.00S,2024-03-28T00:27:25.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,93.24901445466492,50.49019607843137,1610612747,18,27,2024-03-28T00:27:28Z,1180000,False,2.0,11.0,1,right,J. Hayes alley-oop DUNK (6 PTS) (A. Reaves 4 AST),"[1629637, 1630559]",1610612747.0,LAL,alley-oop,,,Hayes,J. Hayes,,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,,,6.0,A. Reaves,1630559.0,4.0,,,,,,,
121,PT03M51.00S,2024-03-28T00:27:35.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629634,11.645860709592641,38.23529411764706,1610612763,20,27,2024-03-28T00:27:38Z,1200000,False,59.0,57.0,1,left,B. Clarke 8' turnaround Hook (2 PTS) (J. LaRavia 2 AST),"[1629634, 1631222]",1610612763.0,MEM,turnaround,,,Clarke,B. Clarke,,,,,,In The Paint (Non-RA),8-16 Right,8.19,Made,,,,,,,2.0,J. LaRavia,1631222.0,2.0,,,,,,,
123,PT03M37.00S,2024-03-28T00:27:49.0Z,1,REGULAR,3pt,Jump Shot,[],203915,94.82588699080158,95.34313725490196,1610612747,20,30,2024-03-28T00:27:53Z,1220000,False,227.0,-4.0,1,right,S. Dinwiddie 3PT  (3 PTS) (A. Reaves 5 AST),"[203915, 1630559]",1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Right Corner 3,24+ Right,22.67,Made,,,,,,,3.0,A. Reaves,1630559.0,5.0,,,,,,,
125,PT03M13.00S,2024-03-28T00:28:13.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,32.14520367936925,50.98039215686274,1610612763,23,30,2024-03-28T00:28:16Z,1240000,False,-5.0,250.0,1,left,D. Bane 24' 3PT pullup (8 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Center,24.97,Made,,,,,,,8.0,,,,,,,,,,
127,PT02M56.00S,2024-03-28T00:28:39.5Z,1,REGULAR,2pt,Jump Shot,[],1629629,91.14651773981603,13.725490196078432,1610612747,23,30,2024-03-28T00:28:43Z,1260000,False,-181.0,31.0,1,right,MISS C. Reddish 18' pullup Shot,[1629629],1610612747.0,LAL,pullup,,,Reddish,C. Reddish,,,,,,Mid-Range,16-24 Left,18.4,Missed,,,,,,,,,,,,,,,,,
128,PT02M53.00S,2024-03-28T00:28:42.5Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,23,30,2024-03-28T00:28:43Z,1270000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Mid-Range,16-24 Left,,,127.0,2.0,1.0,1.0,,,,,,,,,,,,,
129,PT02M45.00S,2024-03-28T00:28:50.6Z,1,REGULAR,3pt,Jump Shot,[],1628991,32.276609724047304,48.529411764705884,1610612763,23,30,2024-03-28T00:28:56Z,1280000,False,7.0,251.0,1,left,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Center,25.1,Missed,,,,,,,,,,,,,,,,,
130,PT02M39.00S,2024-03-28T00:28:56.6Z,1,REGULAR,rebound,defensive,[],203915,,,1610612747,23,30,2024-03-28T00:28:56Z,1290000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:3),[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Above the Break 3,24+ Center,,,129.0,3.0,3.0,0.0,,,,,,,,,,,,,
131,PT02M35.00S,2024-03-28T00:29:01.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203915,90.3580814717477,44.36274509803921,1610612747,23,30,2024-03-28T00:41:07Z,1300000,False,-28.0,38.0,1,right,MISS S. Dinwiddie running finger roll Layup,[203915],1610612747.0,LAL,running finger roll,,,Dinwiddie,S. Dinwiddie,,,,,,In The Paint (Non-RA),0-8 Center,4.74,Missed,,,,,,,,,,,,,,,,,
132,PT02M34.00S,2024-03-28T00:29:02.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,23,30,2024-03-28T00:41:07Z,1310000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,131.0,,,,,,,,,,,,,,,,
133,PT02M34.00S,2024-03-28T00:29:08.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630610,,,1610612747,23,30,2024-03-28T00:32:03Z,1320000,False,,,0,,D. Jarreau loose ball personal FOUL (1 PF) (Hayes 2 FT),"[1630610, 1629637]",1610612763.0,MEM,loose ball,,,Jarreau,D. Jarreau,,,,,1628951.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Hayes,1629637.0
135,PT02M34.00S,2024-03-28T00:29:20.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,23,30,2024-03-28T00:29:20Z,1340000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M34.00S,2024-03-28T00:31:23.9Z,1,REGULAR,substitution,out,[],1628991,,,1610612747,23,30,2024-03-28T00:32:02Z,1350000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M34.00S,2024-03-28T00:31:23.9Z,1,REGULAR,substitution,out,[],1630559,,,1610612747,23,30,2024-03-28T00:32:02Z,1360000,False,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M34.00S,2024-03-28T00:31:23.9Z,1,REGULAR,substitution,in,[],1630583,,,1610612747,23,30,2024-03-28T00:32:02Z,1370000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M34.00S,2024-03-28T00:31:23.9Z,1,REGULAR,substitution,in,[],1626156,,,1610612747,23,30,2024-03-28T00:32:02Z,1380000,False,,,0,,SUB in: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M34.00S,2024-03-28T00:32:16.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629637,,,1610612747,23,31,2024-03-28T00:32:16Z,1390000,False,,,0,,J. Hayes Free Throw 1 of 2 (7 PTS),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,
141,PT02M34.00S,2024-03-28T00:32:29.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629637,,,1610612747,23,32,2024-03-28T00:32:29Z,1400000,False,,,0,,J. Hayes Free Throw 2 of 2 (8 PTS),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,
142,PT02M23.00S,2024-03-28T00:32:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629634,11.251642575558476,58.57843137254902,1610612763,23,32,2024-03-28T00:32:46Z,1410000,False,-43.0,53.0,1,left,MISS B. Clarke 6' pullup Shot,[1629634],1610612763.0,MEM,pullup,,,Clarke,B. Clarke,,,,,,In The Paint (Non-RA),0-8 Center,6.84,Missed,,,,,,,,,,,,,,,,,
143,PT02M20.00S,2024-03-28T00:32:45.0Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,23,32,2024-03-28T00:32:45Z,1420000,False,,,0,,B. Clarke REBOUND (Off:1 Def:0),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,In The Paint (Non-RA),0-8 Center,,,142.0,1.0,0.0,1.0,,,,,,,,,,,,,
144,PT02M16.00S,2024-03-28T00:32:48.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631222,6.652431011826544,4.166666666666666,1610612763,26,32,2024-03-28T00:32:57Z,1430000,False,229.0,10.0,1,left,J. LaRavia 3PT  (3 PTS) (S. Aldama 1 AST),"[1631222, 1630583]",1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,Right Corner 3,24+ Right,22.94,Made,,,,,,,3.0,S. Aldama,1630583.0,1.0,,,,,,,
146,PT02M00.00S,2024-03-28T00:33:05.4Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612747,26,32,2024-03-28T00:33:10Z,1450000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1630583]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Aldama,1630583.0,,,,
147,PT02M00.00S,2024-03-28T00:33:05.4Z,1,REGULAR,steal,,[],1630583,,,1610612763,26,32,2024-03-28T00:58:38Z,1460000,False,,,0,,S. Aldama STEAL (1 STL),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,
148,PT01M56.00S,2024-03-28T00:33:09.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak', 'defensivegoaltending']",1630217,5.863994743758213,52.450980392156865,1610612763,28,32,2024-03-28T00:33:19Z,1470000,False,-12.0,3.0,1,left,D. Bane running finger roll Layup (10 PTS),[1630217],1610612763.0,MEM,running finger roll,,,Bane,D. Bane,,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,,,10.0,,,,,,,,,,
149,PT01M56.00S,2024-03-28T00:33:15.8Z,1,REGULAR,violation,defensive goaltending,[],1629637,,,1610612763,28,32,2024-03-28T00:33:19Z,1480000,False,,,0,,J. Hayes defensive goaltending VIOLATION,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,1628951.0,,,,,,,,,,,,,,,,,,,,,
150,PT01M37.00S,2024-03-28T00:33:40.2Z,1,REGULAR,2pt,Jump Shot,[],203915,90.22667542706965,68.62745098039215,1610612747,28,34,2024-03-28T00:33:44Z,1490000,False,93.0,39.0,1,right,S. Dinwiddie 10' driving floating Jump Shot (5 PTS),[203915],1610612747.0,LAL,driving floating,,,Dinwiddie,S. Dinwiddie,,,,,,Mid-Range,8-16 Right,10.11,Made,,,,,,,5.0,,,,,,,,,,
151,PT01M28.00S,2024-03-28T00:33:49.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629634,5.469776609724048,50.245098039215684,1610612763,30,34,2024-03-28T00:33:52Z,1500000,False,-1.0,-1.0,1,left,B. Clarke cutting finger roll Layup (4 PTS) (D. Jarreau 1 AST),"[1629634, 1630610]",1610612763.0,MEM,cutting finger roll,,,Clarke,B. Clarke,,,,,,Restricted Area,0-8 Center,0.16,Made,,,,,,,4.0,D. Jarreau,1630610.0,1.0,,,,,,,
153,PT01M15.00S,2024-03-28T00:34:03.6Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1630217,,,1610612747,30,34,2024-03-28T00:34:14Z,1520000,False,,,0,,D. Bane shooting personal FOUL (1 PF) (Dinwiddie 3 FT),"[1630217, 203915]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,1162.0,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,1.0,0.0,Dinwiddie,203915.0
155,PT01M15.00S,2024-03-28T00:34:32.7Z,1,REGULAR,freethrow,1 of 3,[],203915,,,1610612747,30,35,2024-03-28T00:34:32Z,1540000,False,,,0,,S. Dinwiddie Free Throw 1 of 3 (6 PTS),[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,
156,PT01M15.00S,2024-03-28T00:34:42.9Z,1,REGULAR,freethrow,2 of 3,[],203915,,,1610612747,30,36,2024-03-28T00:34:42Z,1550000,False,,,0,,S. Dinwiddie Free Throw 2 of 3 (7 PTS),[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,
157,PT01M15.00S,2024-03-28T00:34:43.6Z,1,REGULAR,substitution,out,[],1629637,,,1610612747,30,36,2024-03-28T00:34:46Z,1560000,False,,,0,,SUB out: J. Hayes,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT01M15.00S,2024-03-28T00:34:43.6Z,1,REGULAR,substitution,in,[],1628385,,,1610612747,30,36,2024-03-28T00:34:46Z,1570000,False,,,0,,SUB in: H. Giles III,[1628385],1610612747.0,LAL,,,,Giles III,H. Giles III,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M15.00S,2024-03-28T00:34:59.0Z,1,REGULAR,freethrow,3 of 3,[],203915,,,1610612747,30,37,2024-03-28T00:34:59Z,1580000,False,,,0,,S. Dinwiddie Free Throw 3 of 3 (8 PTS),[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,
160,PT01M06.00S,2024-03-28T00:35:14.9Z,1,REGULAR,foul,technical,['1freethrow'],1628385,,,1610612763,30,37,2024-03-28T00:35:23Z,1590000,False,,,0,,H. Giles III defensive-3-second technical FOUL (1 Tech),[1628385],1610612747.0,LAL,defensive-3-second,,,Giles III,H. Giles III,,,,,1193.0,,,,,,,,,,,,,,,,,,0.0,1.0,,
161,PT01M06.00S,2024-03-28T00:35:40.0Z,1,REGULAR,freethrow,1 of 1,[],1630217,,,1610612763,31,37,2024-03-28T00:35:40Z,1600000,False,,,0,,D. Bane technical Free Throw 1 of 1 (11 PTS),[1630217],1610612763.0,MEM,technical,,,Bane,D. Bane,,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,
162,PT00M55.30S,2024-03-28T00:36:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630610,19.136005256241788,35.294117647058826,1610612763,33,37,2024-03-28T00:36:05Z,1610000,False,74.0,127.0,1,left,D. Jarreau 14' pullup Jump Shot (2 PTS),[1630610],1610612763.0,MEM,pullup,,,Jarreau,D. Jarreau,,,,,,In The Paint (Non-RA),8-16 Center,14.71,Made,,,,,,,2.0,,,,,,,,,,
163,PT00M46.40S,2024-03-28T00:36:14.4Z,1,REGULAR,turnover,bad pass,[],1627752,,,1610612747,33,37,2024-03-28T00:36:17Z,1620000,False,,,0,,T. Prince bad pass TURNOVER (1 TO),"[1627752, 1631222]",1610612747.0,LAL,,,,Prince,T. Prince,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,LaRavia,1631222.0,,,,
164,PT00M46.40S,2024-03-28T00:36:14.4Z,1,REGULAR,steal,,[],1631222,,,1610612763,33,37,2024-03-28T00:36:16Z,1630000,False,,,0,,J. LaRavia STEAL (1 STL),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
165,PT00M38.90S,2024-03-28T00:36:21.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630583,30.042706964520367,70.34313725490196,1610612763,33,37,2024-03-28T00:36:25Z,1640000,False,-102.0,230.0,1,left,MISS S. Aldama 25' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,Above the Break 3,24+ Left Center,25.14,Missed,,,,,,,,,,,,,,,,,
166,PT00M35.80S,2024-03-28T00:36:25.1Z,1,REGULAR,rebound,offensive,[],1631222,,,1610612763,33,37,2024-03-28T00:36:25Z,1650000,False,,,0,,J. LaRavia REBOUND (Off:1 Def:0),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,Above the Break 3,24+ Left Center,,,165.0,1.0,0.0,1.0,,,,,,,,,,,,,
167,PT00M31.00S,2024-03-28T00:36:29.7Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,33,37,2024-03-28T00:36:32Z,1660000,False,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 1628385]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Giles III,1628385.0,,,,
168,PT00M31.00S,2024-03-28T00:36:29.7Z,1,REGULAR,steal,,[],1628385,,,1610612747,33,37,2024-03-28T00:36:31Z,1670000,False,,,0,,H. Giles III STEAL (1 STL),[1628385],1610612747.0,LAL,,,,Giles III,H. Giles III,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,
169,PT00M22.80S,2024-03-28T00:36:38.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628385,80.1084099868594,6.127450980392156,1610612747,33,37,2024-03-28T00:36:48Z,1680000,False,-219.0,134.0,1,right,MISS H. Giles III 25' 3PT,[1628385],1610612747.0,LAL,,,,Giles III,H. Giles III,,,,,,Above the Break 3,24+ Left Center,25.73,Missed,,,,,,,,,,,,,,,,,
