actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
88,PT05M40.00S,2023-10-31T00:24:13.9Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,12,19,2023-10-31T00:24:13Z,880000,False,,,0,,L. Doncic Free Throw 2 of 2 (7 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,Made,,,,,,,,,7.0,,,,,,,,
90,PT05M31.00S,2023-10-31T00:24:27.1Z,1,REGULAR,foul,offensive,[],203935,,,1610612763,12,19,2023-10-31T00:24:34Z,900000,False,,,0,,M. Smart offensive FOUL (1 PF),"[203935, 203501]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,200833.0,Mid-Range,16-24 Left Center,,,,,,,1.0,0.0,Hardaway Jr.,203501.0,,,,,,,,,
92,PT05M31.00S,2023-10-31T00:24:27.1Z,1,REGULAR,turnover,offensive foul,[],203935,,,1610612763,12,19,2023-10-31T00:24:27Z,920000,False,,,0,,M. Smart offensive foul TURNOVER (3 TO),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,200833.0,Mid-Range,16-24 Left Center,,,,,,,,,,,,3.0,,,,,,,
93,PT05M31.00S,2023-10-31T00:24:36.4Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612742,12,19,2023-10-31T00:24:44Z,930000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,,,,,,,,,,203591.0,,,,,,,,,,,,,,,,,,,,,
95,PT05M27.00S,2023-10-31T00:24:48.7Z,1,REGULAR,foul,offensive,[],1630702,,,1610612742,12,19,2023-10-31T00:24:55Z,950000,False,,,0,,J. Hardy offensive FOUL (1 PF),"[1630702, 203935]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,203591.0,Above the Break 3,24+ Center,,,,,,,1.0,0.0,Smart,203935.0,,,,,,,,,
97,PT05M27.00S,2023-10-31T00:24:48.7Z,1,REGULAR,turnover,offensive foul,[],1630702,,,1610612742,12,19,2023-10-31T00:24:48Z,970000,False,,,0,,J. Hardy offensive foul TURNOVER (1 TO),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,203591.0,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,,,,,,,
98,PT05M18.00S,2023-10-31T00:25:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631223,5.863994743758213,48.03921568627451,1610612763,14,19,2023-10-31T00:25:13Z,980000,False,10.0,3.0,1,left,D. Roddy cutting Layup (2 PTS) (M. Smart 2 AST),"[1631223, 203935]",1610612763.0,MEM,cutting,,,Roddy,D. Roddy,,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,,,2.0,,M. Smart,203935.0,2.0,,,,
100,PT05M02.00S,2023-10-31T00:25:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630702,89.83245729303549,42.40196078431372,1610612742,14,19,2023-10-31T00:25:29Z,1000000,False,-38.0,43.0,1,right,MISS J. Hardy driving Layup,[1630702],1610612742.0,DAL,driving,,,Hardy,J. Hardy,,,,,,In The Paint (Non-RA),0-8 Center,5.75,Missed,,,,,,,,,,,,,,,,,
101,PT04M59.00S,2023-10-31T00:25:28.9Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,14,19,2023-10-31T00:25:29Z,1010000,False,,,0,,D. Roddy REBOUND (Off:0 Def:2),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,In The Paint (Non-RA),0-8 Center,,,100.0,2.0,2.0,0.0,,,,,,,,,,,,,
102,PT04M54.00S,2023-10-31T00:25:34.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631223,15.982260183968464,39.950980392156865,1610612763,16,19,2023-10-31T00:25:41Z,1020000,False,50.0,98.0,1,left,D. Roddy 10' turnaround fadeaway Jump Shot (4 PTS),[1631223],1610612763.0,MEM,turnaround fadeaway,,,Roddy,D. Roddy,,,,,,In The Paint (Non-RA),8-16 Center,10.98,Made,,,,,,,,,4.0,,,,,,,,
103,PT04M31.00S,2023-10-31T00:25:56.4Z,1,REGULAR,3pt,Jump Shot,[],203501,83.13074901445466,4.6568627450980395,1610612742,16,19,2023-10-31T00:26:02Z,1030000,False,-227.0,106.0,1,right,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,
104,PT04M30.00S,2023-10-31T00:25:57.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,16,19,2023-10-31T00:26:02Z,1040000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,Above the Break 3,24+ Left Center,,,103.0,,,,,,,,,,,,,,,,
105,PT04M30.00S,2023-10-31T00:26:01.2Z,1,REGULAR,foul,personal,[],1629723,,,1610612742,16,19,2023-10-31T00:26:06Z,1050000,False,,,0,,J. Konchar loose ball personal FOUL (1 PF),"[1629723, 1629684]",1610612763.0,MEM,loose ball,,,Konchar,J. Konchar,,,,,200833.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Williams,1629684.0,,,,,,,,,
107,PT04M30.00S,2023-10-31T00:26:08.2Z,1,REGULAR,substitution,out,[],1629684,,,1610612742,16,19,2023-10-31T00:26:10Z,1070000,False,,,0,,SUB out: G. Williams,[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M30.00S,2023-10-31T00:26:08.2Z,1,REGULAR,substitution,in,[],1630182,,,1610612742,16,19,2023-10-31T00:26:10Z,1080000,False,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M23.00S,2023-10-31T00:26:28.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630702,68.28186596583443,68.13725490196079,1610612742,16,19,2023-10-31T00:26:32Z,1090000,False,91.0,246.0,1,right,MISS J. Hardy 26' pullup 3PT,[1630702],1610612742.0,DAL,pullup,,,Hardy,J. Hardy,,,,,,Above the Break 3,24+ Right Center,26.19,Missed,,,,,,,,,,,,,,,,,
110,PT04M21.00S,2023-10-31T00:26:30.4Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,16,19,2023-10-31T00:26:32Z,1100000,False,,,0,,D. Roddy REBOUND (Off:0 Def:3),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,Above the Break 3,24+ Right Center,,,109.0,3.0,3.0,0.0,,,,,,,,,,,,,
111,PT04M09.00S,2023-10-31T00:26:43.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,6.1268068331143235,52.69607843137255,1610612763,16,19,2023-10-31T00:27:17Z,1110000,False,-13.0,5.0,1,left,MISS D. Bane driving floating bank Shot,[1630217],1610612763.0,MEM,driving floating bank,,,Bane,D. Bane,,,,,,Restricted Area,0-8 Center,1.44,Missed,,,,,,,,,,,,,,,,,
112,PT04M09.00S,2023-10-31T00:26:43.1Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,16,19,2023-10-31T00:26:47Z,1120000,False,,,0,,X. Tillman REBOUND (Off:1 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,Restricted Area,0-8 Center,,,111.0,2.0,1.0,1.0,,,,,,,,,,,,,
113,PT04M09.00S,2023-10-31T00:26:46.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630214,5.590000152587891,50.0,1610612763,18,19,2023-10-31T00:26:46Z,1130000,False,0.0,0.0,1,left,X. Tillman tip Layup (2 PTS),[1630214],1610612763.0,MEM,tip,,,Tillman,X. Tillman,,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,2.0,,,,,,,,
114,PT04M09.00S,2023-10-31T00:26:49.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,18,19,2023-10-31T00:26:49Z,1140000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M52.00S,2023-10-31T00:30:01.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,87.99277266754271,45.09803921568628,1610612742,18,19,2023-10-31T00:30:05Z,1150000,False,-25.0,60.0,1,right,MISS L. Doncic 6' turnaround Shot,[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,,In The Paint (Non-RA),0-8 Center,6.52,Missed,,,,,,,,,,,,,,,,,
116,PT03M50.00S,2023-10-31T00:30:03.3Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,18,19,2023-10-31T00:30:05Z,1160000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,In The Paint (Non-RA),0-8 Center,,,115.0,1.0,1.0,0.0,,,,,,,,,,,,,
117,PT03M37.00S,2023-10-31T00:30:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630214,6.1268068331143235,51.9607843137255,1610612763,18,19,2023-10-31T00:30:20Z,1170000,False,-10.0,5.0,1,left,MISS X. Tillman driving reverse Layup,[1630214],1610612763.0,MEM,driving reverse,,,Tillman,X. Tillman,,,,,,Restricted Area,0-8 Center,1.1,Missed,,,,,,,,,,,,,,,,,
118,PT03M34.00S,2023-10-31T00:30:19.9Z,1,REGULAR,rebound,offensive,[],203935,,,1610612763,18,19,2023-10-31T00:30:20Z,1180000,False,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Restricted Area,0-8 Center,,,117.0,2.0,1.0,1.0,,,,,,,,,,,,,
119,PT03M34.00S,2023-10-31T00:30:19.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203935,5.590000152587891,50.0,1610612763,20,19,2023-10-31T00:30:19Z,1190000,False,0.0,0.0,1,left,M. Smart tip Layup (5 PTS),[203935],1610612763.0,MEM,tip,,,Smart,M. Smart,,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,5.0,,,,,,,,
120,PT03M20.00S,2023-10-31T00:30:34.1Z,1,REGULAR,3pt,Jump Shot,[],1630702,69.85873850197109,29.65686274509804,1610612742,20,22,2023-10-31T00:30:38Z,1200000,False,-102.0,231.0,1,right,J. Hardy 25' 3PT  (3 PTS) (J. Green 2 AST),"[1630702, 1630182]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,Above the Break 3,24+ Left Center,25.22,Made,,,,,,,,,3.0,,J. Green,1630182.0,2.0,,,,
122,PT02M59.00S,2023-10-31T00:30:55.0Z,1,REGULAR,3pt,Jump Shot,[],1629723,27.808804204993432,19.607843137254903,1610612763,23,22,2023-10-31T00:30:58Z,1220000,False,152.0,209.0,1,left,J. Konchar 25' 3PT  (3 PTS) (M. Smart 3 AST),"[1629723, 203935]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,Above the Break 3,24+ Right Center,25.83,Made,,,,,,,,,3.0,,M. Smart,203935.0,3.0,,,,
124,PT02M49.00S,2023-10-31T00:31:05.0Z,1,REGULAR,3pt,Jump Shot,[],203501,70.77858081471747,77.20588235294117,1610612742,23,25,2023-10-31T00:31:08Z,1240000,False,136.0,222.0,1,right,T. Hardaway Jr. 26' 3PT step back (3 PTS),[203501],1610612742.0,DAL,step back,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Above the Break 3,24+ Right Center,26.05,Made,,,,,,,,,3.0,,,,,,,,
125,PT02M35.00S,2023-10-31T00:31:19.4Z,1,REGULAR,3pt,Jump Shot,[],203935,7.5722733245729295,3.6764705882352944,1610612763,26,25,2023-10-31T00:31:22Z,1250000,False,232.0,19.0,1,left,M. Smart 3PT  (8 PTS) (D. Roddy 1 AST),"[203935, 1631223]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Right Corner 3,24+ Right,23.24,Made,,,,,,,,,8.0,,D. Roddy,1631223.0,1.0,,,,
127,PT02M17.00S,2023-10-31T00:31:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630702,92.9862023653088,96.32352941176471,1610612742,26,28,2023-10-31T00:31:39Z,1270000,False,232.0,13.0,1,right,J. Hardy 3PT  (6 PTS) (M. Kleber 1 AST),"[1630702, 1628467]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,Right Corner 3,24+ Right,23.2,Made,,,,,,,,,6.0,,M. Kleber,1628467.0,1.0,,,,
129,PT02M00.00S,2023-10-31T00:31:53.2Z,1,REGULAR,3pt,Jump Shot,[],203935,29.77989487516426,70.58823529411765,1610612763,26,28,2023-10-31T00:31:56Z,1290000,False,-103.0,227.0,1,left,MISS M. Smart 24' pullup 3PT,[203935],1610612763.0,MEM,pullup,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Left Center,24.96,Missed,,,,,,,,,,,,,,,,,
130,PT01M58.00S,2023-10-31T00:31:55.2Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,26,28,2023-10-31T00:31:56Z,1300000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Above the Break 3,24+ Left Center,,,129.0,1.0,1.0,0.0,,,,,,,,,,,,,
131,PT01M54.00S,2023-10-31T00:31:59.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630702,70.25295663600527,75.49019607843137,1610612742,26,28,2023-10-31T00:32:04Z,1310000,False,127.0,227.0,1,right,MISS J. Hardy 26' running 3PT,[1630702],1610612742.0,DAL,running,,,Hardy,J. Hardy,,,,,,Above the Break 3,24+ Right Center,26.04,Missed,,,,,,,,,,,,,,,,,
132,PT01M52.00S,2023-10-31T00:32:01.8Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,26,28,2023-10-31T00:32:04Z,1320000,False,,,0,,X. Tillman REBOUND (Off:1 Def:2),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,Above the Break 3,24+ Right Center,,,131.0,3.0,2.0,1.0,,,,,,,,,,,,,
133,PT01M46.00S,2023-10-31T00:32:08.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,31.09395532194481,33.088235294117645,1610612763,29,28,2023-10-31T00:32:12Z,1330000,False,85.0,240.0,1,left,D. Bane 25' 3PT running pullup (8 PTS),[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Right Center,25.43,Made,,,,,,,,,8.0,,,,,,,,
134,PT01M28.00S,2023-10-31T00:32:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630702,84.31340341655716,59.55882352941176,1610612742,29,28,2023-10-31T00:32:27Z,1340000,False,48.0,95.0,1,right,MISS J. Hardy 10' driving floating Shot,[1630702],1610612742.0,DAL,driving floating,,,Hardy,J. Hardy,,,,,,In The Paint (Non-RA),8-16 Center,10.63,Missed,,,,,,,,,,,,,,,,,
135,PT01M26.00S,2023-10-31T00:32:27.2Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,29,28,2023-10-31T00:32:27Z,1350000,False,,,0,,X. Tillman REBOUND (Off:1 Def:3),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,In The Paint (Non-RA),8-16 Center,,,134.0,4.0,3.0,1.0,,,,,,,,,,,,,
136,PT01M14.00S,2023-10-31T00:32:40.1Z,1,REGULAR,3pt,Jump Shot,[],203935,14.14257555847569,3.9215686274509802,1610612763,29,28,2023-10-31T00:32:44Z,1360000,False,230.0,80.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Right Corner 3,24+ Right,24.4,Missed,,,,,,,,,,,,,,,,,
137,PT01M11.00S,2023-10-31T00:32:43.1Z,1,REGULAR,rebound,offensive,[],1631223,,,1610612763,29,28,2023-10-31T00:32:44Z,1370000,False,,,0,,D. Roddy REBOUND (Off:1 Def:3),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,Right Corner 3,24+ Right,,,136.0,4.0,3.0,1.0,,,,,,,,,,,,,
138,PT01M11.00S,2023-10-31T00:32:43.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631223,6.521024967148489,51.225490196078425,1610612763,31,28,2023-10-31T00:32:45Z,1380000,False,-6.0,9.0,1,left,D. Roddy putback Layup (6 PTS),[1631223],1610612763.0,MEM,putback,,,Roddy,D. Roddy,,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,,,6.0,,,,,,,,
139,PT00M56.90S,2023-10-31T00:32:59.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,92.72339027595268,53.431372549019606,1610612742,31,30,2023-10-31T00:33:04Z,1390000,False,17.0,16.0,1,right,T. Hardaway Jr. step back Jump Shot (5 PTS),[203501],1610612742.0,DAL,step back,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Restricted Area,0-8 Center,2.34,Made,,,,,,,,,5.0,,,,,,,,
140,PT00M40.30S,2023-10-31T00:33:18.6Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612763,31,30,2023-10-31T00:33:21Z,1400000,False,,,0,,M. Smart bad pass TURNOVER (4 TO),"[203935, 1628467]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,4.0,,,,,,Kleber,1628467.0
141,PT00M40.30S,2023-10-31T00:33:18.6Z,1,REGULAR,steal,,[],1628467,,,1610612742,31,30,2023-10-31T00:33:20Z,1410000,False,,,0,,M. Kleber STEAL (1 STL),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,
142,PT00M27.10S,2023-10-31T00:33:31.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,68.54467805519053,71.81372549019608,1610612742,31,30,2023-10-31T00:33:36Z,1420000,False,109.0,243.0,1,right,MISS L. Doncic 26' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Right Center,26.66,Missed,,,,,,,,,,,,,,,,,
143,PT00M24.10S,2023-10-31T00:33:34.8Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,31,30,2023-10-31T00:33:36Z,1430000,False,,,0,,X. Tillman REBOUND (Off:1 Def:4),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,Above the Break 3,24+ Right Center,,,142.0,5.0,4.0,1.0,,,,,,,,,,,,,
144,PT00M04.80S,2023-10-31T00:33:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,6.389618922470433,51.225490196078425,1610612763,33,30,2023-10-31T00:33:59Z,1440000,False,-6.0,8.0,1,left,D. Bane driving finger roll Layup (10 PTS),[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,,,,,10.0,,,,,,,,
145,PT00M01.80S,2023-10-31T00:33:58.5Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,33,30,2023-10-31T00:34:04Z,1450000,False,,,0,,L. Doncic lost ball TURNOVER (1 TO),"[1629029, 203935]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,,,,Smart,203935.0
146,PT00M01.80S,2023-10-31T00:33:58.5Z,1,REGULAR,steal,,[],203935,,,1610612763,33,30,2023-10-31T00:34:00Z,1460000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
147,PT00M00.00S,2023-10-31T00:34:02.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,15.325229960578188,4.166666666666666,1610612763,36,30,2023-10-31T00:34:45Z,1470000,False,229.0,92.0,1,left,D. Bane 24' 3PT  (13 PTS) (M. Smart 4 AST),"[1630217, 203935]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Right,24.68,Made,,,,,,,,,13.0,,M. Smart,203935.0,4.0,,,,
150,PT00M00.00S,2023-10-31T00:34:19.2Z,1,REGULAR,period,end,[],0,,,1610612742,36,30,2023-10-31T00:34:19Z,1500000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,out,['startperiod'],1630214,,,1610612742,36,30,2023-10-31T00:36:37Z,1510000,False,,,0,,SUB out: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,out,['startperiod'],1631223,,,1610612742,36,30,2023-10-31T00:36:37Z,1520000,False,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,out,['startperiod'],1630217,,,1610612742,36,30,2023-10-31T00:36:37Z,1530000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612742,36,30,2023-10-31T00:36:37Z,1540000,False,,,0,,SUB out: M. Smart,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,out,['startperiod'],1630702,,,1610612742,36,30,2023-10-31T00:36:37Z,1550000,False,,,0,,SUB out: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,out,['startperiod'],1629029,,,1610612742,36,30,2023-10-31T00:36:37Z,1560000,False,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,out,['startperiod'],1630182,,,1610612742,36,30,2023-10-31T00:36:37Z,1570000,False,,,0,,SUB out: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,in,['startperiod'],1631222,,,1610612742,36,30,2023-10-31T00:36:37Z,1580000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,in,['startperiod'],201565,,,1610612742,36,30,2023-10-31T00:36:37Z,1590000,False,,,0,,SUB in: D. Rose,[201565],1610612763.0,MEM,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,in,['startperiod'],1628991,,,1610612742,36,30,2023-10-31T00:36:37Z,1600000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,in,['startperiod'],1630533,,,1610612742,36,30,2023-10-31T00:36:37Z,1610000,False,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,in,['startperiod'],203552,,,1610612742,36,30,2023-10-31T00:36:37Z,1620000,False,,,0,,SUB in: S. Curry,[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,in,['startperiod'],1627884,,,1610612742,36,30,2023-10-31T00:36:37Z,1630000,False,,,0,,SUB in: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2023-10-31T00:36:23.7Z,2,REGULAR,substitution,in,['startperiod'],203957,,,1610612742,36,30,2023-10-31T00:36:37Z,1640000,False,,,0,,SUB in: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2023-10-31T00:36:55.1Z,2,REGULAR,period,start,[],0,,,1610612742,36,30,2023-10-31T00:36:55Z,1650000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M45.00S,2023-10-31T00:37:13.4Z,2,REGULAR,foul,offensive,[],1628467,,,1610612742,36,30,2023-10-31T00:37:17Z,1660000,False,,,0,,M. Kleber offensive FOUL (1 PF),"[1628467, 1630533]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,203591.0,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,0.0,Williams,1630533.0,,,,,,,,,
168,PT11M45.00S,2023-10-31T00:37:13.4Z,2,REGULAR,turnover,offensive foul,[],1628467,,,1610612742,36,30,2023-10-31T00:37:13Z,1680000,False,,,0,,M. Kleber offensive foul TURNOVER (1 TO),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,203591.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,,,,,
169,PT11M39.00S,2023-10-31T00:37:29.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628991,9.411957950065702,44.36274509803921,1610612763,38,30,2023-10-31T00:37:34Z,1690000,False,28.0,36.0,1,left,J. Jackson Jr. driving floating bank Jump Shot (6 PTS),[1628991],1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,,In The Paint (Non-RA),0-8 Center,4.57,Made,,,,,,,,,6.0,,,,,,,,
170,PT11M20.00S,2023-10-31T00:37:48.5Z,2,REGULAR,3pt,Jump Shot,[],203501,71.96123521681997,79.65686274509804,1610612742,38,30,2023-10-31T00:37:52Z,1700000,False,148.0,211.0,1,right,MISS T. Hardaway Jr. 25' pullup 3PT,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Above the Break 3,24+ Right Center,25.8,Missed,,,,,,,,,,,,,,,,,
