actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
83,PT04M42.00S,2023-12-31T00:26:10.7Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,17,21,2023-12-31T00:26:23Z,820000,False,,,0,,T. Haliburton bad pass TURNOVER (2 TO),"[1630169, 1628978]",1610612754.0,IND,,Haliburton,T. Haliburton,,Above the Break 3,24+ Center,,,,,,,,,,,2.0,DiVincenzo,1628978.0,,,,,,,,,,,,
84,PT04M42.00S,2023-12-31T00:26:10.7Z,1,REGULAR,steal,,[],1628978,,,1610612752,17,21,2023-12-31T00:26:12Z,830000,False,,,0,,D. DiVincenzo STEAL (2 STL),[1628978],1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M39.00S,2023-12-31T00:26:14.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628978,6.1268068331143235,49.50980392156863,1610612752,17,23,2023-12-31T00:26:32Z,840000,False,2.0,5.0,1,left,D. DiVincenzo running finger roll Layup (8 PTS) (J. Brunson 1 AST),"[1628978, 1628973]",1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,running finger roll,Restricted Area,0-8 Center,0.57,Made,,,,,8.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,,
87,PT04M21.00S,2023-12-31T00:26:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,93.64323258869908,50.49019607843137,1610612754,19,23,2023-12-31T00:26:38Z,860000,False,2.0,7.0,1,right,M. Turner cutting finger roll Layup (9 PTS) (T. Haliburton 3 AST),"[1626167, 1630169]",1610612754.0,IND,,Turner,M. Turner,cutting finger roll,Restricted Area,0-8 Center,0.77,Made,,,,,9.0,T. Haliburton,1630169.0,3.0,,,,,,,,,,,,,,,
89,PT04M08.00S,2023-12-31T00:26:45.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628392,6.915243101182654,43.38235294117647,1610612752,19,23,2023-12-31T00:26:52Z,880000,False,33.0,13.0,1,left,MISS I. Hartenstein turnaround Hook,[1628392],1610612752.0,NYK,,Hartenstein,I. Hartenstein,turnaround,Restricted Area,0-8 Center,3.54,Missed,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M07.00S,2023-12-31T00:26:46.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,19,23,2023-12-31T00:26:52Z,890000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,Restricted Area,0-8 Center,,,89.0,,,,,,,,,,,,,,,,,,,,,,
91,PT04M07.00S,2023-12-31T00:26:50.8Z,1,REGULAR,foul,personal,[],1628392,,,1610612754,19,23,2023-12-31T00:27:22Z,900000,False,,,0,,I. Hartenstein loose ball personal FOUL (2 PF),"[1628392, 1626167]",1610612752.0,NYK,1628172.0,Hartenstein,I. Hartenstein,loose ball,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2.0,0.0,Turner,1626167.0,,,,,,
93,PT04M07.00S,2023-12-31T00:26:55.7Z,1,REGULAR,substitution,out,[],203944,,,1610612754,19,23,2023-12-31T00:27:04Z,920000,False,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M07.00S,2023-12-31T00:26:55.7Z,1,REGULAR,substitution,out,[],1628392,,,1610612754,19,23,2023-12-31T00:27:04Z,930000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612752.0,NYK,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M07.00S,2023-12-31T00:26:55.7Z,1,REGULAR,substitution,in,[],203095,,,1610612754,19,23,2023-12-31T00:27:04Z,940000,False,,,0,,SUB in: E. Fournier,[203095],1610612752.0,NYK,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M07.00S,2023-12-31T00:26:55.7Z,1,REGULAR,substitution,in,[],201959,,,1610612754,19,23,2023-12-31T00:27:04Z,950000,False,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M58.00S,2023-12-31T00:27:17.2Z,1,REGULAR,3pt,Jump Shot,[],1631097,92.85479632063075,95.83333333333334,1610612754,22,23,2023-12-31T00:27:26Z,960000,False,229.0,15.0,1,right,B. Mathurin 3PT  (3 PTS) (T. Haliburton 4 AST),"[1631097, 1630169]",1610612754.0,IND,,Mathurin,B. Mathurin,,Right Corner 3,24+ Right,22.97,Made,,,,,3.0,T. Haliburton,1630169.0,4.0,,,,,,,,,,,,,,,
99,PT03M43.00S,2023-12-31T00:27:32.9Z,1,REGULAR,foul,personal,[],1629614,,,1610612752,22,23,2023-12-31T00:28:06Z,980000,False,,,0,,A. Nembhard personal FOUL (1 PF),"[1629614, 1628973]",1610612754.0,IND,203592.0,Nembhard,A. Nembhard,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,1.0,0.0,Brunson,1628973.0,,,,,,
101,PT03M36.00S,2023-12-31T00:28:00.7Z,1,REGULAR,2pt,Jump Shot,[],1628973,26.62614980289093,62.745098039215684,1610612752,22,25,2023-12-31T00:28:11Z,1000000,False,-64.0,198.0,1,left,J. Brunson 20' step back Jump Shot (7 PTS),[1628973],1610612752.0,NYK,,Brunson,J. Brunson,step back,Mid-Range,16-24 Left Center,20.78,Made,,,,,7.0,,,,,,,,,,,,,,,,,,
102,PT03M24.00S,2023-12-31T00:28:12.2Z,1,REGULAR,3pt,Jump Shot,[],1631097,78.66294349540078,10.049019607843137,1610612754,25,25,2023-12-31T00:28:16Z,1010000,False,-200.0,148.0,1,right,B. Mathurin 24' 3PT  (6 PTS) (T. Haliburton 5 AST),"[1631097, 1630169]",1610612754.0,IND,,Mathurin,B. Mathurin,,Above the Break 3,24+ Left Center,24.87,Made,,,,,6.0,T. Haliburton,1630169.0,5.0,,,,,,,,,,,,,,,
104,PT03M07.00S,2023-12-31T00:28:28.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,6.783837056504599,45.588235294117645,1610612752,25,25,2023-12-31T00:28:32Z,1030000,False,22.0,11.0,1,left,MISS J. Brunson Layup,[1628973],1610612752.0,NYK,,Brunson,J. Brunson,,Restricted Area,0-8 Center,2.48,Missed,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M05.00S,2023-12-31T00:28:30.8Z,1,REGULAR,rebound,offensive,[],201959,,,1610612752,25,25,2023-12-31T00:28:32Z,1040000,False,,,0,,T. Gibson REBOUND (Off:1 Def:0),[201959],1610612752.0,NYK,,Gibson,T. Gibson,,Restricted Area,0-8 Center,,,104.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
106,PT03M05.00S,2023-12-31T00:28:31.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201959,5.590000152587891,50.0,1610612752,25,27,2023-12-31T00:28:31Z,1050000,False,0.0,0.0,1,left,T. Gibson tip Layup (2 PTS),[201959],1610612752.0,NYK,,Gibson,T. Gibson,tip,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,,,,,,
107,PT02M41.00S,2023-12-31T00:28:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,91.5407358738502,57.59803921568627,1610612754,25,27,2023-12-31T00:28:58Z,1060000,False,38.0,27.0,1,right,MISS M. Turner Layup,[1626167],1610612754.0,IND,,Turner,M. Turner,,In The Paint (Non-RA),0-8 Center,4.66,Missed,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M39.00S,2023-12-31T00:28:57.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,25,27,2023-12-31T00:28:57Z,1070000,False,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612752.0,NYK,,Hart,J. Hart,,In The Paint (Non-RA),0-8 Center,,,107.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
109,PT02M33.00S,2023-12-31T00:29:04.0Z,1,REGULAR,3pt,Jump Shot,[],203095,32.013797634691194,34.80392156862745,1610612752,25,27,2023-12-31T00:29:13Z,1080000,False,76.0,248.0,1,left,MISS E. Fournier 25' fadeaway 3PT,[203095],1610612752.0,NYK,,Fournier,E. Fournier,fadeaway,Above the Break 3,24+ Center,25.98,Missed,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M28.00S,2023-12-31T00:29:09.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,25,27,2023-12-31T00:29:13Z,1090000,False,,,0,,M. Turner REBOUND (Off:1 Def:3),[1626167],1610612754.0,IND,,Turner,M. Turner,,Above the Break 3,24+ Center,,,109.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
111,PT02M23.00S,2023-12-31T00:29:13.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,66.17936925098554,56.372549019607845,1610612754,25,27,2023-12-31T00:41:56Z,1100000,False,32.0,265.0,1,right,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,Turner,M. Turner,,Above the Break 3,24+ Center,26.73,Missed,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M19.00S,2023-12-31T00:29:17.0Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,25,27,2023-12-31T00:29:23Z,1110000,False,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,Fournier,E. Fournier,,Above the Break 3,24+ Center,,,111.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
113,PT02M01.00S,2023-12-31T00:29:34.8Z,1,REGULAR,3pt,Jump Shot,[],203095,29.911300919842315,25.245098039215684,1610612752,25,27,2023-12-31T00:29:40Z,1120000,False,124.0,229.0,1,left,MISS E. Fournier 26' 3PT,[203095],1610612752.0,NYK,,Fournier,E. Fournier,,Above the Break 3,24+ Right Center,26.01,Missed,,,,,,,,,,,,,,,,,,,,,,,
114,PT01M56.00S,2023-12-31T00:29:39.8Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,25,27,2023-12-31T00:29:40Z,1130000,False,,,0,,J. Hart REBOUND (Off:1 Def:3),[1628404],1610612752.0,NYK,,Hart,J. Hart,,Above the Break 3,24+ Right Center,,,113.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
115,PT01M54.00S,2023-12-31T00:29:41.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201959,22.815374507227332,46.07843137254902,1610612752,25,27,2023-12-31T00:29:47Z,1140000,False,20.0,162.0,1,left,MISS T. Gibson 16' Jump Shot,[201959],1610612752.0,NYK,,Gibson,T. Gibson,,Mid-Range,16-24 Center,16.32,Missed,,,,,,,,,,,,,,,,,,,,,,,
116,PT01M52.00S,2023-12-31T00:29:43.4Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,25,27,2023-12-31T00:29:47Z,1150000,False,,,0,,J. Hart REBOUND (Off:2 Def:3),[1628404],1610612752.0,NYK,,Hart,J. Hart,,Mid-Range,16-24 Center,,,115.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
117,PT01M45.00S,2023-12-31T00:29:50.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628978,12.171484888304862,50.98039215686274,1610612752,25,27,2023-12-31T00:29:58Z,1160000,False,-5.0,62.0,1,left,MISS D. DiVincenzo 6' floating Shot,[1628978],1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,floating,In The Paint (Non-RA),0-8 Center,6.21,Missed,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M40.00S,2023-12-31T00:29:55.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,25,27,2023-12-31T00:29:58Z,1170000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,Hield,B. Hield,,In The Paint (Non-RA),0-8 Center,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
119,PT01M35.00S,2023-12-31T00:30:00.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630169,91.5407358738502,54.90196078431373,1610612754,25,27,2023-12-31T00:30:08Z,1180000,False,25.0,27.0,1,right,MISS T. Haliburton running Layup,[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,running,Restricted Area,0-8 Center,3.65,Missed,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M33.00S,2023-12-31T00:30:02.3Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,25,27,2023-12-31T00:30:08Z,1190000,False,,,0,,J. Hart REBOUND (Off:2 Def:4),[1628404],1610612752.0,NYK,,Hart,J. Hart,,Restricted Area,0-8 Center,,,119.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
121,PT01M25.00S,2023-12-31T00:30:10.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,10.988830486202366,45.588235294117645,1610612752,25,27,2023-12-31T00:30:16Z,1200000,False,22.0,51.0,1,left,MISS J. Hart floating Shot,[1628404],1610612752.0,NYK,,Hart,J. Hart,floating,In The Paint (Non-RA),0-8 Center,5.54,Missed,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M21.00S,2023-12-31T00:30:14.9Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,25,27,2023-12-31T00:30:16Z,1210000,False,,,0,,M. Turner REBOUND (Off:1 Def:4),[1626167],1610612754.0,IND,,Turner,M. Turner,,In The Paint (Non-RA),0-8 Center,,,121.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
123,PT01M16.00S,2023-12-31T00:30:19.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629614,92.46057818659659,48.77450980392157,1610612754,27,27,2023-12-31T00:30:26Z,1220000,False,-6.0,18.0,1,right,A. Nembhard running Layup (2 PTS) (T. Haliburton 6 AST),"[1629614, 1630169]",1610612754.0,IND,,Nembhard,A. Nembhard,running,Restricted Area,0-8 Center,1.94,Made,,,,,2.0,T. Haliburton,1630169.0,6.0,,,,,,,,,,,,,,,
125,PT01M01.00S,2023-12-31T00:30:35.2Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,27,27,2023-12-31T00:30:39Z,1240000,False,,,0,,J. Brunson bad pass TURNOVER (3 TO),"[1628973, 1630169]",1610612752.0,NYK,,Brunson,J. Brunson,,Mid-Range,8-16 Left,,,,,,,,,,,3.0,Haliburton,1630169.0,,,,,,,,,,,,
126,PT01M01.00S,2023-12-31T00:30:35.2Z,1,REGULAR,steal,,[],1630169,,,1610612754,27,27,2023-12-31T00:30:36Z,1250000,False,,,0,,T. Haliburton STEAL (2 STL),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT00M56.10S,2023-12-31T00:30:40.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629614,72.7496714848883,82.59803921568627,1610612754,30,27,2023-12-31T00:30:52Z,1270000,False,163.0,204.0,1,right,A. Nembhard 26' 3PT running (5 PTS) (T. Haliburton 7 AST),"[1629614, 1630169]",1610612754.0,IND,,Nembhard,A. Nembhard,running,Above the Break 3,24+ Right Center,26.09,Made,,,,,5.0,T. Haliburton,1630169.0,7.0,,,,,,,,,,,,,,,
130,PT00M39.90S,2023-12-31T00:31:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,8.623521681997373,52.450980392156865,1610612752,30,27,2023-12-31T00:31:11Z,1290000,False,-12.0,29.0,1,left,MISS E. Fournier driving finger roll Layup,[203095],1610612752.0,NYK,,Fournier,E. Fournier,driving finger roll,Restricted Area,0-8 Center,3.11,Missed,,,,,,,,,,,,,,,,,,,,,,,
131,PT00M37.00S,2023-12-31T00:31:09.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,30,27,2023-12-31T00:31:11Z,1300000,False,,,0,,M. Turner REBOUND (Off:1 Def:5),[1626167],1610612754.0,IND,,Turner,M. Turner,,Restricted Area,0-8 Center,,,130.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
132,PT00M34.90S,2023-12-31T00:31:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631097,93.51182654402102,54.90196078431373,1610612754,32,27,2023-12-31T00:31:20Z,1310000,False,25.0,8.0,1,right,B. Mathurin running finger roll Layup (8 PTS) (T. Haliburton 8 AST),"[1631097, 1630169]",1610612754.0,IND,,Mathurin,B. Mathurin,running finger roll,Restricted Area,0-8 Center,2.59,Made,,,,,8.0,T. Haliburton,1630169.0,8.0,,,,,,,,,,,,,,,
134,PT00M19.90S,2023-12-31T00:31:33.3Z,1,REGULAR,3pt,Jump Shot,[],1628978,10.988830486202366,97.30392156862744,1610612752,32,27,2023-12-31T00:31:38Z,1330000,False,-237.0,51.0,1,left,MISS D. DiVincenzo 24' 3PT - blocked,"[1628978, 1630169]",1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,,Left Corner 3,24+ Left,24.19,Missed,,,,,,,,,,,,Haliburton,1630169.0,,,,,,,,,,
135,PT00M19.90S,2023-12-31T00:31:33.3Z,1,REGULAR,block,,[],1630169,,,1610612752,32,27,2023-12-31T00:31:35Z,1340000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M16.50S,2023-12-31T00:31:36.7Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,32,27,2023-12-31T00:31:38Z,1350000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,Left Corner 3,24+ Left,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
137,PT00M16.00S,2023-12-31T00:31:37.4Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,32,27,2023-12-31T00:31:41Z,1360000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 203095]",1610612754.0,IND,,Nembhard,A. Nembhard,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Fournier,203095.0,,,,,,,,,,,,
138,PT00M16.00S,2023-12-31T00:31:37.4Z,1,REGULAR,steal,,[],203095,,,1610612752,32,27,2023-12-31T00:31:39Z,1370000,False,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,Fournier,E. Fournier,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT00M12.20S,2023-12-31T00:31:41.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,26.62614980289093,80.14705882352942,1610612752,32,27,2023-12-31T00:31:45Z,1380000,False,-151.0,198.0,1,left,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,Fournier,E. Fournier,,Above the Break 3,24+ Left Center,24.87,Missed,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M09.00S,2023-12-31T00:31:44.3Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,32,27,2023-12-31T00:31:45Z,1390000,False,,,0,,J. Hart REBOUND (Off:3 Def:4),[1628404],1610612752.0,NYK,,Hart,J. Hart,,Above the Break 3,24+ Left Center,,,139.0,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,
141,PT00M06.10S,2023-12-31T00:31:48.1Z,1,REGULAR,foul,personal,[],1627741,,,1610612752,32,27,2023-12-31T00:31:56Z,1400000,False,,,0,,B. Hield take personal FOUL (1 PF),"[1627741, 1628973]",1610612754.0,IND,1628172.0,Hield,B. Hield,take,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,0.0,Brunson,1628973.0,,,,,,
143,PT00M06.10S,2023-12-31T00:31:54.8Z,1,REGULAR,substitution,out,[],1630169,,,1610612752,32,27,2023-12-31T00:32:11Z,1420000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M06.10S,2023-12-31T00:31:54.8Z,1,REGULAR,substitution,out,[],1627741,,,1610612752,32,27,2023-12-31T00:32:11Z,1430000,False,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M06.10S,2023-12-31T00:31:54.8Z,1,REGULAR,substitution,out,[],1626167,,,1610612752,32,27,2023-12-31T00:32:11Z,1440000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M06.10S,2023-12-31T00:31:54.8Z,1,REGULAR,substitution,out,[],1628978,,,1610612752,32,27,2023-12-31T00:32:11Z,1450000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M06.10S,2023-12-31T00:31:54.8Z,1,REGULAR,substitution,in,[],1630543,,,1610612752,32,27,2023-12-31T00:32:11Z,1460000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M06.10S,2023-12-31T00:31:54.8Z,1,REGULAR,substitution,in,[],204456,,,1610612752,32,27,2023-12-31T00:32:11Z,1470000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M06.10S,2023-12-31T00:31:54.8Z,1,REGULAR,substitution,in,[],1630174,,,1610612752,32,27,2023-12-31T00:32:11Z,1480000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M06.10S,2023-12-31T00:31:54.8Z,1,REGULAR,substitution,in,[],1630540,,,1610612752,32,27,2023-12-31T00:32:11Z,1490000,False,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M06.10S,2023-12-31T00:32:14.9Z,1,REGULAR,substitution,out,[],1628404,,,1610612752,32,27,2023-12-31T00:32:18Z,1500000,False,,,0,,SUB out: J. Hart,[1628404],1610612752.0,NYK,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M06.10S,2023-12-31T00:32:14.9Z,1,REGULAR,substitution,in,[],203944,,,1610612752,32,27,2023-12-31T00:32:18Z,1510000,False,,,0,,SUB in: J. Randle,[203944],1610612752.0,NYK,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M00.00S,2023-12-31T00:32:35.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203095,20.844283837056505,92.40196078431373,1610612752,32,27,2023-12-31T00:32:39Z,1520000,False,-212.0,143.0,1,left,MISS E. Fournier 25' 3PT,[203095],1610612752.0,NYK,,Fournier,E. Fournier,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M00.00S,2023-12-31T00:32:37.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,32,27,2023-12-31T00:32:37Z,1530000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,Above the Break 3,24+ Left Center,,,153.0,,,,,,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2023-12-31T00:32:37.8Z,1,REGULAR,period,end,[],0,,,1610612752,32,27,2023-12-31T00:32:37Z,1540000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-12-31T00:34:40.2Z,2,REGULAR,substitution,out,['startperiod'],1629614,,,1610612752,32,27,2023-12-31T00:35:12Z,1550000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-12-31T00:34:40.2Z,2,REGULAR,substitution,out,['startperiod'],1630174,,,1610612752,32,27,2023-12-31T00:35:12Z,1560000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-12-31T00:34:40.2Z,2,REGULAR,substitution,out,['startperiod'],1628973,,,1610612752,32,27,2023-12-31T00:35:12Z,1570000,False,,,0,,SUB out: J. Brunson,[1628973],1610612752.0,NYK,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-12-31T00:34:40.2Z,2,REGULAR,substitution,in,['startperiod'],1630167,,,1610612752,32,27,2023-12-31T00:35:12Z,1580000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-12-31T00:34:40.2Z,2,REGULAR,substitution,in,['startperiod'],1627741,,,1610612752,32,27,2023-12-31T00:35:12Z,1590000,False,,,0,,SUB in: B. Hield,[1627741],1610612754.0,IND,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-12-31T00:34:40.2Z,2,REGULAR,substitution,in,['startperiod'],1628404,,,1610612752,32,27,2023-12-31T00:35:12Z,1600000,False,,,0,,SUB in: J. Hart,[1628404],1610612752.0,NYK,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-12-31T00:35:24.6Z,2,REGULAR,period,start,[],0,,,1610612754,32,27,2023-12-31T00:35:24Z,1610000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M39.00S,2023-12-31T00:36:26.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,94.1688567674113,64.70588235294117,1610612754,34,27,2023-12-31T00:36:42Z,1630000,False,74.0,2.0,1,right,T. McConnell 7' fadeaway Jump Shot (2 PTS),[204456],1610612754.0,IND,,McConnell,T. McConnell,fadeaway,In The Paint (Non-RA),0-8 Center,7.35,Made,,,,,2.0,,,,,,,,,,,,,,,,,,
166,PT11M14.00S,2023-12-31T00:36:50.8Z,2,REGULAR,2pt,Jump Shot,[],203944,7.178055190538765,19.852941176470587,1610612752,34,27,2023-12-31T00:36:55Z,1640000,False,151.0,15.0,1,left,MISS J. Randle 15' step back Shot,[203944],1610612752.0,NYK,,Randle,J. Randle,step back,Mid-Range,8-16 Right,15.14,Missed,,,,,,,,,,,,,,,,,,,,,,,
