actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
52,PT07M36.00S,2023-11-19T22:19:02.7Z,1,REGULAR,substitution,out,[],1631097,,,1610612753,5,13,2023-11-19T22:19:20Z,520000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M36.00S,2023-11-19T22:19:02.7Z,1,REGULAR,substitution,out,[],1628971,,,1610612753,5,13,2023-11-19T22:19:20Z,530000,False,,,0,,SUB out: B. Brown,[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M36.00S,2023-11-19T22:19:02.7Z,1,REGULAR,substitution,out,[],1630167,,,1610612753,5,13,2023-11-19T22:19:20Z,540000,False,,,0,,SUB out: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M36.00S,2023-11-19T22:19:02.7Z,1,REGULAR,substitution,in,[],1627741,,,1610612753,5,13,2023-11-19T22:19:20Z,550000,False,,,0,,SUB in: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M36.00S,2023-11-19T22:19:02.7Z,1,REGULAR,substitution,in,[],204456,,,1610612753,5,13,2023-11-19T22:19:20Z,560000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M36.00S,2023-11-19T22:19:02.7Z,1,REGULAR,substitution,in,[],1630174,,,1610612753,5,13,2023-11-19T22:19:20Z,570000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M36.00S,2023-11-19T22:19:37.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641710,,,1610612753,5,14,2023-11-19T22:19:37Z,580000,False,,,0,,A. Black Free Throw 2 of 2 (3 PTS),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
59,PT07M18.00S,2023-11-19T22:19:57.1Z,1,REGULAR,3pt,Jump Shot,[],1627741,89.43823915900131,4.901960784313726,1610612754,8,14,2023-11-19T22:20:01Z,590000,False,-225.0,47.0,1,right,B. Hield 3PT  (3 PTS) (T. McConnell 1 AST),"[1627741, 204456]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Left Corner 3,24+ Left,23.03,Made,,,,,,,3.0,,,,,T. McConnell,204456.0,1.0,,,,
61,PT07M09.00S,2023-11-19T22:20:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,5.863994743758213,57.59803921568627,1610612753,8,16,2023-11-19T22:20:14Z,610000,False,-38.0,3.0,1,left,J. Suggs driving Layup (9 PTS),[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,3.81,Made,,,,,,,9.0,,,,,,,,,,,
62,PT06M56.00S,2023-11-19T22:20:18.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,94.03745072273325,51.470588235294116,1610612754,8,16,2023-11-19T22:20:26Z,620000,False,7.0,4.0,1,right,MISS T. Haliburton driving Layup - blocked,"[1630169, 1629048]",1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,0.82,Missed,,,,,,,,,,Bitadze,1629048.0,,,,,,,
