actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
84,PT05M42.00S,2024-02-29T00:56:48.6Z,1,REGULAR,foul,personal,[],1626204,,,1610612754,17,12,2024-02-29T00:56:53Z,840000,False,,,0,,L. Nance Jr. personal FOUL (1 PF),"[1626204, 1630188]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,101284.0,,1.0,0.0,Smith,1630188.0,,,,,
86,PT05M29.00S,2024-02-29T00:57:23.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630169,24.392247043363994,23.03921568627451,1610612754,17,12,2024-02-29T00:57:29Z,860000,False,135.0,177.0,1,left,MISS T. Haliburton 22' step back Shot,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right Center,22.23,Missed,,,,,,,,,,,,,,,,,,
87,PT05M27.00S,2024-02-29T00:57:25.7Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612740,17,12,2024-02-29T00:57:39Z,870000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Right Center,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,
88,PT05M20.00S,2024-02-29T00:57:32.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,77.4802890932983,89.95098039215686,1610612740,17,12,2024-02-29T00:57:38Z,880000,False,200.0,159.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,25.55,Missed,,,,,,,,,,,,,,,,,,
89,PT05M18.00S,2024-02-29T00:57:34.1Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,17,12,2024-02-29T00:57:38Z,890000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,88.0,2.0,2.0,0.0,,,,,,,,,,,,
90,PT04M57.00S,2024-02-29T00:57:56.8Z,1,REGULAR,foul,offensive,[],1630188,,,1610612754,17,12,2024-02-29T00:58:19Z,900000,False,,,0,,J. Smith offensive FOUL (1 PF),"[1630188, 1627742]",1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,16-24 Center,,,,,,,,,,101284.0,,1.0,0.0,Ingram,1627742.0,,,,,
92,PT04M57.00S,2024-02-29T00:57:56.8Z,1,REGULAR,turnover,offensive foul,[],1630188,,,1610612754,17,12,2024-02-29T00:57:56Z,920000,False,,,0,,J. Smith offensive foul TURNOVER (1 TO),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,16-24 Center,,,,,,,,,,101284.0,1.0,,,,,,,,,
93,PT04M57.00S,2024-02-29T00:58:06.0Z,1,REGULAR,substitution,out,[],1631097,,,1610612740,17,12,2024-02-29T00:58:16Z,930000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M57.00S,2024-02-29T00:58:06.0Z,1,REGULAR,substitution,out,[],1629614,,,1610612740,17,12,2024-02-29T00:58:16Z,940000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M57.00S,2024-02-29T00:58:06.0Z,1,REGULAR,substitution,out,[],1627783,,,1610612740,17,12,2024-02-29T00:58:16Z,950000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M57.00S,2024-02-29T00:58:06.0Z,1,REGULAR,substitution,in,[],1630167,,,1610612740,17,12,2024-02-29T00:58:16Z,960000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M57.00S,2024-02-29T00:58:06.0Z,1,REGULAR,substitution,in,[],204456,,,1610612740,17,12,2024-02-29T00:58:16Z,970000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M57.00S,2024-02-29T00:58:06.0Z,1,REGULAR,substitution,in,[],1641767,,,1610612740,17,12,2024-02-29T00:58:16Z,980000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M37.00S,2024-02-29T00:58:43.6Z,1,REGULAR,foul,personal,['2freethrow'],1641767,,,1610612740,17,12,2024-02-29T00:58:54Z,990000,False,,,0,,B. Sheppard shooting personal FOUL (1 PF) (Ingram 2 FT),"[1641767, 1627742]",1610612754.0,IND,shooting,,,Sheppard,B. Sheppard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628480.0,,1.0,0.0,Ingram,1627742.0,,,,,
102,PT04M37.00S,2024-02-29T00:59:16.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627742,,,1610612740,17,13,2024-02-29T00:59:16Z,1010000,False,,,0,,B. Ingram Free Throw 1 of 2 (8 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
103,PT04M37.00S,2024-02-29T00:59:16.8Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,17,13,2024-02-29T00:59:21Z,1020000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M37.00S,2024-02-29T00:59:16.8Z,1,REGULAR,substitution,in,[],203468,,,1610612740,17,13,2024-02-29T00:59:21Z,1030000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M37.00S,2024-02-29T00:59:43.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627742,,,1610612740,17,14,2024-02-29T00:59:43Z,1040000,False,,,0,,B. Ingram Free Throw 2 of 2 (9 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
106,PT04M24.00S,2024-02-29T00:59:57.9Z,1,REGULAR,3pt,Jump Shot,[],1641767,7.178055190538765,4.166666666666666,1610612754,20,14,2024-02-29T01:00:44Z,1050000,False,229.0,15.0,1,left,B. Sheppard 3PT  (3 PTS) (T. McConnell 1 AST),"[1641767, 204456]",1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Right Corner 3,24+ Right,22.97,Made,,,,,,,3.0,,,,,,,T. McConnell,204456.0,1.0,,
108,PT04M24.00S,2024-02-29T01:00:02.6Z,1,REGULAR,foul,personal,['1freethrow'],203468,,,1610612754,20,14,2024-02-29T01:00:29Z,1070000,False,,,0,,C. McCollum loose ball personal FOUL (1 PF) (Smith 1 FT),"[203468, 1630188]",1610612740.0,NOP,loose ball,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,,,,,,,,,,1628480.0,,1.0,0.0,Smith,1630188.0,,,,,
111,PT04M24.00S,2024-02-29T01:00:37.2Z,1,REGULAR,freethrow,1 of 1,[],1630188,,,1610612754,21,14,2024-02-29T01:00:37Z,1100000,False,,,0,,J. Smith Free Throw 1 of 1 (3 PTS),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
112,PT04M08.00S,2024-02-29T01:00:54.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626204,88.38699080157687,52.94117647058824,1610612740,21,16,2024-02-29T01:00:58Z,1110000,False,15.0,57.0,1,right,L. Nance Jr. Hook (4 PTS) (B. Ingram 1 AST),"[1626204, 1627742]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.86,Made,,,,,,,4.0,,,,,,,B. Ingram,1627742.0,1.0,,
115,PT03M55.00S,2024-02-29T01:01:06.7Z,1,REGULAR,3pt,Jump Shot,[],1630169,19.66162943495401,8.088235294117647,1610612754,24,16,2024-02-29T01:01:11Z,1140000,False,210.0,132.0,1,left,T. Haliburton 24' 3PT  (3 PTS) (T. McConnell 2 AST),"[1630169, 204456]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,24.79,Made,,,,,,,3.0,,,,,,,T. McConnell,204456.0,2.0,,
117,PT03M43.00S,2024-02-29T01:01:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,89.43823915900131,49.26470588235294,1610612740,24,16,2024-02-29T01:01:22Z,1160000,False,-4.0,47.0,1,right,MISS C. McCollum Layup - blocked,"[203468, 1641767]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,Sheppard,1641767.0,,,,,,,,,,,,,,,,
146,PT03M43.00S,2024-02-29T01:01:18.8Z,1,REGULAR,block,,[],1641767,,,1610612740,24,16,2024-02-29T01:04:09Z,1165000,False,,,0,,B. Sheppard BLOCK (1 BLK),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
118,PT03M41.00S,2024-02-29T01:01:20.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,24,16,2024-02-29T01:01:22Z,1170000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,
119,PT03M39.00S,2024-02-29T01:01:22.8Z,1,REGULAR,turnover,lost ball,[],1630188,,,1610612754,24,16,2024-02-29T01:01:26Z,1180000,False,,,0,,J. Smith lost ball TURNOVER (2 TO),"[1630188, 1630230]",1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,2.0,,,,,,,,Marshall,1630230.0
120,PT03M39.00S,2024-02-29T01:01:22.8Z,1,REGULAR,steal,,[],1630230,,,1610612740,24,16,2024-02-29T01:01:24Z,1190000,False,,,0,,N. Marshall STEAL (1 STL),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
121,PT03M35.00S,2024-02-29T01:01:27.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630530,92.59198423127464,45.09803921568628,1610612740,24,16,2024-02-29T01:01:46Z,1200000,False,-25.0,17.0,1,right,MISS T. Murphy III driving Layup - blocked,"[1630530, 1630188]",1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,2.99,Missed,Smith,1630188.0,,,,,,,,,,,,,,,,
122,PT03M35.00S,2024-02-29T01:01:27.9Z,1,REGULAR,block,,[],1630188,,,1610612740,24,16,2024-02-29T01:01:30Z,1210000,False,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
123,PT03M35.00S,2024-02-29T01:01:27.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,24,16,2024-02-29T01:01:46Z,1220000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,,121.0,,,,,,,,,,,,,,,
125,PT03M35.00S,2024-02-29T01:01:33.7Z,1,REGULAR,substitution,out,[],1627742,,,1610612740,24,16,2024-02-29T01:01:36Z,1240000,False,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M35.00S,2024-02-29T01:01:33.7Z,1,REGULAR,substitution,in,[],1629627,,,1610612740,24,16,2024-02-29T01:01:36Z,1250000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M29.00S,2024-02-29T01:01:54.5Z,1,REGULAR,foul,personal,['2freethrow'],1630188,,,1610612740,24,16,2024-02-29T01:02:01Z,1260000,False,,,0,,J. Smith shooting personal FOUL (2 PF) (Williamson 2 FT),"[1630188, 1629627]",1610612754.0,IND,shooting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628480.0,,2.0,0.0,Williamson,1629627.0,,,,,
129,PT03M29.00S,2024-02-29T01:02:27.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629627,,,1610612740,24,16,2024-02-29T01:02:52Z,1280000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
130,PT03M29.00S,2024-02-29T01:02:27.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612740,24,16,2024-02-29T01:02:52Z,1290000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,
131,PT03M29.00S,2024-02-29T01:02:28.3Z,1,REGULAR,substitution,out,[],1630188,,,1610612740,24,16,2024-02-29T01:02:30Z,1300000,False,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M29.00S,2024-02-29T01:02:28.3Z,1,REGULAR,substitution,in,[],1626167,,,1610612740,24,16,2024-02-29T01:02:30Z,1310000,False,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M29.00S,2024-02-29T01:02:27.8Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629627,,,1610612740,24,16,2024-02-29T01:02:52Z,1320000,False,,,0,,MISS Z. Williamson Free Throw 2 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
134,PT03M27.00S,2024-02-29T01:02:29.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,24,16,2024-02-29T01:02:52Z,1330000,False,,,0,,M. Turner REBOUND (Off:0 Def:4),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,133.0,4.0,4.0,0.0,,,,,,,,,,,,
135,PT03M17.00S,2024-02-29T01:02:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630167,7.5722733245729295,55.392156862745104,1610612754,26,16,2024-02-29T01:03:09Z,1340000,False,-27.0,19.0,1,left,O. Toppin driving Layup (2 PTS) (T. McConnell 3 AST),"[1630167, 204456]",1610612754.0,IND,driving,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,3.28,Made,,,,,,,2.0,,,,,,,T. McConnell,204456.0,3.0,,
137,PT03M17.00S,2024-02-29T01:03:03.8Z,1,REGULAR,violation,defensive goaltending,[],1626204,,,1610612754,26,16,2024-02-29T01:03:09Z,1360000,False,,,0,,L. Nance Jr. defensive goaltending VIOLATION,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,101284.0,,,,,,,,,,
138,PT03M03.00S,2024-02-29T01:03:22.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,89.56964520367937,46.81372549019608,1610612740,26,16,2024-02-29T01:03:26Z,1370000,False,-16.0,46.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,4.82,Missed,,,,,,,,,,,,,,,,,,
139,PT03M01.00S,2024-02-29T01:03:24.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,26,16,2024-02-29T01:03:26Z,1380000,False,,,0,,M. Turner REBOUND (Off:0 Def:5),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,138.0,5.0,5.0,0.0,,,,,,,,,,,,
140,PT02M47.00S,2024-02-29T01:03:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,7.046649145860711,47.794117647058826,1610612754,28,16,2024-02-29T01:03:43Z,1390000,False,11.0,14.0,1,left,M. Turner cutting Layup (8 PTS) (T. McConnell 4 AST),"[1626167, 204456]",1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,,,8.0,,,,,,,T. McConnell,204456.0,4.0,,
142,PT02M36.00S,2024-02-29T01:03:49.0Z,1,REGULAR,3pt,Jump Shot,[],1630530,64.99671484888306,75.0,1610612740,28,16,2024-02-29T01:06:32Z,1410000,False,125.0,277.0,1,right,MISS T. Murphy III 30' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,30.34,Missed,,,,,,,,,,,,,,,,,,
143,PT02M35.00S,2024-02-29T01:03:50.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,28,16,2024-02-29T01:06:32Z,1420000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,142.0,,,,,,,,,,,,,,,
145,PT02M35.00S,2024-02-29T01:03:55.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,28,16,2024-02-29T01:03:55Z,1440000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT02M35.00S,2024-02-29T01:06:56.4Z,1,REGULAR,substitution,out,[],1626204,,,1610612754,28,16,2024-02-29T01:07:08Z,1450000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M35.00S,2024-02-29T01:06:56.4Z,1,REGULAR,substitution,in,[],202685,,,1610612754,28,16,2024-02-29T01:07:08Z,1460000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT02M17.00S,2024-02-29T01:07:40.3Z,1,REGULAR,3pt,Jump Shot,[],1630167,17.559132720105126,97.05882352941177,1610612754,31,16,2024-02-29T01:07:45Z,1470000,False,-235.0,113.0,1,left,O. Toppin 26' 3PT  (5 PTS) (T. Haliburton 2 AST),"[1630167, 1630169]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,26.09,Made,,,,,,,5.0,,,,,,,T. Haliburton,1630169.0,2.0,,
151,PT01M58.00S,2024-02-29T01:07:58.6Z,1,REGULAR,3pt,Jump Shot,[],203468,84.1819973718791,96.56862745098039,1610612740,31,19,2024-02-29T01:08:02Z,1490000,False,233.0,96.0,1,right,C. McCollum 25' 3PT  (6 PTS) (N. Marshall 1 AST),"[203468, 1630230]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.19,Made,,,,,,,6.0,,,,,,,N. Marshall,1630230.0,1.0,,
153,PT01M43.00S,2024-02-29T01:08:13.1Z,1,REGULAR,2pt,Jump Shot,[],1626167,23.209592641261498,45.83333333333333,1610612754,31,19,2024-02-29T01:08:18Z,1510000,False,21.0,166.0,1,left,MISS M. Turner 16' Jump Shot,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Center,16.7,Missed,,,,,,,,,,,,,,,,,,
154,PT01M41.00S,2024-02-29T01:08:15.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,31,19,2024-02-29T01:08:18Z,1520000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,,,153.0,2.0,2.0,0.0,,,,,,,,,,,,
155,PT01M26.00S,2024-02-29T01:08:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,89.70105124835742,46.07843137254902,1610612740,31,21,2024-02-29T01:09:20Z,1530000,False,-20.0,44.0,1,right,Z. Williamson Layup (2 PTS) (T. Murphy III 1 AST),"[1629627, 1630530]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,4.84,Made,,,,,,,2.0,,,,,,,T. Murphy III,1630530.0,1.0,,
157,PT01M18.00S,2024-02-29T01:08:39.7Z,1,REGULAR,3pt,Jump Shot,[],1641767,14.536793692509855,3.6764705882352944,1610612754,34,21,2024-02-29T01:08:43Z,1550000,False,232.0,84.0,1,left,B. Sheppard 24' 3PT  (6 PTS) (T. McConnell 5 AST),"[1641767, 204456]",1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Right Corner 3,24+ Right,24.64,Made,,,,,,,6.0,,,,,,,T. McConnell,204456.0,5.0,,
159,PT01M01.00S,2024-02-29T01:08:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.72339027595268,43.872549019607845,1610612740,34,21,2024-02-29T01:09:01Z,1570000,False,-31.0,16.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,3.45,Missed,,,,,,,,,,,,,,,,,,
160,PT00M58.50S,2024-02-29T01:08:59.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,34,21,2024-02-29T01:09:01Z,1580000,False,,,0,,M. Turner REBOUND (Off:0 Def:6),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,159.0,6.0,6.0,0.0,,,,,,,,,,,,
161,PT00M55.80S,2024-02-29T01:09:02.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630167,5.601182654402102,48.529411764705884,1610612754,36,21,2024-02-29T01:09:06Z,1590000,False,7.0,0.0,1,left,O. Toppin running alley-oop DUNK (7 PTS) (T. Haliburton 3 AST),"[1630167, 1630169]",1610612754.0,IND,running alley-oop,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,,,7.0,,,,,,,T. Haliburton,1630169.0,3.0,,
163,PT00M41.00S,2024-02-29T01:09:24.7Z,1,REGULAR,3pt,Jump Shot,[],1630530,87.86136662286465,4.901960784313726,1610612740,36,24,2024-02-29T01:09:29Z,1610000,False,-225.0,62.0,1,right,T. Murphy III 3PT  (3 PTS) (C. McCollum 2 AST),"[1630530, 203468]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,23.38,Made,,,,,,,3.0,,,,,,,C. McCollum,203468.0,2.0,,
166,PT00M32.00S,2024-02-29T01:09:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,7.835085413929041,44.36274509803921,1610612754,36,24,2024-02-29T01:09:50Z,1640000,False,28.0,21.0,1,left,MISS M. Turner Layup,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.52,Missed,,,,,,,,,,,,,,,,,,
167,PT00M31.00S,2024-02-29T01:09:47.6Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,36,24,2024-02-29T01:14:07Z,1650000,False,,,0,,M. Turner REBOUND (Off:1 Def:6),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,166.0,7.0,6.0,1.0,,,,,,,,,,,,
179,PT00M30.00S,2024-02-29T01:09:49.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,5.469776609724048,50.49019607843137,1610612754,36,24,2024-02-29T01:13:58Z,1655000,False,-2.0,-1.0,1,left,MISS M. Turner tip Layup,[1626167],1610612754.0,IND,tip,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,0.27,Missed,,,,,,,,,,,,,,,,,,
180,PT00M30.00S,2024-02-29T01:09:49.3Z,1,REGULAR,rebound,offensive,[],204456,,,1610612754,36,24,2024-02-29T01:13:58Z,1657500,False,,,0,,T. McConnell REBOUND (Off:1 Def:0),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,,,,,179.0,1.0,0.0,1.0,,,,,,,,,,,,
168,PT00M26.70S,2024-02-29T01:09:52.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630169,14.273981603153747,47.549019607843135,1610612754,38,24,2024-02-29T01:13:58Z,1660000,False,12.0,82.0,1,left,T. Haliburton 8' driving floating Jump Shot (5 PTS) (T. McConnell 6 AST),"[1630169, 204456]",1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Center,8.26,Made,,,,,,,5.0,,,,,,,T. McConnell,204456.0,6.0,,
170,PT00M06.20S,2024-02-29T01:10:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,92.19776609724047,56.127450980392155,1610612740,38,24,2024-02-29T01:10:23Z,1680000,False,31.0,21.0,1,right,MISS C. McCollum driving reverse Layup - blocked,"[203468, 1626167]",1610612740.0,NOP,driving reverse,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,3.7,Missed,Turner,1626167.0,,,,,,,,,,,,,,,,
171,PT00M06.20S,2024-02-29T01:10:16.6Z,1,REGULAR,block,,[],1626167,,,1610612740,38,24,2024-02-29T01:10:18Z,1690000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
172,PT00M03.60S,2024-02-29T01:10:19.2Z,1,REGULAR,rebound,defensive,[],1641767,,,1610612754,38,24,2024-02-29T01:10:19Z,1700000,False,,,0,,B. Sheppard REBOUND (Off:0 Def:1),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Restricted Area,0-8 Center,,,,,170.0,1.0,1.0,0.0,,,,,,,,,,,,
173,PT00M01.70S,2024-02-29T01:10:21.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630167,6.652431011826544,49.26470588235294,1610612754,40,24,2024-02-29T01:10:27Z,1710000,False,4.0,10.0,1,left,O. Toppin running DUNK (9 PTS),[1630167],1610612754.0,IND,running,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,9.0,,,,,,,,,,,
