actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
90,PT05M17.00S,2024-02-27T00:24:25.1Z,1,REGULAR,substitution,in,[],204456,,,1610612754,18,14,2024-02-27T00:24:34Z,880000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M12.00S,2024-02-27T00:24:50.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,6.258212877792378,45.34313725490196,1610612754,18,14,2024-02-27T00:24:54Z,890000,False,23.0,6.0,1,left,MISS P. Siakam driving Layup,[1627783],1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.41,Missed,,,,,,,,,,,,,,,,,,
92,PT05M08.00S,2024-02-27T00:24:54.0Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,18,14,2024-02-27T00:24:54Z,900000,False,,,0,,I. Quickley REBOUND (Off:0 Def:2),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,,
93,PT05M05.00S,2024-02-27T00:24:56.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,69.85873850197109,74.26470588235294,1610612761,18,17,2024-02-27T00:25:02Z,910000,False,121.0,231.0,1,right,I. Quickley 26' 3PT running pullup (5 PTS),[1630193],1610612761.0,TOR,running pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,26.07,Made,5.0,,,,,,,,,,,,,,,,,
94,PT04M48.00S,2024-02-27T00:25:13.9Z,1,REGULAR,turnover,lost ball,[],1626167,,,1610612754,18,17,2024-02-27T00:25:16Z,920000,False,,,0,,M. Turner lost ball TURNOVER (1 TO),"[1626167, 1630193]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1.0,,,,,Quickley,1630193.0
95,PT04M48.00S,2024-02-27T00:25:13.9Z,1,REGULAR,steal,,[],1630193,,,1610612761,18,17,2024-02-27T00:25:15Z,930000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
96,PT04M43.00S,2024-02-27T00:25:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628971,92.72339027595268,54.65686274509803,1610612761,18,19,2024-02-27T00:25:24Z,940000,False,23.0,16.0,1,right,B. Brown running Layup (2 PTS) (I. Quickley 1 AST),"[1628971, 1630193]",1610612761.0,TOR,running,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,2.82,Made,2.0,,,,,,,I. Quickley,1630193.0,1.0,,,,,,,,
98,PT04M30.00S,2024-02-27T00:25:31.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,8.492115637319317,97.54901960784314,1610612754,18,19,2024-02-27T00:25:38Z,960000,False,-238.0,27.0,1,left,MISS P. Siakam 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,23.93,Missed,,,,,,,,,,,,,,,,,,
99,PT04M27.00S,2024-02-27T00:25:34.0Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,18,19,2024-02-27T00:25:38Z,970000,False,,,0,,G. Trent Jr. REBOUND (Off:1 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Left Corner 3,24+ Left,,,,98.0,2.0,1.0,1.0,,,,,,,,,,,,,
100,PT04M21.00S,2024-02-27T00:25:40.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629018,78.79434954007884,23.52941176470588,1610612761,18,21,2024-02-27T00:25:47Z,980000,False,-132.0,147.0,1,right,G. Trent Jr. 19' running pullup Jump Shot (7 PTS),[1629018],1610612761.0,TOR,running pullup,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,19.77,Made,7.0,,,,,,,,,,,,,,,,,
101,PT04M09.00S,2024-02-27T00:25:54.7Z,1,REGULAR,foul,personal,['3freethrow'],1630193,,,1610612754,18,21,2024-02-27T00:26:03Z,990000,False,,,0,,I. Quickley shooting personal FOUL (1 PF) (Mathurin 3 FT),"[1630193, 1631097]",1610612761.0,TOR,shooting,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1662.0,,1.0,0.0,Mathurin,1631097.0,,
103,PT04M09.00S,2024-02-27T00:26:23.7Z,1,REGULAR,freethrow,1 of 3,[],1631097,,,1610612754,19,21,2024-02-27T00:26:23Z,1010000,False,,,0,,B. Mathurin Free Throw 1 of 3 (2 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
104,PT04M09.00S,2024-02-27T00:26:46.3Z,1,REGULAR,freethrow,2 of 3,[],1631097,,,1610612754,19,21,2024-02-27T00:26:46Z,1020000,False,,,0,,MISS B. Mathurin Free Throw 2 of 3,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
105,PT04M09.00S,2024-02-27T00:26:46.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,19,21,2024-02-27T00:26:46Z,1030000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,
106,PT04M09.00S,2024-02-27T00:26:47.1Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,19,21,2024-02-27T00:26:53Z,1040000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M09.00S,2024-02-27T00:26:47.1Z,1,REGULAR,substitution,out,[],1627783,,,1610612754,19,21,2024-02-27T00:26:53Z,1050000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M09.00S,2024-02-27T00:26:47.1Z,1,REGULAR,substitution,out,[],1627751,,,1610612754,19,21,2024-02-27T00:26:53Z,1060000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M09.00S,2024-02-27T00:26:47.1Z,1,REGULAR,substitution,in,[],1630167,,,1610612754,19,21,2024-02-27T00:26:53Z,1070000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M09.00S,2024-02-27T00:26:47.1Z,1,REGULAR,substitution,in,[],1630188,,,1610612754,19,21,2024-02-27T00:26:53Z,1080000,False,,,0,,SUB in: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M09.00S,2024-02-27T00:26:47.1Z,1,REGULAR,substitution,in,[],203482,,,1610612754,19,21,2024-02-27T00:26:53Z,1090000,False,,,0,,SUB in: K. Olynyk,[203482],1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M09.00S,2024-02-27T00:27:10.1Z,1,REGULAR,freethrow,3 of 3,[],1631097,,,1610612754,20,21,2024-02-27T00:27:10Z,1100000,False,,,0,,B. Mathurin Free Throw 3 of 3 (3 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
113,PT03M57.00S,2024-02-27T00:27:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630193,89.56964520367937,45.83333333333333,1610612761,20,21,2024-02-27T00:27:27Z,1110000,False,-21.0,46.0,1,right,MISS I. Quickley driving finger roll Layup,[1630193],1610612761.0,TOR,driving finger roll,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,5.0,Missed,,,,,,,,,,,,,,,,,,
114,PT03M54.00S,2024-02-27T00:27:27.2Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,20,21,2024-02-27T00:27:27Z,1120000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:3),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,,113.0,3.0,3.0,0.0,,,,,,,,,,,,,
115,PT03M48.00S,2024-02-27T00:27:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,6.389618922470433,54.65686274509803,1610612754,20,21,2024-02-27T00:28:38Z,1130000,False,-23.0,8.0,1,left,MISS J. Smith cutting Layup,[1630188],1610612754.0,IND,cutting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
116,PT03M44.00S,2024-02-27T00:27:37.3Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612761,20,21,2024-02-27T00:27:41Z,1140000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:1),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,,115.0,1.0,1.0,0.0,,,,,,,,,,,,,
117,PT03M42.00S,2024-02-27T00:27:39.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,94.03745072273325,96.07843137254902,1610612761,20,21,2024-02-27T00:27:44Z,1150000,False,230.0,4.0,1,right,MISS I. Quickley running 3PT,[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
118,PT03M42.00S,2024-02-27T00:27:39.1Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,20,21,2024-02-27T00:27:44Z,1160000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:4),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Right Corner 3,24+ Right,,,,117.0,4.0,4.0,0.0,,,,,,,,,,,,,
119,PT03M24.00S,2024-02-27T00:27:55.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,6.521024967148489,57.107843137254896,1610612754,22,21,2024-02-27T00:28:00Z,1170000,False,-36.0,9.0,1,left,B. Mathurin reverse Layup (5 PTS) (T. Haliburton 4 AST),"[1631097, 1630169]",1610612754.0,IND,reverse,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,3.66,Made,5.0,,,,,,,T. Haliburton,1630169.0,4.0,,,,,,,,
121,PT03M19.00S,2024-02-27T00:28:04.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,22,21,2024-02-27T00:28:04Z,1190000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M19.00S,2024-02-27T00:30:37.6Z,1,REGULAR,substitution,out,[],1630169,,,1610612761,22,21,2024-02-27T00:30:49Z,1200000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M19.00S,2024-02-27T00:30:37.6Z,1,REGULAR,substitution,out,[],1630193,,,1610612761,22,21,2024-02-27T00:30:49Z,1210000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M19.00S,2024-02-27T00:30:37.6Z,1,REGULAR,substitution,in,[],1641767,,,1610612761,22,21,2024-02-27T00:30:49Z,1220000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M19.00S,2024-02-27T00:30:37.6Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,22,21,2024-02-27T00:30:49Z,1230000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M10.00S,2024-02-27T00:31:16.3Z,1,REGULAR,3pt,Jump Shot,[],1629018,67.09921156373193,75.24509803921569,1610612761,22,21,2024-02-27T00:31:22Z,1240000,False,126.0,257.0,1,right,MISS G. Trent Jr. 28' pullup 3PT,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,28.61,Missed,,,,,,,,,,,,,,,,,,
127,PT03M06.00S,2024-02-27T00:31:20.3Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,22,21,2024-02-27T00:31:22Z,1250000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,
128,PT02M56.00S,2024-02-27T00:31:29.4Z,1,REGULAR,3pt,Jump Shot,[],1630188,28.991458607095925,22.794117647058822,1610612754,22,21,2024-02-27T00:31:34Z,1260000,False,136.0,220.0,1,left,MISS J. Smith 25' 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,25.86,Missed,,,,,,,,,,,,,,,,,,
129,PT02M52.00S,2024-02-27T00:31:33.4Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,22,21,2024-02-27T00:31:34Z,1270000,False,,,0,,G. Trent Jr. REBOUND (Off:1 Def:2),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,,,,128.0,3.0,2.0,1.0,,,,,,,,,,,,,
131,PT02M49.00S,2024-02-27T00:31:38.9Z,1,REGULAR,substitution,out,[],1629018,,,1610612761,22,21,2024-02-27T00:31:43Z,1290000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M49.00S,2024-02-27T00:31:38.9Z,1,REGULAR,substitution,in,[],1641711,,,1610612761,22,21,2024-02-27T00:31:43Z,1300000,False,,,0,,SUB in: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M49.00S,2024-02-27T00:31:54.9Z,1,REGULAR,substitution,out,[],1631097,,,1610612761,22,21,2024-02-27T00:31:58Z,1310000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M49.00S,2024-02-27T00:31:54.9Z,1,REGULAR,substitution,in,[],203926,,,1610612761,22,21,2024-02-27T00:31:58Z,1320000,False,,,0,,SUB in: D. McDermott,[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M47.00S,2024-02-27T00:32:13.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630534,91.80354796320631,46.32352941176471,1610612761,22,23,2024-02-27T00:32:21Z,1330000,False,-18.0,25.0,1,right,O. Agbaji Hook (2 PTS) (S. Barnes 2 AST),"[1630534, 1630567]",1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,3.06,Made,2.0,,,,,,,S. Barnes,1630567.0,2.0,,,,,,,,
137,PT02M28.00S,2024-02-27T00:32:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,6.521024967148489,57.107843137254896,1610612754,24,23,2024-02-27T00:33:03Z,1350000,False,-36.0,9.0,1,left,T. McConnell driving Layup (2 PTS),[204456],1610612754.0,IND,driving,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,3.66,Made,2.0,,,,,,,,,,,,,,,,,
138,PT02M16.00S,2024-02-27T00:32:44.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203482,92.46057818659659,50.49019607843137,1610612761,24,25,2024-02-27T00:33:38Z,1360000,False,2.0,18.0,1,right,K. Olynyk cutting DUNK (2 PTS) (G. Dick 1 AST),"[203482, 1641711]",1610612761.0,TOR,cutting,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,1.86,Made,2.0,,,,,,,G. Dick,1641711.0,1.0,,,,,,,,
140,PT01M57.00S,2024-02-27T00:33:03.1Z,1,REGULAR,2pt,Jump Shot,[],204456,5.206964520367937,23.03921568627451,1610612754,26,25,2024-02-27T00:33:07Z,1380000,False,135.0,-4.0,1,left,T. McConnell 13' Jump Shot (4 PTS) (J. Smith 1 AST),"[204456, 1630188]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Mid-Range,8-16 Right,13.48,Made,4.0,,,,,,,J. Smith,1630188.0,1.0,,,,,,,,
142,PT01M42.00S,2024-02-27T00:33:17.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,93.24901445466492,53.92156862745098,1610612761,26,27,2024-02-27T00:33:20Z,1400000,False,20.0,11.0,1,right,O. Agbaji cutting finger roll Layup (4 PTS) (S. Barnes 3 AST),"[1630534, 1630567]",1610612761.0,TOR,cutting finger roll,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,2.25,Made,4.0,,,,,,,S. Barnes,1630567.0,3.0,,,,,,,,
144,PT01M32.00S,2024-02-27T00:33:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630167,7.835085413929041,54.166666666666664,1610612754,26,27,2024-02-27T00:33:30Z,1420000,False,-21.0,21.0,1,left,MISS O. Toppin driving Layup - blocked,"[1630167, 1630567]",1610612754.0,IND,driving,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,2.96,Missed,,,,,,Barnes,1630567.0,,,,,,,,,,,
145,PT01M32.00S,2024-02-27T00:33:27.5Z,1,REGULAR,block,,[],1630567,,,1610612754,26,27,2024-02-27T00:33:29Z,1430000,False,,,0,,S. Barnes BLOCK (2 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
146,PT01M31.00S,2024-02-27T00:33:28.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,26,27,2024-02-27T00:33:30Z,1440000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,
147,PT01M24.00S,2024-02-27T00:33:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,94.30026281208936,55.63725490196079,1610612761,26,27,2024-02-27T00:33:45Z,1450000,False,28.0,1.0,1,right,MISS B. Brown Layup - blocked,"[1628971, 1630188]",1610612761.0,TOR,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,Smith,1630188.0,,,,,,,,,,,
149,PT01M24.00S,2024-02-27T00:33:36.0Z,1,REGULAR,block,,[],1630188,,,1610612761,26,27,2024-02-27T00:33:45Z,1455000,False,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
148,PT01M24.00S,2024-02-27T00:33:36.0Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,26,27,2024-02-27T00:33:45Z,1460000,False,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,147.0,2.0,2.0,0.0,,,,,,,,,,,,,
150,PT01M02.00S,2024-02-27T00:33:59.0Z,1,REGULAR,2pt,Jump Shot,[],1630188,23.73521681997372,24.264705882352942,1610612754,26,27,2024-02-27T00:34:06Z,1470000,False,129.0,171.0,1,left,MISS J. Smith 21' turnaround fadeaway Shot,[1630188],1610612754.0,IND,turnaround fadeaway,,,Smith,J. Smith,,,,,Mid-Range,16-24 Right Center,21.37,Missed,,,,,,,,,,,,,,,,,,
151,PT00M58.00S,2024-02-27T00:34:03.0Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,26,27,2024-02-27T00:34:06Z,1480000,False,,,0,,G. Dick REBOUND (Off:0 Def:1),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Mid-Range,16-24 Right Center,,,,150.0,1.0,1.0,0.0,,,,,,,,,,,,,
152,PT00M52.00S,2024-02-27T00:34:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630567,72.61826544021025,82.84313725490196,1610612761,26,27,2024-02-27T00:36:27Z,1490000,False,164.0,205.0,1,right,MISS S. Barnes 26' step back 3PT,[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,26.26,Missed,,,,,,,,,,,,,,,,,,
153,PT00M50.50S,2024-02-27T00:34:10.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,26,27,2024-02-27T00:34:17Z,1500000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Right Center,,,,152.0,,,,,,,,,,,,,,,,
155,PT00M32.00S,2024-02-27T00:34:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,7.046649145860711,45.34313725490196,1610612754,26,27,2024-02-27T00:34:44Z,1520000,False,23.0,14.0,1,left,MISS T. McConnell driving Layup,[204456],1610612754.0,IND,driving,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
156,PT00M29.60S,2024-02-27T00:34:43.4Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612754,26,27,2024-02-27T00:34:44Z,1530000,False,,,0,,J. Smith REBOUND (Off:1 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,155.0,3.0,2.0,1.0,,,,,,,,,,,,,
157,PT00M29.00S,2024-02-27T00:34:44.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630188,7.046649145860711,53.67647058823529,1610612754,28,27,2024-02-27T00:34:47Z,1540000,False,-18.0,14.0,1,left,J. Smith putback Layup (2 PTS),[1630188],1610612754.0,IND,putback,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,2.29,Made,2.0,,,,,,,,,,,,,,,,,
158,PT00M10.20S,2024-02-27T00:35:06.3Z,1,REGULAR,3pt,Jump Shot,[],203482,68.28186596583443,72.54901960784314,1610612761,28,30,2024-02-27T00:35:11Z,1550000,False,113.0,246.0,1,right,K. Olynyk 27' 3PT  (5 PTS) (S. Barnes 4 AST),"[203482, 1630567]",1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,27.03,Made,5.0,,,,,,,S. Barnes,1630567.0,4.0,,,,,,,,
161,PT00M02.00S,2024-02-27T00:35:31.5Z,1,REGULAR,3pt,Jump Shot,[],203926,6.258212877792378,4.166666666666666,1610612754,28,30,2024-02-27T00:35:38Z,1580000,False,229.0,6.0,1,left,MISS D. McDermott 3PT,[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,Right Corner 3,24+ Right,22.93,Missed,,,,,,,,,,,,,,,,,,
162,PT00M02.00S,2024-02-27T00:35:31.5Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,28,30,2024-02-27T00:35:38Z,1590000,False,,,0,,G. Dick REBOUND (Off:0 Def:2),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Right Corner 3,24+ Right,,,,161.0,2.0,2.0,0.0,,,,,,,,,,,,,
163,PT00M00.00S,2024-02-27T00:35:35.7Z,1,REGULAR,period,end,[],0,,,1610612761,28,30,2024-02-27T00:35:35Z,1600000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2024-02-27T00:38:14.4Z,2,REGULAR,period,start,[],0,,,1610612761,28,30,2024-02-27T00:38:14Z,1610000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M45.00S,2024-02-27T00:38:27.8Z,2,REGULAR,turnover,bad pass,[],203482,,,1610612761,28,30,2024-02-27T00:38:31Z,1620000,False,,,0,,K. Olynyk bad pass TURNOVER (1 TO),"[203482, 204456]",1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,,,,,McConnell,204456.0
166,PT11M45.00S,2024-02-27T00:38:27.8Z,2,REGULAR,steal,,[],204456,,,1610612754,28,30,2024-02-27T00:38:29Z,1630000,False,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
167,PT11M31.00S,2024-02-27T00:38:42.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203926,35.167542706964525,57.84313725490197,1610612754,28,30,2024-02-27T00:38:46Z,1640000,False,-39.0,278.0,1,left,MISS D. McDermott 28' 3PT,[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,28.08,Missed,,,,,,,,,,,,,,,,,,
168,PT11M27.00S,2024-02-27T00:38:46.4Z,2,REGULAR,rebound,defensive,[],203482,,,1610612761,28,30,2024-02-27T00:38:46Z,1650000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Center,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,,
169,PT11M23.00S,2024-02-27T00:38:50.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630534,71.17279894875165,21.568627450980394,1610612761,28,30,2024-02-27T00:38:54Z,1660000,False,-142.0,218.0,1,right,MISS O. Agbaji 26' running 3PT,[1630534],1610612761.0,TOR,running,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Left Center,26.07,Missed,,,,,,,,,,,,,,,,,,
170,PT11M19.00S,2024-02-27T00:38:54.1Z,2,REGULAR,rebound,defensive,[],1630167,,,1610612754,28,30,2024-02-27T00:38:54Z,1670000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,,,,169.0,1.0,1.0,0.0,,,,,,,,,,,,,
171,PT11M07.00S,2024-02-27T00:39:05.5Z,2,REGULAR,3pt,Jump Shot,[],1641767,31.488173455978973,23.03921568627451,1610612754,28,30,2024-02-27T00:39:10Z,1680000,False,135.0,243.0,1,left,MISS B. Sheppard 27' 3PT,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Right Center,27.83,Missed,,,,,,,,,,,,,,,,,,
