actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
221,PT08M15.00S,2025-11-25T01:15:09.9Z,1,REGULAR,block,,[],1626167,,,1610612757,2,10,2025-11-25T01:46:24Z,427500,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
222,PT08M15.00S,2025-11-25T01:15:09.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,2,10,2025-11-25T01:46:24Z,428750,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,220.0,,,,,,,,,,,,,,,,,
44,PT08M11.00S,2025-11-25T01:15:16.0Z,1,REGULAR,substitution,out,[],1630579,,,1610612757,2,10,2025-11-25T01:15:27Z,440000,False,,,0,,SUB out: J. Sims,[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M11.00S,2025-11-25T01:15:16.0Z,1,REGULAR,substitution,in,[],1629018,,,1610612757,2,10,2025-11-25T01:15:27Z,450000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M02.00S,2025-11-25T01:15:39.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630166,82.34231274638634,58.57843137254902,1610612757,2,10,2025-11-25T01:46:24Z,460000,False,43.0,113.0,1,right,MISS D. Avdija 12' floating Shot - blocked,"[1630166, 1626167]",1610612757.0,POR,floating,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,12.13,Missed,,,,,,,,Turner,1626167.0,,,,,,,,,
47,PT08M02.00S,2025-11-25T01:15:39.2Z,1,REGULAR,block,,[],1626167,,,1610612757,2,10,2025-11-25T01:19:12Z,470000,False,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
48,PT07M58.00S,2025-11-25T01:15:43.2Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,2,10,2025-11-25T01:15:48Z,480000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,46.0,3.0,3.0,0.0,,,,,,,,,,,,,,
49,PT07M54.00S,2025-11-25T01:15:46.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628398,10.64388961892247,60.31709558823529,1610612749,4,10,2025-11-25T01:15:57Z,490000,False,-52.0,48.0,1,left,K. Kuzma 7' running Jump Shot (4 PTS),[1628398],1610612749.0,MIL,running,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,7.02,Made,,,,,,,,,,,,,,,4.0,,,
50,PT07M44.00S,2025-11-25T01:15:56.3Z,1,REGULAR,3pt,Jump Shot,[],1641739,73.53810775295663,13.480392156862745,1610612757,4,13,2025-11-25T01:16:01Z,500000,False,-183.0,196.0,1,right,T. Camara 26' 3PT  (3 PTS) (D. Clingan 2 AST),"[1641739, 1642270]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,26.8,Made,,,,,,,,,,,,,,,3.0,D. Clingan,1642270.0,2.0
52,PT07M29.00S,2025-11-25T01:16:11.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,32.38543035479632,61.05238970588235,1610612749,7,13,2025-11-25T01:16:18Z,520000,False,-55.0,252.0,1,left,M. Turner 25' 3PT  (3 PTS) (R. Rollins 2 AST),"[1626167, 1631157]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,25.79,Made,,,,,,,,,,,,,,,3.0,R. Rollins,1631157.0,2.0
54,PT07M21.00S,2025-11-25T01:16:19.0Z,1,REGULAR,3pt,Jump Shot,[],1641739,77.08607095926413,8.333333333333332,1610612757,7,13,2025-11-25T01:16:27Z,540000,False,-208.0,163.0,1,right,MISS T. Camara 26' pullup 3PT,[1641739],1610612757.0,POR,pullup,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,26.44,Missed,,,,,,,,,,,,,,,,,,
55,PT07M18.00S,2025-11-25T01:16:22.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612749,7,13,2025-11-25T01:16:27Z,550000,False,,,0,,M. Turner REBOUND (Off:1 Def:1),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,,
56,PT07M12.00S,2025-11-25T01:16:30.7Z,1,REGULAR,2pt,Jump Shot,[],1631157,16.770696452036795,31.372549019607842,1610612749,7,13,2025-11-25T01:39:44Z,560000,False,93.0,105.0,1,left,MISS R. Rollins 14' driving floating Shot,[1631157],1610612749.0,MIL,driving floating,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Right,14.04,Missed,,,,,,,,,,,,,,,,,,
57,PT07M12.00S,2025-11-25T01:16:30.7Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612749,7,13,2025-11-25T01:39:44Z,570000,False,,,0,,M. Turner REBOUND (Off:2 Def:1),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Right,,,56.0,3.0,1.0,2.0,,,,,,,,,,,,,,
58,PT07M11.00S,2025-11-25T01:16:35.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626167,5.590000152587891,50.0,1610612749,7,13,2025-11-25T01:39:54Z,580000,False,0.0,0.0,1,left,MISS M. Turner tip Layup - blocked,"[1626167, 1641739]",1610612749.0,MIL,tip,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,Camara,1641739.0,,,,,,,,,
170,PT07M11.00S,2025-11-25T01:16:35.7Z,1,REGULAR,block,,[],1641739,,,1610612749,7,13,2025-11-25T01:36:45Z,585000,False,,,0,,T. Camara BLOCK (1 BLK),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M10.00S,2025-11-25T01:16:36.7Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,7,13,2025-11-25T01:39:54Z,590000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,
171,PT07M03.00S,2025-11-25T01:16:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,92.16491458607096,50.0,1610612757,7,13,2025-11-25T01:37:45Z,605000,False,0.0,21.0,1,right,MISS J. Grant driving floating Shot - blocked,"[203924, 1626167]",1610612757.0,POR,driving floating,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,Turner,1626167.0,,,,,,,,,
172,PT07M03.00S,2025-11-25T01:16:43.0Z,1,REGULAR,block,,[],1626167,,,1610612757,7,13,2025-11-25T01:37:24Z,612500,False,,,0,,M. Turner BLOCK (3 BLK),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
173,PT07M02.00S,2025-11-25T01:16:44.0Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612749,7,13,2025-11-25T01:37:45Z,616250,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,171.0,1.0,1.0,0.0,,,,,,,,,,,,,,
