actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
90,PT04M12.00S,2025-12-06T01:24:54.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1641737,93.64323258869908,50.73529411764706,1610612755,13,20,2025-12-06T01:25:56Z,900000,False,4.0,7.0,1,right,A. Bona cutting DUNK (4 PTS) (T. Maxey 2 AST),"[1641737, 1630178]",1610612755.0,PHI,cutting,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,0.82,Made,4.0,,,,,,,,,,,,,T. Maxey,1630178.0,2.0,,
92,PT04M11.00S,2025-12-06T01:25:05.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,13,20,2025-12-06T01:25:05Z,920000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M11.00S,2025-12-06T01:27:11.7Z,1,REGULAR,substitution,out,[],1630579,,,1610612749,13,20,2025-12-06T01:27:45Z,930000,False,,,0,,SUB out: J. Sims,[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M11.00S,2025-12-06T01:27:11.7Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,13,20,2025-12-06T01:27:45Z,940000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M57.00S,2025-12-06T01:28:05.3Z,1,REGULAR,turnover,bad pass,[],203914,,,1610612749,13,20,2025-12-06T01:28:11Z,950000,False,,,0,,G. Harris bad pass TURNOVER (2 TO),"[203914, 1630178]",1610612749.0,MIL,,,,Harris,G. Harris,,,,,Mid-Range,8-16 Right,,,,2.0,Maxey,1630178.0,,,,,,,,,,,,,,
96,PT03M57.00S,2025-12-06T01:28:05.3Z,1,REGULAR,steal,,[],1630178,,,1610612755,13,20,2025-12-06T01:28:07Z,960000,False,,,0,,T. Maxey STEAL (3 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
97,PT03M54.00S,2025-12-06T01:28:08.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630178,93.64323258869908,51.470588235294116,1610612755,13,22,2025-12-06T01:32:38Z,970000,False,7.0,7.0,1,right,T. Maxey running finger roll Layup (6 PTS),[1630178],1610612755.0,PHI,running finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.04,Made,6.0,,,,,,,,,,,,,,,,,
98,PT03M37.00S,2025-12-06T01:28:26.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,13.534822601839686,49.08471200980392,1610612749,15,22,2025-12-06T01:33:03Z,980000,False,5.0,75.0,1,left,K. Kuzma 7' driving floating Jump Shot (2 PTS) (R. Rollins 2 AST),"[1628398, 1631157]",1610612749.0,MIL,driving floating,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,7.48,Made,2.0,,,,,,,,,,,,,R. Rollins,1631157.0,2.0,,
100,PT03M18.00S,2025-12-06T01:28:44.4Z,1,REGULAR,3pt,Jump Shot,[],1629656,76.60972404730617,13.013174019607842,1610612755,15,25,2025-12-06T01:28:55Z,1000000,False,-185.0,167.0,1,right,Q. Grimes 24' 3PT  (3 PTS) (J. Walker 1 AST),"[1629656, 1631133]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,24.94,Made,3.0,,,,,,,,,,,,,J. Walker,1631133.0,1.0,,
102,PT02M56.00S,2025-12-06T01:29:06.9Z,1,REGULAR,2pt,Jump Shot,[],1631157,15.982260183968464,74.50980392156863,1610612749,15,25,2025-12-06T01:29:12Z,1020000,False,-123.0,98.0,1,left,MISS R. Rollins 15' driving floating Shot,[1631157],1610612749.0,MIL,driving floating,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Left,15.67,Missed,,,,,,,,,,,,,,,,,,
103,PT02M52.00S,2025-12-06T01:29:10.5Z,1,REGULAR,rebound,defensive,[],1631133,,,1610612755,15,25,2025-12-06T01:29:10Z,1030000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,102.0,1.0,1.0,0.0,,,,,
104,PT02M48.00S,2025-12-06T01:29:15.4Z,1,REGULAR,3pt,Jump Shot,[],1642272,83.919185282523,94.11764705882352,1610612755,15,28,2025-12-06T01:29:24Z,1040000,False,221.0,99.0,1,right,J. McCain 24' 3PT  (6 PTS) (T. Maxey 3 AST),"[1642272, 1630178]",1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Right Center,24.17,Made,6.0,,,,,,,,,,,,,T. Maxey,1630178.0,3.0,,
106,PT02M32.00S,2025-12-06T01:29:31.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,27.677398160315374,80.63725490196079,1610612749,18,28,2025-12-06T01:29:36Z,1060000,False,-153.0,208.0,1,left,B. Portis 25' 3PT  (3 PTS) (A. Green 1 AST),"[1626171, 1631260]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,25.81,Made,3.0,,,,,,,,,,,,,A. Green,1631260.0,1.0,,
108,PT02M14.00S,2025-12-06T01:29:48.7Z,1,REGULAR,turnover,bad pass,[],1629656,,,1610612755,18,28,2025-12-06T01:29:54Z,1080000,False,,,0,,Q. Grimes bad pass TURNOVER (2 TO),"[1629656, 1626171]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Left Center,,,,2.0,Portis,1626171.0,,,,,,,,,,,,,,
109,PT02M14.00S,2025-12-06T01:29:48.7Z,1,REGULAR,steal,,[],1626171,,,1610612749,18,28,2025-12-06T01:29:52Z,1090000,False,,,0,,B. Portis STEAL (1 STL),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
110,PT02M07.00S,2025-12-06T01:30:00.1Z,1,REGULAR,foul,personal,[],1641737,,,1610612749,18,28,2025-12-06T01:30:12Z,1100000,False,,,0,,A. Bona personal FOUL (1 PF),"[1641737, 1626171]",1610612755.0,PHI,,,,Bona,A. Bona,,,,,Above the Break 3,24+ Center,,,,,,,1628954.0,1.0,0.0,Portis,1626171.0,,,,,,,,,
112,PT02M07.00S,2025-12-06T01:30:09.5Z,1,REGULAR,substitution,out,[],1631157,,,1610612749,18,28,2025-12-06T01:30:22Z,1120000,False,,,0,,SUB out: R. Rollins,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M07.00S,2025-12-06T01:30:09.5Z,1,REGULAR,substitution,out,[],1631260,,,1610612749,18,28,2025-12-06T01:30:22Z,1130000,False,,,0,,SUB out: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M07.00S,2025-12-06T01:30:09.5Z,1,REGULAR,substitution,out,[],1630178,,,1610612749,18,28,2025-12-06T01:30:22Z,1140000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M07.00S,2025-12-06T01:30:09.5Z,1,REGULAR,substitution,in,[],1629645,,,1610612749,18,28,2025-12-06T01:30:22Z,1150000,False,,,0,,SUB in: K. Porter Jr.,[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M07.00S,2025-12-06T01:30:09.5Z,1,REGULAR,substitution,in,[],1629018,,,1610612749,18,28,2025-12-06T01:30:22Z,1160000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M07.00S,2025-12-06T01:30:09.5Z,1,REGULAR,substitution,in,[],1642845,,,1610612749,18,28,2025-12-06T01:30:22Z,1170000,False,,,0,,SUB in: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M57.00S,2025-12-06T01:30:33.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626171,17.21419185282523,39.732689950980394,1610612749,20,28,2025-12-06T01:30:41Z,1180000,False,51.0,109.0,1,left,B. Portis 12' turnaround fadeaway Jump Shot (5 PTS),[1626171],1610612749.0,MIL,turnaround fadeaway,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Center,12.07,Made,5.0,,,,,,,,,,,,,,,,,
119,PT01M35.00S,2025-12-06T01:30:56.0Z,1,REGULAR,3pt,Jump Shot,[],1631133,72.53613666228647,19.630821078431374,1610612755,20,31,2025-12-06T01:31:09Z,1190000,False,-152.0,206.0,1,right,J. Walker 25' 3PT  (3 PTS) (J. McCain 1 AST),"[1631133, 1642272]",1610612755.0,PHI,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,25.56,Made,3.0,,,,,,,,,,,,,J. McCain,1642272.0,1.0,,
121,PT01M27.00S,2025-12-06T01:31:05.1Z,1,REGULAR,3pt,Jump Shot,[],1626171,30.962549277266753,28.186274509803923,1610612749,20,31,2025-12-06T01:31:11Z,1210000,False,109.0,239.0,1,left,MISS B. Portis 26' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right Center,26.23,Missed,,,,,,,,,,,,,,,,,,
122,PT01M27.00S,2025-12-06T01:31:05.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,20,31,2025-12-06T01:31:11Z,1220000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,121.0,,,,,,,,
124,PT01M05.00S,2025-12-06T01:31:34.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631133,82.21090670170827,48.77450980392157,1610612755,20,31,2025-12-06T01:32:09Z,1240000,False,-6.0,115.0,1,right,MISS J. Walker 11' pullup Shot,[1631133],1610612755.0,PHI,pullup,,,Walker,J. Walker,,,,,In The Paint (Non-RA),8-16 Center,11.49,Missed,,,,,,,,,,,,,,,,,,
125,PT01M03.00S,2025-12-06T01:31:36.1Z,1,REGULAR,rebound,defensive,[],203914,,,1610612749,20,31,2025-12-06T01:32:09Z,1250000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612749.0,MIL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,124.0,1.0,1.0,0.0,,,,,
127,PT00M59.10S,2025-12-06T01:31:49.1Z,1,REGULAR,foul,personal,[],1642845,,,1610612749,20,31,2025-12-06T01:31:57Z,1270000,False,,,0,,V. Edgecombe personal FOUL (1 PF),"[1642845, 1628398]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,101283.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,
129,PT00M42.90S,2025-12-06T01:32:18.8Z,1,REGULAR,turnover,lost ball,[],1629645,,,1610612749,20,31,2025-12-06T01:32:24Z,1290000,False,,,0,,K. Porter Jr. lost ball TURNOVER (3 TO),"[1629645, 1641737]",1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,3.0,Bona,1641737.0,,,,,,,,,,,,,,
130,PT00M42.90S,2025-12-06T01:32:18.8Z,1,REGULAR,steal,,[],1641737,,,1610612755,20,31,2025-12-06T01:34:19Z,1300000,False,,,0,,A. Bona STEAL (1 STL),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
131,PT00M33.20S,2025-12-06T01:32:28.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629656,88.25558475689881,51.225490196078425,1610612755,20,31,2025-12-06T01:32:36Z,1310000,False,6.0,58.0,1,right,MISS Q. Grimes driving floating Shot,[1629656],1610612755.0,PHI,driving floating,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,5.82,Missed,,,,,,,,,,,,,,,,,,
132,PT00M33.20S,2025-12-06T01:32:28.7Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,20,31,2025-12-06T01:32:36Z,1320000,False,,,0,,A. Bona REBOUND (Off:1 Def:0),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,131.0,1.0,0.0,1.0,,,,,
133,PT00M33.20S,2025-12-06T01:32:35.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1641737,94.40999984741211,50.0,1610612755,20,33,2025-12-06T01:32:42Z,1330000,False,0.0,0.0,1,right,A. Bona tip Layup (6 PTS),[1641737],1610612755.0,PHI,tip,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,0.0,Made,6.0,,,,,,,,,,,,,,,,,
134,PT00M11.00S,2025-12-06T01:32:57.5Z,1,REGULAR,3pt,Jump Shot,[],1628398,31.35676741130092,66.91176470588235,1610612749,20,33,2025-12-06T01:33:02Z,1340000,False,-85.0,242.0,1,left,MISS K. Kuzma 25' 3PT,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
135,PT00M06.60S,2025-12-06T01:33:01.9Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612755,20,33,2025-12-06T01:33:02Z,1350000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,134.0,1.0,1.0,0.0,,,,,
136,PT00M02.40S,2025-12-06T01:33:09.0Z,1,REGULAR,turnover,lost ball,[],1629656,,,1610612755,20,33,2025-12-06T01:34:41Z,1395000,False,,,0,,Q. Grimes lost ball TURNOVER (3 TO),"[1629656, 1629645]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Right Center,,,,3.0,Porter Jr.,1629645.0,,,,,,,,,,,,,,
137,PT00M02.40S,2025-12-06T01:33:09.0Z,1,REGULAR,steal,,[],1629645,,,1610612749,20,33,2025-12-06T01:33:12Z,1397500,False,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
138,PT00M00.20S,2025-12-06T01:33:13.4Z,1,REGULAR,heave,,['fromturnover'],0,,,1610612749,20,33,2025-12-06T01:43:55Z,1398750,False,,,0,,MIL Heave,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Right Center,48.62,,,,,,,,,,,,,,,,,,,
139,PT00M00.10S,2025-12-06T01:33:13.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,20,33,2025-12-06T01:35:25Z,1399375,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,138.0,,,,,,,,
140,PT00M00.00S,2025-12-06T01:33:25.7Z,1,REGULAR,period,end,[],0,,,1610612749,20,33,2025-12-06T01:33:25Z,1400000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2025-12-06T01:35:24.5Z,2,REGULAR,substitution,out,['startperiod'],1629656,,,1610612749,20,33,2025-12-06T01:35:51Z,1410000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2025-12-06T01:35:24.5Z,2,REGULAR,substitution,out,['startperiod'],1642845,,,1610612749,20,33,2025-12-06T01:35:51Z,1420000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2025-12-06T01:35:24.5Z,2,REGULAR,substitution,in,['startperiod'],202331,,,1610612749,20,33,2025-12-06T01:35:51Z,1430000,False,,,0,,SUB in: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2025-12-06T01:35:24.5Z,2,REGULAR,substitution,in,['startperiod'],200768,,,1610612749,20,33,2025-12-06T01:35:51Z,1440000,False,,,0,,SUB in: K. Lowry,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2025-12-06T01:35:56.9Z,2,REGULAR,period,start,[],0,,,1610612749,20,33,2025-12-06T01:35:56Z,1450000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT11M49.00S,2025-12-06T01:36:09.7Z,2,REGULAR,foul,personal,[],202331,,,1610612749,20,33,2025-12-06T01:36:19Z,1460000,False,,,0,,P. George personal FOUL (1 PF),"[202331, 1629645]",1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Right Center,,,,,,,202041.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,
148,PT11M42.00S,2025-12-06T01:36:36.3Z,2,REGULAR,turnover,out-of-bounds,[],1626171,,,1610612749,20,33,2025-12-06T01:36:48Z,1480000,False,,,0,,B. Portis bad pass out-of-bounds TURNOVER (1 TO),[1626171],1610612749.0,MIL,bad pass,,,Portis,B. Portis,,,,,Mid-Range,16-24 Center,,,,1.0,,,,,,,,,,,,,,,,
149,PT11M26.00S,2025-12-06T01:36:56.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631133,78.84362680683311,89.72886029411765,1610612755,20,36,2025-12-06T01:37:04Z,1490000,False,199.0,146.0,1,right,J. Walker 24' 3PT  (6 PTS) (P. George 1 AST),"[1631133, 202331]",1610612755.0,PHI,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,24.67,Made,6.0,,,,,,,,,,,,,P. George,202331.0,1.0,,
151,PT11M16.00S,2025-12-06T01:37:06.9Z,2,REGULAR,3pt,Jump Shot,[],1626171,32.40801576872536,62.254901960784316,1610612749,23,36,2025-12-06T01:37:13Z,1510000,False,-61.0,252.0,1,left,B. Portis 25' 3PT  (8 PTS) (K. Porter Jr. 4 AST),"[1626171, 1629645]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Center,25.94,Made,8.0,,,,,,,,,,,,,K. Porter Jr.,1629645.0,4.0,,
153,PT11M04.00S,2025-12-06T01:37:18.3Z,2,REGULAR,3pt,Jump Shot,[],1631133,92.46057818659659,3.431372549019608,1610612755,23,39,2025-12-06T01:37:24Z,1530000,False,-233.0,18.0,1,right,J. Walker 3PT  (9 PTS) (P. George 2 AST),"[1631133, 202331]",1610612755.0,PHI,,,,Walker,J. Walker,,,,,Left Corner 3,24+ Left,23.35,Made,9.0,,,,,,,,,,,,,P. George,202331.0,2.0,,
155,PT10M50.00S,2025-12-06T01:37:33.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629645,6.258212877792378,51.470588235294116,1610612749,25,39,2025-12-06T01:37:39Z,1550000,False,-7.0,6.0,1,left,K. Porter Jr. driving DUNK (2 PTS),[1629645],1610612749.0,MIL,driving,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,0.97,Made,2.0,,,,,,,,,,,,,,,,,
156,PT10M40.00S,2025-12-06T01:37:42.9Z,2,REGULAR,3pt,Jump Shot,[],1642272,89.35611038107753,3.699448529411765,1610612755,25,39,2025-12-06T01:37:55Z,1560000,False,-232.0,48.0,1,right,MISS J. McCain 3PT,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Left Corner 3,24+ Left,23.63,Missed,,,,,,,,,,,,,,,,,,
157,PT10M39.00S,2025-12-06T01:37:43.9Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,25,39,2025-12-06T01:41:25Z,1570000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,156.0,1.0,1.0,0.0,,,,,
158,PT10M37.00S,2025-12-06T01:37:47.9Z,2,REGULAR,turnover,lost ball,[],1626171,,,1610612749,25,39,2025-12-06T01:38:09Z,1580000,False,,,0,,B. Portis lost ball TURNOVER (2 TO),"[1626171, 1631133]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Left Center,,,,2.0,Walker,1631133.0,,,,,,,,,,,,,,
159,PT10M37.00S,2025-12-06T01:37:47.9Z,2,REGULAR,steal,,[],1631133,,,1610612755,25,39,2025-12-06T01:37:51Z,1590000,False,,,0,,J. Walker STEAL (1 STL),[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
160,PT10M36.00S,2025-12-06T01:37:54.2Z,2,REGULAR,foul,personal,['2freethrow'],1626171,,,1610612755,25,39,2025-12-06T01:38:19Z,1600000,False,,,0,,B. Portis shooting personal FOUL (1 PF) (Walker 2 FT),"[1626171, 1631133]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,Mid-Range,16-24 Left Center,,,,,,,202041.0,1.0,0.0,Walker,1631133.0,,,,,,,,,
162,PT10M36.00S,2025-12-06T01:38:20.7Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1631133,,,1610612755,25,40,2025-12-06T01:38:20Z,1620000,False,,,0,,J. Walker Free Throw 1 of 2 (10 PTS),[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
163,PT10M36.00S,2025-12-06T01:38:21.7Z,2,REGULAR,substitution,out,[],1641737,,,1610612755,25,40,2025-12-06T01:38:28Z,1630000,False,,,0,,SUB out: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT10M36.00S,2025-12-06T01:38:21.7Z,2,REGULAR,substitution,in,[],203083,,,1610612755,25,40,2025-12-06T01:38:28Z,1640000,False,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT10M36.00S,2025-12-06T01:38:39.1Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1631133,,,1610612755,25,41,2025-12-06T01:38:39Z,1650000,False,,,0,,J. Walker Free Throw 2 of 2 (11 PTS),[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
166,PT10M15.00S,2025-12-06T01:39:00.3Z,2,REGULAR,3pt,Jump Shot,[],1626171,24.129434954007884,83.57843137254902,1610612749,28,41,2025-12-06T01:39:06Z,1660000,False,-168.0,174.0,1,left,B. Portis 24' 3PT  (11 PTS) (K. Kuzma 1 AST),"[1626171, 1628398]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,24.2,Made,11.0,,,,,,,,,,,,,K. Kuzma,1628398.0,1.0,,
168,PT10M03.00S,2025-12-06T01:39:16.3Z,2,REGULAR,foul,personal,[],203914,,,1610612755,28,41,2025-12-06T01:39:39Z,1680000,False,,,0,,G. Harris personal FOUL (2 PF),"[203914, 202331]",1610612749.0,MIL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628954.0,2.0,0.0,George,202331.0,,,,,,,,,
170,PT09M49.00S,2025-12-06T01:39:49.9Z,2,REGULAR,2pt,Jump Shot,[],202331,82.34231274638634,81.37254901960785,1610612755,28,43,2025-12-06T01:39:56Z,1700000,False,157.0,113.0,1,right,P. George 19' Jump Shot (4 PTS) (J. McCain 2 AST),"[202331, 1642272]",1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Right,19.36,Made,4.0,,,,,,,,,,,,,J. McCain,1642272.0,2.0,,
172,PT09M42.00S,2025-12-06T01:39:57.9Z,2,REGULAR,3pt,Jump Shot,[],1626171,32.276609724047304,59.31372549019608,1610612749,28,43,2025-12-06T01:40:03Z,1720000,False,-47.0,251.0,1,left,MISS B. Portis 25' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Center,25.52,Missed,,,,,,,,,,,,,,,,,,
173,PT09M41.00S,2025-12-06T01:39:58.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612755,28,43,2025-12-06T01:40:03Z,1730000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,172.0,,,,,,,,
174,PT09M41.00S,2025-12-06T01:40:04.6Z,2,REGULAR,foul,personal,[],1629645,,,1610612755,28,43,2025-12-06T01:40:21Z,1740000,False,,,0,,K. Porter Jr. loose ball personal FOUL (1 PF),"[1629645, 200768]",1610612749.0,MIL,loose ball,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,1628954.0,1.0,0.0,Lowry,200768.0,,,,,,,,,
176,PT09M28.00S,2025-12-06T01:40:31.5Z,2,REGULAR,3pt,Jump Shot,[],202331,84.23127463863338,2.473958333333333,1610612755,28,46,2025-12-06T01:40:38Z,1760000,False,-238.0,96.0,1,right,P. George 25' 3PT  (7 PTS) (J. McCain 3 AST),"[202331, 1642272]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,25.61,Made,7.0,,,,,,,,,,,,,J. McCain,1642272.0,3.0,,
178,PT09M20.00S,2025-12-06T01:40:40.1Z,2,REGULAR,3pt,Jump Shot,[],1629645,31.09395532194481,64.95098039215686,1610612749,31,46,2025-12-06T01:40:46Z,1780000,False,-75.0,240.0,1,left,K. Porter Jr. 25' 3PT pullup (5 PTS),[1629645],1610612749.0,MIL,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,25.12,Made,5.0,,,,,,,,,,,,,,,,,
179,PT09M07.00S,2025-12-06T01:40:52.9Z,2,REGULAR,3pt,Jump Shot,[],1631133,95.48291721419186,95.34313725490196,1610612755,31,49,2025-12-06T01:40:58Z,1790000,False,227.0,-10.0,1,right,J. Walker 3PT  (14 PTS) (K. Lowry 1 AST),"[1631133, 200768]",1610612755.0,PHI,,,,Walker,J. Walker,,,,,Right Corner 3,24+ Right,22.69,Made,14.0,,,,,,,,,,,,,K. Lowry,200768.0,1.0,,
