actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
95,PT03M33.00S,2022-01-16T18:32:49.1Z,1,REGULAR,substitution,in,[],202709,,,1610612756,23,27,2022-01-16T18:33:25Z,940000,,,0,,SUB in: C. Joseph,[202709],1610612765.0,DET,,,,,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,
96,PT03M33.00S,2022-01-16T18:32:49.1Z,1,REGULAR,substitution,in,[],1626168,,,1610612756,23,27,2022-01-16T18:33:25Z,950000,,,0,,SUB in: T. Lyles,[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,
97,PT03M33.00S,2022-01-16T18:32:49.1Z,1,REGULAR,substitution,in,[],1629013,,,1610612756,23,27,2022-01-16T18:33:25Z,960000,,,0,,SUB in: L. Shamet,[1629013],1610612756.0,PHX,,,,,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,
98,PT03M33.00S,2022-01-16T18:32:49.1Z,1,REGULAR,substitution,in,[],1630188,,,1610612756,23,27,2022-01-16T18:33:25Z,970000,,,0,,SUB in: J. Smith,[1630188],1610612756.0,PHX,,,,,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,
99,PT03M33.00S,2022-01-16T18:33:27.6Z,1,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,23,28,2022-01-16T18:37:31Z,980000,,,0,,D. Booker flagrant Free Throw 1 of 1 (11 PTS),[1626164],1610612756.0,PHX,flagrant,,,,,,,Booker,D. Booker,,Made,,,,,11.0,,,,,,,,,,,,,,
104,PT03M27.00S,2022-01-16T18:33:49.9Z,1,REGULAR,2pt,Jump Shot,[],1626166,78.66294349540078,37.745098039215684,1610612756,23,30,2022-01-16T18:37:31Z,1010000,-61.0,148.0,1,right,C. Payne 16' floating Jump Shot (2 PTS),[1626166],1610612756.0,PHX,floating,,,,,,,Payne,C. Payne,16.03,Made,,,,,2.0,,,,,,,,,,,,,,
105,PT03M09.00S,2022-01-16T18:34:07.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,4.155716162943495,96.81372549019608,1610612765,26,30,2022-01-16T18:34:14Z,1020000,-234.0,-13.0,1,left,S. Bey 3PT  (3 PTS) (C. Cunningham 2 AST),"[1630180, 1630595]",1610612765.0,DET,,,,,,,,Bey,S. Bey,23.45,Made,,,,,3.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,
107,PT02M48.00S,2022-01-16T18:34:28.6Z,1,REGULAR,3pt,Jump Shot,[],1630188,88.64980289093299,4.6568627450980395,1610612756,26,30,2022-01-16T18:34:36Z,1040000,-227.0,54.0,1,right,MISS J. Smith 3PT,[1630188],1610612756.0,PHX,,,,,,,,Smith,J. Smith,23.31,Missed,,,,,,,,,,,,,,,,,,,
108,PT02M43.00S,2022-01-16T18:34:33.6Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,26,30,2022-01-16T18:34:36Z,1050000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,,,,,Joseph,C. Joseph,,,107.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
109,PT02M40.00S,2022-01-16T18:34:36.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,32.276609724047304,35.53921568627451,1610612765,29,30,2022-01-16T18:34:41Z,1060000,72.0,251.0,1,left,S. Bey 26' 3PT  (6 PTS) (C. Joseph 1 AST),"[1630180, 202709]",1610612765.0,DET,,,,,,,,Bey,S. Bey,26.11,Made,,,,,6.0,C. Joseph,202709.0,1.0,,,,,,,,,,,
111,PT02M16.00S,2022-01-16T18:35:01.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201580,87.72996057818659,61.76470588235294,1610612756,29,32,2022-01-16T18:35:08Z,1080000,59.0,63.0,1,right,J. McGee 8' Hook (2 PTS) (L. Shamet 1 AST),"[201580, 1629013]",1610612756.0,PHX,,,,,,,,McGee,J. McGee,8.6,Made,,,,,2.0,L. Shamet,1629013.0,1.0,,,,,,,,,,,
113,PT01M57.00S,2022-01-16T18:35:20.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,8.886333771353483,43.872549019607845,1610612765,29,32,2022-01-16T18:35:24Z,1100000,31.0,31.0,1,left,MISS S. Bey driving Layup - blocked,"[1630180, 201580]",1610612765.0,DET,driving,,,,,,,Bey,S. Bey,4.36,Missed,,,,,,,,,,,,,,,,,McGee,201580.0,
114,PT01M57.00S,2022-01-16T18:35:20.1Z,1,REGULAR,block,,[],201580,,,1610612765,29,32,2022-01-16T18:35:23Z,1110000,,,0,,J. McGee BLOCK (1 BLK),[201580],1610612756.0,PHX,,,,,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,
115,PT01M53.00S,2022-01-16T18:35:24.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,29,32,2022-01-16T18:35:24Z,1120000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,,,,,Booker,D. Booker,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
116,PT01M48.00S,2022-01-16T18:35:28.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1626164,97.58541392904073,77.94117647058823,1610612756,29,34,2022-01-16T18:35:38Z,1130000,140.0,-30.0,1,right,D. Booker 14' fadeaway Jump Shot (13 PTS),[1626164],1610612756.0,PHX,fadeaway,,,,,,,Booker,D. Booker,14.28,Made,,,,,13.0,,,,,,,,,,,,,,
117,PT01M34.00S,2022-01-16T18:35:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,8.492115637319317,45.34313725490196,1610612765,31,34,2022-01-16T18:35:47Z,1140000,23.0,27.0,1,left,T. Lyles driving Layup (2 PTS) (C. Cunningham 3 AST),"[1626168, 1630595]",1610612765.0,DET,driving,,,,,,,Lyles,T. Lyles,3.59,Made,,,,,2.0,C. Cunningham,1630595.0,3.0,,,,,,,,,,,
119,PT01M13.00S,2022-01-16T18:36:03.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201580,89.43823915900131,51.9607843137255,1610612756,31,36,2022-01-16T18:36:08Z,1160000,10.0,47.0,1,right,J. McGee Hook (4 PTS) (C. Payne 1 AST),"[201580, 1626166]",1610612756.0,PHX,,,,,,,,McGee,J. McGee,4.78,Made,,,,,4.0,C. Payne,1626166.0,1.0,,,,,,,,,,,
121,PT00M49.90S,2022-01-16T18:36:28.3Z,1,REGULAR,2pt,Jump Shot,[],1630180,22.026938239159,66.17647058823529,1610612765,33,36,2022-01-16T18:36:33Z,1180000,-81.0,155.0,1,left,S. Bey 17' step back Jump Shot (8 PTS),[1630180],1610612765.0,DET,step back,,,,,,,Bey,S. Bey,17.45,Made,,,,,8.0,,,,,,,,,,,,,,
122,PT00M36.20S,2022-01-16T18:36:47.3Z,1,REGULAR,foul,personal,['2freethrow'],1626168,,,1610612756,33,36,2022-01-16T18:37:02Z,1190000,,,0,,T. Lyles shooting personal FOUL (1 PF) (Smith 2 FT),"[1626168, 1630188]",1610612765.0,DET,shooting,,,,,,1628172.0,Lyles,T. Lyles,,,,,,,,,,,1.0,0.0,Smith,1630188.0,,,,,,,
124,PT00M36.20S,2022-01-16T18:37:18.2Z,1,REGULAR,freethrow,1 of 2,[],1630188,,,1610612756,33,37,2022-01-16T18:37:18Z,1210000,,,0,,J. Smith Free Throw 1 of 2 (1 PTS),[1630188],1610612756.0,PHX,,,,,,,,Smith,J. Smith,,Made,,,,,1.0,,,,,,,,,,,,,,
125,PT00M36.20S,2022-01-16T18:37:19.4Z,1,REGULAR,substitution,out,[],1630595,,,1610612756,33,37,2022-01-16T18:37:38Z,1220000,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,
126,PT00M36.20S,2022-01-16T18:37:19.4Z,1,REGULAR,substitution,out,[],1628977,,,1610612756,33,37,2022-01-16T18:37:38Z,1230000,,,0,,SUB out: H. Diallo,[1628977],1610612765.0,DET,,,,,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,
127,PT00M36.20S,2022-01-16T18:37:19.4Z,1,REGULAR,substitution,in,[],1630240,,,1610612756,33,37,2022-01-16T18:37:38Z,1240000,,,0,,SUB in: S. Lee,[1630240],1610612765.0,DET,,,,,,,,Lee,S. Lee,,,,,,,,,,,,,,,,,,,,,
128,PT00M36.20S,2022-01-16T18:37:19.4Z,1,REGULAR,substitution,in,[],1628367,,,1610612756,33,37,2022-01-16T18:37:38Z,1250000,,,0,,SUB in: J. Jackson,[1628367],1610612765.0,DET,,,,,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,
129,PT00M36.20S,2022-01-16T18:37:18.2Z,1,REGULAR,freethrow,2 of 2,[],1630188,,,1610612756,33,37,2022-01-16T18:37:44Z,1260000,,,0,,MISS J. Smith Free Throw 2 of 2,[1630188],1610612756.0,PHX,,,,,,,,Smith,J. Smith,,Missed,,,,,,,,,,,,,,,,,,,
130,PT00M33.20S,2022-01-16T18:37:21.2Z,1,REGULAR,rebound,defensive,[],1628367,,,1610612765,33,37,2022-01-16T18:37:44Z,1270000,,,0,,J. Jackson REBOUND (Off:0 Def:1),[1628367],1610612765.0,DET,,,,,,,,Jackson,J. Jackson,,,129.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
131,PT00M23.60S,2022-01-16T18:37:57.5Z,1,REGULAR,foul,personal,[],1630188,,,1610612765,33,37,2022-01-16T18:38:07Z,1280000,,,0,,J. Smith personal FOUL (1 PF),"[1630188, 1626168]",1610612756.0,PHX,,,,,,,204058.0,Smith,J. Smith,,,,,,,,,,,1.0,0.0,Lyles,1626168.0,,,,,,,
133,PT00M15.80S,2022-01-16T18:38:21.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626168,11.383048620236531,51.9607843137255,1610612765,35,37,2022-01-16T18:38:26Z,1300000,-10.0,55.0,1,left,T. Lyles Hook (4 PTS) (S. Lee 1 AST),"[1626168, 1630240]",1610612765.0,DET,,,,,,,,Lyles,T. Lyles,5.54,Made,,,,,4.0,S. Lee,1630240.0,1.0,,,,,,,,,,,
135,PT00M03.80S,2022-01-16T18:38:38.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,85.3646517739816,76.22549019607843,1610612756,35,39,2022-01-16T18:38:43Z,1320000,131.0,85.0,1,right,D. Booker 15' pullup Jump Shot (15 PTS),[1626164],1610612756.0,PHX,pullup,,,,,,,Booker,D. Booker,15.63,Made,,,,,15.0,,,,,,,,,,,,,,
136,PT00M02.30S,2022-01-16T18:38:47.7Z,1,REGULAR,3pt,Jump Shot,[],1630180,52.38173455978975,35.294117647058826,1610612765,35,39,2022-01-16T18:41:31Z,1330000,74.0,440.0,1,left,MISS S. Bey 44' pullup 3PT,[1630180],1610612765.0,DET,pullup,,,,,,,Bey,S. Bey,44.6,Missed,,,,,,,,,,,,,,,,,,,
137,PT00M01.10S,2022-01-16T18:38:48.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,35,39,2022-01-16T18:39:26Z,1340000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,
138,PT00M00.00S,2022-01-16T18:38:53.3Z,1,REGULAR,period,end,[],0,,,1610612765,35,39,2022-01-16T18:38:53Z,1350000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2022-01-16T18:40:31.0Z,2,REGULAR,substitution,out,['startperiod'],1630180,,,1610612765,35,39,2022-01-16T18:41:51Z,1360000,,,0,,SUB out: S. Bey,[1630180],1610612765.0,DET,,,,,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2022-01-16T18:40:31.0Z,2,REGULAR,substitution,out,['startperiod'],1626164,,,1610612765,35,39,2022-01-16T18:41:51Z,1370000,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2022-01-16T18:40:31.0Z,2,REGULAR,substitution,in,['startperiod'],1630199,,,1610612765,35,39,2022-01-16T18:41:51Z,1380000,,,0,,SUB in: C. Stanley,[1630199],1610612765.0,DET,,,,,,,,Stanley,C. Stanley,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-01-16T18:40:31.0Z,2,REGULAR,substitution,in,['startperiod'],101108,,,1610612765,35,39,2022-01-16T18:41:51Z,1390000,,,0,,SUB in: C. Paul,[101108],1610612756.0,PHX,,,,,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-01-16T18:41:52.5Z,2,REGULAR,period,start,[],0,,,1610612756,35,39,2022-01-16T18:41:52Z,1400000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT11M47.00S,2022-01-16T18:42:06.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201580,92.46057818659659,56.127450980392155,1610612756,35,41,2022-01-16T18:42:12Z,1410000,31.0,18.0,1,right,J. McGee alley-oop Layup (6 PTS) (C. Payne 2 AST),"[201580, 1626166]",1610612756.0,PHX,alley-oop,,,,,,,McGee,J. McGee,3.57,Made,,,,,6.0,C. Payne,1626166.0,2.0,,,,,,,,,,,
146,PT11M47.00S,2022-01-16T18:42:10.8Z,2,REGULAR,foul,personal,['1freethrow'],1626168,,,1610612756,35,41,2022-01-16T18:42:35Z,1430000,,,0,,T. Lyles shooting personal FOUL (2 PF) (McGee 1 FT),"[1626168, 201580]",1610612765.0,DET,shooting,,,,,,204058.0,Lyles,T. Lyles,,,,,,,,,,,2.0,0.0,McGee,201580.0,,,,,,,
148,PT11M47.00S,2022-01-16T18:42:28.1Z,2,REGULAR,substitution,out,[],1630188,,,1610612756,35,41,2022-01-16T18:42:45Z,1450000,,,0,,SUB out: J. Smith,[1630188],1610612756.0,PHX,,,,,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,
149,PT11M47.00S,2022-01-16T18:42:28.1Z,2,REGULAR,substitution,in,[],1630688,,,1610612756,35,41,2022-01-16T18:42:45Z,1460000,,,0,,SUB in: I. Wainright,[1630688],1610612756.0,PHX,,,,,,,,Wainright,I. Wainright,,,,,,,,,,,,,,,,,,,,,
150,PT11M47.00S,2022-01-16T18:42:43.6Z,2,REGULAR,freethrow,1 of 1,[],201580,,,1610612756,35,41,2022-01-16T18:42:46Z,1470000,,,0,,MISS J. McGee Free Throw 1 of 1,[201580],1610612756.0,PHX,,,,,,,,McGee,J. McGee,,Missed,,,,,,,,,,,,,,,,,,,
151,PT11M44.00S,2022-01-16T18:42:46.6Z,2,REGULAR,rebound,defensive,[],1626168,,,1610612765,35,41,2022-01-16T18:42:46Z,1480000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,,150.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
152,PT11M33.00S,2022-01-16T18:43:00.7Z,2,REGULAR,foul,technical,['1freethrow'],201580,,,1610612765,35,41,2022-01-16T18:43:11Z,1490000,,,0,,J. McGee defensive-3-second technical FOUL (1 Tech),[201580],1610612756.0,PHX,defensive-3-second,,,,,,204058.0,McGee,J. McGee,,,,,,,,,,,0.0,1.0,,,,,,,,,
153,PT11M33.00S,2022-01-16T18:43:17.7Z,2,REGULAR,freethrow,1 of 1,[],202709,,,1610612765,36,41,2022-01-16T18:43:17Z,1500000,,,0,,C. Joseph technical Free Throw 1 of 1 (1 PTS),[202709],1610612765.0,DET,technical,,,,,,,Joseph,C. Joseph,,Made,,,,,1.0,,,,,,,,,,,,,,
154,PT11M19.00S,2022-01-16T18:43:54.3Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612765,36,41,2022-01-16T18:44:03Z,1510000,,,0,,DET shot clock Team TURNOVER,[],1610612765.0,DET,,,,,,,1628172.0,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M17.00S,2022-01-16T18:44:06.1Z,2,REGULAR,turnover,bad pass,[],1626166,,,1610612756,36,41,2022-01-16T18:44:13Z,1520000,,,0,,C. Payne bad pass TURNOVER (1 TO),"[1626166, 1630240]",1610612756.0,PHX,,,,,,,,Payne,C. Payne,,,,,,,,,,,,,,,1.0,Lee,1630240.0,,,,
156,PT11M17.00S,2022-01-16T18:44:06.1Z,2,REGULAR,steal,,[],1630240,,,1610612765,36,41,2022-01-16T18:44:10Z,1530000,,,0,,S. Lee STEAL (1 STL),[1630240],1610612765.0,DET,,,,,,,,Lee,S. Lee,,,,,,,,,,,,,,,,,,,,,
157,PT11M12.00S,2022-01-16T18:44:11.3Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630199,8.754927726675426,42.15686274509804,1610612765,38,41,2022-01-16T18:44:16Z,1540000,39.0,30.0,1,left,C. Stanley Hook (2 PTS) (S. Lee 2 AST),"[1630199, 1630240]",1610612765.0,DET,,,,,,,,Stanley,C. Stanley,4.92,Made,,,,,2.0,S. Lee,1630240.0,2.0,,,,,,,,,,,
159,PT10M54.00S,2022-01-16T18:44:32.2Z,2,REGULAR,foul,personal,['2freethrow'],1628367,,,1610612756,38,41,2022-01-16T18:44:47Z,1560000,,,0,,J. Jackson shooting personal FOUL (1 PF) (Shamet 2 FT),"[1628367, 1629013]",1610612765.0,DET,shooting,,,,,,201246.0,Jackson,J. Jackson,,,,,,,,,,,1.0,0.0,Shamet,1629013.0,,,,,,,
161,PT10M54.00S,2022-01-16T18:45:01.0Z,2,REGULAR,freethrow,1 of 2,[],1629013,,,1610612756,38,42,2022-01-16T18:46:35Z,1580000,,,0,,L. Shamet Free Throw 1 of 2 (1 PTS),[1629013],1610612756.0,PHX,,,,,,,,Shamet,L. Shamet,,Made,,,,,1.0,,,,,,,,,,,,,,
162,PT10M54.00S,2022-01-16T18:45:01.0Z,2,REGULAR,freethrow,2 of 2,[],1629013,,,1610612756,38,42,2022-01-16T18:46:35Z,1590000,,,0,,MISS L. Shamet Free Throw 2 of 2,[1629013],1610612756.0,PHX,,,,,,,,Shamet,L. Shamet,,Missed,,,,,,,,,,,,,,,,,,,
163,PT10M54.00S,2022-01-16T18:45:01.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612756,38,42,2022-01-16T18:46:35Z,1600000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,,
164,PT10M54.00S,2022-01-16T18:45:36.9Z,2,REGULAR,foul,personal,[],1628367,,,1610612756,38,42,2022-01-16T19:25:40Z,1610000,,,0,,J. Jackson loose ball personal FOUL (2 PF),"[1628367, 1630688]",1610612765.0,DET,loose ball,,,,,,204058.0,Jackson,J. Jackson,,,,,,,,,,,2.0,0.0,Wainright,1630688.0,,,,,,,
167,PT10M43.00S,2022-01-16T18:45:57.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629013,72.09264126149803,90.93137254901961,1610612756,38,42,2022-01-16T18:46:53Z,1640000,205.0,210.0,1,right,MISS L. Shamet 29' 3PT,[1629013],1610612756.0,PHX,,,,,,,,Shamet,L. Shamet,29.31,Missed,,,,,,,,,,,,,,,,,,,
168,PT10M40.00S,2022-01-16T18:46:01.0Z,2,REGULAR,rebound,offensive,[],201580,,,1610612756,38,42,2022-01-16T18:46:01Z,1650000,,,0,,J. McGee REBOUND (Off:1 Def:0),[201580],1610612756.0,PHX,,,,,,,,McGee,J. McGee,,,167.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
169,PT10M37.00S,2022-01-16T18:46:04.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626166,90.62089356110381,40.931372549019606,1610612756,38,44,2022-01-16T18:46:53Z,1660000,-45.0,36.0,1,right,C. Payne driving Layup (4 PTS),[1626166],1610612756.0,PHX,driving,,,,,,,Payne,C. Payne,5.77,Made,,,,,4.0,,,,,,,,,,,,,,
171,PT10M27.00S,2022-01-16T18:46:21.4Z,2,REGULAR,foul,personal,[],101108,,,1610612765,38,44,2022-01-16T18:46:36Z,1680000,,,0,,C. Paul personal FOUL (1 PF),"[101108, 1630240]",1610612756.0,PHX,,,,,,,201246.0,Paul,C. Paul,,,,,,,,,,,1.0,0.0,Lee,1630240.0,,,,,,,
173,PT10M24.00S,2022-01-16T18:46:40.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,7.703679369250986,54.166666666666664,1610612765,40,44,2022-01-16T18:46:46Z,1700000,-21.0,20.0,1,left,T. Lyles driving Layup (6 PTS) (C. Stanley 1 AST),"[1626168, 1630199]",1610612765.0,DET,driving,,,,,,,Lyles,T. Lyles,2.88,Made,,,,,6.0,C. Stanley,1630199.0,1.0,,,,,,,,,,,
175,PT10M24.00S,2022-01-16T18:46:46.8Z,2,REGULAR,foul,personal,['1freethrow'],201580,,,1610612765,40,44,2022-01-16T18:46:57Z,1720000,,,0,,J. McGee shooting personal FOUL (1 PF) (Lyles 1 FT),"[201580, 1626168]",1610612756.0,PHX,shooting,,,,,,1628172.0,McGee,J. McGee,,,,,,,,,,,1.0,1.0,Lyles,1626168.0,,,,,,,
177,PT10M24.00S,2022-01-16T18:47:12.7Z,2,REGULAR,freethrow,1 of 1,[],1626168,,,1610612765,41,44,2022-01-16T18:47:12Z,1740000,,,0,,T. Lyles Free Throw 1 of 1 (7 PTS),[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,Made,,,,,7.0,,,,,,,,,,,,,,
178,PT10M24.00S,2022-01-16T18:47:16.2Z,2,REGULAR,foul,technical,['1freethrow'],1628367,,,1610612756,41,44,2022-01-16T18:47:35Z,1750000,,,0,,J. Jackson technical FOUL (1 Tech),[1628367],1610612765.0,DET,,,,,,,201246.0,Jackson,J. Jackson,,,,,,,,,,,2.0,1.0,,,,,,,,,
179,PT10M24.00S,2022-01-16T18:47:37.3Z,2,REGULAR,freethrow,1 of 1,[],101108,,,1610612756,41,45,2022-01-16T18:47:37Z,1760000,,,0,,C. Paul technical Free Throw 1 of 1 (3 PTS),[101108],1610612756.0,PHX,technical,,,,,,,Paul,C. Paul,,Made,,,,,3.0,,,,,,,,,,,,,,
180,PT10M17.00S,2022-01-16T18:47:53.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201580,89.83245729303549,56.372549019607845,1610612756,41,45,2022-01-16T18:48:01Z,1770000,32.0,43.0,1,right,MISS J. McGee Layup,[201580],1610612756.0,PHX,,,,,,,,McGee,J. McGee,5.36,Missed,,,,,,,,,,,,,,,,,,,
181,PT10M14.00S,2022-01-16T18:47:57.4Z,2,REGULAR,rebound,defensive,[],1626168,,,1610612765,41,45,2022-01-16T18:47:57Z,1780000,,,0,,T. Lyles REBOUND (Off:0 Def:2),[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,,180.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
182,PT09M59.00S,2022-01-16T18:48:12.4Z,2,REGULAR,2pt,Jump Shot,[],1630199,6.652431011826544,28.676470588235293,1610612765,41,45,2022-01-16T18:48:17Z,1790000,107.0,10.0,1,left,MISS C. Stanley 10' pullup Shot,[1630199],1610612765.0,DET,pullup,,,,,,,Stanley,C. Stanley,10.71,Missed,,,,,,,,,,,,,,,,,,,
183,PT09M55.00S,2022-01-16T18:48:16.4Z,2,REGULAR,rebound,defensive,[],1626166,,,1610612756,41,45,2022-01-16T18:48:17Z,1800000,,,0,,C. Payne REBOUND (Off:0 Def:1),[1626166],1610612756.0,PHX,,,,,,,,Payne,C. Payne,,,182.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
184,PT09M51.00S,2022-01-16T18:48:20.1Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",201580,92.19776609724047,48.529411764705884,1610612756,41,47,2022-01-16T18:48:26Z,1810000,-7.0,21.0,1,right,J. McGee Hook (8 PTS) (L. Shamet 2 AST),"[201580, 1629013]",1610612756.0,PHX,,,,,,,,McGee,J. McGee,2.21,Made,,,,,8.0,L. Shamet,1629013.0,2.0,,,,,,,,,,,
186,PT09M43.00S,2022-01-16T18:48:30.4Z,2,REGULAR,foul,personal,[],1629013,,,1610612765,41,47,2022-01-16T18:49:24Z,1830000,,,0,,L. Shamet personal FOUL (1 PF),"[1629013, 1630199]",1610612756.0,PHX,,,,,,,204058.0,Shamet,L. Shamet,,,,,,,,,,,1.0,0.0,Stanley,1630199.0,,,,,,,
189,PT09M34.00S,2022-01-16T18:49:11.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630240,8.09789750328515,56.127450980392155,1610612765,41,47,2022-01-16T18:50:01Z,1860000,-31.0,24.0,1,left,MISS S. Lee driving Layup - blocked,"[1630240, 1629013]",1610612765.0,DET,driving,,,,,,,Lee,S. Lee,3.86,Missed,,,,,,,,,,,,,,,,,Shamet,1629013.0,
190,PT09M34.00S,2022-01-16T18:49:11.6Z,2,REGULAR,block,,[],1629013,,,1610612765,41,47,2022-01-16T18:49:15Z,1870000,,,0,,L. Shamet BLOCK (1 BLK),[1629013],1610612756.0,PHX,,,,,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,
191,PT09M34.00S,2022-01-16T18:49:11.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612765,41,47,2022-01-16T18:50:01Z,1880000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,
192,PT09M34.00S,2022-01-16T18:49:18.1Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,41,47,2022-01-16T18:49:18Z,1890000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT09M31.00S,2022-01-16T18:49:26.4Z,2,REGULAR,foul,personal,['2freethrow'],201580,,,1610612765,41,47,2022-01-16T18:49:38Z,1900000,,,0,,J. McGee shooting personal FOUL (2 PF) (Lyles 2 FT),"[201580, 1626168]",1610612756.0,PHX,shooting,,,,,,204058.0,McGee,J. McGee,,,,,,,,,,,2.0,1.0,Lyles,1626168.0,,,,,,,
195,PT09M31.00S,2022-01-16T18:49:52.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1626168,,,1610612765,41,47,2022-01-16T18:50:23Z,1920000,,,0,,MISS T. Lyles Free Throw 1 of 2,[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,Missed,,,,,,,,,,,,,,,,,,,
196,PT09M31.00S,2022-01-16T18:49:52.5Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612765,41,47,2022-01-16T18:50:23Z,1930000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,195.0,,,,,,,,,,,,,,,,,,
