actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
78,PT06M08.00S,2022-03-21T23:28:23.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630180,,,1610612765,11,19,2022-03-21T23:28:23Z,760000,,,0,,S. Bey Free Throw 1 of 2 (4 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
79,PT06M08.00S,2022-03-21T23:28:36.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630180,,,1610612765,12,19,2022-03-21T23:28:36Z,770000,,,0,,S. Bey Free Throw 2 of 2 (5 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
80,PT05M58.00S,2022-03-21T23:28:53.1Z,1,REGULAR,foul,personal,[],1630240,,,1610612757,12,19,2022-03-21T23:29:12Z,780000,,,0,,S. Lee personal FOUL (1 PF),"[1630240, 1630314]",1610612765.0,DET,,,,Lee,S. Lee,,,,,,,,,,,,,,,204059.0,1.0,0.0,Williams,1630314.0,,,,,,
82,PT05M52.00S,2022-03-21T23:29:15.7Z,1,REGULAR,2pt,Jump Shot,[],1630314,82.17805519053877,70.09803921568627,1610612757,12,19,2022-03-21T23:29:20Z,800000,100.0,115.0,1,right,MISS B. Williams 15' pullup Shot,[1630314],1610612757.0,POR,pullup,,,Williams,B. Williams,,,,,,,,15.27,Missed,,,,,,,,,,,,,,,,
83,PT05M47.00S,2022-03-21T23:29:20.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,12,19,2022-03-21T23:29:20Z,810000,,,0,,I. Stewart REBOUND (Off:2 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,82.0,3.0,1.0,2.0,,,,,,,,,,,
84,PT05M38.00S,2022-03-21T23:29:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,9.247700394218143,41.91176470588235,1610612765,14,19,2022-03-21T23:29:35Z,820000,40.0,34.0,1,left,C. Cunningham driving Layup (5 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,,,,5.31,Made,5.0,,,,,,,,,,,,,,,
85,PT05M21.00S,2022-03-21T23:29:46.1Z,1,REGULAR,2pt,Jump Shot,[],1626159,78.23587385019711,29.65686274509804,1610612757,14,19,2022-03-21T23:30:08Z,830000,-102.0,152.0,1,right,MISS J. Winslow 18' Jump Shot,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,18.3,Missed,,,,,,,,,,,,,,,,
86,PT05M18.00S,2022-03-21T23:29:48.9Z,1,REGULAR,rebound,offensive,[],1629604,,,1610612757,14,19,2022-03-21T23:29:48Z,840000,,,0,,C. Elleby REBOUND (Off:2 Def:3),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,85.0,5.0,3.0,2.0,,,,,,,,,,,
87,PT05M16.00S,2022-03-21T23:29:52.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626159,89.6681997371879,50.98039215686275,1610612757,14,19,2022-03-21T23:30:12Z,850000,5.0,45.0,1,right,MISS J. Winslow driving floating Shot,[1626159],1610612757.0,POR,driving floating,,,Winslow,J. Winslow,,,,,,,,4.49,Missed,,,,,,,,,,,,,,,,
88,PT05M13.00S,2022-03-21T23:29:55.1Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,14,19,2022-03-21T23:30:12Z,860000,,,0,,I. Stewart REBOUND (Off:2 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,87.0,4.0,2.0,2.0,,,,,,,,,,,
