actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
91,PT03M45.00S,2022-02-05T00:26:08.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,85.10183968462549,68.13725490196079,1610612738,13,21,2022-02-05T00:26:15Z,910000,91.0,88.0,1,right,J. Brown 12' fadeaway Jump Shot (10 PTS) (R. Williams III 2 AST),"[1627759, 1629057]",1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,12.6,Made,10.0,R. Williams III,1629057.0,2.0,,,,,,,,,,,,,,,
93,PT03M29.00S,2022-02-05T00:26:25.4Z,1,REGULAR,2pt,Jump Shot,[],1630180,13.87976346911958,70.58823529411765,1610612765,13,21,2022-02-05T00:26:29Z,930000,-103.0,78.0,1,left,MISS S. Bey 12' fadeaway Shot,[1630180],1610612765.0,DET,fadeaway,,,Bey,S. Bey,,,,,12.91,Missed,,,,,,,,,,,,,,,,,,,
94,PT03M26.00S,2022-02-05T00:26:28.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,21,2022-02-05T00:26:29Z,940000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,93.0,2.0,2.0,0.0,,,,,,
95,PT03M21.00S,2022-02-05T00:26:33.1Z,1,REGULAR,2pt,Jump Shot,[],1627759,73.27529566360053,32.35294117647059,1610612738,13,21,2022-02-05T00:33:06Z,950000,-88.0,199.0,1,right,MISS J. Brown 21' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,21.74,Missed,,,,,,,,,,,,,,,,,,,
96,PT03M17.00S,2022-02-05T00:26:37.1Z,1,REGULAR,rebound,defensive,[],203482,,,1610612765,13,21,2022-02-05T00:26:39Z,960000,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612765.0,DET,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,95.0,1.0,1.0,0.0,,,,,,
97,PT03M09.00S,2022-02-05T00:26:44.4Z,1,REGULAR,3pt,Jump Shot,[],1628402,28.203022339027594,18.627450980392158,1610612765,16,21,2022-02-05T00:26:49Z,970000,157.0,213.0,1,left,F. Jackson 26' 3PT  (3 PTS) (J. Grant 1 AST),"[1628402, 203924]",1610612765.0,DET,,,,Jackson,F. Jackson,,,,,26.42,Made,3.0,J. Grant,203924.0,1.0,,,,,,,,,,,,,,,
99,PT02M54.00S,2022-02-05T00:27:05.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612738,16,21,2022-02-05T00:27:05Z,990000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,out,[],203924,,,1610612738,16,21,2022-02-05T00:30:11Z,1000000,,,0,,SUB out: J. Grant,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,out,[],202709,,,1610612738,16,21,2022-02-05T00:30:11Z,1010000,,,0,,SUB out: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,16,21,2022-02-05T00:30:11Z,1020000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,out,[],203935,,,1610612738,16,21,2022-02-05T00:30:11Z,1030000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,16,21,2022-02-05T00:30:11Z,1040000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,in,[],1626168,,,1610612738,16,21,2022-02-05T00:30:11Z,1050000,,,0,,SUB in: T. Lyles,[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,in,[],1630165,,,1610612738,16,21,2022-02-05T00:30:11Z,1060000,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,16,21,2022-02-05T00:30:11Z,1070000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,in,[],203471,,,1610612738,16,21,2022-02-05T00:30:11Z,1080000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M54.00S,2022-02-05T00:27:09.0Z,1,REGULAR,substitution,in,[],201143,,,1610612738,16,21,2022-02-05T00:30:11Z,1090000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M38.00S,2022-02-05T00:30:16.4Z,1,REGULAR,2pt,Jump Shot,[],1626196,85.10183968462549,26.715686274509803,1610612738,16,21,2022-02-05T00:30:21Z,1100000,-116.0,88.0,1,right,MISS J. Richardson 14' step back Shot,[1626196],1610612738.0,BOS,step back,,,Richardson,J. Richardson,,,,,14.56,Missed,,,,,,,,,,,,,,,,,,,
111,PT02M34.00S,2022-02-05T00:30:20.4Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,16,21,2022-02-05T00:30:21Z,1110000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,110.0,3.0,2.0,1.0,,,,,,
112,PT02M32.00S,2022-02-05T00:30:22.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203471,68.01905387647832,65.68627450980392,1610612738,16,21,2022-02-05T00:30:27Z,1120000,78.0,248.0,1,right,MISS D. Schroder 26' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
113,PT02M29.00S,2022-02-05T00:30:25.5Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,16,21,2022-02-05T00:30:27Z,1130000,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,112.0,3.0,2.0,1.0,,,,,,
114,PT02M17.00S,2022-02-05T00:30:36.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629641,92.46057818659659,74.01960784313727,1610612738,16,23,2022-02-05T00:30:42Z,1140000,120.0,18.0,1,right,R. Langford 12' floating Jump Shot (2 PTS) (J. Brown 1 AST),"[1629641, 1627759]",1610612738.0,BOS,floating,,,Langford,R. Langford,,,,,12.15,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
116,PT01M51.00S,2022-02-05T00:31:03.3Z,1,REGULAR,2pt,Jump Shot,[],1630180,7.5722733245729295,17.647058823529413,1610612765,16,23,2022-02-05T00:31:16Z,1160000,162.0,19.0,1,left,MISS S. Bey 16' Jump Shot,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,16.29,Missed,,,,,,,,,,,,,,,,,,,
117,PT01M48.00S,2022-02-05T00:31:06.3Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612738,16,23,2022-02-05T00:31:08Z,1170000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,116.0,1.0,1.0,0.0,,,,,,
118,PT01M35.00S,2022-02-05T00:31:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,86.81011826544021,44.6078431372549,1610612738,16,23,2022-02-05T00:31:30Z,1180000,-27.0,71.0,1,right,MISS J. Richardson 7' driving Layup - blocked,"[1626196, 203482]",1610612738.0,BOS,driving,,,Richardson,J. Richardson,,,,,7.64,Missed,,,,,,,,,,,,,,,Olynyk,203482.0,,,
119,PT01M35.00S,2022-02-05T00:31:19.2Z,1,REGULAR,block,,[],203482,,,1610612738,16,23,2022-02-05T00:31:22Z,1190000,,,0,,K. Olynyk BLOCK (1 BLK),[203482],1610612765.0,DET,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M25.00S,2022-02-05T00:31:29.2Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612765,16,23,2022-02-05T00:31:30Z,1200000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,118.0,1.0,1.0,0.0,,,,,,
121,PT01M25.00S,2022-02-05T00:31:28.8Z,1,REGULAR,turnover,out-of-bounds,[],1626168,,,1610612765,16,23,2022-02-05T00:31:38Z,1210000,,,0,,T. Lyles bad pass out-of-bounds TURNOVER (1 TO),[1626168],1610612765.0,DET,bad pass,,,Lyles,T. Lyles,,,,,,,,,,,1198.0,,,,,,,,,1.0,,,,,
122,PT01M24.00S,2022-02-05T00:31:39.4Z,1,REGULAR,substitution,out,[],1630180,,,1610612738,16,23,2022-02-05T00:31:45Z,1220000,,,0,,SUB out: S. Bey,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M24.00S,2022-02-05T00:31:39.4Z,1,REGULAR,substitution,in,[],203585,,,1610612738,16,23,2022-02-05T00:31:45Z,1230000,,,0,,SUB in: R. McGruder,[203585],1610612765.0,DET,,,,McGruder,R. McGruder,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M10.00S,2022-02-05T00:32:01.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626196,63.9454664914586,29.411764705882355,1610612738,16,26,2022-02-05T00:32:06Z,1240000,-103.0,286.0,1,right,J. Richardson 30' 3PT  (3 PTS) (D. Schroder 1 AST),"[1626196, 203471]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,30.43,Made,3.0,D. Schroder,203471.0,1.0,,,,,,,,,,,,,,,
126,PT00M54.20S,2022-02-05T00:32:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,9.411957950065702,44.6078431372549,1610612765,16,26,2022-02-05T00:32:24Z,1260000,27.0,36.0,1,left,MISS T. Lyles cutting Layup,[1626168],1610612765.0,DET,cutting,,,Lyles,T. Lyles,,,,,4.5,Missed,,,,,,,,,,,,,,,,,,,
127,PT00M48.60S,2022-02-05T00:32:23.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,16,26,2022-02-05T00:38:26Z,1270000,,,0,,A. Horford REBOUND (Off:1 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,126.0,4.0,3.0,1.0,,,,,,
128,PT00M42.80S,2022-02-05T00:32:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,89.56964520367937,55.14705882352941,1610612738,16,26,2022-02-05T00:32:38Z,1280000,26.0,46.0,1,right,MISS D. Schroder driving Layup,[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,5.23,Missed,,,,,,,,,,,,,,,,,,,
129,PT00M38.90S,2022-02-05T00:32:33.3Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,16,26,2022-02-05T00:32:38Z,1290000,,,0,,A. Horford REBOUND (Off:2 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,128.0,5.0,3.0,2.0,,,,,,
130,PT00M38.90S,2022-02-05T00:32:37.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",201143,94.40999984741211,50.0,1610612738,16,28,2022-02-05T00:32:37Z,1300000,0.0,0.0,1,right,A. Horford putback DUNK (4 PTS),[201143],1610612738.0,BOS,putback,,,Horford,A. Horford,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
131,PT00M33.90S,2022-02-05T00:32:47.7Z,1,REGULAR,foul,personal,[],1629641,,,1610612765,16,28,2022-02-05T00:33:15Z,1310000,,,0,,R. Langford personal FOUL (1 PF),"[1629641, 203482]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,1198.0,1.0,0.0,Olynyk,203482.0,,,,,,,,,,
133,PT00M20.90S,2022-02-05T00:33:12.5Z,1,REGULAR,turnover,bad pass,[],1626168,,,1610612765,16,28,2022-02-05T00:33:18Z,1330000,,,0,,T. Lyles bad pass TURNOVER (2 TO),"[1626168, 201143]",1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,2.0,,,Horford,201143.0,
134,PT00M20.90S,2022-02-05T00:33:12.5Z,1,REGULAR,steal,,[],201143,,,1610612738,16,28,2022-02-05T01:12:49Z,1340000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M00.70S,2022-02-05T00:33:32.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203471,88.12417871222075,82.84313725490196,1610612738,16,28,2022-02-05T00:33:39Z,1350000,164.0,59.0,1,right,MISS D. Schroder 17' fadeaway Shot,[203471],1610612738.0,BOS,fadeaway,,,Schroder,D. Schroder,,,,,17.45,Missed,,,,,,,,,,,,,,,,,,,
136,PT00M00.70S,2022-02-05T00:33:32.7Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612765,16,28,2022-02-05T00:33:39Z,1360000,,,0,,T. Lyles REBOUND (Off:0 Def:2),[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,135.0,2.0,2.0,0.0,,,,,,
137,PT00M00.00S,2022-02-05T00:33:38.3Z,1,REGULAR,period,end,[],0,,,1610612765,16,28,2022-02-05T00:33:38Z,1370000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2022-02-05T00:33:45.4Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612765,16,28,2022-02-05T00:36:22Z,1380000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2022-02-05T00:33:45.4Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612765,16,28,2022-02-05T00:36:22Z,1390000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2022-02-05T00:36:25.1Z,2,REGULAR,period,start,[],0,,,1610612765,16,28,2022-02-05T00:36:25Z,1400000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT11M47.00S,2022-02-05T00:36:37.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628402,11.251642575558476,53.18627450980392,1610612765,16,28,2022-02-05T00:36:43Z,1410000,-16.0,53.0,1,left,MISS F. Jackson driving Layup - blocked,"[1628402, 1626196]",1610612765.0,DET,driving,,,Jackson,F. Jackson,,,,,5.56,Missed,,,,,,,,,,,,,,,Richardson,1626196.0,,,
142,PT11M47.00S,2022-02-05T00:36:37.5Z,2,REGULAR,block,,[],1626196,,,1610612765,16,28,2022-02-05T00:36:40Z,1420000,,,0,,J. Richardson BLOCK (1 BLK),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT11M47.00S,2022-02-05T00:36:37.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612765,16,28,2022-02-05T00:36:43Z,1430000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,141.0,,,,,,,,,
144,PT11M47.00S,2022-02-05T00:36:42.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,16,28,2022-02-05T00:36:42Z,1440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT11M36.00S,2022-02-05T00:37:04.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203482,8.623521681997373,43.13725490196079,1610612765,16,28,2022-02-05T00:37:09Z,1450000,34.0,29.0,1,left,MISS K. Olynyk Layup,[203482],1610612765.0,DET,,,,Olynyk,K. Olynyk,,,,,4.47,Missed,,,,,,,,,,,,,,,,,,,
146,PT11M31.00S,2022-02-05T00:37:09.0Z,2,REGULAR,rebound,offensive,[],203482,,,1610612765,16,28,2022-02-05T00:37:09Z,1460000,,,0,,K. Olynyk REBOUND (Off:1 Def:1),[203482],1610612765.0,DET,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,145.0,2.0,1.0,1.0,,,,,,
147,PT11M31.00S,2022-02-05T00:37:08.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203482,5.590000152587891,50.0,1610612765,18,28,2022-02-05T00:37:08Z,1470000,0.0,0.0,1,left,K. Olynyk tip Layup (2 PTS),[203482],1610612765.0,DET,tip,,,Olynyk,K. Olynyk,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
148,PT11M13.00S,2022-02-05T00:37:27.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,85.10183968462549,36.029411764705884,1610612738,18,30,2022-02-05T00:37:33Z,1480000,-70.0,88.0,1,right,R. Langford 11' driving floating Jump Shot (4 PTS) (A. Horford 2 AST),"[1629641, 201143]",1610612738.0,BOS,driving floating,,,Langford,R. Langford,,,,,11.2,Made,4.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,,,
150,PT10M55.00S,2022-02-05T00:37:44.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203585,10.33180026281209,47.30392156862745,1610612765,18,30,2022-02-05T00:37:49Z,1500000,13.0,45.0,1,left,MISS R. McGruder driving Layup,[203585],1610612765.0,DET,driving,,,McGruder,R. McGruder,,,,,4.66,Missed,,,,,,,,,,,,,,,,,,,
151,PT10M53.00S,2022-02-05T00:37:46.4Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,18,30,2022-02-05T00:37:49Z,1510000,,,0,,A. Horford REBOUND (Off:2 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,150.0,6.0,4.0,2.0,,,,,,
152,PT10M43.00S,2022-02-05T00:37:56.5Z,2,REGULAR,2pt,Jump Shot,[],203471,83.65637319316689,29.65686274509804,1610612738,18,32,2022-02-05T00:38:01Z,1520000,-102.0,101.0,1,right,D. Schroder 14' pullup Jump Shot (2 PTS) (J. Richardson 1 AST),"[203471, 1626196]",1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,14.34,Made,2.0,J. Richardson,1626196.0,1.0,,,,,,,,,,,,,,,
154,PT10M28.00S,2022-02-05T00:38:11.2Z,2,REGULAR,3pt,Jump Shot,[],1626168,31.488173455978973,20.833333333333336,1610612765,21,32,2022-02-05T00:38:16Z,1540000,146.0,243.0,1,left,T. Lyles 28' 3PT  (3 PTS) (K. Olynyk 1 AST),"[1626168, 203482]",1610612765.0,DET,,,,Lyles,T. Lyles,,,,,28.38,Made,3.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,,,,
156,PT10M03.00S,2022-02-05T00:38:40.0Z,2,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,21,32,2022-02-05T00:38:46Z,1560000,,,0,,J. Tatum lost ball out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,lost ball,,,Tatum,J. Tatum,,,,,,,,,,,201638.0,,,,,,,,,1.0,,,,,
157,PT09M49.00S,2022-02-05T00:39:07.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630165,7.835085413929041,54.90196078431373,1610612765,21,32,2022-02-05T00:39:17Z,1570000,-25.0,21.0,1,left,MISS K. Hayes driving finger roll Layup,[1630165],1610612765.0,DET,driving finger roll,,,Hayes,K. Hayes,,,,,3.23,Missed,,,,,,,,,,,,,,,,,,,
158,PT09M47.00S,2022-02-05T00:39:09.6Z,2,REGULAR,rebound,defensive,[],203471,,,1610612738,21,32,2022-02-05T00:39:17Z,1580000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,157.0,1.0,1.0,0.0,,,,,,
159,PT09M44.00S,2022-02-05T00:39:13.2Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],203471,75.50919842312747,64.2156862745098,1610612738,21,34,2022-02-05T00:39:20Z,1590000,71.0,178.0,1,right,D. Schroder 19' pullup Jump Shot (4 PTS),[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,19.14,Made,4.0,,,,,,,,,,,,,,,,,,
160,PT09M41.00S,2022-02-05T00:39:21.7Z,2,REGULAR,timeout,full,['team'],0,,,1610612765,21,34,2022-02-05T00:39:21Z,1600000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT09M41.00S,2022-02-05T00:39:26.4Z,2,REGULAR,substitution,out,[],203482,,,1610612765,21,34,2022-02-05T00:42:15Z,1610000,,,0,,SUB out: K. Olynyk,[203482],1610612765.0,DET,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT09M41.00S,2022-02-05T00:39:26.4Z,2,REGULAR,substitution,in,[],1630191,,,1610612765,21,34,2022-02-05T00:42:15Z,1620000,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT09M22.00S,2022-02-05T00:42:26.9Z,2,REGULAR,turnover,bad pass,[],1626168,,,1610612765,21,34,2022-02-05T00:42:31Z,1630000,,,0,,T. Lyles bad pass TURNOVER (3 TO),"[1626168, 1628369]",1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,3.0,,,Tatum,1628369.0,
164,PT09M22.00S,2022-02-05T00:42:26.9Z,2,REGULAR,steal,,[],1628369,,,1610612738,21,34,2022-02-05T00:42:29Z,1640000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT08M59.00S,2022-02-05T00:42:48.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203471,87.33574244415243,50.245098039215684,1610612738,21,34,2022-02-05T00:42:54Z,1650000,1.0,67.0,1,right,MISS D. Schroder 6' driving floating Shot,[203471],1610612738.0,BOS,driving floating,,,Schroder,D. Schroder,,,,,6.65,Missed,,,,,,,,,,,,,,,,,,,
166,PT08M56.00S,2022-02-05T00:42:51.9Z,2,REGULAR,rebound,offensive,[],201143,,,1610612738,21,34,2022-02-05T00:42:51Z,1660000,,,0,,A. Horford REBOUND (Off:3 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,165.0,7.0,4.0,3.0,,,,,,
167,PT08M55.00S,2022-02-05T00:42:53.1Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626196,66.96780551905388,34.80392156862745,1610612738,21,34,2022-02-05T00:42:56Z,1670000,-76.0,258.0,1,right,MISS J. Richardson 26' 3PT,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,26.9,Missed,,,,,,,,,,,,,,,,,,,
168,PT08M52.00S,2022-02-05T00:42:56.1Z,2,REGULAR,rebound,defensive,[],1630191,,,1610612765,21,34,2022-02-05T00:42:56Z,1680000,,,0,,I. Stewart REBOUND (Off:1 Def:3),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,167.0,4.0,3.0,1.0,,,,,,
169,PT08M38.00S,2022-02-05T00:43:09.9Z,2,REGULAR,3pt,Jump Shot,[],1630165,31.61957950065703,58.333333333333336,1610612765,21,34,2022-02-05T00:43:14Z,1690000,-42.0,245.0,1,left,MISS K. Hayes 24' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
170,PT08M36.00S,2022-02-05T00:43:11.9Z,2,REGULAR,rebound,defensive,[],203471,,,1610612738,21,34,2022-02-05T00:43:14Z,1700000,,,0,,D. Schroder REBOUND (Off:0 Def:2),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,169.0,2.0,2.0,0.0,,,,,,
171,PT08M18.00S,2022-02-05T00:43:30.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.72339027595268,40.19607843137255,1610612738,21,34,2022-02-05T00:43:37Z,1710000,-49.0,16.0,1,right,MISS J. Tatum Layup - blocked,"[1628369, 1630165]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,5.15,Missed,,,,,,,,,,,,,,,Hayes,1630165.0,,,
172,PT08M18.00S,2022-02-05T00:43:30.2Z,2,REGULAR,block,,[],1630165,,,1610612738,21,34,2022-02-05T00:43:33Z,1720000,,,0,,K. Hayes BLOCK (1 BLK),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT08M17.00S,2022-02-05T00:43:31.2Z,2,REGULAR,rebound,defensive,[],1630165,,,1610612765,21,34,2022-02-05T00:43:37Z,1730000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,171.0,1.0,1.0,0.0,,,,,,
175,PT08M17.00S,2022-02-05T00:43:37.6Z,2,REGULAR,foul,personal,[],203471,,,1610612765,21,34,2022-02-05T00:43:56Z,1750000,,,0,,D. Schroder take personal FOUL (1 PF),"[203471, 1630165]",1610612738.0,BOS,take,,,Schroder,D. Schroder,,,,,,,,,,,1198.0,1.0,0.0,Hayes,1630165.0,,,,,,,,,,
177,PT08M17.00S,2022-02-05T00:43:49.3Z,2,REGULAR,substitution,out,[],1629641,,,1610612765,21,34,2022-02-05T00:44:03Z,1770000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
