actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,playerName,playerNameI,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
89,PT05M08.00S,2021-11-02T23:23:54.2Z,1,REGULAR,substitution,in,[],202709,,,1610612749,10,15,2021-11-02T23:24:08Z,880000,,,0,,SUB in: C. Joseph,[202709],1610612765.0,DET,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M08.00S,2021-11-02T23:23:54.2Z,1,REGULAR,substitution,in,[],1629620,,,1610612749,10,15,2021-11-02T23:24:08Z,890000,,,0,,SUB in: J. Robinson,[1629620],1610612749.0,MIL,Robinson,J. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M59.00S,2021-11-02T23:24:20.3Z,1,REGULAR,3pt,Jump Shot,[],1628960,29.61563731931669,23.529411764705884,1610612749,10,18,2021-11-02T23:24:45Z,900000,132.0,226.0,1,left,G. Allen 26' 3PT  (6 PTS) (J. Robinson 1 AST),"[1628960, 1629620]",1610612749.0,MIL,Allen,G. Allen,,,,,,,,,,26.18,Made,6.0,J. Robinson,1629620.0,1.0,,,,,,,,,,,,
93,PT04M38.00S,2021-11-02T23:24:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,88.35413929040736,52.205882352941174,1610612765,12,18,2021-11-02T23:24:54Z,920000,11.0,57.0,1,right,J. Grant fadeaway Jump Shot (8 PTS),[203924],1610612765.0,DET,Grant,J. Grant,fadeaway,,,,,,,,,5.81,Made,8.0,,,,,,,,,,,,,,,
94,PT04M31.00S,2021-11-02T23:24:48.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,32.24375821287779,32.59803921568627,1610612749,12,18,2021-11-02T23:25:04Z,930000,87.0,251.0,1,left,MISS G. Allen 26' 3PT,[1628960],1610612749.0,MIL,Allen,G. Allen,,,,,,,,,,26.53,Missed,,,,,,,,,,,,,,,,
95,PT04M31.00S,2021-11-02T23:24:48.9Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,12,18,2021-11-02T23:25:04Z,940000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,Grant,J. Grant,,,,,,,,,,,,,,,,,,94.0,1.0,1.0,0.0,,,,,,
96,PT04M17.00S,2021-11-02T23:25:01.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203482,93.87319316688567,55.3921568627451,1610612765,14,18,2021-11-02T23:25:09Z,950000,27.0,5.0,1,right,K. Olynyk Layup (2 PTS) (C. Joseph 1 AST),"[203482, 202709]",1610612765.0,DET,Olynyk,K. Olynyk,,,,,,,,,,2.75,Made,2.0,C. Joseph,202709.0,1.0,,,,,,,,,,,,
98,PT03M55.00S,2021-11-02T23:25:24.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,10.430354796320628,39.70588235294118,1610612749,14,18,2021-11-02T23:25:30Z,970000,51.0,46.0,1,left,MISS B. Portis 6' turnaround Shot,[1626171],1610612749.0,MIL,Portis,B. Portis,turnaround,,,,,,,,,6.87,Missed,,,,,,,,,,,,,,,,
99,PT03M53.00S,2021-11-02T23:25:26.1Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,14,18,2021-11-02T23:25:30Z,980000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,98.0,1.0,1.0,0.0,,,,,,
100,PT03M44.00S,2021-11-02T23:25:37.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,93.2161629434954,96.07843137254902,1610612765,14,18,2021-11-02T23:25:42Z,990000,230.0,11.0,1,right,MISS C. Cunningham 3PT,[1630595],1610612765.0,DET,Cunningham,C. Cunningham,,,,,,,,,,23.07,Missed,,,,,,,,,,,,,,,,
101,PT03M44.00S,2021-11-02T23:25:37.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,14,18,2021-11-02T23:25:42Z,1000000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,
102,PT03M44.00S,2021-11-02T23:25:41.5Z,1,REGULAR,foul,personal,[],1628960,,,1610612765,14,18,2021-11-02T23:26:03Z,1010000,,,0,,G. Allen loose ball personal FOUL (1 PF),"[1628960, 203482]",1610612749.0,MIL,Allen,G. Allen,loose ball,,,,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Olynyk,203482.0,
104,PT03M44.00S,2021-11-02T23:25:53.8Z,1,REGULAR,substitution,out,[],1630595,,,1610612765,14,18,2021-11-02T23:25:59Z,1030000,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M44.00S,2021-11-02T23:25:53.8Z,1,REGULAR,substitution,in,[],1628367,,,1610612765,14,18,2021-11-02T23:25:59Z,1040000,,,0,,SUB in: J. Jackson,[1628367],1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M44.00S,2021-11-02T23:25:53.8Z,1,REGULAR,substitution,out,[],1628960,,,1610612765,14,18,2021-11-02T23:28:16Z,1045000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M44.00S,2021-11-02T23:25:53.8Z,1,REGULAR,substitution,in,[],203918,,,1610612765,14,18,2021-11-02T23:28:16Z,1047500,,,0,,SUB in: R. Hood,[203918],1610612749.0,MIL,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M32.00S,2021-11-02T23:26:11.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202709,78.49868593955321,78.18627450980392,1610612765,14,18,2021-11-02T23:26:17Z,1050000,141.0,150.0,1,right,MISS C. Joseph 20' pullup Shot,[202709],1610612765.0,DET,Joseph,C. Joseph,pullup,,,,,,,,,20.55,Missed,,,,,,,,,,,,,,,,
107,PT03M29.00S,2021-11-02T23:26:14.8Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612749,14,18,2021-11-02T23:26:17Z,1060000,,,0,,J. Nwora REBOUND (Off:0 Def:1),[1629670],1610612749.0,MIL,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,106.0,1.0,1.0,0.0,,,,,,
108,PT03M19.00S,2021-11-02T23:26:25.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629670,5.831143232588701,50.0,1610612749,14,20,2021-11-02T23:26:30Z,1070000,0.0,2.0,1,left,J. Nwora driving DUNK (2 PTS),[1629670],1610612749.0,MIL,Nwora,J. Nwora,driving,,,,,,,,,0.23,Made,2.0,,,,,,,,,,,,,,,
111,PT02M52.00S,2021-11-02T23:26:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,90.71944809461235,49.754901960784316,1610612765,16,20,2021-11-02T23:27:06Z,1100000,-1.0,35.0,1,right,K. Olynyk Layup (4 PTS),[203482],1610612765.0,DET,Olynyk,K. Olynyk,,,,,,,,,,3.47,Made,4.0,,,,,,,,,,,,,,,
112,PT02M46.00S,2021-11-02T23:27:01.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,16,20,2021-11-02T23:27:01Z,1110000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M46.00S,2021-11-02T23:27:02.4Z,1,REGULAR,substitution,out,[],1630180,,,1610612749,16,20,2021-11-02T23:29:51Z,1120000,,,0,,SUB out: S. Bey,[1630180],1610612765.0,DET,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M46.00S,2021-11-02T23:27:02.4Z,1,REGULAR,substitution,in,[],1628402,,,1610612749,16,20,2021-11-02T23:29:51Z,1130000,,,0,,SUB in: F. Jackson,[1628402],1610612765.0,DET,Jackson,F. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M36.00S,2021-11-02T23:30:04.3Z,1,REGULAR,2pt,Jump Shot,[],1626171,23.176741130091983,30.392156862745097,1610612749,16,20,2021-11-02T23:30:09Z,1140000,98.0,165.0,1,left,MISS B. Portis 19' Jump Shot,[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,19.23,Missed,,,,,,,,,,,,,,,,
118,PT02M34.00S,2021-11-02T23:30:06.6Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,16,20,2021-11-02T23:30:06Z,1150000,,,0,,C. Joseph REBOUND (Off:0 Def:2),[202709],1610612765.0,DET,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,117.0,2.0,2.0,0.0,,,,,,
119,PT02M13.00S,2021-11-02T23:30:28.4Z,1,REGULAR,3pt,Jump Shot,[],1628367,91.37647831800263,97.30392156862744,1610612765,16,20,2021-11-02T23:30:32Z,1160000,237.0,29.0,1,right,MISS J. Jackson 3PT,[1628367],1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,23.82,Missed,,,,,,,,,,,,,,,,
120,PT02M10.00S,2021-11-02T23:30:31.4Z,1,REGULAR,rebound,defensive,[],1629620,,,1610612749,16,20,2021-11-02T23:30:32Z,1170000,,,0,,J. Robinson REBOUND (Off:0 Def:1),[1629620],1610612749.0,MIL,Robinson,J. Robinson,,,,,,,,,,,,,,,,,,119.0,1.0,1.0,0.0,,,,,,
121,PT02M05.00S,2021-11-02T23:30:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,7.145203679369246,52.94117647058824,1610612749,16,20,2021-11-03T00:13:15Z,1180000,-15.0,15.0,1,left,MISS B. Portis cutting Layup - blocked,"[1626171, 1628367]",1610612749.0,MIL,Portis,B. Portis,cutting,,,,,,,,,2.08,Missed,,,,,Jackson,1628367.0,,,,,,,,,,
122,PT02M05.00S,2021-11-02T23:30:39.2Z,1,REGULAR,block,,[],1628367,,,1610612749,16,20,2021-11-02T23:30:43Z,1190000,,,0,,J. Jackson BLOCK (1 BLK),[1628367],1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M04.00S,2021-11-02T23:30:40.2Z,1,REGULAR,rebound,offensive,[],1629620,,,1610612749,16,20,2021-11-03T00:13:15Z,1200000,,,0,,J. Robinson REBOUND (Off:1 Def:1),[1629620],1610612749.0,MIL,Robinson,J. Robinson,,,,,,,,,,,,,,,,,,121.0,2.0,1.0,1.0,,,,,,
124,PT02M02.00S,2021-11-02T23:30:45.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629670,24.490801576872528,90.19607843137254,1610612749,16,20,2021-11-03T00:14:04Z,1210000,-201.0,178.0,1,left,MISS J. Nwora 26' 3PT,[1629670],1610612749.0,MIL,Nwora,J. Nwora,,,,,,,,,,26.83,Missed,,,,,,,,,,,,,,,,
125,PT02M00.00S,2021-11-02T23:30:47.2Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,16,20,2021-11-03T00:14:04Z,1220000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,124.0,1.0,0.0,1.0,,,,,,
126,PT01M59.00S,2021-11-02T23:31:01.3Z,1,REGULAR,foul,personal,['2freethrow'],1628367,,,1610612749,16,20,2021-11-02T23:35:42Z,1230000,,,0,,J. Jackson shooting personal FOUL (1 PF) (Portis 2 FT),"[1628367, 1626171]",1610612765.0,DET,Jackson,J. Jackson,shooting,,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Portis,1626171.0,
128,PT01M59.00S,2021-11-02T23:31:12.7Z,1,REGULAR,foul,technical,['1freethrow'],1628367,,,1610612749,16,20,2021-11-02T23:31:30Z,1250000,,,0,,J. Jackson technical FOUL (1 Tech),[1628367],1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,101283.0,1.0,1.0,,,
129,PT01M59.00S,2021-11-02T23:31:31.8Z,1,REGULAR,freethrow,1 of 1,[],203918,,,1610612749,16,21,2021-11-02T23:31:31Z,1260000,,,0,,R. Hood technical Free Throw 1 of 1 (1 PTS),[203918],1610612749.0,MIL,Hood,R. Hood,technical,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
130,PT01M59.00S,2021-11-02T23:31:42.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626171,,,1610612749,16,21,2021-11-02T23:31:42Z,1270000,,,0,,MISS B. Portis Free Throw 1 of 2,[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
131,PT01M59.00S,2021-11-02T23:31:42.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,16,21,2021-11-02T23:31:42Z,1280000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,
132,PT01M59.00S,2021-11-02T23:31:58.4Z,1,REGULAR,substitution,out,[],1629670,,,1610612749,16,21,2021-11-02T23:32:02Z,1290000,,,0,,SUB out: J. Nwora,[1629670],1610612749.0,MIL,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M59.00S,2021-11-02T23:31:58.4Z,1,REGULAR,substitution,in,[],203507,,,1610612749,16,21,2021-11-02T23:32:02Z,1300000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M59.00S,2021-11-02T23:32:03.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626171,,,1610612749,16,22,2021-11-02T23:32:03Z,1310000,,,0,,B. Portis Free Throw 2 of 2 (1 PTS),[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
135,PT01M43.00S,2021-11-02T23:32:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628367,94.79303547963207,45.833333333333336,1610612765,16,22,2021-11-02T23:32:25Z,1320000,-21.0,-4.0,1,right,MISS J. Jackson cutting Layup,[1628367],1610612765.0,DET,Jackson,J. Jackson,cutting,,,,,,,,,2.11,Missed,,,,,,,,,,,,,,,,
136,PT01M41.00S,2021-11-02T23:32:20.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,16,22,2021-11-02T23:32:25Z,1330000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,135.0,2.0,2.0,0.0,,,,,,
137,PT01M39.00S,2021-11-02T23:32:25.5Z,1,REGULAR,3pt,Jump Shot,[],1628400,7.408015768725363,3.9215686274509807,1610612749,16,22,2021-11-02T23:34:12Z,1340000,230.0,17.0,1,left,MISS S. Ojeleye 3PT,[1628400],1610612749.0,MIL,Ojeleye,S. Ojeleye,,,,,,,,,,23.1,Missed,,,,,,,,,,,,,,,,
138,PT01M36.00S,2021-11-02T23:32:28.5Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,16,22,2021-11-02T23:38:04Z,1350000,,,0,,B. Portis REBOUND (Off:2 Def:0),[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,137.0,2.0,0.0,2.0,,,,,,
139,PT01M34.00S,2021-11-02T23:32:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,7.276609724047319,46.81372549019608,1610612749,16,22,2021-11-02T23:33:40Z,1360000,16.0,16.0,1,left,MISS B. Portis Layup - blocked,"[1626171, 203482]",1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,2.25,Missed,,,,,Olynyk,203482.0,,,,,,,,,,
140,PT01M34.00S,2021-11-02T23:32:29.7Z,1,REGULAR,block,,[],203482,,,1610612749,16,22,2021-11-02T23:32:32Z,1370000,,,0,,K. Olynyk BLOCK (1 BLK),[203482],1610612765.0,DET,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M33.00S,2021-11-02T23:32:30.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,16,22,2021-11-02T23:33:40Z,1380000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,
142,PT01M33.00S,2021-11-02T23:32:35.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,16,22,2021-11-02T23:32:35Z,1390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M33.00S,2021-11-02T23:32:35.6Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,16,22,2021-11-02T23:32:39Z,1400000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M33.00S,2021-11-02T23:32:35.6Z,1,REGULAR,substitution,in,[],1629670,,,1610612749,16,22,2021-11-02T23:32:39Z,1410000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M22.00S,2021-11-02T23:32:54.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628400,10.693166885676746,55.3921568627451,1610612749,16,24,2021-11-02T23:33:02Z,1420000,-27.0,48.0,1,left,S. Ojeleye floating Jump Shot (2 PTS) (G. Antetokounmpo 1 AST),"[1628400, 203507]",1610612749.0,MIL,Ojeleye,S. Ojeleye,floating,,,,,,,,,5.51,Made,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,
147,PT01M11.00S,2021-11-02T23:33:06.9Z,1,REGULAR,3pt,Jump Shot,[],203482,66.93495400788436,63.48039215686275,1610612765,16,24,2021-11-02T23:33:12Z,1440000,67.0,258.0,1,right,MISS K. Olynyk 26' 3PT,[203482],1610612765.0,DET,Olynyk,K. Olynyk,,,,,,,,,,26.69,Missed,,,,,,,,,,,,,,,,
148,PT01M08.00S,2021-11-02T23:33:09.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,16,24,2021-11-02T23:33:12Z,1450000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,147.0,3.0,3.0,0.0,,,,,,
149,PT01M02.00S,2021-11-02T23:33:16.0Z,1,REGULAR,3pt,Jump Shot,[],1629620,5.174113009198422,97.05882352941177,1610612749,16,24,2021-11-02T23:33:27Z,1460000,-235.0,-4.0,1,left,MISS J. Robinson 3PT,[1629620],1610612749.0,MIL,Robinson,J. Robinson,,,,,,,,,,23.53,Missed,,,,,,,,,,,,,,,,
150,PT00M59.40S,2021-11-02T23:33:18.6Z,1,REGULAR,rebound,defensive,[],1628402,,,1610612765,16,24,2021-11-02T23:33:27Z,1470000,,,0,,F. Jackson REBOUND (Off:0 Def:1),[1628402],1610612765.0,DET,Jackson,F. Jackson,,,,,,,,,,,,,,,,,,149.0,1.0,1.0,0.0,,,,,,
151,PT00M43.80S,2021-11-02T23:33:35.2Z,1,REGULAR,2pt,Jump Shot,[],203924,78.76149802890933,77.94117647058823,1610612765,18,24,2021-11-02T23:39:44Z,1480000,140.0,147.0,1,right,J. Grant 20' pullup Jump Shot (10 PTS) (C. Joseph 2 AST),"[203924, 202709]",1610612765.0,DET,Grant,J. Grant,pullup,,,,,,,,,20.29,Made,10.0,C. Joseph,202709.0,2.0,,,,,,,,,,,,
153,PT00M27.20S,2021-11-02T23:33:54.2Z,1,REGULAR,3pt,Jump Shot,[],203507,26.987516425755587,86.27450980392157,1610612749,18,24,2021-11-02T23:34:38Z,1500000,-181.0,201.0,1,left,MISS G. Antetokounmpo 27' 3PT,[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,27.09,Missed,,,,,,,,,,,,,,,,
154,PT00M24.40S,2021-11-02T23:33:57.0Z,1,REGULAR,rebound,defensive,[],1628367,,,1610612765,18,24,2021-11-02T23:34:38Z,1510000,,,0,,J. Jackson REBOUND (Off:0 Def:1),[1628367],1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,153.0,1.0,1.0,0.0,,,,,,
155,PT00M21.90S,2021-11-02T23:34:01.4Z,1,REGULAR,foul,personal,['2freethrow'],1629670,,,1610612765,18,24,2021-11-02T23:34:13Z,1520000,,,0,,J. Nwora shooting personal FOUL (1 PF) (Jackson 2 FT),"[1629670, 1628367]",1610612749.0,MIL,Nwora,J. Nwora,shooting,,,,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Jackson,1628367.0,
157,PT00M21.90S,2021-11-02T23:34:23.4Z,1,REGULAR,freethrow,1 of 2,[],1628367,,,1610612765,19,24,2021-11-02T23:34:23Z,1540000,,,0,,J. Jackson Free Throw 1 of 2 (1 PTS),[1628367],1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
158,PT00M21.90S,2021-11-02T23:34:24.1Z,1,REGULAR,substitution,out,[],1628400,,,1610612765,19,24,2021-11-02T23:34:28Z,1550000,,,0,,SUB out: S. Ojeleye,[1628400],1610612749.0,MIL,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M21.90S,2021-11-02T23:34:24.1Z,1,REGULAR,substitution,in,[],1626192,,,1610612765,19,24,2021-11-02T23:34:28Z,1560000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M21.90S,2021-11-02T23:34:39.3Z,1,REGULAR,freethrow,2 of 2,[],1628367,,,1610612765,20,24,2021-11-02T23:34:39Z,1570000,,,0,,J. Jackson Free Throw 2 of 2 (2 PTS),[1628367],1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
161,PT00M03.80S,2021-11-02T23:35:01.7Z,1,REGULAR,3pt,Jump Shot,[],1629620,26.593298291721425,84.06862745098039,1610612749,20,27,2021-11-02T23:35:16Z,1580000,-170.0,197.0,1,left,J. Robinson 26' 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[1629620, 203507]",1610612749.0,MIL,Robinson,J. Robinson,,,,,,,,,,26.08,Made,3.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,,
163,PT00M00.00S,2021-11-02T23:35:08.5Z,1,REGULAR,3pt,Jump Shot,[],202709,65.75229960578187,69.8529411764706,1610612765,20,27,2021-11-02T23:35:19Z,1600000,99.0,269.0,1,right,MISS C. Joseph 28' 3PT,[202709],1610612765.0,DET,Joseph,C. Joseph,,,,,,,,,,28.71,Missed,,,,,,,,,,,,,,,,
164,PT00M00.00S,2021-11-02T23:35:08.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,20,27,2021-11-02T23:35:19Z,1610000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,163.0,,,,,,,,,
165,PT00M00.00S,2021-11-02T23:35:14.1Z,1,REGULAR,period,end,[],0,,,1610612765,20,27,2021-11-02T23:35:14Z,1620000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-11-02T23:37:09.0Z,2,REGULAR,substitution,out,['startperiod'],203924,,,1610612765,20,27,2021-11-02T23:37:52Z,1630000,,,0,,SUB out: J. Grant,[203924],1610612765.0,DET,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-11-02T23:37:09.0Z,2,REGULAR,substitution,out,['startperiod'],1629670,,,1610612765,20,27,2021-11-02T23:37:52Z,1640000,,,0,,SUB out: J. Nwora,[1629670],1610612749.0,MIL,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-11-02T23:37:09.0Z,2,REGULAR,substitution,in,['startperiod'],1626168,,,1610612765,20,27,2021-11-02T23:37:52Z,1650000,,,0,,SUB in: T. Lyles,[1626168],1610612765.0,DET,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-11-02T23:37:09.0Z,2,REGULAR,substitution,in,['startperiod'],203648,,,1610612765,20,27,2021-11-02T23:37:52Z,1660000,,,0,,SUB in: T. Antetokounmpo,[203648],1610612749.0,MIL,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-11-02T23:37:51.9Z,2,REGULAR,period,start,[],0,,,1610612749,20,27,2021-11-02T23:37:53Z,1670000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M40.00S,2021-11-02T23:38:10.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203648,5.305519053876466,53.18627450980392,1610612749,20,29,2021-11-02T23:38:38Z,1680000,-16.0,-3.0,1,left,T. Antetokounmpo reverse Layup (4 PTS) (G. Antetokounmpo 3 AST),"[203648, 203507]",1610612749.0,MIL,Antetokounmpo,T. Antetokounmpo,reverse,,,,,,,,,1.61,Made,4.0,G. Antetokounmpo,203507.0,3.0,,,,,,,,,,,,
173,PT11M20.00S,2021-11-02T23:38:31.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628402,94.3988173455979,51.96078431372549,1610612765,22,29,2021-11-02T23:38:42Z,1700000,10.0,0.0,1,right,F. Jackson driving Layup (2 PTS) (K. Olynyk 1 AST),"[1628402, 203482]",1610612765.0,DET,Jackson,F. Jackson,driving,,,,,,,,,0.98,Made,2.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,
175,PT11M07.00S,2021-11-02T23:38:45.6Z,2,REGULAR,foul,personal,[],1628367,,,1610612749,22,29,2021-11-02T23:39:03Z,1720000,,,0,,J. Jackson personal FOUL (2 PF),"[1628367, 203918]",1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,1628951.0,2.0,1.0,Hood,203918.0,
177,PT10M58.00S,2021-11-02T23:39:13.8Z,2,REGULAR,3pt,Jump Shot,[],1629620,33.952036793692514,52.69607843137255,1610612749,22,29,2021-11-02T23:39:22Z,1740000,-13.0,267.0,1,left,MISS J. Robinson 26' 3PT,[1629620],1610612749.0,MIL,Robinson,J. Robinson,,,,,,,,,,26.69,Missed,,,,,,,,,,,,,,,,
178,PT10M55.00S,2021-11-02T23:39:16.8Z,2,REGULAR,rebound,defensive,[],203482,,,1610612765,22,29,2021-11-02T23:39:22Z,1750000,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612765.0,DET,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,177.0,1.0,1.0,0.0,,,,,,
