actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
91,PT03M39.00S,2022-11-08T03:31:47.9Z,1,REGULAR,substitution,out,[],1628374,,,1610612762,24,26,2022-11-08T03:31:56Z,910000,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M39.00S,2022-11-08T03:31:47.9Z,1,REGULAR,substitution,in,[],200752,,,1610612762,24,26,2022-11-08T03:31:56Z,920000,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M39.00S,2022-11-08T03:31:47.9Z,1,REGULAR,substitution,in,[],203903,,,1610612762,24,26,2022-11-08T03:31:56Z,930000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M34.00S,2022-11-08T03:32:11.4Z,1,REGULAR,foul,personal,['2freethrow'],203076,,,1610612762,24,26,2022-11-08T03:32:15Z,940000,,,0,,A. Davis shooting personal FOUL (2 PF) (Sexton 2 FT),"[203076, 1629012]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,202049.0,2.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,
96,PT03M34.00S,2022-11-08T03:32:40.0Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612762,25,26,2022-11-08T03:32:40Z,960000,,,0,,C. Sexton Free Throw 1 of 2 (5 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,
97,PT03M34.00S,2022-11-08T03:32:43.1Z,1,REGULAR,substitution,out,[],203076,,,1610612762,25,26,2022-11-08T03:32:48Z,970000,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M34.00S,2022-11-08T03:32:43.1Z,1,REGULAR,substitution,in,[],1629117,,,1610612762,25,26,2022-11-08T03:32:48Z,980000,,,0,,SUB in: W. Gabriel,[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M34.00S,2022-11-08T03:33:03.4Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612762,26,26,2022-11-08T03:33:03Z,990000,,,0,,C. Sexton Free Throw 2 of 2 (6 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,
100,PT03M24.00S,2022-11-08T03:33:15.9Z,1,REGULAR,2pt,Jump Shot,[],1630346,73.53810775295663,67.40196078431373,1610612747,26,26,2022-11-08T03:33:21Z,1000000,87.0,196.0,1,right,MISS M. Ryan 21' pullup Shot,[1630346],1610612747.0,LAL,pullup,,,Ryan,M. Ryan,,,,,Mid-Range,16-24 Right Center,,,,,,21.46,Missed,,,,,,,,,,,,,
101,PT03M22.00S,2022-11-08T03:33:17.9Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,26,26,2022-11-08T03:33:21Z,1010000,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,100.0,1.0,1.0,0.0,,,,,
102,PT03M11.00S,2022-11-08T03:33:29.6Z,1,REGULAR,2pt,Jump Shot,[],200752,20.18725361366623,17.401960784313726,1610612762,28,26,2022-11-08T03:33:34Z,1020000,163.0,137.0,1,left,R. Gay 21' step back Jump Shot (2 PTS),[200752],1610612762.0,UTA,step back,,,Gay,R. Gay,,,,,Mid-Range,16-24 Right Center,,,,,,21.31,Made,2.0,,,,,,,,,,,,
103,PT02M55.00S,2022-11-08T03:33:45.4Z,1,REGULAR,3pt,Jump Shot,[],1631108,74.32654402102497,84.31372549019608,1610612747,28,26,2022-11-08T03:33:50Z,1030000,172.0,189.0,1,right,MISS M. Christie 25' 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,,,,,,25.51,Missed,,,,,,,,,,,,,
104,PT02M52.00S,2022-11-08T03:33:48.4Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,28,26,2022-11-08T03:33:50Z,1040000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,103.0,1.0,1.0,0.0,,,,,
105,PT02M47.00S,2022-11-08T03:33:52.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203903,31.882391590013142,43.38235294117647,1610612762,31,26,2022-11-08T03:33:59Z,1050000,33.0,247.0,1,left,J. Clarkson 24' 3PT pullup (8 PTS),[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Center,,,,,,24.94,Made,8.0,,,,,,,,,,,,
106,PT02M46.00S,2022-11-08T03:33:57.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,31,26,2022-11-08T03:33:57Z,1060000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M30.00S,2022-11-08T03:37:04.9Z,1,REGULAR,3pt,Jump Shot,[],201566,69.07030223390277,63.725490196078425,1610612747,31,29,2022-11-08T03:37:11Z,1070000,69.0,238.0,1,right,R. Westbrook 24' 3PT pullup (8 PTS),[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,,,,,,24.79,Made,8.0,,,,,,,,,,,,
109,PT02M15.00S,2022-11-08T03:37:20.3Z,1,REGULAR,3pt,Jump Shot,[],203903,33.590670170827856,71.56862745098039,1610612762,34,29,2022-11-08T03:37:25Z,1080000,-108.0,263.0,1,left,J. Clarkson 28' 3PT  (11 PTS) (T. Horton-Tucker 1 AST),"[203903, 1629659]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,,,,,,28.45,Made,11.0,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,
111,PT02M14.00S,2022-11-08T03:37:26.4Z,1,REGULAR,foul,personal,['1freethrow'],1629308,,,1610612762,34,29,2022-11-08T03:39:09Z,1100000,,,0,,J. Toscano-Anderson flagrant-type-1 personal FOUL (1 PF) (Clarkson 1 FT),"[1629308, 203903]",1610612747.0,LAL,flagrant-type-1,,,Toscano-Anderson,J. Toscano-Anderson,,,,,Above the Break 3,24+ Left Center,1151.0,1.0,0.0,Clarkson,203903.0,,,,,,,,,,,,,,,
114,PT02M14.00S,2022-11-08T03:39:25.3Z,1,REGULAR,freethrow,1 of 1,[],203903,,,1610612762,35,29,2022-11-08T03:39:32Z,1130000,,,0,,J. Clarkson flagrant Free Throw 1 of 1 (12 PTS),[203903],1610612762.0,UTA,flagrant,,,Clarkson,J. Clarkson,,,,,,,,,,,,,Made,12.0,,,,,,,,,,,,
115,PT01M59.00S,2022-11-08T03:39:57.7Z,1,REGULAR,3pt,Jump Shot,[],200752,24.26084099868594,83.57843137254902,1610612762,35,29,2022-11-08T03:40:03Z,1140000,-168.0,176.0,1,left,MISS R. Gay 24' 3PT,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,Above the Break 3,24+ Left Center,,,,,,24.3,Missed,,,,,,,,,,,,,
116,PT01M56.00S,2022-11-08T03:40:00.7Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612747,35,29,2022-11-08T03:40:03Z,1150000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:1),[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,115.0,1.0,1.0,0.0,,,,,
117,PT01M48.00S,2022-11-08T03:40:10.7Z,1,REGULAR,foul,offensive,[],1629117,,,1610612747,35,29,2022-11-08T03:40:17Z,1160000,,,0,,W. Gabriel offensive FOUL (2 PF),"[1629117, 1629012]",1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,Above the Break 3,24+ Left Center,202049.0,2.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,
119,PT01M48.00S,2022-11-08T03:40:10.7Z,1,REGULAR,turnover,offensive foul,[],1629117,,,1610612747,35,29,2022-11-08T03:40:10Z,1180000,,,0,,W. Gabriel offensive foul TURNOVER (1 TO),[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,Above the Break 3,24+ Left Center,202049.0,,,,,,,,,,,,,,,1.0,,,,
120,PT01M38.00S,2022-11-08T03:40:37.0Z,1,REGULAR,turnover,bad pass,[],1629659,,,1610612762,35,29,2022-11-08T03:40:43Z,1190000,,,0,,T. Horton-Tucker bad pass TURNOVER (1 TO),"[1629659, 1629117]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,,,Gabriel,1629117.0
121,PT01M38.00S,2022-11-08T03:40:37.0Z,1,REGULAR,steal,,[],1629117,,,1610612747,35,29,2022-11-08T03:40:41Z,1200000,,,0,,W. Gabriel STEAL (1 STL),[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
122,PT01M25.00S,2022-11-08T03:40:50.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201566,87.86136662286465,19.607843137254903,1610612747,35,29,2022-11-08T03:41:17Z,1210000,-152.0,62.0,1,right,MISS R. Westbrook 16' pullup bank Shot,[201566],1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Left,,,,,,16.4,Missed,,,,,,,,,,,,,
123,PT01M23.00S,2022-11-08T03:40:52.6Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,35,29,2022-11-08T03:40:56Z,1220000,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,122.0,1.0,1.0,0.0,,,,,
124,PT01M15.00S,2022-11-08T03:41:00.2Z,1,REGULAR,3pt,Jump Shot,[],203903,33.065045992115635,50.0,1610612762,35,29,2022-11-08T03:41:05Z,1230000,0.0,258.0,1,left,MISS J. Clarkson 25' step back 3PT,[203903],1610612762.0,UTA,step back,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Center,,,,,,25.83,Missed,,,,,,,,,,,,,
125,PT01M12.00S,2022-11-08T03:41:03.2Z,1,REGULAR,rebound,defensive,[],1629117,,,1610612747,35,29,2022-11-08T03:41:06Z,1240000,,,0,,W. Gabriel REBOUND (Off:0 Def:2),[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,124.0,2.0,2.0,0.0,,,,,
126,PT01M01.00S,2022-11-08T03:41:15.1Z,1,REGULAR,3pt,Jump Shot,[],1631108,66.96780551905388,49.754901960784316,1610612747,35,32,2022-11-08T03:41:19Z,1250000,-1.0,258.0,1,right,M. Christie 25' 3PT  (3 PTS) (R. Westbrook 1 AST),"[1631108, 201566]",1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Center,,,,,,25.8,Made,3.0,R. Westbrook,201566.0,1.0,,,,,,,,,
128,PT00M49.80S,2022-11-08T03:41:29.1Z,1,REGULAR,3pt,Jump Shot,[],1629659,29.6484888304862,73.77450980392157,1610612762,38,32,2022-11-08T03:41:35Z,1270000,-119.0,226.0,1,left,T. Horton-Tucker 25' 3PT step back (5 PTS) (C. Sexton 1 AST),"[1629659, 1629012]",1610612762.0,UTA,step back,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Left Center,,,,,,25.55,Made,5.0,C. Sexton,1629012.0,1.0,,,,,,,,,
129,PT00M37.50S,2022-11-08T03:41:43.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629117,89.43823915900131,48.77450980392157,1610612747,38,32,2022-11-08T03:41:49Z,1280000,-6.0,47.0,1,right,MISS W. Gabriel turnaround Hook,[1629117],1610612747.0,LAL,turnaround,,,Gabriel,W. Gabriel,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.72,Missed,,,,,,,,,,,,,
130,PT00M35.30S,2022-11-08T03:41:46.0Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,38,32,2022-11-08T03:41:49Z,1290000,,,0,,J. Clarkson REBOUND (Off:0 Def:2),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,129.0,2.0,2.0,0.0,,,,,
131,PT00M26.10S,2022-11-08T03:41:57.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201566,,,1610612762,38,32,2022-11-08T03:51:45Z,1300000,,,0,,R. Westbrook personal FOUL (1 PF) (Sexton 2 FT),"[201566, 1629012]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,1151.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,
134,PT00M26.10S,2022-11-08T03:42:26.2Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612762,38,32,2022-11-08T03:42:26Z,1320000,,,0,,MISS C. Sexton Free Throw 1 of 2,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
135,PT00M26.10S,2022-11-08T03:42:26.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,38,32,2022-11-08T03:42:26Z,1330000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,134.0,,,,,,,,
136,PT00M26.10S,2022-11-08T03:42:29.0Z,1,REGULAR,substitution,out,[],1629308,,,1610612762,38,32,2022-11-08T03:42:36Z,1340000,,,0,,SUB out: J. Toscano-Anderson,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M26.10S,2022-11-08T03:42:29.0Z,1,REGULAR,substitution,in,[],1629134,,,1610612762,38,32,2022-11-08T03:42:36Z,1350000,,,0,,SUB in: K. Nunn,[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT00M26.10S,2022-11-08T03:42:44.1Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612762,39,32,2022-11-08T03:42:44Z,1360000,,,0,,C. Sexton Free Throw 2 of 2 (7 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,Made,7.0,,,,,,,,,,,,
139,PT00M07.30S,2022-11-08T03:43:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,91.14651773981603,57.35294117647059,1610612747,39,34,2022-11-08T03:43:11Z,1370000,37.0,31.0,1,right,R. Westbrook driving Layup (10 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.79,Made,10.0,,,,,,,,,,,,
140,PT00M00.10S,2022-11-08T03:43:15.2Z,1,REGULAR,3pt,Jump Shot,[],203903,16.63929040735874,3.9215686274509802,1610612762,42,34,2022-11-08T03:43:20Z,1380000,230.0,104.0,1,left,J. Clarkson 25' 3PT pullup (15 PTS),[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,,,,25.27,Made,15.0,,,,,,,,,,,,
141,PT00M00.00S,2022-11-08T03:43:24.1Z,1,REGULAR,period,end,[],0,,,1610612747,42,34,2022-11-08T03:43:24Z,1390000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2022-11-08T03:44:41.6Z,2,REGULAR,substitution,out,['startperiod'],1629117,,,1610612747,42,34,2022-11-08T03:45:54Z,1410000,,,0,,SUB out: W. Gabriel,[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2022-11-08T03:44:41.6Z,2,REGULAR,substitution,out,['startperiod'],1629134,,,1610612747,42,34,2022-11-08T03:45:54Z,1420000,,,0,,SUB out: K. Nunn,[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2022-11-08T03:44:41.6Z,2,REGULAR,substitution,in,['startperiod'],1629638,,,1610612747,42,34,2022-11-08T03:45:54Z,1430000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-11-08T03:44:41.6Z,2,REGULAR,substitution,in,['startperiod'],1628972,,,1610612747,42,34,2022-11-08T03:45:54Z,1440000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2022-11-08T03:44:41.6Z,2,REGULAR,substitution,in,['startperiod'],1627745,,,1610612747,42,34,2022-11-08T03:45:54Z,1450000,,,0,,SUB in: D. Jones,[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-11-08T03:44:41.6Z,2,REGULAR,substitution,out,['startperiod'],1629012,,,1610612747,42,34,2022-11-08T03:46:03Z,1460000,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-11-08T03:46:04.0Z,2,REGULAR,period,start,[],0,,,1610612762,42,34,2022-11-08T03:46:04Z,1470000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M47.00S,2022-11-08T03:46:15.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,6.258212877792378,43.872549019607845,1610612762,42,34,2022-11-08T03:46:22Z,1480000,31.0,6.0,1,left,MISS T. Horton-Tucker driving Layup,[1629659],1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,,,,,,3.12,Missed,,,,,,,,,,,,,
152,PT11M44.00S,2022-11-08T03:46:18.9Z,2,REGULAR,rebound,offensive,[],1631117,,,1610612762,42,34,2022-11-08T03:46:22Z,1490000,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,151.0,1.0,0.0,1.0,,,,,
153,PT11M44.00S,2022-11-08T03:46:18.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631117,5.590000152587891,50.0,1610612762,44,34,2022-11-08T03:46:18Z,1500000,0.0,0.0,1,left,W. Kessler tip Layup (2 PTS),[1631117],1610612762.0,UTA,tip,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,,,,,,0.0,Made,2.0,,,,,,,,,,,,
154,PT11M34.00S,2022-11-08T03:46:28.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,84.83902759526939,40.44117647058824,1610612747,44,34,2022-11-08T03:47:06Z,1510000,-48.0,90.0,1,right,MISS R. Westbrook 10' driving floating Shot,[201566],1610612747.0,LAL,driving floating,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.19,Missed,,,,,,,,,,,,,
155,PT11M33.00S,2022-11-08T03:46:29.8Z,2,REGULAR,rebound,defensive,[],1631117,,,1610612762,44,34,2022-11-08T03:46:33Z,1520000,,,0,,W. Kessler REBOUND (Off:1 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,154.0,2.0,1.0,1.0,,,,,
156,PT11M24.00S,2022-11-08T03:46:39.5Z,2,REGULAR,3pt,Jump Shot,[],1629659,10.33180026281209,94.85294117647058,1610612762,44,34,2022-11-08T03:46:46Z,1530000,-224.0,45.0,1,left,MISS T. Horton-Tucker 3PT,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Left Corner 3,24+ Left,,,,,,22.87,Missed,,,,,,,,,,,,,
157,PT11M21.00S,2022-11-08T03:46:42.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612762,44,34,2022-11-08T03:46:46Z,1540000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,156.0,,,,,,,,
159,PT11M17.00S,2022-11-08T03:47:06.1Z,2,REGULAR,foul,personal,['2freethrow'],1630346,,,1610612762,44,34,2022-11-08T03:47:10Z,1560000,,,0,,M. Ryan shooting personal FOUL (1 PF) (Gay 2 FT),"[1630346, 200752]",1610612747.0,LAL,shooting,,,Ryan,M. Ryan,,,,,Restricted Area,0-8 Center,1151.0,1.0,0.0,Gay,200752.0,,,,,,,,,,,,,,,
161,PT11M17.00S,2022-11-08T03:47:28.2Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],200752,,,1610612762,45,34,2022-11-08T03:47:45Z,1580000,,,0,,R. Gay Free Throw 1 of 2 (3 PTS),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
162,PT11M17.00S,2022-11-08T03:47:28.2Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],200752,,,1610612762,45,34,2022-11-08T03:47:45Z,1590000,,,0,,MISS R. Gay Free Throw 2 of 2,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
163,PT11M16.00S,2022-11-08T03:47:29.2Z,2,REGULAR,rebound,defensive,[],201566,,,1610612747,45,34,2022-11-08T03:47:45Z,1600000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,162.0,1.0,1.0,0.0,,,,,
164,PT10M57.00S,2022-11-08T03:48:03.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628972,86.5473061760841,57.59803921568627,1610612747,45,36,2022-11-08T03:48:43Z,1610000,38.0,74.0,1,right,T. Brown Jr. 8' driving floating Jump Shot (7 PTS) (M. Christie 1 AST),"[1628972, 1631108]",1610612747.0,LAL,driving floating,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.32,Made,7.0,M. Christie,1631108.0,1.0,,,,,,,,,
166,PT10M45.00S,2022-11-08T03:48:14.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,8.623521681997373,57.84313725490197,1610612762,45,36,2022-11-08T03:48:19Z,1630000,-39.0,29.0,1,left,MISS T. Horton-Tucker driving Layup - blocked,"[1629659, 1627745]",1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.85,Missed,,,,,,,,,,Jones,1627745.0,,
167,PT10M45.00S,2022-11-08T03:48:14.5Z,2,REGULAR,block,,[],1627745,,,1610612762,45,36,2022-11-08T03:48:16Z,1640000,,,0,,D. Jones BLOCK (1 BLK),[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
168,PT10M45.00S,2022-11-08T03:48:14.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612762,45,36,2022-11-08T03:48:19Z,1650000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,166.0,,,,,,,,
170,PT10M35.00S,2022-11-08T03:48:36.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631117,5.075558475689881,54.166666666666664,1610612762,47,36,2022-11-08T03:49:40Z,1670000,-21.0,-5.0,1,left,W. Kessler Layup (4 PTS) (J. Clarkson 2 AST),"[1631117, 203903]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,2.13,Made,4.0,J. Clarkson,203903.0,2.0,,,,,,,,,
172,PT10M11.00S,2022-11-08T03:49:02.4Z,2,REGULAR,foul,personal,['2freethrow'],1631117,,,1610612747,47,36,2022-11-08T03:49:06Z,1690000,,,0,,W. Kessler shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1631117, 201566]",1610612762.0,UTA,shooting,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Left,1151.0,1.0,0.0,Westbrook,201566.0,,,,,,,,,,,,,,,
174,PT10M11.00S,2022-11-08T03:49:31.5Z,2,REGULAR,freethrow,1 of 2,[],201566,,,1610612747,47,37,2022-11-08T03:49:31Z,1710000,,,0,,R. Westbrook Free Throw 1 of 2 (11 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,Made,11.0,,,,,,,,,,,,
175,PT10M11.00S,2022-11-08T03:49:38.6Z,2,REGULAR,substitution,out,[],1630346,,,1610612747,47,37,2022-11-08T03:49:40Z,1720000,,,0,,SUB out: M. Ryan,[1630346],1610612747.0,LAL,,,,Ryan,M. Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT10M11.00S,2022-11-08T03:49:38.6Z,2,REGULAR,substitution,in,[],1629308,,,1610612747,47,37,2022-11-08T03:49:40Z,1730000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT10M11.00S,2022-11-08T03:49:56.2Z,2,REGULAR,freethrow,2 of 2,[],201566,,,1610612747,47,38,2022-11-08T03:49:56Z,1740000,,,0,,R. Westbrook Free Throw 2 of 2 (12 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,Made,12.0,,,,,,,,,,,,
178,PT10M02.00S,2022-11-08T03:50:08.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,14.273981603153747,58.82352941176471,1610612762,49,38,2022-11-08T03:50:13Z,1750000,-44.0,82.0,1,left,J. Clarkson 9' floating Jump Shot (17 PTS) (T. Horton-Tucker 2 AST),"[203903, 1629659]",1610612762.0,UTA,floating,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.28,Made,17.0,T. Horton-Tucker,1629659.0,2.0,,,,,,,,,
