actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
86,PT05M06.00S,2022-12-23T02:25:29.7Z,1,REGULAR,substitution,in,[],1629060,,,1610612764,12,17,2022-12-23T02:25:44Z,850000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M46.00S,2022-12-23T02:26:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203078,91.80354796320631,55.63725490196079,1610612764,12,19,2022-12-23T02:26:16Z,870000,False,28.0,25.0,1,right,B. Beal driving Layup (2 PTS),[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,3.74,Made,,2.0,,,,,,,,,,,,,,,,
89,PT04M38.00S,2022-12-23T02:26:18.8Z,1,REGULAR,2pt,Jump Shot,[],1627736,5.601182654402102,33.82352941176471,1610612762,14,19,2022-12-23T02:26:24Z,880000,False,81.0,0.0,1,left,M. Beasley 8' driving floating Jump Shot (2 PTS) (M. Conley 3 AST),"[1627736, 201144]",1610612762.0,UTA,driving floating,,,Beasley,M. Beasley,,,,,Mid-Range,0-8 Center,8.09,Made,,2.0,M. Conley,201144.0,3.0,,,,,,,,,,,,,
91,PT04M30.00S,2022-12-23T02:26:25.8Z,1,REGULAR,turnover,out-of-bounds,[],1628420,,,1610612764,14,19,2022-12-23T02:26:31Z,900000,False,,,0,,M. Morris bad pass out-of-bounds TURNOVER (1 TO),[1628420],1610612764.0,WAS,bad pass,,,Morris,M. Morris,,,,,Mid-Range,8-16 Left,,,,,,,,1628480.0,1.0,,,,,,,,,,,
92,PT04M26.00S,2022-12-23T02:26:40.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627736,23.73521681997372,12.254901960784313,1610612762,14,19,2022-12-23T02:26:46Z,910000,False,189.0,171.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,25.44,Missed,,,,,,,,,,,,,,,,,,
93,PT04M22.00S,2022-12-23T02:26:44.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,14,19,2022-12-23T02:26:46Z,920000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,,,92.0,,,,,,,1.0,1.0,0.0,,,,,,,,
94,PT04M17.00S,2022-12-23T02:26:48.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630557,68.9388961892247,24.754901960784316,1610612764,14,19,2022-12-23T02:26:56Z,930000,False,-126.0,239.0,1,right,MISS C. Kispert 27' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,27.07,Missed,,,,,,,,,,,,,,,,,,
95,PT04M12.00S,2022-12-23T02:26:53.8Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,14,19,2022-12-23T02:26:56Z,940000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Left Center,,,94.0,,,,,,,1.0,1.0,0.0,,,,,,,,
96,PT03M58.00S,2022-12-23T02:27:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200752,9.411957950065702,46.568627450980394,1610612762,14,19,2022-12-23T02:27:11Z,950000,False,17.0,36.0,1,left,MISS R. Gay driving Layup,[200752],1610612762.0,UTA,driving,,,Gay,R. Gay,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,,,,,,,,,,,,,,
97,PT03M56.00S,2022-12-23T02:27:08.8Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,14,19,2022-12-23T02:27:08Z,960000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,96.0,,,,,,,2.0,2.0,0.0,,,,,,,,
98,PT03M48.00S,2022-12-23T02:27:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,92.85479632063075,53.431372549019606,1610612764,14,21,2022-12-23T02:27:23Z,970000,False,17.0,15.0,1,right,R. Hachimura driving Layup (2 PTS),[1629060],1610612764.0,WAS,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,2.26,Made,,2.0,,,,,,,,,,,,,,,,
99,PT03M48.00S,2022-12-23T02:27:21.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",200752,,,1610612764,14,21,2022-12-23T02:27:25Z,980000,False,,,0,,R. Gay shooting personal FOUL (1 PF) (Hachimura 1 FT),"[200752, 1629060]",1610612762.0,UTA,shooting,,,Gay,R. Gay,,,,,Restricted Area,0-8 Center,,,,,,,,2882.0,,,,,,,1.0,0.0,Hachimura,1629060.0,,
101,PT03M48.00S,2022-12-23T02:27:27.8Z,1,REGULAR,substitution,out,[],201144,,,1610612764,14,21,2022-12-23T02:28:29Z,1000000,False,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M48.00S,2022-12-23T02:27:27.8Z,1,REGULAR,substitution,out,[],1628420,,,1610612764,14,21,2022-12-23T02:28:29Z,1010000,False,,,0,,SUB out: M. Morris,[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M48.00S,2022-12-23T02:27:27.8Z,1,REGULAR,substitution,out,[],1630557,,,1610612764,14,21,2022-12-23T02:28:29Z,1020000,False,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M48.00S,2022-12-23T02:27:27.8Z,1,REGULAR,substitution,in,[],1629638,,,1610612764,14,21,2022-12-23T02:28:29Z,1030000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M48.00S,2022-12-23T02:27:27.8Z,1,REGULAR,substitution,in,[],1630692,,,1610612764,14,21,2022-12-23T02:28:29Z,1040000,False,,,0,,SUB in: J. Goodwin,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M48.00S,2022-12-23T02:27:27.8Z,1,REGULAR,substitution,in,[],203115,,,1610612764,14,21,2022-12-23T02:28:29Z,1050000,False,,,0,,SUB in: W. Barton,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M48.00S,2022-12-23T02:27:50.9Z,1,REGULAR,freethrow,1 of 1,[],1629060,,,1610612764,14,22,2022-12-23T02:27:51Z,1060000,False,,,0,,R. Hachimura Free Throw 1 of 1 (3 PTS),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
108,PT03M39.00S,2022-12-23T02:28:05.6Z,1,REGULAR,turnover,out-of-bounds,[],1629012,,,1610612762,14,22,2022-12-23T02:28:12Z,1070000,False,,,0,,C. Sexton lost ball out-of-bounds TURNOVER (1 TO),[1629012],1610612762.0,UTA,lost ball,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Left,,,,,,,,2882.0,1.0,,,,,,,,,,,
109,PT03M39.00S,2022-12-23T02:28:11.4Z,1,REGULAR,substitution,out,[],203078,,,1610612764,14,22,2022-12-23T02:28:14Z,1080000,False,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M39.00S,2022-12-23T02:28:11.4Z,1,REGULAR,substitution,in,[],1628398,,,1610612764,14,22,2022-12-23T02:28:14Z,1090000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M31.00S,2022-12-23T02:28:27.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628398,92.9862023653088,66.42156862745098,1610612764,14,22,2022-12-23T02:28:32Z,1100000,False,82.0,13.0,1,right,MISS K. Kuzma 8' driving floating Shot,[1628398],1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,8.32,Missed,,,,,,,,,,,,,,,,,,
112,PT03M29.00S,2022-12-23T02:28:29.9Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,14,22,2022-12-23T02:28:32Z,1110000,False,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,Mid-Range,8-16 Right,,,111.0,,,,,,,1.0,1.0,0.0,,,,,,,,
113,PT03M28.00S,2022-12-23T02:28:33.5Z,1,REGULAR,foul,personal,[],1629060,,,1610612762,14,22,2022-12-23T02:28:50Z,1120000,False,,,0,,R. Hachimura personal FOUL (1 PF),"[1629060, 1629012]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2882.0,,,,,,,1.0,0.0,Sexton,1629012.0,,
115,PT03M19.00S,2022-12-23T02:29:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1629012,7.835085413929041,56.372549019607845,1610612762,16,22,2022-12-23T02:29:16Z,1140000,False,-32.0,21.0,1,left,C. Sexton driving Layup (6 PTS),[1629012],1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,3.82,Made,,6.0,,,,,,,,,,,,,,,,
116,PT03M19.00S,2022-12-23T02:29:05.3Z,1,REGULAR,violation,defensive goaltending,[],1629060,,,1610612762,16,22,2022-12-23T02:29:16Z,1150000,False,,,0,,R. Hachimura defensive goaltending VIOLATION,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,1628480.0,,,,,,,,,,,,
117,PT03M05.00S,2022-12-23T02:29:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,92.32917214191852,47.05882352941176,1610612764,16,22,2022-12-23T02:29:32Z,1160000,False,-15.0,20.0,1,right,MISS K. Kuzma reverse Layup,[1628398],1610612764.0,WAS,reverse,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
118,PT03M03.00S,2022-12-23T02:29:25.8Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612762,16,22,2022-12-23T02:29:32Z,1170000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,117.0,,,,,,,1.0,1.0,0.0,,,,,,,,
119,PT02M59.00S,2022-12-23T02:29:29.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629012,28.33442838370565,83.82352941176471,1610612762,19,22,2022-12-23T02:42:28Z,1180000,False,-169.0,214.0,1,left,C. Sexton 27' 3PT running (9 PTS) (N. Alexander-Walker 1 AST),"[1629012, 1629638]",1610612762.0,UTA,running,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,27.26,Made,,9.0,N. Alexander-Walker,1629638.0,1.0,,,,,,,,,,,,,
121,PT02M48.00S,2022-12-23T02:29:42.2Z,1,REGULAR,turnover,bad pass,[],1630692,,,1610612764,19,22,2022-12-23T02:29:50Z,1200000,False,,,0,,J. Goodwin bad pass TURNOVER (1 TO),"[1630692, 1627736]",1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,,,,,,,,,,Beasley,1627736.0
122,PT02M48.00S,2022-12-23T02:29:42.2Z,1,REGULAR,steal,,[],1627736,,,1610612762,19,22,2022-12-23T02:29:43Z,1210000,False,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
123,PT02M43.00S,2022-12-23T02:29:47.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627736,7.835085413929041,40.19607843137255,1610612762,19,22,2022-12-23T02:43:37Z,1220000,False,49.0,21.0,1,left,MISS M. Beasley running Layup,[1627736],1610612762.0,UTA,running,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,,,,,,,,,,,,,,,,,,
124,PT02M43.00S,2022-12-23T02:29:47.6Z,1,REGULAR,rebound,offensive,[],1629012,,,1610612762,19,22,2022-12-23T02:43:37Z,1230000,False,,,0,,C. Sexton REBOUND (Off:1 Def:0),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,123.0,,,,,,,1.0,0.0,1.0,,,,,,,,
125,PT02M43.00S,2022-12-23T02:29:52.9Z,1,REGULAR,foul,personal,['2freethrow'],1630692,,,1610612762,19,22,2022-12-23T02:29:59Z,1240000,False,,,0,,J. Goodwin shooting personal FOUL (1 PF) (Sexton 2 FT),"[1630692, 1629012]",1610612764.0,WAS,shooting,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628480.0,,,,,,,1.0,0.0,Sexton,1629012.0,,
127,PT02M43.00S,2022-12-23T02:30:03.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,19,22,2022-12-23T02:30:03Z,1260000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M43.00S,2022-12-23T02:32:18.0Z,1,REGULAR,substitution,out,[],201959,,,1610612762,19,22,2022-12-23T02:32:25Z,1270000,False,,,0,,SUB out: T. Gibson,[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M43.00S,2022-12-23T02:32:18.0Z,1,REGULAR,substitution,in,[],1629655,,,1610612762,19,22,2022-12-23T02:32:25Z,1280000,False,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M43.00S,2022-12-23T02:32:55.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629012,,,1610612762,20,22,2022-12-23T02:32:55Z,1290000,False,,,0,,C. Sexton Free Throw 1 of 2 (10 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,,10.0,,,,,,,,,,,,,,,,
131,PT02M43.00S,2022-12-23T02:33:11.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629012,,,1610612762,21,22,2022-12-23T02:33:11Z,1300000,False,,,0,,C. Sexton Free Throw 2 of 2 (11 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,,11.0,,,,,,,,,,,,,,,,
132,PT02M26.00S,2022-12-23T02:33:31.9Z,1,REGULAR,3pt,Jump Shot,[],203115,67.23061760840999,44.11764705882353,1610612764,21,22,2022-12-23T02:33:36Z,1310000,False,-29.0,256.0,1,right,MISS W. Barton 25' 3PT,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Above the Break 3,24+ Center,25.72,Missed,,,,,,,,,,,,,,,,,,
133,PT02M22.00S,2022-12-23T02:33:35.9Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612762,21,22,2022-12-23T02:33:36Z,1320000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,,,132.0,,,,,,,1.0,1.0,0.0,,,,,,,,
134,PT02M15.00S,2022-12-23T02:33:42.3Z,1,REGULAR,3pt,Jump Shot,[],1627736,30.167953350854138,63.25827205882353,1610612762,24,22,2022-12-23T02:34:44Z,1330000,False,-66.0,231.0,1,left,M. Beasley 24' 3PT pullup (5 PTS),[1627736],1610612762.0,UTA,pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,24.04,Made,,5.0,,,,,,,,,,,,,,,,
135,PT01M56.00S,2022-12-23T02:34:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,92.72339027595268,53.67647058823529,1610612764,24,24,2022-12-23T02:34:07Z,1340000,False,18.0,16.0,1,right,D. Gafford Layup (6 PTS) (W. Barton 1 AST),"[1629655, 203115]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,2.43,Made,,6.0,W. Barton,203115.0,1.0,,,,,,,,,,,,,
137,PT01M56.00S,2022-12-23T02:34:06.0Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629012,,,1610612764,24,24,2022-12-23T02:34:11Z,1360000,False,,,0,,C. Sexton shooting personal FOUL (2 PF) (Gafford 1 FT),"[1629012, 1629655]",1610612762.0,UTA,shooting,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,,,202053.0,,,,,,,2.0,0.0,Gafford,1629655.0,,
139,PT01M56.00S,2022-12-23T02:34:11.7Z,1,REGULAR,substitution,out,[],1629012,,,1610612764,24,24,2022-12-23T02:34:44Z,1380000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M56.00S,2022-12-23T02:34:11.7Z,1,REGULAR,substitution,out,[],200752,,,1610612764,24,24,2022-12-23T02:34:44Z,1390000,False,,,0,,SUB out: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M56.00S,2022-12-23T02:34:11.7Z,1,REGULAR,substitution,in,[],1628374,,,1610612764,24,24,2022-12-23T02:34:44Z,1400000,False,,,0,,SUB in: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M56.00S,2022-12-23T02:34:11.7Z,1,REGULAR,substitution,in,[],1631117,,,1610612764,24,24,2022-12-23T02:34:44Z,1410000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M56.00S,2022-12-23T02:34:35.5Z,1,REGULAR,freethrow,1 of 1,[],1629655,,,1610612764,24,25,2022-12-23T02:34:35Z,1420000,False,,,0,,D. Gafford Free Throw 1 of 1 (7 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
144,PT01M42.00S,2022-12-23T02:34:52.0Z,1,REGULAR,3pt,Jump Shot,[],1628374,17.559132720105126,5.147058823529411,1610612762,27,25,2022-12-23T02:34:56Z,1430000,False,224.0,113.0,1,left,L. Markkanen 25' 3PT  (9 PTS) (N. Alexander-Walker 2 AST),"[1628374, 1629638]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,25.1,Made,,9.0,N. Alexander-Walker,1629638.0,2.0,,,,,,,,,,,,,
146,PT01M23.00S,2022-12-23T02:35:11.5Z,1,REGULAR,2pt,Jump Shot,[],1628398,82.07950065703022,72.30392156862744,1610612764,27,25,2022-12-23T02:35:16Z,1450000,False,112.0,116.0,1,right,MISS K. Kuzma 16' pullup Shot,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Right Center,16.09,Missed,,,,,,,,,,,,,,,,,,
147,PT01M21.00S,2022-12-23T02:35:13.5Z,1,REGULAR,rebound,offensive,[],1628398,,,1610612764,27,25,2022-12-23T02:35:16Z,1460000,False,,,0,,K. Kuzma REBOUND (Off:1 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Right Center,,,146.0,,,,,,,3.0,2.0,1.0,,,,,,,,
148,PT01M19.00S,2022-12-23T02:35:15.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628398,92.32917214191852,67.64705882352942,1610612764,27,27,2022-12-23T02:35:20Z,1470000,False,88.0,20.0,1,right,K. Kuzma 9' floating Jump Shot (10 PTS),[1628398],1610612764.0,WAS,floating,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,9.04,Made,,10.0,,,,,,,,,,,,,,,,
149,PT01M01.00S,2022-12-23T02:35:35.6Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612762,27,27,2022-12-23T02:35:40Z,1480000,False,,,0,,D. Gafford shooting personal FOUL (1 PF) (Beasley 2 FT),"[1629655, 1627736]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202053.0,,,,,,,1.0,0.0,Beasley,1627736.0,,
151,PT01M01.00S,2022-12-23T02:36:11.5Z,1,REGULAR,freethrow,1 of 2,[],1627736,,,1610612762,28,27,2022-12-23T02:36:30Z,1500000,False,,,0,,M. Beasley Free Throw 1 of 2 (6 PTS),[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,Made,,6.0,,,,,,,,,,,,,,,,
152,PT01M01.00S,2022-12-23T02:36:11.5Z,1,REGULAR,freethrow,2 of 2,[],1627736,,,1610612762,28,27,2022-12-23T02:36:30Z,1510000,False,,,0,,MISS M. Beasley Free Throw 2 of 2,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
153,PT00M59.60S,2022-12-23T02:36:12.9Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612764,28,27,2022-12-23T02:36:30Z,1520000,False,,,0,,J. Goodwin REBOUND (Off:0 Def:1),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,152.0,,,,,,,1.0,1.0,0.0,,,,,,,,
154,PT00M45.60S,2022-12-23T02:36:43.1Z,1,REGULAR,2pt,Jump Shot,[],1628398,74.85216819973719,50.98039215686274,1610612764,28,27,2022-12-23T02:36:47Z,1530000,False,5.0,184.0,1,right,MISS K. Kuzma 18' pullup Shot,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Center,18.4,Missed,,,,,,,,,,,,,,,,,,
155,PT00M42.70S,2022-12-23T02:36:46.0Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,28,27,2022-12-23T02:36:47Z,1540000,False,,,0,,W. Kessler REBOUND (Off:1 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,16-24 Center,,,154.0,,,,,,,3.0,2.0,1.0,,,,,,,,
156,PT00M31.70S,2022-12-23T02:36:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,9.937582128777924,35.53921568627451,1610612762,30,27,2022-12-23T02:37:03Z,1550000,False,72.0,41.0,1,left,N. Alexander-Walker 8' driving Layup (2 PTS),[1629638],1610612762.0,UTA,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Right,8.31,Made,,2.0,,,,,,,,,,,,,,,,
157,PT00M14.90S,2022-12-23T02:37:16.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,91.93495400788436,58.333333333333336,1610612764,30,27,2022-12-23T02:37:20Z,1560000,False,42.0,23.0,1,right,MISS D. Gafford Layup,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,4.78,Missed,,,,,,,,,,,,,,,,,,
158,PT00M12.70S,2022-12-23T02:37:18.3Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,30,27,2022-12-23T02:37:18Z,1570000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,157.0,,,,,,,2.0,2.0,0.0,,,,,,,,
159,PT00M01.70S,2022-12-23T02:37:29.3Z,1,REGULAR,3pt,Jump Shot,[],1627736,32.40801576872536,63.725490196078425,1610612762,30,27,2022-12-23T02:37:35Z,1580000,False,-69.0,252.0,1,left,MISS M. Beasley 26' step back 3PT,[1627736],1610612762.0,UTA,step back,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,26.13,Missed,,,,,,,,,,,,,,,,,,
160,PT00M01.70S,2022-12-23T02:37:29.3Z,1,REGULAR,rebound,defensive,[],203115,,,1610612764,30,27,2022-12-23T02:37:35Z,1590000,False,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Above the Break 3,24+ Center,,,159.0,,,,,,,1.0,1.0,0.0,,,,,,,,
161,PT00M00.00S,2022-12-23T02:37:35.5Z,1,REGULAR,period,end,[],0,,,1610612764,30,27,2022-12-23T02:37:35Z,1600000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-12-23T02:39:41.0Z,2,REGULAR,substitution,in,['startperiod'],1630557,,,1610612764,30,27,2022-12-23T02:40:02Z,1620000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-12-23T02:39:41.0Z,2,REGULAR,substitution,out,['startperiod'],1629060,,,1610612764,30,27,2022-12-23T02:40:10Z,1630000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-12-23T02:40:12.9Z,2,REGULAR,period,start,[],0,,,1610612764,30,27,2022-12-23T02:40:12Z,1640000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M41.00S,2022-12-23T02:40:31.2Z,2,REGULAR,2pt,Jump Shot,[],1630692,73.9323258869908,52.450980392156865,1610612764,30,29,2022-12-23T02:40:37Z,1650000,False,12.0,193.0,1,right,J. Goodwin 19' pullup Jump Shot (2 PTS),[1630692],1610612764.0,WAS,pullup,,,Goodwin,J. Goodwin,,,,,Mid-Range,16-24 Center,19.29,Made,,2.0,,,,,,,,,,,,,,,,
168,PT11M21.00S,2022-12-23T02:40:52.9Z,2,REGULAR,turnover,out-of-bounds,[],1629638,,,1610612762,30,29,2022-12-23T02:40:58Z,1670000,False,,,0,,N. Alexander-Walker lost ball out-of-bounds TURNOVER (1 TO),[1629638],1610612762.0,UTA,lost ball,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,,,,,,,,2882.0,1.0,,,,,,,,,,,
