actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
730,PT00M12.10S,2023-01-01T04:34:20.9Z,4,REGULAR,substitution,in,[],1629312,,,1610612762,120,123,2023-01-01T04:35:47Z,7197500,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
725,PT00M12.10S,2023-01-01T04:35:00.4Z,4,REGULAR,substitution,out,[],1629012,,,1610612762,120,123,2023-01-01T04:35:03Z,7200000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
726,PT00M12.10S,2023-01-01T04:35:00.4Z,4,REGULAR,substitution,in,[],1627736,,,1610612762,120,123,2023-01-01T04:35:03Z,7210000,False,,,0,,SUB in: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
727,PT00M06.30S,2023-01-01T04:35:22.1Z,4,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1629312,,,1610612762,120,123,2023-01-01T04:38:52Z,7220000,False,,,0,,H. Highsmith shooting personal FOUL (4 PF) (Markkanen 3 FT),"[1629312, 1628374]",1610612748.0,MIA,shooting,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,2714.0,4.0,0.0,Markkanen,1628374.0,,,,,,
731,PT00M06.30S,2023-01-01T04:35:56.2Z,4,REGULAR,freethrow,1 of 3,[],1628374,,,1610612762,121,123,2023-01-01T04:38:34Z,7240000,False,,,0,,L. Markkanen Free Throw 1 of 3 (27 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,27.0,,,,,,,,,,,,,,,,,
732,PT00M06.30S,2023-01-01T04:35:56.2Z,4,REGULAR,freethrow,2 of 3,[],1628374,,,1610612762,122,123,2023-01-01T04:38:34Z,7250000,False,,,0,,L. Markkanen Free Throw 2 of 3 (28 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,28.0,,,,,,,,,,,,,,,,,
733,PT00M06.30S,2023-01-01T04:36:16.1Z,4,REGULAR,substitution,out,[],1627736,,,1610612762,122,123,2023-01-01T04:36:25Z,7260000,False,,,0,,SUB out: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
735,PT00M06.30S,2023-01-01T04:36:16.1Z,4,REGULAR,substitution,in,[],1629012,,,1610612762,122,123,2023-01-01T04:36:25Z,7280000,False,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
736,PT00M06.30S,2023-01-01T04:36:16.1Z,4,REGULAR,substitution,in,[],1629622,,,1610612762,122,123,2023-01-01T04:36:25Z,7290000,False,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
737,PT00M06.30S,2023-01-01T04:36:16.1Z,4,REGULAR,substitution,out,[],1629312,,,1610612762,122,123,2023-01-01T04:36:36Z,7300000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
738,PT00M06.30S,2023-01-01T04:35:56.2Z,4,REGULAR,freethrow,3 of 3,[],1628374,,,1610612762,123,123,2023-01-01T04:38:34Z,7310000,False,,,0,,L. Markkanen Free Throw 3 of 3 (29 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,29.0,,,,,,,,,,,,,,,,,
739,PT00M00.10S,2023-01-01T04:36:55.6Z,4,REGULAR,3pt,Jump Shot,[],1629639,68.80749014454665,63.725490196078425,1610612748,123,126,2023-01-01T04:37:58Z,7320000,False,69.0,241.0,1,right,T. Herro 25' 3PT pullup (29 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,25.03,Made,29.0,,,,,,,,,,,,,,,,,
741,PT00M00.00S,2023-01-01T04:37:39.1Z,4,REGULAR,period,end,[],0,,,1610612762,123,126,2023-01-01T04:37:39Z,7340000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,PT00M00.00S,2023-01-01T04:37:43.4Z,4,REGULAR,game,end,[],0,,,0,123,126,2023-01-01T04:37:43Z,7350000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
