actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
187,PT09M40.00S,2022-10-27T01:39:36.2Z,2,REGULAR,rebound,defensive,[],1629659,,,1610612762,27,26,2022-10-27T01:39:38Z,1860000,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:2),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,186.0,,,,,,,2.0,2.0,0.0
188,PT09M32.00S,2022-10-27T01:39:45.1Z,2,REGULAR,3pt,Jump Shot,[],1627736,74.58935611038108,15.686274509803921,1610612762,27,26,2022-10-27T01:39:49Z,1870000,-172.0,186.0,1,right,MISS M. Beasley 25' 3PT,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,,,,,,,25.34,Missed,,,,,,,,,,,,
189,PT09M28.00S,2022-10-27T01:39:49.1Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,27,26,2022-10-27T01:39:49Z,1880000,,,0,,K. Martin Jr. REBOUND (Off:0 Def:2),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,188.0,,,,,,,2.0,2.0,0.0
190,PT09M16.00S,2022-10-27T01:40:00.9Z,2,REGULAR,3pt,Jump Shot,[],201569,29.122864651773984,11.27450980392157,1610612745,27,26,2022-10-27T01:40:05Z,1890000,194.0,221.0,1,left,MISS E. Gordon 29' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,,,29.4,Missed,,,,,,,,,,,,
191,PT09M14.00S,2022-10-27T01:40:02.9Z,2,REGULAR,rebound,defensive,[],1629020,,,1610612762,27,26,2022-10-27T01:40:05Z,1900000,,,0,,J. Vanderbilt REBOUND (Off:2 Def:5),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,190.0,,,,,,,7.0,5.0,2.0
192,PT09M02.00S,2022-10-27T01:40:15.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627736,92.19776609724047,54.166666666666664,1610612762,29,26,2022-10-27T01:40:22Z,1910000,21.0,21.0,1,right,M. Beasley driving Layup (2 PTS) (T. Horton-Tucker 1 AST),"[1627736, 1629659]",1610612762.0,UTA,driving,,,Beasley,M. Beasley,,,,,Restricted Area,0-8 Center,,,,,,,2.94,Made,,,,2.0,T. Horton-Tucker,1629659.0,1.0,,,,,
194,PT08M37.00S,2022-10-27T01:40:39.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201569,7.440867279894875,45.09803921568628,1610612745,29,28,2022-10-27T01:40:45Z,1930000,25.0,17.0,1,left,E. Gordon driving Layup (10 PTS),[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,3.01,Made,,,,10.0,,,,,,,,
195,PT08M22.00S,2022-10-27T01:40:58.4Z,2,REGULAR,foul,personal,[],1630256,,,1610612762,29,28,2022-10-27T01:41:02Z,1940000,,,0,,J. Tate personal FOUL (2 PF),"[1630256, 1629659]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,Mid-Range,16-24 Left Center,,101284.0,2.0,0.0,Horton-Tucker,1629659.0,,,,,,,,,,,,,,
197,PT08M22.00S,2022-10-27T01:41:02.9Z,2,REGULAR,substitution,out,[],1631095,,,1610612762,29,28,2022-10-27T01:41:11Z,1960000,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT08M22.00S,2022-10-27T01:41:02.9Z,2,REGULAR,substitution,out,[],1630231,,,1610612762,29,28,2022-10-27T01:41:11Z,1970000,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT08M22.00S,2022-10-27T01:41:02.9Z,2,REGULAR,substitution,in,[],1630586,,,1610612762,29,28,2022-10-27T01:41:11Z,1980000,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M22.00S,2022-10-27T01:41:02.9Z,2,REGULAR,substitution,in,[],1629726,,,1610612762,29,28,2022-10-27T01:41:11Z,1990000,,,0,,SUB in: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M22.00S,2022-10-27T01:41:02.9Z,2,REGULAR,substitution,out,[],201569,,,1610612762,29,28,2022-10-27T01:41:23Z,2000000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M22.00S,2022-10-27T01:41:02.9Z,2,REGULAR,substitution,in,[],1630224,,,1610612762,29,28,2022-10-27T01:41:23Z,2010000,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M15.00S,2022-10-27T01:41:40.4Z,2,REGULAR,3pt,Jump Shot,[],1629659,68.9388961892247,72.05882352941177,1610612762,32,28,2022-10-27T01:41:46Z,2020000,110.0,239.0,1,right,T. Horton-Tucker 26' 3PT  (10 PTS) (M. Conley 1 AST),"[1629659, 201144]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Right Center,,,,,,,26.37,Made,,,,10.0,M. Conley,201144.0,1.0,,,,,
205,PT08M04.00S,2022-10-27T01:41:51.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630227,6.258212877792378,44.11764705882353,1610612745,32,28,2022-10-27T01:41:56Z,2040000,29.0,6.0,1,left,MISS D. Nix driving reverse Layup,[1630227],1610612745.0,HOU,driving reverse,,,Nix,D. Nix,,,,,Restricted Area,0-8 Center,,,,,,,3.01,Missed,,,,,,,,,,,,
206,PT08M02.00S,2022-10-27T01:41:53.4Z,2,REGULAR,rebound,defensive,[],200752,,,1610612762,32,28,2022-10-27T01:41:56Z,2050000,,,0,,R. Gay REBOUND (Off:0 Def:2),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,Restricted Area,0-8 Center,,,,,,,,,,,205.0,,,,,,,2.0,2.0,0.0
207,PT07M54.00S,2022-10-27T01:42:04.2Z,2,REGULAR,foul,personal,['2freethrow'],1630586,,,1610612762,32,28,2022-10-27T01:42:17Z,2060000,,,0,,U. Garuba shooting personal FOUL (1 PF) (Gay 2 FT),"[1630586, 200752]",1610612745.0,HOU,shooting,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),0-8 Center,,1627963.0,1.0,0.0,Gay,200752.0,,,,,,,,,,,,,,
209,PT07M54.00S,2022-10-27T01:42:36.5Z,2,REGULAR,freethrow,1 of 2,[],200752,,,1610612762,33,28,2022-10-27T01:42:36Z,2080000,,,0,,R. Gay Free Throw 1 of 2 (3 PTS),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,Made,,,,3.0,,,,,,,,
210,PT07M54.00S,2022-10-27T01:42:37.1Z,2,REGULAR,substitution,out,[],1627736,,,1610612762,33,28,2022-10-27T01:42:40Z,2090000,,,0,,SUB out: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M54.00S,2022-10-27T01:42:37.1Z,2,REGULAR,substitution,in,[],203903,,,1610612762,33,28,2022-10-27T01:42:40Z,2100000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M54.00S,2022-10-27T01:43:00.2Z,2,REGULAR,freethrow,2 of 2,[],200752,,,1610612762,34,28,2022-10-27T01:43:00Z,2110000,,,0,,R. Gay Free Throw 2 of 2 (4 PTS),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,Made,,,,4.0,,,,,,,,
213,PT07M41.00S,2022-10-27T01:43:14.9Z,2,REGULAR,3pt,Jump Shot,[],1629726,23.340998685939553,86.02941176470588,1610612745,34,31,2022-10-27T01:43:21Z,2120000,-180.0,167.0,1,left,G. Mathews 24' 3PT  (3 PTS) (D. Nix 2 AST),"[1629726, 1630227]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Left Center,,,,,,,24.55,Made,,,,3.0,D. Nix,1630227.0,2.0,,,,,
215,PT07M30.00S,2022-10-27T01:43:28.3Z,2,REGULAR,foul,offensive,[],201144,,,1610612762,34,31,2022-10-27T01:43:36Z,2140000,,,0,,M. Conley offensive FOUL (1 PF),"[201144, 1629726]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,202026.0,1.0,0.0,Mathews,1629726.0,,,,,,,,,,,,,,
217,PT07M30.00S,2022-10-27T01:43:28.3Z,2,REGULAR,turnover,offensive foul,[],201144,,,1610612762,34,31,2022-10-27T01:43:28Z,2160000,,,0,,M. Conley offensive foul TURNOVER (2 TO),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,2.0,202026.0,,,,,,,,,,,,,,,,,,
218,PT07M19.00S,2022-10-27T01:43:58.8Z,2,REGULAR,foul,personal,[],203903,,,1610612745,34,31,2022-10-27T01:44:03Z,2170000,,,0,,J. Clarkson personal FOUL (3 PF),"[203903, 1630224]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,16-24 Right Center,,101284.0,3.0,0.0,Green,1630224.0,,,,,,,,,,,,,,
220,PT07M19.00S,2022-10-27T01:44:07.5Z,2,REGULAR,substitution,out,[],1629020,,,1610612745,34,31,2022-10-27T01:44:18Z,2190000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M19.00S,2022-10-27T01:44:07.5Z,2,REGULAR,substitution,out,[],201144,,,1610612745,34,31,2022-10-27T01:44:18Z,2200000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M19.00S,2022-10-27T01:44:07.5Z,2,REGULAR,substitution,out,[],200752,,,1610612745,34,31,2022-10-27T01:44:18Z,2210000,,,0,,SUB out: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M19.00S,2022-10-27T01:44:07.5Z,2,REGULAR,substitution,in,[],203482,,,1610612745,34,31,2022-10-27T01:44:18Z,2220000,,,0,,SUB in: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M19.00S,2022-10-27T01:44:07.5Z,2,REGULAR,substitution,in,[],1628374,,,1610612745,34,31,2022-10-27T01:44:18Z,2230000,,,0,,SUB in: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M19.00S,2022-10-27T01:44:07.5Z,2,REGULAR,substitution,in,[],1629012,,,1610612745,34,31,2022-10-27T01:44:18Z,2240000,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M12.00S,2022-10-27T01:44:32.7Z,2,REGULAR,turnover,bad pass,[],1630227,,,1610612745,34,31,2022-10-27T01:44:37Z,2250000,,,0,,D. Nix bad pass TURNOVER (2 TO),"[1630227, 1629012]",1610612745.0,HOU,,,,Nix,D. Nix,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,,,,,,,,,,,,,Sexton,1629012.0,,,
227,PT07M12.00S,2022-10-27T01:44:32.7Z,2,REGULAR,steal,,[],1629012,,,1610612762,34,31,2022-10-27T01:44:34Z,2260000,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
228,PT07M06.00S,2022-10-27T01:44:38.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628374,89.17542706964521,45.09803921568628,1610612762,36,31,2022-10-27T01:44:47Z,2270000,-25.0,49.0,1,right,L. Markkanen driving finger roll Layup (6 PTS),[1628374],1610612762.0,UTA,driving finger roll,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.51,Made,,,,6.0,,,,,,,,
229,PT06M56.00S,2022-10-27T01:44:48.3Z,2,REGULAR,3pt,Jump Shot,[],1629726,35.43035479632063,51.225490196078425,1610612745,36,34,2022-10-27T01:44:53Z,2280000,-6.0,281.0,1,left,G. Mathews 28' 3PT  (6 PTS) (J. Tate 1 AST),"[1629726, 1630256]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Center,,,,,,,28.06,Made,,,,6.0,J. Tate,1630256.0,1.0,,,,,
231,PT06M45.00S,2022-10-27T01:45:00.2Z,2,REGULAR,3pt,Jump Shot,[],203482,73.40670170827858,7.352941176470589,1610612762,36,34,2022-10-27T01:45:05Z,2300000,-213.0,197.0,1,right,MISS K. Olynyk 29' 3PT,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Left Center,,,,,,,29.06,Missed,,,,,,,,,,,,
232,PT06M42.00S,2022-10-27T01:45:03.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612745,36,34,2022-10-27T01:45:03Z,2310000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,231.0,,,,,,,,,
234,PT06M42.00S,2022-10-27T01:45:10.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,36,34,2022-10-27T01:45:10Z,2330000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M42.00S,2022-10-27T01:47:42.5Z,2,REGULAR,substitution,out,[],1630256,,,1610612745,36,34,2022-10-27T01:47:44Z,2340000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M42.00S,2022-10-27T01:47:42.5Z,2,REGULAR,substitution,in,[],1631106,,,1610612745,36,34,2022-10-27T01:47:44Z,2350000,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M27.00S,2022-10-27T01:48:16.7Z,2,REGULAR,turnover,bad pass,[],1630586,,,1610612745,36,34,2022-10-27T01:48:21Z,2360000,,,0,,U. Garuba bad pass TURNOVER (1 TO),"[1630586, 203903]",1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,,,,Clarkson,203903.0,,,
238,PT06M27.00S,2022-10-27T01:48:16.7Z,2,REGULAR,steal,,[],203903,,,1610612762,36,34,2022-10-27T01:48:18Z,2370000,,,0,,J. Clarkson STEAL (1 STL),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
239,PT06M23.00S,2022-10-27T01:48:21.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628374,91.80354796320631,58.333333333333336,1610612762,38,34,2022-10-27T01:48:30Z,2380000,42.0,25.0,1,right,L. Markkanen Layup (8 PTS) (J. Clarkson 1 AST),"[1628374, 203903]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,4.84,Made,,,,8.0,J. Clarkson,203903.0,1.0,,,,,
241,PT06M08.00S,2022-10-27T01:48:35.1Z,2,REGULAR,2pt,Jump Shot,[],1630224,24.26084099868594,41.911764705882355,1610612745,38,34,2022-10-27T01:48:40Z,2400000,40.0,176.0,1,left,MISS J. Green 18' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,,,,,18.02,Missed,,,,,,,,,,,,
242,PT06M05.00S,2022-10-27T01:48:38.1Z,2,REGULAR,rebound,defensive,[],203903,,,1610612762,38,34,2022-10-27T01:48:40Z,2410000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,241.0,,,,,,,1.0,1.0,0.0
243,PT06M00.00S,2022-10-27T01:48:45.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,91.67214191852825,58.08823529411765,1610612762,40,34,2022-10-27T01:48:51Z,2420000,40.0,26.0,1,right,C. Sexton driving Layup (4 PTS) (J. Clarkson 2 AST),"[1629012, 203903]",1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,4.79,Made,,,,4.0,J. Clarkson,203903.0,2.0,,,,,
245,PT06M00.00S,2022-10-27T01:48:48.7Z,2,REGULAR,foul,personal,['1freethrow'],1629726,,,1610612762,40,34,2022-10-27T01:49:06Z,2440000,,,0,,G. Mathews shooting personal FOUL (1 PF) (Sexton 1 FT),"[1629726, 1629012]",1610612745.0,HOU,shooting,,,Mathews,G. Mathews,,,,,In The Paint (Non-RA),0-8 Center,,202026.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,
247,PT06M00.00S,2022-10-27T01:49:00.1Z,2,REGULAR,substitution,out,[],1630227,,,1610612762,40,34,2022-10-27T01:49:02Z,2460000,,,0,,SUB out: D. Nix,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT06M00.00S,2022-10-27T01:49:00.1Z,2,REGULAR,substitution,in,[],1629645,,,1610612762,40,34,2022-10-27T01:49:02Z,2470000,,,0,,SUB in: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M00.00S,2022-10-27T01:49:15.9Z,2,REGULAR,freethrow,1 of 1,[],1629012,,,1610612762,40,34,2022-10-27T01:49:15Z,2480000,,,0,,MISS C. Sexton Free Throw 1 of 1,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
250,PT05M58.00S,2022-10-27T01:49:17.9Z,2,REGULAR,rebound,offensive,[],203482,,,1610612762,40,34,2022-10-27T01:49:18Z,2490000,,,0,,K. Olynyk REBOUND (Off:2 Def:0),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,249.0,,,,,,,2.0,0.0,2.0
251,PT05M56.00S,2022-10-27T01:49:19.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203482,91.40932982917214,52.94117647058824,1610612762,40,34,2022-10-27T01:49:36Z,2500000,15.0,28.0,1,right,MISS K. Olynyk putback Layup,[203482],1610612762.0,UTA,putback,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,3.19,Missed,,,,,,,,,,,,
253,PT05M55.00S,2022-10-27T01:49:20.3Z,2,REGULAR,rebound,offensive,[],203903,,,1610612762,40,34,2022-10-27T01:49:23Z,2520000,,,0,,J. Clarkson REBOUND (Off:1 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,251.0,,,,,,,2.0,1.0,1.0
254,PT05M55.00S,2022-10-27T01:49:25.3Z,2,REGULAR,turnover,out-of-bounds,[],1629012,,,1610612762,40,34,2022-10-27T01:49:32Z,2530000,,,0,,C. Sexton step out-of-bounds TURNOVER (1 TO),[1629012],1610612762.0,UTA,step,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,1.0,202026.0,,,,,,,,,,,,,,,,,,
255,PT05M46.00S,2022-10-27T01:49:49.0Z,2,REGULAR,turnover,bad pass,[],1629645,,,1610612745,40,34,2022-10-27T01:49:56Z,2540000,,,0,,K. Porter Jr. bad pass TURNOVER (2 TO),"[1629645, 203482]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,2.0,,,,,,,,,,,,,,,Olynyk,203482.0,,,
256,PT05M46.00S,2022-10-27T01:49:49.0Z,2,REGULAR,steal,,[],203482,,,1610612762,40,34,2022-10-27T01:49:50Z,2550000,,,0,,K. Olynyk STEAL (1 STL),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
257,PT05M41.00S,2022-10-27T01:49:53.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203482,91.67214191852825,50.0,1610612762,42,34,2022-10-27T01:50:01Z,2560000,0.0,26.0,1,right,K. Olynyk Layup (2 PTS) (J. Clarkson 3 AST),"[203482, 203903]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,2.58,Made,,,,2.0,J. Clarkson,203903.0,3.0,,,,,
259,PT05M40.00S,2022-10-27T01:49:58.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,42,34,2022-10-27T01:49:58Z,2580000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT05M40.00S,2022-10-27T01:52:10.6Z,2,REGULAR,substitution,out,[],1629659,,,1610612745,42,34,2022-10-27T01:52:54Z,2590000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT05M40.00S,2022-10-27T01:52:10.6Z,2,REGULAR,substitution,out,[],1630586,,,1610612745,42,34,2022-10-27T01:52:54Z,2600000,,,0,,SUB out: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT05M40.00S,2022-10-27T01:52:10.6Z,2,REGULAR,substitution,in,[],201144,,,1610612745,42,34,2022-10-27T01:52:54Z,2610000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT05M40.00S,2022-10-27T01:52:10.6Z,2,REGULAR,substitution,in,[],1631095,,,1610612745,42,34,2022-10-27T01:52:54Z,2620000,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT05M30.00S,2022-10-27T01:53:02.2Z,2,REGULAR,3pt,Jump Shot,[],1629645,29.77989487516426,70.34313725490196,1610612745,42,34,2022-10-27T01:56:20Z,2630000,-102.0,227.0,1,left,MISS K. Porter Jr. 24' pullup 3PT,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,24.91,Missed,,,,,,,,,,,,
265,PT05M26.00S,2022-10-27T01:53:06.3Z,2,REGULAR,rebound,offensive,[],1631106,,,1610612745,42,34,2022-10-27T01:53:06Z,2640000,,,0,,T. Eason REBOUND (Off:2 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,264.0,,,,,,,2.0,0.0,2.0
266,PT05M24.00S,2022-10-27T01:53:07.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629726,33.065045992115635,30.14705882352941,1610612745,42,34,2022-10-27T01:53:14Z,2650000,99.0,258.0,1,left,MISS G. Mathews 27' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Right Center,,,,,,,27.67,Missed,,,,,,,,,,,,
267,PT05M21.00S,2022-10-27T01:53:10.5Z,2,REGULAR,rebound,offensive,[],1631106,,,1610612745,42,34,2022-10-27T01:53:14Z,2660000,,,0,,T. Eason REBOUND (Off:3 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,266.0,,,,,,,3.0,0.0,3.0
268,PT05M21.00S,2022-10-27T01:53:15.7Z,2,REGULAR,foul,personal,[],1629012,,,1610612745,42,34,2022-10-27T01:55:05Z,2670000,,,0,,C. Sexton personal FOUL (1 PF),"[1629012, 1631106]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Right,,101284.0,1.0,0.0,Eason,1631106.0,,,,,,,,,,,,,,
270,PT05M19.00S,2022-10-27T01:53:37.0Z,2,REGULAR,turnover,traveling,[],1631095,,,1610612745,42,34,2022-10-27T01:53:53Z,2690000,,,0,,J. Smith Jr. traveling TURNOVER (2 TO),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,2.0,202026.0,,,,,,,,,,,,,,,,,,
271,PT04M53.00S,2022-10-27T01:54:06.7Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203482,92.9862023653088,71.81372549019608,1610612762,42,34,2022-10-27T01:54:11Z,2700000,109.0,13.0,1,right,MISS K. Olynyk 10' floating Shot,[203482],1610612762.0,UTA,floating,,,Olynyk,K. Olynyk,,,,,Mid-Range,8-16 Right,,,,,,,10.99,Missed,,,,,,,,,,,,
272,PT04M50.00S,2022-10-27T01:54:09.8Z,2,REGULAR,rebound,offensive,[],203903,,,1610612762,42,34,2022-10-27T01:54:09Z,2710000,,,0,,J. Clarkson REBOUND (Off:2 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,271.0,,,,,,,3.0,1.0,2.0
273,PT04M50.00S,2022-10-27T01:54:09.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203903,94.40999984741211,50.0,1610612762,42,34,2022-10-27T01:54:09Z,2720000,0.0,0.0,1,right,MISS J. Clarkson tip Layup,[203903],1610612762.0,UTA,tip,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Left,,,,,,,0.0,Missed,,,,,,,,,,,,
274,PT04M49.00S,2022-10-27T01:54:10.4Z,2,REGULAR,rebound,defensive,[],1630224,,,1610612745,42,34,2022-10-27T01:54:10Z,2730000,,,0,,J. Green REBOUND (Off:1 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,273.0,,,,,,,3.0,2.0,1.0
