actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
95,PT04M25.00S,2022-01-13T03:25:21.6Z,1,REGULAR,3pt,Jump Shot,[],202696,31.882391590013142,59.55882352941176,1610612741,23,21,2022-01-13T03:25:27Z,920000,-48.0,247.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,
96,PT04M23.00S,2022-01-13T03:25:23.6Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,23,21,2022-01-13T03:25:27Z,930000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,
97,PT04M19.00S,2022-01-13T03:25:28.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,71.82982917214193,81.37254901960785,1610612751,23,24,2022-01-13T03:25:35Z,940000,157.0,212.0,1,right,K. Durant 26' 3PT pullup (5 PTS) (J. Harden 3 AST),"[201142, 201935]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,26.4,Made,,,,,,,,,,,,,,,5.0,J. Harden,201935.0,3.0
99,PT04M02.00S,2022-01-13T03:25:45.3Z,1,REGULAR,turnover,lost ball,[],203897,,,1610612741,23,24,2022-01-13T03:25:49Z,960000,,,0,,Z. LaVine lost ball TURNOVER (2 TO),"[203897, 1627761]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,2.0,Bembry,1627761.0,,,,,,,,,,,
100,PT04M02.00S,2022-01-13T03:25:45.3Z,1,REGULAR,steal,,[],1627761,,,1610612751,23,24,2022-01-13T03:25:47Z,970000,,,0,,D. Bembry STEAL (1 STL),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M00.00S,2022-01-13T03:25:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201988,93.38042049934296,50.73529411764706,1610612751,23,24,2022-01-13T03:26:04Z,980000,4.0,10.0,1,right,MISS P. Mills running Layup,[201988],1610612751.0,BKN,running,,,Mills,P. Mills,,,,,1.04,Missed,,,,,,,,,,,,,,,,,,
102,PT04M00.00S,2022-01-13T03:25:48.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,23,24,2022-01-13T03:26:04Z,990000,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,
103,PT04M00.00S,2022-01-13T03:26:00.4Z,1,REGULAR,foul,personal,[],201142,,,1610612741,23,24,2022-01-13T03:26:37Z,1000000,,,0,,K. Durant loose ball personal FOUL (1 PF),"[201142, 1628035]",1610612751.0,BKN,loose ball,,,Durant,K. Durant,,,,,,,,,,,,,,202026.0,1.0,0.0,McKinnie,1628035.0,,,,,,
105,PT03M43.00S,2022-01-13T03:26:24.7Z,1,REGULAR,2pt,Jump Shot,[],203897,25.837713534822605,51.9607843137255,1610612741,23,24,2022-01-13T03:26:29Z,1020000,-10.0,190.0,1,left,MISS Z. LaVine 19' step back Shot,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,19.07,Missed,,,,,,,,,,,,,,,,,,
106,PT03M41.00S,2022-01-13T03:26:28.4Z,1,REGULAR,rebound,offensive,[],1628035,,,1610612741,23,24,2022-01-13T03:26:28Z,1030000,,,0,,A. McKinnie REBOUND (Off:1 Def:1),[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,105.0,2.0,1.0,1.0,,,,,,,,,,,,,,
107,PT03M41.00S,2022-01-13T03:26:28.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628035,5.590000152587891,50.0,1610612741,23,24,2022-01-13T03:26:31Z,1040000,0.0,0.0,1,left,MISS A. McKinnie tip Layup,[1628035],1610612741.0,CHI,tip,,,McKinnie,A. McKinnie,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
108,PT03M41.00S,2022-01-13T03:26:28.4Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,23,24,2022-01-13T03:28:10Z,1050000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,107.0,2.0,2.0,0.0,,,,,,,,,,,,,,
109,PT03M41.00S,2022-01-13T03:26:36.6Z,1,REGULAR,foul,personal,[],1630245,,,1610612751,23,24,2022-01-13T03:26:44Z,1060000,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 201935]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,202058.0,1.0,0.0,Harden,201935.0,,,,,,
111,PT03M24.00S,2022-01-13T03:27:08.3Z,1,REGULAR,foul,personal,['3freethrow'],1629632,,,1610612751,23,24,2022-01-13T03:27:25Z,1080000,,,0,,C. White shooting personal FOUL (2 PF) (Harden 3 FT),"[1629632, 201935]",1610612741.0,CHI,shooting,,,White,C. White,,,,,,,,,,,,,,202058.0,2.0,0.0,Harden,201935.0,,,,,,
113,PT03M24.00S,2022-01-13T03:27:48.4Z,1,REGULAR,freethrow,1 of 3,[],201935,,,1610612751,23,25,2022-01-13T03:27:48Z,1100000,,,0,,J. Harden Free Throw 1 of 3 (6 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,,,,,,,,,,,,,,6.0,,,
114,PT03M24.00S,2022-01-13T03:28:03.2Z,1,REGULAR,freethrow,2 of 3,[],201935,,,1610612751,23,26,2022-01-13T03:28:03Z,1110000,,,0,,J. Harden Free Throw 2 of 3 (7 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,,,,,,,,,,,,,,7.0,,,
115,PT03M24.00S,2022-01-13T03:28:20.4Z,1,REGULAR,freethrow,3 of 3,[],201935,,,1610612751,23,27,2022-01-13T03:28:20Z,1120000,,,0,,J. Harden Free Throw 3 of 3 (8 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,,,,,,,,,,,,,,8.0,,,
116,PT03M11.00S,2022-01-13T03:28:35.1Z,1,REGULAR,3pt,Jump Shot,[],1629632,26.888961892247043,19.607843137254903,1610612741,26,27,2022-01-13T03:28:39Z,1130000,152.0,200.0,1,left,C. White 25' 3PT  (3 PTS) (Z. LaVine 2 AST),"[1629632, 203897]",1610612741.0,CHI,,,,White,C. White,,,,,25.14,Made,,,,,,,,,,,,,,,3.0,Z. LaVine,203897.0,2.0
118,PT03M02.00S,2022-01-13T03:28:47.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630245,,,1610612751,26,27,2022-01-13T03:28:57Z,1150000,,,0,,A. Dosunmu personal FOUL (2 PF) (Griffin 2 FT),"[1630245, 201933]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,202058.0,2.0,0.0,Griffin,201933.0,,,,,,
120,PT03M02.00S,2022-01-13T03:29:36.9Z,1,REGULAR,freethrow,1 of 2,[],201933,,,1610612751,26,28,2022-01-13T03:29:36Z,1170000,,,0,,B. Griffin Free Throw 1 of 2 (1 PTS),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
121,PT03M02.00S,2022-01-13T03:29:37.5Z,1,REGULAR,substitution,out,[],203897,,,1610612751,26,28,2022-01-13T03:29:47Z,1180000,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M02.00S,2022-01-13T03:29:37.5Z,1,REGULAR,substitution,out,[],202696,,,1610612751,26,28,2022-01-13T03:29:47Z,1190000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M02.00S,2022-01-13T03:29:37.5Z,1,REGULAR,substitution,out,[],1628035,,,1610612751,26,28,2022-01-13T03:29:47Z,1200000,,,0,,SUB out: A. McKinnie,[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M02.00S,2022-01-13T03:29:37.5Z,1,REGULAR,substitution,out,[],201935,,,1610612751,26,28,2022-01-13T03:29:47Z,1210000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M02.00S,2022-01-13T03:29:37.5Z,1,REGULAR,substitution,in,[],1628366,,,1610612751,26,28,2022-01-13T03:29:47Z,1220000,,,0,,SUB in: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M02.00S,2022-01-13T03:29:37.5Z,1,REGULAR,substitution,in,[],1628396,,,1610612751,26,28,2022-01-13T03:29:47Z,1230000,,,0,,SUB in: T. Bradley,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M02.00S,2022-01-13T03:29:37.5Z,1,REGULAR,substitution,in,[],201942,,,1610612751,26,28,2022-01-13T03:29:47Z,1240000,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M02.00S,2022-01-13T03:29:37.5Z,1,REGULAR,substitution,in,[],202681,,,1610612751,26,28,2022-01-13T03:29:47Z,1250000,,,0,,SUB in: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M02.00S,2022-01-13T03:30:05.9Z,1,REGULAR,freethrow,2 of 2,[],201933,,,1610612751,26,29,2022-01-13T03:30:05Z,1260000,,,0,,B. Griffin Free Throw 2 of 2 (2 PTS),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,Made,,,,,,,,,,,,,,,2.0,,,
130,PT02M52.00S,2022-01-13T03:30:19.9Z,1,REGULAR,3pt,Jump Shot,[],1630245,10.85742444152431,97.30392156862744,1610612741,26,29,2022-01-13T03:30:27Z,1270000,-237.0,50.0,1,left,MISS A. Dosunmu 24' 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,24.16,Missed,,,,,,,,,,,,,,,,,,
131,PT02M45.00S,2022-01-13T03:30:26.9Z,1,REGULAR,rebound,offensive,[],201942,,,1610612741,26,29,2022-01-13T03:31:11Z,1280000,,,0,,D. DeRozan REBOUND (Off:1 Def:0),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,130.0,1.0,0.0,1.0,,,,,,,,,,,,,,
132,PT02M43.00S,2022-01-13T03:30:28.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,11.251642575558476,4.6568627450980395,1610612741,29,29,2022-01-13T03:30:37Z,1290000,227.0,53.0,1,left,C. White 3PT  (6 PTS) (L. Ball 3 AST),"[1629632, 1628366]",1610612741.0,CHI,,,,White,C. White,,,,,23.29,Made,,,,,,,,,,,,,,,6.0,L. Ball,1628366.0,3.0
134,PT02M43.00S,2022-01-13T03:30:45.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,29,29,2022-01-13T03:30:45Z,1310000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M29.00S,2022-01-13T03:34:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201933,92.72339027595268,50.98039215686274,1610612751,29,29,2022-01-13T03:34:16Z,1320000,5.0,16.0,1,right,MISS B. Griffin Layup - blocked,"[201933, 1628366]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,1.66,Missed,,,,,,,,,,,,,Ball,1628366.0,,,,
136,PT02M29.00S,2022-01-13T03:34:11.3Z,1,REGULAR,block,,[],1628366,,,1610612751,29,29,2022-01-13T03:34:13Z,1330000,,,0,,L. Ball BLOCK (1 BLK),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M26.00S,2022-01-13T03:34:14.3Z,1,REGULAR,rebound,offensive,[],1627761,,,1610612751,29,29,2022-01-13T03:34:16Z,1340000,,,0,,D. Bembry REBOUND (Off:1 Def:0),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,135.0,1.0,0.0,1.0,,,,,,,,,,,,,,
138,PT02M24.00S,2022-01-13T03:34:16.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201988,96.66557161629436,94.11764705882352,1610612751,29,32,2022-01-13T03:34:21Z,1350000,221.0,-21.0,1,right,P. Mills 3PT  (3 PTS) (K. Irving 3 AST),"[201988, 202681]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,22.16,Made,,,,,,,,,,,,,,,3.0,K. Irving,202681.0,3.0
140,PT02M04.00S,2022-01-13T03:34:39.7Z,1,REGULAR,foul,personal,[],1627761,,,1610612741,29,32,2022-01-13T03:34:45Z,1370000,,,0,,D. Bembry personal FOUL (1 PF),"[1627761, 201942]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,1626301.0,1.0,0.0,DeRozan,201942.0,,,,,,
142,PT01M56.00S,2022-01-13T03:35:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,16.245072273324574,50.0,1610612741,31,32,2022-01-13T03:35:06Z,1390000,0.0,100.0,1,left,D. DeRozan 10' pullup Jump Shot (9 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,10.02,Made,,,,,,,,,,,,,,,9.0,,,
143,PT01M48.00S,2022-01-13T03:35:16.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628366,,,1610612751,31,32,2022-01-13T03:35:35Z,1400000,,,0,,L. Ball personal FOUL (1 PF) (Durant 2 FT),"[1628366, 201142]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,202026.0,1.0,0.0,Durant,201142.0,,,,,,
145,PT01M48.00S,2022-01-13T03:35:36.6Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,31,32,2022-01-13T03:35:36Z,1420000,,,0,,MISS K. Durant Free Throw 1 of 2,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Missed,,,,,,,,,,,,,,,,,,
146,PT01M48.00S,2022-01-13T03:35:36.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,31,32,2022-01-13T03:35:36Z,1430000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,
147,PT01M48.00S,2022-01-13T03:35:50.4Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,31,33,2022-01-13T03:35:50Z,1440000,,,0,,K. Durant Free Throw 2 of 2 (6 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,,,,,,,,,,,6.0,,,
148,PT01M34.00S,2022-01-13T03:36:05.4Z,1,REGULAR,3pt,Jump Shot,[],1628366,28.203022339027594,80.3921568627451,1610612741,31,33,2022-01-13T03:36:10Z,1450000,-152.0,213.0,1,left,MISS L. Ball 26' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,
149,PT01M31.00S,2022-01-13T03:36:08.4Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,31,33,2022-01-13T03:36:10Z,1460000,,,0,,D. Bembry REBOUND (Off:1 Def:1),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,148.0,2.0,1.0,1.0,,,,,,,,,,,,,,
150,PT01M26.00S,2022-01-13T03:36:16.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630245,,,1610612751,31,33,2022-01-13T03:36:25Z,1470000,,,0,,A. Dosunmu shooting personal FOUL (3 PF) (Griffin 2 FT),"[1630245, 201933]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,1626301.0,3.0,0.0,Griffin,201933.0,,,,,,
152,PT01M26.00S,2022-01-13T03:37:00.7Z,1,REGULAR,freethrow,1 of 2,[],201933,,,1610612751,31,33,2022-01-13T03:37:24Z,1490000,,,0,,MISS B. Griffin Free Throw 1 of 2,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,Missed,,,,,,,,,,,,,,,,,,
153,PT01M26.00S,2022-01-13T03:37:00.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,31,33,2022-01-13T03:37:24Z,1500000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,152.0,,,,,,,,,,,,,,,,,
154,PT01M26.00S,2022-01-13T03:37:01.9Z,1,REGULAR,substitution,out,[],1630245,,,1610612751,31,33,2022-01-13T03:37:06Z,1510000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,
155,PT01M26.00S,2022-01-13T03:37:01.9Z,1,REGULAR,substitution,in,[],1628972,,,1610612751,31,33,2022-01-13T03:37:06Z,1520000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,
156,PT01M26.00S,2022-01-13T03:37:00.7Z,1,REGULAR,freethrow,2 of 2,[],201933,,,1610612751,31,33,2022-01-13T03:37:24Z,1530000,,,0,,MISS B. Griffin Free Throw 2 of 2,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,Missed,,,,,,,,,,,,,,,,,,
157,PT01M24.00S,2022-01-13T03:37:02.7Z,1,REGULAR,rebound,defensive,[],1628396,,,1610612741,31,33,2022-01-13T03:37:24Z,1540000,,,0,,T. Bradley REBOUND (Off:0 Def:1),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,156.0,1.0,1.0,0.0,,,,,,,,,,,,,,
158,PT01M10.00S,2022-01-13T03:37:36.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,31.61957950065703,37.254901960784316,1610612741,31,33,2022-01-13T03:37:42Z,1550000,64.0,245.0,1,left,MISS C. White 25' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,25.29,Missed,,,,,,,,,,,,,,,,,,
159,PT01M07.00S,2022-01-13T03:37:39.7Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,31,33,2022-01-13T03:37:42Z,1560000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,158.0,1.0,1.0,0.0,,,,,,,,,,,,,,
160,PT01M00.00S,2022-01-13T03:37:46.5Z,1,REGULAR,2pt,Jump Shot,[],202681,78.9257555847569,61.51960784313726,1610612751,31,33,2022-01-13T03:37:53Z,1570000,58.0,146.0,1,right,MISS K. Irving 15' turnaround fadeaway Shot,[202681],1610612751.0,BKN,turnaround fadeaway,,,Irving,K. Irving,,,,,15.66,Missed,,,,,,,,,,,,,,,,,,
161,PT00M57.50S,2022-01-13T03:37:49.0Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,31,33,2022-01-13T03:37:53Z,1580000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,160.0,2.0,2.0,0.0,,,,,,,,,,,,,,
162,PT00M49.70S,2022-01-13T03:37:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628396,6.389618922470433,45.34313725490196,1610612741,31,33,2022-01-13T03:38:05Z,1590000,23.0,8.0,1,left,MISS T. Bradley driving Layup,[1628396],1610612741.0,CHI,driving,,,Bradley,T. Bradley,,,,,2.45,Missed,,,,,,,,,,,,,,,,,,
164,PT00M47.00S,2022-01-13T03:38:00.3Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,31,33,2022-01-13T03:38:05Z,1610000,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,162.0,2.0,2.0,0.0,,,,,,,,,,,,,,
165,PT00M44.30S,2022-01-13T03:38:03.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201988,95.6143232588699,4.901960784313726,1610612751,31,36,2022-01-13T03:38:10Z,1620000,-225.0,-11.0,1,right,P. Mills 3PT  (6 PTS) (K. Durant 3 AST),"[201988, 201142]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,22.58,Made,,,,,,,,,,,,,,,6.0,K. Durant,201142.0,3.0
167,PT00M30.70S,2022-01-13T03:38:21.0Z,1,REGULAR,2pt,Jump Shot,[],201942,27.151773981603156,41.17647058823529,1610612741,31,36,2022-01-13T03:38:27Z,1640000,44.0,203.0,1,left,MISS D. DeRozan 20' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,20.74,Missed,,,,,,,,,,,,,,,,,,
168,PT00M27.40S,2022-01-13T03:38:24.4Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,31,36,2022-01-13T03:38:24Z,1650000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,,,
169,PT00M21.70S,2022-01-13T03:38:32.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628972,,,1610612751,31,36,2022-01-13T03:38:37Z,1660000,,,0,,T. Brown Jr. shooting personal FOUL (1 PF) (Durant 2 FT),"[1628972, 201142]",1610612741.0,CHI,shooting,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,1626301.0,1.0,0.0,Durant,201142.0,,,,,,
171,PT00M21.70S,2022-01-13T03:38:58.0Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,31,37,2022-01-13T03:38:58Z,1680000,,,0,,K. Durant Free Throw 1 of 2 (7 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,,,,,,,,,,,7.0,,,
172,PT00M21.70S,2022-01-13T03:38:58.9Z,1,REGULAR,substitution,out,[],201988,,,1610612751,31,37,2022-01-13T03:39:05Z,1690000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
173,PT00M21.70S,2022-01-13T03:38:58.9Z,1,REGULAR,substitution,in,[],1630556,,,1610612751,31,37,2022-01-13T03:39:05Z,1700000,,,0,,SUB in: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
174,PT00M21.70S,2022-01-13T03:39:17.8Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,31,38,2022-01-13T03:39:17Z,1710000,,,0,,K. Durant Free Throw 2 of 2 (8 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,,,,,,,,,,,8.0,,,
175,PT00M00.70S,2022-01-13T03:39:41.0Z,1,REGULAR,3pt,Jump Shot,[],1628366,30.17411300919842,33.82352941176471,1610612741,31,38,2022-01-13T03:39:47Z,1720000,81.0,231.0,1,left,MISS L. Ball 24' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,24.49,Missed,,,,,,,,,,,,,,,,,,
176,PT00M00.70S,2022-01-13T03:39:41.0Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,31,38,2022-01-13T03:39:47Z,1730000,,,0,,D. Bembry REBOUND (Off:1 Def:2),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,175.0,3.0,2.0,1.0,,,,,,,,,,,,,,
177,PT00M00.00S,2022-01-13T03:39:43.9Z,1,REGULAR,period,end,[],0,,,1610612751,31,38,2022-01-13T03:39:43Z,1740000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2022-01-13T03:41:52.9Z,2,REGULAR,substitution,out,['startperiod'],201933,,,1610612751,31,38,2022-01-13T03:43:06Z,1760000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2022-01-13T03:41:52.9Z,2,REGULAR,substitution,out,['startperiod'],202681,,,1610612751,31,38,2022-01-13T03:43:06Z,1770000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2022-01-13T03:41:52.9Z,2,REGULAR,substitution,out,['startperiod'],1627761,,,1610612751,31,38,2022-01-13T03:43:06Z,1780000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2022-01-13T03:41:52.9Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612751,31,38,2022-01-13T03:43:06Z,1810000,,,0,,SUB in: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2022-01-13T03:41:52.9Z,2,REGULAR,substitution,in,['startperiod'],1630560,,,1610612751,31,38,2022-01-13T03:43:06Z,1820000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2022-01-13T03:41:52.9Z,2,REGULAR,substitution,in,['startperiod'],201949,,,1610612751,31,38,2022-01-13T03:43:06Z,1830000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2022-01-13T03:41:52.9Z,2,REGULAR,substitution,in,['startperiod'],201988,,,1610612751,31,38,2022-01-13T03:43:06Z,1840000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2022-01-13T03:41:52.9Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612751,31,38,2022-01-13T03:44:09Z,1845000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2022-01-13T03:43:22.1Z,2,REGULAR,period,start,[],0,,,1610612751,31,38,2022-01-13T03:43:22Z,1850000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
