actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
88,PT05M38.00S,2021-11-11T01:27:07.9Z,1,REGULAR,substitution,in,[],1630245,,,1610612742,20,13,2021-11-11T01:27:22Z,880000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M38.00S,2021-11-11T01:27:07.9Z,1,REGULAR,substitution,in,[],1626161,,,1610612742,20,13,2021-11-11T01:27:22Z,890000,,,0,,SUB in: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M21.00S,2021-11-11T01:27:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626161,94.56307490144546,53.67647058823529,1610612742,20,13,2021-11-11T01:27:58Z,900000,18.0,-1.0,1,right,MISS W. Cauley-Stein alley-oop Layup,[1626161],1610612742.0,DAL,alley-oop,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,Missed,,1.85,,,,,,,,,,,,,
91,PT05M19.00S,2021-11-11T01:27:55.6Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,20,13,2021-11-11T01:27:58Z,910000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,
92,PT05M06.00S,2021-11-11T01:28:08.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,6.783837056504599,50.49019607843137,1610612741,22,13,2021-11-11T01:28:14Z,920000,-2.0,11.0,1,left,N. Vucevic Hook (9 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,Made,9.0,1.16,,,,,,,,,,,,,
94,PT04M54.00S,2021-11-11T01:28:21.6Z,1,REGULAR,turnover,bad pass,[],203493,,,1610612742,22,13,2021-11-11T01:28:36Z,940000,,,0,,R. Bullock bad pass TURNOVER (1 TO),"[203493, 203897]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,1.0,LaVine,203897.0,,,
95,PT04M54.00S,2021-11-11T01:28:21.6Z,1,REGULAR,steal,,[],203897,,,1610612741,22,13,2021-11-11T01:28:24Z,950000,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M54.00S,2021-11-11T01:28:25.2Z,1,REGULAR,foul,personal,[],203493,,,1610612741,22,13,2021-11-11T01:29:54Z,960000,,,0,,R. Bullock take personal FOUL (1 PF),"[203493, 203897]",1610612742.0,DAL,take,,,Bullock,R. Bullock,,,,,1193.0,1.0,0.0,LaVine,203897.0,,,,,,,,,,,,,,,,
99,PT04M54.00S,2021-11-11T01:28:35.7Z,1,REGULAR,substitution,out,[],1629750,,,1610612741,22,13,2021-11-11T01:28:40Z,990000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M54.00S,2021-11-11T01:28:35.7Z,1,REGULAR,substitution,in,[],1627884,,,1610612741,22,13,2021-11-11T01:28:40Z,1000000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M39.00S,2021-11-11T01:28:57.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627884,14.323258869908015,37.72212009803921,1610612741,24,13,2021-11-11T01:30:29Z,1010000,61.0,82.0,1,left,D. Jones Jr. 10' driving Layup (2 PTS) (Z. LaVine 1 AST),"[1627884, 203897]",1610612741.0,CHI,driving,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,Made,2.0,10.25,,,,,Z. LaVine,203897.0,1.0,,,,,,
103,PT04M23.00S,2021-11-11T01:29:18.9Z,1,REGULAR,violation,kicked ball,[],202696,,,1610612742,24,13,2021-11-11T01:29:39Z,1030000,,,0,,N. Vucevic kicked ball VIOLATION,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,1193.0,,,,,,,,,,,,,,,,,,,,
104,PT04M12.00S,2021-11-11T01:29:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,83.65637319316689,52.94117647058824,1610612742,24,15,2021-11-11T01:29:46Z,1040000,15.0,101.0,1,right,L. Doncic 10' fadeaway Jump Shot (6 PTS),[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,,,,,,Made,6.0,10.22,,,,,,,,,,,,,
105,PT03M47.00S,2021-11-11T01:30:02.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,13.222733245729303,51.71568627450981,1610612741,24,15,2021-11-11T01:32:50Z,1050000,-9.0,72.0,1,left,MISS N. Vucevic 7' Hook,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,Missed,,7.23,,,,,,,,,,,,,
106,PT03M47.00S,2021-11-11T01:30:02.4Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,24,15,2021-11-11T01:30:17Z,1060000,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,105.0,3.0,3.0,0.0,,,,,,,,,
107,PT03M40.00S,2021-11-11T01:30:13.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627884,,,1610612742,24,15,2021-11-11T01:30:40Z,1070000,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Brunson 2 FT),"[1627884, 1628973]",1610612741.0,CHI,shooting,,,Jones Jr.,D. Jones Jr.,,,,,2534.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,,
109,PT03M40.00S,2021-11-11T01:30:43.9Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612742,24,16,2021-11-11T01:30:43Z,1090000,,,0,,J. Brunson Free Throw 1 of 2 (1 PTS),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
110,PT03M40.00S,2021-11-11T01:31:01.7Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612742,24,17,2021-11-11T01:31:01Z,1100000,,,0,,J. Brunson Free Throw 2 of 2 (2 PTS),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
111,PT03M20.00S,2021-11-11T01:31:22.5Z,1,REGULAR,2pt,Jump Shot,[],203897,26.888961892247043,50.245098039215684,1610612741,24,17,2021-11-11T01:31:28Z,1110000,-1.0,200.0,1,left,MISS Z. LaVine 20' Jump Shot,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,Missed,,20.03,,,,,,,,,,,,,
112,PT03M18.00S,2021-11-11T01:31:24.5Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,24,17,2021-11-11T01:31:28Z,1120000,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,111.0,2.0,2.0,0.0,,,,,,,,,
113,PT03M05.00S,2021-11-11T01:31:37.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626161,94.03745072273325,51.71568627450981,1610612742,24,19,2021-11-11T01:34:40Z,1130000,9.0,4.0,1,right,W. Cauley-Stein alley-oop DUNK (2 PTS) (L. Doncic 2 AST),"[1626161, 1629029]",1610612742.0,DAL,alley-oop,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,Made,2.0,0.93,,,,,L. Doncic,1629029.0,2.0,,,,,,
115,PT03M00.00S,2021-11-11T01:31:45.2Z,1,REGULAR,foul,personal,['2freethrow'],1626161,,,1610612741,24,19,2021-11-11T01:31:54Z,1150000,,,0,,W. Cauley-Stein shooting personal FOUL (1 PF) (LaVine 2 FT),"[1626161, 203897]",1610612742.0,DAL,shooting,,,Cauley-Stein,W. Cauley-Stein,,,,,203054.0,1.0,0.0,LaVine,203897.0,,,,,,,,,,,,,,,,
117,PT03M00.00S,2021-11-11T01:32:15.3Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,25,19,2021-11-11T01:32:15Z,1170000,,,0,,Z. LaVine Free Throw 1 of 2 (4 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
118,PT03M00.00S,2021-11-11T01:32:16.2Z,1,REGULAR,substitution,out,[],202696,,,1610612741,25,19,2021-11-11T01:32:29Z,1180000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M00.00S,2021-11-11T01:32:16.2Z,1,REGULAR,substitution,out,[],1627827,,,1610612741,25,19,2021-11-11T01:32:29Z,1190000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M00.00S,2021-11-11T01:32:16.2Z,1,REGULAR,substitution,out,[],1629029,,,1610612741,25,19,2021-11-11T01:32:29Z,1200000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M00.00S,2021-11-11T01:32:16.2Z,1,REGULAR,substitution,in,[],1628396,,,1610612741,25,19,2021-11-11T01:32:29Z,1210000,,,0,,SUB in: T. Bradley,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M00.00S,2021-11-11T01:32:16.2Z,1,REGULAR,substitution,in,[],1628373,,,1610612741,25,19,2021-11-11T01:32:29Z,1220000,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M00.00S,2021-11-11T01:32:16.2Z,1,REGULAR,substitution,in,[],1628425,,,1610612741,25,19,2021-11-11T01:32:29Z,1230000,,,0,,SUB in: S. Brown,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M00.00S,2021-11-11T01:32:36.8Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,26,19,2021-11-11T01:32:36Z,1240000,,,0,,Z. LaVine Free Throw 2 of 2 (5 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
125,PT02M46.00S,2021-11-11T01:32:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.51182654402102,49.50980392156863,1610612742,26,21,2021-11-11T01:33:02Z,1250000,-2.0,8.0,1,right,J. Brunson driving Layup (4 PTS),[1628973],1610612742.0,DAL,driving,,,Brunson,J. Brunson,,,,,,,,,,Made,4.0,0.89,,,,,,,,,,,,,
126,PT02M30.00S,2021-11-11T01:33:09.4Z,1,REGULAR,2pt,Jump Shot,[],203897,16.376478318002626,77.45098039215686,1610612741,26,21,2021-11-11T01:33:13Z,1260000,-137.0,101.0,1,left,MISS Z. LaVine 17' turnaround fadeaway Shot,[203897],1610612741.0,CHI,turnaround fadeaway,,,LaVine,Z. LaVine,,,,,,,,,,Missed,,17.07,,,,,,,,,,,,,
127,PT02M28.00S,2021-11-11T01:33:11.4Z,1,REGULAR,rebound,defensive,[],1626161,,,1610612742,26,21,2021-11-11T01:33:13Z,1270000,,,0,,W. Cauley-Stein REBOUND (Off:0 Def:1),[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,126.0,1.0,1.0,0.0,,,,,,,,,
128,PT02M14.00S,2021-11-11T01:33:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,93.77463863337714,53.92156862745098,1610612742,26,23,2021-11-11T01:33:34Z,1280000,20.0,6.0,1,right,J. Brunson driving floating Jump Shot (6 PTS),[1628973],1610612742.0,DAL,driving floating,,,Brunson,J. Brunson,,,,,,,,,,Made,6.0,2.05,,,,,,,,,,,,,
130,PT02M14.00S,2021-11-11T01:33:40.0Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1627936,,,1610612742,26,23,2021-11-11T01:34:02Z,1300000,,,0,,A. Caruso shooting personal FOUL (1 PF) (Brunson 1 FT),"[1627936, 1628973]",1610612741.0,CHI,shooting,,,Caruso,A. Caruso,,,,,1193.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,,
132,PT02M14.00S,2021-11-11T01:33:46.8Z,1,REGULAR,substitution,out,[],203493,,,1610612742,26,23,2021-11-11T01:33:58Z,1320000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M14.00S,2021-11-11T01:33:46.8Z,1,REGULAR,substitution,out,[],1626161,,,1610612742,26,23,2021-11-11T01:33:58Z,1330000,,,0,,SUB out: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M14.00S,2021-11-11T01:33:46.8Z,1,REGULAR,substitution,in,[],204001,,,1610612742,26,23,2021-11-11T01:33:58Z,1340000,,,0,,SUB in: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M14.00S,2021-11-11T01:33:46.8Z,1,REGULAR,substitution,in,[],203501,,,1610612742,26,23,2021-11-11T01:34:13Z,1355000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M14.00S,2021-11-11T01:33:46.8Z,1,REGULAR,substitution,out,[],203897,,,1610612742,26,23,2021-11-11T01:35:28Z,1357500,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M14.00S,2021-11-11T01:33:46.8Z,1,REGULAR,substitution,in,[],201942,,,1610612742,26,23,2021-11-11T01:35:28Z,1358750,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M14.00S,2021-11-11T01:34:04.1Z,1,REGULAR,freethrow,1 of 1,[],1628973,,,1610612742,26,24,2021-11-11T01:34:04Z,1360000,,,0,,J. Brunson Free Throw 1 of 1 (7 PTS),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
138,PT01M53.00S,2021-11-11T01:34:24.8Z,1,REGULAR,2pt,Jump Shot,[],1630245,5.206964520367937,84.55882352941177,1610612741,26,24,2021-11-11T01:34:43Z,1370000,-173.0,-4.0,1,left,MISS A. Dosunmu 17' Jump Shot,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,Missed,,17.28,,,,,,,,,,,,,
139,PT01M50.00S,2021-11-11T01:34:27.8Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,26,24,2021-11-11T01:34:43Z,1380000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,138.0,1.0,1.0,0.0,,,,,,,,,
140,PT01M40.00S,2021-11-11T01:34:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,86.41590013140605,50.49019607843137,1610612742,26,24,2021-11-11T01:34:47Z,1390000,2.0,75.0,1,right,MISS T. Hardaway Jr. 7' driving floating Shot,[203501],1610612742.0,DAL,driving floating,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,Missed,,7.52,,,,,,,,,,,,,
141,PT01M36.00S,2021-11-11T01:34:42.5Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,26,24,2021-11-11T01:34:47Z,1400000,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,140.0,2.0,2.0,0.0,,,,,,,,,
142,PT01M36.00S,2021-11-11T01:34:51.1Z,1,REGULAR,foul,personal,['2freethrow'],1628425,,,1610612741,26,24,2021-11-11T01:35:17Z,1410000,,,0,,S. Brown shooting personal FOUL (1 PF) (Jones Jr. 2 FT),"[1628425, 1627884]",1610612742.0,DAL,shooting,,,Brown,S. Brown,,,,,1193.0,1.0,0.0,Jones Jr.,1627884.0,,,,,,,,,,,,,,,,
144,PT01M36.00S,2021-11-11T01:35:18.5Z,1,REGULAR,freethrow,1 of 2,[],1627884,,,1610612741,27,24,2021-11-11T01:35:18Z,1430000,,,0,,D. Jones Jr. Free Throw 1 of 2 (3 PTS),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
147,PT01M36.00S,2021-11-11T01:35:33.5Z,1,REGULAR,freethrow,2 of 2,[],1627884,,,1610612741,28,24,2021-11-11T01:35:33Z,1440000,,,0,,D. Jones Jr. Free Throw 2 of 2 (4 PTS),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
148,PT01M24.00S,2021-11-11T01:35:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628373,87.72996057818659,50.49019607843137,1610612742,28,24,2021-11-11T01:38:20Z,1450000,2.0,63.0,1,right,MISS F. Ntilikina 6' driving floating Shot,[1628373],1610612742.0,DAL,driving floating,,,Ntilikina,F. Ntilikina,,,,,,,,,,Missed,,6.28,,,,,,,,,,,,,
149,PT01M22.00S,2021-11-11T01:35:50.2Z,1,REGULAR,rebound,offensive,[],204001,,,1610612742,28,24,2021-11-11T01:35:50Z,1460000,,,0,,K. Porzingis REBOUND (Off:1 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,148.0,2.0,1.0,1.0,,,,,,,,,
150,PT01M14.00S,2021-11-11T01:35:56.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628373,89.43823915900131,55.63725490196079,1610612742,28,26,2021-11-11T01:38:46Z,1470000,28.0,47.0,1,right,F. Ntilikina driving floating Jump Shot (2 PTS),[1628373],1610612742.0,DAL,driving floating,,,Ntilikina,F. Ntilikina,,,,,,,,,,Made,2.0,5.46,,,,,,,,,,,,,
151,PT01M02.00S,2021-11-11T01:36:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627884,5.863994743758213,54.166666666666664,1610612741,30,26,2021-11-11T01:39:43Z,1480000,-21.0,3.0,1,left,D. Jones Jr. reverse Layup (6 PTS) (D. DeRozan 3 AST),"[1627884, 201942]",1610612741.0,CHI,reverse,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,Made,6.0,2.1,,,,,D. DeRozan,201942.0,3.0,,,,,,
153,PT00M54.00S,2021-11-11T01:36:18.1Z,1,REGULAR,3pt,Jump Shot,[],204001,65.39093298291722,49.754901960784316,1610612742,30,29,2021-11-11T01:36:22Z,1500000,-1.0,273.0,1,right,K. Porzingis 27' 3PT  (5 PTS) (J. Brunson 1 AST),"[204001, 1628973]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,Made,5.0,27.28,,,,,J. Brunson,1628973.0,1.0,,,,,,
155,PT00M32.70S,2021-11-11T01:36:43.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,12.040078843626807,57.59803921568627,1610612741,30,29,2021-11-11T01:36:47Z,1520000,-38.0,61.0,1,left,MISS D. DeRozan 7' driving floating Shot,[201942],1610612741.0,CHI,driving floating,,,DeRozan,D. DeRozan,,,,,,,,,,Missed,,7.16,,,,,,,,,,,,,
156,PT00M30.60S,2021-11-11T01:36:45.3Z,1,REGULAR,rebound,defensive,[],1628425,,,1610612742,30,29,2021-11-11T01:36:45Z,1530000,,,0,,S. Brown REBOUND (Off:0 Def:1),[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,155.0,1.0,1.0,0.0,,,,,,,,,
157,PT00M28.50S,2021-11-11T01:36:47.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628425,66.44218134034165,20.588235294117645,1610612742,30,32,2021-11-11T01:37:06Z,1540000,-147.0,263.0,1,right,S. Brown 30' 3PT running (3 PTS),[1628425],1610612742.0,DAL,running,,,Brown,S. Brown,,,,,,,,,,Made,3.0,30.13,,,,,,,,,,,,,
158,PT00M06.90S,2021-11-11T01:37:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,6.389618922470433,51.71568627450981,1610612741,32,32,2021-11-11T01:37:18Z,1550000,-9.0,8.0,1,left,D. DeRozan driving finger roll Layup (3 PTS),[201942],1610612741.0,CHI,driving finger roll,,,DeRozan,D. DeRozan,,,,,,,,,,Made,3.0,1.15,,,,,,,,,,,,,
159,PT00M02.70S,2021-11-11T01:37:33.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627884,,,1610612742,32,32,2021-11-11T01:40:09Z,1560000,,,0,,D. Jones Jr. personal FOUL (2 PF) (Brunson 2 FT),"[1627884, 1628973]",1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,203054.0,2.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,,
161,PT00M02.70S,2021-11-11T01:37:57.5Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612742,32,33,2021-11-11T01:37:57Z,1580000,,,0,,J. Brunson Free Throw 1 of 2 (8 PTS),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
162,PT00M02.70S,2021-11-11T01:37:57.5Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612742,32,33,2021-11-11T01:38:50Z,1590000,,,0,,MISS J. Brunson Free Throw 2 of 2,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,Missed,,,,,,,,,,,,,,,
163,PT00M00.30S,2021-11-11T01:37:59.9Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612741,32,33,2021-11-11T01:38:50Z,1600000,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,162.0,1.0,1.0,0.0,,,,,,,,,
164,PT00M00.00S,2021-11-11T01:38:49.6Z,1,REGULAR,period,end,[],0,,,1610612741,32,33,2021-11-11T01:38:49Z,1610000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-11-11T01:41:29.5Z,2,REGULAR,substitution,out,['startperiod'],1627936,,,1610612741,32,33,2021-11-11T01:41:44Z,1620000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-11-11T01:41:29.5Z,2,REGULAR,substitution,in,['startperiod'],1628366,,,1610612741,32,33,2021-11-11T01:41:44Z,1630000,,,0,,SUB in: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-11-11T01:41:34.9Z,2,REGULAR,period,start,[],0,,,1610612741,32,33,2021-11-11T01:41:45Z,1640000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT11M42.00S,2021-11-11T01:41:51.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,5.601182654402102,49.754901960784316,1610612741,34,33,2021-11-11T01:42:19Z,1650000,1.0,0.0,1,left,A. Dosunmu driving Layup (2 PTS) (T. Bradley 1 AST),"[1630245, 1628396]",1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,,,,,,Made,2.0,0.12,,,,,T. Bradley,1628396.0,1.0,,,,,,
170,PT11M27.00S,2021-11-11T01:42:06.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,94.56307490144546,47.30392156862745,1610612742,34,35,2021-11-11T01:42:15Z,1670000,-13.0,-1.0,1,right,J. Brunson driving reverse Layup (10 PTS),[1628973],1610612742.0,DAL,driving reverse,,,Brunson,J. Brunson,,,,,,,,,,Made,10.0,1.36,,,,,,,,,,,,,
171,PT11M13.00S,2021-11-11T01:42:20.6Z,2,REGULAR,2pt,Jump Shot,[],201942,15.456636005256241,29.166666666666668,1610612741,34,35,2021-11-11T01:42:26Z,1680000,104.0,93.0,1,left,MISS D. DeRozan 13' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,Missed,,13.95,,,,,,,,,,,,,
172,PT11M11.00S,2021-11-11T01:42:22.6Z,2,REGULAR,rebound,defensive,[],1628425,,,1610612742,34,35,2021-11-11T01:42:26Z,1690000,,,0,,S. Brown REBOUND (Off:0 Def:2),[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,171.0,2.0,2.0,0.0,,,,,,,,,
173,PT11M00.00S,2021-11-11T01:42:33.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,93.9060446780552,50.49019607843137,1610612742,34,37,2021-11-11T01:43:53Z,1700000,2.0,5.0,1,right,K. Porzingis DUNK (7 PTS) (F. Ntilikina 1 AST),"[204001, 1628373]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,Made,7.0,0.54,,,,,F. Ntilikina,1628373.0,1.0,,,,,,
175,PT10M58.00S,2021-11-11T01:42:42.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,34,37,2021-11-11T01:42:42Z,1720000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT10M58.00S,2021-11-11T01:44:54.5Z,2,REGULAR,substitution,out,[],1628396,,,1610612741,34,37,2021-11-11T01:45:16Z,1730000,,,0,,SUB out: T. Bradley,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT10M58.00S,2021-11-11T01:44:54.5Z,2,REGULAR,substitution,in,[],1628993,,,1610612741,34,37,2021-11-11T01:45:16Z,1740000,,,0,,SUB in: A. Johnson,[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
