actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
89,PT04M57.00S,2026-04-05T19:55:23.7Z,1,REGULAR,foul,personal,[],1630202,,,1610612761,22,15,2026-04-05T19:55:30Z,890000,False,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1627742]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Center,,,,,,,,202058.0,,,,,,,1.0,0.0,Ingram,1627742.0,,
91,PT04M57.00S,2026-04-05T19:55:30.2Z,1,REGULAR,substitution,out,[],1629674,,,1610612761,22,15,2026-04-05T19:55:35Z,910000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M57.00S,2026-04-05T19:55:30.2Z,1,REGULAR,substitution,in,[],202696,,,1610612761,22,15,2026-04-05T19:55:35Z,920000,False,,,0,,SUB in: N. Vučević,[202696],1610612738.0,BOS,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M51.00S,2026-04-05T19:55:54.2Z,1,REGULAR,3pt,Jump Shot,[],1627742,73.27529566360053,13.970588235294118,1610612761,22,15,2026-04-05T19:56:00Z,930000,False,-180.0,199.0,1,right,MISS B. Ingram 26' 3PT,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,26.82,Missed,,,,,,,,,,,,,,,,,,
94,PT04M47.00S,2026-04-05T19:55:58.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612738,22,15,2026-04-05T19:56:00Z,940000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612738.0,BOS,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,,93.0,,,,,1.0,1.0,0.0,,,,,,,,,
95,PT04M40.00S,2026-04-05T19:56:05.7Z,1,REGULAR,3pt,Jump Shot,[],1641775,6.915243101182654,95.09803921568627,1610612738,22,15,2026-04-05T19:56:10Z,950000,False,-225.0,13.0,1,left,MISS J. Walsh 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Left Corner 3,24+ Left,22.58,Missed,,,,,,,,,,,,,,,,,,
96,PT04M37.00S,2026-04-05T19:56:08.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,22,15,2026-04-05T19:56:10Z,960000,False,,,0,,R. Barrett REBOUND (Off:1 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Left Corner 3,24+ Left,,,,95.0,,,,,2.0,1.0,1.0,,,,,,,,,
97,PT04M34.00S,2026-04-05T19:56:14.9Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612761,22,15,2026-04-05T19:56:27Z,970000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Barrett 2 FT),"[1627759, 1629628]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202058.0,,,,,,,1.0,0.0,Barrett,1629628.0,,
99,PT04M34.00S,2026-04-05T19:56:42.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629628,,,1610612761,22,16,2026-04-05T19:56:42Z,990000,False,,,0,,R. Barrett Free Throw 1 of 2 (3 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
100,PT04M34.00S,2026-04-05T19:56:43.2Z,1,REGULAR,substitution,out,[],1627751,,,1610612761,22,16,2026-04-05T19:56:48Z,1000000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M34.00S,2026-04-05T19:56:43.2Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,22,16,2026-04-05T19:56:48Z,1010000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M34.00S,2026-04-05T19:57:02.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629628,,,1610612761,22,17,2026-04-05T19:57:02Z,1020000,False,,,0,,R. Barrett Free Throw 2 of 2 (4 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
103,PT04M16.00S,2026-04-05T19:57:22.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,29.25427069645204,77.20588235294117,1610612738,22,17,2026-04-05T19:57:37Z,1030000,False,-136.0,222.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.08,Missed,,,,,,,,,,,,,,,,,,
104,PT04M13.00S,2026-04-05T19:57:25.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,22,17,2026-04-05T19:57:37Z,1040000,False,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,103.0,,,,,2.0,1.0,1.0,,,,,,,,,
105,PT04M10.00S,2026-04-05T19:57:28.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,6.389618922470433,57.107843137254896,1610612738,22,17,2026-04-05T19:59:08Z,1050000,False,-36.0,8.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,,,,,,,,,,,,,,
106,PT04M08.00S,2026-04-05T19:57:30.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,22,17,2026-04-05T19:57:40Z,1060000,False,,,0,,R. Barrett REBOUND (Off:1 Def:2),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,105.0,,,,,3.0,2.0,1.0,,,,,,,,,
107,PT04M04.00S,2026-04-05T19:57:34.5Z,1,REGULAR,turnover,bad pass,[],1642347,,,1610612761,22,17,2026-04-05T19:57:43Z,1070000,False,,,0,,J. Shead bad pass TURNOVER (1 TO),"[1642347, 1630202]",1610612761.0,TOR,,,,Shead,J. Shead,,,,,Mid-Range,16-24 Right,,,,,1.0,Pritchard,1630202.0,,,,,,,,,,,,,
108,PT04M04.00S,2026-04-05T19:57:34.5Z,1,REGULAR,steal,,[],1630202,,,1610612738,22,17,2026-04-05T19:57:36Z,1080000,False,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
109,PT03M57.00S,2026-04-05T19:57:41.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631248,27.808804204993432,74.50980392156863,1610612738,22,17,2026-04-05T19:57:51Z,1090000,False,-123.0,209.0,1,left,MISS B. Scheierman 24' 3PT,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Left Center,24.22,Missed,,,,,,,,,,,,,,,,,,
110,PT03M54.00S,2026-04-05T19:57:44.2Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612761,22,17,2026-04-05T19:57:51Z,1100000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:1),[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,,,,109.0,,,,,1.0,1.0,0.0,,,,,,,,,
111,PT03M39.00S,2026-04-05T19:57:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,90.88370565045992,41.911764705882355,1610612761,22,17,2026-04-05T19:58:05Z,1110000,False,-40.0,33.0,1,right,MISS B. Ingram driving Layup,[1627742],1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,5.23,Missed,,,,,,,,,,,,,,,,,,
112,PT03M37.00S,2026-04-05T19:58:01.7Z,1,REGULAR,rebound,defensive,[],1631248,,,1610612738,22,17,2026-04-05T19:58:01Z,1120000,False,,,0,,B. Scheierman REBOUND (Off:0 Def:1),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,In The Paint (Non-RA),0-8 Center,,,,111.0,,,,,1.0,1.0,0.0,,,,,,,,,
113,PT03M24.00S,2026-04-05T19:58:16.5Z,1,REGULAR,turnover,out-of-bounds,[],202696,,,1610612738,22,17,2026-04-05T19:58:28Z,1130000,False,,,0,,N. Vučević bad pass out-of-bounds TURNOVER (1 TO),[202696],1610612738.0,BOS,bad pass,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Right,,,,,1.0,,,203054.0,,,,,,,,,,,,
114,PT03M11.00S,2026-04-05T19:58:39.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642347,83.919185282523,38.48039215686275,1610612761,22,17,2026-04-05T20:00:57Z,1140000,False,-58.0,99.0,1,right,MISS J. Shead 11' driving floating Shot,[1642347],1610612761.0,TOR,driving floating,,,Shead,J. Shead,,,,,In The Paint (Non-RA),8-16 Center,11.43,Missed,,,,,,,,,,,,,,,,,,
115,PT03M09.00S,2026-04-05T19:58:41.1Z,1,REGULAR,rebound,offensive,[],1642347,,,1610612761,22,17,2026-04-05T19:59:01Z,1150000,False,,,0,,J. Shead REBOUND (Off:1 Def:0),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,In The Paint (Non-RA),8-16 Center,,,,114.0,,,,,1.0,0.0,1.0,,,,,,,,,
116,PT03M09.00S,2026-04-05T19:58:55.6Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612761,22,17,2026-04-05T19:59:01Z,1160000,False,,,0,,N. Vučević shooting personal FOUL (1 PF) (Shead 2 FT),"[202696, 1642347]",1610612738.0,BOS,shooting,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,202058.0,,,,,,,1.0,0.0,Shead,1642347.0,,
118,PT03M09.00S,2026-04-05T19:59:15.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1642347,,,1610612761,22,18,2026-04-05T19:59:15Z,1180000,False,,,0,,J. Shead Free Throw 1 of 2 (1 PTS),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
119,PT03M09.00S,2026-04-05T19:59:16.8Z,1,REGULAR,substitution,out,[],1629628,,,1610612761,22,18,2026-04-05T19:59:24Z,1190000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M09.00S,2026-04-05T19:59:16.8Z,1,REGULAR,substitution,in,[],1630639,,,1610612761,22,18,2026-04-05T19:59:24Z,1200000,False,,,0,,SUB in: A. Lawson,[1630639],1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M09.00S,2026-04-05T19:59:34.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1642347,,,1610612761,22,19,2026-04-05T19:59:34Z,1210000,False,,,0,,J. Shead Free Throw 2 of 2 (2 PTS),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
122,PT02M55.00S,2026-04-05T19:59:52.1Z,1,REGULAR,3pt,Jump Shot,[],202696,24.392247043363994,12.009803921568627,1610612738,22,19,2026-04-05T19:59:57Z,1220000,False,190.0,177.0,1,left,MISS N. Vučević 25' 3PT,[202696],1610612738.0,BOS,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Right Center,25.95,Missed,,,,,,,,,,,,,,,,,,
123,PT02M51.00S,2026-04-05T19:59:55.5Z,1,REGULAR,rebound,defensive,[],1642867,,,1610612761,22,19,2026-04-05T19:59:55Z,1230000,False,,,0,,C. Murray-Boyles REBOUND (Off:0 Def:1),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Above the Break 3,24+ Right Center,,,,122.0,,,,,1.0,1.0,0.0,,,,,,,,,
124,PT02M47.00S,2026-04-05T20:00:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642867,92.59198423127464,46.32352941176471,1610612761,22,21,2026-04-05T20:00:08Z,1240000,False,-18.0,17.0,1,right,C. Murray-Boyles running Layup (2 PTS) (S. Mamukelashvili 1 AST),"[1642867, 1630572]",1610612761.0,TOR,running,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,2.51,Made,2.0,,,,,,,,,S. Mamukelashvili,1630572.0,1.0,,,,,,
126,PT02M47.00S,2026-04-05T20:00:09.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,22,21,2026-04-05T20:00:09Z,1260000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M47.00S,2026-04-05T20:02:30.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,22,21,2026-04-05T20:02:49Z,1270000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M47.00S,2026-04-05T20:02:30.7Z,1,REGULAR,substitution,out,[],1627742,,,1610612738,22,21,2026-04-05T20:02:49Z,1280000,False,,,0,,SUB out: B. Ingram,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M47.00S,2026-04-05T20:02:30.7Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,22,21,2026-04-05T20:02:49Z,1290000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M47.00S,2026-04-05T20:02:30.7Z,1,REGULAR,substitution,in,[],1630567,,,1610612738,22,21,2026-04-05T20:02:49Z,1300000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M37.00S,2026-04-05T20:03:07.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,28.465834428383708,81.61764705882352,1610612738,22,21,2026-04-05T20:03:12Z,1310000,False,-158.0,215.0,1,left,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.7,Missed,,,,,,,,,,,,,,,,,,
132,PT02M34.00S,2026-04-05T20:03:10.4Z,1,REGULAR,rebound,defensive,[],1630639,,,1610612761,22,21,2026-04-05T20:03:12Z,1320000,False,,,0,,A. Lawson REBOUND (Off:0 Def:1),[1630639],1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,Above the Break 3,24+ Left Center,,,,131.0,,,,,1.0,1.0,0.0,,,,,,,,,
133,PT02M25.00S,2026-04-05T20:03:18.8Z,1,REGULAR,3pt,Jump Shot,[],1642347,94.03745072273325,94.85294117647058,1610612761,22,24,2026-04-05T20:03:52Z,1330000,False,224.0,4.0,1,right,J. Shead 3PT  (5 PTS) (S. Mamukelashvili 2 AST),"[1642347, 1630572]",1610612761.0,TOR,,,,Shead,J. Shead,,,,,Right Corner 3,24+ Right,22.43,Made,5.0,,,,,,,,,S. Mamukelashvili,1630572.0,2.0,,,,,,
135,PT02M11.00S,2026-04-05T20:03:32.7Z,1,REGULAR,3pt,Jump Shot,[],1641775,6.1268068331143235,98.52941176470588,1610612738,22,24,2026-04-05T20:03:37Z,1350000,False,-243.0,5.0,1,left,MISS J. Walsh 24' 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Left Corner 3,24+ Left,24.27,Missed,,,,,,,,,,,,,,,,,,
136,PT02M08.00S,2026-04-05T20:03:35.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,22,24,2026-04-05T20:03:37Z,1360000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,,135.0,,,,,1.0,1.0,0.0,,,,,,,,,
137,PT01M57.00S,2026-04-05T20:03:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642867,92.59198423127464,37.254901960784316,1610612761,22,24,2026-04-05T20:06:29Z,1370000,False,-64.0,17.0,1,right,MISS C. Murray-Boyles 6' floating Shot,[1642867],1610612761.0,TOR,floating,,,Murray-Boyles,C. Murray-Boyles,,,,,In The Paint (Non-RA),0-8 Center,6.6,Missed,,,,,,,,,,,,,,,,,,
138,PT01M57.00S,2026-04-05T20:03:46.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,22,24,2026-04-05T20:03:56Z,1380000,False,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,137.0,,,,,5.0,5.0,0.0,,,,,,,,,
139,PT01M44.00S,2026-04-05T20:03:59.5Z,1,REGULAR,3pt,Jump Shot,[],1630202,25.18068331143233,84.55882352941177,1610612738,22,24,2026-04-05T20:04:11Z,1390000,False,-173.0,184.0,1,left,MISS P. Pritchard 25' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,25.26,Missed,,,,,,,,,,,,,,,,,,
140,PT01M40.00S,2026-04-05T20:04:03.5Z,1,REGULAR,rebound,offensive,[],1631248,,,1610612738,22,24,2026-04-05T20:04:11Z,1400000,False,,,0,,B. Scheierman REBOUND (Off:1 Def:1),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Left Center,,,,139.0,,,,,2.0,1.0,1.0,,,,,,,,,
141,PT01M31.00S,2026-04-05T20:04:13.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631248,22.683968462549277,35.78431372549019,1610612738,24,24,2026-04-05T20:07:01Z,1410000,False,71.0,161.0,1,left,B. Scheierman 17' driving floating Jump Shot (5 PTS) (J. Tatum 2 AST),"[1631248, 1628369]",1610612738.0,BOS,driving floating,,,Scheierman,B. Scheierman,,,,,Mid-Range,16-24 Right Center,17.57,Made,5.0,,,,,,,,,J. Tatum,1628369.0,2.0,,,,,,
143,PT01M17.00S,2026-04-05T20:04:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,81.94809461235218,62.5,1610612761,24,24,2026-04-05T20:04:33Z,1430000,False,62.0,117.0,1,right,MISS S. Barnes 13' fadeaway Shot,[1630567],1610612761.0,TOR,fadeaway,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,13.28,Missed,,,,,,,,,,,,,,,,,,
144,PT01M15.00S,2026-04-05T20:04:28.4Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,24,24,2026-04-05T20:04:28Z,1440000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,,,,143.0,,,,,1.0,1.0,0.0,,,,,,,,,
145,PT01M06.00S,2026-04-05T20:04:41.4Z,1,REGULAR,foul,personal,[],1630567,,,1610612738,24,24,2026-04-05T20:04:47Z,1450000,False,,,0,,S. Barnes personal FOUL (2 PF),"[1630567, 1630202]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,,,,,,,,202007.0,,,,,,,2.0,0.0,Pritchard,1630202.0,,
147,PT01M06.00S,2026-04-05T20:04:48.0Z,1,REGULAR,substitution,out,[],1642347,,,1610612738,24,24,2026-04-05T20:04:57Z,1470000,False,,,0,,SUB out: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M06.00S,2026-04-05T20:04:48.0Z,1,REGULAR,substitution,in,[],1642266,,,1610612738,24,24,2026-04-05T20:04:57Z,1480000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M06.00S,2026-04-05T20:04:48.0Z,1,REGULAR,substitution,out,[],1630567,,,1610612738,24,24,2026-04-05T20:05:24Z,1490000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M06.00S,2026-04-05T20:04:48.0Z,1,REGULAR,substitution,in,[],1629628,,,1610612738,24,24,2026-04-05T20:05:24Z,1500000,False,,,0,,SUB in: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M54.10S,2026-04-05T20:05:27.4Z,1,REGULAR,2pt,Jump Shot,[],1628369,22.28975032851511,25.245098039215684,1610612738,24,24,2026-04-05T20:05:32Z,1510000,False,124.0,157.0,1,left,MISS J. Tatum 19' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,19.99,Missed,,,,,,,,,,,,,,,,,,
152,PT00M51.40S,2026-04-05T20:05:30.1Z,1,REGULAR,rebound,defensive,[],1642867,,,1610612761,24,24,2026-04-05T20:05:32Z,1520000,False,,,0,,C. Murray-Boyles REBOUND (Off:0 Def:2),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Mid-Range,16-24 Right Center,,,,151.0,,,,,2.0,2.0,0.0,,,,,,,,,
153,PT00M44.90S,2026-04-05T20:05:36.7Z,1,REGULAR,3pt,Jump Shot,[],1630639,90.62089356110381,3.6764705882352944,1610612761,24,24,2026-04-05T20:05:41Z,1530000,False,-232.0,36.0,1,right,MISS A. Lawson 3PT,[1630639],1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,Left Corner 3,24+ Left,23.43,Missed,,,,,,,,,,,,,,,,,,
154,PT00M41.90S,2026-04-05T20:05:39.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612738,24,24,2026-04-05T20:05:41Z,1540000,False,,,0,,N. Vučević REBOUND (Off:0 Def:2),[202696],1610612738.0,BOS,,,,Vučević,N. Vučević,,,,,Left Corner 3,24+ Left,,,,153.0,,,,,2.0,2.0,0.0,,,,,,,,,
155,PT00M32.10S,2026-04-05T20:05:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,15.325229960578188,41.66666666666667,1610612738,26,24,2026-04-05T20:05:55Z,1550000,False,42.0,92.0,1,left,P. Pritchard 10' pullup Jump Shot (2 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,10.06,Made,2.0,,,,,,,,,,,,,,,,,
156,PT00M20.70S,2026-04-05T20:06:04.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642266,92.59198423127464,51.71568627450981,1610612761,26,26,2026-04-05T20:06:10Z,1560000,False,9.0,17.0,1,right,J. Walter cutting DUNK (8 PTS) (C. Murray-Boyles 1 AST),"[1642266, 1642867]",1610612761.0,TOR,cutting,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,1.91,Made,8.0,,,,,,,,,C. Murray-Boyles,1642867.0,1.0,,,,,,
158,PT00M00.20S,2026-04-05T20:06:29.8Z,1,REGULAR,3pt,Jump Shot,[],202696,27.020367936925098,17.647058823529413,1610612738,26,26,2026-04-05T20:06:54Z,1580000,False,162.0,201.0,1,left,MISS N. Vučević 25' 3PT,[202696],1610612738.0,BOS,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Right Center,25.84,Missed,,,,,,,,,,,,,,,,,,
159,PT00M00.10S,2026-04-05T20:06:29.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,26,26,2026-04-05T20:06:54Z,1590000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,158.0,,,,,,,,,,,,,,,,
160,PT00M00.00S,2026-04-05T20:06:35.7Z,1,REGULAR,period,end,[],0,,,1610612738,26,26,2026-04-05T20:06:35Z,1600000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2026-04-05T20:08:53.3Z,2,REGULAR,substitution,out,['startperiod'],1641775,,,1610612738,26,26,2026-04-05T20:09:08Z,1610000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2026-04-05T20:08:53.3Z,2,REGULAR,substitution,out,['startperiod'],1631248,,,1610612738,26,26,2026-04-05T20:09:08Z,1620000,False,,,0,,SUB out: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2026-04-05T20:08:53.3Z,2,REGULAR,substitution,out,['startperiod'],1630639,,,1610612738,26,26,2026-04-05T20:09:08Z,1630000,False,,,0,,SUB out: A. Lawson,[1630639],1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2026-04-05T20:08:53.3Z,2,REGULAR,substitution,in,['startperiod'],1628401,,,1610612738,26,26,2026-04-05T20:09:08Z,1640000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2026-04-05T20:08:53.3Z,2,REGULAR,substitution,in,['startperiod'],1630573,,,1610612738,26,26,2026-04-05T20:09:08Z,1650000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2026-04-05T20:08:53.3Z,2,REGULAR,substitution,in,['startperiod'],1630567,,,1610612738,26,26,2026-04-05T20:09:08Z,1660000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2026-04-05T20:09:09.7Z,2,REGULAR,period,start,[],0,,,1610612761,26,26,2026-04-05T20:09:09Z,1670000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT11M49.00S,2026-04-05T20:09:20.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,90.22667542706965,41.42156862745098,1610612761,26,26,2026-04-05T20:09:27Z,1680000,False,-43.0,39.0,1,right,MISS R. Barrett driving floating Shot,[1629628],1610612761.0,TOR,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,5.82,Missed,,,,,,,,,,,,,,,,,,
