actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
92,PT04M57.00S,2021-12-09T01:24:44.0Z,1,REGULAR,substitution,in,[],1628021,,,1610612745,18,14,2021-12-09T01:24:52Z,920000,,,0,,SUB in: D. Nwaba,[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M40.00S,2021-12-09T01:25:15.9Z,1,REGULAR,3pt,Jump Shot,[],1628021,80.3712220762155,94.36274509803921,1610612745,18,14,2021-12-09T01:25:21Z,930000,222.0,132.0,1,right,MISS D. Nwaba 25' 3PT,[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,,
94,PT04M38.00S,2021-12-09T01:25:17.9Z,1,REGULAR,rebound,defensive,[],201949,,,1610612751,18,14,2021-12-09T01:25:21Z,940000,,,0,,J. Johnson REBOUND (Off:0 Def:1),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,93.0,1.0,1.0,0.0,,,,,,,,,,,,,,
95,PT04M32.00S,2021-12-09T01:25:28.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,18,14,2021-12-09T01:25:28Z,950000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M32.00S,2021-12-09T01:25:37.6Z,1,REGULAR,substitution,out,[],201949,,,1610612751,18,14,2021-12-09T01:25:42Z,960000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M32.00S,2021-12-09T01:25:37.6Z,1,REGULAR,substitution,in,[],1627761,,,1610612751,18,14,2021-12-09T01:25:42Z,970000,,,0,,SUB in: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M20.00S,2021-12-09T01:26:05.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,17.296320630749015,38.970588235294116,1610612751,18,14,2021-12-09T01:26:17Z,980000,55.0,110.0,1,left,MISS B. Brown 12' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,12.31,Missed,,,,,,,,,,,,,,,,,,,
99,PT04M18.00S,2021-12-09T01:26:07.2Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,18,14,2021-12-09T01:26:17Z,990000,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,98.0,1.0,0.0,1.0,,,,,,,,,,,,,,
100,PT04M15.00S,2021-12-09T01:26:08.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,6.652431011826544,47.794117647058826,1610612751,18,14,2021-12-09T01:26:22Z,1000000,11.0,10.0,1,left,MISS B. Brown Layup,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,1.49,Missed,,,,,,,,,,,,,,,,,,,
101,PT04M12.00S,2021-12-09T01:26:11.9Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,18,14,2021-12-09T01:26:22Z,1010000,,,0,,B. Brown REBOUND (Off:2 Def:0),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,100.0,2.0,0.0,2.0,,,,,,,,,,,,,,
102,PT04M11.00S,2021-12-09T01:26:12.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,6.389618922470433,47.05882352941176,1610612751,18,16,2021-12-09T01:26:27Z,1020000,15.0,8.0,1,left,B. Brown Layup (2 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,1.65,Made,2.0,,,,,,,,,,,,,,,,,,
103,PT03M59.00S,2021-12-09T01:26:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,91.93495400788436,49.01960784313725,1610612745,20,16,2021-12-09T01:26:31Z,1030000,-5.0,23.0,1,right,E. Gordon driving finger roll Layup (12 PTS),[201569],1610612745.0,HOU,driving finger roll,,,Gordon,E. Gordon,,,,,2.38,Made,12.0,,,,,,,,,,,,,,,,,,
104,PT03M40.00S,2021-12-09T01:26:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,6.521024967148489,46.81372549019608,1610612751,20,16,2021-12-09T01:26:52Z,1040000,16.0,9.0,1,left,MISS D. Bembry driving Layup,[1627761],1610612751.0,BKN,driving,,,Bembry,D. Bembry,,,,,1.82,Missed,,,,,,,,,,,,,,,,,,,
105,PT03M39.00S,2021-12-09T01:26:45.4Z,1,REGULAR,rebound,offensive,[],1627761,,,1610612751,20,16,2021-12-09T01:28:01Z,1050000,,,0,,D. Bembry REBOUND (Off:2 Def:1),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,104.0,3.0,1.0,2.0,,,,,,,,,,,,,,
107,PT03M38.00S,2021-12-09T01:26:53.5Z,1,REGULAR,foul,personal,['2freethrow'],1628021,,,1610612751,20,16,2021-12-09T01:27:06Z,1070000,,,0,,D. Nwaba shooting personal FOUL (1 PF) (Bembry 2 FT),"[1628021, 1627761]",1610612745.0,HOU,shooting,,,Nwaba,D. Nwaba,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Bembry,1627761.0,,,,
109,PT03M38.00S,2021-12-09T01:27:20.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627761,,,1610612751,20,17,2021-12-09T01:27:20Z,1090000,,,0,,D. Bembry Free Throw 1 of 2 (1 PTS),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
110,PT03M38.00S,2021-12-09T01:27:21.6Z,1,REGULAR,substitution,out,[],201935,,,1610612751,20,17,2021-12-09T01:27:38Z,1100000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M38.00S,2021-12-09T01:27:21.6Z,1,REGULAR,substitution,in,[],1628975,,,1610612751,20,17,2021-12-09T01:27:38Z,1110000,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M38.00S,2021-12-09T01:27:20.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627761,,,1610612751,20,17,2021-12-09T01:27:44Z,1120000,,,0,,MISS D. Bembry Free Throw 2 of 2,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,Missed,,,,,,,,,,,,,,,,,,,
113,PT03M38.00S,2021-12-09T01:27:20.5Z,1,REGULAR,rebound,defensive,[],1628021,,,1610612745,20,17,2021-12-09T01:27:50Z,1130000,,,0,,D. Nwaba REBOUND (Off:0 Def:1),[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,,
114,PT03M24.00S,2021-12-09T01:27:51.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,93.38042049934296,47.794117647058826,1610612745,20,17,2021-12-09T01:28:01Z,1140000,-11.0,10.0,1,right,MISS C. Wood driving Layup,[1626174],1610612745.0,HOU,driving,,,Wood,C. Wood,,,,,1.47,Missed,,,,,,,,,,,,,,,,,,,
115,PT03M23.00S,2021-12-09T01:27:52.8Z,1,REGULAR,rebound,defensive,[],200794,,,1610612751,20,17,2021-12-09T01:28:01Z,1150000,,,0,,P. Millsap REBOUND (Off:0 Def:1),[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,,,,,,,
116,PT03M02.00S,2021-12-09T01:28:14.2Z,1,REGULAR,2pt,Jump Shot,[],200794,7.30946123521682,31.127450980392158,1610612751,20,17,2021-12-09T01:28:21Z,1160000,94.0,16.0,1,left,MISS P. Millsap 9' turnaround fadeaway Shot,[200794],1610612751.0,BKN,turnaround fadeaway,,,Millsap,P. Millsap,,,,,9.58,Missed,,,,,,,,,,,,,,,,,,,
117,PT03M01.00S,2021-12-09T01:28:15.2Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,20,17,2021-12-09T01:28:21Z,1170000,,,0,,C. Wood REBOUND (Off:1 Def:4),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,116.0,5.0,4.0,1.0,,,,,,,,,,,,,,
118,PT02M46.00S,2021-12-09T01:28:29.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630256,92.32917214191852,51.9607843137255,1610612745,22,17,2021-12-09T01:28:34Z,1180000,10.0,20.0,1,right,J. Tate cutting DUNK (5 PTS) (A. Brooks 1 AST),"[1630256, 1629717]",1610612745.0,HOU,cutting,,,Tate,J. Tate,,,,,2.19,Made,5.0,,,,,,,,,,,,,,,A. Brooks,1629717.0,1.0,
120,PT02M35.00S,2021-12-09T01:28:41.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,17.69053876478318,49.01960784313725,1610612751,22,19,2021-12-09T01:28:47Z,1200000,5.0,114.0,1,left,C. Thomas 11' driving floating Jump Shot (4 PTS) (P. Millsap 1 AST),"[1630560, 200794]",1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,11.39,Made,4.0,,,,,,,,,,,,,,,P. Millsap,200794.0,1.0,
122,PT02M22.00S,2021-12-09T01:28:53.7Z,1,REGULAR,3pt,Jump Shot,[],201569,65.65374507227332,43.872549019607845,1610612745,25,19,2021-12-09T01:28:58Z,1220000,-31.0,270.0,1,right,E. Gordon 27' 3PT step back (15 PTS),[201569],1610612745.0,HOU,step back,,,Gordon,E. Gordon,,,,,27.21,Made,15.0,,,,,,,,,,,,,,,,,,
123,PT02M05.00S,2021-12-09T01:29:11.0Z,1,REGULAR,3pt,Jump Shot,[],1628975,27.94021024967148,21.568627450980394,1610612751,25,19,2021-12-09T01:31:17Z,1230000,142.0,210.0,1,left,MISS J. Carter 25' pullup 3PT,[1628975],1610612751.0,BKN,pullup,,,Carter,J. Carter,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,,
124,PT02M02.00S,2021-12-09T01:29:14.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,25,19,2021-12-09T01:29:19Z,1240000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,
125,PT02M02.00S,2021-12-09T01:29:16.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,25,19,2021-12-09T01:29:16Z,1250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M02.00S,2021-12-09T01:29:18.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,25,19,2021-12-09T01:29:18Z,1260000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M02.00S,2021-12-09T01:31:24.0Z,1,REGULAR,substitution,out,[],1630256,,,1610612745,25,19,2021-12-09T01:32:03Z,1270000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M02.00S,2021-12-09T01:31:24.0Z,1,REGULAR,substitution,out,[],201569,,,1610612745,25,19,2021-12-09T01:32:03Z,1280000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M02.00S,2021-12-09T01:31:24.0Z,1,REGULAR,substitution,out,[],1626174,,,1610612745,25,19,2021-12-09T01:32:03Z,1290000,,,0,,SUB out: C. Wood,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M02.00S,2021-12-09T01:31:24.0Z,1,REGULAR,substitution,in,[],201571,,,1610612745,25,19,2021-12-09T01:32:03Z,1300000,,,0,,SUB in: D. Augustin,[201571],1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M02.00S,2021-12-09T01:31:24.0Z,1,REGULAR,substitution,in,[],1630231,,,1610612745,25,19,2021-12-09T01:32:03Z,1310000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M02.00S,2021-12-09T01:31:24.0Z,1,REGULAR,substitution,in,[],1630578,,,1610612745,25,19,2021-12-09T01:32:03Z,1320000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M49.00S,2021-12-09T01:32:28.6Z,1,REGULAR,3pt,Jump Shot,[],1629717,66.83639947437582,62.99019607843137,1610612745,28,19,2021-12-09T01:33:26Z,1330000,65.0,259.0,1,right,A. Brooks 26' 3PT pullup (8 PTS),[1629717],1610612745.0,HOU,pullup,,,Brooks,A. Brooks,,,,,26.72,Made,8.0,,,,,,,,,,,,,,,,,,
134,PT01M36.00S,2021-12-09T01:32:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630560,6.1268068331143235,55.14705882352941,1610612751,28,21,2021-12-09T01:32:46Z,1340000,-26.0,5.0,1,left,C. Thomas driving Layup (6 PTS) (P. Millsap 2 AST),"[1630560, 200794]",1610612751.0,BKN,driving,,,Thomas,C. Thomas,,,,,2.62,Made,6.0,,,,,,,,,,,,,,,P. Millsap,200794.0,2.0,
137,PT01M15.00S,2021-12-09T01:33:04.1Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612745,28,21,2021-12-09T01:33:18Z,1370000,,,0,,B. Brown shooting personal FOUL (1 PF) (Martin Jr. 2 FT),"[1628971, 1630231]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Martin Jr.,1630231.0,,,,
139,PT01M15.00S,2021-12-09T01:33:30.1Z,1,REGULAR,freethrow,1 of 2,[],1630231,,,1610612745,29,21,2021-12-09T01:33:30Z,1390000,,,0,,K. Martin Jr. Free Throw 1 of 2 (1 PTS),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
140,PT01M15.00S,2021-12-09T01:33:44.3Z,1,REGULAR,freethrow,2 of 2,[],1630231,,,1610612745,30,21,2021-12-09T01:33:44Z,1400000,,,0,,K. Martin Jr. Free Throw 2 of 2 (2 PTS),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
141,PT01M02.00S,2021-12-09T01:33:59.0Z,1,REGULAR,3pt,Jump Shot,[],1630560,27.94021024967148,16.911764705882355,1610612751,30,21,2021-12-09T01:34:11Z,1410000,165.0,210.0,1,left,MISS C. Thomas 26' pullup 3PT,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
142,PT01M01.00S,2021-12-09T01:34:00.0Z,1,REGULAR,rebound,defensive,[],1629717,,,1610612745,30,21,2021-12-09T01:34:04Z,1420000,,,0,,A. Brooks REBOUND (Off:0 Def:2),[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,141.0,2.0,2.0,0.0,,,,,,,,,,,,,,
143,PT00M49.70S,2021-12-09T01:34:12.8Z,1,REGULAR,turnover,bad pass,[],1629717,,,1610612745,30,21,2021-12-09T01:34:16Z,1430000,,,0,,A. Brooks bad pass TURNOVER (1 TO),"[1629717, 200794]",1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,1.0,Millsap,200794.0,,,,,,,,,,,
144,PT00M49.70S,2021-12-09T01:34:12.8Z,1,REGULAR,steal,,[],200794,,,1610612751,30,21,2021-12-09T01:34:14Z,1440000,,,0,,P. Millsap STEAL (1 STL),[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M45.20S,2021-12-09T01:34:16.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",200794,7.178055190538765,52.20588235294118,1610612751,30,23,2021-12-09T01:34:29Z,1450000,-11.0,15.0,1,left,P. Millsap running DUNK (2 PTS),[200794],1610612751.0,BKN,running,,,Millsap,P. Millsap,,,,,1.86,Made,2.0,,,,,,,,,,,,,,,,,,
146,PT00M32.10S,2021-12-09T01:34:46.5Z,1,REGULAR,3pt,Jump Shot,[],1629717,69.20170827858082,82.59803921568627,1610612745,30,23,2021-12-09T01:35:05Z,1460000,163.0,237.0,1,right,MISS A. Brooks 28' pullup 3PT,[1629717],1610612745.0,HOU,pullup,,,Brooks,A. Brooks,,,,,28.76,Missed,,,,,,,,,,,,,,,,,,,
147,PT00M30.20S,2021-12-09T01:34:48.4Z,1,REGULAR,rebound,offensive,[],1628021,,,1610612745,30,23,2021-12-09T01:34:52Z,1470000,,,0,,D. Nwaba REBOUND (Off:1 Def:1),[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,146.0,2.0,1.0,1.0,,,,,,,,,,,,,,
148,PT00M25.60S,2021-12-09T01:34:53.0Z,1,REGULAR,turnover,lost ball,[],1629717,,,1610612745,30,23,2021-12-09T01:34:57Z,1480000,,,0,,A. Brooks lost ball TURNOVER (2 TO),"[1629717, 1630560]",1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,2.0,Thomas,1630560.0,,,,,,,,,,,
149,PT00M25.60S,2021-12-09T01:34:53.0Z,1,REGULAR,steal,,[],1630560,,,1610612751,30,23,2021-12-09T01:39:59Z,1490000,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M08.30S,2021-12-09T01:35:12.0Z,1,REGULAR,foul,personal,[],1629717,,,1610612751,30,23,2021-12-09T01:35:23Z,1500000,,,0,,A. Brooks take personal FOUL (1 PF),"[1629717, 1628975]",1610612745.0,HOU,take,,,Brooks,A. Brooks,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Carter,1628975.0,,,,
152,PT00M08.30S,2021-12-09T01:35:18.7Z,1,REGULAR,substitution,out,[],1629717,,,1610612751,30,23,2021-12-09T01:35:21Z,1520000,,,0,,SUB out: A. Brooks,[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M08.30S,2021-12-09T01:35:18.7Z,1,REGULAR,substitution,in,[],1629726,,,1610612751,30,23,2021-12-09T01:35:21Z,1530000,,,0,,SUB in: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M08.30S,2021-12-09T01:35:18.7Z,1,REGULAR,substitution,out,[],201571,,,1610612751,30,23,2021-12-09T01:35:34Z,1540000,,,0,,SUB out: D. Augustin,[201571],1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M08.30S,2021-12-09T01:35:18.7Z,1,REGULAR,substitution,in,[],1630528,,,1610612751,30,23,2021-12-09T01:35:34Z,1550000,,,0,,SUB in: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M01.20S,2021-12-09T01:35:48.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630560,17.427726675427067,50.245098039215684,1610612751,30,23,2021-12-09T01:35:59Z,1560000,-1.0,111.0,1,left,MISS C. Thomas 11' driving floating Shot,[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,11.13,Missed,,,,,,,,,,,,,,,,,,,
157,PT00M01.20S,2021-12-09T01:35:48.4Z,1,REGULAR,rebound,offensive,[],200794,,,1610612751,30,23,2021-12-09T01:35:59Z,1570000,,,0,,P. Millsap REBOUND (Off:1 Def:1),[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,156.0,2.0,1.0,1.0,,,,,,,,,,,,,,
158,PT00M01.00S,2021-12-09T01:35:51.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",200794,5.590000152587891,50.0,1610612751,30,23,2021-12-09T01:36:22Z,1580000,0.0,0.0,1,left,MISS P. Millsap tip Layup,[200794],1610612751.0,BKN,tip,,,Millsap,P. Millsap,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
159,PT00M01.00S,2021-12-09T01:35:51.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,30,23,2021-12-09T01:36:22Z,1590000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,,
160,PT00M00.00S,2021-12-09T01:36:24.4Z,1,REGULAR,instantreplay,request,[],0,,,1610612751,30,23,2021-12-09T01:38:01Z,1600000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,201639.0,,,,,,,,End Period - No Basket
161,PT00M00.00S,2021-12-09T01:38:04.0Z,1,REGULAR,period,end,[],0,,,1610612751,30,23,2021-12-09T01:38:04Z,1610000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-12-09T01:38:06.4Z,2,REGULAR,substitution,out,['startperiod'],1628021,,,1610612751,30,23,2021-12-09T01:38:27Z,1620000,,,0,,SUB out: D. Nwaba,[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-12-09T01:38:06.4Z,2,REGULAR,substitution,out,['startperiod'],1628975,,,1610612751,30,23,2021-12-09T01:38:27Z,1630000,,,0,,SUB out: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-12-09T01:38:06.4Z,2,REGULAR,substitution,out,['startperiod'],1628971,,,1610612751,30,23,2021-12-09T01:38:27Z,1640000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-12-09T01:38:06.4Z,2,REGULAR,substitution,out,['startperiod'],200794,,,1610612751,30,23,2021-12-09T01:38:27Z,1650000,,,0,,SUB out: P. Millsap,[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-12-09T01:38:06.4Z,2,REGULAR,substitution,in,['startperiod'],201571,,,1610612751,30,23,2021-12-09T01:38:27Z,1660000,,,0,,SUB in: D. Augustin,[201571],1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-12-09T01:38:06.4Z,2,REGULAR,substitution,in,['startperiod'],201988,,,1610612751,30,23,2021-12-09T01:38:27Z,1670000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-12-09T01:38:06.4Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612751,30,23,2021-12-09T01:38:27Z,1680000,,,0,,SUB in: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-12-09T01:38:06.4Z,2,REGULAR,substitution,in,['startperiod'],1629651,,,1610612751,30,23,2021-12-09T01:38:27Z,1690000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2021-12-09T01:38:37.6Z,2,REGULAR,period,start,[],0,,,1610612751,30,23,2021-12-09T01:38:37Z,1700000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M49.00S,2021-12-09T01:38:50.5Z,2,REGULAR,foul,offensive,[],201935,,,1610612751,30,23,2021-12-09T01:39:00Z,1710000,,,0,,J. Harden offensive FOUL (1 PF),"[201935, 201571]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Augustin,201571.0,,,,
173,PT11M49.00S,2021-12-09T01:38:50.5Z,2,REGULAR,turnover,offensive foul,[],201935,,,1610612751,30,23,2021-12-09T01:38:50Z,1730000,,,0,,J. Harden offensive foul TURNOVER (2 TO),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,2.0,,,,,201639.0,,,,,,,,
174,PT11M36.00S,2021-12-09T01:39:14.3Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630578,89.83245729303549,48.28431372549019,1610612745,32,23,2021-12-09T01:39:20Z,1740000,-9.0,43.0,1,right,A. Sengun turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,4.39,Made,2.0,,,,,,,,,,,,,,,,,,
175,PT11M26.00S,2021-12-09T01:39:26.0Z,2,REGULAR,foul,personal,[],1630578,,,1610612751,32,23,2021-12-09T01:39:33Z,1750000,,,0,,A. Sengun personal FOUL (1 PF),"[1630578, 201935]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Harden,201935.0,,,,
177,PT11M26.00S,2021-12-09T01:39:39.8Z,2,REGULAR,substitution,out,[],1627761,,,1610612751,32,23,2021-12-09T01:39:44Z,1770000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT11M26.00S,2021-12-09T01:39:39.8Z,2,REGULAR,substitution,in,[],1630561,,,1610612751,32,23,2021-12-09T01:39:44Z,1780000,,,0,,SUB in: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT11M22.00S,2021-12-09T01:40:03.6Z,2,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612751,32,23,2021-12-09T01:40:08Z,1790000,,,0,,A. Sengun shooting personal FOUL (2 PF) (Claxton 2 FT),"[1630578, 1629651]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,201639.0,2.0,0.0,Claxton,1629651.0,,,,
181,PT11M22.00S,2021-12-09T01:40:25.8Z,2,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,32,24,2021-12-09T01:40:25Z,1810000,,,0,,N. Claxton Free Throw 1 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
