actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
86,PT04M35.00S,2022-11-05T21:24:35.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,26,18,2022-11-05T21:24:35Z,850000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M35.00S,2022-11-05T21:27:01.0Z,1,REGULAR,substitution,out,[],1629626,,,1610612753,26,18,2022-11-05T21:27:21Z,860000,,,0,,SUB out: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M35.00S,2022-11-05T21:27:01.0Z,1,REGULAR,substitution,out,[],203084,,,1610612753,26,18,2022-11-05T21:27:21Z,870000,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M35.00S,2022-11-05T21:27:01.0Z,1,REGULAR,substitution,in,[],1630284,,,1610612753,26,18,2022-11-05T21:27:21Z,880000,,,0,,SUB in: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M35.00S,2022-11-05T21:27:01.0Z,1,REGULAR,substitution,in,[],1631099,,,1610612753,26,18,2022-11-05T21:27:21Z,890000,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M18.00S,2022-11-05T21:27:47.2Z,1,REGULAR,3pt,Jump Shot,[],1629643,7.178055190538765,95.58823529411765,1610612753,26,18,2022-11-05T21:27:52Z,900000,-228.0,15.0,1,left,MISS C. Okeke 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Left Corner 3,24+ Left,22.84,Missed,,,,,,,,,,,,,,,,,,
92,PT04M14.00S,2022-11-05T21:27:51.2Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,26,18,2022-11-05T21:27:52Z,910000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,,,91.0,1.0,1.0,0.0,,,,,,,,,,,,,,
93,PT04M09.00S,2022-11-05T21:27:58.9Z,1,REGULAR,turnover,traveling,[],1630558,,,1610612758,26,18,2022-11-05T21:28:04Z,920000,,,0,,D. Mitchell traveling TURNOVER (1 TO),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,203177.0,,,,,,
94,PT04M03.00S,2022-11-05T21:28:14.5Z,1,REGULAR,foul,offensive,[],1630591,,,1610612753,26,18,2022-11-05T21:38:39Z,930000,,,0,,J. Suggs offensive FOUL (1 PF),"[1630591, 1630558]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,203177.0,1.0,0.0,Mitchell,1630558.0,,
96,PT04M03.00S,2022-11-05T21:28:14.5Z,1,REGULAR,turnover,offensive foul,[],1630591,,,1610612753,26,18,2022-11-05T21:28:14Z,950000,,,0,,J. Suggs offensive foul TURNOVER (3 TO),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,,,,,,3.0,,,,,,203177.0,,,,,,
97,PT03M50.00S,2022-11-05T21:28:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,91.5407358738502,47.30392156862745,1610612758,26,20,2022-11-05T21:28:49Z,960000,-13.0,27.0,1,right,D. Sabonis driving Layup (7 PTS) (D. Mitchell 1 AST),"[1627734, 1630558]",1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.02,Made,,,,,7.0,,,,D. Mitchell,1630558.0,1.0,,,,,,,
99,PT03M32.00S,2022-11-05T21:28:57.3Z,1,REGULAR,2pt,Jump Shot,[],1631094,12.565703022339028,68.87254901960785,1610612753,26,20,2022-11-05T21:29:02Z,980000,-94.0,66.0,1,left,MISS P. Banchero 11' Jump Shot,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,11.5,Missed,,,,,,,,,,,,,,,,,,
100,PT03M29.00S,2022-11-05T21:29:00.3Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,26,20,2022-11-05T21:29:02Z,990000,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,,,99.0,1.0,1.0,0.0,,,,,,,,,,,,,,
101,PT03M24.00S,2022-11-05T21:29:04.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631099,71.82982917214193,22.30392156862745,1610612758,26,23,2022-11-05T21:29:14Z,1000000,-138.0,212.0,1,right,K. Murray 25' 3PT running (3 PTS) (M. Monk 2 AST),"[1631099, 1628370]",1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,25.35,Made,,,,,3.0,,,,M. Monk,1628370.0,2.0,,,,,,,
103,PT03M05.00S,2022-11-05T21:29:23.8Z,1,REGULAR,2pt,Jump Shot,[],1631094,21.632720105124836,42.40196078431372,1610612753,26,23,2022-11-05T21:29:29Z,1020000,38.0,151.0,1,left,MISS P. Banchero 15' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Center,15.55,Missed,,,,,,,,,,,,,,,,,,
104,PT03M04.00S,2022-11-05T21:29:24.8Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,26,23,2022-11-05T21:29:29Z,1030000,,,0,,K. Murray REBOUND (Off:0 Def:2),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Center,,,103.0,2.0,2.0,0.0,,,,,,,,,,,,,,
107,PT03M04.00S,2022-11-05T21:29:38.2Z,1,REGULAR,substitution,out,[],1630591,,,1610612758,26,23,2022-11-05T21:29:58Z,1060000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M04.00S,2022-11-05T21:29:38.2Z,1,REGULAR,substitution,out,[],1631094,,,1610612758,26,23,2022-11-05T21:29:58Z,1070000,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M04.00S,2022-11-05T21:29:38.2Z,1,REGULAR,substitution,in,[],1628976,,,1610612758,26,23,2022-11-05T21:29:58Z,1090000,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M04.00S,2022-11-05T21:29:38.2Z,1,REGULAR,substitution,in,[],1630532,,,1610612758,26,23,2022-11-05T21:29:58Z,1110000,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M46.00S,2022-11-05T21:30:10.6Z,1,REGULAR,3pt,Jump Shot,[],1631099,68.80749014454665,74.01960784313727,1610612758,26,23,2022-11-05T21:30:17Z,1120000,120.0,241.0,1,right,MISS K. Murray 26' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,26.9,Missed,,,,,,,,,,,,,,,,,,
114,PT02M42.00S,2022-11-05T21:30:14.1Z,1,REGULAR,rebound,defensive,[],1630284,,,1610612753,26,23,2022-11-05T21:30:14Z,1130000,,,0,,K. Harris REBOUND (Off:0 Def:1),[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,Above the Break 3,24+ Right Center,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,
116,PT02M29.00S,2022-11-05T21:30:57.2Z,1,REGULAR,3pt,Jump Shot,[],1630284,8.492115637319317,3.1862745098039214,1610612753,26,23,2022-11-05T21:31:17Z,1150000,234.0,27.0,1,left,MISS K. Harris 3PT,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,Right Corner 3,24+ Right,23.57,Missed,,,,,,,,,,,,,,,,,,
117,PT02M28.00S,2022-11-05T21:31:03.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,26,23,2022-11-05T21:31:03Z,1160000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Right Corner 3,24+ Right,,,116.0,,,,,,,,,,,,,,,,,
118,PT02M28.00S,2022-11-05T21:31:04.7Z,1,REGULAR,foul,personal,[],1630532,,,1610612758,26,23,2022-11-05T21:31:11Z,1170000,,,0,,F. Wagner loose ball personal FOUL (1 PF),"[1630532, 1627734]",1610612753.0,ORL,loose ball,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1201.0,1.0,0.0,Sabonis,1627734.0,,
120,PT02M28.00S,2022-11-05T21:31:13.0Z,1,REGULAR,substitution,out,[],1627734,,,1610612758,26,23,2022-11-05T21:31:17Z,1190000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M28.00S,2022-11-05T21:31:13.0Z,1,REGULAR,substitution,in,[],1626158,,,1610612758,26,23,2022-11-05T21:31:17Z,1200000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M19.00S,2022-11-05T21:31:30.1Z,1,REGULAR,3pt,Jump Shot,[],1630558,65.91655716162943,50.73529411764706,1610612758,26,23,2022-11-05T21:31:38Z,1210000,4.0,268.0,1,right,MISS D. Mitchell 26' pullup 3PT,[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,26.79,Missed,,,,,,,,,,,,,,,,,,
123,PT02M19.00S,2022-11-05T21:31:30.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,26,23,2022-11-05T21:31:38Z,1220000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Center,,,122.0,,,,,,,,,,,,,,,,,
125,PT02M06.00S,2022-11-05T21:31:51.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,5.863994743758213,51.470588235294116,1610612753,28,23,2022-11-05T21:32:01Z,1240000,-7.0,3.0,1,left,W. Carter Jr. alley-oop DUNK (4 PTS) (F. Wagner 2 AST),"[1628976, 1630532]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.78,Made,,,,,4.0,,,,F. Wagner,1630532.0,2.0,,,,,,,
127,PT01M49.00S,2022-11-05T21:32:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,86.41590013140605,55.88235294117647,1610612758,28,23,2022-11-05T21:32:15Z,1260000,29.0,75.0,1,right,MISS M. Monk 8' pullup Shot,[1628370],1610612758.0,SAC,pullup,,,Monk,M. Monk,,,,,In The Paint (Non-RA),8-16 Center,8.07,Missed,,,,,,,,,,,,,,,,,,
128,PT01M47.00S,2022-11-05T21:32:11.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,28,23,2022-11-05T21:32:15Z,1270000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:5),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,127.0,5.0,5.0,0.0,,,,,,,,,,,,,,
129,PT01M40.00S,2022-11-05T21:32:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629643,7.835085413929041,49.26470588235294,1610612753,30,23,2022-11-05T21:32:40Z,1280000,4.0,21.0,1,left,C. Okeke driving Layup (2 PTS),[1629643],1610612753.0,ORL,driving,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,2.0,,,,,,,,,,,,,
130,PT01M22.00S,2022-11-05T21:32:35.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,84.83902759526939,42.15686274509804,1610612758,30,23,2022-11-05T21:32:48Z,1290000,-39.0,90.0,1,right,MISS D. Mitchell 9' driving floating Shot,[1630558],1610612758.0,SAC,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,9.82,Missed,,,,,,,,,,,,,,,,,,
131,PT01M22.00S,2022-11-05T21:32:35.9Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,30,23,2022-11-05T21:32:48Z,1300000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,In The Paint (Non-RA),8-16 Center,,,130.0,1.0,1.0,0.0,,,,,,,,,,,,,,
132,PT01M01.00S,2022-11-05T21:32:56.9Z,1,REGULAR,3pt,Jump Shot,[],1628976,8.492115637319317,5.392156862745098,1610612753,33,23,2022-11-05T21:33:01Z,1310000,223.0,27.0,1,left,W. Carter Jr. 3PT  (7 PTS) (T. Ross 1 AST),"[1628976, 203082]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,22.47,Made,,,,,7.0,,,,T. Ross,203082.0,1.0,,,,,,,
134,PT00M45.80S,2022-11-05T21:33:13.6Z,1,REGULAR,3pt,Jump Shot,[],1628370,71.30420499342969,22.058823529411764,1610612758,33,23,2022-11-05T21:33:18Z,1330000,-140.0,217.0,1,right,MISS M. Monk 25' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,25.82,Missed,,,,,,,,,,,,,,,,,,
135,PT00M43.10S,2022-11-05T21:33:16.3Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,33,23,2022-11-05T21:33:18Z,1340000,,,0,,C. Okeke REBOUND (Off:0 Def:2),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Left Center,,,134.0,2.0,2.0,0.0,,,,,,,,,,,,,,
136,PT00M30.40S,2022-11-05T21:33:29.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,9.149145860709593,54.65686274509803,1610612753,33,23,2022-11-05T21:33:34Z,1350000,-23.0,34.0,1,left,MISS F. Wagner Layup,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,4.08,Missed,,,,,,,,,,,,,,,,,,
137,PT00M27.70S,2022-11-05T21:33:31.7Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,33,23,2022-11-05T21:33:34Z,1360000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,,,136.0,1.0,1.0,0.0,,,,,,,,,,,,,,
140,PT00M10.20S,2022-11-05T21:33:49.2Z,1,REGULAR,3pt,Jump Shot,[],1628370,62.76281208935611,41.66666666666667,1610612758,33,23,2022-11-05T21:33:56Z,1370000,-42.0,298.0,1,right,MISS M. Monk 30' step back 3PT,[1628370],1610612758.0,SAC,step back,,,Monk,M. Monk,,,,,Above the Break 3,24+ Center,30.04,Missed,,,,,,,,,,,,,,,,,,
141,PT00M08.00S,2022-11-05T21:33:51.3Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,33,23,2022-11-05T21:33:51Z,1380000,,,0,,R. Holmes REBOUND (Off:1 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,Above the Break 3,24+ Center,,,140.0,2.0,1.0,1.0,,,,,,,,,,,,,,
142,PT00M01.70S,2022-11-05T21:33:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628370,91.67214191852825,51.225490196078425,1610612758,33,25,2022-11-05T21:34:13Z,1390000,6.0,26.0,1,right,M. Monk driving finger roll Layup (2 PTS),[1628370],1610612758.0,SAC,driving finger roll,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,2.65,Made,,,,,2.0,,,,,,,,,,,,,
143,PT00M00.00S,2022-11-05T21:34:03.5Z,1,REGULAR,turnover,bad pass,[],1628976,,,1610612753,33,25,2022-11-05T21:34:25Z,1400000,,,0,,W. Carter Jr. bad pass TURNOVER (1 TO),"[1628976, 1631099]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Murray,1631099.0,,,,,,,,,,
144,PT00M00.00S,2022-11-05T21:34:03.5Z,1,REGULAR,steal,,[],1631099,,,1610612758,33,25,2022-11-05T21:34:07Z,1410000,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
145,PT00M00.00S,2022-11-05T21:34:14.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631099,52.644546649145866,72.30392156862744,1610612758,33,25,2022-11-05T21:34:28Z,1420000,112.0,393.0,1,right,MISS K. Murray 40' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,40.81,Missed,,,,,,,,,,,,,,,,,,
146,PT00M00.00S,2022-11-05T21:34:16.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,33,25,2022-11-05T21:34:16Z,1430000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Center,,,145.0,,,,,,,,,,,,,,,,,
147,PT00M00.00S,2022-11-05T21:34:21.5Z,1,REGULAR,period,end,[],0,,,1610612758,33,25,2022-11-05T21:34:21Z,1440000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-11-05T21:36:26.7Z,2,REGULAR,substitution,out,['startperiod'],1630558,,,1610612758,33,25,2022-11-05T21:36:51Z,1450000,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-11-05T21:36:26.7Z,2,REGULAR,substitution,in,['startperiod'],1628368,,,1610612758,33,25,2022-11-05T21:36:51Z,1460000,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-11-05T21:36:50.0Z,2,REGULAR,period,start,[],0,,,1610612758,33,25,2022-11-05T21:36:52Z,1470000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M51.00S,2022-11-05T21:36:58.0Z,2,REGULAR,turnover,bad pass,[],1626168,,,1610612758,33,25,2022-11-05T21:37:02Z,1480000,,,0,,T. Lyles bad pass TURNOVER (1 TO),"[1626168, 203082]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Ross,203082.0,,,,,,,,,,
153,PT11M51.00S,2022-11-05T21:36:58.0Z,2,REGULAR,steal,,[],203082,,,1610612753,33,25,2022-11-05T21:37:00Z,1490000,,,0,,T. Ross STEAL (1 STL),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
155,PT11M49.00S,2022-11-05T21:37:09.7Z,2,REGULAR,violation,kicked ball,[],1628368,,,1610612753,33,25,2022-11-05T21:37:35Z,1510000,,,0,,D. Fox kicked ball VIOLATION,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,
156,PT11M34.00S,2022-11-05T21:37:32.3Z,2,REGULAR,foul,personal,[],1626158,,,1610612753,33,25,2022-11-05T21:37:47Z,1520000,,,0,,R. Holmes personal FOUL (1 PF),"[1626158, 1628976]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1201.0,1.0,0.0,Carter Jr.,1628976.0,,
158,PT11M34.00S,2022-11-05T21:37:53.7Z,2,REGULAR,substitution,out,[],1626168,,,1610612753,33,25,2022-11-05T21:37:56Z,1540000,,,0,,SUB out: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M34.00S,2022-11-05T21:37:53.7Z,2,REGULAR,substitution,in,[],1629056,,,1610612753,33,25,2022-11-05T21:37:56Z,1550000,,,0,,SUB in: T. Davis,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M28.00S,2022-11-05T21:38:06.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,7.046649145860711,46.568627450980394,1610612753,35,25,2022-11-05T21:38:11Z,1560000,17.0,14.0,1,left,F. Wagner driving finger roll Layup (11 PTS),[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.2,Made,,,,,11.0,,,,,,,,,,,,,
161,PT11M10.00S,2022-11-05T21:38:23.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,92.32917214191852,56.127450980392155,1610612758,35,25,2022-11-05T21:38:31Z,1570000,31.0,20.0,1,right,MISS K. Murray driving Layup - blocked,"[1631099, 1629643]",1610612758.0,SAC,driving,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,,,,,,,,,,,,,Okeke,1629643.0
162,PT11M10.00S,2022-11-05T21:38:23.8Z,2,REGULAR,block,,[],1629643,,,1610612758,35,25,2022-11-05T21:38:26Z,1580000,,,0,,C. Okeke BLOCK (1 BLK),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
163,PT11M07.00S,2022-11-05T21:38:26.8Z,2,REGULAR,rebound,defensive,[],1630284,,,1610612753,35,25,2022-11-05T21:38:31Z,1590000,,,0,,K. Harris REBOUND (Off:0 Def:2),[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,Restricted Area,0-8 Center,,,161.0,2.0,2.0,0.0,,,,,,,,,,,,,,
164,PT11M05.00S,2022-11-05T21:38:29.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630284,7.5722733245729295,53.92156862745098,1610612753,35,25,2022-11-05T21:38:36Z,1600000,-20.0,19.0,1,left,MISS K. Harris running Layup,[1630284],1610612753.0,ORL,running,,,Harris,K. Harris,,,,,Restricted Area,0-8 Center,2.71,Missed,,,,,,,,,,,,,,,,,,
165,PT11M05.00S,2022-11-05T21:38:29.2Z,2,REGULAR,rebound,defensive,[],1628368,,,1610612758,35,25,2022-11-05T21:38:36Z,1610000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,164.0,1.0,1.0,0.0,,,,,,,,,,,,,,
166,PT10M58.00S,2022-11-05T21:38:36.6Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1626158,93.64323258869908,51.470588235294116,1610612758,35,27,2022-11-05T21:49:29Z,1620000,7.0,7.0,1,right,R. Holmes cutting DUNK (2 PTS) (T. Davis 1 AST),"[1626158, 1629056]",1610612758.0,SAC,cutting,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,1.04,Made,,,,,2.0,,,,T. Davis,1629056.0,1.0,,,,,,,
168,PT10M41.00S,2022-11-05T21:38:53.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.623521681997373,47.549019607843135,1610612753,37,27,2022-11-05T21:38:58Z,1640000,12.0,29.0,1,left,F. Wagner driving finger roll Layup (13 PTS),[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.11,Made,,,,,13.0,,,,,,,,,,,,,
169,PT10M17.00S,2022-11-05T21:39:18.0Z,2,REGULAR,3pt,Jump Shot,[],1628368,67.09921156373193,55.88235294117647,1610612758,37,27,2022-11-05T21:50:51Z,1650000,29.0,257.0,1,right,MISS D. Fox 25' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,25.85,Missed,,,,,,,,,,,,,,,,,,
170,PT10M13.00S,2022-11-05T21:39:22.0Z,2,REGULAR,rebound,offensive,[],1626158,,,1610612758,37,27,2022-11-05T21:39:25Z,1660000,,,0,,R. Holmes REBOUND (Off:2 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,Above the Break 3,24+ Center,,,169.0,3.0,1.0,2.0,,,,,,,,,,,,,,
171,PT10M11.00S,2022-11-05T21:39:23.1Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1626158,92.06636005256242,45.588235294117645,1610612758,37,27,2022-11-05T21:39:29Z,1670000,-22.0,22.0,1,right,MISS R. Holmes Hook,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,,,,,,,,,,,,,
172,PT10M11.00S,2022-11-05T21:39:23.1Z,2,REGULAR,rebound,defensive,[],1629643,,,1610612753,37,27,2022-11-05T21:39:29Z,1680000,,,0,,C. Okeke REBOUND (Off:0 Def:3),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,,,171.0,3.0,3.0,0.0,,,,,,,,,,,,,,
173,PT10M04.00S,2022-11-05T21:39:30.1Z,2,REGULAR,3pt,Jump Shot,[],1628976,33.459264126149804,49.26470588235294,1610612753,37,27,2022-11-05T21:39:46Z,1690000,4.0,262.0,1,left,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,26.2,Missed,,,,,,,,,,,,,,,,,,
174,PT10M02.00S,2022-11-05T21:39:33.8Z,2,REGULAR,rebound,offensive,[],1630284,,,1610612753,37,27,2022-11-05T21:39:33Z,1700000,,,0,,K. Harris REBOUND (Off:1 Def:2),[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,Above the Break 3,24+ Center,,,173.0,3.0,2.0,1.0,,,,,,,,,,,,,,
175,PT10M02.00S,2022-11-05T21:39:37.2Z,2,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612753,37,27,2022-11-05T21:39:58Z,1710000,,,0,,M. Monk shooting personal FOUL (1 PF) (Harris 2 FT),"[1628370, 1630284]",1610612758.0,SAC,shooting,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,203177.0,1.0,0.0,Harris,1630284.0,,
