actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
82,PT04M36.00S,2023-01-21T00:23:01.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628365,90.48948751642575,83.33333333333334,1610612753,8,15,2023-01-21T00:23:13Z,820000,False,167.0,37.0,1,right,MISS M. Fultz 17' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Right,17.07,Missed,,,,,,,,,,,,,,,,,,
83,PT04M34.00S,2023-01-21T00:23:03.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,8,15,2023-01-21T00:23:13Z,830000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,16-24 Right,,,,,82.0,,,,,,,,,,,,,,,
84,PT04M34.00S,2023-01-21T00:23:10.6Z,1,REGULAR,foul,personal,[],1630591,,,1610612740,8,15,2023-01-21T00:26:17Z,840000,False,,,0,,J. Suggs loose ball personal FOUL (1 PF),"[1630591, 1626204]",1610612753.0,ORL,loose ball,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Nance Jr.,1626204.0
86,PT04M34.00S,2023-01-21T00:23:22.7Z,1,REGULAR,substitution,out,[],203914,,,1610612740,8,15,2023-01-21T00:23:28Z,860000,False,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M34.00S,2023-01-21T00:23:22.7Z,1,REGULAR,substitution,in,[],203082,,,1610612740,8,15,2023-01-21T00:23:28Z,870000,False,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M19.00S,2023-01-21T00:23:49.1Z,1,REGULAR,3pt,Jump Shot,[],1630631,5.469776609724048,98.2843137254902,1610612740,8,18,2023-01-21T00:23:56Z,890000,False,-241.0,-1.0,1,left,J. Alvarado 24' 3PT  (3 PTS) (D. Daniels 1 AST),"[1630631, 1630700]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Left Corner 3,24+ Left,24.14,Made,,,,,,,3.0,,,,D. Daniels,1630700.0,1.0,,,,,
91,PT04M03.00S,2023-01-21T00:24:05.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,92.59198423127464,51.225490196078425,1610612753,8,18,2023-01-21T00:24:11Z,910000,False,6.0,17.0,1,right,MISS W. Carter Jr. alley-oop DUNK,[1628976],1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.82,Missed,,,,,,,,,,,,,,,,,,
92,PT04M01.00S,2023-01-21T00:24:07.0Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,8,18,2023-01-21T00:24:11Z,920000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:2),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,
93,PT03M54.00S,2023-01-21T00:24:13.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629637,7.046649145860711,49.26470588235294,1610612740,8,20,2023-01-21T00:28:02Z,930000,False,4.0,14.0,1,left,J. Hayes running Layup (2 PTS) (D. Daniels 2 AST),"[1629637, 1630700]",1610612740.0,NOP,running,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,1.42,Made,,,,,,,2.0,,,,D. Daniels,1630700.0,2.0,,,,,
95,PT03M54.00S,2023-01-21T00:24:19.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,8,20,2023-01-21T00:24:20Z,950000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M54.00S,2023-01-21T00:26:22.7Z,1,REGULAR,substitution,out,[],1628365,,,1610612753,8,20,2023-01-21T00:26:58Z,960000,False,,,0,,SUB out: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M54.00S,2023-01-21T00:26:22.7Z,1,REGULAR,substitution,in,[],1630175,,,1610612753,8,20,2023-01-21T00:26:58Z,970000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M51.00S,2023-01-21T00:26:53.1Z,1,REGULAR,turnover,lost ball,[],1630175,,,1610612753,8,20,2023-01-21T00:29:54Z,980000,False,,,0,,C. Anthony lost ball TURNOVER (1 TO),"[1630175, 1630631]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,Alvarado,1630631.0,,,,,,,,
119,PT03M51.00S,2023-01-21T00:26:53.1Z,1,REGULAR,steal,,[],1630631,,,1610612740,8,20,2023-01-21T00:29:00Z,985000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
100,PT03M41.00S,2023-01-21T00:27:23.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630631,12.565703022339028,2.941176470588235,1610612740,8,20,2023-01-21T00:29:00Z,990000,False,235.0,66.0,1,left,MISS J. Alvarado 24' 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Right Corner 3,24+ Right,24.43,Missed,,,,,,,,,,,,,,,,,,
101,PT03M38.00S,2023-01-21T00:27:26.4Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,8,20,2023-01-21T00:27:26Z,1000000,False,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,Right Corner 3,24+ Right,,,,,100.0,1.0,0.0,1.0,,,,,,,,,,,,
102,PT03M37.00S,2023-01-21T00:27:27.7Z,1,REGULAR,3pt,Jump Shot,"['2ndchance', 'fromturnover']",1630631,9.937582128777924,94.36274509803921,1610612740,8,20,2023-01-21T00:29:00Z,1010000,False,-222.0,41.0,1,left,MISS J. Alvarado 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Left Corner 3,24+ Left,22.55,Missed,,,,,,,,,,,,,,,,,,
103,PT03M33.00S,2023-01-21T00:27:31.7Z,1,REGULAR,rebound,offensive,[],1626204,,,1610612740,8,20,2023-01-21T00:27:35Z,1020000,False,,,0,,L. Nance Jr. REBOUND (Off:1 Def:1),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Left Corner 3,24+ Left,,,,,102.0,2.0,1.0,1.0,,,,,,,,,,,,
104,PT03M29.00S,2023-01-21T00:27:35.0Z,1,REGULAR,2pt,Jump Shot,"['2ndchance', 'fromturnover']",1630700,12.697109067017081,79.16666666666666,1610612740,8,20,2023-01-21T00:29:00Z,1030000,False,-146.0,67.0,1,left,MISS D. Daniels 16' driving floating Shot,[1630700],1610612740.0,NOP,driving floating,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,16.04,Missed,,,,,,,,,,,,,,,,,,
105,PT03M27.00S,2023-01-21T00:27:37.0Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,8,20,2023-01-21T00:27:44Z,1040000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,,,,,104.0,1.0,1.0,0.0,,,,,,,,,,,,
106,PT03M24.00S,2023-01-21T00:27:41.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630591,91.06438896189225,55.415134803921575,1610612753,8,20,2023-01-21T00:28:55Z,1050000,False,27.0,31.0,1,right,MISS J. Suggs running finger roll Layup,[1630591],1610612753.0,ORL,running finger roll,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,4.16,Missed,,,,,,,,,,,,,,,,,,
107,PT03M22.00S,2023-01-21T00:27:43.1Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,8,20,2023-01-21T00:27:59Z,1060000,False,,,0,,J. Hayes REBOUND (Off:1 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,,106.0,2.0,1.0,1.0,,,,,,,,,,,,
108,PT03M16.00S,2023-01-21T00:27:52.0Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612740,8,20,2023-01-21T00:28:11Z,1070000,False,,,0,,J. Suggs shooting personal FOUL (2 PF) (McCollum 2 FT),"[1630591, 203468]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1628159.0,2.0,0.0,McCollum,203468.0
110,PT03M16.00S,2023-01-21T00:28:19.4Z,1,REGULAR,freethrow,1 of 2,[],203468,,,1610612740,8,21,2023-01-21T00:28:19Z,1090000,False,,,0,,C. McCollum Free Throw 1 of 2 (5 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
111,PT03M16.00S,2023-01-21T00:28:20.3Z,1,REGULAR,substitution,out,[],1631094,,,1610612740,8,21,2023-01-21T00:28:34Z,1100000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M16.00S,2023-01-21T00:28:20.3Z,1,REGULAR,substitution,out,[],1628976,,,1610612740,8,21,2023-01-21T00:28:34Z,1110000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M16.00S,2023-01-21T00:28:20.3Z,1,REGULAR,substitution,out,[],1630700,,,1610612740,8,21,2023-01-21T00:28:34Z,1120000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M16.00S,2023-01-21T00:28:20.3Z,1,REGULAR,substitution,in,[],1629021,,,1610612740,8,21,2023-01-21T00:28:34Z,1130000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M16.00S,2023-01-21T00:28:20.3Z,1,REGULAR,substitution,in,[],1630532,,,1610612740,8,21,2023-01-21T00:28:34Z,1140000,False,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M16.00S,2023-01-21T00:28:20.3Z,1,REGULAR,substitution,in,[],1630530,,,1610612740,8,21,2023-01-21T00:28:34Z,1150000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M16.00S,2023-01-21T00:28:42.1Z,1,REGULAR,freethrow,2 of 2,[],203468,,,1610612740,8,22,2023-01-21T00:28:42Z,1160000,False,,,0,,C. McCollum Free Throw 2 of 2 (6 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
120,PT02M59.00S,2023-01-21T00:29:00.6Z,1,REGULAR,3pt,Jump Shot,[],1630591,87.07293035479631,96.07843137254902,1610612753,11,22,2023-01-21T00:29:18Z,1170000,False,230.0,69.0,1,right,J. Suggs 24' 3PT  (3 PTS) (F. Wagner 2 AST),"[1630591, 1630532]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Right Corner 3,24+ Right,24.05,Made,,,,,,,3.0,,,,F. Wagner,1630532.0,2.0,,,,,
122,PT02M35.00S,2023-01-21T00:29:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,7.966491458607096,53.431372549019606,1610612740,11,24,2023-01-21T00:30:21Z,1190000,False,-17.0,22.0,1,left,J. Hayes reverse Layup (4 PTS) (J. Alvarado 2 AST),"[1629637, 1630631]",1610612740.0,NOP,reverse,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,2.82,Made,,,,,,,4.0,,,,J. Alvarado,1630631.0,2.0,,,,,
124,PT02M35.00S,2023-01-21T00:29:30.2Z,1,REGULAR,foul,personal,['1freethrow'],1629021,,,1610612740,11,24,2023-01-21T00:29:53Z,1210000,False,,,0,,M. Wagner shooting personal FOUL (1 PF) (Hayes 1 FT),"[1629021, 1629637]",1610612753.0,ORL,shooting,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Hayes,1629637.0
126,PT02M35.00S,2023-01-21T00:29:47.6Z,1,REGULAR,substitution,out,[],203468,,,1610612740,11,24,2023-01-21T00:29:54Z,1230000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M35.00S,2023-01-21T00:29:47.6Z,1,REGULAR,substitution,in,[],1628984,,,1610612740,11,24,2023-01-21T00:29:54Z,1240000,False,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M35.00S,2023-01-21T00:29:56.5Z,1,REGULAR,freethrow,1 of 1,[],1629637,,,1610612740,11,24,2023-01-21T00:30:02Z,1250000,False,,,0,,MISS J. Hayes Free Throw 1 of 1,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
129,PT02M32.00S,2023-01-21T00:29:59.5Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,11,24,2023-01-21T00:30:02Z,1260000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,128.0,1.0,1.0,0.0,,,,,,,,,,,,
130,PT02M16.00S,2023-01-21T00:30:14.1Z,1,REGULAR,3pt,Jump Shot,[],1630532,64.47109067017082,47.794117647058826,1610612753,14,24,2023-01-21T00:30:20Z,1270000,False,-11.0,281.0,1,right,F. Wagner 28' 3PT  (5 PTS) (C. Anthony 1 AST),"[1630532, 1630175]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,28.17,Made,,,,,,,5.0,,,,C. Anthony,1630175.0,1.0,,,,,
132,PT02M10.00S,2023-01-21T00:30:23.2Z,1,REGULAR,turnover,out-of-bounds,[],1626204,,,1610612740,14,24,2023-01-21T00:30:36Z,1290000,False,,,0,,L. Nance Jr. lost ball out-of-bounds TURNOVER (1 TO),[1626204],1610612740.0,NOP,lost ball,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Right,,,,,,,,,,1.0,,,,,,204059.0,,,,
133,PT02M02.00S,2023-01-21T00:30:37.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203082,80.6340341655716,80.3921568627451,1610612753,16,24,2023-01-21T00:30:45Z,1300000,False,152.0,130.0,1,right,T. Ross 19' pullup Jump Shot (2 PTS) (C. Anthony 2 AST),"[203082, 1630175]",1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,Mid-Range,16-24 Right Center,19.97,Made,,,,,,,2.0,,,,C. Anthony,1630175.0,2.0,,,,,
135,PT01M45.00S,2023-01-21T00:30:55.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629021,,,1610612740,16,24,2023-01-21T00:31:05Z,1320000,False,,,0,,M. Wagner shooting personal FOUL (2 PF) (Hayes 2 FT),"[1629021, 1629637]",1610612753.0,ORL,shooting,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,2.0,0.0,Hayes,1629637.0
137,PT01M45.00S,2023-01-21T00:31:22.0Z,1,REGULAR,freethrow,1 of 2,[],1629637,,,1610612740,16,25,2023-01-21T00:31:22Z,1340000,False,,,0,,J. Hayes Free Throw 1 of 2 (5 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
138,PT01M45.00S,2023-01-21T00:31:41.2Z,1,REGULAR,freethrow,2 of 2,[],1629637,,,1610612740,16,26,2023-01-21T00:31:41Z,1350000,False,,,0,,J. Hayes Free Throw 2 of 2 (6 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
139,PT01M27.00S,2023-01-21T00:32:04.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630532,92.19776609724047,55.63725490196079,1610612753,18,26,2023-01-21T00:32:53Z,1360000,False,28.0,21.0,1,right,F. Wagner driving Layup (7 PTS) (M. Wagner 1 AST),"[1630532, 1629021]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.5,Made,,,,,,,7.0,,,,M. Wagner,1629021.0,1.0,,,,,
141,PT01M27.00S,2023-01-21T00:32:18.0Z,1,REGULAR,violation,defensive goaltending,[],1626204,,,1610612753,18,26,2023-01-21T00:33:24Z,1380000,False,,,0,,L. Nance Jr. defensive goaltending VIOLATION,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,1830.0,,,,
142,PT01M27.00S,2023-01-21T00:32:27.3Z,1,REGULAR,foul,personal,['1freethrow'],1629637,,,1610612753,18,26,2023-01-21T00:32:39Z,1390000,False,,,0,,J. Hayes shooting personal FOUL (1 PF) (Wagner 1 FT),"[1629637, 1630532]",1610612740.0,NOP,shooting,,,Hayes,J. Hayes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Wagner,1630532.0
144,PT01M27.00S,2023-01-21T00:32:42.2Z,1,REGULAR,freethrow,1 of 1,[],1630532,,,1610612753,19,26,2023-01-21T00:32:42Z,1410000,False,,,0,,F. Wagner Free Throw 1 of 1 (8 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
145,PT01M11.00S,2023-01-21T00:32:47.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628984,8.492115637319317,54.166666666666664,1610612740,19,26,2023-01-21T00:33:01Z,1420000,False,-21.0,27.0,1,left,MISS D. Graham pullup Shot,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,Restricted Area,0-8 Center,3.43,Missed,,,,,,,,,,,,,,,,,,
146,PT01M11.00S,2023-01-21T00:32:47.9Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,19,26,2023-01-21T00:33:01Z,1430000,False,,,0,,M. Wagner REBOUND (Off:0 Def:2),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,,,,,145.0,2.0,2.0,0.0,,,,,,,,,,,,
147,PT01M06.00S,2023-01-21T00:32:59.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630631,,,1610612753,19,26,2023-01-21T00:33:10Z,1440000,False,,,0,,J. Alvarado shooting personal FOUL (1 PF) (Anthony 2 FT),"[1630631, 1630175]",1610612740.0,NOP,shooting,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Anthony,1630175.0
149,PT01M06.00S,2023-01-21T00:33:26.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630175,,,1610612753,20,26,2023-01-21T00:33:26Z,1460000,False,,,0,,C. Anthony Free Throw 1 of 2 (1 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
150,PT01M06.00S,2023-01-21T00:33:26.9Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,20,26,2023-01-21T00:33:38Z,1470000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M06.00S,2023-01-21T00:33:26.9Z,1,REGULAR,substitution,out,[],1626204,,,1610612753,20,26,2023-01-21T00:33:38Z,1480000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M06.00S,2023-01-21T00:33:26.9Z,1,REGULAR,substitution,in,[],1629626,,,1610612753,20,26,2023-01-21T00:33:38Z,1490000,False,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT01M06.00S,2023-01-21T00:33:26.9Z,1,REGULAR,substitution,in,[],202685,,,1610612753,20,26,2023-01-21T00:33:38Z,1500000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT01M06.00S,2023-01-21T00:33:51.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630175,,,1610612753,21,26,2023-01-21T00:33:51Z,1510000,False,,,0,,C. Anthony Free Throw 2 of 2 (2 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
155,PT00M48.20S,2023-01-21T00:34:12.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,7.5722733245729295,63.48039215686274,1610612740,21,28,2023-01-21T00:34:22Z,1520000,False,-67.0,19.0,1,left,J. Valanciunas 6' turnaround Jump Shot (10 PTS) (T. Murphy III 1 AST),"[202685, 1630530]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,6.99,Made,,,,,,,10.0,,,,T. Murphy III,1630530.0,1.0,,,,,
158,PT00M37.60S,2023-01-21T00:34:35.3Z,1,REGULAR,substitution,out,[],1629021,,,1610612753,21,28,2023-01-21T00:34:38Z,1540000,False,,,0,,SUB out: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M37.60S,2023-01-21T00:34:35.3Z,1,REGULAR,substitution,in,[],1628964,,,1610612753,21,28,2023-01-21T00:34:38Z,1550000,False,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M31.60S,2023-01-21T00:34:54.8Z,1,REGULAR,turnover,out-of-bounds,[],1630175,,,1610612753,21,28,2023-01-21T00:35:02Z,1560000,False,,,0,,C. Anthony bad pass out-of-bounds TURNOVER (2 TO),[1630175],1610612753.0,ORL,bad pass,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2.0,,,,,,1628159.0,,,,
161,PT00M16.40S,2023-01-21T00:35:15.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629637,5.469776609724048,53.92156862745098,1610612740,21,30,2023-01-21T00:35:22Z,1570000,False,-20.0,-1.0,1,left,J. Hayes alley-oop DUNK (8 PTS) (J. Alvarado 3 AST),"[1629637, 1630631]",1610612740.0,NOP,alley-oop,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,1.96,Made,,,,,,,8.0,,,,J. Alvarado,1630631.0,3.0,,,,,
163,PT00M02.20S,2023-01-21T00:35:34.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629626,91.45860709592641,58.02313112745098,1610612753,23,30,2023-01-21T00:36:29Z,1590000,False,40.0,28.0,1,right,B. Bol driving floating Jump Shot (2 PTS) (F. Wagner 3 AST),"[1629626, 1630532]",1610612753.0,ORL,driving floating,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,4.88,Made,,,,,,,2.0,,,,F. Wagner,1630532.0,3.0,,,,,
165,PT00M00.00S,2023-01-21T00:35:39.9Z,1,REGULAR,3pt,Jump Shot,[],1630631,53.43298291721419,80.63725490196079,1610612740,23,30,2023-01-21T00:37:09Z,1610000,False,-153.0,450.0,1,left,MISS J. Alvarado 47' pullup 3PT,[1630631],1610612740.0,NOP,pullup,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,47.52,Missed,,,,,,,,,,,,,,,,,,
166,PT00M00.00S,2023-01-21T00:35:39.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,23,30,2023-01-21T00:37:09Z,1620000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,165.0,,,,,,,,,,,,,,,
167,PT00M00.00S,2023-01-21T00:36:05.0Z,1,REGULAR,period,end,[],0,,,1610612740,23,30,2023-01-21T00:36:05Z,1630000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2023-01-21T00:38:44.4Z,2,REGULAR,period,start,[],0,,,1610612740,23,30,2023-01-21T00:38:44Z,1640000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT11M42.00S,2023-01-21T00:39:02.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,7.835085413929041,49.754901960784316,1610612740,23,32,2023-01-21T00:39:10Z,1650000,False,1.0,21.0,1,left,J. Valanciunas turnaround Jump Shot (12 PTS),[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,,,12.0,,,,,,,,,,,
170,PT11M27.00S,2023-01-21T00:39:19.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629626,89.48751642575559,50.61274509803921,1610612753,25,32,2023-01-21T00:39:46Z,1660000,False,3.0,46.0,1,right,B. Bol turnaround bank Jump Shot (4 PTS),[1629626],1610612753.0,ORL,turnaround bank,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,4.64,Made,,,,,,,4.0,,,,,,,,,,,
171,PT11M27.00S,2023-01-21T00:39:24.0Z,2,REGULAR,foul,personal,['1freethrow'],1630530,,,1610612753,25,32,2023-01-21T00:39:33Z,1670000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Bol 1 FT),"[1630530, 1629626]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Bol,1629626.0
