actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
91,PT04M59.00S,2022-11-03T23:27:37.7Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,17,23,2022-11-03T23:27:55Z,910000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M59.00S,2022-11-03T23:27:37.7Z,1,REGULAR,substitution,out,[],202691,,,1610612744,17,23,2022-11-03T23:27:55Z,920000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M59.00S,2022-11-03T23:27:37.7Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,17,23,2022-11-03T23:27:55Z,930000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M59.00S,2022-11-03T23:27:37.7Z,1,REGULAR,substitution,in,[],1630164,,,1610612744,17,23,2022-11-03T23:27:55Z,940000,,,0,,SUB in: J. Wiseman,[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M52.00S,2022-11-03T23:28:02.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630164,92.72339027595268,46.568627450980394,1610612744,17,25,2022-11-03T23:28:11Z,950000,-17.0,16.0,1,right,J. Wiseman DUNK (2 PTS) (S. Curry 2 AST),"[1630164, 201939]",1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,2.34,Made,,,,,2.0,S. Curry,201939.0,2.0,,,,,,,,,,
97,PT04M39.00S,2022-11-03T23:28:18.3Z,1,REGULAR,foul,personal,['2freethrow'],1630164,,,1610612753,17,25,2022-11-03T23:28:25Z,970000,,,0,,J. Wiseman shooting personal FOUL (1 PF) (Wagner 2 FT),"[1630164, 1630532]",1610612744.0,GSW,shooting,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,201245.0,1.0,0.0,Wagner,1630532.0,,
99,PT04M39.00S,2022-11-03T23:28:42.5Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,18,25,2022-11-03T23:28:42Z,990000,,,0,,F. Wagner Free Throw 1 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
100,PT04M39.00S,2022-11-03T23:28:58.0Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,19,25,2022-11-03T23:28:58Z,1000000,,,0,,F. Wagner Free Throw 2 of 2 (3 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
102,PT04M25.00S,2022-11-03T23:29:13.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,83.919185282523,50.49019607843137,1610612744,19,25,2022-11-03T23:49:21Z,1020000,2.0,99.0,1,right,MISS A. Wiggins 9' turnaround Shot,[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,9.87,Missed,,,,,,,,,,,,,,,,,,
103,PT04M19.00S,2022-11-03T23:29:19.5Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,19,25,2022-11-03T23:29:33Z,1030000,,,0,,C. Okeke REBOUND (Off:1 Def:2),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,In The Paint (Non-RA),8-16 Center,,,102.0,3.0,2.0,1.0,,,,,,,,,,,,,,
104,PT04M09.00S,2022-11-03T23:29:28.5Z,1,REGULAR,3pt,Jump Shot,[],1629643,19.530223390275953,7.8431372549019605,1610612753,22,25,2022-11-03T23:29:35Z,1040000,211.0,131.0,1,left,C. Okeke 24' 3PT  (11 PTS) (J. Suggs 4 AST),"[1629643, 1630591]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Right Center,24.82,Made,,,,,11.0,J. Suggs,1630591.0,4.0,,,,,,,,,,
106,PT03M58.00S,2022-11-03T23:29:43.2Z,1,REGULAR,turnover,backcourt,[],201939,,,1610612744,22,25,2022-11-03T23:29:51Z,1060000,,,0,,S. Curry backcourt TURNOVER (1 TO),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,1627964.0,,,,,,
107,PT03M58.00S,2022-11-03T23:29:47.3Z,1,REGULAR,substitution,out,[],203952,,,1610612753,22,25,2022-11-03T23:29:59Z,1070000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M58.00S,2022-11-03T23:29:47.3Z,1,REGULAR,substitution,out,[],203110,,,1610612753,22,25,2022-11-03T23:29:59Z,1080000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M58.00S,2022-11-03T23:29:47.3Z,1,REGULAR,substitution,in,[],203210,,,1610612753,22,25,2022-11-03T23:29:59Z,1090000,,,0,,SUB in: J. Green,[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M58.00S,2022-11-03T23:29:47.3Z,1,REGULAR,substitution,in,[],1630541,,,1610612753,22,25,2022-11-03T23:29:59Z,1100000,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M53.00S,2022-11-03T23:30:09.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203210,,,1610612753,22,25,2022-11-03T23:30:17Z,1110000,,,0,,J. Green personal FOUL (1 PF) (Suggs 2 FT),"[203210, 1630591]",1610612744.0,GSW,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1162.0,1.0,0.0,Suggs,1630591.0,,
113,PT03M53.00S,2022-11-03T23:30:36.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630591,,,1610612753,22,25,2022-11-03T23:30:36Z,1130000,,,0,,MISS J. Suggs Free Throw 1 of 2,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
114,PT03M53.00S,2022-11-03T23:30:36.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,22,25,2022-11-03T23:30:36Z,1140000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,
115,PT03M53.00S,2022-11-03T23:30:49.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630591,,,1610612753,23,25,2022-11-03T23:30:49Z,1150000,,,0,,J. Suggs Free Throw 2 of 2 (4 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
116,PT03M36.00S,2022-11-03T23:31:08.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,71.69842312746385,81.37254901960785,1610612744,23,25,2022-11-03T23:53:35Z,1160000,157.0,214.0,1,right,MISS J. Poole 26' step back 3PT,[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,26.5,Missed,,,,,,,,,,,,,,,,,,
117,PT03M33.00S,2022-11-03T23:31:11.6Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,23,25,2022-11-03T23:31:16Z,1170000,,,0,,S. Curry REBOUND (Off:1 Def:0),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,116.0,1.0,0.0,1.0,,,,,,,,,,,,,,
118,PT03M20.00S,2022-11-03T23:31:24.0Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,23,25,2022-11-03T23:31:35Z,1180000,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1630591]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Suggs,1630591.0,,,,,,,
119,PT03M20.00S,2022-11-03T23:31:24.0Z,1,REGULAR,steal,,[],1630591,,,1610612753,23,25,2022-11-03T23:32:49Z,1190000,,,0,,J. Suggs STEAL (2 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
120,PT03M14.00S,2022-11-03T23:31:38.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629673,,,1610612753,23,25,2022-11-03T23:31:44Z,1200000,,,0,,J. Poole personal FOUL (1 PF) (Carter Jr. 2 FT),"[1629673, 1628976]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1627964.0,1.0,0.0,Carter Jr.,1628976.0,,
122,PT03M14.00S,2022-11-03T23:31:45.4Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,23,25,2022-11-03T23:31:53Z,1220000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M14.00S,2022-11-03T23:31:45.4Z,1,REGULAR,substitution,in,[],1630181,,,1610612753,23,25,2022-11-03T23:31:53Z,1230000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M14.00S,2022-11-03T23:32:04.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628976,,,1610612753,24,25,2022-11-03T23:34:03Z,1240000,,,0,,W. Carter Jr. Free Throw 1 of 2 (4 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
125,PT03M14.00S,2022-11-03T23:32:30.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,24,25,2022-11-03T23:32:30Z,1250000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M14.00S,2022-11-03T23:32:04.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628976,,,1610612753,24,25,2022-11-03T23:34:03Z,1260000,,,0,,MISS W. Carter Jr. Free Throw 2 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
127,PT03M07.00S,2022-11-03T23:32:11.9Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612744,24,25,2022-11-03T23:34:03Z,1270000,,,0,,J. Wiseman REBOUND (Off:0 Def:1),[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,,
128,PT02M52.00S,2022-11-03T23:34:16.4Z,1,REGULAR,turnover,lost ball,[],201939,,,1610612744,24,25,2022-11-03T23:34:23Z,1280000,,,0,,S. Curry lost ball TURNOVER (2 TO),"[201939, 1628976]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,2.0,Carter Jr.,1628976.0,,,,,,,
129,PT02M52.00S,2022-11-03T23:34:16.4Z,1,REGULAR,steal,,[],1628976,,,1610612753,24,25,2022-11-03T23:34:21Z,1290000,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
130,PT02M38.00S,2022-11-03T23:34:30.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630532,12.040078843626807,50.73529411764706,1610612753,26,25,2022-11-04T00:06:30Z,1300000,-4.0,61.0,1,left,F. Wagner 6' driving floating Jump Shot (5 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.08,Made,,,,,5.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,
132,PT02M30.00S,2022-11-03T23:34:42.9Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,26,25,2022-11-03T23:35:18Z,1320000,,,0,,J. Poole bad pass TURNOVER (2 TO),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2.0,,,,,,,,,
134,PT02M30.00S,2022-11-03T23:34:51.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203210,,,1610612753,26,25,2022-11-03T23:35:33Z,1340000,,,0,,J. Green loose ball personal FOUL (2 PF) (Okeke 2 FT),"[203210, 1629643]",1610612744.0,GSW,loose ball,,,Green,J. Green,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,1627964.0,2.0,0.0,Okeke,1629643.0,,
138,PT02M30.00S,2022-11-03T23:35:03.7Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,26,25,2022-11-03T23:35:18Z,1360000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M30.00S,2022-11-03T23:35:03.7Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,26,25,2022-11-03T23:35:18Z,1370000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M30.00S,2022-11-03T23:35:03.7Z,1,REGULAR,substitution,out,[],1630164,,,1610612753,26,25,2022-11-03T23:35:18Z,1380000,,,0,,SUB out: J. Wiseman,[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M30.00S,2022-11-03T23:35:03.7Z,1,REGULAR,substitution,in,[],1631094,,,1610612753,26,25,2022-11-03T23:35:18Z,1390000,,,0,,SUB in: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M30.00S,2022-11-03T23:35:03.7Z,1,REGULAR,substitution,in,[],1629626,,,1610612753,26,25,2022-11-03T23:35:18Z,1400000,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT02M30.00S,2022-11-03T23:35:03.7Z,1,REGULAR,substitution,in,[],1626172,,,1610612753,26,25,2022-11-03T23:35:18Z,1410000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M30.00S,2022-11-03T23:35:20.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629643,,,1610612753,27,25,2022-11-03T23:35:20Z,1420000,,,0,,C. Okeke Free Throw 1 of 2 (12 PTS),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
145,PT02M30.00S,2022-11-03T23:35:20.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629643,,,1610612753,27,25,2022-11-03T23:35:34Z,1430000,,,0,,MISS C. Okeke Free Throw 2 of 2,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
146,PT02M26.00S,2022-11-03T23:35:24.5Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,27,25,2022-11-03T23:35:34Z,1440000,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,145.0,1.0,1.0,0.0,,,,,,,,,,,,,,
147,PT02M16.00S,2022-11-03T23:35:44.9Z,1,REGULAR,foul,personal,[],1629626,,,1610612744,27,25,2022-11-03T23:35:54Z,1450000,,,0,,B. Bol personal FOUL (1 PF),"[1629626, 201939]",1610612753.0,ORL,,,,Bol,B. Bol,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,201245.0,1.0,0.0,Curry,201939.0,,
149,PT02M10.00S,2022-11-03T23:36:09.5Z,1,REGULAR,3pt,Jump Shot,[],201939,66.96780551905388,34.80392156862745,1610612744,27,25,2022-11-03T23:36:14Z,1470000,-76.0,258.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,26.9,Missed,,,,,,,,,,,,,,,,,,
150,PT02M06.00S,2022-11-03T23:36:13.5Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612753,27,25,2022-11-03T23:36:14Z,1480000,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Center,,,149.0,1.0,1.0,0.0,,,,,,,,,,,,,,
151,PT02M05.00S,2022-11-03T23:36:14.7Z,1,REGULAR,turnover,lost ball,[],1630181,,,1610612753,27,25,2022-11-03T23:36:22Z,1490000,,,0,,R. Hampton lost ball TURNOVER (1 TO),"[1630181, 1626172]",1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,Looney,1626172.0,,,,,,,
152,PT02M05.00S,2022-11-03T23:36:14.7Z,1,REGULAR,steal,,[],1626172,,,1610612744,27,25,2022-11-03T23:36:16Z,1500000,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
153,PT02M02.00S,2022-11-03T23:36:17.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626172,91.01511169513797,47.30392156862745,1610612744,27,27,2022-11-03T23:36:26Z,1510000,-13.0,32.0,1,right,K. Looney Layup (8 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,3.47,Made,,,,,8.0,,,,,,,,,,,,,
154,PT01M53.00S,2022-11-03T23:36:30.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630541,,,1610612753,27,27,2022-11-03T23:36:49Z,1520000,,,0,,M. Moody personal FOUL (1 PF) (Banchero 2 FT),"[1630541, 1631094]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627964.0,1.0,0.0,Banchero,1631094.0,,
156,PT01M53.00S,2022-11-03T23:37:05.6Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,27,27,2022-11-03T23:37:28Z,1540000,,,0,,MISS P. Banchero Free Throw 1 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
157,PT01M53.00S,2022-11-03T23:37:05.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612753,27,27,2022-11-03T23:37:28Z,1550000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,
158,PT01M53.00S,2022-11-03T23:37:05.6Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,27,27,2022-11-03T23:37:28Z,1560000,,,0,,MISS P. Banchero Free Throw 2 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
159,PT01M48.00S,2022-11-03T23:37:10.6Z,1,REGULAR,rebound,defensive,[],203210,,,1610612744,27,27,2022-11-03T23:37:28Z,1570000,,,0,,J. Green REBOUND (Off:0 Def:1),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,,158.0,1.0,1.0,0.0,,,,,,,,,,,,,,
160,PT01M37.00S,2022-11-03T23:37:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,92.72339027595268,52.94117647058824,1610612744,27,27,2022-11-03T23:37:42Z,1580000,15.0,16.0,1,right,MISS K. Looney cutting Layup,[1626172],1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
161,PT01M35.00S,2022-11-03T23:37:39.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,27,27,2022-11-03T23:37:42Z,1590000,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,160.0,2.0,2.0,0.0,,,,,,,,,,,,,,
162,PT01M29.00S,2022-11-03T23:37:45.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,11.645860709592641,39.21568627450981,1610612753,27,27,2022-11-03T23:37:53Z,1600000,54.0,57.0,1,left,MISS P. Banchero 7' fadeaway Shot,[1631094],1610612753.0,ORL,fadeaway,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,7.84,Missed,,,,,,,,,,,,,,,,,,
163,PT01M23.00S,2022-11-03T23:37:51.2Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,27,27,2022-11-03T23:37:53Z,1610000,,,0,,K. Looney REBOUND (Off:1 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,162.0,3.0,2.0,1.0,,,,,,,,,,,,,,
164,PT01M11.00S,2022-11-03T23:38:05.9Z,1,REGULAR,foul,personal,['2freethrow'],1630284,,,1610612744,27,27,2022-11-03T23:38:12Z,1620000,,,0,,K. Harris shooting personal FOUL (1 PF) (Moody 2 FT),"[1630284, 1630541]",1610612753.0,ORL,shooting,,,Harris,K. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1162.0,1.0,0.0,Moody,1630541.0,,
166,PT01M11.00S,2022-11-03T23:38:28.1Z,1,REGULAR,freethrow,1 of 2,[],1630541,,,1610612744,27,27,2022-11-03T23:38:28Z,1640000,,,0,,MISS M. Moody Free Throw 1 of 2,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
167,PT01M11.00S,2022-11-03T23:38:28.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,27,27,2022-11-03T23:38:28Z,1650000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,
168,PT01M11.00S,2022-11-03T23:38:29.0Z,1,REGULAR,substitution,out,[],201939,,,1610612744,27,27,2022-11-03T23:38:36Z,1660000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT01M11.00S,2022-11-03T23:38:29.0Z,1,REGULAR,substitution,in,[],1629660,,,1610612744,27,27,2022-11-03T23:38:36Z,1670000,,,0,,SUB in: T. Jerome,[1629660],1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT01M11.00S,2022-11-03T23:38:44.9Z,1,REGULAR,freethrow,2 of 2,[],1630541,,,1610612744,27,28,2022-11-03T23:38:44Z,1680000,,,0,,M. Moody Free Throw 2 of 2 (1 PTS),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
171,PT00M58.40S,2022-11-03T23:38:59.0Z,1,REGULAR,3pt,Jump Shot,[],1630181,26.363337713534822,19.607843137254903,1610612753,30,28,2022-11-03T23:39:09Z,1690000,152.0,195.0,1,left,R. Hampton 24' 3PT  (3 PTS) (P. Banchero 2 AST),"[1630181, 1631094]",1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Right Center,24.75,Made,,,,,3.0,P. Banchero,1631094.0,2.0,,,,,,,,,,
173,PT00M43.00S,2022-11-03T23:39:18.9Z,1,REGULAR,3pt,Jump Shot,[],1629673,74.45795006570303,15.441176470588236,1610612744,30,28,2022-11-03T23:39:24Z,1710000,-173.0,188.0,1,right,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,,
174,PT00M38.50S,2022-11-03T23:39:23.4Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,30,28,2022-11-03T23:40:16Z,1720000,,,0,,C. Okeke REBOUND (Off:1 Def:3),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Left Center,,,173.0,4.0,3.0,1.0,,,,,,,,,,,,,,
175,PT00M30.50S,2022-11-03T23:39:31.4Z,1,REGULAR,3pt,Jump Shot,[],1629626,5.732588699080158,4.411764705882353,1610612753,30,28,2022-11-03T23:39:36Z,1730000,228.0,1.0,1,left,MISS B. Bol 3PT,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Right Corner 3,24+ Right,22.79,Missed,,,,,,,,,,,,,,,,,,
176,PT00M26.80S,2022-11-03T23:39:35.4Z,1,REGULAR,rebound,offensive,[],1630284,,,1610612753,30,28,2022-11-03T23:39:35Z,1740000,,,0,,K. Harris REBOUND (Off:1 Def:0),[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,Right Corner 3,24+ Right,,,175.0,1.0,0.0,1.0,,,,,,,,,,,,,,
177,PT00M26.80S,2022-11-03T23:39:37.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630284,5.469776609724048,59.068627450980394,1610612753,30,28,2022-11-03T23:39:45Z,1750000,-45.0,-1.0,1,left,MISS K. Harris Layup - blocked,"[1630284, 203210]",1610612753.0,ORL,,,,Harris,K. Harris,,,,,In The Paint (Non-RA),0-8 Center,4.53,Missed,,,,,,,,,,,,,,,,,Green,203210.0
178,PT00M26.80S,2022-11-03T23:39:37.2Z,1,REGULAR,block,,[],203210,,,1610612753,30,28,2022-11-03T23:39:39Z,1760000,,,0,,J. Green BLOCK (1 BLK),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
179,PT00M26.80S,2022-11-03T23:39:37.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,30,28,2022-11-03T23:39:45Z,1770000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,177.0,,,,,,,,,,,,,,,,,
181,PT00M26.80S,2022-11-03T23:39:44.2Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,30,28,2022-11-03T23:39:52Z,1790000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
