actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId
157,PT11M39.00S,2023-03-10T00:38:47.5Z,2,REGULAR,rebound,defensive,[],1627739,,,1610612762,28,29,2023-03-10T00:50:39Z,1560000,False,,,0,,K. Dunn REBOUND (Off:1 Def:2),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Right Center,,,,,,,156.0,3.0,2.0,1.0,,,,,,,,,,
158,PT11M28.00S,2023-03-10T00:38:58.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1627745,6.652431011826544,57.35294117647059,1610612762,28,31,2023-03-10T00:39:04Z,1570000,False,-37.0,10.0,1,left,D. Jones alley-oop DUNK (5 PTS) (K. Dunn 3 AST),"[1627745, 1627739]",1610612762.0,UTA,alley-oop,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,3.81,Made,5.0,K. Dunn,1627739.0,3.0,,,,,,,,,,,,,,
160,PT11M20.00S,2023-03-10T00:39:06.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,92.46057818659659,58.08823529411765,1610612753,28,31,2023-03-10T00:56:20Z,1590000,False,40.0,18.0,1,right,MISS F. Wagner cutting Layup,[1630532],1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,4.44,Missed,,,,,,,,,,,,,,,,,,
161,PT11M18.00S,2023-03-10T00:39:08.4Z,2,REGULAR,rebound,defensive,[],200752,,,1610612762,28,31,2023-03-10T00:39:11Z,1600000,False,,,0,,R. Gay REBOUND (Off:0 Def:3),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,160.0,3.0,3.0,0.0,,,,,,,,,,
162,PT11M13.00S,2023-03-10T00:39:13.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,9.149145860709593,95.58823529411765,1610612762,28,31,2023-03-10T00:39:21Z,1610000,False,-228.0,34.0,1,left,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,23.03,Missed,,,,,,,,,,,,,,,,,,
163,PT11M11.00S,2023-03-10T00:39:15.3Z,2,REGULAR,rebound,offensive,[],200752,,,1610612762,28,31,2023-03-10T00:39:15Z,1620000,False,,,0,,R. Gay REBOUND (Off:1 Def:3),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,Left Corner 3,24+ Left,,,,,,,162.0,4.0,3.0,1.0,,,,,,,,,,
164,PT11M09.00S,2023-03-10T00:39:16.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628374,7.835085413929041,56.372549019607845,1610612762,28,31,2023-03-10T00:39:26Z,1630000,False,-32.0,21.0,1,left,MISS L. Markkanen cutting Layup - blocked,"[1628374, 1629048]",1610612762.0,UTA,cutting,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,3.82,Missed,,,,,,,,,,,,Bitadze,1629048.0,,,,,
165,PT11M09.00S,2023-03-10T00:39:16.6Z,2,REGULAR,block,,[],1629048,,,1610612762,28,31,2023-03-10T00:39:18Z,1640000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
166,PT11M07.00S,2023-03-10T00:39:18.6Z,2,REGULAR,rebound,defensive,[],1629626,,,1610612753,28,31,2023-03-10T00:39:26Z,1650000,False,,,0,,B. Bol REBOUND (Off:0 Def:4),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,164.0,4.0,4.0,0.0,,,,,,,,,,
167,PT10M59.00S,2023-03-10T00:39:27.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,92.72339027595268,56.372549019607845,1610612753,30,31,2023-03-10T00:39:34Z,1660000,False,32.0,16.0,1,right,J. Suggs driving Layup (4 PTS),[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,3.56,Made,4.0,,,,,,,,,,,,,,,,,
168,PT10M45.00S,2023-03-10T00:39:44.1Z,2,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612762,30,31,2023-03-10T00:39:59Z,1670000,False,,,0,,C. Anthony shooting personal FOUL (1 PF) (Gay 2 FT),"[1630175, 200752]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,,,,,,Gay,200752.0
170,PT10M45.00S,2023-03-10T00:40:12.4Z,2,REGULAR,freethrow,1 of 2,[],200752,,,1610612762,30,32,2023-03-10T00:40:12Z,1690000,False,,,0,,R. Gay Free Throw 1 of 2 (1 PTS),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
171,PT10M45.00S,2023-03-10T00:40:31.4Z,2,REGULAR,freethrow,2 of 2,[],200752,,,1610612762,30,32,2023-03-10T00:40:31Z,1700000,False,,,0,,MISS R. Gay Free Throw 2 of 2,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
172,PT10M42.00S,2023-03-10T00:40:32.6Z,2,REGULAR,rebound,defensive,[],1629626,,,1610612753,30,32,2023-03-10T00:40:32Z,1710000,False,,,0,,B. Bol REBOUND (Off:0 Def:5),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,171.0,5.0,5.0,0.0,,,,,,,,,,
173,PT10M28.00S,2023-03-10T00:40:46.8Z,2,REGULAR,3pt,Jump Shot,[],1630591,65.78515111695138,36.76470588235294,1610612753,30,32,2023-03-10T00:40:57Z,1720000,False,-66.0,269.0,1,right,MISS J. Suggs 27' pullup 3PT,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,27.71,Missed,,,,,,,,,,,,,,,,,,
174,PT10M25.00S,2023-03-10T00:40:49.8Z,2,REGULAR,rebound,defensive,[],1630548,,,1610612762,30,32,2023-03-10T00:40:57Z,1730000,False,,,0,,J. Juzang REBOUND (Off:0 Def:1),[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Above the Break 3,24+ Center,,,,,,,173.0,1.0,1.0,0.0,,,,,,,,,,
176,PT10M16.00S,2023-03-10T00:41:08.7Z,2,REGULAR,3pt,Jump Shot,[],200752,10.33180026281209,3.1862745098039214,1610612762,30,32,2023-03-10T00:41:14Z,1750000,False,234.0,45.0,1,left,MISS R. Gay 3PT,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,Right Corner 3,24+ Right,23.83,Missed,,,,,,,,,,,,,,,,,,
177,PT10M13.00S,2023-03-10T00:41:11.7Z,2,REGULAR,rebound,defensive,[],1629048,,,1610612753,30,32,2023-03-10T00:41:14Z,1760000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Right Corner 3,24+ Right,,,,,,,176.0,1.0,1.0,0.0,,,,,,,,,,
178,PT10M11.00S,2023-03-10T00:41:18.2Z,2,REGULAR,foul,personal,[],1627739,,,1610612753,30,32,2023-03-10T00:42:28Z,1770000,False,,,0,,K. Dunn personal FOUL (1 PF),"[1627739, 1630591]",1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,,,,,,Suggs,1630591.0
180,PT10M04.00S,2023-03-10T00:41:39.6Z,2,REGULAR,3pt,Jump Shot,[],1630532,76.95466491458606,92.40196078431373,1610612753,30,32,2023-03-10T00:41:51Z,1790000,False,212.0,164.0,1,right,MISS F. Wagner 26' step back 3PT,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,,
181,PT10M03.00S,2023-03-10T00:41:42.1Z,2,REGULAR,rebound,offensive,[],1630591,,,1610612753,30,32,2023-03-10T00:41:42Z,1800000,False,,,0,,J. Suggs REBOUND (Off:1 Def:0),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,180.0,1.0,0.0,1.0,,,,,,,,,,
182,PT10M03.00S,2023-03-10T00:41:43.7Z,2,REGULAR,foul,personal,['2freethrow'],1630548,,,1610612753,30,32,2023-03-10T00:41:51Z,1810000,False,,,0,,J. Juzang shooting personal FOUL (1 PF) (Suggs 2 FT),"[1630548, 1630591]",1610612762.0,UTA,shooting,,,Juzang,J. Juzang,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203593.0,1.0,0.0,,,,,,Suggs,1630591.0
184,PT10M03.00S,2023-03-10T00:42:16.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630591,,,1610612753,30,32,2023-03-10T00:42:16Z,1830000,False,,,0,,MISS J. Suggs Free Throw 1 of 2,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
185,PT10M03.00S,2023-03-10T00:42:16.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,30,32,2023-03-10T00:42:16Z,1840000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,184.0,,,,,,,,,,,,,
186,PT10M03.00S,2023-03-10T00:42:31.1Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630591,,,1610612753,31,32,2023-03-10T00:42:31Z,1850000,False,,,0,,J. Suggs Free Throw 2 of 2 (5 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
187,PT09M48.00S,2023-03-10T00:42:50.4Z,2,REGULAR,turnover,bad pass,[],1628374,,,1610612762,31,32,2023-03-10T00:43:24Z,1860000,False,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 1630591]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Suggs,1630591.0,,
188,PT09M48.00S,2023-03-10T00:42:50.4Z,2,REGULAR,steal,,[],1630591,,,1610612753,31,32,2023-03-10T00:42:52Z,1870000,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
189,PT09M46.00S,2023-03-10T00:42:54.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630591,93.11760840998686,58.333333333333336,1610612753,33,32,2023-03-10T00:43:34Z,1880000,False,42.0,12.0,1,right,J. Suggs driving Layup (7 PTS),[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,4.34,Made,7.0,,,,,,,,,,,,,,,,,
190,PT09M46.00S,2023-03-10T00:43:01.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,33,32,2023-03-10T00:43:01Z,1890000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M31.00S,2023-03-10T00:46:13.2Z,2,REGULAR,3pt,Jump Shot,[],1630548,32.40801576872536,47.549019607843135,1610612762,33,35,2023-03-10T01:00:59Z,1900000,False,12.0,252.0,1,left,J. Juzang 25' 3PT  (3 PTS) (R. Gay 1 AST),"[1630548, 200752]",1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Above the Break 3,24+ Center,25.24,Made,3.0,R. Gay,200752.0,1.0,,,,,,,,,,,,,,
193,PT09M12.00S,2023-03-10T00:46:33.9Z,2,REGULAR,foul,personal,[],1630548,,,1610612753,33,35,2023-03-10T00:47:09Z,1920000,False,,,0,,J. Juzang personal FOUL (2 PF),"[1630548, 1629048]",1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1146.0,2.0,0.0,,,,,,Bitadze,1629048.0
195,PT09M04.00S,2023-03-10T00:46:56.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,90.3580814717477,46.568627450980394,1610612753,33,35,2023-03-10T00:47:01Z,1940000,False,-17.0,38.0,1,right,MISS J. Suggs cutting Layup,[1630591],1610612753.0,ORL,cutting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,,,,,,,,,,,,,
196,PT09M02.00S,2023-03-10T00:46:58.5Z,2,REGULAR,rebound,defensive,[],1628374,,,1610612762,33,35,2023-03-10T00:47:01Z,1950000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,195.0,2.0,2.0,0.0,,,,,,,,,,
197,PT08M57.00S,2023-03-10T00:47:03.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628374,9.149145860709593,49.754901960784316,1610612762,33,37,2023-03-10T00:47:15Z,1960000,False,1.0,34.0,1,left,L. Markkanen running Layup (8 PTS),[1628374],1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,3.35,Made,8.0,,,,,,,,,,,,,,,,,
198,PT08M44.00S,2023-03-10T00:47:16.6Z,2,REGULAR,2pt,Jump Shot,[],1630175,95.6143232588699,17.401960784313726,1610612753,33,37,2023-03-10T00:47:22Z,1970000,False,-163.0,-11.0,1,right,MISS C. Anthony 16' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,Mid-Range,16-24 Left,16.34,Missed,,,,,,,,,,,,,,,,,,
199,PT08M42.00S,2023-03-10T00:47:18.6Z,2,REGULAR,rebound,defensive,[],1627739,,,1610612762,33,37,2023-03-10T01:02:12Z,1980000,False,,,0,,K. Dunn REBOUND (Off:1 Def:3),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Left,,,,,,,198.0,4.0,3.0,1.0,,,,,,,,,,
200,PT08M38.00S,2023-03-10T00:47:23.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628374,6.1268068331143235,52.450980392156865,1610612762,33,39,2023-03-10T00:47:40Z,1990000,False,-12.0,5.0,1,left,L. Markkanen DUNK (10 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,1.33,Made,10.0,,,,,,,,,,,,,,,,,
201,PT08M28.00S,2023-03-10T00:47:35.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,88.78120893561103,40.931372549019606,1610612753,35,39,2023-03-10T00:47:45Z,2000000,False,-45.0,53.0,1,right,J. Suggs 6' driving Layup (9 PTS),[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,6.97,Made,9.0,,,,,,,,,,,,,,,,,
202,PT08M28.00S,2023-03-10T00:47:38.6Z,2,REGULAR,foul,personal,['1freethrow'],1627745,,,1610612753,35,39,2023-03-10T00:47:48Z,2010000,False,,,0,,D. Jones shooting personal FOUL (2 PF) (Suggs 1 FT),"[1627745, 1630591]",1610612762.0,UTA,shooting,,,Jones,D. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203593.0,2.0,0.0,,,,,,Suggs,1630591.0
204,PT08M28.00S,2023-03-10T00:47:50.0Z,2,REGULAR,substitution,out,[],1627739,,,1610612753,35,39,2023-03-10T00:48:16Z,2030000,False,,,0,,SUB out: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M28.00S,2023-03-10T00:47:50.0Z,2,REGULAR,substitution,out,[],1627745,,,1610612753,35,39,2023-03-10T00:48:16Z,2040000,False,,,0,,SUB out: D. Jones,[1627745],1610612762.0,UTA,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M28.00S,2023-03-10T00:47:50.0Z,2,REGULAR,substitution,out,[],200752,,,1610612753,35,39,2023-03-10T00:48:16Z,2050000,False,,,0,,SUB out: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M28.00S,2023-03-10T00:47:50.0Z,2,REGULAR,substitution,in,[],1629659,,,1610612753,35,39,2023-03-10T00:48:16Z,2060000,False,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M28.00S,2023-03-10T00:47:50.0Z,2,REGULAR,substitution,in,[],203482,,,1610612753,35,39,2023-03-10T00:48:16Z,2070000,False,,,0,,SUB in: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT08M28.00S,2023-03-10T00:47:50.0Z,2,REGULAR,substitution,in,[],1631117,,,1610612753,35,39,2023-03-10T00:48:16Z,2080000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M28.00S,2023-03-10T00:48:12.7Z,2,REGULAR,freethrow,1 of 1,[],1630591,,,1610612753,36,39,2023-03-10T00:48:12Z,2090000,False,,,0,,J. Suggs Free Throw 1 of 1 (10 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
211,PT08M03.00S,2023-03-10T00:48:39.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,9.149145860709593,47.30392156862745,1610612762,36,39,2023-03-10T00:48:44Z,2100000,False,13.0,34.0,1,left,MISS T. Horton-Tucker driving Layup,[1629659],1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,3.61,Missed,,,,,,,,,,,,,,,,,,
212,PT08M01.00S,2023-03-10T00:48:41.3Z,2,REGULAR,rebound,defensive,[],1629048,,,1610612753,36,39,2023-03-10T00:48:44Z,2110000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:2),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,211.0,2.0,2.0,0.0,,,,,,,,,,
213,PT07M56.00S,2023-03-10T00:48:46.2Z,2,REGULAR,3pt,Jump Shot,[],1630532,71.69842312746385,80.63725490196079,1610612753,36,39,2023-03-10T00:48:57Z,2120000,False,153.0,214.0,1,right,MISS F. Wagner 26' step back 3PT,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,26.28,Missed,,,,,,,,,,,,,,,,,,
214,PT07M55.00S,2023-03-10T00:48:47.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612762,36,39,2023-03-10T00:48:57Z,2130000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,213.0,,,,,,,,,,,,,
216,PT07M55.00S,2023-03-10T00:48:55.9Z,2,REGULAR,substitution,out,[],1628374,,,1610612762,36,39,2023-03-10T00:49:00Z,2150000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M55.00S,2023-03-10T00:48:55.9Z,2,REGULAR,substitution,in,[],1630534,,,1610612762,36,39,2023-03-10T00:49:00Z,2160000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M36.00S,2023-03-10T00:49:37.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,8.623521681997373,52.94117647058824,1610612762,36,41,2023-03-10T00:49:42Z,2180000,False,-15.0,29.0,1,left,W. Kessler Layup (2 PTS) (K. Olynyk 3 AST),"[1631117, 203482]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,3.22,Made,2.0,K. Olynyk,203482.0,3.0,,,,,,,,,,,,,,
221,PT07M18.00S,2023-03-10T00:49:55.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,92.19776609724047,64.95098039215686,1610612753,38,41,2023-03-10T01:04:02Z,2200000,False,75.0,21.0,1,right,J. Suggs 7' pullup Jump Shot (12 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,7.76,Made,12.0,,,,,,,,,,,,,,,,,
222,PT07M10.00S,2023-03-10T00:50:06.3Z,2,REGULAR,foul,personal,[],1630591,,,1610612762,38,41,2023-03-10T00:50:32Z,2210000,False,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 203482]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1627963.0,1.0,0.0,,,,,,Olynyk,203482.0
224,PT07M10.00S,2023-03-10T00:50:10.8Z,2,REGULAR,substitution,out,[],1629626,,,1610612762,38,41,2023-03-10T00:50:27Z,2230000,False,,,0,,SUB out: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M10.00S,2023-03-10T00:50:10.8Z,2,REGULAR,substitution,out,[],1629048,,,1610612762,38,41,2023-03-10T00:50:27Z,2240000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M10.00S,2023-03-10T00:50:10.8Z,2,REGULAR,substitution,in,[],1631094,,,1610612762,38,41,2023-03-10T00:50:27Z,2250000,False,,,0,,SUB in: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M10.00S,2023-03-10T00:50:10.8Z,2,REGULAR,substitution,in,[],1629021,,,1610612762,38,41,2023-03-10T00:50:27Z,2260000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M59.00S,2023-03-10T00:50:43.8Z,2,REGULAR,3pt,Jump Shot,[],1630548,27.020367936925098,81.12745098039215,1610612762,38,41,2023-03-10T00:50:48Z,2270000,False,-156.0,201.0,1,left,MISS J. Juzang 25' 3PT,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Above the Break 3,24+ Left Center,25.46,Missed,,,,,,,,,,,,,,,,,,
229,PT06M55.00S,2023-03-10T00:50:47.8Z,2,REGULAR,rebound,defensive,[],1630532,,,1610612753,38,41,2023-03-10T00:50:48Z,2280000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,228.0,1.0,1.0,0.0,,,,,,,,,,
230,PT06M47.00S,2023-03-10T00:50:55.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629021,87.86136662286465,45.588235294117645,1610612753,38,41,2023-03-10T00:51:02Z,2290000,False,-22.0,62.0,1,right,MISS M. Wagner 6' cutting Layup - blocked,"[1629021, 203482]",1610612753.0,ORL,cutting,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.54,Missed,,,,,,,,,,,,Olynyk,203482.0,,,,,
231,PT06M47.00S,2023-03-10T00:50:55.2Z,2,REGULAR,block,,[],203482,,,1610612753,38,41,2023-03-10T00:50:57Z,2300000,False,,,0,,K. Olynyk BLOCK (1 BLK),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
232,PT06M45.00S,2023-03-10T00:50:57.2Z,2,REGULAR,rebound,defensive,[],1631117,,,1610612762,38,41,2023-03-10T00:51:02Z,2310000,False,,,0,,W. Kessler REBOUND (Off:0 Def:3),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,230.0,3.0,3.0,0.0,,,,,,,,,,
233,PT06M41.00S,2023-03-10T00:51:03.8Z,2,REGULAR,foul,personal,[],1630175,,,1610612762,38,41,2023-03-10T00:51:16Z,2320000,False,,,0,,C. Anthony personal FOUL (2 PF),"[1630175, 1629659]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203593.0,2.0,0.0,,,,,,Horton-Tucker,1629659.0
235,PT06M41.00S,2023-03-10T00:51:13.2Z,2,REGULAR,substitution,out,[],1630175,,,1610612762,38,41,2023-03-10T00:51:22Z,2340000,False,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M41.00S,2023-03-10T00:51:13.2Z,2,REGULAR,substitution,out,[],1630548,,,1610612762,38,41,2023-03-10T00:51:22Z,2350000,False,,,0,,SUB out: J. Juzang,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M41.00S,2023-03-10T00:51:13.2Z,2,REGULAR,substitution,in,[],1628365,,,1610612762,38,41,2023-03-10T00:51:22Z,2360000,False,,,0,,SUB in: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M41.00S,2023-03-10T00:51:13.2Z,2,REGULAR,substitution,in,[],1631323,,,1610612762,38,41,2023-03-10T00:51:22Z,2370000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M41.00S,2023-03-10T00:51:27.2Z,2,REGULAR,substitution,out,[],1630591,,,1610612762,38,41,2023-03-10T00:51:31Z,2380000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M41.00S,2023-03-10T00:51:27.2Z,2,REGULAR,substitution,in,[],203914,,,1610612762,38,41,2023-03-10T00:51:31Z,2390000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
