actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
440,PT02M55.00S,2022-12-01T01:37:52.4Z,3,REGULAR,substitution,in,[],1630532,,,1610612753,71,92,2022-12-01T01:39:59Z,4360000,False,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
441,PT02M55.00S,2022-12-01T01:37:52.4Z,3,REGULAR,substitution,in,[],203082,,,1610612753,71,92,2022-12-01T01:39:59Z,4370000,False,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
442,PT02M55.00S,2022-12-01T01:37:52.4Z,3,REGULAR,substitution,in,[],1630168,,,1610612753,71,92,2022-12-01T01:39:59Z,4380000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
443,PT02M55.00S,2022-12-01T01:37:52.4Z,3,REGULAR,substitution,in,[],1630235,,,1610612753,71,92,2022-12-01T01:39:59Z,4390000,False,,,0,,SUB in: T. Forrest,[1630235],1610612737.0,ATL,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,
444,PT02M55.00S,2022-12-01T01:40:24.6Z,3,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,72,92,2022-12-01T01:40:24Z,4400000,False,,,0,,P. Banchero Free Throw 1 of 2 (18 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,18.0,,,,,,,,,,,,,,,,,
445,PT02M55.00S,2022-12-01T01:40:33.1Z,3,REGULAR,timeout,full,['team'],0,,,1610612753,72,92,2022-12-01T01:40:33Z,4410000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,PT02M55.00S,2022-12-01T01:40:38.4Z,3,REGULAR,substitution,out,[],1630249,,,1610612753,72,92,2022-12-01T01:41:46Z,4420000,False,,,0,,SUB out: V. Krejci,[1630249],1610612737.0,ATL,,,,Krejci,V. Krejci,,,,,,,,,,,,,,,,,,,,,,,,,,
447,PT02M55.00S,2022-12-01T01:40:38.4Z,3,REGULAR,substitution,in,[],1626163,,,1610612753,72,92,2022-12-01T01:41:46Z,4430000,False,,,0,,SUB in: F. Kaminsky,[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,,
448,PT02M55.00S,2022-12-01T01:42:09.7Z,3,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,73,92,2022-12-01T01:42:09Z,4440000,False,,,0,,P. Banchero Free Throw 2 of 2 (19 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,19.0,,,,,,,,,,,,,,,,,
449,PT02M44.00S,2022-12-01T01:42:24.7Z,3,REGULAR,foul,personal,[],1629021,,,1610612737,73,92,2022-12-01T01:42:31Z,4450000,False,,,0,,M. Wagner personal FOUL (2 PF),"[1629021, 1629027]",1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Center,,,,,,,201639.0,2.0,0.0,Young,1629027.0,,,,,,,,,
451,PT02M37.00S,2022-12-01T01:42:50.5Z,3,REGULAR,2pt,Jump Shot,[],1629027,27.938566070035314,32.1078431372549,1610612737,73,94,2022-12-01T01:42:57Z,4470000,False,89.0,210.0,1,left,T. Young 22' step back Jump Shot (30 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Mid-Range,16-24 Right Center,22.84,Made,30.0,,,,,,,,,,,,,,,,,
452,PT02M15.00S,2022-12-01T01:43:12.3Z,3,REGULAR,3pt,Jump Shot,[],1630175,72.48521521589602,21.568627450980394,1610612753,73,94,2022-12-01T01:43:16Z,4480000,False,-142.0,206.0,1,right,MISS C. Anthony 25' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,25.04,Missed,,,,,,,,,,,,,,,,,,
453,PT02M12.00S,2022-12-01T01:43:15.3Z,3,REGULAR,rebound,defensive,[],1629027,,,1610612737,73,94,2022-12-01T01:43:16Z,4490000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,452.0,1.0,1.0,0.0,,,,
