actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
89,PT06M02.00S,2023-01-26T00:25:52.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631094,,,1610612753,25,15,2023-01-26T00:25:52Z,880000,False,,,0,,P. Banchero Free Throw 2 of 2 (8 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,
90,PT05M50.00S,2023-01-26T00:26:04.0Z,1,REGULAR,turnover,lost ball,[],1627741,,,1610612754,25,15,2023-01-26T00:27:02Z,890000,False,,,0,,B. Hield lost ball TURNOVER (2 TO),"[1627741, 1628365]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,,,,,2.0,,,,,,,,,Fultz,1628365.0,,
91,PT05M50.00S,2023-01-26T00:26:04.0Z,1,REGULAR,steal,,[],1628365,,,1610612753,25,15,2023-01-26T00:27:02Z,900000,False,,,0,,M. Fultz STEAL (1 STL),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
92,PT05M39.00S,2023-01-26T00:26:15.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628371,30.042706964520367,26.96078431372549,1610612753,25,15,2023-01-26T00:26:21Z,910000,False,115.0,230.0,1,left,MISS J. Isaac 25' 3PT,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.71,,,,,,,,,,,
93,PT05M39.00S,2023-01-26T00:26:19.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,25,15,2023-01-26T00:26:19Z,920000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,92.0,,,,,,,
94,PT05M16.00S,2023-01-26T00:26:47.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,65.25952693823915,59.31372549019608,1610612754,25,15,2023-01-26T00:29:09Z,930000,False,47.0,274.0,1,right,MISS M. Turner 27' pullup 3PT,[1626167],1610612754.0,IND,pullup,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,27.8,,,,,,,,,,,
95,PT05M15.00S,2023-01-26T00:26:48.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,25,15,2023-01-26T00:28:10Z,940000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,94.0,,,,,,,
96,PT05M15.00S,2023-01-26T00:26:55.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,25,15,2023-01-26T00:27:13Z,950000,False,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,1146.0,,,,,,,,,,,,,,,,,,,
97,PT05M08.00S,2023-01-26T00:27:11.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628365,6.389618922470433,50.245098039215684,1610612753,27,15,2023-01-26T00:27:41Z,960000,False,-1.0,8.0,1,left,M. Fultz running DUNK (2 PTS),[1628365],1610612753.0,ORL,running,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,0.77,,,,,,,,,,,
98,PT05M07.00S,2023-01-26T00:27:23.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,27,15,2023-01-26T00:27:23Z,970000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M07.00S,2023-01-26T00:29:52.2Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,27,15,2023-01-26T00:30:06Z,980000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT05M07.00S,2023-01-26T00:29:52.2Z,1,REGULAR,substitution,in,[],1630543,,,1610612754,27,15,2023-01-26T00:30:06Z,990000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M51.00S,2023-01-26T00:30:22.1Z,1,REGULAR,3pt,Jump Shot,[],1630243,65.78515111695138,45.588235294117645,1610612754,27,15,2023-01-26T00:30:27Z,1000000,False,-22.0,269.0,1,right,MISS T. Queen 27' pullup 3PT,[1630243],1610612754.0,IND,pullup,,,Queen,T. Queen,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,27.0,,,,,,,,,,,
103,PT04M49.00S,2023-01-26T00:30:24.1Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,27,15,2023-01-26T00:30:27Z,1010000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:4),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,102.0,5.0,4.0,1.0,,,,
104,PT04M27.00S,2023-01-26T00:30:46.1Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,27,15,2023-01-26T00:30:50Z,1020000,False,,,0,,P. Banchero bad pass TURNOVER (1 TO),"[1631094, 1630543]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,,Jackson,1630543.0,,
105,PT04M27.00S,2023-01-26T00:30:46.1Z,1,REGULAR,steal,,[],1630543,,,1610612754,27,15,2023-01-26T00:30:48Z,1030000,False,,,0,,I. Jackson STEAL (1 STL),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
107,PT04M22.00S,2023-01-26T00:30:58.3Z,1,REGULAR,substitution,out,[],203914,,,1610612754,27,15,2023-01-26T00:31:05Z,1050000,False,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M22.00S,2023-01-26T00:30:58.3Z,1,REGULAR,substitution,in,[],1630175,,,1610612754,27,15,2023-01-26T00:31:05Z,1060000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M10.00S,2023-01-26T00:31:23.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631097,88.78120893561103,52.94117647058824,1610612754,27,15,2023-01-26T00:31:33Z,1070000,False,15.0,53.0,1,right,MISS B. Mathurin driving floating Shot,[1631097],1610612754.0,IND,driving floating,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.5,,,,,,,,,,,
110,PT04M07.00S,2023-01-26T00:31:26.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,27,15,2023-01-26T00:31:33Z,1080000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:5),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,109.0,6.0,5.0,1.0,,,,
111,PT04M01.00S,2023-01-26T00:31:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628371,13.66622864651774,37.33149509803921,1610612753,29,15,2023-01-26T00:32:04Z,1090000,False,63.0,76.0,1,left,J. Isaac 9' turnaround Jump Shot (2 PTS) (W. Carter Jr. 1 AST),"[1628371, 1628976]",1610612753.0,ORL,turnaround,,,Isaac,J. Isaac,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Made,2.0,,9.89,W. Carter Jr.,1628976.0,1.0,,,,,,,,
113,PT03M40.00S,2023-01-26T00:31:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,91.80354796320631,47.794117647058826,1610612754,29,17,2023-01-26T00:32:00Z,1110000,False,-11.0,25.0,1,right,T. Taylor driving Layup (2 PTS) (B. Mathurin 1 AST),"[1630678, 1631097]",1610612754.0,IND,driving,,,Taylor,T. Taylor,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,2.69,B. Mathurin,1631097.0,1.0,,,,,,,,
115,PT03M28.00S,2023-01-26T00:32:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,18.084756898817346,35.53921568627451,1610612753,29,17,2023-01-26T00:32:11Z,1130000,False,72.0,117.0,1,left,MISS W. Carter Jr. 13' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,,13.8,,,,,,,,,,,
116,PT03M25.00S,2023-01-26T00:32:07.9Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,29,17,2023-01-26T00:32:11Z,1140000,False,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,115.0,1.0,1.0,0.0,,,,
117,PT03M22.00S,2023-01-26T00:32:11.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627741,89.56964520367937,40.931372549019606,1610612754,29,17,2023-01-26T00:33:55Z,1150000,False,-45.0,46.0,1,right,MISS B. Hield 6' running Layup - blocked,"[1627741, 1628365]",1610612754.0,IND,running,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,6.42,,,,,,,,,,Fultz,1628365.0
118,PT03M22.00S,2023-01-26T00:32:11.7Z,1,REGULAR,block,,[],1628365,,,1610612754,29,17,2023-01-26T00:36:50Z,1160000,False,,,0,,M. Fultz BLOCK (1 BLK),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
119,PT03M18.00S,2023-01-26T00:32:15.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,29,17,2023-01-26T00:32:27Z,1170000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:6),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,117.0,7.0,6.0,1.0,,,,
120,PT03M18.00S,2023-01-26T00:32:21.1Z,1,REGULAR,foul,personal,['2freethrow'],1630678,,,1610612753,29,17,2023-01-26T00:32:34Z,1180000,False,,,0,,T. Taylor shooting personal FOUL (1 PF) (Banchero 2 FT),"[1630678, 1631094]",1610612754.0,IND,shooting,,,Taylor,T. Taylor,,,,,Restricted Area,0-8 Center,1628953.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,,,,,,,
122,PT03M18.00S,2023-01-26T00:32:43.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631094,,,1610612753,30,17,2023-01-26T00:32:44Z,1200000,False,,,0,,P. Banchero Free Throw 1 of 2 (9 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,
123,PT03M18.00S,2023-01-26T00:33:07.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631094,,,1610612753,31,17,2023-01-26T00:33:07Z,1210000,False,,,0,,P. Banchero Free Throw 2 of 2 (10 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,
124,PT03M07.00S,2023-01-26T00:33:20.1Z,1,REGULAR,3pt,Jump Shot,[],1627741,70.77858081471747,22.058823529411764,1610612754,31,20,2023-01-26T00:35:59Z,1220000,False,-140.0,222.0,1,right,B. Hield 26' 3PT  (8 PTS) (B. Mathurin 2 AST),"[1627741, 1631097]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,,,Made,8.0,,26.25,B. Mathurin,1631097.0,2.0,,,,,,,,
126,PT02M51.00S,2023-01-26T00:33:34.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628365,6.1268068331143235,52.94117647058824,1610612753,31,20,2023-01-26T00:33:40Z,1240000,False,-15.0,5.0,1,left,MISS M. Fultz driving DUNK,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.56,,,,,,,,,,,
127,PT02M51.00S,2023-01-26T00:33:34.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,31,20,2023-01-26T00:33:40Z,1250000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,126.0,,,,,,,
129,PT02M51.00S,2023-01-26T00:33:42.2Z,1,REGULAR,substitution,out,[],1628371,,,1610612753,31,20,2023-01-26T00:33:58Z,1270000,False,,,0,,SUB out: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M51.00S,2023-01-26T00:33:42.2Z,1,REGULAR,substitution,out,[],1628365,,,1610612753,31,20,2023-01-26T00:33:58Z,1280000,False,,,0,,SUB out: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M51.00S,2023-01-26T00:33:42.2Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,31,20,2023-01-26T00:33:58Z,1290000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M51.00S,2023-01-26T00:33:42.2Z,1,REGULAR,substitution,in,[],1629021,,,1610612753,31,20,2023-01-26T00:33:58Z,1300000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M51.00S,2023-01-26T00:33:42.2Z,1,REGULAR,substitution,in,[],1630591,,,1610612753,31,20,2023-01-26T00:33:58Z,1310000,False,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M51.00S,2023-01-26T00:33:42.2Z,1,REGULAR,substitution,in,[],1630532,,,1610612753,31,20,2023-01-26T00:33:58Z,1320000,False,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M44.00S,2023-01-26T00:34:13.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630175,5.601182654402102,50.73529411764706,1610612753,33,20,2023-01-26T00:34:27Z,1330000,False,-4.0,0.0,1,left,C. Anthony alley-oop DUNK (2 PTS) (J. Suggs 1 AST),"[1630175, 1630591]",1610612753.0,ORL,alley-oop,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,0.37,J. Suggs,1630591.0,1.0,,,,,,,,
137,PT02M30.00S,2023-01-26T00:34:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631097,87.46714848883047,61.51960784313726,1610612754,33,22,2023-01-26T00:34:32Z,1350000,False,58.0,65.0,1,right,B. Mathurin 8' driving floating Jump Shot (2 PTS),[1631097],1610612754.0,IND,driving floating,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Made,2.0,,8.71,,,,,,,,,,,
138,PT02M21.00S,2023-01-26T00:34:35.2Z,1,REGULAR,3pt,Jump Shot,[],1631094,23.73521681997372,12.990196078431374,1610612753,36,22,2023-01-26T00:38:23Z,1360000,False,185.0,171.0,1,left,P. Banchero 25' 3PT pullup (13 PTS) (C. Anthony 1 AST),"[1631094, 1630175]",1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,,,Made,13.0,,25.17,C. Anthony,1630175.0,1.0,,,,,,,,
140,PT01M58.00S,2023-01-26T00:34:58.3Z,1,REGULAR,3pt,Jump Shot,[],1630678,82.47371879106439,6.372549019607843,1610612754,36,22,2023-01-26T00:35:04Z,1380000,False,-218.0,112.0,1,right,MISS T. Taylor 24' 3PT,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,24.53,,,,,,,,,,,
141,PT01M54.00S,2023-01-26T00:35:02.3Z,1,REGULAR,rebound,offensive,[],1630243,,,1610612754,36,22,2023-01-26T00:35:04Z,1390000,False,,,0,,T. Queen REBOUND (Off:1 Def:0),[1630243],1610612754.0,IND,,,,Queen,T. Queen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,140.0,1.0,0.0,1.0,,,,
142,PT01M53.00S,2023-01-26T00:35:04.1Z,1,REGULAR,turnover,bad pass,[],1630243,,,1610612754,36,22,2023-01-26T00:35:11Z,1400000,False,,,0,,T. Queen bad pass TURNOVER (1 TO),"[1630243, 1630532]",1610612754.0,IND,,,,Queen,T. Queen,,,,,Right Corner 3,24+ Right,,,,,,,,1.0,,,,,,,,,Wagner,1630532.0,,
143,PT01M53.00S,2023-01-26T00:35:04.1Z,1,REGULAR,steal,,[],1630532,,,1610612753,36,22,2023-01-26T00:35:05Z,1410000,False,,,0,,F. Wagner STEAL (2 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
144,PT01M48.00S,2023-01-26T00:35:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630591,7.835085413929041,49.26470588235294,1610612753,36,22,2023-01-26T00:39:14Z,1420000,False,4.0,21.0,1,left,MISS J. Suggs driving Layup - blocked,"[1630591, 1630543]",1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.14,,,,,,,,,,Jackson,1630543.0
145,PT01M48.00S,2023-01-26T00:35:11.5Z,1,REGULAR,block,,[],1630543,,,1610612753,36,22,2023-01-26T00:41:41Z,1430000,False,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
146,PT01M48.00S,2023-01-26T00:35:11.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,36,22,2023-01-26T00:35:20Z,1440000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,144.0,,,,,,,
147,PT01M48.00S,2023-01-26T00:35:17.4Z,1,REGULAR,substitution,out,[],1630243,,,1610612753,36,22,2023-01-26T00:35:27Z,1450000,False,,,0,,SUB out: T. Queen,[1630243],1610612754.0,IND,,,,Queen,T. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M48.00S,2023-01-26T00:35:17.4Z,1,REGULAR,substitution,out,[],1627741,,,1610612753,36,22,2023-01-26T00:35:27Z,1460000,False,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M48.00S,2023-01-26T00:35:17.4Z,1,REGULAR,substitution,in,[],1630537,,,1610612753,36,22,2023-01-26T00:35:27Z,1470000,False,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M48.00S,2023-01-26T00:35:17.4Z,1,REGULAR,substitution,in,[],204456,,,1610612753,36,22,2023-01-26T00:35:27Z,1480000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M40.00S,2023-01-26T00:35:39.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630175,6.389618922470433,53.67647058823529,1610612753,38,22,2023-01-26T00:35:46Z,1490000,False,-18.0,8.0,1,left,C. Anthony driving Layup (4 PTS) (M. Wagner 1 AST),"[1630175, 1629021]",1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,1.99,M. Wagner,1629021.0,1.0,,,,,,,,
153,PT01M22.00S,2023-01-26T00:35:56.9Z,1,REGULAR,2pt,Jump Shot,[],1630543,94.03745072273325,84.31372549019608,1610612754,38,24,2023-01-26T00:43:12Z,1510000,False,172.0,4.0,1,right,I. Jackson 17' pullup Jump Shot (2 PTS) (T. McConnell 2 AST),"[1630543, 204456]",1610612754.0,IND,pullup,,,Jackson,I. Jackson,,,,,Mid-Range,16-24 Right,,,,,,Made,2.0,,17.16,T. McConnell,204456.0,2.0,,,,,,,,
155,PT01M04.00S,2023-01-26T00:36:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,6.389618922470433,46.81372549019608,1610612753,38,24,2023-01-26T00:36:29Z,1530000,False,16.0,8.0,1,left,MISS C. Anthony driving Layup - blocked,"[1630175, 1630543]",1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.76,,,,,,,,,,Jackson,1630543.0
156,PT01M04.00S,2023-01-26T00:36:17.0Z,1,REGULAR,block,,[],1630543,,,1610612753,38,24,2023-01-26T00:36:24Z,1540000,False,,,0,,I. Jackson BLOCK (2 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
157,PT01M04.00S,2023-01-26T00:36:17.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,38,24,2023-01-26T00:36:29Z,1550000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,155.0,,,,,,,
158,PT01M04.00S,2023-01-26T00:36:28.1Z,1,REGULAR,substitution,out,[],1631094,,,1610612753,38,24,2023-01-26T00:36:32Z,1560000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M04.00S,2023-01-26T00:36:28.1Z,1,REGULAR,substitution,in,[],1629626,,,1610612753,38,24,2023-01-26T00:36:32Z,1570000,False,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT01M01.00S,2023-01-26T00:36:44.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630532,6.389618922470433,46.568627450980394,1610612753,40,24,2023-01-26T00:36:53Z,1580000,False,17.0,8.0,1,left,F. Wagner cutting Layup (6 PTS) (C. Anthony 2 AST),"[1630532, 1630175]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,,1.88,C. Anthony,1630175.0,2.0,,,,,,,,
162,PT00M54.00S,2023-01-26T00:36:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,93.24901445466492,54.90196078431373,1610612754,40,26,2023-01-26T00:43:56Z,1600000,False,25.0,11.0,1,right,T. Taylor driving reverse Layup (4 PTS) (T. McConnell 3 AST),"[1630678, 204456]",1610612754.0,IND,driving reverse,,,Taylor,T. Taylor,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,2.69,T. McConnell,204456.0,3.0,,,,,,,,
163,PT00M37.00S,2023-01-26T00:37:12.3Z,1,REGULAR,3pt,Jump Shot,[],1629021,32.14520367936925,45.09803921568628,1610612753,43,26,2023-01-26T00:37:18Z,1610000,False,25.0,250.0,1,left,M. Wagner 25' 3PT  (3 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,25.09,,,,,,,,,,,
165,PT00M36.70S,2023-01-26T00:37:40.6Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,43,26,2023-01-26T00:37:57Z,1620000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612753.0,ORL,,,,,,,,,,,,1146.0,,,,,,,,,,,,,,,,,,,
166,PT00M36.70S,2023-01-26T00:37:45.6Z,1,REGULAR,foul,technical,['1freethrow'],1630591,,,1610612754,43,26,2023-01-26T00:37:53Z,1630000,False,,,0,,J. Suggs technical FOUL (1 Tech),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,1146.0,0.0,1.0,,,,,,,,,,,,,,,,,
167,PT00M36.70S,2023-01-26T00:37:54.9Z,1,REGULAR,freethrow,1 of 1,[],1631097,,,1610612754,43,27,2023-01-26T00:37:54Z,1640000,False,,,0,,B. Mathurin technical Free Throw 1 of 1 (3 PTS),[1631097],1610612754.0,IND,technical,,,Mathurin,B. Mathurin,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
168,PT00M22.70S,2023-01-26T00:38:17.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629021,,,1610612754,43,27,2023-01-26T00:40:52Z,1650000,False,,,0,,M. Wagner shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1629021, 1631097]",1610612753.0,ORL,shooting,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),0-8 Center,1146.0,1.0,0.0,Mathurin,1631097.0,,,,,,,,,,,,,,,
171,PT00M22.70S,2023-01-26T00:38:33.7Z,1,REGULAR,timeout,challenge,['team'],0,,,1610612754,43,27,2023-01-26T00:40:39Z,1680000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT00M22.70S,2023-01-26T00:40:53.5Z,1,REGULAR,freethrow,1 of 2,[],1631097,,,1610612754,43,28,2023-01-26T00:40:53Z,1700000,False,,,0,,B. Mathurin Free Throw 1 of 2 (4 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
175,PT00M22.70S,2023-01-26T00:40:55.1Z,1,REGULAR,freethrow,2 of 2,[],1631097,,,1610612754,43,29,2023-01-26T00:40:55Z,1710000,False,,,0,,B. Mathurin Free Throw 2 of 2 (5 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
176,PT00M01.60S,2023-01-26T00:41:16.4Z,1,REGULAR,3pt,Jump Shot,[],1630591,6.915243101182654,96.32352941176471,1610612753,46,29,2023-01-26T00:41:21Z,1720000,False,-232.0,13.0,1,left,J. Suggs 3PT  (3 PTS) (B. Bol 1 AST),"[1630591, 1629626]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,,23.19,B. Bol,1629626.0,1.0,,,,,,,,
