actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
90,PT03M58.00S,2022-11-27T23:26:23.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629021,,,1610612753,21,21,2022-11-27T23:26:23Z,900000,False,,,0,,M. Wagner Free Throw 1 of 2 (1 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
91,PT03M58.00S,2022-11-27T23:26:26.3Z,1,REGULAR,substitution,out,[],1629626,,,1610612753,21,21,2022-11-27T23:26:32Z,910000,False,,,0,,SUB out: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M58.00S,2022-11-27T23:26:26.3Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,21,21,2022-11-27T23:26:32Z,920000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M58.00S,2022-11-27T23:26:26.3Z,1,REGULAR,substitution,in,[],1630181,,,1610612753,21,21,2022-11-27T23:26:32Z,930000,False,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M58.00S,2022-11-27T23:26:26.3Z,1,REGULAR,substitution,in,[],203082,,,1610612753,21,21,2022-11-27T23:26:32Z,940000,False,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M58.00S,2022-11-27T23:26:38.2Z,1,REGULAR,substitution,out,[],200782,,,1610612753,21,21,2022-11-27T23:26:45Z,950000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M58.00S,2022-11-27T23:26:38.2Z,1,REGULAR,substitution,in,[],1627863,,,1610612753,21,21,2022-11-27T23:26:45Z,960000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M58.00S,2022-11-27T23:27:00.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629021,,,1610612753,22,21,2022-11-27T23:27:00Z,970000,False,,,0,,M. Wagner Free Throw 2 of 2 (2 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,
98,PT03M47.00S,2022-11-27T23:27:11.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,89.83081311339932,52.69607843137255,1610612755,22,23,2022-11-27T23:27:17Z,980000,False,13.0,43.0,1,right,D. Melton driving finger roll Layup (7 PTS) (F. Korkmaz 1 AST),"[1629001, 1627788]",1610612755.0,PHI,driving finger roll,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,4.52,Made,,,,,,,7.0,F. Korkmaz,1627788.0,1.0,,,,,,,
100,PT03M36.00S,2022-11-27T23:27:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,4.548290117341491,59.068627450980394,1610612753,22,23,2022-11-27T23:27:31Z,1000000,False,-45.0,-10.0,1,left,MISS P. Banchero driving Layup,[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,4.63,Missed,,,,,,,,,,,,,,,,,
101,PT03M33.00S,2022-11-27T23:27:25.4Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,22,23,2022-11-27T23:27:25Z,1010000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,100.0,1.0,1.0,0.0,,,,,,,,,,,
102,PT03M28.00S,2022-11-27T23:27:29.2Z,1,REGULAR,turnover,bad pass,[],1630194,,,1610612755,22,23,2022-11-27T23:27:35Z,1020000,False,,,0,,P. Reed bad pass TURNOVER (1 TO),"[1630194, 203914]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Harris,203914.0
103,PT03M28.00S,2022-11-27T23:27:29.2Z,1,REGULAR,steal,,[],203914,,,1610612753,22,23,2022-11-27T23:27:31Z,1030000,False,,,0,,G. Harris STEAL (1 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
104,PT03M26.00S,2022-11-27T23:27:31.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629021,28.464190248747535,28.676470588235293,1610612753,22,23,2022-11-27T23:27:40Z,1040000,False,107.0,215.0,1,left,MISS M. Wagner 24' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Right Center,,24.01,Missed,,,,,,,,,,,,,,,,,
105,PT03M26.00S,2022-11-27T23:27:31.8Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612755,22,23,2022-11-27T23:27:47Z,1050000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Right Center,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,,,
106,PT03M21.00S,2022-11-27T23:27:37.0Z,1,REGULAR,turnover,bad pass,[],1629001,,,1610612755,22,23,2022-11-27T23:27:43Z,1060000,False,,,0,,D. Melton bad pass TURNOVER (1 TO),"[1629001, 203082]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,1.0,Ross,203082.0
107,PT03M21.00S,2022-11-27T23:27:37.0Z,1,REGULAR,steal,,[],203082,,,1610612753,22,23,2022-11-27T23:27:39Z,1070000,False,,,0,,T. Ross STEAL (1 STL),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
108,PT03M15.00S,2022-11-27T23:27:43.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203082,22.813730327591163,87.5,1610612753,25,23,2022-11-27T23:27:52Z,1080000,False,-188.0,162.0,1,left,T. Ross 24' 3PT  (3 PTS) (G. Harris 4 AST),"[203082, 203914]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,Above the Break 3,24+ Left Center,,24.77,Made,,,,,,,3.0,G. Harris,203914.0,4.0,,,,,,,
110,PT03M13.00S,2022-11-27T23:27:53.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612755,25,23,2022-11-27T23:27:53Z,1100000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M58.00S,2022-11-27T23:30:52.0Z,1,REGULAR,turnover,bad pass,[],1630194,,,1610612755,25,23,2022-11-27T23:30:57Z,1110000,False,,,0,,P. Reed bad pass TURNOVER (2 TO),"[1630194, 203082]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,2.0,Ross,203082.0
112,PT02M58.00S,2022-11-27T23:30:52.0Z,1,REGULAR,steal,,[],203082,,,1610612753,25,23,2022-11-27T23:31:37Z,1120000,False,,,0,,T. Ross STEAL (2 STL),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
113,PT02M56.00S,2022-11-27T23:30:55.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203082,5.730944519443988,49.01960784313725,1610612753,27,23,2022-11-27T23:31:07Z,1130000,False,5.0,1.0,1,left,T. Ross running DUNK (5 PTS),[203082],1610612753.0,ORL,running,,,Ross,T. Ross,,,,,Restricted Area,0-8 Center,,0.51,Made,,,,,,,5.0,,,,,,,,,,
114,PT02M43.00S,2022-11-27T23:31:07.4Z,1,REGULAR,3pt,Jump Shot,[],1629001,70.5141245457252,76.47058823529412,1610612755,27,23,2022-11-27T23:31:13Z,1140000,False,132.0,225.0,1,right,MISS D. Melton 26' 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,26.08,Missed,,,,,,,,,,,,,,,,,
115,PT02M38.00S,2022-11-27T23:31:12.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,27,23,2022-11-27T23:31:13Z,1150000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,,,114.0,1.0,1.0,0.0,,,,,,,,,,,
116,PT02M34.00S,2022-11-27T23:31:17.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630181,6.519380787512318,53.67647058823529,1610612753,29,23,2022-11-27T23:34:01Z,1160000,False,-18.0,9.0,1,left,R. Hampton cutting Layup (2 PTS) (P. Banchero 1 AST),"[1630181, 1631094]",1610612753.0,ORL,cutting,,,Hampton,R. Hampton,,,,,Restricted Area,0-8 Center,,2.04,Made,,,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,,,
118,PT02M34.00S,2022-11-27T23:31:20.8Z,1,REGULAR,foul,personal,['1freethrow'],1627777,,,1610612753,29,23,2022-11-27T23:31:31Z,1180000,False,,,0,,G. Niang shooting personal FOUL (2 PF) (Hampton 1 FT),"[1627777, 1630181]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,1155.0,,,,,,,,,,,,,2.0,0.0,Hampton,1630181.0,,,
120,PT02M34.00S,2022-11-27T23:31:36.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,29,23,2022-11-27T23:31:37Z,1200000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M34.00S,2022-11-27T23:33:14.2Z,1,REGULAR,freethrow,1 of 1,[],1630181,,,1610612753,30,23,2022-11-27T23:33:14Z,1210000,False,,,0,,R. Hampton Free Throw 1 of 1 (3 PTS),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
122,PT02M20.00S,2022-11-27T23:33:29.7Z,1,REGULAR,2pt,Jump Shot,[],1627788,78.66129931576462,45.09803921568628,1610612755,30,25,2022-11-27T23:33:36Z,1220000,False,-25.0,148.0,1,right,F. Korkmaz 15' step back Jump Shot (2 PTS),[1627788],1610612755.0,PHI,step back,,,Korkmaz,F. Korkmaz,,,,,Mid-Range,8-16 Center,,15.01,Made,,,,,,,2.0,,,,,,,,,,
123,PT02M02.00S,2022-11-27T23:33:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,13.483901155449244,34.31372549019608,1610612753,30,25,2022-11-27T23:33:54Z,1230000,False,78.0,74.0,1,left,MISS P. Banchero 10' Jump Shot - blocked,"[1631094, 1629001]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Right,,10.79,Missed,Melton,1629001.0,,,,,,,,,,,,,,,
124,PT02M02.00S,2022-11-27T23:33:48.7Z,1,REGULAR,block,,[],1629001,,,1610612753,30,25,2022-11-27T23:33:51Z,1240000,False,,,0,,D. Melton BLOCK (1 BLK),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
125,PT01M58.00S,2022-11-27T23:33:52.7Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,30,25,2022-11-27T23:33:54Z,1250000,False,,,0,,P. Reed REBOUND (Off:0 Def:2),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Right,,,,,,123.0,2.0,2.0,0.0,,,,,,,,,,,
126,PT01M51.00S,2022-11-27T23:33:59.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630194,93.77299445374096,51.225490196078425,1610612755,30,27,2022-11-27T23:34:03Z,1260000,False,6.0,6.0,1,right,P. Reed cutting DUNK (2 PTS) (F. Korkmaz 2 AST),"[1630194, 1627788]",1610612755.0,PHI,cutting,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,0.86,Made,,,,,,,2.0,F. Korkmaz,1627788.0,2.0,,,,,,,
128,PT01M32.00S,2022-11-27T23:34:17.5Z,1,REGULAR,turnover,bad pass,[],203082,,,1610612753,30,27,2022-11-27T23:34:23Z,1280000,False,,,0,,T. Ross bad pass TURNOVER (1 TO),"[203082, 1629001]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Melton,1629001.0
129,PT01M32.00S,2022-11-27T23:34:17.5Z,1,REGULAR,steal,,[],1629001,,,1610612755,30,27,2022-11-27T23:34:20Z,1290000,False,,,0,,D. Melton STEAL (1 STL),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
130,PT01M27.00S,2022-11-27T23:34:22.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627863,91.53909169421402,52.69607843137255,1610612755,30,29,2022-11-27T23:34:46Z,1300000,False,13.0,27.0,1,right,D. House Jr. running DUNK (2 PTS) (D. Melton 1 AST),"[1627863, 1629001]",1610612755.0,PHI,running,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,3.02,Made,,,,,,,2.0,D. Melton,1629001.0,1.0,,,,,,,
132,PT01M27.00S,2022-11-27T23:34:37.9Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1631094,,,1610612755,30,29,2022-11-27T23:34:50Z,1320000,False,,,0,,P. Banchero shooting personal FOUL (2 PF) (House Jr. 1 FT),"[1631094, 1627863]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1155.0,,,,,,,,,,,,,2.0,0.0,House Jr.,1627863.0,,,
134,PT01M27.00S,2022-11-27T23:35:06.9Z,1,REGULAR,substitution,out,[],1631094,,,1610612755,30,29,2022-11-27T23:35:59Z,1340000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M27.00S,2022-11-27T23:35:06.9Z,1,REGULAR,substitution,out,[],203914,,,1610612755,30,29,2022-11-27T23:35:59Z,1350000,False,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M27.00S,2022-11-27T23:35:06.9Z,1,REGULAR,substitution,out,[],1629001,,,1610612755,30,29,2022-11-27T23:35:59Z,1360000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M27.00S,2022-11-27T23:35:06.9Z,1,REGULAR,substitution,in,[],1631216,,,1610612755,30,29,2022-11-27T23:35:59Z,1370000,False,,,0,,SUB in: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M27.00S,2022-11-27T23:35:06.9Z,1,REGULAR,substitution,in,[],1629678,,,1610612755,30,29,2022-11-27T23:35:59Z,1380000,False,,,0,,SUB in: A. Schofield,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M27.00S,2022-11-27T23:35:06.9Z,1,REGULAR,substitution,in,[],1629003,,,1610612755,30,29,2022-11-27T23:35:59Z,1390000,False,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M27.00S,2022-11-27T23:35:35.7Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1627863,,,1610612755,30,30,2022-11-27T23:35:35Z,1400000,False,,,0,,D. House Jr. Free Throw 1 of 1 (3 PTS),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
141,PT01M08.00S,2022-11-27T23:35:57.7Z,1,REGULAR,turnover,bad pass,[],203082,,,1610612753,30,30,2022-11-27T23:36:02Z,1410000,False,,,0,,T. Ross bad pass TURNOVER (2 TO),"[203082, 1627777]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,2.0,Niang,1627777.0
142,PT01M08.00S,2022-11-27T23:35:57.7Z,1,REGULAR,steal,,[],1627777,,,1610612755,30,30,2022-11-27T23:35:59Z,1420000,False,,,0,,G. Niang STEAL (1 STL),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
143,PT01M05.00S,2022-11-27T23:36:02.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631216,,,1610612755,30,30,2022-11-27T23:36:11Z,1430000,False,,,0,,C. Houstan shooting personal FOUL (1 PF) (Korkmaz 2 FT),"[1631216, 1627788]",1610612753.0,ORL,shooting,,,Houstan,C. Houstan,,,,,Mid-Range,8-16 Right,202041.0,,,,,,,,,,,,,1.0,0.0,Korkmaz,1627788.0,,,
145,PT01M05.00S,2022-11-27T23:36:27.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627788,,,1610612755,30,30,2022-11-27T23:36:27Z,1450000,False,,,0,,MISS F. Korkmaz Free Throw 1 of 2,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
146,PT01M05.00S,2022-11-27T23:36:27.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,30,30,2022-11-27T23:36:27Z,1460000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,
147,PT01M05.00S,2022-11-27T23:36:45.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627788,,,1610612755,30,31,2022-11-27T23:36:45Z,1470000,False,,,0,,F. Korkmaz Free Throw 2 of 2 (3 PTS),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
148,PT00M47.20S,2022-11-27T23:37:06.7Z,1,REGULAR,foul,offensive,['inpenalty'],1629021,,,1610612753,30,31,2022-11-27T23:37:19Z,1480000,False,,,0,,M. Wagner charge offensive FOUL (2 PF),"[1629021, 1627777]",1610612753.0,ORL,charge,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,202041.0,,,,,,,,,,,,,2.0,0.0,Niang,1627777.0,,,
150,PT00M47.20S,2022-11-27T23:37:06.7Z,1,REGULAR,turnover,offensive foul,[],1629021,,,1610612753,30,31,2022-11-27T23:37:06Z,1500000,False,,,0,,M. Wagner offensive foul TURNOVER (1 TO),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,202041.0,,,,,,,,,,,,,,,,,1.0,,
152,PT00M43.10S,2022-11-27T23:37:44.1Z,1,REGULAR,foul,technical,['1freethrow'],1627863,,,1610612755,30,31,2022-11-27T23:37:54Z,1520000,False,,,0,,D. House Jr. technical FOUL (1 Tech),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Mid-Range,8-16 Left,1155.0,,,,,,,,,,,,,0.0,1.0,,,,,
153,PT00M43.10S,2022-11-27T23:37:58.8Z,1,REGULAR,freethrow,1 of 1,[],203082,,,1610612755,30,31,2022-11-27T23:37:58Z,1530000,False,,,0,,MISS T. Ross technical Free Throw 1 of 1,[203082],1610612753.0,ORL,technical,,,Ross,T. Ross,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
154,PT00M43.10S,2022-11-27T23:37:58.8Z,1,REGULAR,rebound,defensive,"['deadball', 'team']",0,,,1610612755,30,31,2022-11-27T23:37:58Z,1540000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,
155,PT00M32.20S,2022-11-27T23:38:22.2Z,1,REGULAR,turnover,backcourt,[],1627788,,,1610612755,30,31,2022-11-27T23:38:32Z,1550000,False,,,0,,F. Korkmaz backcourt TURNOVER (1 TO),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,Above the Break 3,24+ Center,1155.0,,,,,,,,,,,,,,,,,1.0,,
156,PT00M28.80S,2022-11-27T23:38:43.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629021,6.650786832190375,55.392156862745104,1610612753,32,31,2022-11-27T23:38:50Z,1560000,False,-27.0,10.0,1,left,M. Wagner driving Layup (4 PTS) (C. Houstan 1 AST),"[1629021, 1631216]",1610612753.0,ORL,driving,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,,2.88,Made,,,,,,,4.0,C. Houstan,1631216.0,1.0,,,,,,,
158,PT00M20.30S,2022-11-27T23:38:54.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627777,85.75722572837961,44.85294117647059,1610612755,32,33,2022-11-27T23:39:00Z,1580000,False,-26.0,81.0,1,right,G. Niang 8' turnaround Hook (2 PTS) (S. Milton 1 AST),"[1627777, 1629003]",1610612755.0,PHI,turnaround,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Center,,8.54,Made,,,,,,,2.0,S. Milton,1629003.0,1.0,,,,,,,
159,PT00M02.30S,2022-11-27T23:39:20.7Z,1,REGULAR,turnover,traveling,[],1629021,,,1610612753,32,33,2022-11-27T23:39:40Z,1590000,False,,,0,,M. Wagner traveling TURNOVER (2 TO),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),8-16 Center,202041.0,,,,,,,,,,,,,,,,,2.0,,
161,PT00M00.50S,2022-11-27T23:39:37.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627788,67.88600365216409,68.87254901960785,1610612755,32,36,2022-11-27T23:42:11Z,1600000,False,94.0,249.0,1,right,F. Korkmaz 26' 3PT  (6 PTS) (G. Niang 1 AST),"[1627788, 1627777]",1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,Above the Break 3,24+ Right Center,,26.67,Made,,,,,,,6.0,G. Niang,1627777.0,1.0,,,,,,,
163,PT00M00.00S,2022-11-27T23:39:41.0Z,1,REGULAR,period,end,[],0,,,1610612753,32,36,2022-11-27T23:39:41Z,1620000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-11-27T23:42:21.0Z,2,REGULAR,period,start,[],0,,,1610612755,32,36,2022-11-27T23:42:21Z,1640000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M48.00S,2022-11-27T23:42:32.1Z,2,REGULAR,turnover,bad pass,[],1629003,,,1610612755,32,36,2022-11-27T23:42:36Z,1650000,False,,,0,,S. Milton bad pass TURNOVER (1 TO),"[1629003, 1630181]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Hampton,1630181.0
167,PT11M48.00S,2022-11-27T23:42:32.1Z,2,REGULAR,steal,,[],1630181,,,1610612753,32,36,2022-11-27T23:42:34Z,1660000,False,,,0,,R. Hampton STEAL (1 STL),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
168,PT11M31.00S,2022-11-27T23:42:49.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203082,18.608736897893397,55.88235294117647,1610612753,34,36,2022-11-27T23:42:55Z,1670000,False,-29.0,122.0,1,left,T. Ross 12' pullup Jump Shot (7 PTS) (M. Wagner 2 AST),"[203082, 1629021]",1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,In The Paint (Non-RA),8-16 Center,,12.59,Made,,,,,,,7.0,M. Wagner,1629021.0,2.0,,,,,,,
170,PT11M21.00S,2022-11-27T23:42:58.9Z,2,REGULAR,3pt,Jump Shot,[],1627777,85.75722572837961,2.941176470588235,1610612755,34,36,2022-11-27T23:43:05Z,1690000,False,-235.0,81.0,1,right,MISS G. Niang 24' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Left Corner 3,24+ Left,,24.9,Missed,,,,,,,,,,,,,,,,,
171,PT11M17.00S,2022-11-27T23:43:02.9Z,2,REGULAR,rebound,defensive,[],1631216,,,1610612753,34,36,2022-11-27T23:43:05Z,1700000,False,,,0,,C. Houstan REBOUND (Off:0 Def:1),[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Left Corner 3,24+ Left,,,,,,170.0,1.0,1.0,0.0,,,,,,,,,,,
172,PT10M57.00S,2022-11-27T23:43:23.0Z,2,REGULAR,2pt,Hook,[],203082,7.4392231002587055,33.33333333333333,1610612753,34,36,2022-11-27T23:43:29Z,1710000,False,83.0,17.0,1,left,MISS T. Ross 8' driving Hook,[203082],1610612753.0,ORL,driving,,,Ross,T. Ross,,,,,Mid-Range,8-16 Right,,8.51,Missed,,,,,,,,,,,,,,,,,
173,PT10M55.00S,2022-11-27T23:43:25.3Z,2,REGULAR,rebound,offensive,[],1629021,,,1610612753,34,36,2022-11-27T23:43:25Z,1720000,False,,,0,,M. Wagner REBOUND (Off:1 Def:0),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Mid-Range,8-16 Right,,,,,,172.0,1.0,0.0,1.0,,,,,,,,,,,
174,PT10M53.00S,2022-11-27T23:43:27.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629021,28.858408382781704,27.941176470588236,1610612753,34,36,2022-11-27T23:43:33Z,1730000,False,110.0,219.0,1,left,MISS M. Wagner 24' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Right Center,,24.5,Missed,,,,,,,,,,,,,,,,,
175,PT10M48.00S,2022-11-27T23:43:31.6Z,2,REGULAR,rebound,offensive,[],1629678,,,1610612753,34,36,2022-11-27T23:43:31Z,1740000,False,,,0,,A. Schofield REBOUND (Off:1 Def:0),[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,Above the Break 3,24+ Right Center,,,,,,174.0,1.0,0.0,1.0,,,,,,,,,,,
