actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
90,PT05M27.00S,2022-03-01T01:23:59.7Z,1,REGULAR,3pt,Jump Shot,[],1629001,23.73521681997372,12.254901960784313,1610612763,19,17,2022-03-01T01:24:04Z,890000,189.0,171.0,1,left,D. Melton 25' 3PT  (3 PTS) (K. Anderson 1 AST),"[1629001, 203937]",1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,25.44,Made,3.0,,,,K. Anderson,203937.0,1.0,,,,,,,,,
92,PT05M15.00S,2022-03-01T01:24:11.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,74.32654402102497,15.686274509803921,1610612759,19,17,2022-03-01T01:24:15Z,910000,-172.0,189.0,1,right,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,25.51,Missed,,,,,,,,,,,,,,,,
93,PT05M12.00S,2022-03-01T01:24:14.2Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,19,17,2022-03-01T01:24:15Z,920000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,92.0,,,,1.0,1.0,0.0,,,,,,
94,PT05M08.00S,2022-03-01T01:24:18.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629001,26.49474375821288,17.892156862745097,1610612763,22,17,2022-03-01T01:24:22Z,930000,161.0,197.0,1,left,D. Melton 25' 3PT running (6 PTS) (K. Anderson 2 AST),"[1629001, 203937]",1610612763.0,MEM,running,,,Melton,D. Melton,,,,,,,,25.38,Made,6.0,,,,K. Anderson,203937.0,2.0,,,,,,,,,
96,PT04M57.00S,2022-03-01T01:24:32.4Z,1,REGULAR,foul,personal,['2freethrow'],1629630,,,1610612759,22,17,2022-03-01T01:24:43Z,950000,,,0,,J. Morant shooting personal FOUL (1 PF) (Murray 2 FT),"[1629630, 1627749]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Murray,1627749.0,
98,PT04M57.00S,2022-03-01T01:24:59.6Z,1,REGULAR,freethrow,1 of 2,[],1627749,,,1610612759,22,18,2022-03-01T01:24:59Z,970000,,,0,,D. Murray Free Throw 1 of 2 (3 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
99,PT04M57.00S,2022-03-01T01:25:01.5Z,1,REGULAR,substitution,out,[],1629640,,,1610612759,22,18,2022-03-01T01:25:08Z,980000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M57.00S,2022-03-01T01:25:01.5Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,22,18,2022-03-01T01:25:08Z,990000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M57.00S,2022-03-01T01:25:01.5Z,1,REGULAR,substitution,in,[],1628966,,,1610612759,22,18,2022-03-01T01:25:08Z,1000000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M57.00S,2022-03-01T01:25:01.5Z,1,REGULAR,substitution,in,[],1630563,,,1610612759,22,18,2022-03-01T01:25:08Z,1010000,,,0,,SUB in: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M57.00S,2022-03-01T01:25:17.2Z,1,REGULAR,freethrow,2 of 2,[],1627749,,,1610612759,22,19,2022-03-01T01:25:17Z,1020000,,,0,,D. Murray Free Throw 2 of 2 (4 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
104,PT04M52.00S,2022-03-01T01:25:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,6.258212877792378,49.26470588235294,1610612763,24,19,2022-03-01T01:27:14Z,1030000,4.0,6.0,1,left,J. Morant running finger roll Layup (12 PTS),[1629630],1610612763.0,MEM,running finger roll,,,Morant,J. Morant,,,,,,,,0.73,Made,12.0,,,,,,,,,,,,,,,
105,PT04M39.00S,2022-03-01T01:25:35.6Z,1,REGULAR,3pt,Jump Shot,[],1629022,83.65637319316689,93.87254901960785,1610612759,24,19,2022-03-01T01:25:38Z,1040000,219.0,101.0,1,right,MISS L. Walker IV 24' 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,24.16,Missed,,,,,,,,,,,,,,,,
106,PT04M36.00S,2022-03-01T01:25:38.6Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,24,19,2022-03-01T01:25:38Z,1050000,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,105.0,,,,1.0,1.0,0.0,,,,,,
107,PT04M25.00S,2022-03-01T01:25:50.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,12.171484888304862,48.77450980392157,1610612763,26,19,2022-03-01T01:25:54Z,1060000,6.0,62.0,1,left,K. Anderson 6' driving floating Jump Shot (2 PTS) (S. Adams 1 AST),"[203937, 203500]",1610612763.0,MEM,driving floating,,,Anderson,K. Anderson,,,,,,,,6.22,Made,2.0,,,,S. Adams,203500.0,1.0,,,,,,,,,
109,PT04M13.00S,2022-03-01T01:26:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,90.3580814717477,45.09803921568628,1610612759,26,19,2022-03-01T01:26:09Z,1080000,-25.0,38.0,1,right,MISS D. Murray pullup bank Shot,[1627749],1610612759.0,SAS,pullup bank,,,Murray,D. Murray,,,,,,,,4.53,Missed,,,,,,,,,,,,,,,,
110,PT04M12.00S,2022-03-01T01:26:09.0Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,26,19,2022-03-01T01:26:09Z,1090000,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,109.0,,,,3.0,2.0,1.0,,,,,,
111,PT04M12.00S,2022-03-01T01:26:11.5Z,1,REGULAR,foul,personal,['2freethrow'],1629001,,,1610612759,26,19,2022-03-01T01:26:18Z,1100000,,,0,,D. Melton shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1629001, 1627751]",1610612763.0,MEM,shooting,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,202026.0,1.0,0.0,Poeltl,1627751.0,
113,PT04M12.00S,2022-03-01T01:26:38.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612759,26,19,2022-03-01T01:26:38Z,1120000,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,Missed,,,,,,,,,,,,,,,,
114,PT04M12.00S,2022-03-01T01:26:38.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,26,19,2022-03-01T01:26:38Z,1130000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,
115,PT04M12.00S,2022-03-01T01:27:24.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627751,,,1610612759,26,19,2022-03-01T01:27:24Z,1140000,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,Missed,,,,,,,,,,,,,,,,
116,PT04M10.00S,2022-03-01T01:27:25.4Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,26,19,2022-03-01T01:27:25Z,1150000,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,115.0,,,,2.0,2.0,0.0,,,,,,
117,PT03M57.00S,2022-03-01T01:27:38.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,6.389618922470433,50.73529411764706,1610612763,28,19,2022-03-01T01:32:21Z,1160000,-4.0,8.0,1,left,S. Adams cutting DUNK (2 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,cutting,,,Adams,S. Adams,,,,,,,,0.85,Made,2.0,,,,J. Morant,1629630.0,1.0,,,,,,,,,
119,PT03M46.00S,2022-03-01T01:27:48.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,67.36202365308804,41.42156862745098,1610612759,28,19,2022-03-01T01:27:51Z,1180000,-43.0,254.0,1,right,MISS D. Murray 25' pullup 3PT,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,,25.79,Missed,,,,,,,,,,,,,,,,
120,PT03M45.00S,2022-03-01T01:27:49.3Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,28,19,2022-03-01T01:27:51Z,1190000,,,0,,K. Anderson REBOUND (Off:0 Def:3),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,119.0,,,,3.0,3.0,0.0,,,,,,
121,PT03M33.00S,2022-03-01T01:28:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,12.040078843626807,50.98039215686274,1610612763,30,19,2022-03-01T01:28:07Z,1200000,-5.0,61.0,1,left,J. Morant 6' fadeaway Jump Shot (14 PTS),[1629630],1610612763.0,MEM,fadeaway,,,Morant,J. Morant,,,,,,,,6.09,Made,14.0,,,,,,,,,,,,,,,
122,PT03M18.00S,2022-03-01T01:28:16.3Z,1,REGULAR,2pt,Jump Shot,[],1629022,76.16622864651774,67.64705882352942,1610612759,30,21,2022-03-01T01:28:23Z,1210000,88.0,172.0,1,right,L. Walker IV 19' pullup Jump Shot (2 PTS),[1629022],1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,,,,19.29,Made,2.0,,,,,,,,,,,,,,,
123,PT03M13.00S,2022-03-01T01:28:23.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630563,,,1610612763,30,21,2022-03-01T01:28:36Z,1220000,,,0,,J. Primo shooting personal FOUL (1 PF) (Melton 2 FT),"[1630563, 1629001]",1610612759.0,SAS,shooting,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Melton,1629001.0,
125,PT03M13.00S,2022-03-01T01:28:59.4Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612763,30,21,2022-03-01T01:28:59Z,1240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M13.00S,2022-03-01T01:29:41.8Z,1,REGULAR,freethrow,1 of 2,[],1629001,,,1610612763,31,21,2022-03-01T01:35:08Z,1250000,,,0,,D. Melton Free Throw 1 of 2 (7 PTS),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
131,PT03M13.00S,2022-03-01T01:30:20.6Z,1,REGULAR,substitution,out,[],203500,,,1610612763,31,21,2022-03-01T01:32:28Z,1255000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M13.00S,2022-03-01T01:30:20.6Z,1,REGULAR,substitution,out,[],1630533,,,1610612763,31,21,2022-03-01T01:32:28Z,1257500,,,0,,SUB out: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M13.00S,2022-03-01T01:30:20.6Z,1,REGULAR,substitution,out,[],1627749,,,1610612763,31,21,2022-03-01T01:32:28Z,1258750,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT03M13.00S,2022-03-01T01:30:20.6Z,1,REGULAR,substitution,out,[],1627751,,,1610612763,31,21,2022-03-01T01:32:28Z,1259375,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT03M13.00S,2022-03-01T01:30:20.6Z,1,REGULAR,substitution,in,[],1629634,,,1610612763,31,21,2022-03-01T01:32:28Z,1259687,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT03M13.00S,2022-03-01T01:30:20.6Z,1,REGULAR,substitution,in,[],1626145,,,1610612763,31,21,2022-03-01T01:32:28Z,1259843,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT03M13.00S,2022-03-01T01:30:20.6Z,1,REGULAR,substitution,in,[],1630200,,,1610612763,31,21,2022-03-01T01:32:28Z,1259921,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT03M13.00S,2022-03-01T01:30:20.6Z,1,REGULAR,substitution,in,[],1628380,,,1610612763,31,21,2022-03-01T01:32:28Z,1259960,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M13.00S,2022-03-01T01:29:41.8Z,1,REGULAR,freethrow,2 of 2,[],1629001,,,1610612763,32,21,2022-03-01T01:35:08Z,1260000,,,0,,D. Melton Free Throw 2 of 2 (8 PTS),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
128,PT02M57.00S,2022-03-01T01:32:17.9Z,1,REGULAR,3pt,Jump Shot,[],1628966,91.01511169513797,3.6764705882352944,1610612759,32,21,2022-03-01T01:32:27Z,1270000,-232.0,32.0,1,right,MISS K. Bates-Diop 3PT - blocked,"[1628966, 203937]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,23.38,Missed,,Anderson,203937.0,,,,,,,,,,,,,
129,PT02M57.00S,2022-03-01T01:32:17.9Z,1,REGULAR,block,,[],203937,,,1610612759,32,21,2022-03-01T01:32:21Z,1280000,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M52.00S,2022-03-01T01:32:22.9Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,32,21,2022-03-01T01:32:27Z,1290000,,,0,,J. Morant REBOUND (Off:0 Def:3),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,128.0,,,,3.0,3.0,0.0,,,,,,
139,PT02M44.00S,2022-03-01T01:32:29.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626145,8.623521681997373,95.34313725490196,1610612763,32,21,2022-03-01T01:32:33Z,1300000,-227.0,29.0,1,left,MISS T. Jones 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,22.85,Missed,,,,,,,,,,,,,,,,
140,PT02M44.00S,2022-03-01T01:32:29.1Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,32,21,2022-03-01T01:32:33Z,1310000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,139.0,,,,1.0,1.0,0.0,,,,,,
141,PT02M34.00S,2022-03-01T01:32:40.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628966,94.56307490144546,50.73529411764706,1610612759,32,23,2022-03-01T01:37:22Z,1320000,4.0,-1.0,1,right,K. Bates-Diop DUNK (2 PTS) (L. Walker IV 1 AST),"[1628966, 1629022]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,0.4,Made,2.0,,,,L. Walker IV,1629022.0,1.0,,,,,,,,,
143,PT02M14.00S,2022-03-01T01:32:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629634,6.521024967148489,48.28431372549019,1610612763,34,23,2022-03-01T01:38:22Z,1340000,9.0,9.0,1,left,B. Clarke cutting Layup (2 PTS) (T. Jones 1 AST),"[1629634, 1626145]",1610612763.0,MEM,cutting,,,Clarke,B. Clarke,,,,,,,,1.23,Made,2.0,,,,T. Jones,1626145.0,1.0,,,,,,,,,
145,PT02M00.00S,2022-03-01T01:33:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629022,94.30026281208936,51.225490196078425,1610612759,34,23,2022-03-01T01:38:49Z,1360000,6.0,1.0,1,right,MISS L. Walker IV cutting Layup,[1629022],1610612759.0,SAS,cutting,,,Walker IV,L. Walker IV,,,,,,,,0.62,Missed,,,,,,,,,,,,,,,,
146,PT02M00.00S,2022-03-01T01:33:14.1Z,1,REGULAR,rebound,offensive,[],1629022,,,1610612759,34,23,2022-03-01T01:33:18Z,1370000,,,0,,L. Walker IV REBOUND (Off:1 Def:0),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,145.0,,,,1.0,0.0,1.0,,,,,,
147,PT02M00.00S,2022-03-01T01:33:17.1Z,1,REGULAR,foul,personal,['2freethrow'],1629634,,,1610612759,34,23,2022-03-01T01:34:05Z,1380000,,,0,,B. Clarke shooting personal FOUL (1 PF) (Walker IV 2 FT),"[1629634, 1629022]",1610612763.0,MEM,shooting,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Walker IV,1629022.0,
149,PT02M00.00S,2022-03-01T01:33:27.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,34,23,2022-03-01T01:33:27Z,1400000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT02M00.00S,2022-03-01T01:36:16.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629022,,,1610612759,34,24,2022-03-01T01:36:16Z,1410000,,,0,,L. Walker IV Free Throw 1 of 2 (3 PTS),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
151,PT02M00.00S,2022-03-01T01:36:29.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629022,,,1610612759,34,25,2022-03-01T01:36:29Z,1420000,,,0,,L. Walker IV Free Throw 2 of 2 (4 PTS),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
152,PT01M43.00S,2022-03-01T01:36:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,5.995400788436268,50.98039215686274,1610612763,34,25,2022-03-01T01:36:52Z,1430000,-5.0,4.0,1,left,MISS T. Jones driving floating bank Shot,[1626145],1610612763.0,MEM,driving floating bank,,,Jones,T. Jones,,,,,,,,0.63,Missed,,,,,,,,,,,,,,,,
153,PT01M40.00S,2022-03-01T01:36:52.2Z,1,REGULAR,rebound,defensive,[],1630563,,,1610612759,34,25,2022-03-01T01:36:52Z,1440000,,,0,,J. Primo REBOUND (Off:0 Def:1),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,152.0,,,,1.0,1.0,0.0,,,,,,
154,PT01M38.00S,2022-03-01T01:36:55.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630563,92.9862023653088,45.588235294117645,1610612759,34,25,2022-03-01T01:37:15Z,1450000,-22.0,13.0,1,right,MISS J. Primo running finger roll Layup - blocked,"[1630563, 1629001]",1610612759.0,SAS,running finger roll,,,Primo,J. Primo,,,,,,,,2.58,Missed,,Melton,1629001.0,,,,,,,,,,,,,
155,PT01M38.00S,2022-03-01T01:36:55.0Z,1,REGULAR,block,,[],1629001,,,1610612759,34,25,2022-03-01T01:36:57Z,1460000,,,0,,D. Melton BLOCK (1 BLK),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT01M38.00S,2022-03-01T01:36:55.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,34,25,2022-03-01T01:37:15Z,1470000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,154.0,,,,,,,,,,,,
157,PT01M38.00S,2022-03-01T01:36:59.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,34,25,2022-03-01T01:36:59Z,1480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT01M38.00S,2022-03-01T01:36:59.9Z,1,REGULAR,substitution,out,[],1629630,,,1610612759,34,25,2022-03-01T01:37:05Z,1490000,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M38.00S,2022-03-01T01:36:59.9Z,1,REGULAR,substitution,in,[],1630217,,,1610612759,34,25,2022-03-01T01:37:05Z,1500000,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT01M35.00S,2022-03-01T01:37:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628380,91.67214191852825,49.50980392156863,1610612759,34,27,2022-03-01T01:37:40Z,1510000,-2.0,26.0,1,right,Z. Collins Layup (2 PTS) (T. Jones 1 AST),"[1628380, 1630200]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,2.59,Made,2.0,,,,T. Jones,1630200.0,1.0,,,,,,,,,
162,PT01M19.00S,2022-03-01T01:37:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629634,18.478975032851512,58.333333333333336,1610612763,36,27,2022-03-01T01:37:37Z,1530000,-42.0,121.0,1,left,B. Clarke 12' Jump Shot (4 PTS) (K. Anderson 3 AST),"[1629634, 203937]",1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,12.82,Made,4.0,,,,K. Anderson,203937.0,3.0,,,,,,,,,
164,PT01M05.00S,2022-03-01T01:37:46.6Z,1,REGULAR,2pt,Jump Shot,[],1629022,76.42904073587385,59.068627450980394,1610612759,36,29,2022-03-01T01:40:04Z,1550000,45.0,169.0,1,right,L. Walker IV 17' pullup Jump Shot (6 PTS) (Z. Collins 1 AST),"[1629022, 1628380]",1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,,,,17.51,Made,6.0,,,,Z. Collins,1628380.0,1.0,,,,,,,,,
166,PT00M56.20S,2022-03-01T01:37:58.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,11.777266754270697,50.245098039215684,1610612763,38,29,2022-03-01T01:38:01Z,1570000,-1.0,58.0,1,left,T. Jones driving floating Jump Shot (2 PTS),[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,,,,5.82,Made,2.0,,,,,,,,,,,,,,,
167,PT00M46.70S,2022-03-01T01:38:08.1Z,1,REGULAR,2pt,Jump Shot,[],1629022,73.53810775295663,58.08823529411765,1610612759,38,31,2022-03-01T01:41:14Z,1580000,40.0,196.0,1,right,L. Walker IV 20' step back Jump Shot (8 PTS),[1629022],1610612759.0,SAS,step back,,,Walker IV,L. Walker IV,,,,,,,,20.03,Made,8.0,,,,,,,,,,,,,,,
168,PT00M38.20S,2022-03-01T01:38:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629001,13.354139290407357,51.225490196078425,1610612763,40,31,2022-03-01T01:38:23Z,1590000,-6.0,73.0,1,left,D. Melton 7' driving floating Jump Shot (10 PTS),[1629001],1610612763.0,MEM,driving floating,,,Melton,D. Melton,,,,,,,,7.33,Made,10.0,,,,,,,,,,,,,,,
169,PT00M24.30S,2022-03-01T01:38:36.2Z,1,REGULAR,3pt,Jump Shot,[],1629022,66.44218134034165,50.0,1610612759,40,34,2022-03-01T01:38:39Z,1600000,0.0,263.0,1,right,L. Walker IV 26' 3PT pullup (11 PTS),[1629022],1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,,,,26.29,Made,11.0,,,,,,,,,,,,,,,
170,PT00M00.70S,2022-03-01T01:39:03.4Z,1,REGULAR,2pt,Jump Shot,[],1626145,18.74178712220762,32.59803921568628,1610612763,42,34,2022-03-01T01:39:06Z,1610000,87.0,124.0,1,left,T. Jones 15' pullup Jump Shot (4 PTS) (D. Bane 3 AST),"[1626145, 1630217]",1610612763.0,MEM,pullup,,,Jones,T. Jones,,,,,,,,15.12,Made,4.0,,,,D. Bane,1630217.0,3.0,,,,,,,,,
172,PT00M00.00S,2022-03-01T01:39:12.4Z,1,REGULAR,period,end,[],0,,,1610612759,42,34,2022-03-01T01:39:12Z,1630000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-03-01T01:41:16.2Z,2,REGULAR,substitution,out,['startperiod'],1629001,,,1610612759,42,34,2022-03-01T01:41:35Z,1640000,,,0,,SUB out: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-03-01T01:41:16.2Z,2,REGULAR,substitution,out,['startperiod'],203937,,,1610612759,42,34,2022-03-01T01:41:35Z,1650000,,,0,,SUB out: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2022-03-01T01:41:16.2Z,2,REGULAR,substitution,out,['startperiod'],1630563,,,1610612759,42,34,2022-03-01T01:41:35Z,1660000,,,0,,SUB out: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2022-03-01T01:41:16.2Z,2,REGULAR,substitution,out,['startperiod'],1628966,,,1610612759,42,34,2022-03-01T01:41:35Z,1670000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2022-03-01T01:41:16.2Z,2,REGULAR,substitution,in,['startperiod'],1628991,,,1610612759,42,34,2022-03-01T01:41:35Z,1680000,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2022-03-01T01:41:16.2Z,2,REGULAR,substitution,in,['startperiod'],1629681,,,1610612759,42,34,2022-03-01T01:41:35Z,1690000,,,0,,SUB in: K. Tillie,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,,,,,,,,,,,,,,,,
