actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
61,PT07M37.00S,2022-01-22T00:17:27.4Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,7,14,2022-01-22T00:20:37Z,610000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M37.00S,2022-01-22T00:17:27.4Z,1,REGULAR,substitution,in,[],203082,,,1610612753,7,14,2022-01-22T00:20:37Z,620000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M37.00S,2022-01-22T00:17:27.4Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,7,14,2022-01-22T00:20:37Z,630000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M20.00S,2022-01-22T00:20:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,6.258212877792378,43.13725490196079,1610612753,9,14,2022-01-22T00:20:45Z,640000,34.0,6.0,1,left,G. Harris driving Layup (2 PTS) (T. Ross 1 AST),"[203914, 203082]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,3.49,Made,,,,,,,,,,,,2.0,,,,T. Ross,203082.0,1.0,
66,PT07M13.00S,2022-01-22T00:20:50.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,9,14,2022-01-22T00:20:50Z,660000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M13.00S,2022-01-22T00:21:05.9Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612747,9,14,2022-01-22T00:21:05Z,670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M06.00S,2022-01-22T00:21:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,90.3580814717477,53.18627450980392,1610612747,9,16,2022-01-22T00:22:39Z,680000,16.0,38.0,1,right,R. Westbrook cutting Layup (4 PTS) (L. James 1 AST),"[201566, 2544]",1610612747.0,LAL,cutting,,,Westbrook,R. Westbrook,,,,,4.13,Made,,,,,,,,,,,,4.0,,,,L. James,2544.0,1.0,
70,PT06M43.00S,2022-01-22T00:22:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203082,6.258212877792378,53.18627450980392,1610612753,11,16,2022-01-22T00:22:19Z,700000,-16.0,6.0,1,left,T. Ross driving Layup (2 PTS),[203082],1610612753.0,ORL,driving,,,Ross,T. Ross,,,,,1.71,Made,,,,,,,,,,,,2.0,,,,,,,
71,PT06M22.00S,2022-01-22T00:22:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,84.44480946123521,62.745098039215684,1610612747,11,16,2022-01-22T00:22:42Z,710000,64.0,94.0,1,right,MISS R. Westbrook 11' fadeaway Shot,[201566],1610612747.0,LAL,fadeaway,,,Westbrook,R. Westbrook,,,,,11.33,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M20.00S,2022-01-22T00:22:37.7Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,11,16,2022-01-22T00:22:42Z,720000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,
