actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
91,PT03M35.00S,2022-04-01T23:25:12.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,17,24,2022-04-01T23:25:12Z,910000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M35.00S,2022-04-01T23:25:14.6Z,1,REGULAR,substitution,out,[],1630175,,,1610612753,17,24,2022-04-01T23:25:38Z,920000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M35.00S,2022-04-01T23:25:14.6Z,1,REGULAR,substitution,out,[],1628384,,,1610612753,17,24,2022-04-01T23:25:38Z,930000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M35.00S,2022-04-01T23:25:14.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612753,17,24,2022-04-01T23:25:38Z,940000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M35.00S,2022-04-01T23:25:14.6Z,1,REGULAR,substitution,in,[],1628365,,,1610612753,17,24,2022-04-01T23:25:38Z,950000,,,0,,SUB in: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M35.00S,2022-04-01T23:25:14.6Z,1,REGULAR,substitution,in,[],1630173,,,1610612753,17,24,2022-04-01T23:25:38Z,960000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M35.00S,2022-04-01T23:25:14.6Z,1,REGULAR,substitution,in,[],1628449,,,1610612753,17,24,2022-04-01T23:25:38Z,970000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M23.00S,2022-04-01T23:25:49.3Z,1,REGULAR,3pt,Jump Shot,[],1628964,29.6484888304862,23.284313725490197,1610612753,20,24,2022-04-01T23:25:53Z,980000,134.0,226.0,1,left,M. Bamba 26' 3PT  (9 PTS) (M. Fultz 1 AST),"[1628964, 1628365]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,26.27,Made,9.0,,M. Fultz,1628365.0,1.0,,,,,,,,,
100,PT03M03.00S,2022-04-01T23:26:08.4Z,1,REGULAR,3pt,Jump Shot,[],1630173,68.41327201051249,29.411764705882355,1610612761,20,24,2022-04-01T23:26:13Z,1000000,-103.0,244.0,1,right,MISS P. Achiuwa 26' 3PT,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,26.52,Missed,,,,,,,,,,,,,,
101,PT03M00.00S,2022-04-01T23:26:11.4Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,20,24,2022-04-01T23:26:13Z,1010000,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0,0.0,,,
102,PT02M54.00S,2022-04-01T23:26:16.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629649,2.578843626806833,93.87254901960785,1610612753,23,24,2022-04-01T23:26:26Z,1020000,-219.0,-28.0,1,left,I. Brazdeikis 3PT running (9 PTS) (M. Fultz 2 AST),"[1629649, 1628365]",1610612753.0,ORL,running,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,22.12,Made,9.0,,M. Fultz,1628365.0,2.0,,,,,,,,,
104,PT02M34.00S,2022-04-01T23:26:36.8Z,1,REGULAR,2pt,Jump Shot,[],1627832,73.80091984231275,57.84313725490197,1610612761,23,24,2022-04-01T23:26:52Z,1040000,39.0,194.0,1,right,MISS F. VanVleet 19' step back Shot,[1627832],1610612761.0,TOR,step back,,,VanVleet,F. VanVleet,,,,,,,,,,19.77,Missed,,,,,,,,,,,,,,
105,PT02M31.00S,2022-04-01T23:26:39.8Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612753,23,24,2022-04-01T23:26:52Z,1050000,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,104.0,1.0,1.0,0.0,,,
106,PT02M28.00S,2022-04-01T23:26:46.5Z,1,REGULAR,turnover,traveling,[],1630181,,,1610612753,23,24,2022-04-01T23:27:11Z,1060000,,,0,,R. Hampton traveling TURNOVER (1 TO),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,1627961.0,,,,,,,,1.0,,,,,,,,,,,,
107,PT02M28.00S,2022-04-01T23:26:58.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,23,24,2022-04-01T23:26:58Z,1070000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M28.00S,2022-04-01T23:26:59.0Z,1,REGULAR,substitution,out,[],1629643,,,1610612761,23,24,2022-04-01T23:29:32Z,1080000,,,0,,SUB out: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M28.00S,2022-04-01T23:26:59.0Z,1,REGULAR,substitution,out,[],1628964,,,1610612761,23,24,2022-04-01T23:29:32Z,1090000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M28.00S,2022-04-01T23:26:59.0Z,1,REGULAR,substitution,out,[],1629649,,,1610612761,23,24,2022-04-01T23:29:32Z,1100000,,,0,,SUB out: I. Brazdeikis,[1629649],1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M28.00S,2022-04-01T23:26:59.0Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,23,24,2022-04-01T23:29:32Z,1110000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M28.00S,2022-04-01T23:26:59.0Z,1,REGULAR,substitution,in,[],1629962,,,1610612761,23,24,2022-04-01T23:29:32Z,1120000,,,0,,SUB in: D. Cannady,[1629962],1610612753.0,ORL,,,,Cannady,D. Cannady,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M28.00S,2022-04-01T23:26:59.0Z,1,REGULAR,substitution,in,[],1629021,,,1610612761,23,24,2022-04-01T23:29:32Z,1130000,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M28.00S,2022-04-01T23:26:59.0Z,1,REGULAR,substitution,in,[],1629678,,,1610612761,23,24,2022-04-01T23:29:32Z,1140000,,,0,,SUB in: A. Schofield,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M28.00S,2022-04-01T23:26:59.0Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,23,24,2022-04-01T23:29:32Z,1150000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M13.00S,2022-04-01T23:29:59.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,92.85479632063075,95.34313725490196,1610612761,23,27,2022-04-01T23:30:06Z,1160000,227.0,15.0,1,right,F. VanVleet 3PT step back (3 PTS),[1627832],1610612761.0,TOR,step back,,,VanVleet,F. VanVleet,,,,,,,,,,22.72,Made,3.0,,,,,,,,,,,,,
117,PT01M56.00S,2022-04-01T23:30:16.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630181,7.440867279894875,57.84313725490197,1610612753,23,27,2022-04-01T23:30:22Z,1170000,-39.0,17.0,1,left,MISS R. Hampton driving DUNK - blocked,"[1630181, 1628449]",1610612753.0,ORL,driving,,,Hampton,R. Hampton,,,,,,,,,,4.29,Missed,,,,,,,,,,,,Boucher,1628449.0,
118,PT01M56.00S,2022-04-01T23:30:16.4Z,1,REGULAR,block,,[],1628449,,,1610612753,23,27,2022-04-01T23:30:19Z,1180000,,,0,,C. Boucher BLOCK (1 BLK),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M52.00S,2022-04-01T23:30:20.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,23,27,2022-04-01T23:30:22Z,1190000,,,0,,S. Barnes REBOUND (Off:2 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,117.0,3.0,1.0,2.0,,,
120,PT01M49.00S,2022-04-01T23:30:25.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,23,27,2022-04-01T23:30:25Z,1200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M32.00S,2022-04-01T23:30:51.7Z,1,REGULAR,3pt,Jump Shot,[],1628449,91.40932982917214,95.34313725490196,1610612761,23,27,2022-04-01T23:30:55Z,1210000,227.0,28.0,1,right,MISS C. Boucher 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,22.85,Missed,,,,,,,,,,,,,,
122,PT01M30.00S,2022-04-01T23:30:53.7Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,23,27,2022-04-01T23:30:55Z,1220000,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,121.0,1.0,0.0,1.0,,,
123,PT01M25.00S,2022-04-01T23:30:59.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,66.04796320630749,78.18627450980392,1610612761,23,27,2022-04-01T23:31:04Z,1230000,141.0,267.0,1,right,MISS F. VanVleet 30' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,30.15,Missed,,,,,,,,,,,,,,
124,PT01M21.00S,2022-04-01T23:31:03.9Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,23,27,2022-04-01T23:31:04Z,1240000,,,0,,M. Fultz REBOUND (Off:0 Def:2),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,123.0,2.0,2.0,0.0,,,
125,PT01M12.00S,2022-04-01T23:31:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628365,17.296320630749015,49.01960784313725,1610612753,23,27,2022-04-01T23:31:18Z,1250000,5.0,110.0,1,left,MISS M. Fultz 11' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,,,,,,11.02,Missed,,,,,,,,,,,,,,
126,PT01M09.00S,2022-04-01T23:31:15.0Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,23,27,2022-04-01T23:31:18Z,1260000,,,0,,P. Achiuwa REBOUND (Off:1 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,125.0,2.0,1.0,1.0,,,
127,PT00M59.70S,2022-04-01T23:31:24.8Z,1,REGULAR,3pt,Jump Shot,[],1627832,86.15308804204993,3.431372549019608,1610612761,23,27,2022-04-01T23:32:37Z,1270000,-233.0,78.0,1,right,MISS F. VanVleet 24' step back 3PT,[1627832],1610612761.0,TOR,step back,,,VanVleet,F. VanVleet,,,,,,,,,,24.54,Missed,,,,,,,,,,,,,,
128,PT00M57.60S,2022-04-01T23:31:27.4Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,23,27,2022-04-01T23:31:27Z,1280000,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,127.0,1.0,1.0,0.0,,,
129,PT00M40.50S,2022-04-01T23:31:44.7Z,1,REGULAR,turnover,bad pass,[],1628365,,,1610612753,23,27,2022-04-01T23:31:54Z,1290000,,,0,,M. Fultz bad pass TURNOVER (1 TO),"[1628365, 1628449]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,1.0,,,,Boucher,1628449.0,,,,,,,
130,PT00M40.50S,2022-04-01T23:31:44.7Z,1,REGULAR,steal,,[],1628449,,,1610612761,23,27,2022-04-01T23:31:46Z,1300000,,,0,,C. Boucher STEAL (1 STL),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT00M37.90S,2022-04-01T23:31:47.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628449,92.32917214191852,51.9607843137255,1610612761,23,29,2022-04-01T23:32:06Z,1310000,10.0,20.0,1,right,C. Boucher running DUNK (2 PTS),[1628449],1610612761.0,TOR,running,,,Boucher,C. Boucher,,,,,,,,,,2.19,Made,2.0,,,,,,,,,,,,,
132,PT00M28.40S,2022-04-01T23:32:02.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,23,29,2022-04-01T23:32:02Z,1320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT00M28.40S,2022-04-01T23:32:03.1Z,1,REGULAR,substitution,out,[],1630181,,,1610612753,23,29,2022-04-01T23:32:07Z,1330000,,,0,,SUB out: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M28.40S,2022-04-01T23:32:03.1Z,1,REGULAR,substitution,in,[],201577,,,1610612753,23,29,2022-04-01T23:32:07Z,1340000,,,0,,SUB in: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M19.10S,2022-04-01T23:32:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629962,30.699737187910642,31.61764705882353,1610612753,23,29,2022-04-01T23:34:05Z,1350000,92.0,236.0,1,left,MISS D. Cannady 25' pullup 3PT,[1629962],1610612753.0,ORL,pullup,,,Cannady,D. Cannady,,,,,,,,,,25.34,Missed,,,,,,,,,,,,,,
136,PT00M16.70S,2022-04-01T23:32:34.1Z,1,REGULAR,rebound,offensive,[],1629678,,,1610612753,23,29,2022-04-01T23:32:55Z,1360000,,,0,,A. Schofield REBOUND (Off:1 Def:0),[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,135.0,1.0,0.0,1.0,,,
137,PT00M07.60S,2022-04-01T23:32:45.2Z,1,REGULAR,foul,personal,[],1630567,,,1610612753,23,29,2022-04-01T23:32:49Z,1370000,,,0,,S. Barnes personal FOUL (1 PF),"[1630567, 201577]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,1627524.0,1.0,0.0,Lopez,201577.0,,,,,,,,,,,,,,,,
139,PT00M00.00S,2022-04-01T23:33:12.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201577,8.492115637319317,84.06862745098039,1610612753,23,29,2022-04-01T23:33:19Z,1390000,-170.0,27.0,1,left,MISS R. Lopez 17' Jump Shot,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,17.25,Missed,,,,,,,,,,,,,,
140,PT00M00.00S,2022-04-01T23:33:15.5Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,23,29,2022-04-01T23:33:15Z,1400000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,139.0,1.0,1.0,0.0,,,
141,PT00M00.00S,2022-04-01T23:33:17.3Z,1,REGULAR,period,end,[],0,,,1610612761,23,29,2022-04-01T23:33:17Z,1410000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-04-01T23:33:24.3Z,2,REGULAR,substitution,out,['startperiod'],1630567,,,1610612761,23,29,2022-04-01T23:35:56Z,1420000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-04-01T23:33:24.3Z,2,REGULAR,substitution,out,['startperiod'],1627832,,,1610612761,23,29,2022-04-01T23:35:56Z,1430000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2022-04-01T23:33:24.3Z,2,REGULAR,substitution,out,['startperiod'],1629018,,,1610612761,23,29,2022-04-01T23:35:56Z,1440000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2022-04-01T23:33:24.3Z,2,REGULAR,substitution,in,['startperiod'],1628384,,,1610612761,23,29,2022-04-01T23:35:56Z,1450000,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2022-04-01T23:33:24.3Z,2,REGULAR,substitution,in,['startperiod'],201152,,,1610612761,23,29,2022-04-01T23:35:56Z,1460000,,,0,,SUB in: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-04-01T23:33:24.3Z,2,REGULAR,substitution,in,['startperiod'],1627783,,,1610612761,23,29,2022-04-01T23:35:56Z,1470000,,,0,,SUB in: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2022-04-01T23:36:02.2Z,2,REGULAR,period,start,[],0,,,1610612753,23,29,2022-04-01T23:36:02Z,1480000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT11M45.00S,2022-04-01T23:36:16.8Z,2,REGULAR,3pt,Jump Shot,[],1629678,6.521024967148489,2.2058823529411766,1610612753,23,29,2022-04-01T23:36:22Z,1490000,239.0,9.0,1,left,MISS A. Schofield 3PT,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,23.92,Missed,,,,,,,,,,,,,,
150,PT11M40.00S,2022-04-01T23:36:21.8Z,2,REGULAR,rebound,defensive,[],1627783,,,1610612761,23,29,2022-04-01T23:36:22Z,1500000,,,0,,P. Siakam REBOUND (Off:1 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,149.0,4.0,3.0,1.0,,,
151,PT11M33.00S,2022-04-01T23:36:27.7Z,2,REGULAR,3pt,Jump Shot,[],201152,92.9862023653088,2.696078431372549,1610612761,23,29,2022-04-01T23:36:32Z,1510000,-237.0,13.0,1,right,MISS T. Young 3PT,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,23.69,Missed,,,,,,,,,,,,,,
152,PT11M30.00S,2022-04-01T23:36:30.7Z,2,REGULAR,rebound,defensive,[],1629678,,,1610612753,23,29,2022-04-01T23:36:32Z,1520000,,,0,,A. Schofield REBOUND (Off:1 Def:1),[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,151.0,2.0,1.0,1.0,,,
153,PT11M23.00S,2022-04-01T23:36:41.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628365,13.61695137976347,49.754901960784316,1610612753,23,29,2022-04-01T23:39:07Z,1530000,1.0,75.0,1,left,MISS M. Fultz 7' floating Shot - blocked,"[1628365, 1628449]",1610612753.0,ORL,floating,,,Fultz,M. Fultz,,,,,,,,,,7.55,Missed,,,,,,,,,,,,Boucher,1628449.0,
154,PT11M23.00S,2022-04-01T23:36:41.0Z,2,REGULAR,block,,[],1628449,,,1610612753,23,29,2022-04-01T23:36:44Z,1540000,,,0,,C. Boucher BLOCK (2 BLK),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M21.00S,2022-04-01T23:36:43.0Z,2,REGULAR,rebound,offensive,[],201577,,,1610612753,23,29,2022-04-01T23:39:07Z,1550000,,,0,,R. Lopez REBOUND (Off:1 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,153.0,1.0,0.0,1.0,,,
172,PT11M21.00S,2022-04-01T23:36:43.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201577,10.298948751642584,55.88235294117647,1610612753,23,29,2022-04-01T23:39:42Z,1555000,-29.0,44.0,1,left,MISS R. Lopez Layup,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,5.32,Missed,,,,,,,,,,,,,,
173,PT11M20.00S,2022-04-01T23:36:44.1Z,2,REGULAR,rebound,offensive,[],201577,,,1610612753,23,29,2022-04-01T23:39:42Z,1557500,,,0,,R. Lopez REBOUND (Off:2 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,172.0,2.0,0.0,2.0,,,
156,PT11M16.00S,2022-04-01T23:36:45.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201577,8.360709592641262,51.470588235294116,1610612753,25,29,2022-04-01T23:39:42Z,1560000,-7.0,26.0,1,left,R. Lopez Layup (2 PTS),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,2.71,Made,2.0,,,,,,,,,,,,,
157,PT10M56.00S,2022-04-01T23:37:05.9Z,2,REGULAR,3pt,Jump Shot,[],1628384,68.54467805519053,25.735294117647058,1610612761,25,29,2022-04-01T23:40:22Z,1570000,-121.0,243.0,1,right,MISS O. Anunoby 27' pullup 3PT,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,,,,,,27.18,Missed,,,,,,,,,,,,,,
158,PT10M51.00S,2022-04-01T23:37:10.9Z,2,REGULAR,rebound,defensive,[],1628365,,,1610612753,25,29,2022-04-01T23:37:15Z,1580000,,,0,,M. Fultz REBOUND (Off:0 Def:3),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,157.0,3.0,3.0,0.0,,,
159,PT10M38.00S,2022-04-01T23:37:23.1Z,2,REGULAR,turnover,bad pass,[],1628365,,,1610612753,25,29,2022-04-01T23:37:33Z,1590000,,,0,,M. Fultz bad pass TURNOVER (2 TO),"[1628365, 201152]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,2.0,,,,Young,201152.0,,,,,,,
160,PT10M38.00S,2022-04-01T23:37:23.1Z,2,REGULAR,steal,,[],201152,,,1610612761,25,29,2022-04-01T23:37:52Z,1600000,,,0,,T. Young STEAL (1 STL),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT10M32.00S,2022-04-01T23:37:29.4Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630173,77.21747700394218,65.19607843137256,1610612761,25,31,2022-04-01T23:37:36Z,1610000,76.0,162.0,1,right,P. Achiuwa 17' pullup Jump Shot (2 PTS) (T. Young 1 AST),"[1630173, 201152]",1610612761.0,TOR,pullup,,,Achiuwa,P. Achiuwa,,,,,,,,,,17.87,Made,2.0,,T. Young,201152.0,1.0,,,,,,,,,
162,PT10M17.00S,2022-04-01T23:37:43.6Z,2,REGULAR,3pt,Jump Shot,[],1629962,2.3160315374507228,94.11764705882352,1610612753,28,31,2022-04-01T23:37:49Z,1620000,-221.0,-31.0,1,left,D. Cannady 3PT  (3 PTS) (M. Fultz 3 AST),"[1629962, 1628365]",1610612753.0,ORL,,,,Cannady,D. Cannady,,,,,,,,,,22.27,Made,3.0,,M. Fultz,1628365.0,3.0,,,,,,,,,
164,PT09M55.00S,2022-04-01T23:38:06.2Z,2,REGULAR,3pt,Jump Shot,[],1628384,86.94152431011827,95.58823529411765,1610612761,28,31,2022-04-01T23:38:10Z,1640000,228.0,70.0,1,right,MISS O. Anunoby 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,23.85,Missed,,,,,,,,,,,,,,
165,PT09M52.00S,2022-04-01T23:38:09.2Z,2,REGULAR,rebound,defensive,[],201577,,,1610612753,28,31,2022-04-01T23:38:10Z,1650000,,,0,,R. Lopez REBOUND (Off:2 Def:1),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,164.0,3.0,1.0,2.0,,,
166,PT09M50.00S,2022-04-01T23:38:14.5Z,2,REGULAR,foul,personal,[],1627783,,,1610612753,28,31,2022-04-01T23:38:24Z,1660000,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1628365]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,1627524.0,1.0,0.0,Fultz,1628365.0,,,,,,,,,,,,,,,,
168,PT09M44.00S,2022-04-01T23:38:40.4Z,2,REGULAR,foul,personal,['2freethrow'],1630173,,,1610612753,28,31,2022-04-01T23:38:53Z,1680000,,,0,,P. Achiuwa shooting personal FOUL (1 PF) (Wagner 2 FT),"[1630173, 1629021]",1610612761.0,TOR,shooting,,,Achiuwa,P. Achiuwa,,,,,200832.0,1.0,0.0,Wagner,1629021.0,,,,,,,,,,,,,,,,
170,PT09M44.00S,2022-04-01T23:39:10.8Z,2,REGULAR,freethrow,1 of 2,[],1629021,,,1610612753,29,31,2022-04-01T23:39:10Z,1700000,,,0,,M. Wagner Free Throw 1 of 2 (1 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
171,PT09M44.00S,2022-04-01T23:39:29.1Z,2,REGULAR,freethrow,2 of 2,[],1629021,,,1610612753,30,31,2022-04-01T23:39:29Z,1710000,,,0,,M. Wagner Free Throw 2 of 2 (2 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
174,PT09M30.00S,2022-04-01T23:39:44.2Z,2,REGULAR,2pt,Jump Shot,[],1627783,76.5604467805519,74.50980392156863,1610612761,30,31,2022-04-01T23:39:49Z,1720000,123.0,168.0,1,right,MISS P. Siakam 20' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,,,,,,20.78,Missed,,,,,,,,,,,,,,
