actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
94,PT03M58.00S,2022-03-22T23:27:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,5.338370565045992,48.03921568627451,1610612753,20,12,2022-03-22T23:28:12Z,940000,10.0,-2.0,1,left,W. Carter Jr. reverse Layup (4 PTS) (F. Wagner 2 AST),"[1628976, 1630532]",1610612753.0,ORL,reverse,,,Carter Jr.,W. Carter Jr.,,,,,1.01,Made,,,,,,,,,,4.0,F. Wagner,1630532.0,2.0,,,,,,
96,PT03M40.00S,2022-03-22T23:28:18.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202357,87.86136662286465,43.872549019607845,1610612744,20,12,2022-03-22T23:28:25Z,960000,-31.0,62.0,1,right,MISS N. Bjelica 6' Hook,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,6.88,Missed,,,,,,,,,,,,,,,,,,,
97,PT03M34.00S,2022-03-22T23:28:22.9Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,20,12,2022-03-22T23:28:23Z,970000,,,0,,G. Payton II REBOUND (Off:1 Def:0),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,96.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
98,PT03M34.00S,2022-03-22T23:28:22.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627780,94.40999984741211,50.0,1610612744,20,12,2022-03-22T23:28:28Z,980000,0.0,0.0,1,right,MISS G. Payton II tip Layup,[1627780],1610612744.0,GSW,tip,,,Payton II,G. Payton II,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
99,PT03M32.00S,2022-03-22T23:28:24.9Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,20,12,2022-03-22T23:28:28Z,990000,,,0,,M. Bamba REBOUND (Off:0 Def:3),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,98.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
100,PT03M24.00S,2022-03-22T23:28:33.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628964,13.222733245729303,16.176470588235293,1610612753,20,12,2022-03-22T23:29:05Z,1000000,169.0,72.0,1,left,MISS M. Bamba 18' bank Shot,[1628964],1610612753.0,ORL,bank,,,Bamba,M. Bamba,,,,,18.37,Missed,,,,,,,,,,,,,,,,,,,
101,PT03M21.00S,2022-03-22T23:28:36.1Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,20,12,2022-03-22T23:28:40Z,1010000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,100.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
102,PT03M16.00S,2022-03-22T23:28:41.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,90.88370565045992,47.549019607843135,1610612744,20,12,2022-03-22T23:30:28Z,1020000,-12.0,33.0,1,right,MISS A. Wiggins running Layup,[203952],1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,3.54,Missed,,,,,,,,,,,,,,,,,,,
103,PT03M12.00S,2022-03-22T23:28:45.4Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,20,12,2022-03-22T23:28:45Z,1030000,,,0,,G. Payton II REBOUND (Off:2 Def:0),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,102.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
104,PT03M12.00S,2022-03-22T23:28:45.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627780,94.40999984741211,50.0,1610612744,20,12,2022-03-22T23:32:07Z,1040000,0.0,0.0,1,right,MISS G. Payton II tip Layup,[1627780],1610612744.0,GSW,tip,,,Payton II,G. Payton II,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
105,PT03M12.00S,2022-03-22T23:28:45.4Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,20,12,2022-03-22T23:28:51Z,1050000,,,0,,M. Bamba REBOUND (Off:0 Def:4),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,104.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
106,PT03M06.00S,2022-03-22T23:28:51.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630175,24.655059132720105,85.7843137254902,1610612753,23,12,2022-03-22T23:28:59Z,1060000,-179.0,179.0,1,left,C. Anthony 25' 3PT  (9 PTS) (M. Bamba 3 AST),"[1630175, 1628964]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,25.33,Made,,,,,,,,,,9.0,M. Bamba,1628964.0,3.0,,,,,,
108,PT02M50.00S,2022-03-22T23:29:07.7Z,1,REGULAR,3pt,Jump Shot,[],203952,66.70499342969777,31.61764705882353,1610612744,23,12,2022-03-22T23:29:14Z,1080000,-92.0,260.0,1,right,MISS A. Wiggins 27' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,27.62,Missed,,,,,,,,,,,,,,,,,,,
109,PT02M47.00S,2022-03-22T23:29:10.7Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,23,12,2022-03-22T23:29:14Z,1090000,,,0,,M. Bamba REBOUND (Off:0 Def:5),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,108.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
110,PT02M41.00S,2022-03-22T23:29:16.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630532,5.732588699080158,52.69607843137255,1610612753,25,12,2022-03-22T23:29:25Z,1100000,-13.0,1.0,1,left,F. Wagner running Layup (8 PTS) (C. Anthony 3 AST),"[1630532, 1630175]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,1.36,Made,,,,,,,,,,8.0,C. Anthony,1630175.0,3.0,,,,,,
112,PT02M41.00S,2022-03-22T23:29:23.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612744,25,12,2022-03-22T23:29:23Z,1120000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M41.00S,2022-03-22T23:30:43.4Z,1,REGULAR,substitution,out,[],1628964,,,1610612744,25,12,2022-03-22T23:31:00Z,1130000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M41.00S,2022-03-22T23:30:43.4Z,1,REGULAR,substitution,out,[],1630181,,,1610612744,25,12,2022-03-22T23:31:00Z,1140000,,,0,,SUB out: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M41.00S,2022-03-22T23:30:43.4Z,1,REGULAR,substitution,out,[],1630175,,,1610612744,25,12,2022-03-22T23:31:00Z,1150000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M41.00S,2022-03-22T23:30:43.4Z,1,REGULAR,substitution,out,[],203952,,,1610612744,25,12,2022-03-22T23:31:00Z,1160000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M41.00S,2022-03-22T23:30:43.4Z,1,REGULAR,substitution,in,[],1628365,,,1610612744,25,12,2022-03-22T23:31:00Z,1170000,,,0,,SUB in: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M41.00S,2022-03-22T23:30:43.4Z,1,REGULAR,substitution,in,[],1629643,,,1610612744,25,12,2022-03-22T23:31:00Z,1180000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M41.00S,2022-03-22T23:30:43.4Z,1,REGULAR,substitution,in,[],203914,,,1610612744,25,12,2022-03-22T23:31:00Z,1190000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M41.00S,2022-03-22T23:30:43.4Z,1,REGULAR,substitution,in,[],202691,,,1610612744,25,12,2022-03-22T23:31:00Z,1200000,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M29.00S,2022-03-22T23:31:13.8Z,1,REGULAR,3pt,Jump Shot,[],1629673,64.20827858081472,25.49019607843137,1610612744,25,12,2022-03-22T23:33:55Z,1210000,-123.0,284.0,1,right,MISS J. Poole 30' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,30.92,Missed,,,,,,,,,,,,,,,,,,,
122,PT02M26.00S,2022-03-22T23:31:16.8Z,1,REGULAR,rebound,offensive,[],203490,,,1610612744,25,12,2022-03-22T23:32:23Z,1220000,,,0,,O. Porter Jr. REBOUND (Off:1 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,121.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
123,PT02M26.00S,2022-03-22T23:31:25.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203490,92.9862023653088,50.73529411764706,1610612744,25,14,2022-03-22T23:31:34Z,1230000,4.0,13.0,1,right,O. Porter Jr. putback Layup (5 PTS),[203490],1610612744.0,GSW,putback,,,Porter Jr.,O. Porter Jr.,,,,,1.39,Made,,,,,,,,,,5.0,,,,,,,,,
124,PT02M26.00S,2022-03-22T23:31:35.3Z,1,REGULAR,foul,personal,['1freethrow'],1628976,,,1610612744,25,14,2022-03-22T23:31:45Z,1240000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Porter Jr. 1 FT),"[1628976, 203490]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Porter Jr.,203490.0,
126,PT02M26.00S,2022-03-22T23:31:47.1Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203490,,,1610612744,25,15,2022-03-22T23:31:47Z,1260000,,,0,,O. Porter Jr. Free Throw 1 of 1 (6 PTS),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,Made,,,,,,,,,,6.0,,,,,,,,,
127,PT02M05.00S,2022-03-22T23:32:10.6Z,1,REGULAR,foul,personal,[],1629673,,,1610612753,25,15,2022-03-22T23:32:27Z,1270000,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 203914]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Harris,203914.0,
129,PT02M05.00S,2022-03-22T23:32:34.1Z,1,REGULAR,substitution,out,[],1629673,,,1610612753,25,15,2022-03-22T23:32:45Z,1290000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M05.00S,2022-03-22T23:32:34.1Z,1,REGULAR,substitution,in,[],203110,,,1610612753,25,15,2022-03-22T23:32:45Z,1300000,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M56.00S,2022-03-22T23:32:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,7.966491458607096,52.20588235294118,1610612753,25,15,2022-03-22T23:33:03Z,1310000,-11.0,22.0,1,left,MISS M. Fultz driving Layup,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,2.5,Missed,,,,,,,,,,,,,,,,,,,
132,PT01M53.00S,2022-03-22T23:32:59.6Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,25,15,2022-03-22T23:33:03Z,1320000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,131.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
133,PT01M48.00S,2022-03-22T23:33:05.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202691,91.93495400788436,46.81372549019608,1610612744,25,17,2022-03-22T23:33:14Z,1330000,-16.0,23.0,1,right,K. Thompson cutting Layup (6 PTS) (D. Green 3 AST),"[202691, 203110]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,2.82,Made,,,,,,,,,,6.0,D. Green,203110.0,3.0,,,,,,
135,PT01M38.00S,2022-03-22T23:33:14.9Z,1,REGULAR,3pt,Jump Shot,[],1628976,31.488173455978973,48.77450980392157,1610612753,25,17,2022-03-22T23:33:22Z,1350000,6.0,243.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,24.36,Missed,,,,,,,,,,,,,,,,,,,
136,PT01M34.00S,2022-03-22T23:33:18.9Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,25,17,2022-03-22T23:33:22Z,1360000,,,0,,O. Porter Jr. REBOUND (Off:1 Def:2),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,135.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
137,PT01M16.00S,2022-03-22T23:33:40.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,25,17,2022-03-22T23:33:40Z,1370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M16.00S,2022-03-22T23:33:41.5Z,1,REGULAR,substitution,out,[],1627780,,,1610612744,25,17,2022-03-22T23:33:51Z,1380000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M16.00S,2022-03-22T23:33:41.5Z,1,REGULAR,substitution,in,[],1630228,,,1610612744,25,17,2022-03-22T23:33:51Z,1390000,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M16.00S,2022-03-22T23:33:56.9Z,1,REGULAR,substitution,out,[],1630532,,,1610612744,25,17,2022-03-22T23:34:10Z,1400000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M16.00S,2022-03-22T23:33:56.9Z,1,REGULAR,substitution,in,[],1629678,,,1610612744,25,17,2022-03-22T23:34:10Z,1410000,,,0,,SUB in: A. Schofield,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M16.00S,2022-03-22T23:34:14.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612744,25,17,2022-03-22T23:34:20Z,1420000,,,0,,TEAM delay-of-game VIOLATION,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,1146.0,,,,,
143,PT01M13.00S,2022-03-22T23:34:18.0Z,1,REGULAR,2pt,Jump Shot,[],202691,89.17542706964521,79.65686274509804,1610612744,25,17,2022-03-22T23:35:28Z,1430000,148.0,49.0,1,right,MISS K. Thompson 15' driving floating Shot,[202691],1610612744.0,GSW,driving floating,,,Thompson,K. Thompson,,,,,15.63,Missed,,,,,,,,,,,,,,,,,,,
144,PT01M08.00S,2022-03-22T23:34:23.0Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,25,17,2022-03-22T23:34:23Z,1440000,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
145,PT00M57.60S,2022-03-22T23:34:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,9.937582128777924,47.05882352941176,1610612753,25,17,2022-03-22T23:34:37Z,1450000,15.0,41.0,1,left,MISS W. Carter Jr. Layup - blocked,"[1628976, 202357]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,4.35,Missed,,,,,,,,Bjelica,202357.0,,,,,,,,,,
146,PT00M57.60S,2022-03-22T23:34:33.4Z,1,REGULAR,block,,[],202357,,,1610612753,25,17,2022-03-22T23:34:35Z,1460000,,,0,,N. Bjelica BLOCK (1 BLK),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M55.30S,2022-03-22T23:34:35.7Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,25,17,2022-03-22T23:34:37Z,1470000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,145.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
148,PT00M44.60S,2022-03-22T23:34:47.3Z,1,REGULAR,turnover,bad pass,[],202357,,,1610612744,25,17,2022-03-22T23:34:51Z,1480000,,,0,,N. Bjelica bad pass TURNOVER (1 TO),"[202357, 203914]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,1.0,Harris,203914.0,,,,,,,,,,,,
149,PT00M44.60S,2022-03-22T23:34:47.3Z,1,REGULAR,steal,,[],203914,,,1610612753,25,17,2022-03-22T23:34:49Z,1490000,,,0,,G. Harris STEAL (1 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M32.40S,2022-03-22T23:34:59.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203914,12.828515111695138,35.78431372549019,1610612753,25,17,2022-03-22T23:39:24Z,1500000,71.0,68.0,1,left,MISS G. Harris 9' driving floating bank Shot,[203914],1610612753.0,ORL,driving floating bank,,,Harris,G. Harris,,,,,9.85,Missed,,,,,,,,,,,,,,,,,,,
151,PT00M30.20S,2022-03-22T23:35:01.6Z,1,REGULAR,rebound,offensive,[],203914,,,1610612753,25,17,2022-03-22T23:35:05Z,1510000,,,0,,G. Harris REBOUND (Off:1 Def:0),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,150.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
152,PT00M29.30S,2022-03-22T23:35:02.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203914,6.1268068331143235,43.627450980392155,1610612753,25,17,2022-03-22T23:35:09Z,1520000,32.0,5.0,1,left,MISS G. Harris putback Layup - blocked,"[203914, 202357]",1610612753.0,ORL,putback,,,Harris,G. Harris,,,,,3.23,Missed,,,,,,,,Bjelica,202357.0,,,,,,,,,,
153,PT00M29.30S,2022-03-22T23:35:02.6Z,1,REGULAR,block,,[],202357,,,1610612753,25,17,2022-03-22T23:35:05Z,1530000,,,0,,N. Bjelica BLOCK (2 BLK),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M29.30S,2022-03-22T23:35:02.6Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,25,17,2022-03-22T23:35:09Z,1540000,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,152.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
155,PT00M08.70S,2022-03-22T23:35:23.2Z,1,REGULAR,3pt,Jump Shot,[],202691,77.87450722733246,90.19607843137256,1610612744,25,17,2022-03-22T23:35:30Z,1550000,201.0,155.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,,
156,PT00M05.40S,2022-03-22T23:35:26.5Z,1,REGULAR,rebound,defensive,[],1629678,,,1610612753,25,17,2022-03-22T23:35:26Z,1560000,,,0,,A. Schofield REBOUND (Off:0 Def:1),[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,155.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
157,PT00M00.10S,2022-03-22T23:35:31.7Z,1,REGULAR,2pt,Jump Shot,[],1628365,21.895532194480946,35.294117647058826,1610612753,25,17,2022-03-22T23:35:38Z,1570000,74.0,153.0,1,left,MISS M. Fultz 17' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,17.0,Missed,,,,,,,,,,,,,,,,,,,
158,PT00M00.10S,2022-03-22T23:35:31.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,25,17,2022-03-22T23:35:38Z,1580000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,157.0,,,,,,,,,,,,,,,,,,
159,PT00M00.00S,2022-03-22T23:35:36.7Z,1,REGULAR,period,end,[],0,,,1610612753,25,17,2022-03-22T23:35:36Z,1590000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-03-22T23:37:57.3Z,2,REGULAR,substitution,out,['startperiod'],1628976,,,1610612753,25,17,2022-03-22T23:38:17Z,1600000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-03-22T23:37:57.3Z,2,REGULAR,substitution,out,['startperiod'],203110,,,1610612753,25,17,2022-03-22T23:38:17Z,1610000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-03-22T23:37:57.3Z,2,REGULAR,substitution,in,['startperiod'],1629021,,,1610612753,25,17,2022-03-22T23:38:17Z,1620000,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-03-22T23:37:57.3Z,2,REGULAR,substitution,in,['startperiod'],1629185,,,1610612753,25,17,2022-03-22T23:38:17Z,1630000,,,0,,SUB in: C. Chiozza,[1629185],1610612744.0,GSW,,,,Chiozza,C. Chiozza,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-03-22T23:38:16.4Z,2,REGULAR,period,start,[],0,,,1610612753,25,17,2022-03-22T23:38:17Z,1640000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M42.00S,2022-03-22T23:38:33.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629643,5.601182654402102,49.26470588235294,1610612753,27,17,2022-03-22T23:38:40Z,1650000,4.0,0.0,1,left,C. Okeke driving DUNK (2 PTS) (G. Harris 1 AST),"[1629643, 203914]",1610612753.0,ORL,driving,,,Okeke,C. Okeke,,,,,0.37,Made,,,,,,,,,,2.0,G. Harris,203914.0,1.0,,,,,,
167,PT11M20.00S,2022-03-22T23:38:58.4Z,2,REGULAR,3pt,Jump Shot,[],203490,77.7431011826544,8.088235294117647,1610612744,27,20,2022-03-22T23:39:05Z,1670000,-210.0,157.0,1,right,O. Porter Jr. 26' 3PT  (9 PTS) (J. Kuminga 1 AST),"[203490, 1630228]",1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,26.17,Made,,,,,,,,,,9.0,J. Kuminga,1630228.0,1.0,,,,,,
169,PT11M04.00S,2022-03-22T23:39:13.8Z,2,REGULAR,3pt,Jump Shot,[],1629021,32.14520367936925,47.794117647058826,1610612753,27,20,2022-03-22T23:39:19Z,1690000,11.0,250.0,1,left,MISS M. Wagner 24' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,24.99,Missed,,,,,,,,,,,,,,,,,,,
170,PT11M02.00S,2022-03-22T23:39:16.0Z,2,REGULAR,rebound,offensive,[],1629678,,,1610612753,27,20,2022-03-22T23:39:16Z,1700000,,,0,,A. Schofield REBOUND (Off:1 Def:1),[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,169.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
171,PT11M01.00S,2022-03-22T23:39:17.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629643,20.45006570302234,4.901960784313726,1610612753,27,20,2022-03-22T23:39:21Z,1710000,225.0,140.0,1,left,MISS C. Okeke 26' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
172,PT10M57.00S,2022-03-22T23:39:20.7Z,2,REGULAR,rebound,defensive,[],203490,,,1610612744,27,20,2022-03-22T23:39:20Z,1720000,,,0,,O. Porter Jr. REBOUND (Off:1 Def:3),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,171.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
173,PT10M48.00S,2022-03-22T23:39:30.4Z,2,REGULAR,turnover,bad pass,[],1629185,,,1610612744,27,20,2022-03-22T23:39:36Z,1730000,,,0,,C. Chiozza bad pass TURNOVER (1 TO),"[1629185, 203914]",1610612744.0,GSW,,,,Chiozza,C. Chiozza,,,,,,,,,,,1.0,Harris,203914.0,,,,,,,,,,,,
174,PT10M48.00S,2022-03-22T23:39:30.4Z,2,REGULAR,steal,,[],203914,,,1610612753,27,20,2022-03-22T23:39:32Z,1740000,,,0,,G. Harris STEAL (2 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT10M25.00S,2022-03-22T23:39:52.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629021,9.017739816031538,41.42156862745098,1610612753,27,20,2022-03-22T23:40:07Z,1750000,43.0,32.0,1,left,MISS M. Wagner turnaround Shot,[1629021],1610612753.0,ORL,turnaround,,,Wagner,M. Wagner,,,,,5.37,Missed,,,,,,,,,,,,,,,,,,,
176,PT10M22.00S,2022-03-22T23:39:55.8Z,2,REGULAR,rebound,defensive,[],203490,,,1610612744,27,20,2022-03-22T23:40:07Z,1760000,,,0,,O. Porter Jr. REBOUND (Off:1 Def:4),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,175.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
177,PT10M07.00S,2022-03-22T23:40:12.4Z,2,REGULAR,foul,personal,['2freethrow'],1629021,,,1610612744,27,20,2022-03-22T23:40:33Z,1770000,,,0,,M. Wagner shooting personal FOUL (1 PF) (Bjelica 2 FT),"[1629021, 202357]",1610612753.0,ORL,shooting,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Bjelica,202357.0,
