actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
90,PT04M46.00S,2021-11-11T00:27:25.9Z,1,REGULAR,foul,personal,['2freethrow'],201933,,,1610612753,11,19,2021-11-11T00:27:45Z,860000,,,0,,B. Griffin shooting personal FOUL (1 PF) (Wagner 2 FT),"[201933, 1630532]",1610612751.0,BKN,shooting,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Wagner,1630532.0,,,
92,PT04M46.00S,2021-11-11T00:27:47.4Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,12,19,2021-11-11T00:27:47Z,880000,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,Made,,,,,,,1.0,,,,,,,,
93,PT04M46.00S,2021-11-11T00:28:04.8Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,13,19,2021-11-11T00:28:04Z,890000,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,Made,,,,,,,2.0,,,,,,,,
94,PT04M30.00S,2021-11-11T00:28:23.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628971,87.46714848883047,50.98039215686274,1610612751,13,21,2021-11-11T00:28:33Z,900000,5.0,65.0,1,right,B. Brown 6' Hook (6 PTS) (J. Harden 5 AST),"[1628971, 201935]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,6.55,Made,,,,,,,6.0,,,,,,J. Harden,201935.0,5.0
96,PT04M20.00S,2021-11-11T00:28:33.0Z,1,REGULAR,2pt,Jump Shot,[],203082,15.982260183968464,28.676470588235293,1610612753,15,21,2021-11-11T00:28:38Z,920000,107.0,98.0,1,left,T. Ross 14' pullup Jump Shot (2 PTS) (W. Carter Jr. 1 AST),"[203082, 1628976]",1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,,,,14.46,Made,,,,,,,2.0,,,,,,W. Carter Jr.,1628976.0,1.0
98,PT04M06.00S,2021-11-11T00:28:49.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,15,21,2021-11-11T00:28:49Z,940000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M06.00S,2021-11-11T00:28:50.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612751,15,21,2021-11-11T01:20:56Z,945000,,,0,,TEAM delay-of-game VIOLATION,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,1628171.0,,,,,,,
99,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,out,[],1630532,,,1610612751,15,21,2021-11-11T00:29:16Z,950000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,out,[],1628976,,,1610612751,15,21,2021-11-11T00:29:16Z,960000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,out,[],1630175,,,1610612751,15,21,2021-11-11T00:29:16Z,970000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,out,[],1628971,,,1610612751,15,21,2021-11-11T00:29:16Z,980000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,out,[],201933,,,1610612751,15,21,2021-11-11T00:29:16Z,990000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,in,[],1630591,,,1610612751,15,21,2021-11-11T00:29:16Z,1000000,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,in,[],1628964,,,1610612751,15,21,2021-11-11T00:29:16Z,1010000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,in,[],203914,,,1610612751,15,21,2021-11-11T00:29:16Z,1020000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,in,[],1627761,,,1610612751,15,21,2021-11-11T00:29:16Z,1030000,,,0,,SUB in: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M06.00S,2021-11-11T00:28:50.3Z,1,REGULAR,substitution,in,[],200746,,,1610612751,15,21,2021-11-11T00:29:16Z,1040000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M58.00S,2021-11-11T00:29:26.9Z,1,REGULAR,2pt,Jump Shot,[],201142,71.30420499342969,41.17647058823529,1610612751,15,21,2021-11-11T00:29:37Z,1060000,-44.0,217.0,1,right,MISS K. Durant 22' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,22.16,Missed,,,,,,,,,,,,,,,
111,PT03M56.00S,2021-11-11T00:29:29.5Z,1,REGULAR,rebound,offensive,[],200746,,,1610612751,15,21,2021-11-11T00:29:29Z,1070000,,,0,,L. Aldridge REBOUND (Off:1 Def:0),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,110.0,1.0,0.0,1.0,,,,,,,,,,,
112,PT03M46.00S,2021-11-11T00:29:39.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,66.17936925098554,49.01960784313725,1610612751,15,24,2021-11-11T00:29:43Z,1080000,-5.0,265.0,1,right,K. Durant 26' 3PT  (10 PTS) (J. Harden 6 AST),"[201142, 201935]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,26.54,Made,,,,,,,10.0,,,,,,J. Harden,201935.0,6.0
114,PT03M31.00S,2021-11-11T00:29:53.2Z,1,REGULAR,2pt,Jump Shot,[],203082,22.946780551905388,46.81372549019608,1610612753,15,24,2021-11-11T00:29:59Z,1100000,16.0,163.0,1,left,MISS T. Ross 16' pullup Shot,[203082],1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,,,,16.4,Missed,,,,,,,,,,,,,,,
115,PT03M28.00S,2021-11-11T00:29:56.2Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,15,24,2021-11-11T00:29:59Z,1110000,,,0,,L. Aldridge REBOUND (Off:1 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,114.0,2.0,1.0,1.0,,,,,,,,,,,
116,PT03M22.00S,2021-11-11T00:30:02.0Z,1,REGULAR,3pt,Jump Shot,[],201935,66.44218134034165,58.82352941176471,1610612751,15,24,2021-11-11T00:31:02Z,1120000,44.0,263.0,1,right,MISS J. Harden 26' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,,,,26.66,Missed,,,,,,,,,,,,,,,
117,PT03M18.00S,2021-11-11T00:30:06.0Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,15,24,2021-11-11T00:30:10Z,1130000,,,0,,J. Suggs REBOUND (Off:0 Def:3),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,116.0,3.0,3.0,0.0,,,,,,,,,,,
118,PT03M12.00S,2021-11-11T00:30:13.0Z,1,REGULAR,2pt,Jump Shot,[],1629643,5.601182654402102,23.03921568627451,1610612753,17,24,2021-11-11T00:30:18Z,1140000,135.0,0.0,1,left,C. Okeke 13' turnaround fadeaway Jump Shot (2 PTS) (J. Suggs 1 AST),"[1629643, 1630591]",1610612753.0,ORL,turnaround fadeaway,,,Okeke,C. Okeke,,,,,,,,13.48,Made,,,,,,,2.0,,,,,,J. Suggs,1630591.0,1.0
120,PT02M54.00S,2021-11-11T00:30:30.1Z,1,REGULAR,2pt,Jump Shot,[],200746,76.82325886990802,25.49019607843137,1610612751,17,24,2021-11-11T00:30:35Z,1160000,-123.0,165.0,1,right,MISS L. Aldridge 20' Jump Shot,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,20.58,Missed,,,,,,,,,,,,,,,
121,PT02M52.00S,2021-11-11T00:30:32.1Z,1,REGULAR,rebound,defensive,[],203082,,,1610612753,17,24,2021-11-11T00:30:35Z,1170000,,,0,,T. Ross REBOUND (Off:0 Def:1),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,120.0,1.0,1.0,0.0,,,,,,,,,,,
122,PT02M44.00S,2021-11-11T00:30:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203082,13.61695137976347,36.029411764705884,1610612753,17,24,2021-11-11T00:30:44Z,1180000,70.0,75.0,1,left,MISS T. Ross 10' driving floating Shot,[203082],1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,,,,10.29,Missed,,,,,,,,,,,,,,,
123,PT02M41.00S,2021-11-11T00:30:43.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,17,24,2021-11-11T00:30:44Z,1190000,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,122.0,3.0,3.0,0.0,,,,,,,,,,,
124,PT02M31.00S,2021-11-11T00:30:53.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],200746,89.43823915900131,51.9607843137255,1610612751,17,26,2021-11-11T00:32:31Z,1200000,10.0,47.0,1,right,L. Aldridge driving Hook (2 PTS) (K. Durant 1 AST),"[200746, 201142]",1610612751.0,BKN,driving,,,Aldridge,L. Aldridge,,,,,,,,4.78,Made,,,,,,,2.0,,,,,,K. Durant,201142.0,1.0
126,PT02M21.00S,2021-11-11T00:31:03.6Z,1,REGULAR,2pt,Jump Shot,[],203914,21.369908015768726,53.67647058823529,1610612753,19,26,2021-11-11T00:31:10Z,1220000,-18.0,148.0,1,left,G. Harris 14' pullup Jump Shot (2 PTS) (M. Bamba 1 AST),"[203914, 1628964]",1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,,,,14.95,Made,,,,,,,2.0,,,,,,M. Bamba,1628964.0,1.0
128,PT02M06.00S,2021-11-11T00:31:18.5Z,1,REGULAR,3pt,Jump Shot,[],201935,70.25295663600527,75.49019607843137,1610612751,19,26,2021-11-11T00:31:23Z,1240000,127.0,227.0,1,right,MISS J. Harden 26' 3PT,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,26.04,Missed,,,,,,,,,,,,,,,
129,PT02M02.00S,2021-11-11T00:31:22.5Z,1,REGULAR,rebound,defensive,[],203082,,,1610612753,19,26,2021-11-11T00:31:23Z,1250000,,,0,,T. Ross REBOUND (Off:0 Def:2),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,128.0,2.0,2.0,0.0,,,,,,,,,,,
130,PT01M55.00S,2021-11-11T00:31:29.1Z,1,REGULAR,3pt,Jump Shot,[],1630591,32.802233902759525,55.392156862745104,1610612753,19,26,2021-11-11T00:31:33Z,1260000,-27.0,256.0,1,left,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,25.72,Missed,,,,,,,,,,,,,,,
131,PT01M52.00S,2021-11-11T00:31:32.1Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,19,26,2021-11-11T00:31:33Z,1270000,,,0,,L. Aldridge REBOUND (Off:1 Def:2),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,130.0,3.0,2.0,1.0,,,,,,,,,,,
132,PT01M42.00S,2021-11-11T00:31:42.8Z,1,REGULAR,2pt,Jump Shot,[],201142,76.69185282522996,48.77450980392157,1610612751,19,28,2021-11-11T00:31:48Z,1280000,-6.0,167.0,1,right,K. Durant 16' pullup Jump Shot (12 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,16.67,Made,,,,,,,12.0,,,,,,,,
133,PT01M32.00S,2021-11-11T00:31:52.6Z,1,REGULAR,3pt,Jump Shot,[],1629643,30.17411300919842,28.431372549019606,1610612753,19,28,2021-11-11T00:33:35Z,1290000,108.0,231.0,1,left,MISS C. Okeke 25' step back 3PT,[1629643],1610612753.0,ORL,step back,,,Okeke,C. Okeke,,,,,,,,25.5,Missed,,,,,,,,,,,,,,,
134,PT01M29.00S,2021-11-11T00:31:55.6Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,19,28,2021-11-11T00:31:57Z,1300000,,,0,,J. Harden REBOUND (Off:0 Def:3),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,133.0,3.0,3.0,0.0,,,,,,,,,,,
135,PT01M15.00S,2021-11-11T00:32:09.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,91.27792378449409,43.38235294117647,1610612751,19,28,2021-11-11T00:32:14Z,1310000,-33.0,29.0,1,right,MISS J. Harden driving Layup,[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,,,,4.43,Missed,,,,,,,,,,,,,,,
136,PT01M11.00S,2021-11-11T00:32:12.8Z,1,REGULAR,rebound,offensive,[],200746,,,1610612751,19,28,2021-11-11T00:32:12Z,1320000,,,0,,L. Aldridge REBOUND (Off:2 Def:2),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,135.0,4.0,2.0,2.0,,,,,,,,,,,
137,PT01M11.00S,2021-11-11T00:32:12.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",200746,94.40999984741211,50.0,1610612751,19,28,2021-11-11T00:32:12Z,1330000,0.0,0.0,1,right,MISS L. Aldridge tip Layup,[200746],1610612751.0,BKN,tip,,,Aldridge,L. Aldridge,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,
138,PT01M10.00S,2021-11-11T00:32:14.5Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,19,28,2021-11-11T00:32:14Z,1340000,,,0,,C. Okeke REBOUND (Off:0 Def:2),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,137.0,2.0,2.0,0.0,,,,,,,,,,,
139,PT01M08.00S,2021-11-11T00:32:19.0Z,1,REGULAR,turnover,out-of-bounds,[],1629643,,,1610612753,19,28,2021-11-11T00:32:25Z,1350000,,,0,,C. Okeke bad pass out-of-bounds TURNOVER (1 TO),[1629643],1610612753.0,ORL,bad pass,,,Okeke,C. Okeke,,,,,1.0,,,,,,,,,,,,202049.0,,,,,,,
156,PT01M08.00S,2021-11-11T00:32:21.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,19,28,2021-11-11T00:35:33Z,1355000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M08.00S,2021-11-11T00:32:23.9Z,1,REGULAR,substitution,out,[],203925,,,1610612751,19,28,2021-11-11T00:36:08Z,1377500,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M08.00S,2021-11-11T00:32:23.9Z,1,REGULAR,substitution,out,[],201935,,,1610612751,19,28,2021-11-11T00:36:08Z,1388750,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M08.00S,2021-11-11T00:32:23.9Z,1,REGULAR,substitution,in,[],1628975,,,1610612751,19,28,2021-11-11T00:36:08Z,1394375,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M08.00S,2021-11-11T00:32:23.9Z,1,REGULAR,substitution,in,[],201988,,,1610612751,19,28,2021-11-11T00:36:08Z,1397187,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M54.40S,2021-11-11T00:32:55.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201988,74.19513797634691,61.274509803921575,1610612751,19,28,2021-11-11T00:33:01Z,1400000,56.0,190.0,1,right,MISS P. Mills 19' pullup Shot,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,,,,19.83,Missed,,,,,,,,,,,,,,,
145,PT00M50.10S,2021-11-11T00:32:59.8Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,19,28,2021-11-11T00:33:01Z,1410000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,144.0,2.0,1.0,1.0,,,,,,,,,,,
146,PT00M36.50S,2021-11-11T00:33:14.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628964,5.206964520367937,48.77450980392157,1610612753,21,28,2021-11-11T00:33:21Z,1420000,6.0,-4.0,1,left,M. Bamba driving DUNK (5 PTS) (C. Okeke 1 AST),"[1628964, 1629643]",1610612753.0,ORL,driving,,,Bamba,M. Bamba,,,,,,,,0.71,Made,,,,,,,5.0,,,,,,C. Okeke,1629643.0,1.0
148,PT00M29.10S,2021-11-11T00:33:25.8Z,1,REGULAR,foul,personal,[],1629643,,,1610612751,21,28,2021-11-11T00:33:34Z,1440000,,,0,,C. Okeke personal FOUL (2 PF),"[1629643, 201142]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,1198.0,2.0,0.0,Durant,201142.0,,,
150,PT00M20.90S,2021-11-11T00:33:51.1Z,1,REGULAR,3pt,Jump Shot,[],201988,66.83639947437582,29.411764705882355,1610612751,21,28,2021-11-11T00:33:56Z,1460000,-103.0,259.0,1,right,MISS P. Mills 27' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,27.89,Missed,,,,,,,,,,,,,,,
151,PT00M18.70S,2021-11-11T00:33:53.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,21,28,2021-11-11T00:33:53Z,1470000,,,0,,M. Bamba REBOUND (Off:1 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,150.0,3.0,2.0,1.0,,,,,,,,,,,
152,PT00M02.70S,2021-11-11T00:34:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203082,8.09789750328515,48.529411764705884,1610612753,21,28,2021-11-11T00:34:17Z,1480000,7.0,24.0,1,left,MISS T. Ross driving Layup,[203082],1610612753.0,ORL,driving,,,Ross,T. Ross,,,,,,,,2.47,Missed,,,,,,,,,,,,,,,
153,PT00M01.50S,2021-11-11T00:34:11.3Z,1,REGULAR,rebound,offensive,[],1630591,,,1610612753,21,28,2021-11-11T00:34:11Z,1490000,,,0,,J. Suggs REBOUND (Off:1 Def:3),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,152.0,4.0,3.0,1.0,,,,,,,,,,,
154,PT00M01.50S,2021-11-11T00:34:13.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630591,5.338370565045992,48.529411764705884,1610612753,23,28,2021-11-11T00:34:22Z,1500000,7.0,-2.0,1,left,J. Suggs putback Layup (4 PTS),[1630591],1610612753.0,ORL,putback,,,Suggs,J. Suggs,,,,,,,,0.77,Made,,,,,,,4.0,,,,,,,,
155,PT00M00.00S,2021-11-11T00:34:21.0Z,1,REGULAR,period,end,[],0,,,1610612751,23,28,2021-11-11T00:34:21Z,1510000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-11-11T00:36:30.0Z,2,REGULAR,substitution,out,['startperiod'],203082,,,1610612751,23,28,2021-11-11T00:36:59Z,1520000,,,0,,SUB out: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-11-11T00:36:30.0Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612751,23,28,2021-11-11T00:36:59Z,1530000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2021-11-11T00:36:30.0Z,2,REGULAR,substitution,in,['startperiod'],1630181,,,1610612751,23,28,2021-11-11T00:36:59Z,1540000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-11-11T00:36:30.0Z,2,REGULAR,substitution,in,['startperiod'],200794,,,1610612751,23,28,2021-11-11T00:36:59Z,1550000,,,0,,SUB in: P. Millsap,[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-11-11T00:37:04.4Z,2,REGULAR,period,start,[],0,,,1610612753,23,28,2021-11-11T00:37:04Z,1560000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT11M44.00S,2021-11-11T00:37:19.5Z,2,REGULAR,2pt,Jump Shot,[],203914,8.754927726675426,68.13725490196079,1610612753,23,28,2021-11-11T00:37:26Z,1570000,-91.0,30.0,1,left,MISS G. Harris 9' driving floating Shot,[203914],1610612753.0,ORL,driving floating,,,Harris,G. Harris,,,,,,,,9.55,Missed,,,,,,,,,,,,,,,
163,PT11M42.00S,2021-11-11T00:37:21.5Z,2,REGULAR,rebound,defensive,[],200746,,,1610612751,23,28,2021-11-11T00:37:26Z,1580000,,,0,,L. Aldridge REBOUND (Off:2 Def:3),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,162.0,5.0,3.0,2.0,,,,,,,,,,,
164,PT11M36.00S,2021-11-11T00:37:27.5Z,2,REGULAR,3pt,Jump Shot,[],200794,75.77201051248358,12.745098039215685,1610612751,23,28,2021-11-11T00:37:32Z,1590000,-186.0,175.0,1,right,MISS P. Millsap 25' 3PT,[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,25.57,Missed,,,,,,,,,,,,,,,
165,PT11M33.00S,2021-11-11T00:37:30.5Z,2,REGULAR,rebound,defensive,[],1630591,,,1610612753,23,28,2021-11-11T00:37:32Z,1600000,,,0,,J. Suggs REBOUND (Off:1 Def:4),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,164.0,5.0,4.0,1.0,,,,,,,,,,,
166,PT11M15.00S,2021-11-11T00:37:48.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628964,6.652431011826544,48.03921568627451,1610612753,25,28,2021-11-11T00:37:57Z,1610000,10.0,10.0,1,left,M. Bamba Layup (7 PTS) (G. Harris 1 AST),"[1628964, 203914]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,1.4,Made,,,,,,,7.0,,,,,,G. Harris,203914.0,1.0
168,PT10M54.00S,2021-11-11T00:38:09.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200746,82.60512483574244,35.294117647058826,1610612751,25,30,2021-11-11T00:38:14Z,1630000,-74.0,111.0,1,right,L. Aldridge 13' turnaround fadeaway Jump Shot (4 PTS) (P. Mills 1 AST),"[200746, 201988]",1610612751.0,BKN,turnaround fadeaway,,,Aldridge,L. Aldridge,,,,,,,,13.31,Made,,,,,,,4.0,,,,,,P. Mills,201988.0,1.0
170,PT10M44.00S,2021-11-11T00:38:19.1Z,2,REGULAR,3pt,Jump Shot,[],1630591,29.911300919842315,22.30392156862745,1610612753,25,30,2021-11-11T00:39:39Z,1650000,138.0,229.0,1,left,MISS J. Suggs 26' pullup 3PT,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,,,,26.74,Missed,,,,,,,,,,,,,,,
171,PT10M43.00S,2021-11-11T00:38:20.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612751,25,30,2021-11-11T00:38:25Z,1660000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,170.0,,,,,,,,,,,,,,
172,PT10M43.00S,2021-11-11T00:38:25.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,25,30,2021-11-11T00:38:25Z,1670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT10M34.00S,2021-11-11T00:38:34.1Z,2,REGULAR,3pt,Jump Shot,[],200746,72.48685939553219,81.37254901960785,1610612751,25,33,2021-11-11T00:38:42Z,1680000,157.0,206.0,1,right,L. Aldridge 25' 3PT  (7 PTS) (J. Carter 1 AST),"[200746, 1628975]",1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,25.9,Made,,,,,,,7.0,,,,,,J. Carter,1628975.0,1.0
175,PT10M09.00S,2021-11-11T00:38:59.2Z,2,REGULAR,3pt,Jump Shot,[],1630181,22.552562417871222,87.74509803921569,1610612753,25,33,2021-11-11T00:39:04Z,1700000,-189.0,159.0,1,left,MISS R. Hampton 24' 3PT,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,24.71,Missed,,,,,,,,,,,,,,,
176,PT10M09.00S,2021-11-11T00:38:59.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612753,25,33,2021-11-11T00:39:04Z,1710000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,
177,PT10M09.00S,2021-11-11T00:39:04.1Z,2,REGULAR,foul,personal,[],1627761,,,1610612753,25,33,2021-11-11T00:39:19Z,1720000,,,0,,D. Bembry loose ball personal FOUL (1 PF),"[1627761, 1629643]",1610612751.0,BKN,loose ball,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Okeke,1629643.0,,,
179,PT10M01.00S,2021-11-11T00:39:26.2Z,2,REGULAR,foul,personal,['2freethrow'],1628975,,,1610612753,25,33,2021-11-11T00:39:44Z,1740000,,,0,,J. Carter shooting personal FOUL (1 PF) (Suggs 2 FT),"[1628975, 1630591]",1610612751.0,BKN,shooting,,,Carter,J. Carter,,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Suggs,1630591.0,,,
