actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
86,PT04M20.00S,2022-03-09T00:25:15.5Z,1,REGULAR,3pt,Jump Shot,[],1629643,94.30026281208936,96.07843137254902,1610612753,17,14,2022-03-09T00:25:20Z,860000,230.0,1.0,1,right,MISS C. Okeke 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M17.00S,2022-03-09T00:25:18.5Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612756,17,14,2022-03-09T00:25:20Z,870000,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,
88,PT04M11.00S,2022-03-09T00:25:24.1Z,1,REGULAR,3pt,Jump Shot,[],1629013,25.706307490144546,14.215686274509803,1610612756,17,17,2022-03-09T00:25:28Z,880000,179.0,189.0,1,left,L. Shamet 26' 3PT pullup (3 PTS),[1629013],1610612756.0,PHX,pullup,,,Shamet,L. Shamet,,,,,26.03,Made,3.0,,,,,,,,,,,,,,,,,,
89,PT03M55.00S,2022-03-09T00:25:39.2Z,1,REGULAR,2pt,Jump Shot,[],1628976,81.94809461235218,72.79411764705883,1610612753,19,17,2022-03-09T00:25:43Z,890000,114.0,117.0,1,right,W. Carter Jr. 16' pullup Jump Shot (11 PTS) (C. Anthony 3 AST),"[1628976, 1630175]",1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,16.35,Made,11.0,C. Anthony,1630175.0,3.0,,,,,,,,,,,,,,,
91,PT03M41.00S,2022-03-09T00:25:56.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,13.091327201051248,49.01960784313725,1610612756,19,19,2022-03-09T00:26:04Z,910000,5.0,71.0,1,left,D. Ayton 7' Hook (10 PTS) (A. Holiday 1 AST),"[1629028, 1628988]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,7.08,Made,10.0,A. Holiday,1628988.0,1.0,,,,,,,,,,,,,,,
93,PT03M41.00S,2022-03-09T00:25:59.0Z,1,REGULAR,foul,personal,['1freethrow'],1629643,,,1610612756,19,19,2022-03-09T00:26:19Z,930000,,,0,,C. Okeke shooting personal FOUL (1 PF) (Ayton 1 FT),"[1629643, 1629028]",1610612753.0,ORL,shooting,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Ayton,1629028.0,,,,,
95,PT03M41.00S,2022-03-09T00:26:10.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612756,19,19,2022-03-09T00:26:18Z,950000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M41.00S,2022-03-09T00:26:10.6Z,1,REGULAR,substitution,out,[],1630175,,,1610612756,19,19,2022-03-09T00:26:18Z,960000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M41.00S,2022-03-09T00:26:10.6Z,1,REGULAR,substitution,in,[],203082,,,1610612756,19,19,2022-03-09T00:26:18Z,970000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M41.00S,2022-03-09T00:26:10.6Z,1,REGULAR,substitution,in,[],1628365,,,1610612756,19,19,2022-03-09T00:26:18Z,980000,,,0,,SUB in: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M41.00S,2022-03-09T00:26:22.5Z,1,REGULAR,freethrow,1 of 1,[],1629028,,,1610612756,19,20,2022-03-09T00:26:22Z,990000,,,0,,D. Ayton Free Throw 1 of 1 (11 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
100,PT03M17.00S,2022-03-09T00:26:49.0Z,1,REGULAR,2pt,Jump Shot,[],203082,73.80091984231275,33.82352941176471,1610612753,19,20,2022-03-09T00:26:53Z,1000000,-81.0,194.0,1,right,MISS T. Ross 21' pullup Shot - blocked,"[203082, 1628470]",1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,21.0,Missed,,,,,,,,,,,,,,,Craig,1628470.0,,,
101,PT03M17.00S,2022-03-09T00:26:49.0Z,1,REGULAR,block,,[],1628470,,,1610612753,19,20,2022-03-09T00:26:51Z,1010000,,,0,,T. Craig BLOCK (1 BLK),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M13.00S,2022-03-09T00:26:53.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,19,20,2022-03-09T00:26:53Z,1020000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,100.0,2.0,2.0,0.0,,,,,,,,,,,
103,PT03M10.00S,2022-03-09T00:26:55.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629013,20.45006570302234,89.4607843137255,1610612756,19,20,2022-03-09T00:27:01Z,1030000,-197.0,140.0,1,left,MISS L. Shamet 24' 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,24.18,Missed,,,,,,,,,,,,,,,,,,,
104,PT03M07.00S,2022-03-09T00:26:58.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,19,20,2022-03-09T00:27:01Z,1040000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:5),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,103.0,6.0,5.0,1.0,,,,,,,,,,,
105,PT03M03.00S,2022-03-09T00:27:02.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203082,80.3712220762155,93.62745098039215,1610612753,19,20,2022-03-09T00:27:39Z,1050000,218.0,132.0,1,right,MISS T. Ross 25' running 3PT,[203082],1610612753.0,ORL,running,,,Ross,T. Ross,,,,,25.49,Missed,,,,,,,,,,,,,,,,,,,
106,PT02M59.00S,2022-03-09T00:27:06.3Z,1,REGULAR,rebound,defensive,[],1628988,,,1610612756,19,20,2022-03-09T00:27:12Z,1060000,,,0,,A. Holiday REBOUND (Off:0 Def:1),[1628988],1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,,,,,,,105.0,1.0,1.0,0.0,,,,,,,,,,,
107,PT02M40.00S,2022-03-09T00:27:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,10.463206307490145,52.20588235294118,1610612756,19,22,2022-03-09T00:27:30Z,1070000,-11.0,46.0,1,left,M. Bridges driving Layup (5 PTS),[1628969],1610612756.0,PHX,driving,,,Bridges,M. Bridges,,,,,4.72,Made,5.0,,,,,,,,,,,,,,,,,,
108,PT02M14.00S,2022-03-09T00:27:50.3Z,1,REGULAR,2pt,Jump Shot,[],1628365,75.64060446780552,58.57843137254902,1610612753,19,22,2022-03-09T00:27:55Z,1080000,43.0,176.0,1,right,MISS M. Fultz 18' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,18.16,Missed,,,,,,,,,,,,,,,,,,,
109,PT02M12.00S,2022-03-09T00:27:52.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,19,22,2022-03-09T00:27:55Z,1090000,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,108.0,3.0,3.0,0.0,,,,,,,,,,,
110,PT02M04.00S,2022-03-09T00:28:01.5Z,1,REGULAR,2pt,Jump Shot,[],1628988,22.815374507227332,53.18627450980392,1610612756,19,22,2022-03-09T00:28:05Z,1100000,-16.0,162.0,1,left,MISS A. Holiday 16' pullup Shot,[1628988],1610612756.0,PHX,pullup,,,Holiday,A. Holiday,,,,,16.28,Missed,,,,,,,,,,,,,,,,,,,
111,PT02M00.00S,2022-03-09T00:28:05.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,19,22,2022-03-09T00:28:09Z,1110000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:6),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,110.0,7.0,6.0,1.0,,,,,,,,,,,
112,PT01M55.00S,2022-03-09T00:28:10.3Z,1,REGULAR,turnover,bad pass,[],1628365,,,1610612753,19,22,2022-03-09T00:28:14Z,1120000,,,0,,M. Fultz bad pass TURNOVER (1 TO),"[1628365, 1628969]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,1.0,,,,,,,,Bridges,1628969.0,
113,PT01M55.00S,2022-03-09T00:28:10.3Z,1,REGULAR,steal,,[],1628969,,,1610612756,19,22,2022-03-09T00:28:12Z,1130000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT01M49.00S,2022-03-09T00:28:17.8Z,1,REGULAR,foul,personal,[],1628365,,,1610612756,19,22,2022-03-09T00:28:46Z,1140000,,,0,,M. Fultz personal FOUL (1 PF),"[1628365, 1629013]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Shamet,1629013.0,,,,,
116,PT01M49.00S,2022-03-09T00:28:23.9Z,1,REGULAR,substitution,out,[],1628976,,,1610612756,19,22,2022-03-09T00:28:47Z,1160000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT01M49.00S,2022-03-09T00:28:23.9Z,1,REGULAR,substitution,out,[],1629013,,,1610612756,19,22,2022-03-09T00:28:47Z,1170000,,,0,,SUB out: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M49.00S,2022-03-09T00:28:23.9Z,1,REGULAR,substitution,out,[],1629028,,,1610612756,19,22,2022-03-09T00:28:47Z,1180000,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M49.00S,2022-03-09T00:28:23.9Z,1,REGULAR,substitution,in,[],1629021,,,1610612756,19,22,2022-03-09T00:28:47Z,1190000,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M49.00S,2022-03-09T00:28:23.9Z,1,REGULAR,substitution,in,[],201580,,,1610612756,19,22,2022-03-09T00:28:47Z,1200000,,,0,,SUB in: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M49.00S,2022-03-09T00:28:23.9Z,1,REGULAR,substitution,in,[],1630688,,,1610612756,19,22,2022-03-09T00:28:47Z,1210000,,,0,,SUB in: I. Wainright,[1630688],1610612756.0,PHX,,,,Wainright,I. Wainright,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M38.00S,2022-03-09T00:28:54.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628969,16.770696452036795,48.529411764705884,1610612756,19,22,2022-03-09T00:29:03Z,1220000,7.0,105.0,1,left,MISS M. Bridges 10' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,10.54,Missed,,,,,,,,,,,,,,,,,,,
123,PT01M30.00S,2022-03-09T00:29:01.2Z,1,REGULAR,rebound,offensive,[],1628470,,,1610612756,19,22,2022-03-09T00:29:01Z,1230000,,,0,,T. Craig REBOUND (Off:1 Def:0),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,122.0,1.0,0.0,1.0,,,,,,,,,,,
124,PT01M30.00S,2022-03-09T00:29:01.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628470,5.590000152587891,50.0,1610612756,19,22,2022-03-09T00:29:01Z,1240000,0.0,0.0,1,left,MISS T. Craig putback Layup,[1628470],1610612756.0,PHX,putback,,,Craig,T. Craig,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
125,PT01M29.00S,2022-03-09T00:29:02.3Z,1,REGULAR,rebound,offensive,[],1628988,,,1610612756,19,22,2022-03-09T00:29:02Z,1250000,,,0,,A. Holiday REBOUND (Off:1 Def:1),[1628988],1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,,,,,,,124.0,2.0,1.0,1.0,,,,,,,,,,,
126,PT01M28.00S,2022-03-09T00:29:04.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628470,6.915243101182654,45.09803921568628,1610612756,19,24,2022-03-09T00:29:09Z,1260000,25.0,13.0,1,left,T. Craig alley-oop DUNK (2 PTS) (A. Holiday 2 AST),"[1628470, 1628988]",1610612756.0,PHX,alley-oop,,,Craig,T. Craig,,,,,2.75,Made,2.0,A. Holiday,1628988.0,2.0,,,,,,,,,,,,,,,
128,PT01M09.00S,2022-03-09T00:29:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629643,80.6340341655716,44.36274509803921,1610612753,19,24,2022-03-09T00:29:27Z,1280000,-28.0,130.0,1,right,MISS C. Okeke 13' pullup Shot,[1629643],1610612753.0,ORL,pullup,,,Okeke,C. Okeke,,,,,13.25,Missed,,,,,,,,,,,,,,,,,,,
129,PT01M07.00S,2022-03-09T00:29:25.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,19,24,2022-03-09T00:29:27Z,1290000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,128.0,2.0,2.0,0.0,,,,,,,,,,,
130,PT01M03.00S,2022-03-09T00:29:31.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628365,,,1610612756,19,24,2022-03-09T00:29:45Z,1300000,,,0,,M. Fultz personal FOUL (2 PF) (Holiday 2 FT),"[1628365, 1628988]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,1151.0,2.0,0.0,Holiday,1628988.0,,,,,
132,PT01M03.00S,2022-03-09T00:29:55.9Z,1,REGULAR,freethrow,1 of 2,[],1628988,,,1610612756,19,25,2022-03-09T00:29:55Z,1320000,,,0,,A. Holiday Free Throw 1 of 2 (1 PTS),[1628988],1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
133,PT01M03.00S,2022-03-09T00:30:07.1Z,1,REGULAR,freethrow,2 of 2,[],1628988,,,1610612756,19,26,2022-03-09T00:30:07Z,1330000,,,0,,A. Holiday Free Throw 2 of 2 (2 PTS),[1628988],1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
134,PT00M49.20S,2022-03-09T00:30:24.4Z,1,REGULAR,3pt,Jump Shot,[],203082,71.43561103810775,80.3921568627451,1610612753,19,26,2022-03-09T00:30:29Z,1340000,152.0,216.0,1,right,MISS T. Ross 26' pullup 3PT,[203082],1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,26.41,Missed,,,,,,,,,,,,,,,,,,,
135,PT00M46.20S,2022-03-09T00:30:27.4Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,19,26,2022-03-09T00:30:29Z,1350000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,134.0,1.0,1.0,0.0,,,,,,,,,,,
136,PT00M42.60S,2022-03-09T00:30:31.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201580,6.652431011826544,51.9607843137255,1610612756,19,28,2022-03-09T00:30:37Z,1360000,-10.0,10.0,1,left,J. McGee alley-oop DUNK (2 PTS) (A. Holiday 3 AST),"[201580, 1628988]",1610612756.0,PHX,alley-oop,,,McGee,J. McGee,,,,,1.4,Made,2.0,A. Holiday,1628988.0,3.0,,,,,,,,,,,,,,,
138,PT00M42.20S,2022-03-09T00:30:40.8Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612753,19,28,2022-03-09T00:30:40Z,1380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT00M25.50S,2022-03-09T00:31:05.1Z,1,REGULAR,2pt,Layup,[],203082,91.14651773981603,33.82352941176471,1610612753,19,28,2022-03-09T00:31:10Z,1390000,-81.0,31.0,1,right,MISS T. Ross 8' driving Layup,[203082],1610612753.0,ORL,driving,,,Ross,T. Ross,,,,,8.65,Missed,,,,,,,,,,,,,,,,,,,
140,PT00M23.70S,2022-03-09T00:31:06.9Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612756,19,28,2022-03-09T00:31:10Z,1400000,,,0,,T. Craig REBOUND (Off:1 Def:1),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,139.0,2.0,1.0,1.0,,,,,,,,,,,
141,PT00M06.60S,2022-03-09T00:31:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628988,7.966491458607096,42.8921568627451,1610612756,19,28,2022-03-09T00:31:50Z,1410000,36.0,22.0,1,left,MISS A. Holiday driving finger roll Layup,[1628988],1610612756.0,PHX,driving finger roll,,,Holiday,A. Holiday,,,,,4.2,Missed,,,,,,,,,,,,,,,,,,,
142,PT00M04.20S,2022-03-09T00:31:26.4Z,1,REGULAR,rebound,defensive,[],203082,,,1610612753,19,28,2022-03-09T00:31:26Z,1420000,,,0,,T. Ross REBOUND (Off:0 Def:1),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,141.0,1.0,1.0,0.0,,,,,,,,,,,
143,PT00M02.60S,2022-03-09T00:31:30.8Z,1,REGULAR,foul,personal,[],1630688,,,1610612753,19,28,2022-03-09T00:31:35Z,1430000,,,0,,I. Wainright personal FOUL (1 PF),"[1630688, 203082]",1610612756.0,PHX,,,,Wainright,I. Wainright,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Ross,203082.0,,,,,
145,PT00M00.50S,2022-03-09T00:31:51.3Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",201580,,,1610612753,19,28,2022-03-09T00:31:58Z,1450000,,,0,,J. McGee shooting personal FOUL (1 PF) (Ross 3 FT),"[201580, 203082]",1610612756.0,PHX,shooting,,,McGee,J. McGee,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Ross,203082.0,,,,,
147,PT00M00.50S,2022-03-09T00:32:23.8Z,1,REGULAR,freethrow,1 of 3,[],203082,,,1610612753,20,28,2022-03-09T00:32:23Z,1470000,,,0,,T. Ross Free Throw 1 of 3 (1 PTS),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
148,PT00M00.50S,2022-03-09T00:32:34.4Z,1,REGULAR,freethrow,2 of 3,[],203082,,,1610612753,21,28,2022-03-09T00:32:34Z,1480000,,,0,,T. Ross Free Throw 2 of 3 (2 PTS),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
149,PT00M00.50S,2022-03-09T00:32:47.4Z,1,REGULAR,freethrow,3 of 3,[],203082,,,1610612753,22,28,2022-03-09T00:32:47Z,1490000,,,0,,T. Ross Free Throw 3 of 3 (3 PTS),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
150,PT00M00.00S,2022-03-09T00:32:54.4Z,1,REGULAR,period,end,[],0,,,1610612756,22,28,2022-03-09T00:32:54Z,1500000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-03-09T00:33:07.9Z,2,REGULAR,substitution,out,['startperiod'],1628969,,,1610612756,22,28,2022-03-09T00:35:11Z,1510000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-03-09T00:33:07.9Z,2,REGULAR,substitution,in,['startperiod'],1626166,,,1610612756,22,28,2022-03-09T00:35:11Z,1520000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-03-09T00:35:59.2Z,2,REGULAR,period,start,[],0,,,1610612753,22,28,2022-03-09T00:35:59Z,1530000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT11M40.00S,2022-03-09T00:36:17.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203914,91.14651773981603,50.98039215686274,1610612753,24,28,2022-03-09T00:36:24Z,1540000,5.0,31.0,1,right,G. Harris cutting DUNK (2 PTS) (M. Fultz 1 AST),"[203914, 1628365]",1610612753.0,ORL,cutting,,,Harris,G. Harris,,,,,3.11,Made,2.0,M. Fultz,1628365.0,1.0,,,,,,,,,,,,,,,
156,PT11M22.00S,2022-03-09T00:36:36.2Z,2,REGULAR,3pt,Jump Shot,[],1628470,5.601182654402102,95.58823529411765,1610612756,24,28,2022-03-09T00:36:41Z,1560000,-228.0,0.0,1,left,MISS T. Craig 3PT,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,,
157,PT11M18.00S,2022-03-09T00:36:40.2Z,2,REGULAR,rebound,offensive,[],1628988,,,1610612756,24,28,2022-03-09T00:36:41Z,1570000,,,0,,A. Holiday REBOUND (Off:2 Def:1),[1628988],1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,,,,,,,156.0,3.0,1.0,2.0,,,,,,,,,,,
158,PT11M11.00S,2022-03-09T00:36:46.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628988,30.17411300919842,24.264705882352942,1610612756,24,28,2022-03-09T00:36:51Z,1580000,129.0,231.0,1,left,MISS A. Holiday 26' 3PT,[1628988],1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,26.45,Missed,,,,,,,,,,,,,,,,,,,
159,PT11M08.00S,2022-03-09T00:36:49.6Z,2,REGULAR,rebound,defensive,[],1628365,,,1610612753,24,28,2022-03-09T00:36:51Z,1590000,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,158.0,1.0,1.0,0.0,,,,,,,,,,,
160,PT11M05.00S,2022-03-09T00:36:53.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203914,70.90998685939553,16.666666666666664,1610612753,24,28,2022-03-09T00:37:01Z,1600000,-167.0,221.0,1,right,MISS G. Harris 27' running pullup 3PT,[203914],1610612753.0,ORL,running pullup,,,Harris,G. Harris,,,,,27.67,Missed,,,,,,,,,,,,,,,,,,,
161,PT11M02.00S,2022-03-09T00:36:56.0Z,2,REGULAR,rebound,defensive,[],1626166,,,1610612756,24,28,2022-03-09T00:37:01Z,1610000,,,0,,C. Payne REBOUND (Off:0 Def:1),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,160.0,1.0,1.0,0.0,,,,,,,,,,,
162,PT10M53.00S,2022-03-09T00:37:05.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201580,16.63929040735874,46.568627450980394,1610612756,24,30,2022-03-09T00:37:17Z,1620000,17.0,104.0,1,left,J. McGee 10' floating Jump Shot (4 PTS) (C. Payne 4 AST),"[201580, 1626166]",1610612756.0,PHX,floating,,,McGee,J. McGee,,,,,10.53,Made,4.0,C. Payne,1626166.0,4.0,,,,,,,,,,,,,,,
164,PT10M42.00S,2022-03-09T00:37:16.1Z,2,REGULAR,3pt,Jump Shot,[],203914,82.47371879106439,4.901960784313726,1610612753,27,30,2022-03-09T00:37:20Z,1640000,-225.0,112.0,1,right,G. Harris 25' 3PT  (5 PTS) (M. Fultz 2 AST),"[203914, 1628365]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,25.19,Made,5.0,M. Fultz,1628365.0,2.0,,,,,,,,,,,,,,,
166,PT10M28.00S,2022-03-09T00:37:30.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628470,7.440867279894875,54.166666666666664,1610612756,27,32,2022-03-09T00:37:35Z,1660000,-21.0,17.0,1,left,T. Craig Layup (4 PTS) (A. Holiday 4 AST),"[1628470, 1628988]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,2.71,Made,4.0,A. Holiday,1628988.0,4.0,,,,,,,,,,,,,,,
168,PT10M13.00S,2022-03-09T00:37:44.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629643,92.19776609724047,45.588235294117645,1610612753,29,32,2022-03-09T00:37:49Z,1680000,-22.0,21.0,1,right,C. Okeke cutting Layup (2 PTS) (G. Harris 1 AST),"[1629643, 203914]",1610612753.0,ORL,cutting,,,Okeke,C. Okeke,,,,,3.03,Made,2.0,G. Harris,203914.0,1.0,,,,,,,,,,,,,,,
170,PT09M53.00S,2022-03-09T00:38:05.2Z,2,REGULAR,3pt,Jump Shot,[],201580,31.882391590013142,58.82352941176471,1610612756,29,32,2022-03-09T00:38:09Z,1700000,-44.0,247.0,1,left,MISS J. McGee 25' 3PT,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
171,PT09M50.00S,2022-03-09T00:38:08.2Z,2,REGULAR,rebound,defensive,[],1629643,,,1610612753,29,32,2022-03-09T00:38:09Z,1710000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,170.0,1.0,1.0,0.0,,,,,,,,,,,
172,PT09M45.00S,2022-03-09T00:38:12.9Z,2,REGULAR,2pt,Layup,['fastbreak'],1628365,91.40932982917214,31.372549019607842,1610612753,29,32,2022-03-09T00:38:21Z,1720000,-93.0,28.0,1,right,MISS M. Fultz 9' running Layup - blocked,"[1628365, 1628470]",1610612753.0,ORL,running,,,Fultz,M. Fultz,,,,,9.73,Missed,,,,,,,,,,,,,,,Craig,1628470.0,,,
173,PT09M45.00S,2022-03-09T00:38:12.9Z,2,REGULAR,block,,[],1628470,,,1610612753,29,32,2022-03-09T00:38:16Z,1730000,,,0,,T. Craig BLOCK (2 BLK),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT09M42.00S,2022-03-09T00:38:15.9Z,2,REGULAR,rebound,defensive,[],1628470,,,1610612756,29,32,2022-03-09T00:38:21Z,1740000,,,0,,T. Craig REBOUND (Off:1 Def:2),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,172.0,3.0,2.0,1.0,,,,,,,,,,,
