actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
49,PT07M55.00S,2022-03-12T00:17:07.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201976,,,1610612753,9,15,2022-03-12T00:17:19Z,490000,,,0,,P. Beverley personal FOUL (3 PF) (Bamba 2 FT),"[201976, 1628964]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,1627524.0,3.0,0.0,Bamba,1628964.0,,
51,PT07M55.00S,2022-03-12T00:17:44.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628964,,,1610612753,10,15,2022-03-12T00:17:44Z,510000,,,0,,M. Bamba Free Throw 1 of 2 (4 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,Made,,,,,4.0,,,,,,,,,,
52,PT07M55.00S,2022-03-12T00:17:45.5Z,1,REGULAR,substitution,out,[],201976,,,1610612753,10,15,2022-03-12T00:17:55Z,520000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M55.00S,2022-03-12T00:17:45.5Z,1,REGULAR,substitution,in,[],1627736,,,1610612753,10,15,2022-03-12T00:17:55Z,530000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M55.00S,2022-03-12T00:18:03.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628964,,,1610612753,11,15,2022-03-12T00:18:03Z,540000,,,0,,M. Bamba Free Throw 2 of 2 (5 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,Made,,,,,5.0,,,,,,,,,,
55,PT07M41.00S,2022-03-12T00:18:17.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629020,87.33574244415243,44.6078431372549,1610612750,11,15,2022-03-12T00:20:13Z,550000,-27.0,67.0,1,right,MISS J. Vanderbilt 7' Hook,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,7.18,Missed,,,,,,,,,,,,,,,
56,PT07M38.00S,2022-03-12T00:18:20.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,11,15,2022-03-12T00:20:13Z,560000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,
57,PT07M29.00S,2022-03-12T00:18:30.4Z,1,REGULAR,2pt,Jump Shot,[],1630591,26.62614980289093,50.0,1610612753,13,15,2022-03-12T00:18:35Z,570000,0.0,198.0,1,left,J. Suggs 19' pullup Jump Shot (2 PTS) (W. Carter Jr. 1 AST),"[1630591, 1628976]",1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,,,,19.78,Made,,,,,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,
59,PT07M16.00S,2022-03-12T00:18:42.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629020,93.64323258869908,48.28431372549019,1610612750,13,17,2022-03-12T00:18:47Z,590000,-9.0,7.0,1,right,J. Vanderbilt DUNK (2 PTS) (A. Edwards 2 AST),"[1629020, 1630162]",1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,1.13,Made,,,,,2.0,A. Edwards,1630162.0,2.0,,,,,,,
61,PT07M01.00S,2022-03-12T00:18:57.5Z,1,REGULAR,2pt,Jump Shot,[],1628964,14.011169513797633,12.745098039215685,1610612753,13,17,2022-03-12T00:19:02Z,610000,186.0,79.0,1,left,MISS M. Bamba 20' pullup Shot,[1628964],1610612753.0,ORL,pullup,,,Bamba,M. Bamba,,,,,,,,20.24,Missed,,,,,,,,,,,,,,,
62,PT06M59.00S,2022-03-12T00:18:59.5Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,13,17,2022-03-12T00:19:02Z,620000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,
63,PT06M53.00S,2022-03-12T00:19:05.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,69.20170827858082,27.696078431372552,1610612750,13,20,2022-03-12T00:19:16Z,630000,-112.0,237.0,1,right,A. Edwards 26' 3PT running pullup (6 PTS),[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,,,,26.19,Made,,,,,6.0,,,,,,,,,,
64,PT06M36.00S,2022-03-12T00:19:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.701708278580814,45.978860294117645,1610612753,13,20,2022-03-12T00:22:11Z,640000,20.0,10.0,1,left,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,,,,2.27,Missed,,,,,,,,,,,,,,,
65,PT06M35.00S,2022-03-12T00:19:26.1Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,13,20,2022-03-12T00:22:11Z,650000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,64.0,2.0,1.0,1.0,,,,,,,,,,,
69,PT06M35.00S,2022-03-12T00:19:29.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,6.57030223390276,52.37438725490197,1610612753,13,20,2022-03-12T00:22:22Z,655000,-12.0,9.0,1,left,MISS W. Carter Jr. tip Layup,[1628976],1610612753.0,ORL,tip,,,Carter Jr.,W. Carter Jr.,,,,,,,,1.51,Missed,,,,,,,,,,,,,,,
70,PT06M34.00S,2022-03-12T00:19:30.5Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,13,20,2022-03-12T00:22:22Z,657500,,,0,,W. Carter Jr. REBOUND (Off:2 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,69.0,3.0,1.0,2.0,,,,,,,,,,,
66,PT06M34.00S,2022-03-12T00:19:34.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629020,,,1610612753,13,20,2022-03-12T00:19:52Z,660000,,,0,,J. Vanderbilt personal FOUL (1 PF) (Carter Jr. 2 FT),"[1629020, 1628976]",1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Carter Jr.,1628976.0,,
68,PT06M34.00S,2022-03-12T00:19:50.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,13,20,2022-03-12T00:19:50Z,680000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2022-03-12T00:22:27.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628976,,,1610612753,14,20,2022-03-12T00:22:27Z,690000,,,0,,W. Carter Jr. Free Throw 1 of 2 (3 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
72,PT06M34.00S,2022-03-12T00:22:42.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628976,,,1610612753,15,20,2022-03-12T00:22:42Z,700000,,,0,,W. Carter Jr. Free Throw 2 of 2 (4 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,Made,,,,,4.0,,,,,,,,,,
73,PT06M19.00S,2022-03-12T00:23:03.0Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612750,15,20,2022-03-12T00:23:14Z,710000,,,0,,C. Anthony shooting personal FOUL (1 PF) (Towns 2 FT),"[1630175, 1626157]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Towns,1626157.0,,
75,PT06M19.00S,2022-03-12T00:23:33.6Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,15,21,2022-03-12T00:23:33Z,730000,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
76,PT06M19.00S,2022-03-12T00:23:51.7Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,15,22,2022-03-12T00:23:51Z,740000,,,0,,K. Towns Free Throw 2 of 2 (2 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
77,PT06M07.00S,2022-03-12T00:24:08.0Z,1,REGULAR,3pt,Jump Shot,[],1630591,32.933639947437584,59.068627450980394,1610612753,15,22,2022-03-12T00:24:49Z,750000,-45.0,257.0,1,left,MISS J. Suggs 26' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,26.11,Missed,,,,,,,,,,,,,,,
78,PT06M06.00S,2022-03-12T00:24:09.0Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,15,22,2022-03-12T00:24:49Z,760000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,77.0,2.0,1.0,1.0,,,,,,,,,,,
79,PT06M05.00S,2022-03-12T00:24:17.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628964,5.590000152587891,50.0,1610612753,17,22,2022-03-12T00:24:56Z,770000,0.0,0.0,1,left,M. Bamba tip DUNK (7 PTS),[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,,,,0.0,Made,,,,,7.0,,,,,,,,,,
80,PT05M49.00S,2022-03-12T00:24:26.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1626157,90.09526938239159,50.73529411764706,1610612750,17,24,2022-03-12T00:25:16Z,780000,4.0,41.0,1,right,K. Towns driving Layup (4 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,,,4.08,Made,,,,,4.0,,,,,,,,,,
81,PT05M49.00S,2022-03-12T00:24:34.2Z,1,REGULAR,violation,defensive goaltending,[],1628964,,,1610612750,17,24,2022-03-12T00:25:16Z,790000,,,0,,M. Bamba defensive goaltending VIOLATION,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,1627524.0,,,,,,
82,PT05M35.00S,2022-03-12T00:24:49.2Z,1,REGULAR,2pt,Jump Shot,[],1630175,17.296320630749015,31.61764705882353,1610612753,19,24,2022-03-12T00:29:13Z,800000,92.0,110.0,1,left,C. Anthony 14' driving floating Jump Shot (2 PTS) (W. Carter Jr. 2 AST),"[1630175, 1628976]",1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,,,,14.34,Made,,,,,2.0,W. Carter Jr.,1628976.0,2.0,,,,,,,
83,PT05M21.00S,2022-03-12T00:25:12.4Z,1,REGULAR,foul,personal,['2freethrow'],1630532,,,1610612750,19,24,2022-03-12T00:25:25Z,810000,,,0,,F. Wagner shooting personal FOUL (1 PF) (Edwards 2 FT),"[1630532, 1630162]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Edwards,1630162.0,,
85,PT05M21.00S,2022-03-12T00:25:34.7Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,19,25,2022-03-12T00:25:34Z,830000,,,0,,A. Edwards Free Throw 1 of 2 (7 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,Made,,,,,7.0,,,,,,,,,,
86,PT05M21.00S,2022-03-12T00:25:36.1Z,1,REGULAR,substitution,out,[],1630591,,,1610612750,19,25,2022-03-12T00:25:45Z,840000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,
