actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
91,PT04M52.00S,2021-12-05T03:26:55.1Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,15,24,2021-12-05T03:26:56Z,910000,,,0,,E. Freedom REBOUND (Off:0 Def:4),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,90.0,4.0,4.0,0.0,,,,,,,
92,PT04M51.00S,2021-12-05T03:26:55.1Z,1,REGULAR,turnover,lost ball,[],202683,,,1610612738,15,24,2021-12-05T03:26:59Z,920000,,,0,,E. Freedom lost ball TURNOVER (1 TO),"[202683, 203468]",1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,1.0,,,,,,,,,,,,,,,,,McCollum,203468.0,
93,PT04M51.00S,2021-12-05T03:26:55.1Z,1,REGULAR,steal,,[],203468,,,1610612757,15,24,2021-12-05T03:26:56Z,930000,,,0,,C. McCollum STEAL (1 STL),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M42.00S,2021-12-05T03:27:08.3Z,1,REGULAR,turnover,out-of-bounds,[],203468,,,1610612757,15,24,2021-12-05T03:27:14Z,940000,,,0,,C. McCollum lost ball out-of-bounds TURNOVER (1 TO),[203468],1610612757.0,POR,lost ball,,,McCollum,C. McCollum,,,,,202901.0,1.0,,,,,,,,,,,,,,,,,,,
95,PT04M42.00S,2021-12-05T03:27:10.5Z,1,REGULAR,substitution,out,[],203994,,,1610612738,15,24,2021-12-05T03:27:16Z,950000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M42.00S,2021-12-05T03:27:10.5Z,1,REGULAR,substitution,in,[],203469,,,1610612738,15,24,2021-12-05T03:27:16Z,960000,,,0,,SUB in: C. Zeller,[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M32.00S,2021-12-05T03:27:37.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626196,95.6143232588699,47.30392156862745,1610612738,15,26,2021-12-05T03:27:42Z,970000,-13.0,-11.0,1,right,J. Richardson driving Layup (2 PTS) (D. Schroder 1 AST),"[1626196, 203471]",1610612738.0,BOS,driving,,,Richardson,J. Richardson,,,,,,,,,,,1.76,Made,,,,,,,2.0,D. Schroder,203471.0,1.0,,,
98,PT04M23.00S,2021-12-05T03:27:46.8Z,1,REGULAR,3pt,Jump Shot,[],203468,30.042706964520367,69.85294117647058,1610612757,15,26,2021-12-05T03:27:50Z,980000,-99.0,230.0,1,left,MISS C. McCollum 25' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,,,,25.04,Missed,,,,,,,,,,,,,
99,PT04M20.00S,2021-12-05T03:27:49.8Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,15,26,2021-12-05T03:27:50Z,990000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,98.0,1.0,1.0,0.0,,,,,,,
100,PT04M14.00S,2021-12-05T03:27:57.6Z,1,REGULAR,foul,personal,['2freethrow'],203468,,,1610612738,15,26,2021-12-05T03:28:13Z,1000000,,,0,,C. McCollum shooting personal FOUL (1 PF) (Schroder 2 FT),"[203468, 203471]",1610612757.0,POR,shooting,,,McCollum,C. McCollum,,,,,1179.0,,1.0,0.0,Schroder,203471.0,,,,,,,,,,,,,,,
102,PT04M14.00S,2021-12-05T03:28:27.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203471,,,1610612738,15,27,2021-12-05T03:28:27Z,1020000,,,0,,D. Schroder Free Throw 1 of 2 (6 PTS),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,Made,,,,,,,6.0,,,,,,
103,PT04M14.00S,2021-12-05T03:28:48.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203471,,,1610612738,15,28,2021-12-05T03:28:48Z,1030000,,,0,,D. Schroder Free Throw 2 of 2 (7 PTS),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,Made,,,,,,,7.0,,,,,,
104,PT03M58.00S,2021-12-05T03:29:07.7Z,1,REGULAR,turnover,out-of-bounds,[],1626181,,,1610612757,15,28,2021-12-05T03:29:17Z,1040000,,,0,,N. Powell lost ball out-of-bounds TURNOVER (1 TO),[1626181],1610612757.0,POR,lost ball,,,Powell,N. Powell,,,,,1179.0,1.0,,,,,,,,,,,,,,,,,,,
105,PT03M44.00S,2021-12-05T03:29:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202683,94.69448094612353,47.30392156862745,1610612738,15,30,2021-12-05T03:29:38Z,1050000,-13.0,-3.0,1,right,E. Freedom cutting Layup (4 PTS) (A. Nesmith 1 AST),"[202683, 1630174]",1610612738.0,BOS,cutting,,,Freedom,E. Freedom,,,,,,,,,,,1.37,Made,,,,,,,4.0,A. Nesmith,1630174.0,1.0,,,
107,PT03M31.00S,2021-12-05T03:29:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203469,9.280551905387648,49.01960784313725,1610612757,15,30,2021-12-05T03:29:51Z,1070000,5.0,35.0,1,left,MISS C. Zeller driving Layup - blocked,"[203469, 202683]",1610612757.0,POR,driving,,,Zeller,C. Zeller,,,,,,,,,,,3.5,Missed,Freedom,202683.0,,,,,,,,,,,
108,PT03M31.00S,2021-12-05T03:29:46.3Z,1,REGULAR,block,,[],202683,,,1610612757,15,30,2021-12-05T03:29:48Z,1080000,,,0,,E. Freedom BLOCK (1 BLK),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M28.00S,2021-12-05T03:29:49.3Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,15,30,2021-12-05T03:29:51Z,1090000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,107.0,1.0,1.0,0.0,,,,,,,
110,PT03M18.00S,2021-12-05T03:29:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,94.1688567674113,59.55882352941176,1610612738,15,32,2021-12-05T03:30:04Z,1100000,48.0,2.0,1,right,G. Williams driving floating Jump Shot (5 PTS) (J. Richardson 2 AST),"[1629684, 1626196]",1610612738.0,BOS,driving floating,,,Williams,G. Williams,,,,,,,,,,,4.79,Made,,,,,,,5.0,J. Richardson,1626196.0,2.0,,,
112,PT03M17.00S,2021-12-05T03:30:07.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,15,32,2021-12-05T03:30:07Z,1120000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M17.00S,2021-12-05T03:32:27.7Z,1,REGULAR,substitution,out,[],1626181,,,1610612757,15,32,2021-12-05T03:32:53Z,1130000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M17.00S,2021-12-05T03:32:27.7Z,1,REGULAR,substitution,in,[],203503,,,1610612757,15,32,2021-12-05T03:32:53Z,1140000,,,0,,SUB in: T. Snell,[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M00.00S,2021-12-05T03:33:18.6Z,1,REGULAR,2pt,Jump Shot,[],203463,14.011169513797633,82.35294117647058,1610612757,17,32,2021-12-05T03:33:27Z,1150000,-162.0,79.0,1,left,B. McLemore 18' pullup bank Jump Shot (2 PTS),[203463],1610612757.0,POR,pullup bank,,,McLemore,B. McLemore,,,,,,,,,,,18.01,Made,,,,,,,2.0,,,,,,
116,PT02M33.00S,2021-12-05T03:33:46.0Z,1,REGULAR,3pt,Jump Shot,[],203471,76.69185282522996,88.48039215686273,1610612738,17,35,2021-12-05T03:33:50Z,1160000,192.0,167.0,1,right,D. Schroder 25' 3PT  (10 PTS),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,25.45,Made,,,,,,,10.0,,,,,,
117,PT02M23.00S,2021-12-05T03:33:56.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,7.703679369250986,39.46078431372549,1610612757,17,35,2021-12-05T03:34:00Z,1170000,53.0,20.0,1,left,MISS C. McCollum driving floating bank Shot,[203468],1610612757.0,POR,driving floating bank,,,McCollum,C. McCollum,,,,,,,,,,,5.63,Missed,,,,,,,,,,,,,
118,PT02M21.00S,2021-12-05T03:33:58.2Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,17,35,2021-12-05T03:36:42Z,1180000,,,0,,E. Freedom REBOUND (Off:0 Def:5),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,117.0,5.0,5.0,0.0,,,,,,,
121,PT02M13.00S,2021-12-05T03:34:05.4Z,1,REGULAR,3pt,Jump Shot,[],1626196,72.48685939553219,18.137254901960784,1610612738,17,38,2021-12-05T03:36:38Z,1210000,-159.0,206.0,1,right,J. Richardson 26' 3PT  (5 PTS) (D. Schroder 2 AST),"[1626196, 203471]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,26.05,Made,,,,,,,5.0,D. Schroder,203471.0,2.0,,,
123,PT01M52.00S,2021-12-05T03:34:27.2Z,1,REGULAR,2pt,Jump Shot,[],203468,22.026938239159,48.77450980392157,1610612757,17,38,2021-12-05T03:34:36Z,1230000,6.0,155.0,1,left,MISS C. McCollum 15' driving floating Shot,[203468],1610612757.0,POR,driving floating,,,McCollum,C. McCollum,,,,,,,,,,,15.47,Missed,,,,,,,,,,,,,
124,PT01M49.00S,2021-12-05T03:34:30.2Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,17,38,2021-12-05T03:34:36Z,1240000,,,0,,E. Freedom REBOUND (Off:0 Def:6),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,123.0,6.0,6.0,0.0,,,,,,,
125,PT01M32.00S,2021-12-05T03:34:46.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,74.32654402102497,83.08823529411765,1610612738,17,38,2021-12-05T03:34:53Z,1250000,165.0,189.0,1,right,MISS G. Williams 25' pullup 3PT,[1629684],1610612738.0,BOS,pullup,,,Williams,G. Williams,,,,,,,,,,,25.1,Missed,,,,,,,,,,,,,
126,PT01M32.00S,2021-12-05T03:34:46.5Z,1,REGULAR,rebound,defensive,[],203503,,,1610612757,17,38,2021-12-05T03:34:53Z,1260000,,,0,,T. Snell REBOUND (Off:0 Def:1),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,125.0,1.0,1.0,0.0,,,,,,,
127,PT01M25.00S,2021-12-05T03:34:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,5.732588699080158,51.470588235294116,1610612757,19,38,2021-12-05T03:35:02Z,1270000,-7.0,1.0,1,left,C. McCollum Layup (4 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,0.75,Made,,,,,,,4.0,,,,,,
128,PT01M25.00S,2021-12-05T03:34:58.6Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630174,,,1610612757,19,38,2021-12-05T03:35:05Z,1280000,,,0,,A. Nesmith shooting personal FOUL (1 PF) (McCollum 1 FT),"[1630174, 203468]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,202901.0,,1.0,0.0,McCollum,203468.0,,,,,,,,,,,,,,,
130,PT01M25.00S,2021-12-05T03:35:19.0Z,1,REGULAR,freethrow,1 of 1,[],203468,,,1610612757,19,38,2021-12-05T03:35:24Z,1300000,,,0,,MISS C. McCollum Free Throw 1 of 1,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,Missed,,,,,,,,,,,,,
131,PT01M22.00S,2021-12-05T03:35:22.0Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,19,38,2021-12-05T03:35:24Z,1310000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,130.0,2.0,2.0,0.0,,,,,,,
132,PT01M10.00S,2021-12-05T03:35:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,92.19776609724047,55.88235294117647,1610612738,19,38,2021-12-05T03:35:38Z,1320000,29.0,21.0,1,right,MISS D. Schroder driving Layup - blocked,"[203471, 203503]",1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,,,,,,,3.6,Missed,Snell,203503.0,,,,,,,,,,,
133,PT01M10.00S,2021-12-05T03:35:32.7Z,1,REGULAR,block,,[],203503,,,1610612738,19,38,2021-12-05T03:35:34Z,1330000,,,0,,T. Snell BLOCK (1 BLK),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M07.00S,2021-12-05T03:35:35.7Z,1,REGULAR,rebound,defensive,[],203503,,,1610612757,19,38,2021-12-05T03:35:38Z,1340000,,,0,,T. Snell REBOUND (Off:0 Def:2),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,132.0,2.0,2.0,0.0,,,,,,,
135,PT01M00.00S,2021-12-05T03:35:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203469,6.258212877792378,53.18627450980392,1610612757,19,38,2021-12-05T03:35:46Z,1350000,-16.0,6.0,1,left,MISS C. Zeller Layup - blocked,"[203469, 202683]",1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,1.71,Missed,Freedom,202683.0,,,,,,,,,,,
136,PT01M00.00S,2021-12-05T03:35:42.1Z,1,REGULAR,block,,[],202683,,,1610612757,19,38,2021-12-05T03:35:43Z,1360000,,,0,,E. Freedom BLOCK (2 BLK),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M57.90S,2021-12-05T03:35:44.2Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,19,38,2021-12-05T03:35:46Z,1370000,,,0,,E. Freedom REBOUND (Off:0 Def:7),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,135.0,7.0,7.0,0.0,,,,,,,
138,PT00M53.10S,2021-12-05T03:35:49.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1626196,79.84559789750328,47.05882352941176,1610612738,19,38,2021-12-05T03:36:02Z,1380000,-15.0,137.0,1,right,MISS J. Richardson 13' running pullup Shot,[1626196],1610612738.0,BOS,running pullup,,,Richardson,J. Richardson,,,,,,,,,,,13.78,Missed,,,,,,,,,,,,,
139,PT00M50.50S,2021-12-05T03:35:52.4Z,1,REGULAR,rebound,defensive,[],203469,,,1610612757,19,38,2021-12-05T03:35:52Z,1390000,,,0,,C. Zeller REBOUND (Off:0 Def:1),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,138.0,1.0,1.0,0.0,,,,,,,
141,PT00M40.80S,2021-12-05T03:36:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203469,12.565703022339028,40.68627450980392,1610612757,21,38,2021-12-05T03:36:07Z,1400000,47.0,66.0,1,left,C. Zeller 8' floating Jump Shot (2 PTS) (C. McCollum 1 AST),"[203469, 203468]",1610612757.0,POR,floating,,,Zeller,C. Zeller,,,,,,,,,,,8.05,Made,,,,,,,2.0,C. McCollum,203468.0,1.0,,,
143,PT00M28.00S,2021-12-05T03:36:22.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630174,89.43823915900131,51.470588235294116,1610612738,21,38,2021-12-05T03:36:27Z,1420000,7.0,47.0,1,right,MISS A. Nesmith driving floating Shot,[1630174],1610612738.0,BOS,driving floating,,,Nesmith,A. Nesmith,,,,,,,,,,,4.74,Missed,,,,,,,,,,,,,
144,PT00M26.30S,2021-12-05T03:36:24.1Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612757,21,38,2021-12-05T03:36:24Z,1430000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,143.0,1.0,1.0,0.0,,,,,,,
145,PT00M06.40S,2021-12-05T03:36:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,19.398817345597898,49.754901960784316,1610612757,21,38,2021-12-05T03:36:52Z,1440000,1.0,130.0,1,left,MISS C. McCollum 12' pullup Shot,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,,,,12.98,Missed,,,,,,,,,,,,,
146,PT00M03.00S,2021-12-05T03:36:47.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,21,38,2021-12-05T03:36:52Z,1450000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,
147,PT00M03.00S,2021-12-05T03:36:51.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,21,38,2021-12-05T03:36:51Z,1460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M00.00S,2021-12-05T03:37:09.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203468,9.149145860709593,51.470588235294116,1610612757,23,38,2021-12-05T03:37:14Z,1470000,-7.0,34.0,1,left,C. McCollum driving floating Jump Shot (6 PTS) (B. McLemore 1 AST),"[203468, 203463]",1610612757.0,POR,driving floating,,,McCollum,C. McCollum,,,,,,,,,,,3.43,Made,,,,,,,6.0,B. McLemore,203463.0,1.0,,,
149,PT00M00.00S,2021-12-05T03:37:14.1Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,23,38,2021-12-05T03:37:53Z,1480000,,,0,,,[],,,support,,,,,,,,,1179.0,,,,,,,,,,,,,,,,,,,,End Period - Good Basket
150,PT00M00.00S,2021-12-05T03:37:55.3Z,1,REGULAR,period,end,[],0,,,1610612738,23,38,2021-12-05T03:37:55Z,1490000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2021-12-05T03:39:18.7Z,2,REGULAR,substitution,out,['startperiod'],203468,,,1610612738,23,38,2021-12-05T03:39:44Z,1500000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-12-05T03:39:18.7Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,23,38,2021-12-05T03:39:44Z,1510000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2021-12-05T03:39:18.7Z,2,REGULAR,substitution,out,['startperiod'],202683,,,1610612738,23,38,2021-12-05T03:39:44Z,1520000,,,0,,SUB out: E. Freedom,[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-12-05T03:39:18.7Z,2,REGULAR,substitution,out,['startperiod'],203471,,,1610612738,23,38,2021-12-05T03:39:44Z,1530000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-12-05T03:39:18.7Z,2,REGULAR,substitution,in,['startperiod'],1628372,,,1610612738,23,38,2021-12-05T03:39:44Z,1540000,,,0,,SUB in: D. Smith Jr.,[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-12-05T03:39:18.7Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612738,23,38,2021-12-05T03:39:44Z,1550000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-12-05T03:39:18.7Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,23,38,2021-12-05T03:39:44Z,1560000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-12-05T03:39:18.7Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612738,23,38,2021-12-05T03:39:44Z,1570000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2021-12-05T03:39:52.4Z,2,REGULAR,period,start,[],0,,,1610612757,23,38,2021-12-05T03:39:52Z,1580000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M41.00S,2021-12-05T03:40:10.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628372,6.783837056504599,45.09803921568628,1610612757,23,38,2021-12-05T03:40:14Z,1590000,25.0,11.0,1,left,MISS D. Smith Jr. driving floating bank Shot,[1628372],1610612757.0,POR,driving floating bank,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,2.7,Missed,,,,,,,,,,,,,
161,PT11M38.00S,2021-12-05T03:40:13.5Z,2,REGULAR,rebound,offensive,[],203469,,,1610612757,23,38,2021-12-05T03:40:14Z,1600000,,,0,,C. Zeller REBOUND (Off:1 Def:1),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,160.0,2.0,1.0,1.0,,,,,,,
162,PT11M38.00S,2021-12-05T03:40:12.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203469,5.590000152587891,50.0,1610612757,23,38,2021-12-05T03:40:12Z,1610000,0.0,0.0,1,left,MISS C. Zeller tip Layup,[203469],1610612757.0,POR,tip,,,Zeller,C. Zeller,,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,
163,PT11M37.00S,2021-12-05T03:40:13.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,38,2021-12-05T03:40:13Z,1620000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,162.0,2.0,2.0,0.0,,,,,,,
164,PT11M21.00S,2021-12-05T03:40:29.9Z,2,REGULAR,3pt,Jump Shot,[],1628369,78.26872536136662,89.2156862745098,1610612738,23,41,2021-12-05T03:40:34Z,1630000,196.0,152.0,1,right,J. Tatum 24' 3PT step back (10 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,,24.8,Made,,,,,,,10.0,,,,,,
165,PT11M01.00S,2021-12-05T03:40:52.8Z,2,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612757,23,41,2021-12-05T03:40:59Z,1640000,,,0,,A. Nesmith shooting personal FOUL (2 PF) (Zeller 2 FT),"[1630174, 203469]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,202901.0,,2.0,0.0,Zeller,203469.0,,,,,,,,,,,,,,,
167,PT11M01.00S,2021-12-05T03:41:19.8Z,2,REGULAR,freethrow,1 of 2,[],203469,,,1610612757,24,41,2021-12-05T03:41:19Z,1660000,,,0,,C. Zeller Free Throw 1 of 2 (3 PTS),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,Made,,,,,,,3.0,,,,,,
169,PT11M01.00S,2021-12-05T03:41:36.1Z,2,REGULAR,freethrow,2 of 2,[],203469,,,1610612757,25,41,2021-12-05T03:41:36Z,1670000,,,0,,C. Zeller Free Throw 2 of 2 (4 PTS),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,Made,,,,,,,4.0,,,,,,
170,PT10M44.00S,2021-12-05T03:41:55.2Z,2,REGULAR,3pt,Jump Shot,[],1628369,71.96123521681997,83.33333333333334,1610612738,25,44,2021-12-05T03:41:58Z,1680000,167.0,211.0,1,right,J. Tatum 26' 3PT pullup (13 PTS) (P. Pritchard 1 AST),"[1628369, 1630202]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,,26.9,Made,,,,,,,13.0,P. Pritchard,1630202.0,1.0,,,
171,PT10M33.00S,2021-12-05T03:42:05.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203469,6.521024967148489,48.28431372549019,1610612757,25,44,2021-12-05T03:42:10Z,1690000,9.0,9.0,1,left,MISS C. Zeller driving Layup,[203469],1610612757.0,POR,driving,,,Zeller,C. Zeller,,,,,,,,,,,1.23,Missed,,,,,,,,,,,,,
172,PT10M31.00S,2021-12-05T03:42:07.9Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,25,44,2021-12-05T03:42:10Z,1700000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,171.0,3.0,3.0,0.0,,,,,,,
173,PT10M25.00S,2021-12-05T03:42:14.4Z,2,REGULAR,3pt,Jump Shot,[],1628369,69.07030223390277,20.588235294117645,1610612738,25,44,2021-12-05T03:42:19Z,1710000,-147.0,238.0,1,right,MISS J. Tatum 28' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,,28.0,Missed,,,,,,,,,,,,,
174,PT10M22.00S,2021-12-05T03:42:17.4Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612757,25,44,2021-12-05T03:42:19Z,1720000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:2),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,173.0,2.0,2.0,0.0,,,,,,,
175,PT10M15.00S,2021-12-05T03:42:24.2Z,2,REGULAR,2pt,Jump Shot,[],203463,7.30946123521682,86.76470588235294,1610612757,25,44,2021-12-05T03:42:29Z,1730000,-184.0,16.0,1,left,MISS B. McLemore 18' step back Shot,[203463],1610612757.0,POR,step back,,,McLemore,B. McLemore,,,,,,,,,,,18.45,Missed,,,,,,,,,,,,,
176,PT10M13.00S,2021-12-05T03:42:26.2Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,25,44,2021-12-05T03:42:29Z,1740000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,175.0,4.0,4.0,0.0,,,,,,,
