actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
89,PT05M22.00S,2021-10-28T02:23:00.2Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,11,12,2021-10-28T02:23:07Z,890000,,,0,,N. Little REBOUND (Off:1 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,88.0,2.0,1.0,1.0,,,,,,,,,,,,,,
90,PT05M14.00S,2021-10-28T02:23:10.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,11,12,2021-10-28T02:23:10Z,900000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M07.00S,2021-10-28T02:23:32.8Z,1,REGULAR,foul,personal,['2freethrow'],1630533,,,1610612757,11,12,2021-10-28T02:23:42Z,910000,,,0,,Z. Williams shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1630533, 203994]",1610612763.0,MEM,shooting,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,202053.0,,1.0,0.0,Nurkic,203994.0,,
93,PT05M07.00S,2021-10-28T02:23:55.9Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,12,12,2021-10-28T02:24:25Z,930000,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
94,PT05M07.00S,2021-10-28T02:23:56.7Z,1,REGULAR,substitution,out,[],1629001,,,1610612757,12,12,2021-10-28T02:24:04Z,940000,,,0,,SUB out: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M07.00S,2021-10-28T02:23:56.7Z,1,REGULAR,substitution,out,[],203500,,,1610612757,12,12,2021-10-28T02:24:04Z,950000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M07.00S,2021-10-28T02:23:56.7Z,1,REGULAR,substitution,in,[],1629634,,,1610612757,12,12,2021-10-28T02:24:04Z,960000,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M07.00S,2021-10-28T02:23:56.7Z,1,REGULAR,substitution,in,[],1629723,,,1610612757,12,12,2021-10-28T02:24:04Z,970000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M07.00S,2021-10-28T02:23:55.9Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,12,12,2021-10-28T02:24:25Z,980000,,,0,,MISS J. Nurkic Free Throw 2 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Missed,,,,,,,,,,,,,,,,,,
99,PT05M04.00S,2021-10-28T02:23:58.9Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,12,12,2021-10-28T02:24:25Z,990000,,,0,,B. Clarke REBOUND (Off:0 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,98.0,1.0,1.0,0.0,,,,,,,,,,,,,,
100,PT04M56.00S,2021-10-28T02:24:26.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629634,92.9862023653088,50.245098039215684,1610612763,12,14,2021-10-28T02:24:32Z,1000000,1.0,13.0,1,right,B. Clarke cutting DUNK (2 PTS) (J. Morant 4 AST),"[1629634, 1629630]",1610612763.0,MEM,cutting,,,Clarke,B. Clarke,,,,,1.35,Made,,,,,2.0,J. Morant,1629630.0,4.0,,,,,,,,,,
102,PT04M32.00S,2021-10-28T02:24:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,5.995400788436268,52.94117647058824,1610612757,12,14,2021-10-28T02:24:57Z,1020000,-15.0,4.0,1,left,MISS D. Lillard driving Layup,[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,1.52,Missed,,,,,,,,,,,,,,,,,,
103,PT04M29.00S,2021-10-28T02:24:53.5Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,12,14,2021-10-28T02:24:57Z,1030000,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,102.0,1.0,1.0,0.0,,,,,,,,,,,,,,
104,PT04M24.00S,2021-10-28T02:24:57.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630533,96.00854139290408,3.6764705882352944,1610612763,12,14,2021-10-28T02:25:02Z,1040000,-232.0,-15.0,1,right,MISS Z. Williams 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,23.21,Missed,,,,,,,,,,,,,,,,,,
105,PT04M22.00S,2021-10-28T02:25:00.4Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,12,14,2021-10-28T02:25:00Z,1050000,,,0,,J. Konchar REBOUND (Off:1 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,104.0,2.0,1.0,1.0,,,,,,,,,,,,,,
106,PT04M09.00S,2021-10-28T02:25:12.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630533,94.95729303547962,4.166666666666666,1610612763,12,17,2021-10-28T02:25:17Z,1060000,-229.0,-5.0,1,right,Z. Williams 3PT  (3 PTS) (J. Morant 5 AST),"[1630533, 1629630]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,22.93,Made,,,,,3.0,J. Morant,1629630.0,5.0,,,,,,,,,,
108,PT03M53.00S,2021-10-28T02:25:28.8Z,1,REGULAR,2pt,Jump Shot,[],1629014,21.632720105124836,59.31372549019608,1610612757,12,17,2021-10-28T02:25:33Z,1080000,-47.0,151.0,1,left,MISS A. Simons 15' pullup bank Shot,[1629014],1610612757.0,POR,pullup bank,,,Simons,A. Simons,,,,,15.78,Missed,,,,,,,,,,,,,,,,,,
109,PT03M50.00S,2021-10-28T02:25:31.8Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,12,17,2021-10-28T02:25:33Z,1090000,,,0,,B. Clarke REBOUND (Off:0 Def:2),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,108.0,2.0,2.0,0.0,,,,,,,,,,,,,,
110,PT03M42.00S,2021-10-28T02:25:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,87.07293035479631,46.07843137254902,1610612763,12,17,2021-10-28T02:30:32Z,1100000,-20.0,69.0,1,right,MISS J. Morant 7' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,7.17,Missed,,,,,,,,,,,,,,,,,,
111,PT03M39.00S,2021-10-28T02:25:43.1Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,12,17,2021-10-28T02:25:43Z,1110000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,110.0,1.0,1.0,0.0,,,,,,,,,,,,,,
112,PT03M32.00S,2021-10-28T02:25:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,5.995400788436268,48.529411764705884,1610612757,14,17,2021-10-28T02:25:57Z,1120000,7.0,4.0,1,left,A. Simons running Layup (2 PTS),[1629014],1610612757.0,POR,running,,,Simons,A. Simons,,,,,0.84,Made,,,,,2.0,,,,,,,,,,,,,
113,PT03M19.00S,2021-10-28T02:26:04.5Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,14,17,2021-10-28T02:26:12Z,1130000,,,0,,J. Morant bad pass out-of-bounds TURNOVER (3 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,,,,,,,,,,,,,202053.0,3.0,,,,,,
114,PT03M19.00S,2021-10-28T02:26:07.8Z,1,REGULAR,substitution,out,[],203994,,,1610612757,14,17,2021-10-28T02:26:19Z,1140000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M19.00S,2021-10-28T02:26:07.8Z,1,REGULAR,substitution,out,[],203496,,,1610612757,14,17,2021-10-28T02:26:19Z,1150000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M19.00S,2021-10-28T02:26:07.8Z,1,REGULAR,substitution,in,[],203469,,,1610612757,14,17,2021-10-28T02:26:19Z,1160000,,,0,,SUB in: C. Zeller,[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M19.00S,2021-10-28T02:26:07.8Z,1,REGULAR,substitution,in,[],1626204,,,1610612757,14,17,2021-10-28T02:26:19Z,1170000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M05.00S,2021-10-28T02:26:34.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203081,35.167542706964525,49.754901960784316,1610612757,14,17,2021-10-28T02:26:38Z,1180000,1.0,278.0,1,left,MISS D. Lillard 27' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,27.81,Missed,,,,,,,,,,,,,,,,,,
119,PT03M02.00S,2021-10-28T02:26:37.6Z,1,REGULAR,rebound,offensive,[],1626204,,,1610612757,14,17,2021-10-28T02:26:38Z,1190000,,,0,,L. Nance Jr. REBOUND (Off:1 Def:0),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,118.0,1.0,0.0,1.0,,,,,,,,,,,,,,
120,PT03M01.00S,2021-10-28T02:26:38.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629014,29.38567674113009,24.509803921568626,1610612757,17,17,2021-10-28T02:26:42Z,1200000,127.0,224.0,1,left,A. Simons 25' 3PT  (5 PTS) (L. Nance Jr. 1 AST),"[1629014, 1626204]",1610612757.0,POR,,,,Simons,A. Simons,,,,,25.75,Made,,,,,5.0,L. Nance Jr.,1626204.0,1.0,,,,,,,,,,
122,PT02M46.00S,2021-10-28T02:26:55.8Z,1,REGULAR,foul,personal,[],1626204,,,1610612763,17,17,2021-10-28T02:33:00Z,1220000,,,0,,L. Nance Jr. personal FOUL (1 PF),"[1626204, 1630533]",1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,202037.0,,1.0,0.0,Williams,1630533.0,,
124,PT02M46.00S,2021-10-28T02:27:22.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,17,17,2021-10-28T02:27:22Z,1240000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M46.00S,2021-10-28T02:29:05.8Z,1,REGULAR,substitution,out,[],203081,,,1610612763,17,17,2021-10-28T02:30:09Z,1250000,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M46.00S,2021-10-28T02:29:05.8Z,1,REGULAR,substitution,out,[],1629642,,,1610612763,17,17,2021-10-28T02:30:09Z,1260000,,,0,,SUB out: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M46.00S,2021-10-28T02:29:05.8Z,1,REGULAR,substitution,out,[],1629630,,,1610612763,17,17,2021-10-28T02:30:09Z,1270000,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M46.00S,2021-10-28T02:29:05.8Z,1,REGULAR,substitution,in,[],203468,,,1610612763,17,17,2021-10-28T02:30:09Z,1280000,,,0,,SUB in: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M46.00S,2021-10-28T02:29:05.8Z,1,REGULAR,substitution,in,[],1628372,,,1610612763,17,17,2021-10-28T02:30:09Z,1290000,,,0,,SUB in: D. Smith Jr.,[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M46.00S,2021-10-28T02:29:05.8Z,1,REGULAR,substitution,in,[],1626145,,,1610612763,17,17,2021-10-28T02:30:09Z,1300000,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M33.00S,2021-10-28T02:30:37.5Z,1,REGULAR,3pt,Jump Shot,[],1629723,71.30420499342969,79.41176470588235,1610612763,17,17,2021-10-28T02:30:41Z,1310000,147.0,217.0,1,right,MISS J. Konchar 26' 3PT,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,26.23,Missed,,,,,,,,,,,,,,,,,,
132,PT02M30.00S,2021-10-28T02:30:40.5Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,17,17,2021-10-28T02:30:41Z,1320000,,,0,,B. Clarke REBOUND (Off:1 Def:2),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,131.0,3.0,2.0,1.0,,,,,,,,,,,,,,
133,PT02M28.00S,2021-10-28T02:30:42.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,74.45795006570303,12.990196078431374,1610612763,17,17,2021-10-28T02:30:51Z,1330000,-185.0,188.0,1,right,MISS T. Jones 26' 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,26.35,Missed,,,,,,,,,,,,,,,,,,
134,PT02M25.00S,2021-10-28T02:30:45.7Z,1,REGULAR,rebound,offensive,[],203937,,,1610612763,17,17,2021-10-28T02:30:51Z,1340000,,,0,,K. Anderson REBOUND (Off:2 Def:0),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,133.0,2.0,0.0,2.0,,,,,,,,,,,,,,
135,PT02M24.00S,2021-10-28T02:30:47.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203937,92.32917214191852,52.20588235294118,1610612763,17,17,2021-10-28T02:30:56Z,1350000,11.0,20.0,1,right,MISS K. Anderson putback Layup,[203937],1610612763.0,MEM,putback,,,Anderson,K. Anderson,,,,,2.25,Missed,,,,,,,,,,,,,,,,,,
136,PT02M21.00S,2021-10-28T02:30:50.1Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,17,17,2021-10-28T03:09:00Z,1360000,,,0,,J. Konchar REBOUND (Off:2 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,135.0,3.0,1.0,2.0,,,,,,,,,,,,,,
137,PT02M20.00S,2021-10-28T02:30:51.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629723,94.95729303547962,2.2058823529411766,1610612763,17,20,2021-10-28T02:30:59Z,1370000,-239.0,-5.0,1,right,J. Konchar 3PT  (3 PTS) (T. Jones 1 AST),"[1629723, 1626145]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,23.91,Made,,,,,3.0,T. Jones,1626145.0,1.0,,,,,,,,,,
139,PT02M06.00S,2021-10-28T02:31:04.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,29.38567674113009,74.01960784313727,1610612757,20,20,2021-10-28T02:31:09Z,1390000,-120.0,224.0,1,left,A. Simons 25' 3PT pullup (8 PTS),[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,25.39,Made,,,,,8.0,,,,,,,,,,,,,
140,PT01M54.00S,2021-10-28T02:31:16.1Z,1,REGULAR,3pt,Jump Shot,[],1630533,69.85873850197109,73.0392156862745,1610612763,20,20,2021-10-28T02:31:21Z,1400000,115.0,231.0,1,right,MISS Z. Williams 25' 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,
141,PT01M51.00S,2021-10-28T02:31:19.1Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612757,20,20,2021-10-28T02:31:21Z,1410000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,140.0,1.0,1.0,0.0,,,,,,,,,,,,,,
142,PT01M44.00S,2021-10-28T02:31:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,5.995400788436268,48.529411764705884,1610612757,22,20,2021-10-28T02:31:32Z,1420000,7.0,4.0,1,left,C. McCollum driving Layup (5 PTS),[203468],1610612757.0,POR,driving,,,McCollum,C. McCollum,,,,,0.84,Made,,,,,5.0,,,,,,,,,,,,,
143,PT01M23.00S,2021-10-28T02:31:47.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629634,93.24901445466492,49.50980392156863,1610612763,22,22,2021-10-28T02:31:53Z,1430000,-2.0,11.0,1,right,B. Clarke alley-oop Layup (4 PTS) (K. Anderson 1 AST),"[1629634, 203937]",1610612763.0,MEM,alley-oop,,,Clarke,B. Clarke,,,,,1.13,Made,,,,,4.0,K. Anderson,203937.0,1.0,,,,,,,,,,
145,PT01M10.00S,2021-10-28T02:32:02.4Z,1,REGULAR,foul,personal,['2freethrow'],1629634,,,1610612757,22,22,2021-10-28T02:32:14Z,1450000,,,0,,B. Clarke shooting personal FOUL (1 PF) (Zeller 2 FT),"[1629634, 203469]",1610612763.0,MEM,shooting,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,202037.0,,1.0,0.0,Zeller,203469.0,,
147,PT01M10.00S,2021-10-28T02:32:25.3Z,1,REGULAR,freethrow,1 of 2,[],203469,,,1610612757,23,22,2021-10-28T02:32:25Z,1470000,,,0,,C. Zeller Free Throw 1 of 2 (1 PTS),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
148,PT01M10.00S,2021-10-28T02:32:26.0Z,1,REGULAR,substitution,out,[],1630533,,,1610612757,23,22,2021-10-28T02:32:33Z,1480000,,,0,,SUB out: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M10.00S,2021-10-28T02:32:26.0Z,1,REGULAR,substitution,in,[],1630217,,,1610612757,23,22,2021-10-28T02:32:33Z,1490000,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M10.00S,2021-10-28T02:32:41.9Z,1,REGULAR,freethrow,2 of 2,[],203469,,,1610612757,24,22,2021-10-28T02:32:41Z,1500000,,,0,,C. Zeller Free Throw 2 of 2 (2 PTS),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
151,PT00M57.80S,2021-10-28T02:32:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629634,93.77463863337714,50.49019607843137,1610612763,24,22,2021-10-28T02:33:05Z,1510000,2.0,6.0,1,right,MISS B. Clarke driving Layup,[1629634],1610612763.0,MEM,driving,,,Clarke,B. Clarke,,,,,0.65,Missed,,,,,,,,,,,,,,,,,,
152,PT00M56.10S,2021-10-28T02:33:01.6Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612757,24,22,2021-10-28T02:33:05Z,1520000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:2),[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,151.0,2.0,2.0,0.0,,,,,,,,,,,,,,
153,PT00M43.60S,2021-10-28T02:33:14.0Z,1,REGULAR,turnover,bad pass,[],203469,,,1610612757,24,22,2021-10-28T02:33:17Z,1530000,,,0,,C. Zeller bad pass TURNOVER (1 TO),"[203469, 203937]",1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,1.0,,,,,Anderson,203937.0
154,PT00M43.60S,2021-10-28T02:33:14.0Z,1,REGULAR,steal,,[],203937,,,1610612763,24,22,2021-10-28T02:33:15Z,1540000,,,0,,K. Anderson STEAL (1 STL),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M38.40S,2021-10-28T02:33:19.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203937,93.38042049934296,50.245098039215684,1610612763,24,24,2021-10-28T02:33:28Z,1550000,1.0,10.0,1,right,K. Anderson running Layup (2 PTS),[203937],1610612763.0,MEM,running,,,Anderson,K. Anderson,,,,,0.98,Made,,,,,2.0,,,,,,,,,,,,,
156,PT00M31.80S,2021-10-28T02:33:30.7Z,1,REGULAR,3pt,Jump Shot,[],203468,20.581471747700395,7.352941176470589,1610612757,24,24,2021-10-28T02:33:39Z,1560000,213.0,141.0,1,left,MISS C. McCollum 25' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,25.56,Missed,,,,,,,,,,,,,,,,,,
157,PT00M30.10S,2021-10-28T02:33:32.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,24,24,2021-10-28T02:33:39Z,1570000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,
158,PT00M30.10S,2021-10-28T02:33:35.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,24,24,2021-10-28T02:33:35Z,1580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M07.80S,2021-10-28T02:34:02.9Z,1,REGULAR,3pt,Jump Shot,[],1630217,79.84559789750328,6.61764705882353,1610612763,24,27,2021-10-28T02:34:07Z,1590000,-217.0,137.0,1,right,D. Bane 25' 3PT  (9 PTS) (J. Konchar 1 AST),"[1630217, 1629723]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,25.65,Made,,,,,9.0,J. Konchar,1629723.0,1.0,,,,,,,,,,
161,PT00M01.60S,2021-10-28T02:34:12.4Z,1,REGULAR,3pt,Jump Shot,[],1629014,34.37910643889619,47.05882352941176,1610612757,24,27,2021-10-28T02:34:20Z,1610000,15.0,271.0,1,left,MISS A. Simons 27' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,27.11,Missed,,,,,,,,,,,,,,,,,,
162,PT00M01.60S,2021-10-28T02:34:12.4Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,24,27,2021-10-28T02:34:20Z,1620000,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,161.0,2.0,2.0,0.0,,,,,,,,,,,,,,
163,PT00M00.00S,2021-10-28T02:34:20.0Z,1,REGULAR,period,end,[],0,,,1610612763,24,27,2021-10-28T02:34:20Z,1630000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-10-28T02:35:56.3Z,2,REGULAR,substitution,out,['startperiod'],203937,,,1610612763,24,27,2021-10-28T02:37:40Z,1640000,,,0,,SUB out: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-10-28T02:35:56.3Z,2,REGULAR,substitution,in,['startperiod'],1628991,,,1610612763,24,27,2021-10-28T02:37:40Z,1650000,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-10-28T02:37:52.0Z,2,REGULAR,period,start,[],0,,,1610612757,24,27,2021-10-28T02:37:52Z,1660000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M46.00S,2021-10-28T02:38:04.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,14.273981603153747,54.65686274509803,1610612757,24,27,2021-10-28T02:38:11Z,1670000,-23.0,82.0,1,left,MISS C. McCollum 8' driving floating Shot,[203468],1610612757.0,POR,driving floating,,,McCollum,C. McCollum,,,,,8.5,Missed,,,,,,,,,,,,,,,,,,
168,PT11M46.00S,2021-10-28T02:38:04.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,24,27,2021-10-28T02:38:11Z,1680000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,167.0,,,,,,,,,,,,,,,,,
169,PT11M46.00S,2021-10-28T02:38:09.5Z,2,REGULAR,foul,personal,[],203469,,,1610612763,24,27,2021-10-28T02:41:13Z,1690000,,,0,,C. Zeller loose ball personal FOUL (1 PF),"[203469, 1629634]",1610612757.0,POR,loose ball,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,202037.0,,1.0,0.0,Clarke,1629634.0,,
171,PT11M32.00S,2021-10-28T02:38:36.0Z,2,REGULAR,3pt,Jump Shot,[],1626145,94.82588699080158,96.07843137254902,1610612763,24,27,2021-10-28T02:38:43Z,1710000,230.0,-4.0,1,right,MISS T. Jones 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,
172,PT11M32.00S,2021-10-28T02:38:36.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612763,24,27,2021-10-28T02:38:43Z,1720000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,
173,PT11M32.00S,2021-10-28T02:38:43.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,24,27,2021-10-28T02:38:43Z,1730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT11M30.00S,2021-10-28T02:38:59.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628991,94.82588699080158,3.1862745098039214,1610612763,24,27,2021-10-28T02:39:03Z,1740000,-234.0,-4.0,1,right,MISS J. Jackson Jr. 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,
175,PT11M27.00S,2021-10-28T02:39:02.4Z,2,REGULAR,rebound,defensive,[],203468,,,1610612757,24,27,2021-10-28T02:39:03Z,1750000,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,174.0,2.0,2.0,0.0,,,,,,,,,,,,,,
176,PT11M18.00S,2021-10-28T02:39:11.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203468,6.521024967148489,49.26470588235294,1610612757,24,27,2021-10-28T02:39:16Z,1760000,4.0,9.0,1,left,MISS C. McCollum driving Layup,[203468],1610612757.0,POR,driving,,,McCollum,C. McCollum,,,,,0.95,Missed,,,,,,,,,,,,,,,,,,
