actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
86,PT06M33.00S,2022-10-21T23:24:06.9Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,5,14,2022-10-21T23:24:08Z,820000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,84.0,3.0,2.0,1.0,,,,,,,,,,,,,,
87,PT06M33.00S,2022-10-21T23:24:07.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1626162,5.590000152587891,50.0,1610612766,7,14,2022-10-21T23:24:11Z,830000,0.0,0.0,1,left,K. Oubre Jr. putback Layup (2 PTS),[1626162],1610612766.0,CHA,putback,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
88,PT06M16.00S,2022-10-21T23:24:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,92.46057818659659,46.568627450980394,1610612740,7,14,2022-10-21T23:24:33Z,840000,-17.0,18.0,1,right,MISS H. Jones driving Layup,[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
89,PT06M08.00S,2022-10-21T23:24:32.3Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,7,14,2022-10-21T23:24:32Z,850000,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,88.0,4.0,3.0,1.0,,,,,,,,,,,,,,
90,PT06M08.00S,2022-10-21T23:24:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,7,16,2022-10-21T23:24:32Z,860000,0.0,0.0,1,right,J. Valanciunas putback Layup (9 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,9.0,,,,,,,,,,,,,
91,PT05M59.00S,2022-10-21T23:24:42.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,32.40801576872536,50.49019607843137,1610612766,7,16,2022-10-21T23:26:31Z,870000,-2.0,252.0,1,left,MISS P. Washington 25' pullup 3PT,[1629023],1610612766.0,CHA,pullup,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
92,PT05M56.00S,2022-10-21T23:24:45.5Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,7,16,2022-10-21T23:24:46Z,880000,,,0,,J. Alvarado REBOUND (Off:0 Def:2),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Center,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,,,
93,PT05M49.00S,2022-10-21T23:24:52.4Z,1,REGULAR,3pt,Jump Shot,[],202685,66.96780551905388,41.911764705882355,1610612740,7,19,2022-10-21T23:24:57Z,890000,-40.0,258.0,1,right,J. Valanciunas 26' 3PT  (12 PTS) (Z. Williamson 2 AST),"[202685, 1629627]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,26.11,Made,,,,,12.0,Z. Williamson,1629627.0,2.0,,,,,,,,,,
95,PT05M36.00S,2022-10-21T23:25:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,9.937582128777924,50.49019607843137,1610612766,7,19,2022-10-21T23:25:09Z,910000,-2.0,41.0,1,left,MISS T. Rozier driving Layup - blocked,"[1626179, 1630529]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,Jones,1630529.0,,,,,,,,
96,PT05M36.00S,2022-10-21T23:25:04.3Z,1,REGULAR,block,,[],1630529,,,1610612766,7,19,2022-10-21T23:25:06Z,920000,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
97,PT05M34.00S,2022-10-21T23:25:06.3Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,7,19,2022-10-21T23:25:09Z,930000,,,0,,T. Rozier REBOUND (Off:1 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,95.0,1.0,0.0,1.0,,,,,,,,,,,,,,
98,PT05M30.00S,2022-10-21T23:25:10.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629023,26.363337713534822,16.666666666666664,1610612766,10,19,2022-10-21T23:25:18Z,940000,167.0,195.0,1,left,P. Washington 25' 3PT  (3 PTS) (T. Rozier 1 AST),"[1629023, 1626179]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.68,Made,,,,,3.0,T. Rozier,1626179.0,1.0,,,,,,,,,,
100,PT05M17.00S,2022-10-21T23:25:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,89.17542706964521,50.0,1610612740,10,21,2022-10-21T23:25:26Z,960000,0.0,49.0,1,right,J. Alvarado Layup (2 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,4.93,Made,,,,,2.0,,,,,,,,,,,,,
101,PT05M04.00S,2022-10-21T23:25:42.6Z,1,REGULAR,foul,personal,[],1630529,,,1610612766,10,21,2022-10-21T23:25:57Z,970000,,,0,,H. Jones loose ball personal FOUL (1 PF),"[1630529, 202330]",1610612740.0,NOP,loose ball,,,Jones,H. Jones,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Hayward,202330.0
103,PT05M04.00S,2022-10-21T23:25:56.8Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,10,21,2022-10-21T23:25:59Z,990000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT05M04.00S,2022-10-21T23:25:56.8Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,10,21,2022-10-21T23:25:59Z,1000000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT05M04.00S,2022-10-21T23:26:01.9Z,1,REGULAR,substitution,out,[],1629627,,,1610612766,10,21,2022-10-21T23:26:21Z,1010000,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT05M04.00S,2022-10-21T23:26:01.9Z,1,REGULAR,substitution,out,[],202685,,,1610612766,10,21,2022-10-21T23:26:21Z,1020000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT05M04.00S,2022-10-21T23:26:01.9Z,1,REGULAR,substitution,in,[],1626204,,,1610612766,10,21,2022-10-21T23:26:21Z,1030000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT05M04.00S,2022-10-21T23:26:01.9Z,1,REGULAR,substitution,in,[],1630530,,,1610612766,10,21,2022-10-21T23:26:21Z,1040000,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M56.00S,2022-10-21T23:26:25.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,31.35676741130092,73.52941176470588,1610612766,13,21,2022-10-21T23:31:54Z,1050000,-118.0,242.0,1,left,T. Rozier 26' 3PT pullup (3 PTS),[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,26.93,Made,,,,,3.0,,,,,,,,,,,,,
110,PT04M40.00S,2022-10-21T23:26:27.8Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612740,13,21,2022-10-21T23:26:33Z,1060000,,,0,,B. Ingram lost ball TURNOVER (1 TO),"[1627742, 1626162]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Oubre Jr.,1626162.0,,,,,
111,PT04M40.00S,2022-10-21T23:26:27.8Z,1,REGULAR,steal,,[],1626162,,,1610612766,13,21,2022-10-21T23:26:30Z,1070000,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
112,PT04M35.00S,2022-10-21T23:26:31.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626179,27.414586070959263,21.813725490196077,1610612766,13,21,2022-10-21T23:29:37Z,1080000,141.0,205.0,1,left,MISS T. Rozier 24' running pullup 3PT,[1626179],1610612766.0,CHA,running pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,24.89,Missed,,,,,,,,,,,,,,,,,,
113,PT04M32.00S,2022-10-21T23:26:34.9Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,13,21,2022-10-22T00:13:21Z,1090000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,112.0,2.0,2.0,0.0,,,,,,,,,,,,,,
114,PT04M31.00S,2022-10-21T23:26:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630530,92.85479632063075,48.529411764705884,1610612740,13,23,2022-10-21T23:26:42Z,1100000,-7.0,15.0,1,right,T. Murphy III running Layup (2 PTS) (B. Ingram 1 AST),"[1630530, 1627742]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,1.65,Made,,,,,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,
116,PT04M11.00S,2022-10-21T23:26:56.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,6.1268068331143235,94.6078431372549,1610612766,13,23,2022-10-21T23:27:00Z,1120000,-223.0,5.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,22.31,Missed,,,,,,,,,,,,,,,,,,
117,PT04M08.00S,2022-10-21T23:26:59.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,13,23,2022-10-21T23:27:00Z,1130000,,,0,,B. Ingram REBOUND (Off:0 Def:3),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Left Corner 3,24+ Left,,,116.0,3.0,3.0,0.0,,,,,,,,,,,,,,
118,PT04M04.00S,2022-10-21T23:27:02.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,75.24638633377135,84.55882352941177,1610612740,13,26,2022-10-21T23:32:50Z,1140000,173.0,180.0,1,right,T. Murphy III 24' 3PT running (5 PTS) (B. Ingram 2 AST),"[1630530, 1627742]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,24.97,Made,,,,,5.0,B. Ingram,1627742.0,2.0,,,,,,,,,,
120,PT03M40.00S,2022-10-21T23:27:26.5Z,1,REGULAR,2pt,Jump Shot,[],202330,26.018396846254927,74.77787990196079,1610612766,15,26,2022-10-21T23:31:19Z,1160000,-124.0,192.0,1,left,G. Hayward 22' Jump Shot (5 PTS),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Left Center,22.86,Made,,,,,5.0,,,,,,,,,,,,,
121,PT03M25.00S,2022-10-21T23:27:41.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,77.61169513797634,45.83333333333333,1610612740,15,28,2022-10-21T23:27:46Z,1170000,-21.0,158.0,1,right,B. Ingram 15' pullup Jump Shot (8 PTS) (L. Nance Jr. 1 AST),"[1627742, 1626204]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Center,15.94,Made,,,,,8.0,L. Nance Jr.,1626204.0,1.0,,,,,,,,,,
123,PT03M00.00S,2022-10-21T23:28:06.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,15.062417871222076,42.40196078431372,1610612766,17,28,2022-10-21T23:28:13Z,1190000,38.0,89.0,1,left,G. Hayward 9' turnaround fadeaway Jump Shot (7 PTS),[202330],1610612766.0,CHA,turnaround fadeaway,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,9.69,Made,,,,,7.0,,,,,,,,,,,,,
124,PT02M46.00S,2022-10-21T23:28:20.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,89.83245729303549,59.31372549019608,1610612740,17,28,2022-10-21T23:28:27Z,1200000,47.0,43.0,1,right,MISS T. Murphy III 6' floating Shot,[1630530],1610612740.0,NOP,floating,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,6.35,Missed,,,,,,,,,,,,,,,,,,
125,PT02M44.00S,2022-10-21T23:28:22.6Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,17,28,2022-10-21T23:28:27Z,1210000,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,
126,PT02M42.00S,2022-10-21T23:28:28.1Z,1,REGULAR,turnover,out-of-bounds,[],1626179,,,1610612766,17,28,2022-10-21T23:28:37Z,1220000,,,0,,T. Rozier lost ball out-of-bounds TURNOVER (1 TO),[1626179],1610612766.0,CHA,lost ball,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,,,1830.0,,,,
127,PT02M42.00S,2022-10-21T23:28:40.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,17,28,2022-10-21T23:28:40Z,1230000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M42.00S,2022-10-21T23:30:19.0Z,1,REGULAR,substitution,out,[],1626179,,,1610612740,17,28,2022-10-21T23:31:35Z,1250000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M42.00S,2022-10-21T23:30:19.0Z,1,REGULAR,substitution,out,[],1626162,,,1610612740,17,28,2022-10-21T23:31:35Z,1260000,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M42.00S,2022-10-21T23:30:19.0Z,1,REGULAR,substitution,out,[],202330,,,1610612740,17,28,2022-10-21T23:31:35Z,1270000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M42.00S,2022-10-21T23:30:19.0Z,1,REGULAR,substitution,in,[],1629023,,,1610612740,17,28,2022-10-21T23:31:35Z,1280000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M42.00S,2022-10-21T23:30:19.0Z,1,REGULAR,substitution,in,[],1628372,,,1610612740,17,28,2022-10-21T23:31:35Z,1290000,,,0,,SUB in: D. Smith Jr.,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M42.00S,2022-10-21T23:30:19.0Z,1,REGULAR,substitution,in,[],1630547,,,1610612740,17,28,2022-10-21T23:31:35Z,1300000,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M27.00S,2022-10-21T23:31:41.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630631,67.88764783180025,27.450980392156865,1610612740,17,31,2022-10-21T23:31:49Z,1310000,-113.0,249.0,1,right,J. Alvarado 27' 3PT  (5 PTS) (B. Ingram 3 AST),"[1630631, 1627742]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,27.37,Made,,,,,5.0,B. Ingram,1627742.0,3.0,,,,,,,,,,
137,PT02M00.00S,2022-10-21T23:32:08.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,6.389618922470433,51.225490196078425,1610612766,19,31,2022-10-21T23:32:12Z,1330000,-6.0,8.0,1,left,N. Richards DUNK (2 PTS) (P. Washington 1 AST),"[1630208, 1629023]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,2.0,P. Washington,1629023.0,1.0,,,,,,,,,,
139,PT01M37.00S,2022-10-21T23:32:31.6Z,1,REGULAR,3pt,Jump Shot,[],1630631,70.51576872536137,75.0,1610612740,19,31,2022-10-21T23:32:37Z,1350000,125.0,225.0,1,right,MISS J. Alvarado 25' 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,25.71,Missed,,,,,,,,,,,,,,,,,,
140,PT01M32.00S,2022-10-21T23:32:36.6Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612766,19,31,2022-10-21T23:32:37Z,1360000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
141,PT01M27.00S,2022-10-21T23:32:41.9Z,1,REGULAR,turnover,bad pass,[],1629667,,,1610612766,19,31,2022-10-21T23:32:46Z,1370000,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1629667, 1630530]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Murphy III,1630530.0,,,,,
142,PT01M27.00S,2022-10-21T23:32:41.9Z,1,REGULAR,steal,,[],1630530,,,1610612740,19,31,2022-10-21T23:32:44Z,1380000,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
144,PT01M12.00S,2022-10-21T23:33:10.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,73.66951379763469,82.84313725490196,1610612740,19,34,2022-10-21T23:33:13Z,1400000,164.0,195.0,1,right,T. Murphy III 25' 3PT  (8 PTS) (J. Alvarado 1 AST),"[1630530, 1630631]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,25.49,Made,,,,,8.0,J. Alvarado,1630631.0,1.0,,,,,,,,,,
146,PT00M56.00S,2022-10-21T23:33:38.9Z,1,REGULAR,foul,personal,[],1630529,,,1610612766,19,34,2022-10-21T23:35:57Z,1420000,,,0,,H. Jones personal FOUL (2 PF),"[1630529, 1630547]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1627524.0,2.0,0.0,Bouknight,1630547.0
148,PT00M56.00S,2022-10-21T23:33:49.5Z,1,REGULAR,substitution,out,[],1630529,,,1610612766,19,34,2022-10-21T23:34:02Z,1440000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M56.00S,2022-10-21T23:33:49.5Z,1,REGULAR,substitution,out,[],1627742,,,1610612766,19,34,2022-10-21T23:34:02Z,1450000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M56.00S,2022-10-21T23:33:49.5Z,1,REGULAR,substitution,in,[],202685,,,1610612766,19,34,2022-10-21T23:34:02Z,1460000,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M56.00S,2022-10-21T23:33:49.5Z,1,REGULAR,substitution,in,[],1630230,,,1610612766,19,34,2022-10-21T23:34:02Z,1470000,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M45.70S,2022-10-21T23:34:07.3Z,1,REGULAR,3pt,Jump Shot,[],1628372,29.517082785808146,26.47058823529412,1610612766,22,34,2022-10-21T23:34:12Z,1480000,118.0,225.0,1,left,D. Smith Jr. 25' 3PT  (3 PTS) (P. Washington 2 AST),"[1628372, 1629023]",1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.39,Made,,,,,3.0,P. Washington,1629023.0,2.0,,,,,,,,,,
154,PT00M40.70S,2022-10-21T23:34:14.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628372,,,1610612740,22,34,2022-10-21T23:34:40Z,1500000,,,0,,D. Smith Jr. shooting personal FOUL (1 PF) (Alvarado 2 FT),"[1628372, 1630631]",1610612766.0,CHA,shooting,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Alvarado,1630631.0
156,PT00M40.70S,2022-10-21T23:34:41.2Z,1,REGULAR,freethrow,1 of 2,[],1630631,,,1610612740,22,34,2022-10-21T23:34:41Z,1520000,,,0,,MISS J. Alvarado Free Throw 1 of 2,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
157,PT00M40.70S,2022-10-21T23:34:41.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,22,34,2022-10-21T23:34:41Z,1530000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,
158,PT00M40.70S,2022-10-21T23:34:53.1Z,1,REGULAR,freethrow,2 of 2,[],1630631,,,1610612740,22,35,2022-10-21T23:34:53Z,1540000,,,0,,J. Alvarado Free Throw 2 of 2 (6 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
159,PT00M29.60S,2022-10-21T23:35:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629667,6.521024967148489,53.431372549019606,1610612766,24,35,2022-10-21T23:35:12Z,1550000,-17.0,9.0,1,left,J. McDaniels cutting Layup (2 PTS) (D. Smith Jr. 1 AST),"[1629667, 1628372]",1610612766.0,CHA,cutting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.93,Made,,,,,2.0,D. Smith Jr.,1628372.0,1.0,,,,,,,,,,
161,PT00M13.80S,2022-10-21T23:35:24.3Z,1,REGULAR,3pt,Jump Shot,[],1630530,92.85479632063075,96.56862745098039,1610612740,24,35,2022-10-21T23:35:30Z,1570000,233.0,15.0,1,right,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,23.33,Missed,,,,,,,,,,,,,,,,,,
162,PT00M11.50S,2022-10-21T23:35:26.6Z,1,REGULAR,rebound,defensive,[],1630547,,,1610612766,24,35,2022-10-21T23:35:26Z,1580000,,,0,,J. Bouknight REBOUND (Off:0 Def:1),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Right Corner 3,24+ Right,,,161.0,1.0,1.0,0.0,,,,,,,,,,,,,,
163,PT00M07.10S,2022-10-21T23:35:31.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630547,6.389618922470433,54.90196078431373,1610612766,24,35,2022-10-21T23:35:37Z,1590000,-25.0,8.0,1,left,MISS J. Bouknight running Layup,[1630547],1610612766.0,CHA,running,,,Bouknight,J. Bouknight,,,,,Restricted Area,0-8 Center,2.57,Missed,,,,,,,,,,,,,,,,,,
164,PT00M04.70S,2022-10-21T23:35:33.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,24,35,2022-10-21T23:35:37Z,1600000,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,163.0,5.0,4.0,1.0,,,,,,,,,,,,,,
165,PT00M00.40S,2022-10-21T23:35:37.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,74.32654402102497,84.31372549019608,1610612740,24,35,2022-10-21T23:39:10Z,1610000,172.0,189.0,1,right,MISS T. Murphy III 25' running 3PT,[1630530],1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,25.51,Missed,,,,,,,,,,,,,,,,,,
166,PT00M00.40S,2022-10-21T23:35:37.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,24,35,2022-10-21T23:35:45Z,1620000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,165.0,,,,,,,,,,,,,,,,,
167,PT00M00.00S,2022-10-21T23:35:44.6Z,1,REGULAR,period,end,[],0,,,1610612740,24,35,2022-10-21T23:35:44Z,1630000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-10-21T23:35:56.7Z,2,REGULAR,substitution,out,['startperiod'],1629667,,,1610612740,24,35,2022-10-21T23:38:12Z,1640000,,,0,,SUB out: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-10-21T23:35:56.7Z,2,REGULAR,substitution,out,['startperiod'],1630631,,,1610612740,24,35,2022-10-21T23:38:12Z,1650000,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-10-21T23:35:56.7Z,2,REGULAR,substitution,out,['startperiod'],1626204,,,1610612740,24,35,2022-10-21T23:38:12Z,1660000,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
