actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
83,PT05M41.00S,2022-12-17T00:22:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,89.70105124835742,57.84313725490197,1610612766,10,20,2022-12-17T00:30:50Z,820000,False,39.0,44.0,1,right,MISS K. Oubre Jr. driving floating Shot - blocked,"[1626162, 1630168]",1610612766.0,CHA,,driving floating,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.92,Missed,,,,,,,,,,,,,,,,Okongwu,1630168.0
84,PT05M41.00S,2022-12-17T00:22:55.1Z,1,REGULAR,block,,[],1630168,,,1610612766,10,20,2022-12-17T00:22:58Z,830000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
85,PT05M41.00S,2022-12-17T00:22:55.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,10,20,2022-12-17T00:23:03Z,840000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,83.0,,,,,,,,,,,,,,,,
87,PT05M38.00S,2022-12-17T00:23:15.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626162,90.88370565045992,96.81372549019608,1610612766,10,20,2022-12-17T00:23:20Z,860000,False,234.0,33.0,1,right,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,23.64,Missed,,,,,,,,,,,,,,,,,
88,PT05M35.00S,2022-12-17T00:23:18.2Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,10,20,2022-12-17T00:23:20Z,870000,False,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,,,87.0,2.0,2.0,0.0,,,,,,,,,,,,,
89,PT05M22.00S,2022-12-17T00:23:34.4Z,1,REGULAR,foul,personal,['2freethrow'],1629667,,,1610612737,10,20,2022-12-17T00:23:53Z,880000,False,,,0,,J. McDaniels shooting personal FOUL (2 PF) (Hunter 2 FT),"[1629667, 1629631]",1610612766.0,CHA,201245.0,shooting,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,0.0,Hunter,1629631.0,,,,,,,,
91,PT05M22.00S,2022-12-17T00:24:04.5Z,1,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,10,21,2022-12-17T00:24:04Z,900000,False,,,0,,D. Hunter Free Throw 1 of 2 (3 PTS),[1629631],1610612737.0,ATL,,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
92,PT05M22.00S,2022-12-17T00:24:15.6Z,1,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,10,22,2022-12-17T00:24:15Z,910000,False,,,0,,D. Hunter Free Throw 2 of 2 (4 PTS),[1629631],1610612737.0,ATL,,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
94,PT05M08.00S,2022-12-17T00:25:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,91.27792378449409,46.81372549019608,1610612766,10,22,2022-12-17T00:31:55Z,930000,False,-16.0,29.0,1,right,MISS T. Rozier driving finger roll Layup,[1626179],1610612766.0,CHA,,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,3.35,Missed,,,,,,,,,,,,,,,,,
95,PT05M05.00S,2022-12-17T00:25:07.0Z,1,REGULAR,rebound,defensive,[],1630235,,,1610612737,10,22,2022-12-17T00:25:11Z,940000,False,,,0,,T. Forrest REBOUND (Off:0 Def:2),[1630235],1610612737.0,ATL,,,,,Forrest,T. Forrest,,,,,Restricted Area,0-8 Center,,,94.0,2.0,2.0,0.0,,,,,,,,,,,,,
97,PT04M58.00S,2022-12-17T00:25:21.6Z,1,REGULAR,substitution,out,[],1630163,,,1610612737,10,22,2022-12-17T00:25:26Z,960000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M58.00S,2022-12-17T00:25:21.6Z,1,REGULAR,substitution,out,[],203992,,,1610612737,10,22,2022-12-17T00:25:26Z,970000,False,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M58.00S,2022-12-17T00:25:21.6Z,1,REGULAR,substitution,in,[],1630177,,,1610612737,10,22,2022-12-17T00:25:26Z,980000,False,,,0,,SUB in: T. Maledon,[1630177],1610612766.0,CHA,,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M58.00S,2022-12-17T00:25:21.6Z,1,REGULAR,substitution,in,[],1631100,,,1610612737,10,22,2022-12-17T00:25:26Z,990000,False,,,0,,SUB in: A. Griffin,[1631100],1610612737.0,ATL,,,,,Griffin,A. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M55.00S,2022-12-17T00:25:35.0Z,1,REGULAR,2pt,Jump Shot,[],1631100,14.011169513797633,70.34313725490196,1610612737,10,24,2022-12-17T00:25:39Z,1000000,False,-102.0,79.0,1,left,A. Griffin 12' Jump Shot (2 PTS) (T. Young 1 AST),"[1631100, 1629027]",1610612737.0,ATL,,,,,Griffin,A. Griffin,,,,,Mid-Range,8-16 Left,12.89,Made,,,,,2.0,,,,,T. Young,1629027.0,1.0,,,,,
103,PT04M42.00S,2022-12-17T00:25:48.0Z,1,REGULAR,3pt,Jump Shot,[],1626162,92.46057818659659,95.83333333333334,1610612766,13,24,2022-12-17T00:25:55Z,1020000,False,229.0,18.0,1,right,K. Oubre Jr. 3PT  (3 PTS) (T. Rozier 1 AST),"[1626162, 1626179]",1610612766.0,CHA,,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,22.99,Made,,,,,3.0,,,,,T. Rozier,1626179.0,1.0,,,,,
105,PT04M28.00S,2022-12-17T00:26:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,12.171484888304862,55.88235294117647,1610612737,13,26,2022-12-17T00:26:11Z,1040000,False,-29.0,62.0,1,left,T. Young 6' driving floating Jump Shot (10 PTS),[1629027],1610612737.0,ATL,,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,6.85,Made,,,,,10.0,,,,,,,,,,,,
106,PT04M16.00S,2022-12-17T00:26:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629667,92.59198423127464,50.98039215686274,1610612766,15,26,2022-12-17T00:26:31Z,1050000,False,5.0,17.0,1,right,J. McDaniels driving Layup (2 PTS),[1629667],1610612766.0,CHA,,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.78,Made,,,,,2.0,,,,,,,,,,,,
107,PT04M16.00S,2022-12-17T00:26:21.2Z,1,REGULAR,foul,personal,['1freethrow'],1630168,,,1610612766,15,26,2022-12-17T00:26:36Z,1060000,False,,,0,,O. Okongwu shooting personal FOUL (2 PF) (McDaniels 1 FT),"[1630168, 1629667]",1610612737.0,ATL,201245.0,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,2.0,0.0,McDaniels,1629667.0,,,,,,,,
109,PT04M16.00S,2022-12-17T00:26:37.4Z,1,REGULAR,substitution,out,[],1630168,,,1610612766,15,26,2022-12-17T00:27:58Z,1080000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M16.00S,2022-12-17T00:26:37.4Z,1,REGULAR,substitution,in,[],1626163,,,1610612766,15,26,2022-12-17T00:27:58Z,1090000,False,,,0,,SUB in: F. Kaminsky,[1626163],1610612737.0,ATL,,,,,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M16.00S,2022-12-17T00:26:48.2Z,1,REGULAR,freethrow,1 of 1,[],1629667,,,1610612766,16,26,2022-12-17T00:26:48Z,1100000,False,,,0,,J. McDaniels Free Throw 1 of 1 (3 PTS),[1629667],1610612766.0,CHA,,,,,McDaniels,J. McDaniels,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
112,PT03M59.00S,2022-12-17T00:27:06.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626163,7.440867279894875,38.970588235294116,1610612737,16,28,2022-12-17T00:34:38Z,1110000,False,55.0,17.0,1,left,F. Kaminsky Layup (2 PTS) (T. Young 2 AST),"[1626163, 1629027]",1610612737.0,ATL,,,,,Kaminsky,F. Kaminsky,,,,,In The Paint (Non-RA),0-8 Center,5.78,Made,,,,,2.0,,,,,T. Young,1629027.0,2.0,,,,,
115,PT03M47.00S,2022-12-17T00:27:25.6Z,1,REGULAR,substitution,out,[],1629667,,,1610612766,16,28,2022-12-17T00:27:35Z,1140000,False,,,0,,SUB out: J. McDaniels,[1629667],1610612766.0,CHA,,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M47.00S,2022-12-17T00:27:25.6Z,1,REGULAR,substitution,out,[],203486,,,1610612766,16,28,2022-12-17T00:27:35Z,1150000,False,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M47.00S,2022-12-17T00:27:25.6Z,1,REGULAR,substitution,in,[],1630539,,,1610612766,16,28,2022-12-17T00:27:35Z,1160000,False,,,0,,SUB in: K. Jones,[1630539],1610612766.0,CHA,,,,,Jones,K. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M47.00S,2022-12-17T00:27:25.6Z,1,REGULAR,substitution,in,[],1630208,,,1610612766,16,28,2022-12-17T00:27:35Z,1170000,False,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M33.00S,2022-12-17T00:27:56.6Z,1,REGULAR,2pt,Jump Shot,[],1626162,85.10183968462549,76.22549019607843,1610612766,16,28,2022-12-17T00:28:03Z,1180000,False,131.0,88.0,1,right,MISS K. Oubre Jr. 15' pullup Shot,[1626162],1610612766.0,CHA,,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,15.76,Missed,,,,,,,,,,,,,,,,,
120,PT03M31.00S,2022-12-17T00:27:58.7Z,1,REGULAR,rebound,defensive,[],1630235,,,1610612737,16,28,2022-12-17T00:27:58Z,1190000,False,,,0,,T. Forrest REBOUND (Off:0 Def:3),[1630235],1610612737.0,ATL,,,,,Forrest,T. Forrest,,,,,Mid-Range,8-16 Right,,,119.0,3.0,3.0,0.0,,,,,,,,,,,,,
121,PT03M24.00S,2022-12-17T00:28:05.7Z,1,REGULAR,3pt,Jump Shot,[],1631100,13.091327201051248,4.6568627450980395,1610612737,16,31,2022-12-17T00:28:11Z,1200000,False,227.0,71.0,1,left,A. Griffin 3PT  (5 PTS) (T. Young 3 AST),"[1631100, 1629027]",1610612737.0,ATL,,,,,Griffin,A. Griffin,,,,,Right Corner 3,24+ Right,23.74,Made,,,,,5.0,,,,,T. Young,1629027.0,3.0,,,,,
123,PT03M23.00S,2022-12-17T00:28:21.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,16,31,2022-12-17T00:28:21Z,1220000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M23.00S,2022-12-17T00:28:25.2Z,1,REGULAR,substitution,out,[],1629631,,,1610612766,16,31,2022-12-17T00:30:42Z,1230000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M23.00S,2022-12-17T00:28:25.2Z,1,REGULAR,substitution,in,[],1630552,,,1610612766,16,31,2022-12-17T00:30:42Z,1240000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT02M59.00S,2022-12-17T00:30:02.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,16,31,2022-12-17T00:38:36Z,1250000,False,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,204059.0,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
127,PT02M46.00S,2022-12-17T00:31:39.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626163,32.670827858081466,44.36274509803921,1610612737,16,34,2022-12-17T00:37:40Z,1260000,False,28.0,255.0,1,left,F. Kaminsky 25' 3PT  (5 PTS) (T. Young 4 AST),"[1626163, 1629027]",1610612737.0,ATL,,,,,Kaminsky,F. Kaminsky,,,,,Above the Break 3,24+ Center,25.62,Made,,,,,5.0,,,,,T. Young,1629027.0,4.0,,,,,
129,PT02M28.00S,2022-12-17T00:31:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630539,91.01511169513797,48.28431372549019,1610612766,18,34,2022-12-17T00:32:11Z,1280000,False,-9.0,32.0,1,right,K. Jones driving Layup (2 PTS) (T. Rozier 2 AST),"[1630539, 1626179]",1610612766.0,CHA,,driving,,,Jones,K. Jones,,,,,Restricted Area,0-8 Center,3.31,Made,,,,,2.0,,,,,T. Rozier,1626179.0,2.0,,,,,
131,PT02M14.00S,2022-12-17T00:32:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,9.017739816031538,48.03921568627451,1610612737,18,34,2022-12-17T00:32:22Z,1300000,False,10.0,32.0,1,left,MISS J. Johnson Layup - blocked,"[1630552, 1626162]",1610612737.0,ATL,,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,3.38,Missed,,,,,,,,,,,,,,,,Oubre Jr.,1626162.0
132,PT02M14.00S,2022-12-17T00:32:11.8Z,1,REGULAR,block,,[],1626162,,,1610612737,18,34,2022-12-17T00:32:54Z,1310000,False,,,0,,K. Oubre Jr. BLOCK (1 BLK),[1626162],1610612766.0,CHA,,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
133,PT02M08.00S,2022-12-17T00:32:17.8Z,1,REGULAR,rebound,defensive,[],1630539,,,1610612766,18,34,2022-12-17T00:32:54Z,1320000,False,,,0,,K. Jones REBOUND (Off:0 Def:1),[1630539],1610612766.0,CHA,,,,,Jones,K. Jones,,,,,Restricted Area,0-8 Center,,,131.0,1.0,1.0,0.0,,,,,,,,,,,,,
134,PT01M52.00S,2022-12-17T00:32:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,89.96386333771353,54.166666666666664,1610612766,18,34,2022-12-17T00:40:08Z,1330000,False,21.0,42.0,1,right,MISS T. Rozier driving floating Shot,[1626179],1610612766.0,CHA,,driving floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,4.67,Missed,,,,,,,,,,,,,,,,,
135,PT01M45.00S,2022-12-17T00:32:41.0Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,18,34,2022-12-17T00:32:41Z,1340000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,134.0,1.0,0.0,1.0,,,,,,,,,,,,,
136,PT01M45.00S,2022-12-17T00:32:41.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630208,94.40999984741211,50.0,1610612766,18,34,2022-12-17T00:40:31Z,1350000,False,0.0,0.0,1,right,MISS N. Richards putback Layup,[1630208],1610612766.0,CHA,,putback,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,
137,PT01M45.00S,2022-12-17T00:32:41.0Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,18,34,2022-12-17T00:32:47Z,1360000,False,,,0,,N. Richards REBOUND (Off:2 Def:0),[1630208],1610612766.0,CHA,,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,136.0,2.0,0.0,2.0,,,,,,,,,,,,,
138,PT01M43.00S,2022-12-17T00:32:43.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,94.40999984741211,50.0,1610612766,20,34,2022-12-17T00:32:43Z,1370000,False,0.0,0.0,1,right,N. Richards tip Layup (2 PTS),[1630208],1610612766.0,CHA,,tip,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,
140,PT01M39.00S,2022-12-17T00:32:54.9Z,1,REGULAR,substitution,out,[],1626179,,,1610612737,20,34,2022-12-17T00:33:13Z,1390000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M39.00S,2022-12-17T00:32:54.9Z,1,REGULAR,substitution,out,[],1630235,,,1610612737,20,34,2022-12-17T00:33:13Z,1400000,False,,,0,,SUB out: T. Forrest,[1630235],1610612737.0,ATL,,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M39.00S,2022-12-17T00:32:54.9Z,1,REGULAR,substitution,in,[],202330,,,1610612737,20,34,2022-12-17T00:33:13Z,1410000,False,,,0,,SUB in: G. Hayward,[202330],1610612766.0,CHA,,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M39.00S,2022-12-17T00:32:54.9Z,1,REGULAR,substitution,in,[],1628988,,,1610612737,20,34,2022-12-17T00:33:13Z,1420000,False,,,0,,SUB in: A. Holiday,[1628988],1610612737.0,ATL,,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M24.00S,2022-12-17T00:33:17.3Z,1,REGULAR,3pt,Jump Shot,[],1631100,4.5499342969776615,96.56862745098039,1610612737,20,34,2022-12-17T00:33:22Z,1430000,False,-233.0,-10.0,1,left,MISS A. Griffin 3PT,[1631100],1610612737.0,ATL,,,,,Griffin,A. Griffin,,,,,Left Corner 3,24+ Left,23.3,Missed,,,,,,,,,,,,,,,,,
145,PT01M22.00S,2022-12-17T00:33:19.3Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,20,34,2022-12-17T00:33:22Z,1440000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,
146,PT01M15.00S,2022-12-17T00:33:29.5Z,1,REGULAR,foul,personal,['2freethrow'],1626163,,,1610612766,20,34,2022-12-17T00:33:45Z,1450000,False,,,0,,F. Kaminsky shooting personal FOUL (1 PF) (Richards 2 FT),"[1626163, 1630208]",1610612737.0,ATL,2005.0,shooting,,,Kaminsky,F. Kaminsky,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,0.0,Richards,1630208.0,,,,,,,,
148,PT01M15.00S,2022-12-17T00:33:52.4Z,1,REGULAR,freethrow,1 of 2,[],1630208,,,1610612766,21,34,2022-12-17T00:33:52Z,1470000,False,,,0,,N. Richards Free Throw 1 of 2 (3 PTS),[1630208],1610612766.0,CHA,,,,,Richards,N. Richards,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
149,PT01M15.00S,2022-12-17T00:34:11.4Z,1,REGULAR,freethrow,2 of 2,[],1630208,,,1610612766,22,34,2022-12-17T00:34:11Z,1480000,False,,,0,,N. Richards Free Throw 2 of 2 (4 PTS),[1630208],1610612766.0,CHA,,,,,Richards,N. Richards,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
150,PT01M02.00S,2022-12-17T00:34:25.8Z,1,REGULAR,3pt,Jump Shot,[],1626163,29.6484888304862,26.96078431372549,1610612737,22,34,2022-12-17T00:34:31Z,1490000,False,115.0,226.0,1,left,MISS F. Kaminsky 25' 3PT,[1626163],1610612737.0,ATL,,,,,Kaminsky,F. Kaminsky,,,,,Above the Break 3,24+ Right Center,25.38,Missed,,,,,,,,,,,,,,,,,
151,PT00M58.60S,2022-12-17T00:34:29.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,22,34,2022-12-17T00:34:31Z,1500000,False,,,0,,N. Richards REBOUND (Off:2 Def:1),[1630208],1610612766.0,CHA,,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,150.0,3.0,1.0,2.0,,,,,,,,,,,,,
152,PT00M53.30S,2022-12-17T00:34:37.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630552,,,1610612766,22,34,2022-12-17T00:34:45Z,1510000,False,,,0,,J. Johnson shooting personal FOUL (1 PF) (Richards 2 FT),"[1630552, 1630208]",1610612737.0,ATL,204059.0,shooting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,0.0,Richards,1630208.0,,,,,,,,
154,PT00M53.30S,2022-12-17T00:35:03.4Z,1,REGULAR,freethrow,1 of 2,[],1630208,,,1610612766,23,34,2022-12-17T00:36:15Z,1530000,False,,,0,,N. Richards Free Throw 1 of 2 (5 PTS),[1630208],1610612766.0,CHA,,,,,Richards,N. Richards,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
155,PT00M53.30S,2022-12-17T00:35:03.4Z,1,REGULAR,freethrow,2 of 2,[],1630208,,,1610612766,23,34,2022-12-17T00:36:15Z,1540000,False,,,0,,MISS N. Richards Free Throw 2 of 2,[1630208],1610612766.0,CHA,,,,,Richards,N. Richards,,,,,,,,Missed,,,,,,,,,,,,,,,,,
156,PT00M49.90S,2022-12-17T00:35:06.8Z,1,REGULAR,rebound,defensive,[],1626163,,,1610612737,23,34,2022-12-17T00:36:15Z,1550000,False,,,0,,F. Kaminsky REBOUND (Off:0 Def:1),[1626163],1610612737.0,ATL,,,,,Kaminsky,F. Kaminsky,,,,,,,,,155.0,1.0,1.0,0.0,,,,,,,,,,,,,
157,PT00M39.80S,2022-12-17T00:36:07.8Z,1,REGULAR,foul,personal,[],1630208,,,1610612737,23,34,2022-12-17T00:36:20Z,1560000,False,,,0,,N. Richards personal FOUL (1 PF),"[1630208, 1629027]",1610612766.0,CHA,2005.0,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,0.0,Young,1629027.0,,,,,,,,
159,PT00M35.90S,2022-12-17T00:36:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,16.113666228646515,47.549019607843135,1610612737,23,36,2022-12-17T00:36:38Z,1580000,False,12.0,99.0,1,left,T. Young 9' driving floating Jump Shot (12 PTS) (A. Griffin 1 AST),"[1629027, 1631100]",1610612737.0,ATL,,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,9.98,Made,,,,,12.0,,,,,A. Griffin,1631100.0,1.0,,,,,
161,PT00M29.00S,2022-12-17T00:36:42.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631100,,,1610612766,23,36,2022-12-17T00:36:50Z,1600000,False,,,0,,A. Griffin personal FOUL (1 PF) (Hayward 2 FT),"[1631100, 202330]",1610612737.0,ATL,2005.0,,,,Griffin,A. Griffin,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,0.0,Hayward,202330.0,,,,,,,,
163,PT00M29.00S,2022-12-17T00:37:00.5Z,1,REGULAR,freethrow,1 of 2,[],202330,,,1610612766,23,36,2022-12-17T00:37:00Z,1620000,False,,,0,,MISS G. Hayward Free Throw 1 of 2,[202330],1610612766.0,CHA,,,,,Hayward,G. Hayward,,,,,,,,Missed,,,,,,,,,,,,,,,,,
164,PT00M29.00S,2022-12-17T00:37:00.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,23,36,2022-12-17T00:37:00Z,1630000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,
165,PT00M29.00S,2022-12-17T00:37:13.8Z,1,REGULAR,freethrow,2 of 2,[],202330,,,1610612766,24,36,2022-12-17T00:37:13Z,1640000,False,,,0,,G. Hayward Free Throw 2 of 2 (2 PTS),[202330],1610612766.0,CHA,,,,,Hayward,G. Hayward,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
166,PT00M09.30S,2022-12-17T00:37:38.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630539,,,1610612737,24,36,2022-12-17T00:37:45Z,1650000,False,,,0,,K. Jones personal FOUL (1 PF) (Young 2 FT),"[1630539, 1629027]",1610612766.0,CHA,204059.0,,,,Jones,K. Jones,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,0.0,Young,1629027.0,,,,,,,,
169,PT00M09.30S,2022-12-17T00:38:01.8Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,24,37,2022-12-17T00:38:01Z,1670000,False,,,0,,T. Young Free Throw 1 of 2 (13 PTS),[1629027],1610612737.0,ATL,,,,,Young,T. Young,,,,,,,,Made,,,,,13.0,,,,,,,,,,,,
170,PT00M09.30S,2022-12-17T00:38:12.8Z,1,REGULAR,substitution,out,[],1626163,,,1610612737,24,37,2022-12-17T00:38:17Z,1680000,False,,,0,,SUB out: F. Kaminsky,[1626163],1610612737.0,ATL,,,,,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M09.30S,2022-12-17T00:38:12.8Z,1,REGULAR,substitution,in,[],1629631,,,1610612737,24,37,2022-12-17T00:38:17Z,1690000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M09.30S,2022-12-17T00:38:25.3Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,24,38,2022-12-17T00:38:25Z,1700000,False,,,0,,T. Young Free Throw 2 of 2 (14 PTS),[1629027],1610612737.0,ATL,,,,,Young,T. Young,,,,,,,,Made,,,,,14.0,,,,,,,,,,,,
173,PT00M00.00S,2022-12-17T00:38:42.7Z,1,REGULAR,3pt,Jump Shot,[],1626162,92.32917214191852,96.07843137254902,1610612766,24,38,2022-12-17T00:38:57Z,1710000,False,230.0,20.0,1,right,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,23.12,Missed,,,,,,,,,,,,,,,,,
