actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
82,PT05M35.00S,2022-11-08T00:13:21.8Z,1,REGULAR,substitution,out,[],1630166,,,1610612766,11,16,2022-11-08T00:13:37Z,810000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M35.00S,2022-11-08T00:13:21.8Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,11,16,2022-11-08T00:13:37Z,820000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M35.00S,2022-11-08T00:13:21.8Z,1,REGULAR,substitution,in,[],1630547,,,1610612766,11,16,2022-11-08T00:13:37Z,830000,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M35.00S,2022-11-08T00:13:21.8Z,1,REGULAR,substitution,in,[],1629060,,,1610612766,11,16,2022-11-08T00:13:37Z,840000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M16.00S,2022-11-08T00:13:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,7.30946123521682,45.09803921568628,1610612766,11,16,2022-11-08T00:14:25Z,850000,25.0,16.0,1,left,MISS K. Oubre Jr. driving Layup,[1626162],1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.94,Missed,,,,,,,,,,,,,,,,,,
87,PT05M08.00S,2022-11-08T00:14:05.8Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,11,16,2022-11-08T00:14:25Z,860000,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,86.0,1.0,0.0,1.0,,,,,,,,,,
88,PT05M08.00S,2022-11-08T00:14:05.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630208,5.590000152587891,50.0,1610612766,13,16,2022-11-08T00:14:05Z,870000,0.0,0.0,1,left,N. Richards putback DUNK (2 PTS),[1630208],1610612766.0,CHA,putback,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
89,PT05M01.00S,2022-11-08T00:14:12.5Z,1,REGULAR,turnover,bad pass,[],203115,,,1610612764,13,16,2022-11-08T00:14:18Z,880000,,,0,,W. Barton bad pass TURNOVER (1 TO),"[203115, 1629667]",1610612764.0,WAS,,,,Barton,W. Barton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,McDaniels,1629667.0,,,,,,,
90,PT05M01.00S,2022-11-08T00:14:12.5Z,1,REGULAR,steal,,[],1629667,,,1610612766,13,16,2022-11-08T00:14:14Z,890000,,,0,,J. McDaniels STEAL (1 STL),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
91,PT04M48.00S,2022-11-08T00:14:25.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630208,6.1268068331143235,47.05882352941176,1610612766,15,16,2022-11-08T00:14:52Z,900000,15.0,5.0,1,left,N. Richards Layup (4 PTS) (D. Smith Jr. 2 AST),"[1630208, 1628372]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.56,Made,4.0,D. Smith Jr.,1628372.0,2.0,,,,,,,,,,,,,,
95,PT04M27.00S,2022-11-08T00:14:46.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,92.19776609724047,53.67647058823529,1610612764,15,16,2022-11-08T00:14:56Z,920000,18.0,21.0,1,right,MISS W. Barton Layup,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Restricted Area,0-8 Center,2.78,Missed,,,,,,,,,,,,,,,,,,
96,PT04M27.00S,2022-11-08T00:14:46.4Z,1,REGULAR,rebound,defensive,[],1630547,,,1610612766,15,16,2022-11-08T00:14:56Z,930000,,,0,,J. Bouknight REBOUND (Off:0 Def:1),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Restricted Area,0-8 Center,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,
97,PT04M23.00S,2022-11-08T00:14:55.6Z,1,REGULAR,foul,personal,[],1630264,,,1610612766,15,16,2022-11-08T00:15:06Z,940000,,,0,,A. Gill personal FOUL (1 PF),"[1630264, 1626162]",1610612764.0,WAS,,,,Gill,A. Gill,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Oubre Jr.,1626162.0
99,PT04M23.00S,2022-11-08T00:15:02.4Z,1,REGULAR,substitution,out,[],1628420,,,1610612766,15,16,2022-11-08T00:15:05Z,960000,,,0,,SUB out: M. Morris,[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M23.00S,2022-11-08T00:15:02.4Z,1,REGULAR,substitution,in,[],1630692,,,1610612766,15,16,2022-11-08T00:15:05Z,970000,,,0,,SUB in: J. Goodwin,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M15.00S,2022-11-08T00:15:25.2Z,1,REGULAR,3pt,Jump Shot,[],1629667,32.276609724047304,59.068627450980394,1610612766,15,16,2022-11-08T00:15:30Z,980000,-45.0,251.0,1,left,MISS J. McDaniels 25' 3PT,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,25.5,Missed,,,,,,,,,,,,,,,,,,
102,PT04M11.00S,2022-11-08T00:15:29.2Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612764,15,16,2022-11-08T00:15:30Z,990000,,,0,,J. Goodwin REBOUND (Off:0 Def:1),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Center,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,
103,PT04M02.00S,2022-11-08T00:15:37.8Z,1,REGULAR,3pt,Jump Shot,[],204001,65.1281208935611,42.15686274509804,1610612764,15,16,2022-11-08T00:15:42Z,1000000,-39.0,275.0,1,right,MISS K. Porzingis 27' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,27.81,Missed,,,,,,,,,,,,,,,,,,
104,PT03M58.00S,2022-11-08T00:15:41.8Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,15,16,2022-11-08T00:15:42Z,1010000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,,,103.0,1.0,1.0,0.0,,,,,,,,,,
106,PT03M48.00S,2022-11-08T00:15:57.1Z,1,REGULAR,substitution,out,[],204001,,,1610612766,15,16,2022-11-08T00:16:16Z,1030000,,,0,,SUB out: K. Porzingis,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M48.00S,2022-11-08T00:15:57.1Z,1,REGULAR,substitution,in,[],1629655,,,1610612766,15,16,2022-11-08T00:16:16Z,1040000,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M45.00S,2022-11-08T00:16:17.3Z,1,REGULAR,turnover,bad pass,[],1628372,,,1610612766,15,16,2022-11-08T00:16:22Z,1050000,,,0,,D. Smith Jr. bad pass TURNOVER (1 TO),"[1628372, 1629655]",1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Gafford,1629655.0,,,,,,,
109,PT03M45.00S,2022-11-08T00:16:17.3Z,1,REGULAR,steal,,[],1629655,,,1610612764,15,16,2022-11-08T00:16:19Z,1060000,,,0,,D. Gafford STEAL (1 STL),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
147,PT03M42.00S,2022-11-08T00:16:21.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629060,92.32917214191852,49.754901960784316,1610612764,15,16,2022-11-08T00:25:27Z,1065000,-1.0,20.0,1,right,MISS R. Hachimura running Layup - blocked,"[1629060, 1629667]",1610612764.0,WAS,running,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.96,Missed,,,,,,,,,,,,McDaniels,1629667.0,,,,,
148,PT03M42.00S,2022-11-08T00:16:21.8Z,1,REGULAR,block,,[],1629667,,,1610612764,15,16,2022-11-08T00:24:52Z,1067500,,,0,,J. McDaniels BLOCK (1 BLK),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
149,PT03M42.00S,2022-11-08T00:16:21.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,15,16,2022-11-08T00:24:52Z,1068750,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,147.0,,,,,,,,,,,,,
111,PT03M29.00S,2022-11-08T00:16:50.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",203115,92.46057818659659,61.51960784313726,1610612764,15,16,2022-11-08T00:24:52Z,1080000,58.0,18.0,1,right,MISS W. Barton 6' driving floating Shot,[203115],1610612764.0,WAS,driving floating,,,Barton,W. Barton,,,,,In The Paint (Non-RA),0-8 Center,6.05,Missed,,,,,,,,,,,,,,,,,,
112,PT03M24.00S,2022-11-08T00:16:55.3Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,15,16,2022-11-08T00:16:56Z,1090000,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,111.0,1.0,0.0,1.0,,,,,,,,,,
113,PT03M24.00S,2022-11-08T00:16:54.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629655,94.40999984741211,50.0,1610612764,15,18,2022-11-08T00:16:54Z,1100000,0.0,0.0,1,right,D. Gafford tip Layup (2 PTS),[1629655],1610612764.0,WAS,tip,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
114,PT03M12.00S,2022-11-08T00:17:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628372,11.777266754270697,49.01960784313725,1610612766,15,18,2022-11-08T00:17:11Z,1110000,5.0,58.0,1,left,MISS D. Smith Jr. driving Layup - blocked,"[1628372, 1630692]",1610612766.0,CHA,driving,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.84,Missed,,,,,,,,,,,,Goodwin,1630692.0,,,,,
161,PT03M12.00S,2022-11-08T00:17:06.4Z,1,REGULAR,block,,[],1630692,,,1610612766,15,18,2022-11-08T00:26:45Z,1115000,,,0,,J. Goodwin BLOCK (1 BLK),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
115,PT03M10.00S,2022-11-08T00:17:08.4Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612764,15,18,2022-11-08T00:17:11Z,1120000,,,0,,J. Goodwin REBOUND (Off:0 Def:2),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,114.0,2.0,2.0,0.0,,,,,,,,,,
116,PT03M10.00S,2022-11-08T00:17:10.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629060,92.85479632063075,49.50980392156863,1610612764,15,20,2022-11-08T00:17:16Z,1130000,-2.0,15.0,1,right,R. Hachimura running DUNK (2 PTS) (J. Goodwin 1 AST),"[1629060, 1630692]",1610612764.0,WAS,running,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,J. Goodwin,1630692.0,1.0,,,,,,,,,,,,,,
118,PT03M10.00S,2022-11-08T00:17:18.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,15,20,2022-11-08T00:17:18Z,1150000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M10.00S,2022-11-08T00:19:16.0Z,1,REGULAR,substitution,out,[],1626162,,,1610612766,15,20,2022-11-08T00:19:42Z,1160000,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M10.00S,2022-11-08T00:19:16.0Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,15,20,2022-11-08T00:19:42Z,1170000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M49.00S,2022-11-08T00:20:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629667,9.280551905387648,45.09803921568628,1610612766,15,20,2022-11-08T00:20:31Z,1180000,25.0,35.0,1,left,MISS J. McDaniels driving Layup,[1629667],1610612766.0,CHA,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,4.25,Missed,,,,,,,,,,,,,,,,,,
124,PT02M46.00S,2022-11-08T00:20:28.3Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,15,20,2022-11-08T00:20:31Z,1190000,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,123.0,2.0,1.0,1.0,,,,,,,,,,
125,PT02M39.00S,2022-11-08T00:20:38.3Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612764,15,20,2022-11-08T00:21:00Z,1200000,,,0,,P. Washington shooting personal FOUL (1 PF) (Hachimura 2 FT),"[1629023, 1629060]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Hachimura,1629060.0
127,PT02M39.00S,2022-11-08T00:21:02.9Z,1,REGULAR,freethrow,1 of 2,[],1629060,,,1610612764,15,21,2022-11-08T00:21:26Z,1220000,,,0,,R. Hachimura Free Throw 1 of 2 (3 PTS),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
128,PT02M39.00S,2022-11-08T00:21:02.9Z,1,REGULAR,freethrow,2 of 2,[],1629060,,,1610612764,15,21,2022-11-08T00:21:26Z,1230000,,,0,,MISS R. Hachimura Free Throw 2 of 2,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
129,PT02M30.00S,2022-11-08T00:21:11.9Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,15,21,2022-11-08T00:21:46Z,1240000,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,128.0,2.0,2.0,0.0,,,,,,,,,,
130,PT02M22.00S,2022-11-08T00:21:33.0Z,1,REGULAR,3pt,Jump Shot,[],1628372,29.517082785808146,23.774509803921568,1610612766,15,21,2022-11-08T00:21:36Z,1250000,131.0,225.0,1,left,MISS D. Smith Jr. 26' 3PT,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.04,Missed,,,,,,,,,,,,,,,,,,
131,PT02M19.00S,2022-11-08T00:21:36.0Z,1,REGULAR,rebound,defensive,[],203115,,,1610612764,15,21,2022-11-08T00:21:36Z,1260000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Above the Break 3,24+ Right Center,,,,,,,130.0,1.0,1.0,0.0,,,,,,,,,,
132,PT02M09.00S,2022-11-08T00:21:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,92.46057818659659,55.88235294117647,1610612764,15,21,2022-11-08T00:21:52Z,1270000,29.0,18.0,1,right,MISS W. Barton Layup,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
133,PT02M07.00S,2022-11-08T00:21:48.0Z,1,REGULAR,rebound,defensive,[],1630547,,,1610612766,15,21,2022-11-08T00:21:52Z,1280000,,,0,,J. Bouknight REBOUND (Off:0 Def:2),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Restricted Area,0-8 Center,,,,,,,132.0,2.0,2.0,0.0,,,,,,,,,,
134,PT02M05.00S,2022-11-08T00:21:57.8Z,1,REGULAR,foul,personal,['2freethrow'],1630264,,,1610612766,15,21,2022-11-08T00:22:08Z,1290000,,,0,,A. Gill shooting personal FOUL (2 PF) (Bouknight 2 FT),"[1630264, 1630547]",1610612764.0,WAS,shooting,,,Gill,A. Gill,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203054.0,2.0,0.0,Bouknight,1630547.0
136,PT02M05.00S,2022-11-08T00:22:18.0Z,1,REGULAR,substitution,out,[],1628372,,,1610612766,15,21,2022-11-08T00:22:23Z,1310000,,,0,,SUB out: D. Smith Jr.,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M05.00S,2022-11-08T00:22:18.0Z,1,REGULAR,substitution,in,[],1626179,,,1610612766,15,21,2022-11-08T00:22:23Z,1320000,,,0,,SUB in: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M05.00S,2022-11-08T00:22:24.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630547,,,1610612766,15,21,2022-11-08T00:22:24Z,1330000,,,0,,MISS J. Bouknight Free Throw 1 of 2,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
139,PT02M05.00S,2022-11-08T00:22:24.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,15,21,2022-11-08T00:22:24Z,1340000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,138.0,,,,,,,,,,,,,
140,PT02M05.00S,2022-11-08T00:22:31.9Z,1,REGULAR,substitution,out,[],1630264,,,1610612766,15,21,2022-11-08T00:22:35Z,1350000,,,0,,SUB out: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M05.00S,2022-11-08T00:22:31.9Z,1,REGULAR,substitution,in,[],1628398,,,1610612766,15,21,2022-11-08T00:22:35Z,1360000,,,0,,SUB in: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M05.00S,2022-11-08T00:22:43.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630547,,,1610612766,16,21,2022-11-08T00:22:43Z,1370000,,,0,,J. Bouknight Free Throw 2 of 2 (1 PTS),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
143,PT01M44.00S,2022-11-08T00:23:07.4Z,1,REGULAR,turnover,traveling,[],1630692,,,1610612764,16,21,2022-11-08T00:23:13Z,1380000,,,0,,J. Goodwin traveling TURNOVER (1 TO),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,,,,,2714.0,,,,
144,PT01M31.00S,2022-11-08T00:23:31.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629023,12.959921156373195,44.85294117647059,1610612766,18,21,2022-11-08T00:23:35Z,1390000,26.0,69.0,1,left,P. Washington 7' Hook (4 PTS) (T. Rozier 1 AST),"[1629023, 1626179]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,7.39,Made,4.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
146,PT01M19.00S,2022-11-08T00:23:49.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612764,18,21,2022-11-08T00:23:49Z,1410000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M19.00S,2022-11-08T00:24:46.8Z,1,REGULAR,substitution,out,[],1629655,,,1610612764,18,21,2022-11-08T00:25:28Z,1420000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M19.00S,2022-11-08T00:24:46.8Z,1,REGULAR,substitution,in,[],201959,,,1610612764,18,21,2022-11-08T00:25:28Z,1430000,,,0,,SUB in: T. Gibson,[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M10.00S,2022-11-08T00:25:30.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630692,90.3580814717477,49.50980392156863,1610612764,18,23,2022-11-08T00:25:35Z,1440000,-2.0,38.0,1,right,J. Goodwin driving floating Jump Shot (2 PTS),[1630692],1610612764.0,WAS,driving floating,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,3.82,Made,2.0,,,,,,,,,,,,,,,,,
153,PT00M58.60S,2022-11-08T00:25:42.8Z,1,REGULAR,3pt,Jump Shot,[],1630547,34.11629434954008,30.392156862745097,1610612766,18,23,2022-11-08T00:25:48Z,1450000,98.0,268.0,1,left,MISS J. Bouknight 28' 3PT,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Above the Break 3,24+ Right Center,28.55,Missed,,,,,,,,,,,,,,,,,,
154,PT00M55.30S,2022-11-08T00:25:46.1Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,18,23,2022-11-08T00:25:48Z,1460000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,153.0,1.0,1.0,0.0,,,,,,,,,,
155,PT00M49.40S,2022-11-08T00:25:55.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629023,,,1610612764,18,23,2022-11-08T00:26:16Z,1470000,,,0,,P. Washington shooting personal FOUL (2 PF) (Kuzma 2 FT),"[1629023, 1628398]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2714.0,2.0,0.0,Kuzma,1628398.0
157,PT00M49.40S,2022-11-08T00:26:23.3Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,18,23,2022-11-08T00:26:23Z,1490000,,,0,,MISS K. Kuzma Free Throw 1 of 2,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
158,PT00M49.40S,2022-11-08T00:26:23.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,18,23,2022-11-08T00:26:23Z,1500000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,157.0,,,,,,,,,,,,,
159,PT00M49.40S,2022-11-08T00:26:42.0Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,18,23,2022-11-08T00:26:42Z,1510000,,,0,,MISS K. Kuzma Free Throw 2 of 2,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
160,PT00M45.70S,2022-11-08T00:26:43.2Z,1,REGULAR,rebound,offensive,[],201959,,,1610612764,18,23,2022-11-08T00:26:43Z,1520000,,,0,,T. Gibson REBOUND (Off:1 Def:0),[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,,,,,,,,,159.0,1.0,0.0,1.0,,,,,,,,,,
162,PT00M44.90S,2022-11-08T00:26:45.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630692,69.85873850197109,70.09803921568627,1610612764,18,26,2022-11-08T00:26:52Z,1530000,100.0,231.0,1,right,J. Goodwin 25' 3PT  (5 PTS) (T. Gibson 1 AST),"[1630692, 201959]",1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Right Center,25.17,Made,5.0,T. Gibson,201959.0,1.0,,,,,,,,,,,,,,
164,PT00M35.90S,2022-11-08T00:27:00.1Z,1,REGULAR,turnover,out-of-bounds,[],1626179,,,1610612766,18,26,2022-11-08T00:27:10Z,1550000,,,0,,T. Rozier lost ball out-of-bounds TURNOVER (1 TO),[1626179],1610612766.0,CHA,lost ball,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,,,,,1628953.0,,,,
165,PT00M35.90S,2022-11-08T00:27:03.7Z,1,REGULAR,substitution,out,[],1629023,,,1610612764,18,26,2022-11-08T00:27:11Z,1560000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M35.90S,2022-11-08T00:27:03.7Z,1,REGULAR,substitution,in,[],1630550,,,1610612764,18,26,2022-11-08T00:27:11Z,1570000,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M20.10S,2022-11-08T00:27:30.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628398,86.02168199737189,42.40196078431372,1610612764,18,26,2022-11-08T00:27:35Z,1580000,-38.0,79.0,1,right,MISS K. Kuzma 8' turnaround Hook,[1628398],1610612764.0,WAS,turnaround,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,8.76,Missed,,,,,,,,,,,,,,,,,,
168,PT00M17.80S,2022-11-08T00:27:33.1Z,1,REGULAR,rebound,defensive,[],1630547,,,1610612766,18,26,2022-11-08T00:27:33Z,1590000,,,0,,J. Bouknight REBOUND (Off:0 Def:3),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,167.0,3.0,3.0,0.0,,,,,,,,,,
