shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
08:16,45,PT08M16.00S,2022-12-10T00:14:46.3Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,5,7,2022-12-10T00:14:48Z,450000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],24,1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,
08:16,46,PT08M16.00S,2022-12-10T00:14:46.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,94.40999984741211,50.0,1610612766,7,7,2022-12-10T00:14:46Z,460000,False,0.0,0.0,1,right,M. Plumlee tip Layup (2 PTS),[203486],24,1610612766.0,CHA,tip,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,,,,,,0.0,Made,,,,,2.0,,,,,,,,
08:11,47,PT08M11.00S,2022-12-10T00:14:54.8Z,1,REGULAR,foul,personal,[],1626179,,,1610612752,7,7,2022-12-10T00:15:00Z,470000,False,,,0,,T. Rozier personal FOUL (2 PF),"[1626179, 1628973]",3,1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,2715.0,2.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,
07:59,49,PT07M59.00S,2022-12-10T00:15:21.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,11.777266754270697,49.01960784313725,1610612752,7,7,2022-12-10T00:17:46Z,490000,False,5.0,58.0,1,left,MISS R. Barrett turnaround fadeaway bank Shot,[1629628],9,1610612752.0,NYK,turnaround fadeaway bank,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.84,Missed,,,,,,,,,,,,,
07:56,50,PT07M56.00S,2022-12-10T00:15:24.2Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,7,7,2022-12-10T00:15:26Z,500000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],25,1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,
07:48,51,PT07M48.00S,2022-12-10T00:15:34.6Z,1,REGULAR,2pt,Jump Shot,[],1629023,91.01511169513797,33.57843137254902,1610612766,7,7,2022-12-10T00:16:59Z,510000,False,-82.0,32.0,1,right,MISS P. Washington 8' turnaround fadeaway Shot,[1629023],25,1610612766.0,CHA,turnaround fadeaway,,,Washington,P. Washington,,,,,Mid-Range,8-16 Left,,,,,,8.81,Missed,,,,,,,,,,,,,
07:47,52,PT07M47.00S,2022-12-10T00:15:35.6Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,7,7,2022-12-10T00:16:59Z,520000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],11,1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,
07:46,53,PT07M46.00S,2022-12-10T00:15:45.5Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612752,7,7,2022-12-10T00:15:59Z,530000,False,,,0,,J. Brunson lost ball out-of-bounds TURNOVER (1 TO),[1628973],11,1610612752.0,NYK,lost ball,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,2715.0,,,,,,,,,,,,,,,,,1.0,,
07:43,54,PT07M43.00S,2022-12-10T00:15:58.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626162,85.62746386333771,3.1862745098039214,1610612766,7,7,2022-12-10T00:16:02Z,540000,False,-234.0,83.0,1,right,MISS K. Oubre Jr. 24' 3PT,[1626162],12,1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,,,,,,24.82,Missed,,,,,,,,,,,,,
07:40,55,PT07M40.00S,2022-12-10T00:16:01.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,7,7,2022-12-10T00:16:02Z,550000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],30,1610612752.0,NYK,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,
07:30,56,PT07M30.00S,2022-12-10T00:16:11.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,11.645860709592641,45.588235294117645,1610612752,7,7,2022-12-10T00:16:18Z,560000,False,22.0,57.0,1,left,MISS J. Randle 6' pullup Shot,[203944],30,1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.11,Missed,,,,,,,,,,,,,
07:26,57,PT07M26.00S,2022-12-10T00:16:15.8Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612766,7,7,2022-12-10T00:19:36Z,570000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],6,1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,
