actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
522,PT08M41.00S,2026-02-02T02:03:28.2Z,4,REGULAR,substitution,in,[],1629216,,,1610612752,97,88,2026-02-02T02:03:51Z,5200000,False,,,0,,SUB in: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
523,PT08M22.00S,2026-02-02T02:04:19.4Z,4,REGULAR,turnover,shot clock,['team'],0,,,1610612752,97,88,2026-02-02T02:04:26Z,5210000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,2534.0,,,,,,,,,
524,PT08M03.00S,2026-02-02T02:04:47.5Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203935,86.41590013140605,46.07843137254902,1610612747,97,88,2026-02-02T02:04:51Z,5220000,False,-20.0,75.0,1,right,MISS M. Smart 7' driving floating Shot,[203935],1610612747.0,LAL,driving floating,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,7.77,Missed,,,,,,,,,,,,,,,,,,
525,PT08M01.00S,2026-02-02T02:04:49.5Z,4,REGULAR,rebound,defensive,[],1626157,,,1610612752,97,88,2026-02-02T02:04:51Z,5230000,False,,,0,,K. Towns REBOUND (Off:5 Def:7),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,524.0,12.0,7.0,5.0,,,,,,,,,,,,,,
526,PT07M51.00S,2026-02-02T02:04:59.6Z,4,REGULAR,turnover,lost ball,[],1626157,,,1610612752,97,88,2026-02-02T02:05:03Z,5240000,False,,,0,,K. Towns lost ball TURNOVER (3 TO),"[1626157, 203935]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,3.0,Smart,203935.0,,
527,PT07M51.00S,2026-02-02T02:04:59.6Z,4,REGULAR,steal,,[],203935,,,1610612747,97,88,2026-02-02T02:05:01Z,5250000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
528,PT07M40.00S,2026-02-02T02:05:11.1Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,93.51182654402102,60.29411764705882,1610612747,97,88,2026-02-02T02:06:02Z,5260000,False,51.0,8.0,1,right,MISS L. Dončić driving floating Shot,[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,5.22,Missed,,,,,,,,,,,,,,,,,,
529,PT07M38.00S,2026-02-02T02:05:13.1Z,4,REGULAR,rebound,defensive,[],1626157,,,1610612752,97,88,2026-02-02T02:05:15Z,5270000,False,,,0,,K. Towns REBOUND (Off:5 Def:8),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,528.0,13.0,8.0,5.0,,,,,,,,,,,,,,
530,PT07M33.00S,2026-02-02T02:05:17.8Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1642278,31.882391590013142,36.27450980392157,1610612752,97,88,2026-02-02T02:05:24Z,5280000,False,69.0,247.0,1,left,MISS T. Kolek 25' running pullup 3PT,[1642278],1610612752.0,NYK,running pullup,,,Kolek,T. Kolek,,,,,Above the Break 3,24+ Center,25.65,Missed,,,,,,,,,,,,,,,,,,
531,PT07M30.00S,2026-02-02T02:05:20.8Z,4,REGULAR,rebound,defensive,[],1629029,,,1610612747,97,88,2026-02-02T02:05:24Z,5290000,False,,,0,,L. Dončić REBOUND (Off:0 Def:13),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,,,530.0,13.0,13.0,0.0,,,,,,,,,,,,,,
532,PT07M25.00S,2026-02-02T02:05:26.2Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],2544,77.7431011826544,87.5,1610612747,97,88,2026-02-02T02:06:35Z,5300000,False,188.0,157.0,1,right,MISS L. James 24' running pullup 3PT,[2544],1610612747.0,LAL,running pullup,,,James,L. James,,,,,Above the Break 3,24+ Right Center,24.44,Missed,,,,,,,,,,,,,,,,,,
