actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
86,PT04M42.00S,2024-01-11T00:25:25.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,18,13,2024-01-11T00:25:34Z,840000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,,,85.0,3.0,3.0,0.0,,,,,,,,
87,PT04M28.00S,2024-01-11T00:25:39.8Z,1,REGULAR,3pt,Jump Shot,[],1629162,8.623521681997373,97.30392156862744,1610612750,18,16,2024-01-11T00:25:44Z,850000,False,-237.0,29.0,1,left,J. McLaughlin 3PT  (3 PTS) (N. Reid 1 AST),"[1629162, 1629675]",1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Left Corner 3,24+ Left,,,,,,,23.82,Made,,,,,3.0,N. Reid,1629675.0,1.0,,,,
89,PT04M15.00S,2024-01-11T00:25:55.4Z,1,REGULAR,foul,personal,[],1630183,,,1610612738,18,16,2024-01-11T00:26:04Z,870000,False,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 201143]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,1628484.0,,1.0,0.0,Horford,201143.0,,,,,,,,,,,,,,
91,PT04M15.00S,2024-01-11T00:26:02.7Z,1,REGULAR,substitution,out,[],201143,,,1610612738,18,16,2024-01-11T00:26:32Z,890000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M15.00S,2024-01-11T00:26:02.7Z,1,REGULAR,substitution,out,[],1630183,,,1610612738,18,16,2024-01-11T00:26:32Z,900000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M15.00S,2024-01-11T00:26:02.7Z,1,REGULAR,substitution,out,[],1626157,,,1610612738,18,16,2024-01-11T00:26:32Z,910000,False,,,0,,SUB out: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M15.00S,2024-01-11T00:26:02.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,18,16,2024-01-11T00:26:32Z,920000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M15.00S,2024-01-11T00:26:02.7Z,1,REGULAR,substitution,in,[],203937,,,1610612738,18,16,2024-01-11T00:26:32Z,930000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M15.00S,2024-01-11T00:26:02.7Z,1,REGULAR,substitution,in,[],1628972,,,1610612738,18,16,2024-01-11T00:26:32Z,940000,False,,,0,,SUB in: T. Brown Jr.,[1628972],1610612750.0,MIN,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M07.00S,2024-01-11T00:26:33.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,74.45795006570303,35.049019607843135,1610612738,20,16,2024-01-11T00:27:05Z,950000,False,-75.0,188.0,1,right,J. Brown 20' pullup Jump Shot (10 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,20.2,Made,,,,,10.0,,,,,,,
98,PT03M44.00S,2024-01-11T00:26:50.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203937,11.908672798948752,42.8921568627451,1610612750,20,16,2024-01-11T00:27:00Z,960000,False,36.0,59.0,1,left,MISS K. Anderson 6' turnaround Hook,[203937],1610612750.0,MIN,turnaround,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.92,Missed,,,,,,,,,,,,
99,PT03M41.00S,2024-01-11T00:26:53.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,20,16,2024-01-11T00:27:00Z,970000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,98.0,2.0,2.0,0.0,,,,,,,,
100,PT03M36.00S,2024-01-11T00:27:00.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,89.83245729303549,46.568627450980394,1610612738,22,16,2024-01-11T00:27:15Z,980000,False,-17.0,43.0,1,right,J. Brown running finger roll Layup (12 PTS),[1627759],1610612738.0,BOS,running finger roll,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,4.64,Made,,,,,12.0,,,,,,,
101,PT03M23.00S,2024-01-11T00:27:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,8.754927726675426,58.08823529411765,1610612750,22,18,2024-01-11T00:27:18Z,990000,False,-40.0,30.0,1,left,A. Edwards cutting Layup (4 PTS) (K. Anderson 1 AST),"[1630162, 203937]",1610612750.0,MIN,cutting,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.02,Made,,,,,4.0,K. Anderson,203937.0,1.0,,,,
103,PT03M14.00S,2024-01-11T00:27:21.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.56701708278581,17.15686274509804,1610612738,25,18,2024-01-11T00:27:27Z,1010000,False,-164.0,215.0,1,right,J. Brown 27' 3PT step back (15 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,27.04,Made,,,,,15.0,,,,,,,
104,PT02M50.00S,2024-01-11T00:27:44.5Z,1,REGULAR,2pt,Jump Shot,[],1630162,9.674770039421814,78.18627450980392,1610612750,25,18,2024-01-11T00:28:54Z,1020000,False,-141.0,38.0,1,left,MISS A. Edwards 14' Jump Shot,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,,,,14.6,Missed,,,,,,,,,,,,
105,PT02M48.00S,2024-01-11T00:27:46.5Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,25,18,2024-01-11T00:27:51Z,1030000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Mid-Range,8-16 Left,,,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,
106,PT02M39.00S,2024-01-11T00:27:56.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,74.06373193166885,84.80392156862744,1610612738,28,18,2024-01-11T00:28:00Z,1040000,False,174.0,191.0,1,right,P. Pritchard 25' 3PT  (3 PTS) (D. White 3 AST),"[1630202, 1628401]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,,,,,25.86,Made,,,,,3.0,D. White,1628401.0,3.0,,,,
108,PT02M16.00S,2024-01-11T00:28:19.5Z,1,REGULAR,2pt,Hook,[],1629675,12.959921156373195,31.862745098039213,1610612750,28,20,2024-01-11T00:29:24Z,1060000,False,91.0,69.0,1,left,N. Reid 11' turnaround bank Hook (4 PTS) (K. Anderson 2 AST),"[1629675, 203937]",1610612750.0,MIN,turnaround bank,,,Reid,N. Reid,,,,,Mid-Range,8-16 Right,,,,,,,11.41,Made,,,,,4.0,K. Anderson,203937.0,2.0,,,,
110,PT02M03.00S,2024-01-11T00:28:32.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.51576872536137,73.77450980392157,1610612738,28,20,2024-01-11T00:28:39Z,1080000,False,119.0,225.0,1,right,MISS J. Brown 25' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,25.42,Missed,,,,,,,,,,,,
111,PT02M00.00S,2024-01-11T00:28:35.3Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612750,28,20,2024-01-11T00:28:39Z,1090000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612750.0,MIN,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,110.0,1.0,1.0,0.0,,,,,,,,
112,PT01M56.00S,2024-01-11T00:28:40.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629675,7.178055190538765,49.754901960784316,1610612750,28,22,2024-01-11T00:28:47Z,1100000,False,1.0,15.0,1,left,N. Reid running DUNK (6 PTS) (T. Brown Jr. 1 AST),"[1629675, 1628972]",1610612750.0,MIN,running,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,1.5,Made,,,,,6.0,T. Brown Jr.,1628972.0,1.0,,,,
114,PT01M40.00S,2024-01-11T00:28:54.8Z,1,REGULAR,3pt,Jump Shot,[],1630573,67.88764783180025,65.44117647058823,1610612738,28,22,2024-01-11T00:28:59Z,1120000,False,77.0,249.0,1,right,MISS S. Hauser 26' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,,26.11,Missed,,,,,,,,,,,,
115,PT01M38.00S,2024-01-11T00:28:56.8Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,28,22,2024-01-11T00:28:59Z,1130000,False,,,0,,N. Reid REBOUND (Off:1 Def:2),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,,,,,,,,,114.0,3.0,2.0,1.0,,,,,,,,
116,PT01M30.00S,2024-01-11T00:29:07.2Z,1,REGULAR,foul,personal,[],1628401,,,1610612750,28,22,2024-01-11T00:29:14Z,1140000,False,,,0,,D. White personal FOUL (1 PF),"[1628401, 1629675]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,2004.0,,1.0,0.0,Reid,1629675.0,,,,,,,,,,,,,,
118,PT01M30.00S,2024-01-11T00:29:15.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,28,22,2024-01-11T00:29:15Z,1160000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M30.00S,2024-01-11T00:31:39.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612750,28,22,2024-01-11T00:32:00Z,1170000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M30.00S,2024-01-11T00:31:39.2Z,1,REGULAR,substitution,in,[],1628369,,,1610612750,28,22,2024-01-11T00:32:00Z,1180000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M15.00S,2024-01-11T00:32:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,16.245072273324574,51.9607843137255,1610612750,28,24,2024-01-11T00:32:31Z,1190000,False,-10.0,100.0,1,left,K. Anderson 10' fadeaway Jump Shot (4 PTS),[203937],1610612750.0,MIN,fadeaway,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.07,Made,,,,,4.0,,,,,,,
122,PT00M58.20S,2024-01-11T00:32:43.5Z,1,REGULAR,2pt,Jump Shot,[],1628401,78.13731931668858,61.029411764705884,1610612738,30,24,2024-01-11T00:32:53Z,1200000,False,55.0,153.0,1,right,D. White 16' driving floating Jump Shot (2 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,Mid-Range,16-24 Right Center,,,,,,,16.26,Made,,,,,2.0,,,,,,,
123,PT00M49.70S,2024-01-11T00:32:54.9Z,1,REGULAR,3pt,Jump Shot,[],1628972,26.757555847568987,83.57843137254902,1610612750,30,24,2024-01-11T00:32:59Z,1210000,False,-168.0,199.0,1,left,MISS T. Brown Jr. 26' 3PT,[1628972],1610612750.0,MIN,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,26.04,Missed,,,,,,,,,,,,
124,PT00M47.20S,2024-01-11T00:32:57.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,30,24,2024-01-11T00:32:59Z,1220000,False,,,0,,D. White REBOUND (Off:0 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,,123.0,3.0,3.0,0.0,,,,,,,,
125,PT00M33.40S,2024-01-11T00:33:11.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.7562417871222,34.55882352941176,1610612738,30,24,2024-01-11T00:33:21Z,1230000,False,-77.0,251.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,26.22,Missed,,,,,,,,,,,,
126,PT00M31.20S,2024-01-11T00:33:13.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,30,24,2024-01-11T00:34:29Z,1240000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,125.0,,,,,,,,,,,
128,PT00M31.20S,2024-01-11T00:33:22.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203937,,,1610612738,30,24,2024-01-11T00:34:08Z,1260000,False,,,0,,K. Anderson loose ball personal FOUL (2 PF) (Kornet 2 FT),"[203937, 1628436]",1610612750.0,MIN,loose ball,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,1628484.0,,2.0,0.0,Kornet,1628436.0,,,,,,,,,,,,,,
130,PT00M31.20S,2024-01-11T00:34:11.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628436,,,1610612738,31,24,2024-01-11T00:34:11Z,1280000,False,,,0,,L. Kornet Free Throw 1 of 2 (3 PTS),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,Made,,,,,3.0,,,,,,,
131,PT00M31.20S,2024-01-11T00:34:26.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628436,,,1610612738,32,24,2024-01-11T00:34:26Z,1290000,False,,,0,,L. Kornet Free Throw 2 of 2 (4 PTS),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,Made,,,,,4.0,,,,,,,
132,PT00M14.20S,2024-01-11T00:34:45.7Z,1,REGULAR,3pt,Jump Shot,[],1629162,26.49474375821288,84.80392156862744,1610612750,32,27,2024-01-11T00:34:50Z,1300000,False,-174.0,197.0,1,left,J. McLaughlin 26' 3PT  (6 PTS) (K. Anderson 3 AST),"[1629162, 203937]",1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Above the Break 3,24+ Left Center,,,,,,,26.25,Made,,,,,6.0,K. Anderson,203937.0,3.0,,,,
134,PT00M01.20S,2024-01-11T00:35:02.8Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,32,27,2024-01-11T00:35:19Z,1320000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 203937]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,,,,,Anderson,203937.0,,
135,PT00M01.20S,2024-01-11T00:35:02.8Z,1,REGULAR,steal,,[],203937,,,1610612750,32,27,2024-01-11T00:35:04Z,1330000,False,,,0,,K. Anderson STEAL (1 STL),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
136,PT00M00.00S,2024-01-11T00:35:10.2Z,1,REGULAR,period,end,[],0,,,1610612750,32,27,2024-01-11T00:35:10Z,1340000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2024-01-11T00:37:10.8Z,2,REGULAR,substitution,out,['startperiod'],1628401,,,1610612750,32,27,2024-01-11T00:37:27Z,1350000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2024-01-11T00:37:10.8Z,2,REGULAR,substitution,out,['startperiod'],203937,,,1610612750,32,27,2024-01-11T00:37:27Z,1360000,False,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2024-01-11T00:37:10.8Z,2,REGULAR,substitution,out,['startperiod'],1630162,,,1610612750,32,27,2024-01-11T00:37:27Z,1370000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2024-01-11T00:37:10.8Z,2,REGULAR,substitution,in,['startperiod'],201950,,,1610612750,32,27,2024-01-11T00:37:27Z,1380000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2024-01-11T00:37:10.8Z,2,REGULAR,substitution,in,['startperiod'],1626157,,,1610612750,32,27,2024-01-11T00:37:27Z,1390000,False,,,0,,SUB in: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2024-01-11T00:37:10.8Z,2,REGULAR,substitution,in,['startperiod'],1630183,,,1610612750,32,27,2024-01-11T00:37:27Z,1400000,False,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2024-01-11T00:37:40.8Z,2,REGULAR,period,start,[],0,,,1610612750,32,27,2024-01-11T00:37:40Z,1410000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT11M48.00S,2024-01-11T00:37:51.8Z,2,REGULAR,3pt,Jump Shot,[],1629675,29.122864651773984,79.41176470588235,1610612750,32,30,2024-01-11T00:37:57Z,1420000,False,-147.0,221.0,1,left,N. Reid 26' 3PT  (9 PTS) (J. McDaniels 1 AST),"[1629675, 1630183]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,,,,,,,26.57,Made,,,,,9.0,J. McDaniels,1630183.0,1.0,,,,
146,PT11M27.00S,2024-01-11T00:38:13.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628436,92.9862023653088,50.0,1610612738,34,30,2024-01-11T00:38:18Z,1440000,False,0.0,13.0,1,right,L. Kornet cutting DUNK (6 PTS) (J. Holiday 2 AST),"[1628436, 201950]",1610612738.0,BOS,cutting,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,,1.34,Made,,,,,6.0,J. Holiday,201950.0,2.0,,,,
148,PT11M18.00S,2024-01-11T00:38:22.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628972,9.149145860709593,51.71568627450981,1610612750,34,32,2024-01-11T00:38:31Z,1460000,False,-9.0,34.0,1,left,T. Brown Jr. driving Layup (2 PTS),[1628972],1610612750.0,MIN,driving,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,,,,,,,3.46,Made,,,,,2.0,,,,,,,
150,PT10M56.00S,2024-01-11T00:38:43.0Z,2,REGULAR,2pt,Jump Shot,[],1628369,77.7431011826544,29.65686274509804,1610612738,34,32,2024-01-11T00:38:49Z,1480000,False,-102.0,157.0,1,right,MISS J. Tatum 18' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,18.68,Missed,,,,,,,,,,,,
151,PT10M54.00S,2024-01-11T00:38:45.0Z,2,REGULAR,rebound,defensive,[],1629675,,,1610612750,34,32,2024-01-11T00:38:49Z,1490000,False,,,0,,N. Reid REBOUND (Off:1 Def:3),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,16-24 Left Center,,,,,,,,,150.0,4.0,3.0,1.0,,,,,,,,
152,PT10M46.00S,2024-01-11T00:38:53.4Z,2,REGULAR,3pt,Jump Shot,[],1626157,33.196452036793694,46.568627450980394,1610612750,34,32,2024-01-11T00:38:59Z,1500000,False,17.0,260.0,1,left,MISS K. Towns 26' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,,26.01,Missed,,,,,,,,,,,,
153,PT10M43.00S,2024-01-11T00:38:56.4Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,34,32,2024-01-11T00:38:59Z,1510000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,,,,,,152.0,1.0,1.0,0.0,,,,,,,,
154,PT10M40.00S,2024-01-11T00:39:04.9Z,2,REGULAR,foul,personal,[],1629162,,,1610612738,34,32,2024-01-11T00:39:10Z,1520000,False,,,0,,J. McLaughlin personal FOUL (1 PF),"[1629162, 1630202]",1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Mid-Range,16-24 Right Center,1155.0,,1.0,0.0,Pritchard,1630202.0,,,,,,,,,,,,,,
156,PT10M29.00S,2024-01-11T00:39:25.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],201950,85.89027595269383,46.32352941176471,1610612738,36,32,2024-01-11T00:39:29Z,1540000,False,-18.0,80.0,1,right,J. Holiday 8' driving Hook (2 PTS),[201950],1610612738.0,BOS,driving,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,8.22,Made,,,,,2.0,,,,,,,
157,PT10M15.00S,2024-01-11T00:39:39.0Z,2,REGULAR,3pt,Jump Shot,[],1628972,24.78646517739816,85.7843137254902,1610612750,36,32,2024-01-11T00:39:44Z,1550000,False,-179.0,180.0,1,left,MISS T. Brown Jr. 25' 3PT,[1628972],1610612750.0,MIN,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,25.41,Missed,,,,,,,,,,,,
158,PT10M13.00S,2024-01-11T00:39:41.0Z,2,REGULAR,rebound,offensive,[],1629675,,,1610612750,36,32,2024-01-11T00:39:44Z,1560000,False,,,0,,N. Reid REBOUND (Off:2 Def:3),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,,,,,,,,,157.0,5.0,3.0,2.0,,,,,,,,
159,PT10M11.00S,2024-01-11T00:39:43.3Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629675,15.062417871222076,35.049019607843135,1610612750,36,32,2024-01-11T00:39:51Z,1570000,False,75.0,89.0,1,left,MISS N. Reid 11' turnaround Hook,[1629675],1610612750.0,MIN,turnaround,,,Reid,N. Reid,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,11.63,Missed,,,,,,,,,,,,
160,PT10M07.00S,2024-01-11T00:39:47.3Z,2,REGULAR,rebound,offensive,[],1626157,,,1610612750,36,32,2024-01-11T00:39:51Z,1580000,False,,,0,,K. Towns REBOUND (Off:1 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,159.0,4.0,3.0,1.0,,,,,,,,
161,PT10M07.00S,2024-01-11T00:39:47.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,7.703679369250986,51.71568627450981,1610612750,36,34,2024-01-11T00:39:56Z,1590000,False,-9.0,20.0,1,left,K. Towns putback Layup (7 PTS),[1626157],1610612750.0,MIN,putback,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,2.17,Made,,,,,7.0,,,,,,,
162,PT09M49.00S,2024-01-11T00:40:05.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,93.64323258869908,52.20588235294118,1610612738,38,34,2024-01-11T00:40:09Z,1600000,False,11.0,7.0,1,right,L. Kornet Layup (8 PTS) (P. Pritchard 1 AST),"[1628436, 1630202]",1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,,1.32,Made,,,,,8.0,P. Pritchard,1630202.0,1.0,,,,
164,PT09M28.00S,2024-01-11T00:40:25.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,18.2161629434954,60.29411764705882,1610612750,38,34,2024-01-11T00:40:30Z,1620000,False,-51.0,119.0,1,left,MISS K. Towns 12' fadeaway Shot,[1626157],1610612750.0,MIN,fadeaway,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.94,Missed,,,,,,,,,,,,
165,PT09M26.00S,2024-01-11T00:40:27.6Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,38,34,2024-01-11T00:40:30Z,1630000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,164.0,2.0,2.0,0.0,,,,,,,,
166,PT09M20.00S,2024-01-11T00:40:34.8Z,2,REGULAR,3pt,Jump Shot,[],1630573,90.62089356110381,96.56862745098039,1610612738,38,34,2024-01-11T00:40:41Z,1640000,False,233.0,36.0,1,right,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,,,,,,,23.55,Missed,,,,,,,,,,,,
167,PT09M15.00S,2024-01-11T00:40:39.8Z,2,REGULAR,rebound,offensive,[],1628436,,,1610612738,38,34,2024-01-11T00:40:41Z,1650000,False,,,0,,L. Kornet REBOUND (Off:1 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Right Corner 3,24+ Right,,,,,,,,,166.0,2.0,1.0,1.0,,,,,,,,
168,PT09M15.00S,2024-01-11T00:40:39.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628436,94.40999984741211,50.0,1610612738,38,34,2024-01-11T00:40:39Z,1660000,False,0.0,0.0,1,right,MISS L. Kornet tip Layup,[1628436],1610612738.0,BOS,tip,,,Kornet,L. Kornet,,,,,Mid-Range,8-16 Left,,,,,,,0.0,Missed,,,,,,,,,,,,
169,PT09M14.00S,2024-01-11T00:40:39.8Z,2,REGULAR,rebound,defensive,[],1629162,,,1610612750,38,34,2024-01-11T00:40:39Z,1670000,False,,,0,,J. McLaughlin REBOUND (Off:0 Def:1),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Mid-Range,8-16 Left,,,,,,,,,168.0,1.0,1.0,0.0,,,,,,,,
