actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
80,PT04M55.00S,2023-12-17T20:23:55.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,16,2023-12-17T20:23:57Z,800000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
81,PT04M53.00S,2023-12-17T20:23:58.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201950,94.1688567674113,51.71568627450981,1610612738,11,16,2023-12-17T20:36:04Z,810000,False,9.0,2.0,1,right,J. Holiday running Layup (4 PTS) (J. Brown 1 AST),"[201950, 1627759]",1610612738.0,BOS,running,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,0.89,Made,,,,,,,4.0,,,,,J. Brown,1627759.0,1.0,,,,
191,PT04M36.00S,2023-12-17T20:24:11.6Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,11,16,2023-12-17T20:42:41Z,827500,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 204001]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Porzingis,204001.0,,,,,,,
192,PT04M36.00S,2023-12-17T20:24:11.6Z,1,REGULAR,steal,,[],204001,,,1610612738,11,16,2023-12-17T20:42:41Z,831250,False,,,0,,K. Porzingis STEAL (1 STL),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
101,PT04M36.00S,2023-12-17T20:24:24.5Z,1,REGULAR,foul,personal,[],1630591,,,1610612738,11,16,2023-12-17T20:42:53Z,835000,False,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 204001]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,,,,,,,,,,202027.0,,,,,,,1.0,0.0,Porzingis,204001.0
84,PT04M36.00S,2023-12-17T20:24:25.7Z,1,REGULAR,substitution,out,[],201950,,,1610612738,11,16,2023-12-17T20:24:37Z,840000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M36.00S,2023-12-17T20:24:25.7Z,1,REGULAR,substitution,out,[],1641710,,,1610612738,11,16,2023-12-17T20:24:37Z,850000,False,,,0,,SUB out: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M36.00S,2023-12-17T20:24:25.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,11,16,2023-12-17T20:24:37Z,860000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M36.00S,2023-12-17T20:24:25.7Z,1,REGULAR,substitution,in,[],203914,,,1610612738,11,16,2023-12-17T20:24:37Z,870000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M25.00S,2023-12-17T20:24:55.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,76.2976346911958,87.00980392156863,1610612738,11,16,2023-12-17T20:25:01Z,880000,False,185.0,170.0,1,right,MISS K. Porzingis 25' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,25.14,Missed,,,,,,,,,,,,,,,,,,
89,PT04M21.00S,2023-12-17T20:24:59.2Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,11,16,2023-12-17T20:24:59Z,890000,False,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,88.0,1.0,0.0,1.0,,,,,,,,,,,,,,
90,PT04M20.00S,2023-12-17T20:24:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201143,93.38042049934296,52.94117647058824,1610612738,13,16,2023-12-17T20:40:47Z,900000,False,15.0,10.0,1,right,A. Horford putback Layup (2 PTS),[201143],1610612738.0,BOS,putback,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,,,2.0,,,,,,,,,,,
91,PT04M08.00S,2023-12-17T20:25:11.4Z,1,REGULAR,3pt,Jump Shot,[],1631094,28.991458607095925,80.88235294117648,1610612753,13,19,2023-12-17T20:41:07Z,910000,False,-154.0,220.0,1,left,P. Banchero 26' 3PT pullup (9 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,26.88,Made,,,,,,,9.0,,,,,,,,,,,
92,PT04M00.00S,2023-12-17T20:25:25.7Z,1,REGULAR,foul,personal,[],1630591,,,1610612738,13,19,2023-12-17T20:25:32Z,920000,False,,,0,,J. Suggs personal FOUL (2 PF),"[1630591, 1627759]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1627961.0,,,,,,,2.0,0.0,Brown,1627759.0
94,PT04M00.00S,2023-12-17T20:25:37.8Z,1,REGULAR,substitution,out,[],1630591,,,1610612738,13,19,2023-12-17T20:25:41Z,940000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M00.00S,2023-12-17T20:25:37.8Z,1,REGULAR,substitution,in,[],1630175,,,1610612738,13,19,2023-12-17T20:25:41Z,950000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M54.00S,2023-12-17T20:25:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,94.03745072273325,55.392156862745104,1610612738,15,19,2023-12-17T20:45:17Z,960000,False,27.0,4.0,1,right,D. White driving Layup (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,2.72,Made,,,,,,,2.0,,,,,,,,,,,
98,PT03M54.00S,2023-12-17T20:25:58.5Z,1,REGULAR,foul,personal,"['1freethrow', 'inpenalty']",1631216,,,1610612738,15,19,2023-12-17T20:28:15Z,980000,False,,,0,,C. Houstan shooting personal FOUL (1 PF) (White 1 FT),"[1631216, 1628401]",1610612753.0,ORL,shooting,,,Houstan,C. Houstan,,,,,Restricted Area,0-8 Center,,,,,,,,,,202027.0,,,,,,,1.0,0.0,White,1628401.0
100,PT03M54.00S,2023-12-17T20:26:23.8Z,1,REGULAR,freethrow,1 of 1,[],1628401,,,1610612738,16,19,2023-12-17T20:26:23Z,1000000,False,,,0,,D. White Free Throw 1 of 1 (3 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
104,PT03M41.00S,2023-12-17T20:26:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,9.149145860709593,45.83333333333333,1610612753,16,21,2023-12-17T20:26:58Z,1010000,False,21.0,34.0,1,left,G. Bitadze Layup (2 PTS) (G. Harris 1 AST),"[1629048, 203914]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,3.94,Made,,,,,,,2.0,,,,,G. Harris,203914.0,1.0,,,,
106,PT03M31.00S,2023-12-17T20:26:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,90.22667542706965,62.254901960784316,1610612738,16,21,2023-12-17T20:46:26Z,1030000,False,61.0,39.0,1,right,MISS J. Brown 7' driving Layup - blocked,"[1627759, 1629048]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.29,Missed,,,,,Bitadze,1629048.0,,,,,,,,,,,,
107,PT03M31.00S,2023-12-17T20:26:52.0Z,1,REGULAR,block,,[],1629048,,,1610612738,16,21,2023-12-17T20:26:54Z,1040000,False,,,0,,G. Bitadze BLOCK (3 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
108,PT03M30.00S,2023-12-17T20:26:53.0Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,16,21,2023-12-17T20:27:19Z,1050000,False,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,106.0,2.0,1.0,1.0,,,,,,,,,,,,,,
109,PT03M24.00S,2023-12-17T20:26:57.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627759,76.16622864651774,45.83333333333333,1610612738,18,21,2023-12-17T20:27:09Z,1060000,False,-21.0,172.0,1,right,J. Brown 17' fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,17.28,Made,,,,,,,2.0,,,,,,,,,,,
110,PT03M13.00S,2023-12-17T20:27:10.8Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612753,18,21,2023-12-17T20:27:48Z,1070000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Banchero 2 FT),"[201143, 1631094]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202027.0,,,,,,,1.0,0.0,Banchero,1631094.0
112,PT03M13.00S,2023-12-17T20:27:58.0Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,18,22,2023-12-17T20:27:58Z,1090000,False,,,0,,P. Banchero Free Throw 1 of 2 (10 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
113,PT03M13.00S,2023-12-17T20:28:00.3Z,1,REGULAR,substitution,out,[],1631216,,,1610612753,18,22,2023-12-17T20:28:03Z,1100000,False,,,0,,SUB out: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M13.00S,2023-12-17T20:28:00.3Z,1,REGULAR,substitution,in,[],1630532,,,1610612753,18,22,2023-12-17T20:28:03Z,1110000,False,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M13.00S,2023-12-17T20:28:18.5Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,18,23,2023-12-17T20:28:18Z,1120000,False,,,0,,P. Banchero Free Throw 2 of 2 (11 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
117,PT02M59.00S,2023-12-17T20:28:43.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,23,2023-12-17T20:28:43Z,1140000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M59.00S,2023-12-17T20:31:09.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,18,23,2023-12-17T20:31:35Z,1150000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M59.00S,2023-12-17T20:31:09.3Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,18,23,2023-12-17T20:31:35Z,1160000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M59.00S,2023-12-17T20:31:09.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,18,23,2023-12-17T20:31:35Z,1170000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M59.00S,2023-12-17T20:31:09.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,18,23,2023-12-17T20:31:35Z,1180000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M48.00S,2023-12-17T20:32:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,85.62746386333771,47.794117647058826,1610612738,20,23,2023-12-17T20:32:11Z,1190000,False,-11.0,83.0,1,right,K. Porzingis 8' turnaround fadeaway Jump Shot (7 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,turnaround fadeaway,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,8.33,Made,,,,,,,7.0,,,,,J. Tatum,1628369.0,1.0,,,,
126,PT02M29.00S,2023-12-17T20:32:20.5Z,1,REGULAR,3pt,Jump Shot,[],1631094,28.728646517739815,83.82352941176471,1610612753,20,26,2023-12-17T20:32:25Z,1210000,False,-169.0,218.0,1,left,P. Banchero 27' 3PT  (14 PTS) (G. Harris 2 AST),"[1631094, 203914]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,27.55,Made,,,,,,,14.0,,,,,G. Harris,203914.0,2.0,,,,
128,PT02M13.00S,2023-12-17T20:32:36.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630573,90.40735873850197,56.395526960784316,1610612738,22,26,2023-12-17T20:32:45Z,1230000,False,32.0,38.0,1,right,S. Hauser driving floating Jump Shot (2 PTS) (J. Tatum 2 AST),"[1630573, 1628369]",1610612738.0,BOS,driving floating,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,4.94,Made,,,,,,,2.0,,,,,J. Tatum,1628369.0,2.0,,,,
130,PT01M58.00S,2023-12-17T20:32:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.09789750328515,43.627450980392155,1610612753,22,26,2023-12-17T20:32:57Z,1250000,False,32.0,24.0,1,left,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.97,Missed,,,,,,,,,,,,,,,,,,
131,PT01M56.00S,2023-12-17T20:32:54.2Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,22,26,2023-12-17T20:32:57Z,1260000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:5),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,130.0,5.0,5.0,0.0,,,,,,,,,,,,,,
132,PT01M41.00S,2023-12-17T20:33:08.1Z,1,REGULAR,turnover,lost ball,[],204001,,,1610612738,22,26,2023-12-17T20:58:21Z,1270000,False,,,0,,K. Porzingis lost ball TURNOVER (2 TO),"[204001, 1629048]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,Bitadze,1629048.0,,,,,,,
133,PT01M41.00S,2023-12-17T20:33:08.1Z,1,REGULAR,steal,,[],1629048,,,1610612753,22,26,2023-12-17T20:58:21Z,1280000,False,,,0,,G. Bitadze STEAL (1 STL),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
134,PT01M38.00S,2023-12-17T20:33:14.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630532,10.775295663600525,40.78201593137255,1610612753,22,26,2023-12-17T20:51:41Z,1290000,False,46.0,49.0,1,left,MISS F. Wagner 6' running Layup - blocked,"[1630532, 1630202]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.71,Missed,,,,,Pritchard,1630202.0,,,,,,,,,,,,
135,PT01M38.00S,2023-12-17T20:33:14.3Z,1,REGULAR,block,,[],1630202,,,1610612753,22,26,2023-12-17T20:33:15Z,1300000,False,,,0,,P. Pritchard BLOCK (1 BLK),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
136,PT01M36.00S,2023-12-17T20:33:16.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,22,26,2023-12-17T20:36:21Z,1310000,False,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,134.0,2.0,1.0,1.0,,,,,,,,,,,,,,
137,PT01M33.00S,2023-12-17T20:33:17.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628369,94.03745072273325,49.26470588235294,1610612738,24,26,2023-12-17T20:55:18Z,1320000,False,-4.0,4.0,1,right,J. Tatum running DUNK (4 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.51,Made,,,,,,,4.0,,,,,A. Horford,201143.0,1.0,,,,
139,PT01M15.00S,2023-12-17T20:33:34.8Z,1,REGULAR,3pt,Jump Shot,[],1631094,32.802233902759525,29.166666666666668,1610612753,24,29,2023-12-17T20:33:39Z,1340000,False,104.0,256.0,1,left,P. Banchero 27' 3PT pullup (17 PTS) (C. Anthony 1 AST),"[1631094, 1630175]",1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,27.62,Made,,,,,,,17.0,,,,,C. Anthony,1630175.0,1.0,,,,
141,PT00M56.90S,2023-12-17T20:33:53.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.59592641261499,19.607843137254903,1610612738,27,29,2023-12-17T20:33:57Z,1360000,False,-152.0,233.0,1,right,J. Tatum 27' 3PT pullup (7 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,27.84,Made,,,,,,,7.0,,,,,,,,,,,
142,PT00M45.30S,2023-12-17T20:34:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,10.068988173455978,42.8921568627451,1610612753,27,31,2023-12-17T20:34:12Z,1370000,False,36.0,42.0,1,left,P. Banchero driving Layup (19 PTS) (C. Anthony 2 AST),"[1631094, 1630175]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,5.51,Made,,,,,,,19.0,,,,,C. Anthony,1630175.0,2.0,,,,
144,PT00M29.40S,2023-12-17T20:34:25.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],204001,88.12417871222075,57.59803921568627,1610612738,27,31,2023-12-17T20:34:36Z,1390000,False,38.0,59.0,1,right,MISS K. Porzingis 7' turnaround Hook,[204001],1610612738.0,BOS,turnaround,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,7.03,Missed,,,,,,,,,,,,,,,,,,
145,PT00M24.70S,2023-12-17T20:34:30.6Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,27,31,2023-12-17T20:34:36Z,1400000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:2),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,144.0,2.0,2.0,0.0,,,,,,,,,,,,,,
146,PT00M07.80S,2023-12-17T20:34:49.2Z,1,REGULAR,turnover,out-of-bounds,[],1631094,,,1610612753,27,31,2023-12-17T20:34:56Z,1410000,False,,,0,,P. Banchero bad pass out-of-bounds TURNOVER (1 TO),[1631094],1610612753.0,ORL,bad pass,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,202027.0,1.0,,,,,,,,,
147,PT00M07.80S,2023-12-17T20:34:51.8Z,1,REGULAR,substitution,out,[],1631094,,,1610612738,27,31,2023-12-17T20:35:05Z,1420000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M07.80S,2023-12-17T20:34:51.8Z,1,REGULAR,substitution,out,[],1629048,,,1610612738,27,31,2023-12-17T20:35:05Z,1430000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M07.80S,2023-12-17T20:34:51.8Z,1,REGULAR,substitution,out,[],1630175,,,1610612738,27,31,2023-12-17T20:35:05Z,1440000,False,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M07.80S,2023-12-17T20:34:51.8Z,1,REGULAR,substitution,in,[],1629021,,,1610612738,27,31,2023-12-17T20:35:05Z,1450000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M07.80S,2023-12-17T20:34:51.8Z,1,REGULAR,substitution,in,[],1628371,,,1610612738,27,31,2023-12-17T20:35:05Z,1460000,False,,,0,,SUB in: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M07.80S,2023-12-17T20:34:51.8Z,1,REGULAR,substitution,in,[],1641710,,,1610612738,27,31,2023-12-17T20:35:05Z,1470000,False,,,0,,SUB in: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M00.50S,2023-12-17T20:35:22.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630573,67.09921156373193,32.35294117647059,1610612738,27,31,2023-12-17T20:35:27Z,1480000,False,-88.0,257.0,1,right,MISS S. Hauser 27' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,27.15,Missed,,,,,,,,,,,,,,,,,,
154,PT00M00.50S,2023-12-17T20:35:22.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,27,31,2023-12-17T20:35:27Z,1490000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,153.0,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2023-12-17T20:35:25.7Z,1,REGULAR,period,end,[],0,,,1610612738,27,31,2023-12-17T20:35:25Z,1500000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-12-17T20:37:32.5Z,2,REGULAR,substitution,out,['startperiod'],204001,,,1610612738,27,31,2023-12-17T20:37:49Z,1510000,False,,,0,,SUB out: K. Porzingis,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-12-17T20:37:32.5Z,2,REGULAR,substitution,out,['startperiod'],201143,,,1610612738,27,31,2023-12-17T20:37:49Z,1520000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-12-17T20:37:32.5Z,2,REGULAR,substitution,out,['startperiod'],1641710,,,1610612738,27,31,2023-12-17T20:37:49Z,1530000,False,,,0,,SUB out: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-12-17T20:37:32.5Z,2,REGULAR,substitution,in,['startperiod'],201950,,,1610612738,27,31,2023-12-17T20:37:49Z,1540000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-12-17T20:37:32.5Z,2,REGULAR,substitution,in,['startperiod'],1629674,,,1610612738,27,31,2023-12-17T20:37:49Z,1550000,False,,,0,,SUB in: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-12-17T20:37:32.5Z,2,REGULAR,substitution,in,['startperiod'],1630175,,,1610612738,27,31,2023-12-17T20:37:49Z,1560000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-12-17T20:38:05.3Z,2,REGULAR,period,start,[],0,,,1610612738,27,31,2023-12-17T20:38:05Z,1570000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M44.00S,2023-12-17T20:38:23.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.85479632063075,46.32352941176471,1610612738,29,31,2023-12-17T20:58:08Z,1580000,False,-18.0,15.0,1,right,J. Tatum driving Layup (9 PTS) (P. Pritchard 1 AST),"[1628369, 1630202]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,,,9.0,,,,,P. Pritchard,1630202.0,1.0,,,,
164,PT11M44.00S,2023-12-17T20:38:29.4Z,2,REGULAR,foul,personal,['1freethrow'],1629021,,,1610612738,29,31,2023-12-17T20:38:33Z,1590000,False,,,0,,M. Wagner shooting personal FOUL (1 PF) (Tatum 1 FT),"[1629021, 1628369]",1610612753.0,ORL,shooting,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627961.0,,,,,,,1.0,0.0,Tatum,1628369.0
167,PT11M44.00S,2023-12-17T20:38:51.8Z,2,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,29,31,2023-12-17T20:39:31Z,1610000,False,,,0,,MISS J. Tatum Free Throw 1 of 1,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
168,PT11M44.00S,2023-12-17T20:38:51.8Z,2,REGULAR,rebound,defensive,[],1628371,,,1610612753,29,31,2023-12-17T20:39:31Z,1620000,False,,,0,,J. Isaac REBOUND (Off:0 Def:1),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,,,
169,PT11M32.00S,2023-12-17T20:39:02.8Z,2,REGULAR,3pt,Jump Shot,[],1630532,30.042706964520367,74.75490196078431,1610612753,29,31,2023-12-17T20:39:12Z,1630000,False,-124.0,230.0,1,left,MISS F. Wagner 26' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,26.11,Missed,,,,,,,,,,,,,,,,,,
