actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
83,PT05M43.00S,2023-12-02T00:56:11.8Z,1,REGULAR,foul,personal,['2freethrow'],1630573,,,1610612755,25,18,2023-12-02T00:56:21Z,820000,False,,,0,,S. Hauser shooting personal FOUL (1 PF) (Melton 2 FT),"[1630573, 1629001]",1610612738.0,BOS,shooting,,,,,,Above the Break 3,24+ Center,,Hauser,S. Hauser,,,,,,,,,,,,,,,1662.0,1.0,0.0,Melton,1629001.0
86,PT05M43.00S,2023-12-02T00:56:34.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629001,,,1610612755,25,19,2023-12-02T00:56:34Z,840000,False,,,0,,D. Melton Free Throw 1 of 2 (3 PTS),[1629001],1610612755.0,PHI,,,,,,,,,,Melton,D. Melton,,,,Made,3.0,,,,,,,,,,,,,,
87,PT05M43.00S,2023-12-02T00:56:38.8Z,1,REGULAR,substitution,out,[],1630194,,,1610612755,25,19,2023-12-02T00:56:41Z,850000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,,,,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,
88,PT05M43.00S,2023-12-02T00:56:38.8Z,1,REGULAR,substitution,in,[],1630231,,,1610612755,25,19,2023-12-02T00:56:41Z,860000,False,,,0,,SUB in: K. Martin,[1630231],1610612755.0,PHI,,,,,,,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,
89,PT05M43.00S,2023-12-02T00:56:51.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629001,,,1610612755,25,20,2023-12-02T00:56:51Z,870000,False,,,0,,D. Melton Free Throw 2 of 2 (4 PTS),[1629001],1610612755.0,PHI,,,,,,,,,,Melton,D. Melton,,,,Made,4.0,,,,,,,,,,,,,,
90,PT05M31.00S,2023-12-02T00:57:05.4Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,25,20,2023-12-02T00:57:09Z,880000,False,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 203496]",1610612738.0,BOS,,,,,,,Mid-Range,16-24 Right,1.0,Tatum,J. Tatum,Covington,203496.0,,,,,,,,,,,,,,,,,
91,PT05M31.00S,2023-12-02T00:57:05.4Z,1,REGULAR,steal,,[],203496,,,1610612755,25,20,2023-12-02T00:57:07Z,890000,False,,,0,,R. Covington STEAL (1 STL),[203496],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,
92,PT05M24.00S,2023-12-02T00:57:16.5Z,1,REGULAR,turnover,out-of-bounds,[],1629001,,,1610612755,25,20,2023-12-02T00:57:24Z,900000,False,,,0,,D. Melton bad pass out-of-bounds TURNOVER (2 TO),[1629001],1610612755.0,PHI,bad pass,,,,,,Mid-Range,16-24 Right Center,2.0,Melton,D. Melton,,,,,,,,,,,,,,,202007.0,,,,
93,PT05M15.00S,2023-12-02T00:57:29.0Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,25,20,2023-12-02T00:57:32Z,910000,False,,,0,,J. Brown lost ball TURNOVER (2 TO),"[1627759, 203496]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,2.0,Brown,J. Brown,Covington,203496.0,,,,,,,,,,,,,,,,,
94,PT05M15.00S,2023-12-02T00:57:29.0Z,1,REGULAR,steal,,[],203496,,,1610612755,25,20,2023-12-02T00:57:31Z,920000,False,,,0,,R. Covington STEAL (2 STL),[203496],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,
95,PT05M10.00S,2023-12-02T00:57:33.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203496,27.283180026281208,13.23529411764706,1610612755,25,23,2023-12-02T00:59:10Z,930000,False,184.0,204.0,1,left,R. Covington 27' 3PT running (3 PTS) (D. Melton 1 AST),"[203496, 1629001]",1610612755.0,PHI,running,,,,,,Above the Break 3,24+ Right Center,,Covington,R. Covington,,,27.46,Made,3.0,D. Melton,1629001.0,1.0,,,,,,,,,,,
97,PT04M50.00S,2023-12-02T00:57:52.4Z,1,REGULAR,3pt,Jump Shot,[],1630573,67.62483574244416,25.0,1610612738,28,23,2023-12-02T00:58:00Z,950000,False,-125.0,252.0,1,right,S. Hauser 28' 3PT  (3 PTS) (J. Tatum 3 AST),"[1630573, 1628369]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,Hauser,S. Hauser,,,28.11,Made,3.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,
99,PT04M33.00S,2023-12-02T00:58:09.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629001,11.514454664914586,38.48039215686275,1610612755,28,25,2023-12-02T00:58:15Z,970000,False,58.0,56.0,1,left,D. Melton 8' driving floating bank Jump Shot (6 PTS),[1629001],1610612755.0,PHI,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,,Melton,D. Melton,,,8.01,Made,6.0,,,,,,,,,,,,,,
100,PT04M13.00S,2023-12-02T00:58:29.4Z,1,REGULAR,turnover,lost ball,[],1630573,,,1610612738,28,25,2023-12-02T01:05:48Z,980000,False,,,0,,S. Hauser lost ball TURNOVER (1 TO),"[1630573, 1627788]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,1.0,Hauser,S. Hauser,Korkmaz,1627788.0,,,,,,,,,,,,,,,,,
101,PT04M13.00S,2023-12-02T00:58:29.4Z,1,REGULAR,steal,,[],1627788,,,1610612755,28,25,2023-12-02T01:05:48Z,990000,False,,,0,,F. Korkmaz STEAL (1 STL),[1627788],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,
102,PT04M07.00S,2023-12-02T00:58:37.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630231,8.754927726675426,45.34313725490196,1610612755,28,25,2023-12-02T00:58:54Z,1000000,False,23.0,30.0,1,left,MISS K. Martin running Layup,[1630231],1610612755.0,PHI,running,,,,,,Restricted Area,0-8 Center,,Martin,K. Martin,,,3.78,Missed,,,,,,,,,,,,,,,
103,PT04M05.00S,2023-12-02T00:58:39.3Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,28,25,2023-12-02T00:58:49Z,1010000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,Holiday,J. Holiday,,,,,,,,,102.0,1.0,1.0,0.0,,,,,,,
104,PT03M55.00S,2023-12-02T00:58:48.3Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,28,25,2023-12-02T00:58:52Z,1020000,False,,,0,,J. Tatum lost ball TURNOVER (2 TO),"[1628369, 1630231]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,2.0,Tatum,J. Tatum,Martin,1630231.0,,,,,,,,,,,,,,,,,
105,PT03M55.00S,2023-12-02T00:58:48.3Z,1,REGULAR,steal,,[],1630231,,,1610612755,28,25,2023-12-02T00:58:51Z,1030000,False,,,0,,K. Martin STEAL (1 STL),[1630231],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,
106,PT03M50.00S,2023-12-02T00:59:01.0Z,1,REGULAR,foul,technical,['1freethrow'],1628369,,,1610612755,28,25,2023-12-02T00:59:12Z,1040000,False,,,0,,J. Tatum technical FOUL (1 Tech),[1628369],1610612738.0,BOS,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1627963.0,0.0,1.0,,
107,PT03M50.00S,2023-12-02T00:59:19.5Z,1,REGULAR,freethrow,1 of 1,[],202694,,,1610612755,28,26,2023-12-02T00:59:19Z,1050000,False,,,0,,M. Morris Sr. technical Free Throw 1 of 1 (1 PTS),[202694],1610612755.0,PHI,technical,,,,,,,,,Morris Sr.,M. Morris Sr.,,,,Made,1.0,,,,,,,,,,,,,,
108,PT03M50.00S,2023-12-02T00:59:21.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612755,28,26,2023-12-02T00:59:42Z,1060000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,
109,PT03M50.00S,2023-12-02T00:59:21.8Z,1,REGULAR,substitution,out,[],201143,,,1610612755,28,26,2023-12-02T00:59:42Z,1070000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,
110,PT03M50.00S,2023-12-02T00:59:21.8Z,1,REGULAR,substitution,out,[],202694,,,1610612755,28,26,2023-12-02T00:59:42Z,1080000,False,,,0,,SUB out: M. Morris Sr.,[202694],1610612755.0,PHI,,,,,,,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
111,PT03M50.00S,2023-12-02T00:59:21.8Z,1,REGULAR,substitution,out,[],1629001,,,1610612755,28,26,2023-12-02T00:59:42Z,1090000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,,,,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
112,PT03M50.00S,2023-12-02T00:59:21.8Z,1,REGULAR,substitution,in,[],1630625,,,1610612755,28,26,2023-12-02T00:59:42Z,1100000,False,,,0,,SUB in: D. Banton,[1630625],1610612738.0,BOS,,,,,,,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,
113,PT03M50.00S,2023-12-02T00:59:21.8Z,1,REGULAR,substitution,in,[],1629674,,,1610612755,28,26,2023-12-02T00:59:42Z,1110000,False,,,0,,SUB in: N. Queta,[1629674],1610612738.0,BOS,,,,,,,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,
114,PT03M50.00S,2023-12-02T00:59:21.8Z,1,REGULAR,substitution,in,[],1628964,,,1610612755,28,26,2023-12-02T00:59:42Z,1120000,False,,,0,,SUB in: M. Bamba,[1628964],1610612755.0,PHI,,,,,,,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,
115,PT03M50.00S,2023-12-02T00:59:21.8Z,1,REGULAR,substitution,in,[],201976,,,1610612755,28,26,2023-12-02T00:59:42Z,1130000,False,,,0,,SUB in: P. Beverley,[201976],1610612755.0,PHI,,,,,,,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,
116,PT03M44.00S,2023-12-02T00:59:55.5Z,1,REGULAR,turnover,offensive goaltending,[],1628964,,,1610612755,28,26,2023-12-02T01:00:13Z,1140000,False,,,0,,M. Bamba offensive goaltending TURNOVER (1 TO),[1628964],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,1.0,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,
118,PT03M23.00S,2023-12-02T01:00:50.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630625,90.40735873850197,42.89981617647059,1610612738,30,26,2023-12-02T01:00:55Z,1160000,False,-36.0,38.0,1,right,D. Banton driving Layup (2 PTS) (S. Hauser 1 AST),"[1630625, 1630573]",1610612738.0,BOS,driving,,,,,,In The Paint (Non-RA),0-8 Center,,Banton,D. Banton,,,5.18,Made,2.0,S. Hauser,1630573.0,1.0,,,,,,,,,,,
120,PT03M23.00S,2023-12-02T01:00:54.9Z,1,REGULAR,foul,personal,['1freethrow'],1627788,,,1610612738,30,26,2023-12-02T01:01:07Z,1180000,False,,,0,,F. Korkmaz shooting personal FOUL (1 PF) (Banton 1 FT),"[1627788, 1630625]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,202007.0,1.0,0.0,Banton,1630625.0
122,PT03M23.00S,2023-12-02T01:01:18.5Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1630625,,,1610612738,30,26,2023-12-02T01:01:34Z,1200000,False,,,0,,MISS D. Banton Free Throw 1 of 1,[1630625],1610612738.0,BOS,,,,,,,,,,Banton,D. Banton,,,,Missed,,,,,,,,,,,,,,,
123,PT03M22.00S,2023-12-02T01:01:19.5Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,30,26,2023-12-02T01:14:56Z,1210000,False,,,0,,N. Queta REBOUND (Off:1 Def:0),[1629674],1610612738.0,BOS,,,,,,,,,,Queta,N. Queta,,,,,,,,,122.0,1.0,0.0,1.0,,,,,,,
124,PT03M22.00S,2023-12-02T01:01:28.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628964,,,1610612738,30,26,2023-12-02T01:15:01Z,1220000,False,,,0,,M. Bamba personal FOUL (1 PF) (Queta 2 FT),"[1628964, 1629674]",1610612755.0,PHI,,,,,,,Mid-Range,8-16 Right,,Bamba,M. Bamba,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Queta,1629674.0
126,PT03M22.00S,2023-12-02T01:01:42.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629674,,,1610612738,31,26,2023-12-02T01:01:42Z,1240000,False,,,0,,N. Queta Free Throw 1 of 2 (1 PTS),[1629674],1610612738.0,BOS,,,,,,,,,,Queta,N. Queta,,,,Made,1.0,,,,,,,,,,,,,,
127,PT03M22.00S,2023-12-02T01:01:53.5Z,1,REGULAR,substitution,out,[],201950,,,1610612738,31,26,2023-12-02T01:02:00Z,1250000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,
128,PT03M22.00S,2023-12-02T01:01:53.5Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,31,26,2023-12-02T01:02:00Z,1260000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,,
129,PT03M22.00S,2023-12-02T01:02:07.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,31,26,2023-12-02T01:02:07Z,1270000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M22.00S,2023-12-02T01:03:48.3Z,1,REGULAR,substitution,out,[],1630231,,,1610612738,31,26,2023-12-02T01:04:46Z,1280000,False,,,0,,SUB out: K. Martin,[1630231],1610612755.0,PHI,,,,,,,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,
131,PT03M22.00S,2023-12-02T01:03:48.3Z,1,REGULAR,substitution,in,[],202699,,,1610612738,31,26,2023-12-02T01:04:46Z,1290000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,
132,PT03M22.00S,2023-12-02T01:05:33.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629674,,,1610612738,32,26,2023-12-02T01:05:33Z,1300000,False,,,0,,N. Queta Free Throw 2 of 2 (2 PTS),[1629674],1610612738.0,BOS,,,,,,,,,,Queta,N. Queta,,,,Made,2.0,,,,,,,,,,,,,,
133,PT03M10.00S,2023-12-02T01:05:46.7Z,1,REGULAR,3pt,Jump Shot,[],203496,34.247700394218136,62.254901960784316,1610612755,32,29,2023-12-02T01:05:52Z,1310000,False,-61.0,269.0,1,left,R. Covington 27' 3PT  (6 PTS) (P. Beverley 2 AST),"[203496, 201976]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,Covington,R. Covington,,,27.63,Made,6.0,P. Beverley,201976.0,2.0,,,,,,,,,,,
135,PT02M55.00S,2023-12-02T01:06:00.1Z,1,REGULAR,2pt,Jump Shot,[],1627759,76.69185282522996,68.62745098039215,1610612738,32,29,2023-12-02T01:06:07Z,1330000,False,93.0,167.0,1,right,MISS J. Brown 19' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,,,,Mid-Range,16-24 Right Center,,Brown,J. Brown,,,19.08,Missed,,,,,,,,,,,,,,,
136,PT02M54.00S,2023-12-02T01:06:01.1Z,1,REGULAR,rebound,offensive,[],1630625,,,1610612738,32,29,2023-12-02T01:06:07Z,1340000,False,,,0,,D. Banton REBOUND (Off:1 Def:0),[1630625],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Right Center,,Banton,D. Banton,,,,,,,,,135.0,1.0,0.0,1.0,,,,,,,
137,PT02M41.00S,2023-12-02T01:06:15.2Z,1,REGULAR,turnover,lost ball,[],1629674,,,1610612738,32,29,2023-12-02T01:06:20Z,1350000,False,,,0,,N. Queta lost ball TURNOVER (1 TO),"[1629674, 203496]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Center,1.0,Queta,N. Queta,Covington,203496.0,,,,,,,,,,,,,,,,,
138,PT02M41.00S,2023-12-02T01:06:15.2Z,1,REGULAR,steal,,[],203496,,,1610612755,32,29,2023-12-02T01:06:20Z,1360000,False,,,0,,R. Covington STEAL (3 STL),[203496],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,
139,PT02M32.00S,2023-12-02T01:06:24.5Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612755,32,29,2023-12-02T01:06:28Z,1370000,False,,,0,,P. Beverley bad pass TURNOVER (2 TO),"[201976, 1627759]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,2.0,Beverley,P. Beverley,Brown,1627759.0,,,,,,,,,,,,,,,,,
140,PT02M32.00S,2023-12-02T01:06:24.5Z,1,REGULAR,steal,,[],1627759,,,1610612738,32,29,2023-12-02T01:06:26Z,1380000,False,,,0,,J. Brown STEAL (3 STL),[1627759],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,
141,PT02M25.00S,2023-12-02T01:06:30.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628401,71.17279894875165,78.18627450980392,1610612738,35,29,2023-12-02T01:10:32Z,1390000,False,141.0,218.0,1,right,D. White 26' 3PT running (3 PTS) (D. Banton 1 AST),"[1628401, 1630625]",1610612738.0,BOS,running,,,,,,Above the Break 3,24+ Right Center,,White,D. White,,,26.0,Made,3.0,D. Banton,1630625.0,1.0,,,,,,,,,,,
143,PT02M02.00S,2023-12-02T01:06:53.8Z,1,REGULAR,3pt,Jump Shot,[],201976,28.33442838370565,84.31372549019608,1610612755,35,32,2023-12-02T01:06:57Z,1410000,False,-172.0,214.0,1,left,P. Beverley 27' 3PT  (7 PTS) (T. Harris 1 AST),"[201976, 202699]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,Beverley,P. Beverley,,,27.41,Made,7.0,T. Harris,202699.0,1.0,,,,,,,,,,,
145,PT01M51.00S,2023-12-02T01:07:07.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627788,,,1610612738,35,32,2023-12-02T01:07:36Z,1430000,False,,,0,,F. Korkmaz personal FOUL (2 PF) (Hauser 2 FT),"[1627788, 1630573]",1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left Center,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,1662.0,2.0,0.0,Hauser,1630573.0
147,PT01M51.00S,2023-12-02T01:07:37.8Z,1,REGULAR,freethrow,1 of 2,[],1630573,,,1610612738,36,32,2023-12-02T01:07:37Z,1450000,False,,,0,,S. Hauser Free Throw 1 of 2 (4 PTS),[1630573],1610612738.0,BOS,,,,,,,,,,Hauser,S. Hauser,,,,Made,4.0,,,,,,,,,,,,,,
148,PT01M51.00S,2023-12-02T01:07:42.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,36,32,2023-12-02T01:07:53Z,1460000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,,,,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,
149,PT01M51.00S,2023-12-02T01:07:42.9Z,1,REGULAR,substitution,out,[],1627788,,,1610612738,36,32,2023-12-02T01:07:53Z,1470000,False,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,,,,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,
150,PT01M51.00S,2023-12-02T01:07:42.9Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,36,32,2023-12-02T01:07:53Z,1480000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,
151,PT01M51.00S,2023-12-02T01:07:42.9Z,1,REGULAR,substitution,in,[],1629001,,,1610612738,36,32,2023-12-02T01:07:53Z,1490000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,,,,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
152,PT01M51.00S,2023-12-02T01:07:56.2Z,1,REGULAR,freethrow,2 of 2,[],1630573,,,1610612738,37,32,2023-12-02T01:07:56Z,1500000,False,,,0,,S. Hauser Free Throw 2 of 2 (5 PTS),[1630573],1610612738.0,BOS,,,,,,,,,,Hauser,S. Hauser,,,,Made,5.0,,,,,,,,,,,,,,
153,PT01M43.00S,2023-12-02T01:08:08.3Z,1,REGULAR,foul,personal,[],1628401,,,1610612755,37,32,2023-12-02T01:08:45Z,1510000,False,,,0,,D. White personal FOUL (1 PF),"[1628401, 201976]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,White,D. White,,,,,,,,,,,,,,,202007.0,1.0,0.0,Beverley,201976.0
155,PT01M34.00S,2023-12-02T01:08:41.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,13.272010512483574,34.838388480392155,1610612755,37,32,2023-12-02T01:08:52Z,1530000,False,76.0,72.0,1,left,MISS P. Beverley 10' driving floating Shot,[201976],1610612755.0,PHI,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,,Beverley,P. Beverley,,,10.48,Missed,,,,,,,,,,,,,,,
156,PT01M32.00S,2023-12-02T01:08:43.4Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612755,37,32,2023-12-02T01:08:52Z,1540000,False,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Right,,Bamba,M. Bamba,,,,,,,,,155.0,1.0,0.0,1.0,,,,,,,
157,PT01M27.00S,2023-12-02T01:08:49.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628401,,,1610612755,37,32,2023-12-02T01:09:04Z,1550000,False,,,0,,D. White shooting personal FOUL (2 PF) (Covington 2 FT),"[1628401, 203496]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),8-16 Left,,White,D. White,,,,,,,,,,,,,,,1627963.0,2.0,0.0,Covington,203496.0
159,PT01M27.00S,2023-12-02T01:09:23.1Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",203606,,,1610612755,37,32,2023-12-02T01:12:27Z,1570000,False,,,0,,TEAM foul technical,[203606],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,202007.0,,,,
160,PT01M27.00S,2023-12-02T01:09:39.5Z,1,REGULAR,freethrow,1 of 1,[],1628401,,,1610612755,38,32,2023-12-02T01:09:39Z,1580000,False,,,0,,D. White technical Free Throw 1 of 1 (4 PTS),[1628401],1610612738.0,BOS,technical,,,,,,,,,White,D. White,,,,Made,4.0,,,,,,,,,,,,,,
161,PT01M27.00S,2023-12-02T01:10:00.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203496,,,1610612755,38,33,2023-12-02T01:10:00Z,1590000,False,,,0,,R. Covington Free Throw 1 of 2 (7 PTS),[203496],1610612755.0,PHI,,,,,,,,,,Covington,R. Covington,,,,Made,7.0,,,,,,,,,,,,,,
162,PT01M27.00S,2023-12-02T01:10:14.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203496,,,1610612755,38,34,2023-12-02T01:10:14Z,1600000,False,,,0,,R. Covington Free Throw 2 of 2 (8 PTS),[203496],1610612755.0,PHI,,,,,,,,,,Covington,R. Covington,,,,Made,8.0,,,,,,,,,,,,,,
164,PT01M19.00S,2023-12-02T01:10:46.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,81.8166885676741,47.794117647058826,1610612738,38,34,2023-12-02T01:10:53Z,1620000,False,-11.0,118.0,1,right,MISS D. White 11' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,White,D. White,,,11.89,Missed,,,,,,,,,,,,,,,
165,PT01M17.00S,2023-12-02T01:10:48.7Z,1,REGULAR,rebound,defensive,[],203496,,,1610612755,38,34,2023-12-02T01:10:53Z,1630000,False,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,Covington,R. Covington,,,,,,,,,164.0,1.0,1.0,0.0,,,,,,,
166,PT01M08.00S,2023-12-02T01:10:57.2Z,1,REGULAR,3pt,Jump Shot,[],203496,34.37910643889619,66.42156862745098,1610612755,38,34,2023-12-02T01:11:03Z,1640000,False,-82.0,271.0,1,left,MISS R. Covington 28' 3PT,[203496],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,Covington,R. Covington,,,28.29,Missed,,,,,,,,,,,,,,,
167,PT01M07.00S,2023-12-02T01:10:58.2Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,38,34,2023-12-02T01:11:03Z,1650000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,Hauser,S. Hauser,,,,,,,,,166.0,1.0,1.0,0.0,,,,,,,
168,PT00M52.30S,2023-12-02T01:11:14.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,76.95466491458606,90.93137254901961,1610612738,41,34,2023-12-02T01:11:19Z,1660000,False,205.0,164.0,1,right,D. White 26' 3PT  (7 PTS) (P. Pritchard 1 AST),"[1628401, 1630202]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,White,D. White,,,26.24,Made,7.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,
170,PT00M39.30S,2023-12-02T01:11:33.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",201976,7.6215505913272015,41.96537990196079,1610612755,41,36,2023-12-02T01:12:05Z,1680000,False,40.0,19.0,1,left,P. Beverley driving Layup (9 PTS),[201976],1610612755.0,PHI,driving,,,,,,In The Paint (Non-RA),0-8 Center,,Beverley,P. Beverley,,,4.45,Made,9.0,,,,,,,,,,,,,,
176,PT00M39.30S,2023-12-02T01:11:39.1Z,1,REGULAR,violation,defensive goaltending,[],1629674,,,1610612755,41,36,2023-12-02T01:12:05Z,1685000,False,,,0,,N. Queta defensive goaltending VIOLATION,[1629674],1610612738.0,BOS,,,,,,,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,
