actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
87,PT05M12.00S,2023-12-09T00:53:37.9Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,23,21,2023-12-09T00:53:37Z,860000,False,,,0,,J. Randle Free Throw 2 of 2 (6 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Made,,6.0,,,,,,,,,,,,,,,,
88,PT04M59.00S,2023-12-09T00:53:53.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,69.85873850197109,71.56862745098039,1610612738,23,21,2023-12-09T00:53:59Z,870000,False,108.0,231.0,1,right,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,25.47,Missed,,,,,,,,,,,,,,,,,,
89,PT04M54.00S,2023-12-09T00:53:58.2Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612752,23,21,2023-12-09T00:54:04Z,880000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,88.0,,1.0,1.0,0.0,,,,,,,,,,,,,
90,PT04M48.00S,2023-12-09T00:54:08.0Z,1,REGULAR,foul,personal,[],1627759,,,1610612752,23,21,2023-12-09T00:54:14Z,890000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 203944]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1151.0,1.0,0.0,,,,Randle,203944.0,,
92,PT04M48.00S,2023-12-09T00:54:16.2Z,1,REGULAR,substitution,out,[],1628978,,,1610612752,23,21,2023-12-09T00:54:20Z,910000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M48.00S,2023-12-09T00:54:16.2Z,1,REGULAR,substitution,out,[],1629011,,,1610612752,23,21,2023-12-09T00:54:20Z,920000,False,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M48.00S,2023-12-09T00:54:16.2Z,1,REGULAR,substitution,in,[],1630193,,,1610612752,23,21,2023-12-09T00:54:20Z,930000,False,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M48.00S,2023-12-09T00:54:16.2Z,1,REGULAR,substitution,in,[],1628392,,,1610612752,23,21,2023-12-09T00:54:20Z,940000,False,,,0,,SUB in: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M43.00S,2023-12-09T00:54:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,5.124835742444152,46.12438725490196,1610612752,23,21,2023-12-09T00:54:57Z,950000,False,19.0,-4.0,1,left,MISS J. Hart driving reverse Layup,[1628404],1610612752.0,NYK,driving reverse,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,,,,
97,PT04M42.00S,2023-12-09T00:54:38.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,23,21,2023-12-09T01:07:02Z,960000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,96.0,,1.0,1.0,0.0,,,,,,,,,,,,,
155,PT04M41.00S,2023-12-09T00:54:39.7Z,1,REGULAR,turnover,lost ball,[],201143,,,1610612738,23,21,2023-12-09T01:06:55Z,965000,False,,,0,,A. Horford lost ball TURNOVER (1 TO),"[201143, 203944]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,Randle,203944.0,,,,
156,PT04M41.00S,2023-12-09T00:54:39.7Z,1,REGULAR,steal,,[],203944,,,1610612752,23,21,2023-12-09T01:06:55Z,967500,False,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
98,PT04M39.00S,2023-12-09T00:54:42.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630193,31.09395532194481,16.911764705882355,1610612752,23,21,2023-12-09T01:06:55Z,970000,False,165.0,240.0,1,left,MISS I. Quickley 29' 3PT,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,29.13,Missed,,,,,,,,,,,,,,,,,,
99,PT04M37.00S,2023-12-09T00:54:44.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,23,21,2023-12-09T00:54:53Z,980000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,98.0,,,,,,,,,,,,,,,,,
100,PT04M37.00S,2023-12-09T00:54:53.4Z,1,REGULAR,foul,personal,[],1628404,,,1610612738,23,21,2023-12-09T00:55:18Z,990000,False,,,0,,J. Hart loose ball personal FOUL (1 PF),"[1628404, 1627759]",1610612752.0,NYK,loose ball,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200834.0,1.0,0.0,,,,Brown,1627759.0,,
102,PT04M21.00S,2023-12-09T00:55:17.6Z,1,REGULAR,3pt,Jump Shot,[],1630202,92.46057818659659,94.36274509803921,1610612738,23,21,2023-12-09T00:55:24Z,1010000,False,222.0,18.0,1,right,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Right Corner 3,24+ Right,22.26,Missed,,,,,,,,,,,,,,,,,,
103,PT04M19.00S,2023-12-09T00:55:19.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,23,21,2023-12-09T00:55:37Z,1020000,False,,,0,,J. Randle REBOUND (Off:1 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,,,102.0,,2.0,1.0,1.0,,,,,,,,,,,,,
104,PT04M12.00S,2023-12-09T00:55:26.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203944,20.18725361366623,50.73529411764706,1610612752,23,21,2023-12-09T00:55:33Z,1030000,False,-4.0,137.0,1,left,MISS J. Randle 13' running pullup Shot,[203944],1610612752.0,NYK,running pullup,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,13.73,Missed,,,,,,,,,,,,,,,,,,
105,PT04M10.00S,2023-12-09T00:55:28.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,23,21,2023-12-09T00:55:33Z,1040000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,104.0,,2.0,2.0,0.0,,,,,,,,,,,,,
106,PT04M02.00S,2023-12-09T00:55:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,92.59198423127464,50.73529411764706,1610612738,25,21,2023-12-09T00:55:43Z,1050000,False,4.0,17.0,1,right,D. White driving Layup (10 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,1.75,Made,,10.0,,,,,,,,,,,,,,,,
107,PT03M41.00S,2023-12-09T00:55:58.5Z,1,REGULAR,2pt,Jump Shot,[],203944,8.623521681997373,32.84313725490196,1610612752,25,21,2023-12-09T00:59:43Z,1060000,False,86.0,29.0,1,left,MISS J. Randle 9' fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,9.04,Missed,,,,,,,,,,,,,,,,,,
108,PT03M39.00S,2023-12-09T00:56:00.5Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,25,21,2023-12-09T00:56:06Z,1070000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Mid-Range,8-16 Right,,,107.0,,1.0,1.0,0.0,,,,,,,,,,,,,
109,PT03M33.00S,2023-12-09T00:56:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,92.46057818659659,56.61764705882353,1610612738,25,21,2023-12-09T00:56:11Z,1080000,False,33.0,18.0,1,right,MISS J. Brown running Layup,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.79,Missed,,,,,,,,,,,,,,,,,,
110,PT03M32.00S,2023-12-09T00:56:07.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,25,21,2023-12-09T00:56:11Z,1090000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,109.0,,1.0,1.0,0.0,,,,,,,,,,,,,
111,PT03M20.00S,2023-12-09T00:56:19.5Z,1,REGULAR,3pt,Jump Shot,[],1630193,22.552562417871222,93.62745098039215,1610612752,25,24,2023-12-09T00:56:26Z,1100000,False,-218.0,159.0,1,left,I. Quickley 27' 3PT  (3 PTS) (J. Randle 1 AST),"[1630193, 203944]",1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,27.02,Made,,3.0,,,,J. Randle,203944.0,1.0,,,,,,,,,,
113,PT03M18.00S,2023-12-09T00:56:27.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,25,24,2023-12-09T00:56:27Z,1120000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M18.00S,2023-12-09T00:58:45.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,25,24,2023-12-09T00:59:11Z,1130000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M18.00S,2023-12-09T00:58:45.2Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,25,24,2023-12-09T00:59:11Z,1140000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M18.00S,2023-12-09T00:58:45.2Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,25,24,2023-12-09T00:59:11Z,1150000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M18.00S,2023-12-09T00:58:45.2Z,1,REGULAR,substitution,in,[],201950,,,1610612738,25,24,2023-12-09T00:59:11Z,1160000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M58.00S,2023-12-09T00:59:34.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,80.89684625492772,4.411764705882353,1610612738,28,24,2023-12-09T00:59:38Z,1170000,False,-228.0,127.0,1,right,P. Pritchard 26' 3PT  (3 PTS) (A. Horford 1 AST),"[1630202, 201143]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,26.09,Made,,3.0,,,,A. Horford,201143.0,1.0,,,,,,,,,,
120,PT02M38.00S,2023-12-09T00:59:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,6.438896189224705,57.866115196078425,1610612752,28,26,2023-12-09T00:59:59Z,1190000,False,-39.0,8.0,1,left,J. Brunson driving Layup (4 PTS),[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,4.01,Made,,4.0,,,,,,,,,,,,,,,,
121,PT02M30.00S,2023-12-09T01:00:03.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,74.06373193166885,83.57843137254902,1610612738,28,26,2023-12-09T01:00:11Z,1200000,False,168.0,191.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.45,Missed,,,,,,,,,,,,,,,,,,
122,PT02M28.00S,2023-12-09T01:00:05.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,28,26,2023-12-09T01:00:11Z,1210000,False,,,0,,J. Randle REBOUND (Off:1 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,121.0,,3.0,2.0,1.0,,,,,,,,,,,,,
123,PT02M14.00S,2023-12-09T01:00:21.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201143,,,1610612752,28,26,2023-12-09T01:00:33Z,1220000,False,,,0,,A. Horford personal FOUL (1 PF) (Randle 2 FT),"[201143, 203944]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,200834.0,1.0,0.0,,,,Randle,203944.0,,
125,PT02M14.00S,2023-12-09T01:00:51.3Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,28,26,2023-12-09T01:00:51Z,1240000,False,,,0,,MISS J. Randle Free Throw 1 of 2,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
126,PT02M14.00S,2023-12-09T01:00:51.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,28,26,2023-12-09T01:00:51Z,1250000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,
127,PT02M14.00S,2023-12-09T01:00:52.5Z,1,REGULAR,substitution,out,[],1628973,,,1610612752,28,26,2023-12-09T01:00:55Z,1260000,False,,,0,,SUB out: J. Brunson,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M14.00S,2023-12-09T01:00:52.5Z,1,REGULAR,substitution,in,[],1629656,,,1610612752,28,26,2023-12-09T01:00:55Z,1270000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M14.00S,2023-12-09T01:01:14.8Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,28,27,2023-12-09T01:01:14Z,1280000,False,,,0,,J. Randle Free Throw 2 of 2 (7 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
130,PT02M03.00S,2023-12-09T01:01:28.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201950,88.91261498028909,44.6078431372549,1610612738,30,27,2023-12-09T01:01:33Z,1290000,False,-27.0,52.0,1,right,J. Holiday turnaround Hook (4 PTS),[201950],1610612738.0,BOS,turnaround,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,5.83,Made,,4.0,,,,,,,,,,,,,,,,
131,PT01M52.00S,2023-12-09T01:01:39.9Z,1,REGULAR,3pt,Jump Shot,[],1629656,11.383048620236531,97.05882352941177,1610612752,30,30,2023-12-09T01:01:43Z,1300000,False,-235.0,55.0,1,left,Q. Grimes 24' 3PT  (3 PTS) (J. Randle 2 AST),"[1629656, 203944]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,24.15,Made,,3.0,,,,J. Randle,203944.0,2.0,,,,,,,,,,
133,PT01M40.00S,2023-12-09T01:01:51.2Z,1,REGULAR,3pt,Jump Shot,[],1630573,73.53810775295663,82.35294117647058,1610612738,30,30,2023-12-09T01:06:59Z,1320000,False,162.0,196.0,1,right,MISS S. Hauser 25' step back 3PT,[1630573],1610612738.0,BOS,step back,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,25.43,Missed,,,,,,,,,,,,,,,,,,
134,PT01M38.00S,2023-12-09T01:01:53.2Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,30,30,2023-12-09T01:01:58Z,1330000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:2),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,133.0,,2.0,2.0,0.0,,,,,,,,,,,,,
135,PT01M24.00S,2023-12-09T01:02:06.5Z,1,REGULAR,3pt,Jump Shot,[],1629656,9.674770039421814,97.05882352941177,1610612752,30,30,2023-12-09T01:02:10Z,1340000,False,-235.0,38.0,1,left,MISS Q. Grimes 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,23.84,Missed,,,,,,,,,,,,,,,,,,
136,PT01M23.00S,2023-12-09T01:02:07.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,30,30,2023-12-09T01:02:10Z,1350000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,135.0,,2.0,2.0,0.0,,,,,,,,,,,,,
137,PT01M11.00S,2023-12-09T01:02:25.9Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612738,30,30,2023-12-09T01:02:43Z,1360000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Hauser 2 FT),"[1628392, 1630573]",1610612752.0,NYK,shooting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200834.0,1.0,0.0,,,,Hauser,1630573.0,,
139,PT01M11.00S,2023-12-09T01:02:53.8Z,1,REGULAR,freethrow,1 of 2,[],1630573,,,1610612738,31,30,2023-12-09T01:03:10Z,1380000,False,,,0,,S. Hauser Free Throw 1 of 2 (1 PTS),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
140,PT01M11.00S,2023-12-09T01:02:53.8Z,1,REGULAR,freethrow,2 of 2,[],1630573,,,1610612738,31,30,2023-12-09T01:03:10Z,1390000,False,,,0,,MISS S. Hauser Free Throw 2 of 2,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
141,PT01M11.00S,2023-12-09T01:02:53.8Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,31,30,2023-12-09T01:03:10Z,1400000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:3),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,140.0,,3.0,3.0,0.0,,,,,,,,,,,,,
142,PT00M47.20S,2023-12-09T01:03:30.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,16.376478318002626,50.0,1610612752,31,32,2023-12-09T01:03:34Z,1410000,False,0.0,101.0,1,left,I. Quickley 10' driving floating Jump Shot (5 PTS) (J. Hart 1 AST),"[1630193, 1628404]",1610612752.0,NYK,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,10.14,Made,,5.0,,,,J. Hart,1628404.0,1.0,,,,,,,,,,
144,PT00M33.60S,2023-12-09T01:03:46.0Z,1,REGULAR,3pt,Jump Shot,[],201143,91.40932982917214,2.941176470588235,1610612738,31,32,2023-12-09T01:03:57Z,1430000,False,-235.0,28.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,23.7,Missed,,,,,,,,,,,,,,,,,,
145,PT00M31.60S,2023-12-09T01:03:48.0Z,1,REGULAR,rebound,offensive,[],1630573,,,1610612738,31,32,2023-12-09T01:03:57Z,1440000,False,,,0,,S. Hauser REBOUND (Off:1 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,,,144.0,,2.0,1.0,1.0,,,,,,,,,,,,,
146,PT00M17.60S,2023-12-09T01:04:02.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,82.60512483574244,94.36274509803921,1610612738,31,32,2023-12-09T01:04:20Z,1450000,False,222.0,111.0,1,right,MISS P. Pritchard 24' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,24.8,Missed,,,,,,,,,,,,,,,,,,
147,PT00M16.50S,2023-12-09T01:04:03.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,31,32,2023-12-09T01:04:20Z,1460000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,146.0,,,,,,,,,,,,,,,,,
148,PT00M16.50S,2023-12-09T01:04:11.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,31,32,2023-12-09T01:04:40Z,1470000,False,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
149,PT00M05.90S,2023-12-09T01:04:48.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630193,28.33442838370565,88.48039215686273,1610612752,31,32,2023-12-09T01:09:25Z,1480000,False,-192.0,214.0,1,left,MISS I. Quickley 28' pullup 3PT,[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,28.76,Missed,,,,,,,,,,,,,,,,,,
150,PT00M04.70S,2023-12-09T01:04:49.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,31,32,2023-12-09T01:05:48Z,1490000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,149.0,,3.0,3.0,0.0,,,,,,,,,,,,,
151,PT00M00.00S,2023-12-09T01:04:57.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,93.64323258869908,53.67647058823529,1610612738,33,32,2023-12-09T01:10:08Z,1500000,False,18.0,7.0,1,right,P. Pritchard driving finger roll Layup (5 PTS) (J. Holiday 2 AST),"[1630202, 201950]",1610612738.0,BOS,driving finger roll,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,1.98,Made,,5.0,,,,J. Holiday,201950.0,2.0,,,,,,,,,,
154,PT00M00.00S,2023-12-09T01:05:09.8Z,1,REGULAR,period,end,[],0,,,1610612752,33,32,2023-12-09T01:05:09Z,1530000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-12-09T01:07:02.3Z,2,REGULAR,substitution,out,['startperiod'],201143,,,1610612752,33,32,2023-12-09T01:07:33Z,1540000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-12-09T01:07:02.3Z,2,REGULAR,substitution,out,['startperiod'],203944,,,1610612752,33,32,2023-12-09T01:07:33Z,1550000,False,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-12-09T01:07:02.3Z,2,REGULAR,substitution,in,['startperiod'],1628436,,,1610612752,33,32,2023-12-09T01:07:33Z,1560000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-12-09T01:07:02.3Z,2,REGULAR,substitution,in,['startperiod'],1629628,,,1610612752,33,32,2023-12-09T01:07:33Z,1570000,False,,,0,,SUB in: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-12-09T01:07:32.7Z,2,REGULAR,period,start,[],0,,,1610612752,33,32,2023-12-09T01:07:33Z,1580000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT11M45.00S,2023-12-09T01:07:47.7Z,2,REGULAR,3pt,Jump Shot,[],1629656,20.844283837056505,94.6078431372549,1610612752,33,32,2023-12-09T01:07:54Z,1590000,False,-223.0,143.0,1,left,MISS Q. Grimes 26' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,26.51,Missed,,,,,,,,,,,,,,,,,,
163,PT11M42.00S,2023-12-09T01:07:50.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612752,33,32,2023-12-09T01:07:54Z,1600000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Left Center,,,162.0,,,,,,,,,,,,,,,,,
165,PT11M33.00S,2023-12-09T01:08:16.3Z,2,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612752,33,32,2023-12-09T01:08:21Z,1620000,False,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Quickley 2 FT),"[1630202, 1630193]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1626301.0,1.0,0.0,,,,Quickley,1630193.0,,
167,PT11M33.00S,2023-12-09T01:08:41.9Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630193,,,1610612752,33,33,2023-12-09T01:08:41Z,1640000,False,,,0,,I. Quickley Free Throw 1 of 2 (6 PTS),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,Made,,6.0,,,,,,,,,,,,,,,,
168,PT11M33.00S,2023-12-09T01:08:58.0Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630193,,,1610612752,33,34,2023-12-09T01:08:58Z,1650000,False,,,0,,I. Quickley Free Throw 2 of 2 (7 PTS),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
169,PT11M19.00S,2023-12-09T01:09:14.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201950,91.93495400788436,44.6078431372549,1610612738,35,34,2023-12-09T01:09:17Z,1660000,False,-27.0,23.0,1,right,J. Holiday driving Layup (6 PTS),[201950],1610612738.0,BOS,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,3.57,Made,,6.0,,,,,,,,,,,,,,,,
170,PT11M00.00S,2023-12-09T01:09:36.8Z,2,REGULAR,turnover,out-of-bounds,[],1629656,,,1610612752,35,34,2023-12-09T01:09:45Z,1670000,False,,,0,,Q. Grimes bad pass out-of-bounds TURNOVER (1 TO),[1629656],1610612752.0,NYK,bad pass,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,1.0,,,,,,
