actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
87,PT04M33.00S,2025-03-15T22:24:09.8Z,1,REGULAR,substitution,out,[],1629661,,,1610612738,13,17,2025-03-15T22:24:27Z,870000,False,,,0,,SUB out: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M33.00S,2025-03-15T22:24:09.8Z,1,REGULAR,substitution,out,[],1630553,,,1610612738,13,17,2025-03-15T22:24:27Z,880000,False,,,0,,SUB out: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M33.00S,2025-03-15T22:24:09.8Z,1,REGULAR,substitution,in,[],1631213,,,1610612738,13,17,2025-03-15T22:24:27Z,890000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M33.00S,2025-03-15T22:24:09.8Z,1,REGULAR,substitution,in,[],1641736,,,1610612738,13,17,2025-03-15T22:24:27Z,900000,False,,,0,,SUB in: R. Beekman,[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M33.00S,2025-03-15T22:24:09.8Z,1,REGULAR,substitution,in,[],1641721,,,1610612738,13,17,2025-03-15T22:24:27Z,910000,False,,,0,,SUB in: M. Lewis,[1641721],1610612751.0,BKN,,,,Lewis,M. Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M33.00S,2025-03-15T22:24:09.8Z,1,REGULAR,substitution,out,[],1630549,,,1610612738,13,17,2025-03-15T22:24:43Z,920000,False,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M33.00S,2025-03-15T22:24:09.8Z,1,REGULAR,substitution,in,[],1630533,,,1610612738,13,17,2025-03-15T22:24:43Z,930000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M33.00S,2025-03-15T22:25:26.9Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,13,18,2025-03-15T22:25:26Z,940000,False,,,0,,J. Tatum Free Throw 1 of 1 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
95,PT04M18.00S,2025-03-15T22:25:44.2Z,1,REGULAR,3pt,Jump Shot,[],1641721,74.32654402102497,83.33333333333334,1610612751,16,18,2025-03-15T22:25:49Z,950000,False,167.0,189.0,1,right,M. Lewis 25' 3PT  (3 PTS) (T. Martin 1 AST),"[1641721, 1631213]",1610612751.0,BKN,,,,Lewis,M. Lewis,,,,,Above the Break 3,24+ Right Center,25.19,Made,,,,,3.0,,T. Martin,1631213.0,1.0,,,,,,,,,
97,PT04M01.00S,2025-03-15T22:26:00.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.882391590013142,30.392156862745097,1610612738,16,18,2025-03-15T22:26:06Z,970000,False,98.0,247.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,26.59,Missed,,,,,,,,,,,,,,,,,,
98,PT03M57.00S,2025-03-15T22:26:04.2Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,16,18,2025-03-15T22:26:52Z,980000,False,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Right Center,,,97.0,1.0,0.0,1.0,,,,,,,,,,,,,,
99,PT03M57.00S,2025-03-15T22:26:08.6Z,1,REGULAR,foul,personal,[],1641721,,,1610612738,16,18,2025-03-15T22:26:19Z,990000,False,,,0,,M. Lewis personal FOUL (1 PF),"[1641721, 1631248]",1610612751.0,BKN,,,,Lewis,M. Lewis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202026.0,,,,,,,1.0,0.0,Scheierman,1631248.0,,
101,PT03M52.00S,2025-03-15T22:26:31.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,7.046649145860711,51.9607843137255,1610612738,16,18,2025-03-15T22:26:35Z,1010000,False,-10.0,14.0,1,left,MISS J. Tatum driving Layup - blocked,"[1628369, 1641721]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.68,Missed,,,,,,,,,,Lewis,1641721.0,,,,,,,
105,PT03M52.00S,2025-03-15T22:26:31.2Z,1,REGULAR,block,,[],1641721,,,1610612738,16,18,2025-03-15T22:26:41Z,1015000,False,,,0,,M. Lewis BLOCK (1 BLK),[1641721],1610612751.0,BKN,,,,Lewis,M. Lewis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
102,PT03M48.00S,2025-03-15T22:26:35.2Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,16,18,2025-03-15T22:26:41Z,1020000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,101.0,1.0,1.0,0.0,,,,,,,,,,,,,,
103,PT03M43.00S,2025-03-15T22:26:39.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641721,92.32917214191852,56.127450980392155,1610612751,18,18,2025-03-15T22:26:45Z,1030000,False,31.0,20.0,1,right,M. Lewis running Layup (5 PTS) (Z. Williams 1 AST),"[1641721, 1630533]",1610612751.0,BKN,running,,,Lewis,M. Lewis,,,,,Restricted Area,0-8 Center,3.63,Made,,,,,5.0,,Z. Williams,1630533.0,1.0,,,,,,,,,
106,PT03M33.00S,2025-03-15T22:26:49.5Z,1,REGULAR,3pt,Jump Shot,[],1630202,28.33442838370565,78.67647058823529,1610612738,18,21,2025-03-15T22:26:54Z,1040000,False,-143.0,214.0,1,left,P. Pritchard 25' 3PT  (3 PTS) (J. Tatum 3 AST),"[1630202, 1628369]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,25.74,Made,,,,,3.0,,J. Tatum,1628369.0,3.0,,,,,,,,,
108,PT03M07.00S,2025-03-15T22:27:14.9Z,1,REGULAR,3pt,Jump Shot,[],1641721,94.95729303547962,4.6568627450980395,1610612751,21,21,2025-03-15T22:27:19Z,1060000,False,-227.0,-5.0,1,right,M. Lewis 3PT  (8 PTS) (R. Beekman 1 AST),"[1641721, 1641736]",1610612751.0,BKN,,,,Lewis,M. Lewis,,,,,Left Corner 3,24+ Left,22.68,Made,,,,,8.0,,R. Beekman,1641736.0,1.0,,,,,,,,,
110,PT02M56.00S,2025-03-15T22:27:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,7.046649145860711,53.67647058823529,1610612738,21,23,2025-03-15T22:27:30Z,1080000,False,-18.0,14.0,1,left,P. Pritchard driving Layup (5 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,2.29,Made,,,,,5.0,,,,,,,,,,,,,
111,PT02M34.00S,2025-03-15T22:27:48.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641736,84.31340341655716,36.27450980392157,1610612751,21,23,2025-03-15T22:28:02Z,1090000,False,-69.0,95.0,1,right,MISS R. Beekman 11' pullup Shot,[1641736],1610612751.0,BKN,pullup,,,Beekman,R. Beekman,,,,,In The Paint (Non-RA),8-16 Left,11.72,Missed,,,,,,,,,,,,,,,,,,
112,PT02M31.00S,2025-03-15T22:27:51.3Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,21,23,2025-03-15T22:28:02Z,1100000,False,,,0,,L. Kornet REBOUND (Off:1 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Left,,,111.0,2.0,1.0,1.0,,,,,,,,,,,,,,
113,PT02M19.00S,2025-03-15T22:28:03.1Z,1,REGULAR,3pt,Jump Shot,[],1631248,5.601182654402102,4.6568627450980395,1610612738,21,26,2025-03-15T22:28:09Z,1110000,False,227.0,0.0,1,left,B. Scheierman 3PT  (3 PTS) (S. Hauser 1 AST),"[1631248, 1630573]",1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Right Corner 3,24+ Right,22.67,Made,,,,,3.0,,S. Hauser,1630573.0,1.0,,,,,,,,,
115,PT01M57.00S,2025-03-15T22:28:24.9Z,1,REGULAR,3pt,Jump Shot,[],1630592,69.59592641261499,71.32352941176471,1610612751,24,26,2025-03-15T22:28:30Z,1130000,False,107.0,233.0,1,right,J. Wilson 25' 3PT  (3 PTS) (T. Martin 2 AST),"[1630592, 1631213]",1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Right Center,25.65,Made,,,,,3.0,,T. Martin,1631213.0,2.0,,,,,,,,,
117,PT01M43.00S,2025-03-15T22:28:39.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.882391590013142,63.23529411764706,1610612738,24,26,2025-03-15T22:28:47Z,1150000,False,-66.0,247.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.59,Missed,,,,,,,,,,,,,,,,,,
118,PT01M38.00S,2025-03-15T22:28:44.2Z,1,REGULAR,rebound,defensive,[],1641736,,,1610612751,24,26,2025-03-15T22:28:44Z,1160000,False,,,0,,R. Beekman REBOUND (Off:0 Def:1),[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,Above the Break 3,24+ Center,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,,
119,PT01M33.00S,2025-03-15T22:28:48.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630592,69.72733245729303,25.0,1610612751,27,26,2025-03-15T22:29:14Z,1170000,False,-125.0,232.0,1,right,J. Wilson 26' 3PT running (6 PTS) (R. Beekman 2 AST),"[1630592, 1641736]",1610612751.0,BKN,running,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,26.36,Made,,,,,6.0,,R. Beekman,1641736.0,2.0,,,,,,,,,
121,PT01M33.00S,2025-03-15T22:28:54.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,27,26,2025-03-15T22:28:54Z,1190000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M33.00S,2025-03-15T22:30:16.8Z,1,REGULAR,substitution,out,[],1641736,,,1610612738,27,26,2025-03-15T22:31:55Z,1200000,False,,,0,,SUB out: R. Beekman,[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M33.00S,2025-03-15T22:30:16.8Z,1,REGULAR,substitution,out,[],1631248,,,1610612738,27,26,2025-03-15T22:31:55Z,1210000,False,,,0,,SUB out: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M33.00S,2025-03-15T22:30:16.8Z,1,REGULAR,substitution,in,[],1626156,,,1610612738,27,26,2025-03-15T22:31:55Z,1220000,False,,,0,,SUB in: D. Russell,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M33.00S,2025-03-15T22:30:16.8Z,1,REGULAR,substitution,in,[],1629674,,,1610612738,27,26,2025-03-15T22:31:55Z,1230000,False,,,0,,SUB in: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M11.00S,2025-03-15T22:32:22.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,15.193823915900131,50.245098039215684,1610612738,27,28,2025-03-15T22:32:26Z,1240000,False,-1.0,90.0,1,left,J. Tatum 9' pullup Jump Shot (9 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,9.03,Made,,,,,9.0,,,,,,,,,,,,,
128,PT00M44.60S,2025-03-15T22:32:49.5Z,1,REGULAR,3pt,Jump Shot,[],1626156,69.33311432325887,30.88235294117647,1610612751,27,28,2025-03-15T22:32:54Z,1250000,False,-96.0,236.0,1,right,MISS D. Russell 25' step back 3PT,[1626156],1610612751.0,BKN,step back,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,25.44,Missed,,,,,,,,,,,,,,,,,,
129,PT00M41.30S,2025-03-15T22:32:52.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,27,28,2025-03-15T22:32:54Z,1260000,False,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,128.0,5.0,5.0,0.0,,,,,,,,,,,,,,
130,PT00M20.50S,2025-03-15T22:33:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.440867279894875,45.83333333333333,1610612738,27,30,2025-03-15T22:33:18Z,1270000,False,21.0,17.0,1,left,J. Tatum driving finger roll Layup (11 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.71,Made,,,,,11.0,,,,,,,,,,,,,
131,PT00M05.00S,2025-03-15T22:33:39.3Z,1,REGULAR,foul,personal,[],1630202,,,1610612751,27,30,2025-03-15T22:33:47Z,1280000,False,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1626156]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,,,,,1630886.0,,,,,,,1.0,0.0,Russell,1626156.0,,
133,PT00M05.00S,2025-03-15T22:33:44.4Z,1,REGULAR,substitution,out,[],1628436,,,1610612751,27,30,2025-03-15T22:33:48Z,1300000,False,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M05.00S,2025-03-15T22:33:44.4Z,1,REGULAR,substitution,in,[],201950,,,1610612751,27,30,2025-03-15T22:33:48Z,1310000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M01.80S,2025-03-15T22:34:17.1Z,1,REGULAR,3pt,Jump Shot,[],1630592,74.32654402102497,85.7843137254902,1610612751,27,30,2025-03-15T22:34:24Z,1330000,False,179.0,189.0,1,right,MISS J. Wilson 26' pullup 3PT,[1630592],1610612751.0,BKN,pullup,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Right Center,26.01,Missed,,,,,,,,,,,,,,,,,,
137,PT00M01.80S,2025-03-15T22:34:17.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,27,30,2025-03-15T22:36:00Z,1340000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,136.0,,,,,,,,,,,,,,,,,
138,PT00M00.00S,2025-03-15T22:34:25.0Z,1,REGULAR,period,end,[],0,,,1610612751,27,30,2025-03-15T22:34:25Z,1350000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2025-03-15T22:36:27.7Z,2,REGULAR,substitution,out,['startperiod'],1630533,,,1610612751,27,30,2025-03-15T22:36:42Z,1360000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2025-03-15T22:36:27.7Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612751,27,30,2025-03-15T22:36:42Z,1370000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2025-03-15T22:36:27.7Z,2,REGULAR,substitution,out,['startperiod'],1630573,,,1610612751,27,30,2025-03-15T22:36:42Z,1380000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2025-03-15T22:36:27.7Z,2,REGULAR,substitution,in,['startperiod'],1630549,,,1610612751,27,30,2025-03-15T22:36:42Z,1390000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2025-03-15T22:36:27.7Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612751,27,30,2025-03-15T22:36:42Z,1400000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2025-03-15T22:36:27.7Z,2,REGULAR,substitution,in,['startperiod'],204001,,,1610612751,27,30,2025-03-15T22:36:42Z,1410000,False,,,0,,SUB in: K. Porziņģis,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2025-03-15T22:37:00.6Z,2,REGULAR,period,start,[],0,,,1610612751,27,30,2025-03-15T22:37:00Z,1420000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT11M45.00S,2025-03-15T22:37:15.3Z,2,REGULAR,3pt,Jump Shot,[],1631213,85.89027595269383,95.34313725490196,1610612751,27,30,2025-03-15T22:37:33Z,1430000,False,227.0,80.0,1,right,MISS T. Martin 24' step back 3PT,[1631213],1610612751.0,BKN,step back,,,Martin,T. Martin,,,,,Right Corner 3,24+ Right,24.04,Missed,,,,,,,,,,,,,,,,,,
147,PT11M40.00S,2025-03-15T22:37:20.3Z,2,REGULAR,rebound,offensive,[],1630549,,,1610612751,27,30,2025-03-15T22:37:23Z,1440000,False,,,0,,D. Sharpe REBOUND (Off:2 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Right Corner 3,24+ Right,,,146.0,4.0,2.0,2.0,,,,,,,,,,,,,,
148,PT11M38.00S,2025-03-15T22:37:21.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,66.04796320630749,46.81372549019608,1610612751,27,30,2025-03-15T22:37:26Z,1450000,False,-16.0,267.0,1,right,MISS D. Russell 26' 3PT,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,26.71,Missed,,,,,,,,,,,,,,,,,,
149,PT11M34.00S,2025-03-15T22:37:25.9Z,2,REGULAR,rebound,offensive,[],1630549,,,1610612751,27,30,2025-03-15T22:37:26Z,1460000,False,,,0,,D. Sharpe REBOUND (Off:3 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Center,,,148.0,5.0,2.0,3.0,,,,,,,,,,,,,,
150,PT11M29.00S,2025-03-15T22:37:30.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641721,94.03745072273325,62.5,1610612751,27,30,2025-03-15T22:37:34Z,1470000,False,62.0,4.0,1,right,MISS M. Lewis 6' driving Layup - blocked,"[1641721, 1627759]",1610612751.0,BKN,driving,,,Lewis,M. Lewis,,,,,In The Paint (Non-RA),0-8 Center,6.26,Missed,,,,,,,,,,Brown,1627759.0,,,,,,,
151,PT11M29.00S,2025-03-15T22:37:30.5Z,2,REGULAR,block,,[],1627759,,,1610612751,27,30,2025-03-15T22:37:33Z,1480000,False,,,0,,J. Brown BLOCK (2 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
152,PT11M27.00S,2025-03-15T22:37:32.5Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,27,30,2025-03-15T22:37:34Z,1490000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,150.0,2.0,2.0,0.0,,,,,,,,,,,,,,
153,PT11M17.00S,2025-03-15T22:37:43.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,6.258212877792378,50.49019607843137,1610612738,27,32,2025-03-15T22:37:47Z,1500000,False,-2.0,6.0,1,left,N. Queta cutting DUNK (2 PTS) (J. Brown 2 AST),"[1629674, 1627759]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.68,Made,,,,,2.0,,J. Brown,1627759.0,2.0,,,,,,,,,
155,PT11M17.00S,2025-03-15T22:37:48.5Z,2,REGULAR,foul,personal,['1freethrow'],1641721,,,1610612738,27,32,2025-03-15T22:37:57Z,1520000,False,,,0,,M. Lewis shooting personal FOUL (2 PF) (Queta 1 FT),"[1641721, 1629674]",1610612751.0,BKN,shooting,,,Lewis,M. Lewis,,,,,Restricted Area,0-8 Center,,,,,,,,202026.0,,,,,,,2.0,0.0,Queta,1629674.0,,
157,PT11M17.00S,2025-03-15T22:38:16.0Z,2,REGULAR,freethrow,1 of 1,[],1629674,,,1610612738,27,33,2025-03-15T22:38:16Z,1540000,False,,,0,,N. Queta Free Throw 1 of 1 (3 PTS),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
158,PT11M05.00S,2025-03-15T22:38:30.3Z,2,REGULAR,turnover,bad pass,[],1626156,,,1610612751,27,33,2025-03-15T22:38:34Z,1550000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1627759]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,,,,,Brown,1627759.0
159,PT11M05.00S,2025-03-15T22:38:30.3Z,2,REGULAR,steal,,[],1627759,,,1610612738,27,33,2025-03-15T22:38:33Z,1560000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
160,PT10M56.00S,2025-03-15T22:38:39.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],204001,29.122864651773984,24.509803921568626,1610612738,27,33,2025-03-15T22:38:43Z,1570000,False,127.0,221.0,1,left,MISS K. Porziņģis 25' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,25.54,Missed,,,,,,,,,,,,,,,,,,
161,PT10M53.00S,2025-03-15T22:38:42.0Z,2,REGULAR,rebound,defensive,[],1641721,,,1610612751,27,33,2025-03-15T22:38:43Z,1580000,False,,,0,,M. Lewis REBOUND (Off:0 Def:1),[1641721],1610612751.0,BKN,,,,Lewis,M. Lewis,,,,,Above the Break 3,24+ Right Center,,,160.0,1.0,1.0,0.0,,,,,,,,,,,,,,
162,PT10M46.00S,2025-03-15T22:38:48.9Z,2,REGULAR,3pt,Jump Shot,[],1631213,66.83639947437582,32.84313725490196,1610612751,27,33,2025-03-15T22:38:54Z,1590000,False,-86.0,259.0,1,right,MISS T. Martin 27' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,27.3,Missed,,,,,,,,,,,,,,,,,,
163,PT10M45.00S,2025-03-15T22:38:51.9Z,2,REGULAR,rebound,offensive,[],1630549,,,1610612751,27,33,2025-03-15T22:38:51Z,1600000,False,,,0,,D. Sharpe REBOUND (Off:4 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Left Center,,,162.0,6.0,2.0,4.0,,,,,,,,,,,,,,
164,PT10M45.00S,2025-03-15T22:38:56.9Z,2,REGULAR,foul,personal,['2freethrow'],204001,,,1610612751,27,33,2025-03-15T22:39:01Z,1610000,False,,,0,,K. Porziņģis shooting personal FOUL (1 PF) (Sharpe 2 FT),"[204001, 1630549]",1610612738.0,BOS,shooting,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,202026.0,,,,,,,1.0,0.0,Sharpe,1630549.0,,
166,PT10M45.00S,2025-03-15T22:39:19.8Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630549,,,1610612751,27,33,2025-03-15T22:39:19Z,1630000,False,,,0,,MISS D. Sharpe Free Throw 1 of 2,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
167,PT10M45.00S,2025-03-15T22:39:19.8Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,27,33,2025-03-15T22:39:19Z,1640000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,
168,PT10M45.00S,2025-03-15T22:39:33.8Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630549,,,1610612751,28,33,2025-03-15T22:39:33Z,1650000,False,,,0,,D. Sharpe Free Throw 2 of 2 (3 PTS),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
169,PT10M28.00S,2025-03-15T22:39:53.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,18.2161629434954,51.9607843137255,1610612738,28,35,2025-03-15T22:39:59Z,1660000,False,-10.0,119.0,1,left,K. Porziņģis 11' turnaround Jump Shot (6 PTS) (J. Holiday 4 AST),"[204001, 201950]",1610612738.0,BOS,turnaround,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),8-16 Center,11.91,Made,,,,,6.0,,J. Holiday,201950.0,4.0,,,,,,,,,
171,PT10M11.00S,2025-03-15T22:40:09.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1641721,93.9060446780552,51.71568627450981,1610612751,30,35,2025-03-15T22:40:16Z,1680000,False,9.0,5.0,1,right,M. Lewis driving DUNK (10 PTS) (D. Sharpe 3 AST),"[1641721, 1630549]",1610612751.0,BKN,driving,,,Lewis,M. Lewis,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,10.0,,D. Sharpe,1630549.0,3.0,,,,,,,,,
173,PT09M47.00S,2025-03-15T22:40:33.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],201950,6.1268068331143235,61.76470588235294,1610612738,30,35,2025-03-15T22:41:10Z,1700000,False,-59.0,5.0,1,left,MISS J. Holiday driving bank Hook,[201950],1610612738.0,BOS,driving bank,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,5.9,Missed,,,,,,,,,,,,,,,,,,
