actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
86,PT04M14.00S,2025-02-08T00:54:02.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,81.73455978975034,94.58486519607843,1610612751,17,18,2025-02-08T00:59:19Z,830000,False,223.0,119.0,1,right,C. Johnson 25' 3PT running (6 PTS) (T. Watford 2 AST),"[1629661, 1630570]",1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,25.28,Made,,,,,,,6.0,T. Watford,1630570.0,2.0,,,
88,PT04M13.00S,2025-02-08T00:54:07.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,17,18,2025-02-08T00:54:07Z,850000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,out,[],1629661,,,1610612748,17,18,2025-02-08T00:56:32Z,860000,False,,,0,,SUB out: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,out,[],1630533,,,1610612748,17,18,2025-02-08T00:56:32Z,870000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,out,[],1629651,,,1610612748,17,18,2025-02-08T00:56:32Z,880000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,out,[],1642276,,,1610612748,17,18,2025-02-08T00:56:32Z,890000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,17,18,2025-02-08T00:56:32Z,900000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,in,[],1641787,,,1610612748,17,18,2025-02-08T00:56:32Z,910000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,in,[],1631213,,,1610612748,17,18,2025-02-08T00:56:32Z,920000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,in,[],1630549,,,1610612748,17,18,2025-02-08T00:56:32Z,930000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,in,[],1631107,,,1610612748,17,18,2025-02-08T00:56:32Z,940000,False,,,0,,SUB in: N. Jović,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M13.00S,2025-02-08T00:54:08.2Z,1,REGULAR,substitution,in,[],1631170,,,1610612748,17,18,2025-02-08T00:56:32Z,950000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M57.00S,2025-02-08T00:57:19.4Z,1,REGULAR,2pt,Jump Shot,[],1628389,20.762155059132724,47.08180147058824,1610612748,17,18,2025-02-08T00:59:41Z,960000,False,15.0,143.0,1,left,MISS B. Adebayo 14' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,,,,,,14.34,Missed,,,,,,,,,,,,,
100,PT03M55.00S,2025-02-08T00:57:21.4Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,17,18,2025-02-08T00:59:41Z,970000,False,,,0,,D. Sharpe REBOUND (Off:0 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Mid-Range,8-16 Center,,,,,,,,,,99.0,1.0,1.0,0.0,,,,,,,
101,PT03M36.00S,2025-02-08T00:57:39.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630570,86.2023653088042,47.81709558823529,1610612751,17,18,2025-02-08T01:00:09Z,980000,False,-11.0,77.0,1,right,MISS T. Watford 7' fadeaway Shot,[1630570],1610612751.0,BKN,fadeaway,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.8,Missed,,,,,,,,,,,,,
102,PT03M34.00S,2025-02-08T00:57:41.9Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,17,18,2025-02-08T01:00:09Z,990000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:2),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,101.0,2.0,2.0,0.0,,,,,,,
103,PT03M27.00S,2025-02-08T00:57:48.1Z,1,REGULAR,foul,personal,['2freethrow'],1630549,,,1610612748,17,18,2025-02-08T01:00:29Z,1000000,False,,,0,,D. Sharpe shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1630549, 1628389]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,1628172.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
105,PT03M27.00S,2025-02-08T00:58:30.1Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,17,18,2025-02-08T00:58:30Z,1020000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
106,PT03M27.00S,2025-02-08T00:58:30.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,17,18,2025-02-08T00:58:30Z,1030000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,
107,PT03M27.00S,2025-02-08T00:58:31.2Z,1,REGULAR,substitution,out,[],1629312,,,1610612748,17,18,2025-02-08T00:58:35Z,1040000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M27.00S,2025-02-08T00:58:31.2Z,1,REGULAR,substitution,in,[],1626179,,,1610612748,17,18,2025-02-08T00:58:35Z,1050000,False,,,0,,SUB in: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M27.00S,2025-02-08T00:58:50.8Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,17,19,2025-02-08T00:58:50Z,1060000,False,,,0,,B. Adebayo Free Throw 2 of 2 (7 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Made,,,,,,,7.0,,,,,,
110,PT03M16.00S,2025-02-08T00:59:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630549,89.75032851511169,43.114276960784316,1610612751,19,19,2025-02-08T01:01:10Z,1070000,False,-34.0,44.0,1,right,D. Sharpe driving Layup (2 PTS),[1630549],1610612751.0,BKN,driving,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.57,Made,,,,,,,2.0,,,,,,
111,PT03M16.00S,2025-02-08T00:59:09.2Z,1,REGULAR,foul,personal,['1freethrow'],1631107,,,1610612751,19,19,2025-02-08T01:01:18Z,1080000,False,,,0,,N. Jović shooting personal FOUL (1 PF) (Sharpe 1 FT),"[1631107, 1630549]",1610612748.0,MIA,shooting,,,Jović,N. Jović,,,,,In The Paint (Non-RA),0-8 Center,1628172.0,1.0,0.0,Sharpe,1630549.0,,,,,,,,,,,,,,,
113,PT03M16.00S,2025-02-08T00:59:33.7Z,1,REGULAR,freethrow,1 of 1,[],1630549,,,1610612751,20,19,2025-02-08T00:59:33Z,1100000,False,,,0,,D. Sharpe Free Throw 1 of 1 (3 PTS),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,Made,,,,,,,3.0,,,,,,
115,PT02M57.00S,2025-02-08T01:00:08.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,20.893561103810782,94.58486519607843,1610612748,20,19,2025-02-08T01:01:55Z,1120000,False,-223.0,144.0,1,left,MISS T. Rozier 26' step back 3PT,[1626179],1610612748.0,MIA,step back,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,,,26.53,Missed,,,,,,,,,,,,,
116,PT02M55.00S,2025-02-08T01:00:10.6Z,1,REGULAR,rebound,defensive,[],1641787,,,1610612751,20,19,2025-02-08T01:01:55Z,1130000,False,,,0,,T. Evbuomwan REBOUND (Off:0 Def:1),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,115.0,1.0,1.0,0.0,,,,,,,
117,PT02M43.00S,2025-02-08T01:00:21.7Z,1,REGULAR,3pt,Jump Shot,[],1630592,77.18462549277267,9.068627450980387,1610612751,23,19,2025-02-08T01:02:10Z,1140000,False,-205.0,162.0,1,right,J. Wilson 26' 3PT  (5 PTS) (T. Evbuomwan 1 AST),"[1630592, 1641787]",1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,,,,,,26.1,Made,,,,,,,5.0,T. Evbuomwan,1641787.0,1.0,,,
119,PT02M25.00S,2025-02-08T01:00:40.1Z,1,REGULAR,3pt,Jump Shot,[],1631107,33.952036793692514,63.72549019607843,1610612748,23,19,2025-02-08T01:02:28Z,1160000,False,-69.0,267.0,1,left,MISS N. Jović 27' pullup 3PT,[1631107],1610612748.0,MIA,pullup,,,Jović,N. Jović,,,,,Above the Break 3,24+ Center,,,,,,27.53,Missed,,,,,,,,,,,,,
120,PT02M21.00S,2025-02-08T01:00:44.1Z,1,REGULAR,rebound,offensive,[],1631170,,,1610612748,23,19,2025-02-08T01:02:33Z,1170000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:0),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,119.0,1.0,0.0,1.0,,,,,,,
121,PT02M17.00S,2025-02-08T01:00:48.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,29.28712220762155,79.63388480392157,1610612748,23,19,2025-02-08T01:03:00Z,1180000,False,-148.0,223.0,1,left,MISS T. Herro 26' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,26.76,Missed,,,,,,,,,,,,,
122,PT02M15.00S,2025-02-08T01:00:50.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,23,19,2025-02-08T01:03:00Z,1190000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,121.0,,,,,,,,,,
123,PT02M15.00S,2025-02-08T01:00:54.1Z,1,REGULAR,foul,personal,[],1641787,,,1610612748,23,19,2025-02-08T01:03:17Z,1200000,False,,,0,,T. Evbuomwan loose ball personal FOUL (1 PF),"[1641787, 1628389]",1610612751.0,BKN,loose ball,,,Evbuomwan,T. Evbuomwan,,,,,In The Paint (Non-RA),0-8 Center,1628172.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
125,PT02M15.00S,2025-02-08T01:01:01.1Z,1,REGULAR,substitution,out,[],1630570,,,1610612748,23,19,2025-02-08T01:01:05Z,1220000,False,,,0,,SUB out: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M15.00S,2025-02-08T01:01:01.1Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,23,19,2025-02-08T01:01:05Z,1230000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M15.00S,2025-02-08T01:01:01.1Z,1,REGULAR,substitution,in,[],1626156,,,1610612748,23,19,2025-02-08T01:01:05Z,1240000,False,,,0,,SUB in: D. Russell,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M15.00S,2025-02-08T01:01:01.1Z,1,REGULAR,substitution,in,[],1642276,,,1610612748,23,19,2025-02-08T01:01:05Z,1250000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M11.00S,2025-02-08T01:01:23.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642276,7.703679369250986,43.13725490196079,1610612748,23,19,2025-02-08T01:03:56Z,1260000,False,34.0,20.0,1,left,MISS K. Ware cutting Layup,[1642276],1610612748.0,MIA,cutting,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,3.97,Missed,,,,,,,,,,,,,
130,PT02M10.00S,2025-02-08T01:01:24.5Z,1,REGULAR,rebound,offensive,[],1631170,,,1610612748,23,19,2025-02-08T01:03:56Z,1270000,False,,,0,,J. Jaquez Jr. REBOUND (Off:2 Def:0),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,129.0,2.0,0.0,2.0,,,,,,,
144,PT02M10.00S,2025-02-08T01:01:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631170,7.621550591327193,55.0015318627451,1610612748,23,19,2025-02-08T01:04:09Z,1275000,False,-25.0,19.0,1,left,MISS J. Jaquez Jr. tip Layup,[1631170],1610612748.0,MIA,tip,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,3.15,Missed,,,,,,,,,,,,,
145,PT02M08.00S,2025-02-08T01:01:28.3Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,23,19,2025-02-08T01:04:09Z,1277500,False,,,0,,K. Ware REBOUND (Off:3 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,,,,144.0,4.0,1.0,3.0,,,,,,,
131,PT02M04.00S,2025-02-08T01:01:29.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,13.797634691195796,4.388786764705884,1610612748,23,22,2025-02-08T01:04:25Z,1280000,False,228.0,77.0,1,left,T. Rozier 24' 3PT  (3 PTS) (K. Ware 2 AST),"[1626179, 1642276]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Right Corner 3,24+ Right,,,,,,24.08,Made,,,,,,,3.0,K. Ware,1642276.0,2.0,,,
133,PT01M51.00S,2025-02-08T01:01:42.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,69.18322930354796,24.731924019607845,1610612751,26,22,2025-02-08T01:04:55Z,1300000,False,-126.0,237.0,1,right,D. Russell 26' 3PT  (5 PTS) (T. Martin 1 AST),"[1626156, 1631213]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,26.87,Made,,,,,,,5.0,T. Martin,1631213.0,1.0,,,
135,PT01M34.00S,2025-02-08T01:02:00.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629639,11.826544021024972,42.62408088235294,1610612748,26,22,2025-02-08T01:05:30Z,1320000,False,37.0,59.0,1,left,MISS T. Herro 6' driving bank Hook,[1629639],1610612748.0,MIA,driving bank,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.93,Missed,,,,,,,,,,,,,
136,PT01M33.00S,2025-02-08T01:02:01.8Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,26,22,2025-02-08T01:05:30Z,1330000,False,,,0,,T. Martin REBOUND (Off:0 Def:1),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,135.0,1.0,1.0,0.0,,,,,,,
137,PT01M23.00S,2025-02-08T01:02:10.4Z,1,REGULAR,turnover,out-of-bounds,[],1631213,,,1610612751,26,22,2025-02-08T01:05:48Z,1340000,False,,,0,,T. Martin bad pass out-of-bounds TURNOVER (1 TO),[1631213],1610612751.0,BKN,bad pass,,,Martin,T. Martin,,,,,Mid-Range,8-16 Center,1628172.0,,,,,,,,,,,,,,,,,1.0,,
138,PT01M10.00S,2025-02-08T01:02:32.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631170,10.118265440210251,3.653492647058826,1610612748,26,22,2025-02-08T01:06:25Z,1350000,False,232.0,43.0,1,left,MISS J. Jaquez Jr. 3PT,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Right Corner 3,24+ Right,,,,,,23.56,Missed,,,,,,,,,,,,,
139,PT01M08.00S,2025-02-08T01:02:34.3Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,26,22,2025-02-08T01:06:25Z,1360000,False,,,0,,K. Ware REBOUND (Off:4 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Right Corner 3,24+ Right,,,,,,,,,,138.0,5.0,1.0,4.0,,,,,,,
140,PT01M08.00S,2025-02-08T01:02:37.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1642276,5.590000152587891,50.0,1610612748,26,22,2025-02-08T01:06:41Z,1370000,False,0.0,0.0,1,left,MISS K. Ware tip Layup - blocked,"[1642276, 1641787]",1610612748.0,MIA,tip,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,0.0,Missed,Evbuomwan,1641787.0,,,,,,,,,,,
181,PT01M08.00S,2025-02-08T01:02:37.5Z,1,REGULAR,block,,[],1641787,,,1610612748,26,22,2025-02-08T01:11:55Z,1375000,False,,,0,,T. Evbuomwan BLOCK (1 BLK),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
141,PT01M07.00S,2025-02-08T01:02:38.5Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,26,22,2025-02-08T01:06:41Z,1380000,False,,,0,,K. Ware REBOUND (Off:5 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,,,,140.0,6.0,1.0,5.0,,,,,,,
142,PT01M07.00S,2025-02-08T01:02:39.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1642276,5.590000152587891,50.0,1610612748,26,22,2025-02-08T01:06:50Z,1390000,False,0.0,0.0,1,left,MISS K. Ware tip Layup,[1642276],1610612748.0,MIA,tip,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,0.0,Missed,,,,,,,,,,,,,
143,PT01M04.00S,2025-02-08T01:02:42.8Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,26,22,2025-02-08T01:06:50Z,1400000,False,,,0,,T. Martin REBOUND (Off:0 Def:2),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,142.0,2.0,2.0,0.0,,,,,,,
146,PT00M58.80S,2025-02-08T01:02:45.5Z,1,REGULAR,turnover,bad pass,[],1631213,,,1610612751,26,22,2025-02-08T01:07:39Z,1410000,False,,,0,,T. Martin bad pass TURNOVER (2 TO),"[1631213, 1626179]",1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,2.0,Rozier,1626179.0
147,PT00M58.80S,2025-02-08T01:02:45.5Z,1,REGULAR,steal,,[],1626179,,,1610612748,26,22,2025-02-08T01:02:47Z,1420000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
148,PT00M53.40S,2025-02-08T01:02:49.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629639,7.598965177398171,43.424479166666664,1610612748,26,24,2025-02-08T01:07:59Z,1430000,False,33.0,19.0,1,left,T. Herro running alley-oop Layup (7 PTS) (T. Rozier 1 AST),"[1629639, 1626179]",1610612748.0,MIA,running alley-oop,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,3.79,Made,,,,,,,7.0,T. Rozier,1626179.0,1.0,,,
150,PT00M39.00S,2025-02-08T01:03:07.6Z,1,REGULAR,foul,personal,['2freethrow'],1631170,,,1610612751,26,24,2025-02-08T01:08:24Z,1450000,False,,,0,,J. Jaquez Jr. shooting personal FOUL (1 PF) (Russell 2 FT),"[1631170, 1626156]",1610612748.0,MIA,shooting,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,8-16 Left,202007.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,
152,PT00M39.00S,2025-02-08T01:03:34.3Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612751,27,24,2025-02-08T01:03:34Z,1470000,False,,,0,,D. Russell Free Throw 1 of 2 (6 PTS),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,,,,,,Made,,,,,,,6.0,,,,,,
153,PT00M39.00S,2025-02-08T01:03:49.2Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612751,28,24,2025-02-08T01:03:49Z,1480000,False,,,0,,D. Russell Free Throw 2 of 2 (7 PTS),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,,,,,,Made,,,,,,,7.0,,,,,,
154,PT00M27.40S,2025-02-08T01:04:03.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,14.563485545335084,53.573069852941174,1610612748,28,26,2025-02-08T01:09:27Z,1490000,False,-18.0,84.0,1,left,T. Rozier 8' pullup Jump Shot (5 PTS) (N. Jović 1 AST),"[1626179, 1631107]",1610612748.0,MIA,pullup,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.63,Made,,,,,,,5.0,N. Jović,1631107.0,1.0,,,
156,PT00M05.50S,2025-02-08T01:04:30.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,83.31143232588698,46.790747549019606,1610612751,28,26,2025-02-08T01:09:56Z,1510000,False,-16.0,104.0,1,right,MISS D. Russell 10' driving floating bank Shot,[1626156],1610612751.0,BKN,driving floating bank,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.56,Missed,,,,,,,,,,,,,
157,PT00M03.70S,2025-02-08T01:04:32.6Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,28,26,2025-02-08T01:09:56Z,1520000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,156.0,1.0,1.0,0.0,,,,,,,
158,PT00M00.60S,2025-02-08T01:04:34.8Z,1,REGULAR,3pt,Jump Shot,[],1629639,44.10315374507227,45.34313725490196,1610612748,28,26,2025-02-08T01:10:36Z,1530000,False,23.0,362.0,1,left,MISS T. Herro 36' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,36.28,Missed,,,,,,,,,,,,,
159,PT00M00.10S,2025-02-08T01:04:35.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,28,26,2025-02-08T01:10:36Z,1540000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,158.0,,,,,,,,,,
160,PT00M00.00S,2025-02-08T01:04:42.5Z,1,REGULAR,period,end,[],0,,,1610612748,28,26,2025-02-08T01:04:42Z,1550000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2025-02-08T01:05:58.8Z,2,REGULAR,substitution,out,['startperiod'],1630592,,,1610612748,28,26,2025-02-08T01:07:14Z,1560000,False,,,0,,SUB out: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2025-02-08T01:05:58.8Z,2,REGULAR,substitution,out,['startperiod'],1629639,,,1610612748,28,26,2025-02-08T01:07:14Z,1570000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2025-02-08T01:05:58.8Z,2,REGULAR,substitution,in,['startperiod'],1630533,,,1610612748,28,26,2025-02-08T01:07:14Z,1580000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-02-08T01:05:58.8Z,2,REGULAR,substitution,in,['startperiod'],1629130,,,1610612748,28,26,2025-02-08T01:07:14Z,1590000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2025-02-08T01:07:24.7Z,2,REGULAR,period,start,[],0,,,1610612751,28,26,2025-02-08T01:07:24Z,1600000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M47.00S,2025-02-08T01:07:39.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641787,86.85939553219448,54.044117647058826,1610612751,28,26,2025-02-08T01:11:21Z,1610000,False,20.0,71.0,1,right,MISS T. Evbuomwan 7' driving floating bank Shot,[1641787],1610612751.0,BKN,driving floating bank,,,Evbuomwan,T. Evbuomwan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.38,Missed,,,,,,,,,,,,,
