actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
45,PT08M10.00S,2025-01-22T00:41:38.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,5,10,2025-01-22T00:41:41Z,450000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,
46,PT08M07.00S,2025-01-22T00:41:41.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,25.18068331143233,81.86274509803921,1610612752,5,13,2025-01-22T00:41:48Z,460000,False,-159.0,184.0,1,left,M. Bridges 24' 3PT running (3 PTS) (J. Hart 3 AST),"[1628969, 1628404]",1610612752.0,NYK,running,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,24.35,Made,3.0,J. Hart,1628404.0,3.0,,,,,,,,,,,,
48,PT07M45.00S,2025-01-22T00:42:03.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,87.86136662286465,49.754901960784316,1610612751,5,13,2025-01-22T00:42:06Z,480000,False,-1.0,62.0,1,right,MISS D. Russell 6' driving floating Shot,[1626156],1610612751.0,BKN,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,6.16,Missed,,,,,,,,,,,,,,,,
49,PT07M43.00S,2025-01-22T00:42:05.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,5,13,2025-01-22T00:42:06Z,490000,False,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,48.0,4.0,4.0,0.0,,,,,,
50,PT07M40.00S,2025-01-22T00:42:08.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,27.020367936925098,79.90196078431373,1610612752,5,13,2025-01-22T00:42:15Z,500000,False,-150.0,201.0,1,left,MISS J. Brunson 25' running 3PT,[1628973],1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,,,25.09,Missed,,,,,,,,,,,,,,,,
51,PT07M37.00S,2025-01-22T00:42:11.9Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612752,5,13,2025-01-22T00:42:15Z,510000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,50.0,1.0,0.0,1.0,,,,,,
52,PT07M37.00S,2025-01-22T00:42:15.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628384,5.590000152587891,50.0,1610612752,5,15,2025-01-22T00:42:20Z,520000,False,0.0,0.0,1,left,O. Anunoby putback Layup (5 PTS),[1628384],1610612752.0,NYK,putback,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,0.0,Made,5.0,,,,,,,,,,,,,,,
53,PT07M37.00S,2025-01-22T00:42:17.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,5,15,2025-01-22T00:42:17Z,530000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M37.00S,2025-01-22T00:42:24.7Z,1,REGULAR,substitution,out,[],1630553,,,1610612751,5,15,2025-01-22T00:45:33Z,540000,False,,,0,,SUB out: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M37.00S,2025-01-22T00:42:24.7Z,1,REGULAR,substitution,in,[],1630592,,,1610612751,5,15,2025-01-22T00:45:33Z,550000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M17.00S,2025-01-22T00:46:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,94.30026281208936,51.71568627450981,1610612751,7,15,2025-01-22T00:46:35Z,560000,False,9.0,1.0,1,right,D. Russell driving finger roll Layup (2 PTS),[1626156],1610612751.0,BKN,driving finger roll,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,0.87,Made,2.0,,,,,,,,,,,,,,,
57,PT06M51.00S,2025-01-22T00:46:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,9.543363994743759,52.450980392156865,1610612752,7,15,2025-01-22T00:46:38Z,570000,False,-12.0,37.0,1,left,MISS O. Anunoby driving Layup - blocked,"[1628384, 1626156]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,3.92,Missed,,,,,Russell,1626156.0,,,,,,,,,,
58,PT06M51.00S,2025-01-22T00:46:32.3Z,1,REGULAR,block,,[],1626156,,,1610612752,7,15,2025-01-22T00:51:21Z,580000,False,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT06M51.00S,2025-01-22T00:46:32.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,7,15,2025-01-22T00:46:38Z,590000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,57.0,,,,,,,,,
61,PT06M29.00S,2025-01-22T00:46:59.7Z,1,REGULAR,turnover,lost ball,[],1629661,,,1610612751,7,15,2025-01-22T00:47:03Z,610000,False,,,0,,C. Johnson lost ball TURNOVER (2 TO),"[1629661, 1628404]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,,,,,,,,,,,Hart,1628404.0
62,PT06M29.00S,2025-01-22T00:46:59.7Z,1,REGULAR,steal,,[],1628404,,,1610612752,7,15,2025-01-22T00:47:01Z,620000,False,,,0,,J. Hart STEAL (1 STL),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
63,PT06M18.00S,2025-01-22T00:47:11.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,2.3160315374507228,95.58823529411765,1610612752,7,15,2025-01-22T00:47:15Z,630000,False,-228.0,-31.0,1,left,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,23.0,Missed,,,,,,,,,,,,,,,,
64,PT06M15.00S,2025-01-22T00:47:14.2Z,1,REGULAR,rebound,defensive,[],1630592,,,1610612751,7,15,2025-01-22T00:47:15Z,640000,False,,,0,,J. Wilson REBOUND (Off:0 Def:1),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,
65,PT06M10.00S,2025-01-22T00:47:19.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629661,95.3515111695138,77.69607843137256,1610612751,7,15,2025-01-22T00:49:18Z,650000,False,138.0,-9.0,1,right,MISS C. Johnson 13' running pullup Shot,[1629661],1610612751.0,BKN,running pullup,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Right,,,13.88,Missed,,,,,,,,,,,,,,,,
66,PT06M06.00S,2025-01-22T00:47:23.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,7,15,2025-01-22T00:47:25Z,660000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Right,,,,,,,,,,,65.0,2.0,2.0,0.0,,,,,,
