actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
88,PT05M35.00S,2025-04-03T23:54:12.6Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,9,12,2025-04-03T23:54:33Z,870000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,,,,Left Corner 3,24+ Left,,,Reid,N. Reid,87.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
89,PT05M22.00S,2025-04-03T23:54:26.9Z,1,REGULAR,3pt,Jump Shot,[],1628978,71.43561103810775,14.950980392156863,1610612750,9,12,2025-04-03T23:54:40Z,880000,False,-175.0,216.0,1,right,MISS D. DiVincenzo 27' 3PT,[1628978],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Left Center,27.81,Missed,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,
90,PT05M18.00S,2025-04-03T23:54:30.9Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,9,12,2025-04-03T23:54:40Z,890000,False,,,0,,R. Gobert REBOUND (Off:3 Def:0),[203497],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Left Center,,,Gobert,R. Gobert,89.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
91,PT05M18.00S,2025-04-03T23:54:34.1Z,1,REGULAR,foul,personal,['2freethrow'],1641721,,,1610612750,9,12,2025-04-03T23:54:43Z,900000,False,,,0,,M. Lewis shooting personal FOUL (2 PF) (Gobert 2 FT),"[1641721, 203497]",1610612751.0,BKN,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Lewis,M. Lewis,,,,,,,,,,,,1626300.0,2.0,0.0,Gobert,203497.0,,,
93,PT05M18.00S,2025-04-03T23:55:03.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203497,,,1610612750,9,12,2025-04-03T23:55:28Z,920000,False,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612750.0,MIN,,,,,,,,,,Missed,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,
94,PT05M18.00S,2025-04-03T23:55:03.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612750,9,12,2025-04-03T23:55:28Z,930000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,
95,PT05M18.00S,2025-04-03T23:55:03.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203497,,,1610612750,9,12,2025-04-03T23:55:28Z,940000,False,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612750.0,MIN,,,,,,,,,,Missed,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,
96,PT05M17.00S,2025-04-03T23:55:04.8Z,1,REGULAR,rebound,defensive,[],1641787,,,1610612751,9,12,2025-04-03T23:55:32Z,950000,False,,,0,,T. Evbuomwan REBOUND (Off:0 Def:1),[1641787],1610612751.0,BKN,,,,,,,,,,,Evbuomwan,T. Evbuomwan,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
97,PT05M02.00S,2025-04-03T23:55:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631166,19.66162943495401,41.42156862745098,1610612751,9,12,2025-04-03T23:55:45Z,960000,False,43.0,132.0,1,left,MISS D. Timme 13' turnaround fadeaway Shot,[1631166],1610612751.0,BKN,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,13.91,Missed,Timme,D. Timme,,,,,,,,,,,,,,,,,,,
98,PT04M58.00S,2025-04-03T23:55:44.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,9,12,2025-04-03T23:55:45Z,970000,False,,,0,,R. Gobert REBOUND (Off:3 Def:1),[203497],1610612750.0,MIN,,,,,,,In The Paint (Non-RA),8-16 Center,,,Gobert,R. Gobert,97.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
99,PT04M52.00S,2025-04-03T23:55:52.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641721,,,1610612750,9,12,2025-04-03T23:56:08Z,980000,False,,,0,,M. Lewis shooting personal FOUL (3 PF) (McDaniels 2 FT),"[1641721, 1630183]",1610612751.0,BKN,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Lewis,M. Lewis,,,,,,,,,,,,200832.0,3.0,0.0,McDaniels,1630183.0,,,
101,PT04M52.00S,2025-04-03T23:56:21.5Z,1,REGULAR,freethrow,1 of 2,[],1630183,,,1610612750,9,13,2025-04-03T23:56:21Z,1000000,False,,,0,,J. McDaniels Free Throw 1 of 2 (1 PTS),[1630183],1610612750.0,MIN,,,,,,,,,,Made,McDaniels,J. McDaniels,,,,,1.0,,,,,,,,,,,,,,
102,PT04M52.00S,2025-04-03T23:56:22.5Z,1,REGULAR,substitution,out,[],1641721,,,1610612750,9,13,2025-04-03T23:56:27Z,1010000,False,,,0,,SUB out: M. Lewis,[1641721],1610612751.0,BKN,,,,,,,,,,,Lewis,M. Lewis,,,,,,,,,,,,,,,,,,,
103,PT04M52.00S,2025-04-03T23:56:22.5Z,1,REGULAR,substitution,in,[],1630623,,,1610612750,9,13,2025-04-03T23:56:27Z,1020000,False,,,0,,SUB in: T. Etienne,[1630623],1610612751.0,BKN,,,,,,,,,,,Etienne,T. Etienne,,,,,,,,,,,,,,,,,,,
104,PT04M52.00S,2025-04-03T23:56:37.6Z,1,REGULAR,freethrow,2 of 2,[],1630183,,,1610612750,9,14,2025-04-03T23:56:37Z,1030000,False,,,0,,J. McDaniels Free Throw 2 of 2 (2 PTS),[1630183],1610612750.0,MIN,,,,,,,,,,Made,McDaniels,J. McDaniels,,,,,2.0,,,,,,,,,,,,,,
105,PT04M37.00S,2025-04-03T23:56:56.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631166,11.12023653088042,50.245098039215684,1610612751,9,14,2025-04-03T23:57:40Z,1040000,False,-1.0,52.0,1,left,MISS D. Timme floating Shot,[1631166],1610612751.0,BKN,floating,,,,,,In The Paint (Non-RA),0-8 Center,5.2,Missed,Timme,D. Timme,,,,,,,,,,,,,,,,,,,
106,PT04M35.00S,2025-04-03T23:56:58.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,9,14,2025-04-03T23:57:40Z,1050000,False,,,0,,R. Gobert REBOUND (Off:3 Def:2),[203497],1610612750.0,MIN,,,,,,,In The Paint (Non-RA),0-8 Center,,,Gobert,R. Gobert,105.0,5.0,2.0,3.0,,,,,,,,,,,,,,,
107,PT04M19.00S,2025-04-03T23:57:12.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,78.26872536136662,10.784313725490197,1610612750,9,17,2025-04-03T23:57:16Z,1060000,False,-196.0,152.0,1,right,A. Edwards 24' 3PT  (8 PTS) (R. Gobert 1 AST),"[1630162, 203497]",1610612750.0,MIN,,,,,,,Above the Break 3,24+ Left Center,24.8,Made,Edwards,A. Edwards,,,,,8.0,R. Gobert,203497.0,1.0,,,,,,,,,,,
109,PT03M52.00S,2025-04-03T23:57:39.9Z,1,REGULAR,3pt,Jump Shot,[],1641727,4.28712220762155,96.07843137254902,1610612751,9,17,2025-04-03T23:57:44Z,1080000,False,-230.0,-12.0,1,left,MISS D. Whitehead 3PT,[1641727],1610612751.0,BKN,,,,,,,Left Corner 3,24+ Left,23.07,Missed,Whitehead,D. Whitehead,,,,,,,,,,,,,,,,,,,
110,PT03M48.00S,2025-04-03T23:57:43.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,9,17,2025-04-03T23:57:43Z,1090000,False,,,0,,R. Gobert REBOUND (Off:3 Def:3),[203497],1610612750.0,MIN,,,,,,,Left Corner 3,24+ Left,,,Gobert,R. Gobert,109.0,6.0,3.0,3.0,,,,,,,,,,,,,,,
111,PT03M30.00S,2025-04-03T23:58:02.6Z,1,REGULAR,3pt,Jump Shot,[],1629675,71.43561103810775,24.019607843137255,1610612750,9,17,2025-04-03T23:58:09Z,1100000,False,-130.0,216.0,1,right,MISS N. Reid 25' 3PT,[1629675],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Left Center,25.21,Missed,Reid,N. Reid,,,,,,,,,,,,,,,,,,,
112,PT03M30.00S,2025-04-03T23:58:02.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,9,17,2025-04-03T23:58:09Z,1110000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,Above the Break 3,24+ Left Center,,,,,111.0,,,,,,,,,,,,,,,,,,
114,PT03M30.00S,2025-04-03T23:58:12.5Z,1,REGULAR,substitution,out,[],1630183,,,1610612751,9,17,2025-04-03T23:58:17Z,1130000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,,,,,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,
115,PT03M30.00S,2025-04-03T23:58:12.5Z,1,REGULAR,substitution,in,[],1629638,,,1610612751,9,17,2025-04-03T23:58:17Z,1140000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,,,,,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,
116,PT03M14.00S,2025-04-03T23:58:38.4Z,1,REGULAR,3pt,Jump Shot,[],1641787,14.931011826544022,4.166666666666666,1610612751,9,17,2025-04-03T23:58:44Z,1150000,False,229.0,88.0,1,left,MISS T. Evbuomwan 24' 3PT,[1641787],1610612751.0,BKN,,,,,,,Right Corner 3,24+ Right,24.55,Missed,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,
117,PT03M09.00S,2025-04-03T23:58:43.4Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612750,9,17,2025-04-03T23:58:44Z,1160000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612750.0,MIN,,,,,,,Right Corner 3,24+ Right,,,Alexander-Walker,N. Alexander-Walker,116.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
118,PT03M00.00S,2025-04-03T23:58:51.6Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,9,17,2025-04-03T23:58:59Z,1170000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1641736]",1610612750.0,MIN,,,,,,,Mid-Range,16-24 Right Center,,,Edwards,A. Edwards,,,,,,,,,1.0,Beekman,1641736.0,,,,,,,,
119,PT03M00.00S,2025-04-03T23:58:51.6Z,1,REGULAR,steal,,[],1641736,,,1610612751,9,17,2025-04-03T23:58:53Z,1180000,False,,,0,,R. Beekman STEAL (1 STL),[1641736],1610612751.0,BKN,,,,,,,Mid-Range,16-24 Right Center,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,
120,PT02M55.00S,2025-04-03T23:58:56.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641727,7.703679369250986,55.88235294117647,1610612751,9,17,2025-04-03T23:59:07Z,1190000,False,-29.0,20.0,1,left,MISS D. Whitehead running Layup,[1641727],1610612751.0,BKN,running,,,,,,Restricted Area,0-8 Center,3.55,Missed,Whitehead,D. Whitehead,,,,,,,,,,,,,,,,,,,
121,PT02M52.00S,2025-04-03T23:58:59.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,9,17,2025-04-03T23:58:59Z,1200000,False,,,0,,R. Gobert REBOUND (Off:3 Def:4),[203497],1610612750.0,MIN,,,,,,,Restricted Area,0-8 Center,,,Gobert,R. Gobert,120.0,7.0,4.0,3.0,,,,,,,,,,,,,,,
122,PT02M49.00S,2025-04-03T23:59:02.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629638,73.9323258869908,18.38235294117647,1610612750,9,17,2025-04-03T23:59:10Z,1210000,False,-158.0,193.0,1,right,MISS N. Alexander-Walker 24' running 3PT,[1629638],1610612750.0,MIN,running,,,,,,Above the Break 3,24+ Left Center,24.91,Missed,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,
123,PT02M49.00S,2025-04-03T23:59:02.6Z,1,REGULAR,rebound,defensive,[],1630623,,,1610612751,9,17,2025-04-03T23:59:10Z,1220000,False,,,0,,T. Etienne REBOUND (Off:0 Def:1),[1630623],1610612751.0,BKN,,,,,,,Above the Break 3,24+ Left Center,,,Etienne,T. Etienne,122.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
124,PT02M35.00S,2025-04-03T23:59:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641736,19.66162943495401,65.19607843137256,1610612751,9,17,2025-04-03T23:59:42Z,1230000,False,-76.0,132.0,1,left,MISS R. Beekman 15' pullup Shot - blocked,"[1641736, 1630162]",1610612751.0,BKN,pullup,,,,,,In The Paint (Non-RA),8-16 Left,15.26,Missed,Beekman,R. Beekman,,,,,,,,,,,,,,,,,Edwards,1630162.0,
127,PT02M35.00S,2025-04-03T23:59:16.5Z,1,REGULAR,block,,[],1630162,,,1610612751,9,17,2025-04-03T23:59:37Z,1235000,False,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,,,,In The Paint (Non-RA),8-16 Left,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,
125,PT02M34.00S,2025-04-03T23:59:17.5Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,9,17,2025-04-03T23:59:37Z,1240000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,,,,Mid-Range,16-24 Center,,,DiVincenzo,D. DiVincenzo,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
126,PT02M34.00S,2025-04-03T23:59:23.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,9,17,2025-04-03T23:59:23Z,1250000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M34.00S,2025-04-03T23:59:50.6Z,1,REGULAR,substitution,out,[],1630162,,,1610612750,9,17,2025-04-04T00:02:14Z,1260000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,,,,,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,
129,PT02M34.00S,2025-04-03T23:59:50.6Z,1,REGULAR,substitution,out,[],203497,,,1610612750,9,17,2025-04-04T00:02:14Z,1270000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,,,,,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,
130,PT02M34.00S,2025-04-03T23:59:50.6Z,1,REGULAR,substitution,in,[],203944,,,1610612750,9,17,2025-04-04T00:02:14Z,1280000,False,,,0,,SUB in: J. Randle,[203944],1610612750.0,MIN,,,,,,,,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,
131,PT02M34.00S,2025-04-03T23:59:50.6Z,1,REGULAR,substitution,in,[],1641740,,,1610612750,9,17,2025-04-04T00:02:14Z,1290000,False,,,0,,SUB in: J. Clark,[1641740],1610612750.0,MIN,,,,,,,,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,
132,PT02M25.00S,2025-04-04T00:02:33.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641727,,,1610612750,9,17,2025-04-04T00:02:41Z,1300000,False,,,0,,D. Whitehead shooting personal FOUL (1 PF) (Reid 2 FT),"[1641727, 1629675]",1610612751.0,BKN,shooting,,,,,,Restricted Area,0-8 Center,,,Whitehead,D. Whitehead,,,,,,,,,,,,200832.0,1.0,0.0,Reid,1629675.0,,,
134,PT02M25.00S,2025-04-04T00:02:56.5Z,1,REGULAR,freethrow,1 of 2,[],1629675,,,1610612750,9,18,2025-04-04T00:02:56Z,1320000,False,,,0,,N. Reid Free Throw 1 of 2 (1 PTS),[1629675],1610612750.0,MIN,,,,,,,,,,Made,Reid,N. Reid,,,,,1.0,,,,,,,,,,,,,,
135,PT02M25.00S,2025-04-04T00:03:09.3Z,1,REGULAR,freethrow,2 of 2,[],1629675,,,1610612750,9,19,2025-04-04T00:03:09Z,1330000,False,,,0,,N. Reid Free Throw 2 of 2 (2 PTS),[1629675],1610612750.0,MIN,,,,,,,,,,Made,Reid,N. Reid,,,,,2.0,,,,,,,,,,,,,,
136,PT02M08.00S,2025-04-04T00:03:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641787,6.652431011826544,50.0,1610612751,11,19,2025-04-04T00:03:32Z,1340000,False,0.0,10.0,1,left,T. Evbuomwan Layup (2 PTS) (R. Beekman 1 AST),"[1641787, 1641736]",1610612751.0,BKN,,,,,,,Restricted Area,0-8 Center,1.0,Made,Evbuomwan,T. Evbuomwan,,,,,2.0,R. Beekman,1641736.0,1.0,,,,,,,,,,,
138,PT01M47.00S,2025-04-04T00:03:48.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,86.67871222076215,4.6568627450980395,1610612750,11,19,2025-04-04T00:03:55Z,1360000,False,-227.0,73.0,1,right,MISS D. DiVincenzo 3PT,[1628978],1610612750.0,MIN,,,,,,,Left Corner 3,24+ Left,23.81,Missed,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,
139,PT01M44.00S,2025-04-04T00:03:51.6Z,1,REGULAR,rebound,defensive,[],1641787,,,1610612751,11,19,2025-04-04T00:03:55Z,1370000,False,,,0,,T. Evbuomwan REBOUND (Off:0 Def:2),[1641787],1610612751.0,BKN,,,,,,,Left Corner 3,24+ Left,,,Evbuomwan,T. Evbuomwan,138.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
140,PT01M37.00S,2025-04-04T00:03:57.9Z,1,REGULAR,3pt,Jump Shot,[],1630623,27.020367936925098,19.11764705882353,1610612751,14,19,2025-04-04T00:04:03Z,1380000,False,154.0,201.0,1,left,T. Etienne 25' 3PT  (3 PTS) (T. Evbuomwan 1 AST),"[1630623, 1641787]",1610612751.0,BKN,,,,,,,Above the Break 3,24+ Right Center,25.39,Made,Etienne,T. Etienne,,,,,3.0,T. Evbuomwan,1641787.0,1.0,,,,,,,,,,,
142,PT01M22.00S,2025-04-04T00:04:14.0Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612750,14,19,2025-04-04T00:04:17Z,1400000,False,,,0,,D. DiVincenzo bad pass TURNOVER (2 TO),"[1628978, 1641736]",1610612750.0,MIN,,,,,,,In The Paint (Non-RA),0-8 Center,,,DiVincenzo,D. DiVincenzo,,,,,,,,,2.0,Beekman,1641736.0,,,,,,,,
143,PT01M22.00S,2025-04-04T00:04:14.0Z,1,REGULAR,steal,,[],1641736,,,1610612751,14,19,2025-04-04T00:05:04Z,1410000,False,,,0,,R. Beekman STEAL (2 STL),[1641736],1610612751.0,BKN,,,,,,,In The Paint (Non-RA),0-8 Center,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,
144,PT01M18.00S,2025-04-04T00:04:18.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1641727,25.706307490144546,81.61764705882352,1610612751,17,19,2025-04-04T00:04:23Z,1420000,False,-158.0,189.0,1,left,D. Whitehead 24' 3PT running (3 PTS) (T. Etienne 1 AST),"[1641727, 1630623]",1610612751.0,BKN,running,,,,,,Above the Break 3,24+ Left Center,24.65,Made,Whitehead,D. Whitehead,,,,,3.0,T. Etienne,1630623.0,1.0,,,,,,,,,,,
146,PT00M56.60S,2025-04-04T00:04:42.5Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1630623,,,1610612750,17,19,2025-04-04T00:04:57Z,1440000,False,,,0,,T. Etienne defensive-3-second technical FOUL (1 Tech),[1630623],1610612751.0,BKN,defensive-3-second,,,,,,In The Paint (Non-RA),0-8 Center,,,Etienne,T. Etienne,,,,,,,,,,,,202037.0,0.0,1.0,,,,,
147,PT00M56.60S,2025-04-04T00:05:04.2Z,1,REGULAR,freethrow,1 of 1,[],1629638,,,1610612750,17,20,2025-04-04T00:05:04Z,1450000,False,,,0,,N. Alexander-Walker technical Free Throw 1 of 1 (1 PTS),[1629638],1610612750.0,MIN,technical,,,,,,,,,Made,Alexander-Walker,N. Alexander-Walker,,,,,1.0,,,,,,,,,,,,,,
148,PT00M44.40S,2025-04-04T00:05:32.8Z,1,REGULAR,foul,offensive,[],1629675,,,1610612750,17,20,2025-04-04T00:05:41Z,1460000,False,,,0,,N. Reid offensive FOUL (1 PF),"[1629675, 1641736]",1610612750.0,MIN,,,,,,,In The Paint (Non-RA),0-8 Center,,,Reid,N. Reid,,,,,,,,,,,,202037.0,1.0,0.0,Beekman,1641736.0,,,
150,PT00M44.40S,2025-04-04T00:05:32.8Z,1,REGULAR,turnover,offensive foul,[],1629675,,,1610612750,17,20,2025-04-04T00:05:32Z,1480000,False,,,0,,N. Reid offensive foul TURNOVER (1 TO),[1629675],1610612750.0,MIN,,,,,,,In The Paint (Non-RA),0-8 Center,,,Reid,N. Reid,,,,,,,,,1.0,,,202037.0,,,,,,,
151,PT00M44.40S,2025-04-04T00:05:43.6Z,1,REGULAR,substitution,out,[],203944,,,1610612751,17,20,2025-04-04T00:05:59Z,1490000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,,,,,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,
152,PT00M44.40S,2025-04-04T00:05:43.6Z,1,REGULAR,substitution,in,[],203497,,,1610612751,17,20,2025-04-04T00:05:59Z,1500000,False,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,,,,,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,
153,PT00M34.20S,2025-04-04T00:06:03.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641727,11.251642575558476,4.901960784313726,1610612751,17,20,2025-04-04T00:06:08Z,1510000,False,225.0,53.0,1,left,MISS D. Whitehead 3PT,[1641727],1610612751.0,BKN,,,,,,,Right Corner 3,24+ Right,23.17,Missed,Whitehead,D. Whitehead,,,,,,,,,,,,,,,,,,,
154,PT00M31.10S,2025-04-04T00:06:06.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,17,20,2025-04-04T00:06:08Z,1520000,False,,,0,,R. Gobert REBOUND (Off:3 Def:5),[203497],1610612750.0,MIN,,,,,,,Right Corner 3,24+ Right,,,Gobert,R. Gobert,153.0,8.0,5.0,3.0,,,,,,,,,,,,,,,
155,PT00M19.70S,2025-04-04T00:06:18.1Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612750,17,20,2025-04-04T00:06:25Z,1530000,False,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 1630623]",1610612750.0,MIN,,,,,,,In The Paint (Non-RA),0-8 Center,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,1.0,Etienne,1630623.0,,,,,,,,
156,PT00M19.70S,2025-04-04T00:06:18.1Z,1,REGULAR,steal,,[],1630623,,,1610612751,17,20,2025-04-04T00:06:20Z,1540000,False,,,0,,T. Etienne STEAL (1 STL),[1630623],1610612751.0,BKN,,,,,,,In The Paint (Non-RA),0-8 Center,,,Etienne,T. Etienne,,,,,,,,,,,,,,,,,,,
157,PT00M15.50S,2025-04-04T00:06:22.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630623,7.440867279894875,45.09803921568628,1610612751,17,20,2025-04-04T00:06:31Z,1550000,False,25.0,17.0,1,left,MISS T. Etienne running Layup - blocked,"[1630623, 1629675]",1610612751.0,BKN,running,,,,,,Restricted Area,0-8 Center,3.01,Missed,Etienne,T. Etienne,,,,,,,,,,,,,,,,,Reid,1629675.0,
158,PT00M15.50S,2025-04-04T00:06:22.2Z,1,REGULAR,block,,[],1629675,,,1610612751,17,20,2025-04-04T00:06:26Z,1560000,False,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,,,,Restricted Area,0-8 Center,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,
159,PT00M14.00S,2025-04-04T00:06:23.7Z,1,REGULAR,rebound,offensive,[],1641787,,,1610612751,17,20,2025-04-04T00:07:30Z,1570000,False,,,0,,T. Evbuomwan REBOUND (Off:1 Def:2),[1641787],1610612751.0,BKN,,,,,,,Restricted Area,0-8 Center,,,Evbuomwan,T. Evbuomwan,157.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
160,PT00M14.00S,2025-04-04T00:06:28.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1641787,5.590000152587891,50.0,1610612751,19,20,2025-04-04T00:07:33Z,1580000,False,0.0,0.0,1,left,T. Evbuomwan tip Layup (4 PTS),[1641787],1610612751.0,BKN,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,Evbuomwan,T. Evbuomwan,,,,,4.0,,,,,,,,,,,,,,
161,PT00M00.90S,2025-04-04T00:06:39.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,70.12155059132719,75.98039215686273,1610612750,19,20,2025-04-04T00:06:46Z,1590000,False,130.0,228.0,1,right,MISS D. DiVincenzo 26' step back 3PT,[1628978],1610612750.0,MIN,step back,,,,,,Above the Break 3,24+ Right Center,26.28,Missed,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,
162,PT00M00.90S,2025-04-04T00:06:39.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,19,20,2025-04-04T00:06:46Z,1600000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Right Center,,,,,161.0,,,,,,,,,,,,,,,,,,
163,PT00M00.00S,2025-04-04T00:06:43.6Z,1,REGULAR,period,end,[],0,,,1610612750,19,20,2025-04-04T00:06:43Z,1610000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-04-04T00:08:25.5Z,2,REGULAR,substitution,out,['startperiod'],1630623,,,1610612750,19,20,2025-04-04T00:09:29Z,1620000,False,,,0,,SUB out: T. Etienne,[1630623],1610612751.0,BKN,,,,,,,,,,,Etienne,T. Etienne,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2025-04-04T00:08:25.5Z,2,REGULAR,substitution,out,['startperiod'],1628978,,,1610612750,19,20,2025-04-04T00:09:29Z,1630000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,,,,,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2025-04-04T00:08:25.5Z,2,REGULAR,substitution,out,['startperiod'],1641740,,,1610612750,19,20,2025-04-04T00:09:29Z,1640000,False,,,0,,SUB out: J. Clark,[1641740],1610612750.0,MIN,,,,,,,,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2025-04-04T00:08:25.5Z,2,REGULAR,substitution,in,['startperiod'],1630553,,,1610612750,19,20,2025-04-04T00:09:29Z,1650000,False,,,0,,SUB in: K. Johnson,[1630553],1610612751.0,BKN,,,,,,,,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,
