actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
89,PT05M11.00S,2024-01-03T03:23:14.2Z,1,REGULAR,substitution,out,[],1626179,,,1610612758,18,8,2024-01-03T03:23:25Z,880000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M11.00S,2024-01-03T03:23:14.2Z,1,REGULAR,substitution,out,[],1628998,,,1610612758,18,8,2024-01-03T03:23:25Z,890000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M11.00S,2024-01-03T03:23:14.2Z,1,REGULAR,substitution,in,[],1628370,,,1610612758,18,8,2024-01-03T03:23:25Z,900000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M11.00S,2024-01-03T03:23:14.2Z,1,REGULAR,substitution,in,[],202397,,,1610612758,18,8,2024-01-03T03:23:25Z,910000,False,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M11.00S,2024-01-03T03:23:14.2Z,1,REGULAR,substitution,in,[],1629023,,,1610612758,18,8,2024-01-03T03:23:25Z,920000,False,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M55.00S,2024-01-03T03:23:48.6Z,1,REGULAR,turnover,traveling,[],1627734,,,1610612758,18,8,2024-01-03T03:24:03Z,930000,False,,,0,,D. Sabonis traveling TURNOVER (2 TO),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,,,,,,,,,,204059.0,,,,,,,
95,PT04M43.00S,2024-01-03T03:24:12.1Z,1,REGULAR,turnover,bad pass,[],202397,,,1610612766,18,8,2024-01-03T03:24:16Z,940000,False,,,0,,I. Smith bad pass TURNOVER (1 TO),"[202397, 203084]",1610612766.0,CHA,,,,Smith,I. Smith,,,,,In The Paint (Non-RA),0-8 Center,1.0,Barnes,203084.0,,,,,,,,,,,,,,,,,
96,PT04M43.00S,2024-01-03T03:24:12.1Z,1,REGULAR,steal,,[],203084,,,1610612758,18,8,2024-01-03T03:33:00Z,950000,False,,,0,,H. Barnes STEAL (1 STL),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
97,PT04M33.00S,2024-01-03T03:24:21.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,66.5735873850197,61.029411764705884,1610612758,18,8,2024-01-03T03:24:28Z,960000,False,55.0,262.0,1,right,MISS H. Barnes 26' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,,26.74,Missed,,,,,,,,,,,,,,,
98,PT04M31.00S,2024-01-03T03:24:23.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,18,8,2024-01-03T03:31:30Z,970000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,97.0,,,,,,,,,,,,
100,PT04M21.00S,2024-01-03T03:24:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631121,7.835085413929041,50.49019607843137,1610612766,18,10,2024-01-03T03:24:50Z,990000,False,-2.0,21.0,1,left,B. McGowens finger roll Layup (2 PTS) (I. Smith 1 AST),"[1631121, 202397]",1610612766.0,CHA,finger roll,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,,,,2.12,Made,,,,,,,2.0,,,,I. Smith,202397.0,1.0,,
102,PT04M21.00S,2024-01-03T03:24:48.0Z,1,REGULAR,foul,personal,['1freethrow'],1628370,,,1610612766,18,10,2024-01-03T03:25:13Z,1010000,False,,,0,,M. Monk shooting personal FOUL (1 PF) (McGowens 1 FT),"[1628370, 1631121]",1610612758.0,SAC,shooting,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628953.0,1.0,0.0,,,,McGowens,1631121.0
104,PT04M21.00S,2024-01-03T03:25:00.8Z,1,REGULAR,substitution,out,[],1641877,,,1610612766,18,10,2024-01-03T03:25:12Z,1030000,False,,,0,,SUB out: N. Mensah,[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M21.00S,2024-01-03T03:25:00.8Z,1,REGULAR,substitution,in,[],1630550,,,1610612766,18,10,2024-01-03T03:25:12Z,1040000,False,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M21.00S,2024-01-03T03:25:26.1Z,1,REGULAR,freethrow,1 of 1,[],1631121,,,1610612766,18,10,2024-01-03T03:25:36Z,1050000,False,,,0,,MISS B. McGowens Free Throw 1 of 1,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
107,PT04M18.00S,2024-01-03T03:25:29.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,18,10,2024-01-03T03:25:36Z,1060000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:4),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,106.0,5.0,4.0,1.0,,,,,,,,,
108,PT04M11.00S,2024-01-03T03:25:34.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628370,66.83639947437582,51.71568627450981,1610612758,18,10,2024-01-03T03:33:15Z,1070000,False,9.0,259.0,1,right,MISS M. Monk 25' running 3PT,[1628370],1610612758.0,SAC,running,,,Monk,M. Monk,,,,,Above the Break 3,24+ Center,,,,25.93,Missed,,,,,,,,,,,,,,,
109,PT04M09.00S,2024-01-03T03:25:36.6Z,1,REGULAR,rebound,defensive,[],202397,,,1610612766,18,10,2024-01-03T03:25:39Z,1080000,False,,,0,,I. Smith REBOUND (Off:0 Def:1),[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,Above the Break 3,24+ Center,,,,,,,,108.0,1.0,1.0,0.0,,,,,,,,,
110,PT04M04.00S,2024-01-03T03:25:41.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,32.40801576872536,44.36274509803921,1610612766,18,13,2024-01-03T03:25:51Z,1090000,False,28.0,252.0,1,left,M. Bridges 25' 3PT  (8 PTS) (I. Smith 2 AST),"[1628970, 202397]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,25.37,Made,,,,,,,8.0,,,,I. Smith,202397.0,2.0,,
112,PT03M45.00S,2024-01-03T03:26:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.46057818659659,49.754901960784316,1610612758,18,13,2024-01-03T03:26:05Z,1110000,False,-1.0,18.0,1,right,MISS D. Sabonis finger roll Layup,[1627734],1610612758.0,SAC,finger roll,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,1.84,Missed,,,,,,,,,,,,,,,
113,PT03M43.00S,2024-01-03T03:26:02.6Z,1,REGULAR,rebound,defensive,[],1630550,,,1610612766,18,13,2024-01-03T03:26:02Z,1120000,False,,,0,,J. Thor REBOUND (Off:0 Def:1),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Restricted Area,0-8 Center,,,,,,,,112.0,1.0,1.0,0.0,,,,,,,,,
114,PT03M36.00S,2024-01-03T03:26:09.4Z,1,REGULAR,3pt,Jump Shot,[],1630550,27.020367936925098,17.15686274509804,1610612766,18,13,2024-01-03T03:26:14Z,1130000,False,164.0,201.0,1,left,MISS J. Thor 25' 3PT,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Above the Break 3,24+ Right Center,,,,25.99,Missed,,,,,,,,,,,,,,,
115,PT03M33.00S,2024-01-03T03:26:12.4Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,18,13,2024-01-03T03:26:14Z,1140000,False,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,,
116,PT03M28.00S,2024-01-03T03:26:17.7Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,18,13,2024-01-03T03:36:20Z,1150000,False,,,0,,D. Sabonis lost ball TURNOVER (3 TO),"[1627734, 1629023]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,3.0,Washington,1629023.0,,,,,,,,,,,,,,,,,
117,PT03M28.00S,2024-01-03T03:26:17.7Z,1,REGULAR,steal,,[],1629023,,,1610612766,18,13,2024-01-03T03:26:21Z,1160000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
118,PT03M23.00S,2024-01-03T03:26:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629023,7.178055190538765,50.49019607843137,1610612766,18,13,2024-01-03T03:26:30Z,1170000,False,-2.0,15.0,1,left,MISS P. Washington running Layup,[1629023],1610612766.0,CHA,running,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,1.52,Missed,,,,,,,,,,,,,,,
119,PT03M19.00S,2024-01-03T03:26:26.5Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,18,13,2024-01-03T03:26:26Z,1180000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,
120,PT03M15.00S,2024-01-03T03:26:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630558,93.11760840998686,51.470588235294116,1610612758,18,13,2024-01-03T03:26:34Z,1190000,False,7.0,12.0,1,right,MISS D. Mitchell running Layup,[1630558],1610612758.0,SAC,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,1.43,Missed,,,,,,,,,,,,,,,
121,PT03M13.00S,2024-01-03T03:26:32.1Z,1,REGULAR,rebound,defensive,[],1630550,,,1610612766,18,13,2024-01-03T03:26:34Z,1200000,False,,,0,,J. Thor REBOUND (Off:0 Def:2),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Restricted Area,0-8 Center,,,,,,,,120.0,2.0,2.0,0.0,,,,,,,,,
122,PT03M06.00S,2024-01-03T03:26:40.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,30.831143232588698,30.637254901960787,1610612766,18,16,2024-01-03T03:26:45Z,1210000,False,97.0,237.0,1,left,P. Washington 25' 3PT  (3 PTS) (M. Bridges 1 AST),"[1629023, 1628970]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,25.63,Made,,,,,,,3.0,,,,M. Bridges,1628970.0,1.0,,
124,PT03M04.00S,2024-01-03T03:26:46.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,18,16,2024-01-03T03:26:46Z,1230000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,out,[],1627734,,,1610612758,18,16,2024-01-03T03:29:37Z,1240000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,out,[],1631099,,,1610612758,18,16,2024-01-03T03:29:37Z,1250000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,out,[],1630558,,,1610612758,18,16,2024-01-03T03:29:37Z,1260000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,out,[],203084,,,1610612758,18,16,2024-01-03T03:29:37Z,1270000,False,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,out,[],1631121,,,1610612758,18,16,2024-01-03T03:29:37Z,1280000,False,,,0,,SUB out: B. McGowens,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,in,[],1628989,,,1610612758,18,16,2024-01-03T03:29:37Z,1290000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,in,[],203458,,,1610612758,18,16,2024-01-03T03:29:37Z,1300000,False,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,in,[],1626168,,,1610612758,18,16,2024-01-03T03:29:37Z,1310000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,in,[],1628368,,,1610612758,18,16,2024-01-03T03:29:37Z,1320000,False,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT03M04.00S,2024-01-03T03:26:59.1Z,1,REGULAR,substitution,in,[],1626179,,,1610612758,18,16,2024-01-03T03:29:37Z,1330000,False,,,0,,SUB in: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M44.00S,2024-01-03T03:30:03.7Z,1,REGULAR,3pt,Jump Shot,[],1628368,71.43561103810775,22.794117647058822,1610612758,18,16,2024-01-03T03:30:11Z,1340000,False,-136.0,216.0,1,right,MISS D. Fox 25' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,25.52,Missed,,,,,,,,,,,,,,,
136,PT02M41.00S,2024-01-03T03:30:06.7Z,1,REGULAR,rebound,defensive,[],202397,,,1610612766,18,16,2024-01-03T03:30:11Z,1350000,False,,,0,,I. Smith REBOUND (Off:0 Def:2),[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,,135.0,2.0,2.0,0.0,,,,,,,,,
137,PT02M38.00S,2024-01-03T03:30:09.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202397,6.915243101182654,47.05882352941176,1610612766,18,16,2024-01-03T03:39:04Z,1360000,False,15.0,13.0,1,left,MISS I. Smith running Layup - blocked,"[202397, 1628370]",1610612766.0,CHA,running,,,Smith,I. Smith,,,,,Restricted Area,0-8 Center,,,,1.93,Missed,Monk,1628370.0,,,,,,,,,,,,,
138,PT02M38.00S,2024-01-03T03:30:09.2Z,1,REGULAR,block,,[],1628370,,,1610612766,18,16,2024-01-03T03:41:58Z,1370000,False,,,0,,M. Monk BLOCK (1 BLK),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
139,PT02M38.00S,2024-01-03T03:30:09.2Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,18,16,2024-01-03T03:30:16Z,1380000,False,,,0,,M. Monk REBOUND (Off:0 Def:2),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,,,,,,137.0,2.0,2.0,0.0,,,,,,,,,
140,PT02M31.00S,2024-01-03T03:30:16.4Z,1,REGULAR,3pt,Jump Shot,[],1628368,93.38042049934296,3.6764705882352944,1610612758,18,16,2024-01-03T03:30:24Z,1390000,False,-232.0,10.0,1,right,MISS D. Fox 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Left Corner 3,24+ Left,,,,23.18,Missed,,,,,,,,,,,,,,,
141,PT02M26.00S,2024-01-03T03:30:21.4Z,1,REGULAR,rebound,defensive,[],202397,,,1610612766,18,16,2024-01-03T03:30:24Z,1400000,False,,,0,,I. Smith REBOUND (Off:0 Def:3),[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,Left Corner 3,24+ Left,,,,,,,,140.0,3.0,3.0,0.0,,,,,,,,,
142,PT02M21.00S,2024-01-03T03:30:26.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628970,9.411957950065702,54.166666666666664,1610612766,18,16,2024-01-03T03:40:35Z,1410000,False,-21.0,36.0,1,left,MISS M. Bridges running pullup Shot,[1628970],1610612766.0,CHA,running pullup,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,4.16,Missed,,,,,,,,,,,,,,,
143,PT02M19.00S,2024-01-03T03:30:28.3Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,18,16,2024-01-03T03:30:41Z,1420000,False,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,,,,,,142.0,1.0,1.0,0.0,,,,,,,,,
144,PT02M04.00S,2024-01-03T03:30:43.1Z,1,REGULAR,turnover,lost ball,[],203458,,,1610612758,18,16,2024-01-03T03:30:48Z,1430000,False,,,0,,A. Len lost ball TURNOVER (1 TO),"[203458, 202397]",1610612758.0,SAC,,,,Len,A. Len,,,,,Mid-Range,16-24 Left Center,1.0,Smith,202397.0,,,,,,,,,,,,,,,,,
145,PT02M04.00S,2024-01-03T03:30:43.1Z,1,REGULAR,steal,,[],202397,,,1610612766,18,16,2024-01-03T03:30:45Z,1440000,False,,,0,,I. Smith STEAL (1 STL),[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
146,PT01M58.00S,2024-01-03T03:30:49.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626179,8.492115637319317,43.13725490196079,1610612766,18,18,2024-01-03T03:41:02Z,1450000,False,34.0,27.0,1,left,T. Rozier running Layup (5 PTS),[1626179],1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,4.38,Made,,,,,,,5.0,,,,,,,,
147,PT01M42.00S,2024-01-03T03:31:04.4Z,1,REGULAR,3pt,Jump Shot,[],1626168,68.01905387647832,59.80392156862745,1610612758,21,18,2024-01-03T03:31:15Z,1460000,False,49.0,248.0,1,right,T. Lyles 25' 3PT  (3 PTS) (A. Len 1 AST),"[1626168, 203458]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Center,,,,25.29,Made,,,,,,,3.0,,,,A. Len,203458.0,1.0,,
149,PT01M23.00S,2024-01-03T03:31:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630550,6.521024967148489,46.07843137254902,1610612766,21,20,2024-01-03T03:31:28Z,1480000,False,20.0,9.0,1,left,J. Thor driving Layup (2 PTS) (T. Rozier 1 AST),"[1630550, 1626179]",1610612766.0,CHA,driving,,,Thor,J. Thor,,,,,Restricted Area,0-8 Center,,,,2.15,Made,,,,,,,2.0,,,,T. Rozier,1626179.0,1.0,,
151,PT01M07.00S,2024-01-03T03:31:41.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,70.38436268068331,26.225490196078432,1610612758,21,20,2024-01-03T03:32:30Z,1500000,False,-119.0,226.0,1,right,MISS K. Huerter 25' step back 3PT,[1628989],1610612758.0,SAC,step back,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,25.53,Missed,,,,,,,,,,,,,,,
161,PT01M07.00S,2024-01-03T03:31:41.0Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,21,20,2024-01-03T03:32:30Z,1505000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,
154,PT00M53.90S,2024-01-03T03:31:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,5.863994743758213,51.71568627450981,1610612766,21,20,2024-01-03T03:41:53Z,1530000,False,-9.0,3.0,1,left,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,0.9,Missed,,,,,,,,,,,,,,,
155,PT00M52.10S,2024-01-03T03:31:56.2Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,21,20,2024-01-03T03:32:13Z,1540000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,,,,,154.0,1.0,1.0,0.0,,,,,,,,,
156,PT00M48.80S,2024-01-03T03:31:59.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626168,71.30420499342969,22.30392156862745,1610612758,21,20,2024-01-03T03:32:09Z,1550000,False,-138.0,217.0,1,right,MISS T. Lyles 25' running 3PT,[1626168],1610612758.0,SAC,running,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Left Center,,,,25.76,Missed,,,,,,,,,,,,,,,
157,PT00M46.40S,2024-01-03T03:32:01.8Z,1,REGULAR,rebound,defensive,[],202397,,,1610612766,21,20,2024-01-03T03:32:01Z,1560000,False,,,0,,I. Smith REBOUND (Off:0 Def:4),[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,,156.0,4.0,4.0,0.0,,,,,,,,,
158,PT00M33.70S,2024-01-03T03:32:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,5.732588699080158,52.20588235294118,1610612766,21,22,2024-01-03T03:42:37Z,1570000,False,-11.0,1.0,1,left,T. Rozier driving finger roll Layup (7 PTS),[1626179],1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,1.11,Made,,,,,,,7.0,,,,,,,,
159,PT00M28.00S,2024-01-03T03:32:24.3Z,1,REGULAR,3pt,Jump Shot,[],1628368,71.69842312746385,80.14705882352942,1610612758,21,22,2024-01-03T03:45:13Z,1580000,False,151.0,214.0,1,right,MISS D. Fox 26' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,26.13,Missed,,,,,,,,,,,,,,,
160,PT00M25.90S,2024-01-03T03:32:26.4Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,21,22,2024-01-03T03:32:28Z,1590000,False,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,159.0,2.0,2.0,0.0,,,,,,,,,
162,PT00M12.30S,2024-01-03T03:32:42.1Z,1,REGULAR,foul,personal,[],1628989,,,1610612766,21,22,2024-01-03T03:33:02Z,1600000,False,,,0,,K. Huerter personal FOUL (1 PF),"[1628989, 1629023]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1627524.0,1.0,0.0,,,,Washington,1629023.0
164,PT00M12.30S,2024-01-03T03:32:51.9Z,1,REGULAR,substitution,out,[],1628370,,,1610612766,21,22,2024-01-03T03:32:57Z,1620000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M12.30S,2024-01-03T03:32:51.9Z,1,REGULAR,substitution,in,[],1630537,,,1610612766,21,22,2024-01-03T03:32:57Z,1630000,False,,,0,,SUB in: C. Duarte,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M12.30S,2024-01-03T03:33:02.0Z,1,REGULAR,substitution,out,[],1628989,,,1610612766,21,22,2024-01-03T03:33:04Z,1640000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M12.30S,2024-01-03T03:33:02.0Z,1,REGULAR,substitution,in,[],1631099,,,1610612766,21,22,2024-01-03T03:33:04Z,1650000,False,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M12.30S,2024-01-03T03:33:07.6Z,1,REGULAR,substitution,out,[],1628368,,,1610612766,21,22,2024-01-03T03:33:27Z,1660000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M12.30S,2024-01-03T03:33:07.6Z,1,REGULAR,substitution,out,[],203458,,,1610612766,21,22,2024-01-03T03:33:27Z,1670000,False,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M12.30S,2024-01-03T03:33:07.6Z,1,REGULAR,substitution,in,[],1629308,,,1610612766,21,22,2024-01-03T03:33:27Z,1680000,False,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612758.0,SAC,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M12.30S,2024-01-03T03:33:07.6Z,1,REGULAR,substitution,in,[],1630558,,,1610612766,21,22,2024-01-03T03:33:27Z,1690000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M12.30S,2024-01-03T03:33:29.6Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612766,21,22,2024-01-03T03:33:42Z,1700000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,1628953.0,,,,,,,
