actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
93,PT04M30.00S,2024-03-30T02:23:49.9Z,1,REGULAR,substitution,out,[],1629023,,,1610612758,27,14,2024-03-30T02:24:00Z,860000,False,,,0,,SUB out: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M30.00S,2024-03-30T02:23:49.9Z,1,REGULAR,substitution,in,[],1628467,,,1610612758,27,14,2024-03-30T02:24:00Z,870000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M30.00S,2024-03-30T02:23:58.6Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1628370,,,1610612758,27,14,2024-03-30T02:23:58Z,880000,False,,,0,,MISS M. Monk Free Throw 1 of 1,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
96,PT04M27.00S,2024-03-30T02:24:01.6Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,27,14,2024-03-30T02:24:02Z,890000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,95.0,1.0,1.0,0.0,,,,,,
97,PT04M14.00S,2024-03-30T02:24:16.5Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612742,27,14,2024-03-30T02:24:37Z,900000,False,,,0,,M. Monk shooting personal FOUL (1 PF) (Doncic 2 FT),"[1628370, 1629029]",1610612758.0,SAC,shooting,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627962.0,,,,,1.0,0.0,Doncic,1629029.0,,
99,PT04M14.00S,2024-03-30T02:25:12.5Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,27,15,2024-03-30T02:25:12Z,920000,False,,,0,,L. Doncic Free Throw 1 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
100,PT04M14.00S,2024-03-30T02:25:13.9Z,1,REGULAR,substitution,out,[],1628370,,,1610612742,27,15,2024-03-30T02:25:27Z,930000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M14.00S,2024-03-30T02:25:13.9Z,1,REGULAR,substitution,out,[],203084,,,1610612742,27,15,2024-03-30T02:25:27Z,940000,False,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M14.00S,2024-03-30T02:25:13.9Z,1,REGULAR,substitution,in,[],1630537,,,1610612742,27,15,2024-03-30T02:25:27Z,950000,False,,,0,,SUB in: C. Duarte,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M14.00S,2024-03-30T02:25:13.9Z,1,REGULAR,substitution,in,[],1628368,,,1610612742,27,15,2024-03-30T02:25:27Z,960000,False,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M14.00S,2024-03-30T02:25:36.8Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,27,16,2024-03-30T02:25:36Z,970000,False,,,0,,L. Doncic Free Throw 2 of 2 (4 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
105,PT03M50.00S,2024-03-30T02:26:03.7Z,1,REGULAR,2pt,Jump Shot,[],1630558,13.87976346911958,33.82352941176471,1610612758,29,16,2024-03-30T02:26:08Z,980000,False,81.0,78.0,1,left,D. Mitchell 11' fadeaway Jump Shot (2 PTS),[1630558],1610612758.0,SAC,fadeaway,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,11.24,Made,2.0,,,,,,,,,,,,,,,,,
106,PT03M31.00S,2024-03-30T02:26:22.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,92.85479632063075,50.49019607843137,1610612742,29,18,2024-03-30T02:27:29Z,990000,False,2.0,15.0,1,right,D. Lively II alley-oop DUNK (2 PTS) (D. Exum 1 AST),"[1641726, 203957]",1610612742.0,DAL,alley-oop,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,,,,D. Exum,203957.0,1.0,,,,,,,,,,,
108,PT03M30.00S,2024-03-30T02:26:27.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,29,18,2024-03-30T02:26:27Z,1010000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M15.00S,2024-03-30T02:29:37.6Z,1,REGULAR,foul,personal,[],203957,,,1610612758,29,18,2024-03-30T02:29:50Z,1020000,False,,,0,,D. Exum personal FOUL (2 PF),"[203957, 1628368]",1610612742.0,DAL,,,,Exum,D. Exum,,,,,Mid-Range,8-16 Left,,,,,,,,,,202035.0,,,,,2.0,0.0,Fox,1628368.0,,
111,PT03M09.00S,2024-03-30T02:30:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,13.485545335085414,53.67647058823529,1610612758,29,18,2024-03-30T02:30:25Z,1040000,False,-18.0,74.0,1,left,MISS D. Fox 7' fadeaway Shot,[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,7.65,Missed,,,,,,,,,,,,,,,,,,
112,PT03M07.00S,2024-03-30T02:30:05.6Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,29,18,2024-03-30T02:30:09Z,1050000,False,,,0,,D. Lively II REBOUND (Off:0 Def:2),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,111.0,2.0,2.0,0.0,,,,,,
113,PT02M50.00S,2024-03-30T02:30:25.4Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612742,29,18,2024-03-30T02:30:41Z,1060000,False,,,0,,K. Murray shooting personal FOUL (2 PF) (Doncic 2 FT),"[1631099, 1629029]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,202035.0,,,,,2.0,0.0,Doncic,1629029.0,,
115,PT02M50.00S,2024-03-30T02:30:54.5Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,29,19,2024-03-30T02:31:29Z,1080000,False,,,0,,L. Doncic Free Throw 1 of 2 (5 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
116,PT02M50.00S,2024-03-30T02:30:56.7Z,1,REGULAR,substitution,out,[],1627734,,,1610612742,29,19,2024-03-30T02:31:08Z,1090000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M50.00S,2024-03-30T02:30:56.7Z,1,REGULAR,substitution,out,[],1631099,,,1610612742,29,19,2024-03-30T02:31:08Z,1100000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M50.00S,2024-03-30T02:30:56.7Z,1,REGULAR,substitution,in,[],203458,,,1610612742,29,19,2024-03-30T02:31:08Z,1110000,False,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M50.00S,2024-03-30T02:30:56.7Z,1,REGULAR,substitution,in,[],1631165,,,1610612742,29,19,2024-03-30T02:31:08Z,1120000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M50.00S,2024-03-30T02:30:54.5Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,29,19,2024-03-30T02:31:29Z,1130000,False,,,0,,MISS L. Doncic Free Throw 2 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
121,PT02M45.00S,2024-03-30T02:30:59.5Z,1,REGULAR,rebound,offensive,[],1628467,,,1610612742,29,19,2024-03-30T02:35:12Z,1140000,False,,,0,,M. Kleber REBOUND (Off:1 Def:0),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,120.0,1.0,0.0,1.0,,,,,,
124,PT02M37.00S,2024-03-30T02:31:35.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641726,94.03745072273325,53.18627450980392,1610612742,29,21,2024-03-30T02:31:39Z,1170000,False,16.0,4.0,1,right,D. Lively II alley-oop DUNK (4 PTS) (L. Doncic 4 AST),"[1641726, 1629029]",1610612742.0,DAL,alley-oop,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,1.63,Made,4.0,,,,L. Doncic,1629029.0,4.0,,,,,,,,,,,
126,PT02M12.00S,2024-03-30T02:32:00.9Z,1,REGULAR,2pt,Jump Shot,[],1630558,25.837713534822605,54.166666666666664,1610612758,29,21,2024-03-30T02:32:07Z,1190000,False,-21.0,190.0,1,left,MISS D. Mitchell 19' pullup Shot,[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Center,19.15,Missed,,,,,,,,,,,,,,,,,,
127,PT02M09.00S,2024-03-30T02:32:03.9Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,29,21,2024-03-30T02:32:07Z,1200000,False,,,0,,D. Lively II REBOUND (Off:0 Def:3),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,16-24 Center,,,,,,,,,,,126.0,3.0,3.0,0.0,,,,,,
128,PT01M55.00S,2024-03-30T02:32:17.7Z,1,REGULAR,3pt,Jump Shot,[],203501,91.14651773981603,3.1862745098039214,1610612742,29,21,2024-03-30T02:32:22Z,1210000,False,-234.0,31.0,1,right,MISS T. Hardaway Jr. 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Left Corner 3,24+ Left,23.61,Missed,,,,,,,,,,,,,,,,,,
129,PT01M52.00S,2024-03-30T02:32:20.7Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,29,21,2024-03-30T02:32:22Z,1220000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Left Corner 3,24+ Left,,,,,,,,,,,128.0,1.0,1.0,0.0,,,,,,
130,PT01M48.00S,2024-03-30T02:32:24.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631165,23.47240473061761,86.51960784313727,1610612758,32,21,2024-03-30T02:32:31Z,1230000,False,-183.0,168.0,1,left,K. Ellis 24' 3PT running (11 PTS) (D. Fox 2 AST),"[1631165, 1628368]",1610612758.0,SAC,running,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,24.82,Made,11.0,,,,D. Fox,1628368.0,2.0,,,,,,,,,,,
132,PT01M34.00S,2024-03-30T02:32:39.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,72.48685939553219,16.911764705882355,1610612742,32,21,2024-03-30T02:32:46Z,1250000,False,-165.0,206.0,1,right,MISS L. Doncic 26' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,26.43,Missed,,,,,,,,,,,,,,,,,,
133,PT01M33.00S,2024-03-30T02:32:40.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,32,21,2024-03-30T02:32:46Z,1260000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,132.0,,,,,,,,,
135,PT01M33.00S,2024-03-30T02:32:46.6Z,1,REGULAR,substitution,out,[],203957,,,1610612758,32,21,2024-03-30T02:32:58Z,1280000,False,,,0,,SUB out: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M33.00S,2024-03-30T02:32:46.6Z,1,REGULAR,substitution,out,[],1629029,,,1610612758,32,21,2024-03-30T02:32:58Z,1290000,False,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M33.00S,2024-03-30T02:32:46.6Z,1,REGULAR,substitution,in,[],202681,,,1610612758,32,21,2024-03-30T02:32:58Z,1300000,False,,,0,,SUB in: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M33.00S,2024-03-30T02:32:46.6Z,1,REGULAR,substitution,in,[],1627884,,,1610612758,32,21,2024-03-30T02:32:58Z,1310000,False,,,0,,SUB in: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M12.00S,2024-03-30T02:33:23.1Z,1,REGULAR,3pt,Jump Shot,[],1630537,21.23850197109067,10.784313725490197,1610612758,32,21,2024-03-30T02:33:30Z,1320000,False,196.0,147.0,1,left,MISS C. Duarte 24' 3PT,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Above the Break 3,24+ Right Center,24.51,Missed,,,,,,,,,,,,,,,,,,
140,PT01M07.00S,2024-03-30T02:33:28.1Z,1,REGULAR,rebound,offensive,[],1628368,,,1610612758,32,21,2024-03-30T02:40:32Z,1330000,False,,,0,,D. Fox REBOUND (Off:1 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,139.0,2.0,1.0,1.0,,,,,,
141,PT01M04.00S,2024-03-30T02:33:31.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630537,7.703679369250986,46.568627450980394,1610612758,32,21,2024-03-30T02:41:10Z,1340000,False,17.0,20.0,1,left,MISS C. Duarte Layup,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,2.63,Missed,,,,,,,,,,,,,,,,,,
142,PT01M03.00S,2024-03-30T02:33:32.9Z,1,REGULAR,rebound,offensive,[],1630537,,,1610612758,32,21,2024-03-30T02:41:10Z,1350000,False,,,0,,C. Duarte REBOUND (Off:1 Def:0),[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,,,,,,,,141.0,1.0,0.0,1.0,,,,,,
143,PT01M03.00S,2024-03-30T02:33:34.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630537,5.590000152587891,50.0,1610612758,32,21,2024-03-30T02:41:16Z,1352500,False,0.0,0.0,1,left,MISS C. Duarte tip Layup,[1630537],1610612758.0,SAC,tip,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
144,PT01M02.00S,2024-03-30T02:33:35.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,32,21,2024-03-30T02:41:16Z,1353750,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,143.0,,,,,,,,,
145,PT01M01.00S,2024-03-30T02:34:02.2Z,1,REGULAR,jumpball,recovered,[],1631165,,,1610612758,32,21,2024-03-30T02:39:10Z,1355000,False,,,0,,Jump Ball A. Len vs. D. Lively II: Tip to K. Ellis,"[1631165, 203458, 1641726]",1610612758.0,SAC,outofbounds,K. Ellis,1631165.0,Ellis,K. Ellis,Len,203458.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
148,PT00M42.40S,2024-03-30T02:34:18.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631165,14.14257555847569,51.9607843137255,1610612758,32,21,2024-03-30T02:34:23Z,1410000,False,-10.0,80.0,1,left,MISS K. Ellis 8' floating Shot,[1631165],1610612758.0,SAC,floating,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Center,8.1,Missed,,,,,,,,,,,,,,,,,,
149,PT00M40.60S,2024-03-30T02:34:19.8Z,1,REGULAR,rebound,offensive,[],203458,,,1610612758,32,21,2024-03-30T02:34:19Z,1420000,False,,,0,,A. Len REBOUND (Off:1 Def:0),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,148.0,1.0,0.0,1.0,,,,,,
150,PT00M38.40S,2024-03-30T02:34:22.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628368,20.97568988173456,6.862745098039216,1610612758,32,21,2024-03-30T02:34:27Z,1430000,False,216.0,145.0,1,left,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.97,Missed,,,,,,,,,,,,,,,,,,
151,PT00M34.10S,2024-03-30T02:34:26.3Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,32,21,2024-03-30T02:34:27Z,1440000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,150.0,1.0,1.0,0.0,,,,,,
152,PT00M32.20S,2024-03-30T02:34:29.3Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612742,32,21,2024-03-30T02:34:52Z,1450000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Hardaway Jr. 2 FT),"[1630558, 203501]",1610612758.0,SAC,shooting,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202035.0,,,,,1.0,0.0,Hardaway Jr.,203501.0,,
154,PT00M32.20S,2024-03-30T02:34:56.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203501,,,1610612742,32,22,2024-03-30T02:34:56Z,1470000,False,,,0,,T. Hardaway Jr. Free Throw 1 of 2 (1 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
155,PT00M32.20S,2024-03-30T02:35:06.9Z,1,REGULAR,substitution,out,[],1630537,,,1610612742,32,22,2024-03-30T02:35:18Z,1480000,False,,,0,,SUB out: C. Duarte,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M32.20S,2024-03-30T02:35:06.9Z,1,REGULAR,substitution,out,[],203458,,,1610612742,32,22,2024-03-30T02:35:18Z,1490000,False,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M32.20S,2024-03-30T02:35:06.9Z,1,REGULAR,substitution,in,[],1627734,,,1610612742,32,22,2024-03-30T02:35:18Z,1500000,False,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M32.20S,2024-03-30T02:35:06.9Z,1,REGULAR,substitution,in,[],203084,,,1610612742,32,22,2024-03-30T02:35:18Z,1510000,False,,,0,,SUB in: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M32.20S,2024-03-30T02:35:26.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203501,,,1610612742,32,23,2024-03-30T02:35:26Z,1520000,False,,,0,,T. Hardaway Jr. Free Throw 2 of 2 (2 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
160,PT00M13.60S,2024-03-30T02:35:47.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.915243101182654,58.57843137254902,1610612758,34,23,2024-03-30T02:35:53Z,1530000,False,-43.0,13.0,1,left,D. Sabonis Layup (6 PTS) (D. Fox 3 AST),"[1627734, 1628368]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,4.47,Made,6.0,,,,D. Fox,1628368.0,3.0,,,,,,,,,,,
161,PT00M01.70S,2024-03-30T02:36:01.1Z,1,REGULAR,3pt,Jump Shot,[],203501,72.48685939553219,82.84313725490196,1610612742,34,26,2024-03-30T02:36:06Z,1540000,False,164.0,206.0,1,right,T. Hardaway Jr. 26' 3PT  (5 PTS) (D. Lively II 1 AST),"[203501, 1641726]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,26.35,Made,5.0,,,,D. Lively II,1641726.0,1.0,,,,,,,,,,,
163,PT00M00.00S,2024-03-30T02:36:12.9Z,1,REGULAR,period,end,[],0,,,1610612758,34,26,2024-03-30T02:36:12Z,1560000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2024-03-30T02:38:27.6Z,2,REGULAR,substitution,out,['startperiod'],1627734,,,1610612758,34,26,2024-03-30T02:38:58Z,1570000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2024-03-30T02:38:27.6Z,2,REGULAR,substitution,out,['startperiod'],1628467,,,1610612758,34,26,2024-03-30T02:38:58Z,1580000,False,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2024-03-30T02:38:27.6Z,2,REGULAR,substitution,in,['startperiod'],203458,,,1610612758,34,26,2024-03-30T02:38:58Z,1590000,False,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2024-03-30T02:38:27.6Z,2,REGULAR,substitution,in,['startperiod'],1629023,,,1610612758,34,26,2024-03-30T02:38:58Z,1600000,False,,,0,,SUB in: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2024-03-30T02:39:00.8Z,2,REGULAR,period,start,[],0,,,1610612742,34,26,2024-03-30T02:39:00Z,1610000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M41.00S,2024-03-30T02:39:19.0Z,2,REGULAR,2pt,Jump Shot,[],202681,84.1819973718791,66.42156862745098,1610612742,34,26,2024-03-30T02:39:24Z,1620000,False,82.0,96.0,1,right,MISS K. Irving 12' pullup Shot,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Mid-Range,8-16 Right,12.65,Missed,,,,,,,,,,,,,,,,,,
171,PT11M36.00S,2024-03-30T02:39:24.0Z,2,REGULAR,rebound,offensive,[],1641726,,,1610612742,34,26,2024-03-30T02:39:31Z,1630000,False,,,0,,D. Lively II REBOUND (Off:1 Def:3),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,8-16 Right,,,,,,,,,,,170.0,4.0,3.0,1.0,,,,,,
172,PT11M27.00S,2024-03-30T02:39:32.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629023,88.51839684625493,96.07843137254902,1610612742,34,26,2024-03-30T02:39:36Z,1640000,False,230.0,55.0,1,right,MISS P. Washington 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,,
173,PT11M24.00S,2024-03-30T02:39:35.4Z,2,REGULAR,rebound,defensive,[],1631165,,,1610612758,34,26,2024-03-30T02:39:36Z,1650000,False,,,0,,K. Ellis REBOUND (Off:0 Def:2),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Right Corner 3,24+ Right,,,,,,,,,,,172.0,2.0,2.0,0.0,,,,,,
174,PT11M07.00S,2024-03-30T02:39:52.9Z,2,REGULAR,3pt,Jump Shot,[],1631165,8.754927726675426,95.58823529411765,1610612758,34,26,2024-03-30T02:40:03Z,1660000,False,-228.0,30.0,1,left,MISS K. Ellis 3PT,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Left Corner 3,24+ Left,22.98,Missed,,,,,,,,,,,,,,,,,,
175,PT11M00.00S,2024-03-30T02:39:59.8Z,2,REGULAR,rebound,defensive,[],203501,,,1610612742,34,26,2024-03-30T02:39:59Z,1670000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,,,174.0,2.0,2.0,0.0,,,,,,
176,PT10M54.00S,2024-03-30T02:40:06.2Z,2,REGULAR,turnover,bad pass,[],202681,,,1610612742,34,26,2024-03-30T02:40:10Z,1680000,False,,,0,,K. Irving bad pass TURNOVER (1 TO),"[202681, 1631165]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Left,,,,1.0,Ellis,1631165.0,,,,,,,,,,,,,,
177,PT10M54.00S,2024-03-30T02:40:06.2Z,2,REGULAR,steal,,[],1631165,,,1610612758,34,26,2024-03-30T02:40:08Z,1690000,False,,,0,,K. Ellis STEAL (1 STL),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
178,PT10M50.00S,2024-03-30T02:40:12.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628368,6.389618922470433,45.588235294117645,1610612758,34,26,2024-03-30T02:44:35Z,1700000,False,22.0,8.0,1,left,MISS D. Fox driving reverse Layup - blocked,"[1628368, 1641726]",1610612758.0,SAC,driving reverse,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,Lively II,1641726.0
179,PT10M50.00S,2024-03-30T02:40:12.0Z,2,REGULAR,block,,[],1641726,,,1610612758,34,26,2024-03-30T02:40:15Z,1710000,False,,,0,,D. Lively II BLOCK (1 BLK),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
